Labels,001ni,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

600.00,-1.33977524E+2,
601.00,5.46526672E+2,
602.00,5.13404541E+2,
603.00,-1.92470665E+1,
604.00,9.55623055E+0,
605.00,2.19978806E+2,
606.00,-1.10006149E+2,
607.00,8.74772034E+1,
608.00,-1.62669876E+2,
609.00,9.52592545E+1,
610.00,2.69035583E+2,
611.00,8.42236176E+1,
612.00,1.42671013E+1,
613.00,1.41455088E+1,
614.00,1.22816208E+2,
615.00,-9.85299530E+1,
616.00,1.48065567E+2,
617.00,-4.24808807E+1,
618.00,9.71841125E+1,
619.00,2.12039398E+2,
620.00,5.88587189E+1,
621.00,2.63216370E+2,
622.00,3.29427612E+2,
623.00,2.56618866E+2,
624.00,1.97873108E+2,
625.00,2.31557236E+2,
626.00,2.40800354E+2,
627.00,1.17837708E+2,
628.00,-2.03408356E+1,
629.00,3.56367126E+2,
630.00,7.06374664E+1,
631.00,1.53406708E+2,
632.00,1.84324646E+2,
633.00,3.74001932E+0,
634.00,6.45777435E+1,
635.00,3.08983154E+2,
636.00,1.61735443E+2,
637.00,-1.72525139E+1,
638.00,1.84895050E+2,
639.00,2.82327515E+2,
640.00,2.20395432E+2,
641.00,2.53486832E+2,
642.00,1.94880920E+2,
643.00,2.42305725E+2,
644.00,9.58347626E+1,
645.00,1.43043625E+2,
646.00,3.34686966E+1,
647.00,1.64946381E+2,
648.00,2.64539368E+2,
649.00,1.93905304E+2,
650.00,1.76876526E+2,
651.00,3.05105133E+2,
652.00,2.18202927E+2,
653.00,2.81548157E+2,
654.00,2.15143219E+2,
655.00,3.62904877E+2,
656.00,3.10766846E+2,
657.00,1.05608978E+2,
658.00,2.33393814E+2,
659.00,4.39572052E+2,
660.00,3.47773010E+2,
661.00,2.30997482E+2,
662.00,4.51369690E+2,
663.00,3.62348175E+2,
664.00,6.80601563E+2,
665.00,4.56501556E+2,
666.00,4.86827911E+2,
667.00,6.39993958E+2,
668.00,6.46009583E+2,
669.00,4.70840393E+2,
670.00,5.68278809E+2,
671.00,6.10010986E+2,
672.00,8.31447327E+2,
673.00,8.55306274E+2,
674.00,8.31264709E+2,
675.00,9.13806824E+2,
676.00,8.11247559E+2,
677.00,1.23137390E+3,
678.00,1.26603040E+3,
679.00,1.27165942E+3,
680.00,1.46710596E+3,
681.00,1.37892944E+3,
682.00,1.50179150E+3,
683.00,1.73690454E+3,
684.00,1.77182898E+3,
685.00,1.83941675E+3,
686.00,1.96945313E+3,
687.00,2.17917676E+3,
688.00,2.04662219E+3,
689.00,2.38159473E+3,
690.00,2.68319238E+3,
691.00,2.56574487E+3,
692.00,3.23818921E+3,
693.00,3.49296753E+3,
694.00,3.56002661E+3,
695.00,3.83777759E+3,
696.00,4.09045386E+3,
697.00,4.64747021E+3,
698.00,4.84974609E+3,
699.00,5.23236035E+3,
700.00,5.36693262E+3,
701.00,5.78205811E+3,
702.00,5.86583887E+3,
703.00,5.94171240E+3,
704.00,6.42114844E+3,
705.00,6.75716211E+3,
706.00,7.04186182E+3,
707.00,7.05713086E+3,
708.00,7.72122803E+3,
709.00,7.71914160E+3,
710.00,8.35769824E+3,
711.00,8.18123486E+3,
712.00,8.76934961E+3,
713.00,9.28860254E+3,
714.00,9.73942285E+3,
715.00,9.88980664E+3,
716.00,1.04949160E+4,
717.00,1.04910381E+4,
718.00,1.12180850E+4,
719.00,1.15464053E+4,
720.00,1.19362041E+4,
721.00,1.22043203E+4,
722.00,1.30454971E+4,
723.00,1.29064863E+4,
724.00,1.34784746E+4,
725.00,1.36860078E+4,
726.00,1.42437607E+4,
727.00,1.45745537E+4,
728.00,1.52537363E+4,
729.00,1.53307900E+4,
730.00,1.65894453E+4,
731.00,1.68695469E+4,
732.00,1.64461055E+4,
733.00,1.73170469E+4,
734.00,1.78297285E+4,
735.00,1.84345527E+4,
736.00,1.90205996E+4,
737.00,1.89193184E+4,
738.00,2.00561406E+4,
739.00,2.02195508E+4,
740.00,2.08887910E+4,
741.00,2.13050684E+4,
742.00,2.22731465E+4,
743.00,2.23878320E+4,
744.00,2.26901641E+4,
745.00,2.26894219E+4,
746.00,2.29236191E+4,
747.00,2.42817461E+4,
748.00,2.42891016E+4,
749.00,2.50316074E+4,
750.00,2.58983320E+4,
751.00,2.60889863E+4,
752.00,2.66729023E+4,
753.00,2.68915391E+4,
754.00,2.79566621E+4,
755.00,2.74751992E+4,
756.00,2.86432070E+4,
757.00,2.85606016E+4,
758.00,2.92200645E+4,
759.00,2.94855332E+4,
760.00,3.01198301E+4,
761.00,3.02910313E+4,
762.00,3.08755469E+4,
763.00,3.10571836E+4,
764.00,3.13511992E+4,
765.00,3.21765195E+4,
766.00,3.29201914E+4,
767.00,3.30954453E+4,
768.00,3.33437500E+4,
769.00,3.40397695E+4,
770.00,3.43919141E+4,
771.00,3.44642227E+4,
772.00,3.50994063E+4,
773.00,3.59612773E+4,
774.00,3.58881602E+4,
775.00,3.58488047E+4,
776.00,3.64791172E+4,
777.00,3.64964766E+4,
778.00,3.74145820E+4,
779.00,3.76983555E+4,
780.00,3.78432813E+4,
781.00,3.74006641E+4,
782.00,3.83972695E+4,
783.00,3.85284727E+4,
784.00,3.91683867E+4,
785.00,3.93489141E+4,
786.00,3.92347930E+4,
787.00,4.01951055E+4,
788.00,3.99338086E+4,
789.00,4.00752891E+4,
790.00,4.04944023E+4,
791.00,4.02759609E+4,
792.00,4.12335156E+4,
793.00,4.13739141E+4,
794.00,4.15923633E+4,
795.00,4.16688594E+4,
796.00,4.20029141E+4,
797.00,4.16997227E+4,
798.00,4.27379219E+4,
799.00,4.25609141E+4,
800.00,4.27748008E+4,
801.00,4.24806055E+4,
802.00,4.40729883E+4,
803.00,4.29538281E+4,
804.00,4.32665000E+4,
805.00,4.35657422E+4,
806.00,4.31441680E+4,
807.00,4.41100156E+4,
808.00,4.44043828E+4,
809.00,4.49478867E+4,
810.00,4.47521016E+4,
811.00,4.51858789E+4,
812.00,4.49917656E+4,
813.00,4.47146484E+4,
814.00,4.46955938E+4,
815.00,4.50401094E+4,
816.00,4.51998320E+4,
817.00,4.53650742E+4,
818.00,4.52196406E+4,
819.00,4.50358359E+4,
820.00,4.53289609E+4,
821.00,4.51815156E+4,
822.00,4.58184297E+4,
823.00,4.50691758E+4,
824.00,4.55176094E+4,
825.00,4.60904648E+4,
826.00,4.51703008E+4,
827.00,4.53597305E+4,
828.00,4.54601367E+4,
829.00,4.46256406E+4,
830.00,4.51037500E+4,
831.00,4.51160078E+4,
832.00,4.51026602E+4,
833.00,4.51295313E+4,
834.00,4.54462109E+4,
835.00,4.47843945E+4,
836.00,4.50583906E+4,
837.00,4.49899414E+4,
838.00,4.51391680E+4,
839.00,4.47359570E+4,
840.00,4.48107227E+4,
841.00,4.46824531E+4,
842.00,4.50187188E+4,
843.00,4.45273281E+4,
844.00,4.41102656E+4,
845.00,4.43069531E+4,
846.00,4.41181133E+4,
847.00,4.39291367E+4,
848.00,4.40530820E+4,
849.00,4.43277734E+4,
850.00,4.37500156E+4,
851.00,4.38315195E+4,
852.00,4.36955313E+4,
853.00,4.39489766E+4,
854.00,4.32963633E+4,
855.00,4.30123438E+4,
856.00,4.35038594E+4,
857.00,4.30193008E+4,
858.00,4.28902734E+4,
859.00,4.26312500E+4,
860.00,4.24560195E+4,
861.00,4.20826641E+4,
862.00,4.21285586E+4,
863.00,4.18515898E+4,
864.00,4.15959609E+4,
865.00,4.13846133E+4,
866.00,4.11511172E+4,
867.00,4.08550313E+4,
868.00,4.04108125E+4,
869.00,4.04763438E+4,
870.00,4.10585391E+4,
871.00,3.96244180E+4,
872.00,3.98278125E+4,
873.00,3.94839102E+4,
874.00,3.88061523E+4,
875.00,3.90951523E+4,
876.00,3.87796953E+4,
877.00,3.88191797E+4,
878.00,3.86265820E+4,
879.00,3.82103008E+4,
880.00,3.80604922E+4,
881.00,3.74035742E+4,
882.00,3.72517344E+4,
883.00,3.72932852E+4,
884.00,3.67475078E+4,
885.00,3.62515977E+4,
886.00,3.57749023E+4,
887.00,3.58717734E+4,
888.00,3.59128281E+4,
889.00,3.50241250E+4,
890.00,3.50772461E+4,
891.00,3.49158203E+4,
892.00,3.43306602E+4,
893.00,3.41493125E+4,
894.00,3.36812188E+4,
895.00,3.33680352E+4,
896.00,3.33348789E+4,
897.00,3.33155430E+4,
898.00,3.29603555E+4,
899.00,3.23111016E+4,
900.00,3.23967324E+4,
901.00,3.18106719E+4,
902.00,3.12721816E+4,
903.00,3.13736465E+4,
904.00,3.07778262E+4,
905.00,3.05226699E+4,
906.00,3.06133555E+4,
907.00,2.98599805E+4,
908.00,3.00143418E+4,
909.00,2.99912852E+4,
910.00,2.94614277E+4,
911.00,2.89438867E+4,
912.00,2.90323965E+4,
913.00,2.86698574E+4,
914.00,2.84264023E+4,
915.00,2.80078164E+4,
916.00,2.77180234E+4,
917.00,2.72767969E+4,
918.00,2.69986152E+4,
919.00,2.70017383E+4,
920.00,2.63751016E+4,
921.00,2.61667910E+4,
922.00,2.56731582E+4,
923.00,2.56425391E+4,
924.00,2.53577012E+4,
925.00,2.48961426E+4,
926.00,2.48879043E+4,
927.00,2.47365059E+4,
928.00,2.43538574E+4,
929.00,2.39035410E+4,
930.00,2.38538242E+4,
931.00,2.33622793E+4,
932.00,2.30337734E+4,
933.00,2.27560840E+4,
934.00,2.24164941E+4,
935.00,2.23060977E+4,
936.00,2.19480977E+4,
937.00,2.18577500E+4,
938.00,2.13650391E+4,
939.00,2.12445469E+4,
940.00,2.09551504E+4,
941.00,2.05318008E+4,
942.00,2.04623125E+4,
943.00,2.04351582E+4,
944.00,1.99304121E+4,
945.00,1.98049570E+4,
946.00,1.93561250E+4,
947.00,1.89346113E+4,
948.00,1.90617441E+4,
949.00,1.87387578E+4,
950.00,1.85436289E+4,
951.00,1.82961973E+4,
952.00,1.79653965E+4,
953.00,1.76717793E+4,
954.00,1.77313066E+4,
955.00,1.71498418E+4,
956.00,1.70596484E+4,
957.00,1.66316191E+4,
958.00,1.65898984E+4,
959.00,1.63579600E+4,
960.00,1.61264385E+4,
961.00,1.58668232E+4,
962.00,1.56302002E+4,
963.00,1.55371865E+4,
964.00,1.51410938E+4,
965.00,1.48996777E+4,
966.00,1.48369014E+4,
967.00,1.45538711E+4,
968.00,1.45193760E+4,
969.00,1.41508018E+4,
970.00,1.39483584E+4,
971.00,1.36088311E+4,
972.00,1.36087666E+4,
973.00,1.35177451E+4,
974.00,1.31284063E+4,
975.00,1.29357813E+4,
976.00,1.27337461E+4,
977.00,1.25937764E+4,
978.00,1.23024385E+4,
979.00,1.21911611E+4,
980.00,1.20300381E+4,
981.00,1.18492139E+4,
982.00,1.16548301E+4,
983.00,1.15905088E+4,
984.00,1.14980918E+4,
985.00,1.14524346E+4,
986.00,1.10066758E+4,
987.00,1.08212939E+4,
988.00,1.07309473E+4,
989.00,1.06483428E+4,
990.00,1.03969902E+4,
991.00,1.02983594E+4,
992.00,9.93732520E+3,
993.00,9.91164648E+3,
994.00,9.84827734E+3,
995.00,9.73196777E+3,
996.00,9.43554785E+3,
997.00,9.36195215E+3,
998.00,9.18939453E+3,
999.00,9.08184375E+3,
1000.00,8.88883398E+3,
1001.000,8.76410645E+3,
1002.000,8.67388281E+3,
1003.000,8.39476758E+3,
1004.000,8.40939941E+3,
1005.000,8.21847266E+3,
1006.000,8.03681348E+3,
1007.000,7.90267432E+3,
1008.000,7.87459326E+3,
1009.000,7.66711914E+3,
1010.00,7.68066064E+3,
1011.000,7.51367871E+3,
1012.000,7.42122266E+3,
1013.000,7.32025195E+3,
1014.000,7.14310840E+3,
1015.000,7.06709766E+3,
1016.000,6.97572266E+3,
1017.000,6.86249365E+3,
1018.000,6.77466064E+3,
1019.000,6.70860791E+3,
1020.00,6.56931445E+3,
1021.000,6.38268018E+3,
1022.000,6.43659766E+3,
1023.000,6.20356152E+3,
1024.000,6.16315430E+3,
1025.000,6.11070117E+3,
1026.000,6.13826221E+3,
1027.000,5.87761328E+3,
1028.000,5.68161865E+3,
1029.000,5.69499658E+3,
1030.00,5.63469531E+3,
1031.000,5.51063623E+3,
1032.000,5.37652344E+3,
1033.000,5.39554883E+3,
1034.000,5.24759375E+3,
1035.000,5.15593408E+3,
1036.000,5.03535742E+3,
1037.000,4.97151807E+3,
1038.000,4.94644434E+3,
1039.000,4.83132666E+3,
1040.00,4.80523779E+3,
1041.000,4.64358838E+3,
1042.000,4.57683350E+3,
1043.000,4.52548633E+3,
1044.000,4.43145996E+3,
1045.000,4.41301563E+3,
1046.000,4.37048047E+3,
1047.000,4.32966357E+3,
1048.000,4.21141064E+3,
1049.000,4.05465137E+3,
1050.00,4.08090039E+3,
1051.000,3.92328174E+3,
1052.000,3.85951001E+3,
1053.000,3.79341211E+3,
1054.000,3.84570532E+3,
1055.000,3.70906860E+3,
1056.000,3.66018213E+3,
1057.000,3.56659814E+3,
1058.000,3.62173315E+3,
1059.000,3.50711206E+3,
1060.00,3.42460107E+3,
1061.000,3.42029590E+3,
1062.000,3.36706470E+3,
1063.000,3.30294385E+3,
1064.000,3.25799438E+3,
1065.000,3.14053833E+3,
1066.000,3.18136426E+3,
1067.000,3.07405225E+3,
1068.000,3.07001538E+3,
1069.000,2.99940015E+3,
1070.00,2.89364746E+3,
1071.000,2.82962109E+3,
1072.000,2.81568921E+3,
1073.000,2.80826367E+3,
1074.000,2.74884570E+3,
1075.000,2.67825830E+3,
1076.000,2.63197827E+3,
1077.000,2.66892651E+3,
1078.000,2.61392358E+3,
1079.000,2.55037500E+3,
1080.00,2.46878052E+3,
1081.000,2.41588623E+3,
1082.000,2.49546680E+3,
1083.000,2.29648877E+3,
1084.000,2.28604004E+3,
1085.000,2.28465234E+3,
1086.000,2.27304565E+3,
1087.000,2.24565674E+3,
1088.000,2.15347241E+3,
1089.000,2.08014551E+3,
1090.00,2.09016870E+3,
1091.000,2.07950684E+3,
1092.000,2.06967749E+3,
1093.000,2.00055225E+3,
1094.000,1.97630176E+3,
1095.000,1.96770215E+3,
1096.000,1.92142847E+3,
1097.000,1.88920911E+3,
1098.000,1.83246069E+3,
1099.000,1.78052551E+3,
1100.00,1.82932056E+3,
1101.000,1.75663501E+3,
1102.000,1.69497278E+3,
1103.000,1.69417615E+3,
1104.000,1.65934021E+3,
1105.000,1.62863245E+3,
1106.000,1.65231799E+3,
1107.000,1.58387073E+3,
1108.000,1.55894299E+3,
1109.000,1.49681848E+3,
1110.00,1.55102356E+3,
1111.000,1.49398901E+3,
1112.000,1.52999121E+3,
1113.000,1.41415259E+3,
1114.000,1.37512683E+3,
1115.000,1.36160693E+3,
1116.000,1.33103064E+3,
1117.000,1.29737268E+3,
1118.000,1.29882520E+3,
1119.000,1.29788464E+3,
1120.00,1.27085730E+3,
1121.000,1.27074500E+3,
1122.000,1.27869629E+3,
1123.000,1.24887988E+3,
1124.000,1.22394812E+3,
1125.000,1.19485046E+3,
1126.000,1.10276331E+3,
1127.000,1.17800171E+3,
1128.000,1.06404297E+3,
1129.000,1.12182349E+3,
1130.00,1.12585730E+3,
1131.000,1.07145093E+3,
1132.000,1.02074225E+3,
1133.000,1.03352087E+3,
1134.000,1.00534143E+3,
1135.000,9.99190369E+2,
1136.000,9.84851990E+2,
1137.000,9.31594666E+2,
1138.000,9.29650574E+2,
1139.000,9.32169922E+2,
1140.00,9.53743225E+2,
1141.000,9.53665588E+2,
1142.000,9.24606995E+2,
1143.000,8.58458008E+2,
1144.000,8.30739624E+2,
1145.000,8.54035767E+2,
1146.000,8.46380493E+2,
1147.000,8.32490662E+2,
1148.000,7.84403259E+2,
1149.000,7.56669495E+2,
1150.00,7.85760559E+2,
1151.000,7.56803833E+2,
1152.000,7.18227051E+2,
1153.000,7.67070435E+2,
1154.000,7.10025635E+2,
1155.000,7.28837769E+2,
1156.000,6.81310852E+2,
1157.000,6.88907959E+2,
1158.000,7.27482056E+2,
1159.000,6.73976379E+2,
1160.00,6.80881226E+2,
1161.000,6.67198303E+2,
1162.000,6.57190796E+2,
1163.000,6.58867188E+2,
1164.000,6.44289429E+2,
1165.000,6.07010437E+2,
1166.000,6.05214783E+2,
1167.000,6.13982666E+2,
1168.000,5.84869812E+2,
1169.000,6.04496521E+2,
1170.00,5.74591675E+2,
1171.000,5.68960205E+2,
