Labels,0CR-0,
Type,Emission Scan,
Comment,,
Start,1100.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,415.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.5999048,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.6000066,
Detector,Det2,

1100.00,8.54094925E+1,
1101.000,5.03348541E+1,
1102.000,7.84087067E+1,
1103.000,6.12588654E+1,
1104.000,6.53515472E+1,
1105.000,3.25379486E+1,
1106.000,1.15539703E+1,
1107.000,4.93873901E+1,
1108.000,1.27159576E+1,
1109.000,7.71975231E+0,
1110.00,6.20744705E+0,
1111.000,6.31827850E+1,
1112.000,2.09751816E+1,
1113.000,1.05000591E+1,
1114.000,3.11595154E+0,
1115.000,1.00384995E+2,
1116.000,8.43418579E+1,
1117.000,2.89292946E+1,
1118.000,-3.92097533E-1,
1119.000,8.09747696E+1,
1120.00,7.03960495E+1,
1121.000,8.53789368E+1,
1122.000,2.65394554E+1,
1123.000,6.56708832E+1,
1124.000,-9.06249428E+0,
1125.000,4.97639923E+1,
1126.000,5.10349274E+1,
1127.000,5.02344856E+1,
1128.000,4.60716896E+1,
1129.000,6.49743423E+1,
1130.00,4.70603447E+1,
1131.000,-3.13068533E+0,
1132.000,6.33339233E+1,
1133.000,1.97364674E+1,
1134.000,6.31718216E+1,
1135.000,7.50144958E+1,
1136.000,7.69806747E+1,
1137.000,1.57795143E+0,
1138.000,7.82157516E+1,
1139.000,2.81310177E+1,
1140.00,7.00145035E+1,
1141.000,5.37750435E+1,
1142.000,5.57592545E+1,
1143.000,1.76409473E+1,
1144.000,5.48895416E+1,
1145.000,8.91895370E+1,
1146.000,2.52243481E+1,
1147.000,6.83831253E+1,
1148.000,6.98976822E+1,
1149.000,6.43541336E+1,
1150.00,9.60691605E+1,
1151.000,1.12916504E+2,
1152.000,1.21068420E+2,
1153.000,6.86351089E+1,
1154.000,8.33161011E+1,
1155.000,1.09160934E+2,
1156.000,8.22352676E+1,
1157.000,1.23938248E+2,
1158.000,6.14156685E+1,
1159.000,7.26162033E+1,
1160.00,1.15550201E+2,
1161.000,8.02460175E+1,
1162.000,7.29370804E+1,
1163.000,9.37459335E+1,
1164.000,8.65779648E+1,
1165.000,5.84733429E+1,
1166.000,7.97714691E+1,
1167.000,8.60376358E+1,
1168.000,7.12636642E+1,
1169.000,9.84870224E+1,
1170.00,1.05083084E+2,
1171.000,8.80739288E+1,
1172.000,9.09371872E+1,
1173.000,1.20777702E+2,
1174.000,6.12488403E+1,
1175.000,5.32845230E+1,
1176.000,8.26222839E+1,
1177.000,1.08159317E+2,
1178.000,1.02562286E+2,
1179.000,8.76792526E+1,
1180.00,1.56334717E+2,
1181.000,1.32200562E+2,
1182.000,1.20220322E+2,
1183.000,1.24653519E+2,
1184.000,1.71158615E+2,
1185.000,1.34680008E+2,
1186.000,1.36393417E+2,
1187.000,1.56349960E+2,
1188.000,1.40536835E+2,
1189.000,1.43059525E+2,
1190.00,2.10436508E+2,
1191.000,9.60298080E+1,
1192.000,1.65346573E+2,
1193.000,9.66436157E+1,
1194.000,1.55921692E+2,
1195.000,1.07081940E+2,
1196.000,1.58359116E+2,
1197.000,1.73458527E+2,
1198.000,1.53073868E+2,
1199.000,1.76935211E+2,
1200.00,2.09791550E+2,
1201.000,1.46210083E+2,
1202.000,1.82294052E+2,
1203.000,1.92700378E+2,
1204.000,1.73618484E+2,
1205.000,2.20535889E+2,
1206.000,1.59407410E+2,
1207.000,1.87549133E+2,
1208.000,1.87716171E+2,
1209.000,1.69447845E+2,
1210.00,1.92073395E+2,
1211.000,1.67861542E+2,
1212.000,2.16547745E+2,
1213.000,1.89912476E+2,
1214.000,2.84913910E+2,
1215.000,2.22645248E+2,
1216.000,2.17112076E+2,
1217.000,2.06214798E+2,
1218.000,2.59413391E+2,
1219.000,2.05990372E+2,
1220.00,2.16978592E+2,
1221.000,2.91544159E+2,
1222.000,2.16258331E+2,
1223.000,2.15103836E+2,
1224.000,1.70047867E+2,
1225.000,3.18068909E+2,
1226.000,2.84240234E+2,
1227.000,2.02953125E+2,
1228.000,2.05474823E+2,
1229.000,2.98547302E+2,
1230.00,2.81937927E+2,
1231.000,2.83978668E+2,
1232.000,3.02869446E+2,
1233.000,3.12291656E+2,
1234.000,2.88930267E+2,
1235.000,2.76835297E+2,
1236.000,3.37900574E+2,
1237.000,2.91561646E+2,
1238.000,3.53598724E+2,
1239.000,3.17273499E+2,
1240.00,3.33383942E+2,
1241.000,3.27490021E+2,
1242.000,3.74600250E+2,
1243.000,3.52675079E+2,
1244.000,3.49503082E+2,
1245.000,3.22655945E+2,
1246.000,3.43996857E+2,
1247.000,4.03029205E+2,
1248.000,3.45814606E+2,
1249.000,4.14838959E+2,
1250.00,4.29742676E+2,
1251.000,3.47281891E+2,
1252.000,4.31516083E+2,
1253.000,3.70842773E+2,
1254.000,4.23270142E+2,
1255.000,4.45068817E+2,
1256.000,4.01768860E+2,
1257.000,5.14429199E+2,
1258.000,4.37451355E+2,
1259.000,4.47980927E+2,
1260.00,4.66272644E+2,
1261.000,4.61276154E+2,
1262.000,4.71674438E+2,
1263.000,4.81855957E+2,
1264.000,4.74139008E+2,
1265.000,5.06684326E+2,
1266.000,5.00485321E+2,
1267.000,5.53650757E+2,
1268.000,5.34508118E+2,
1269.000,5.46959167E+2,
1270.00,5.56215332E+2,
1271.000,5.23696716E+2,
1272.000,5.59287537E+2,
1273.000,6.23664551E+2,
1274.000,6.22804749E+2,
1275.000,6.15533325E+2,
1276.000,6.22022949E+2,
1277.000,6.30213013E+2,
1278.000,6.17307617E+2,
1279.000,6.18518616E+2,
1280.00,6.80144287E+2,
1281.000,6.61491089E+2,
1282.000,6.23429565E+2,
1283.000,6.76296387E+2,
1284.000,7.12397888E+2,
1285.000,7.65476501E+2,
1286.000,8.22219849E+2,
1287.000,7.71776428E+2,
1288.000,7.64822205E+2,
1289.000,8.04368347E+2,
1290.00,8.09586548E+2,
1291.000,8.05708801E+2,
1292.000,8.34291931E+2,
1293.000,8.88231873E+2,
1294.000,8.72714478E+2,
1295.000,8.76063660E+2,
1296.000,9.03748352E+2,
1297.000,9.63171814E+2,
1298.000,9.44740723E+2,
1299.000,9.69939636E+2,
1300.00,9.53518738E+2,
1301.000,1.00644897E+3,
1302.000,9.93673706E+2,
1303.000,1.03909814E+3,
1304.000,9.98990417E+2,
1305.000,1.07309326E+3,
1306.000,1.12943762E+3,
1307.000,1.13245276E+3,
1308.000,1.13168262E+3,
1309.000,1.08301599E+3,
1310.00,1.15353833E+3,
1311.000,1.23205945E+3,
1312.000,1.25850220E+3,
1313.000,1.31024951E+3,
1314.000,1.37673438E+3,
1315.000,1.35628882E+3,
1316.000,1.36155469E+3,
1317.000,1.31872107E+3,
1318.000,1.36957043E+3,
1319.000,1.39392407E+3,
1320.00,1.49742908E+3,
1321.000,1.50073254E+3,
1322.000,1.48882568E+3,
1323.000,1.51848242E+3,
1324.000,1.51668518E+3,
1325.000,1.47599597E+3,
1326.000,1.56839587E+3,
1327.000,1.64758655E+3,
1328.000,1.66285486E+3,
1329.000,1.65868372E+3,
1330.00,1.64080249E+3,
1331.000,1.79713416E+3,
1332.000,1.71662256E+3,
1333.000,1.79990564E+3,
1334.000,1.82539392E+3,
1335.000,1.93903394E+3,
1336.000,1.99379614E+3,
1337.000,1.93921204E+3,
1338.000,1.99870386E+3,
1339.000,2.03299756E+3,
1340.00,2.08101221E+3,
1341.000,2.08906787E+3,
1342.000,2.14307031E+3,
1343.000,2.26741821E+3,
1344.000,2.23899829E+3,
1345.000,2.30288623E+3,
1346.000,2.29162915E+3,
1347.000,2.39069263E+3,
1348.000,2.35560352E+3,
1349.000,2.37329443E+3,
1350.00,2.44584570E+3,
1351.000,2.53287402E+3,
1352.000,2.46555933E+3,
1353.000,2.56638916E+3,
1354.000,2.68511694E+3,
1355.000,2.72260840E+3,
1356.000,2.72294165E+3,
1357.000,2.71432837E+3,
1358.000,2.74906543E+3,
1359.000,2.80509766E+3,
1360.00,2.94980396E+3,
1361.000,3.04633423E+3,
1362.000,3.14810742E+3,
1363.000,3.02860010E+3,
1364.000,3.17176709E+3,
1365.000,3.19567383E+3,
1366.000,3.21092358E+3,
1367.000,3.16558887E+3,
1368.000,3.33447168E+3,
1369.000,3.32642139E+3,
1370.00,3.27433374E+3,
1371.000,3.49755347E+3,
1372.000,3.46204639E+3,
1373.000,3.37332495E+3,
1374.000,3.50205762E+3,
1375.000,3.64349487E+3,
1376.000,3.60859570E+3,
1377.000,3.65298022E+3,
1378.000,3.73139966E+3,
1379.000,3.78064136E+3,
1380.00,3.93032422E+3,
1381.000,3.94419824E+3,
1382.000,4.04000146E+3,
1383.000,4.20409961E+3,
1384.000,4.13187256E+3,
1385.000,4.13387598E+3,
1386.000,3.99191089E+3,
1387.000,4.07358838E+3,
1388.000,4.28533252E+3,
1389.000,4.20487598E+3,
1390.00,4.18162012E+3,
1391.000,4.28468408E+3,
1392.000,4.50331738E+3,
1393.000,4.57660303E+3,
1394.000,4.52989551E+3,
1395.000,4.69599170E+3,
1396.000,4.68261865E+3,
1397.000,4.73714209E+3,
1398.000,4.63960254E+3,
1399.000,4.53880420E+3,
1400.00,4.99887061E+3,
1401.000,4.96345850E+3,
1402.000,4.99493457E+3,
1403.000,4.77954492E+3,
1404.000,4.91105322E+3,
1405.000,5.25530371E+3,
1406.000,5.22201074E+3,
1407.000,5.11224609E+3,
1408.000,5.21774170E+3,
1409.000,5.30053467E+3,
1410.00,5.35714893E+3,
1411.000,5.37549756E+3,
1412.000,5.29335986E+3,
1413.000,5.40549365E+3,
1414.000,5.68877686E+3,
1415.000,5.82798291E+3,
1416.000,5.71179346E+3,
1417.000,5.70889404E+3,
1418.000,5.74549219E+3,
1419.000,5.80033203E+3,
1420.00,5.89172803E+3,
1421.000,6.04645166E+3,
1422.000,5.97277686E+3,
1423.000,6.04755859E+3,
1424.000,6.20976221E+3,
1425.000,6.07477344E+3,
1426.000,6.20780322E+3,
1427.000,6.11212207E+3,
1428.000,6.14584961E+3,
1429.000,6.41703711E+3,
1430.00,6.47878125E+3,
1431.000,6.42406299E+3,
1432.000,6.53450830E+3,
1433.000,6.54790918E+3,
1434.000,6.58606543E+3,
1435.000,6.70335791E+3,
1436.000,6.69490527E+3,
1437.000,6.69481787E+3,
1438.000,6.81182520E+3,
1439.000,6.73345459E+3,
1440.00,6.82514111E+3,
1441.000,6.96862402E+3,
1442.000,6.94606738E+3,
1443.000,7.02990771E+3,
1444.000,7.04486133E+3,
1445.000,7.18928320E+3,
1446.000,7.20738135E+3,
1447.000,7.34370313E+3,
1448.000,7.20883545E+3,
1449.000,7.19999170E+3,
1450.00,7.39012451E+3,
1451.000,7.56299854E+3,
1452.000,7.50125635E+3,
1453.000,7.50578223E+3,
1454.000,7.47836426E+3,
1455.000,7.56976611E+3,
1456.000,7.74531543E+3,
1457.000,7.81807275E+3,
1458.000,7.76088232E+3,
1459.000,7.76469775E+3,
1460.00,7.77156592E+3,
1461.000,8.00393115E+3,
1462.000,7.97805859E+3,
1463.000,7.98159814E+3,
1464.000,8.10523535E+3,
1465.000,8.02032227E+3,
1466.000,8.22433203E+3,
1467.000,8.22301660E+3,
1468.000,8.19693652E+3,
1469.000,8.28913574E+3,
1470.00,8.25995801E+3,
1471.000,8.20551074E+3,
1472.000,8.28732227E+3,
1473.000,8.51704102E+3,
1474.000,8.40881348E+3,
1475.000,8.56826660E+3,
1476.000,8.40216016E+3,
1477.000,8.55410547E+3,
1478.000,8.57843750E+3,
1479.000,8.80820117E+3,
1480.00,8.65322461E+3,
1481.000,8.87496582E+3,
1482.000,8.67327441E+3,
1483.000,8.80224805E+3,
1484.000,8.91796191E+3,
1485.000,8.86138184E+3,
1486.000,8.85519727E+3,
1487.000,8.91461133E+3,
1488.000,8.74181250E+3,
1489.000,8.89968457E+3,
1490.00,8.99431543E+3,
1491.000,9.03331543E+3,
1492.000,9.14404785E+3,
1493.000,9.18976172E+3,
1494.000,8.96718945E+3,
1495.000,9.18808691E+3,
1496.000,9.37575000E+3,
1497.000,9.20580957E+3,
1498.000,9.30029199E+3,
1499.000,9.32247363E+3,
1500.00,9.34878223E+3,
1501.000,9.31451758E+3,
1502.000,9.42439355E+3,
1503.000,9.29725977E+3,
1504.000,9.39889648E+3,
1505.000,9.49098926E+3,
1506.000,9.34796191E+3,
1507.000,9.40811426E+3,
1508.000,9.64168652E+3,
1509.000,9.54162207E+3,
1510.00,9.35460840E+3,
1511.000,9.67954883E+3,
1512.000,9.77210742E+3,
1513.000,9.55543066E+3,
1514.000,9.58266406E+3,
1515.000,9.73632617E+3,
1516.000,9.57091113E+3,
1517.000,9.68051367E+3,
1518.000,9.62797754E+3,
1519.000,9.73372070E+3,
1520.00,9.62556445E+3,
1521.000,9.74704004E+3,
1522.000,9.76013281E+3,
1523.000,9.81612500E+3,
1524.000,9.71738574E+3,
1525.000,9.87972266E+3,
1526.000,9.97448730E+3,
1527.000,9.91202344E+3,
1528.000,9.93297559E+3,
1529.000,9.82618066E+3,
1530.00,9.89799121E+3,
1531.000,9.74931836E+3,
1532.000,9.74259375E+3,
1533.000,9.78565039E+3,
1534.000,9.81801074E+3,
1535.000,9.97581543E+3,
1536.000,9.72317383E+3,
1537.000,9.84470898E+3,
1538.000,9.73923242E+3,
1539.000,9.81739063E+3,
1540.00,9.68737109E+3,
1541.000,9.81115723E+3,
1542.000,9.87957227E+3,
1543.000,9.78681152E+3,
1544.000,9.82187891E+3,
1545.000,9.66646973E+3,
1546.000,9.67408105E+3,
1547.000,9.78216016E+3,
1548.000,9.65077148E+3,
1549.000,9.82791016E+3,
1550.00,9.91236133E+3,
1551.000,9.92596875E+3,
1552.000,9.75548438E+3,
1553.000,9.90412109E+3,
1554.000,9.76453809E+3,
1555.000,9.66353906E+3,
1556.000,9.88688086E+3,
1557.000,9.93176367E+3,
1558.000,9.84723535E+3,
1559.000,9.76584082E+3,
1560.00,9.67675488E+3,
1561.000,9.84038574E+3,
1562.000,9.70701367E+3,
1563.000,9.71831738E+3,
1564.000,9.67170020E+3,
1565.000,9.51712207E+3,
1566.000,9.75814746E+3,
1567.000,9.48391113E+3,
1568.000,9.67213477E+3,
1569.000,9.45544141E+3,
1570.00,9.44659473E+3,
1571.000,9.69043945E+3,
1572.000,9.63311719E+3,
1573.000,9.51016406E+3,
1574.000,9.68207227E+3,
1575.000,9.62467773E+3,
1576.000,9.54853613E+3,
1577.000,9.52936230E+3,
1578.000,9.66396973E+3,
1579.000,9.55608887E+3,
1580.00,9.60230664E+3,
1581.000,9.47970215E+3,
1582.000,9.30494238E+3,
1583.000,9.29943164E+3,
1584.000,9.38694434E+3,
1585.000,9.21829785E+3,
1586.000,9.25341309E+3,
1587.000,9.52508105E+3,
1588.000,9.25465625E+3,
1589.000,9.21159082E+3,
1590.00,9.30412305E+3,
1591.000,9.24027148E+3,
1592.000,9.30176465E+3,
1593.000,9.12714551E+3,
1594.000,9.24728320E+3,
1595.000,9.21547852E+3,
1596.000,9.19422852E+3,
1597.000,9.08156055E+3,
1598.000,9.13627637E+3,
1599.000,9.10472949E+3,
1600.00,9.15817188E+3,
1601.000,9.13113477E+3,
1602.000,9.02034082E+3,
1603.000,8.94636621E+3,
1604.000,8.76340723E+3,
1605.000,8.78343652E+3,
1606.000,8.76065234E+3,
1607.000,8.79504492E+3,
1608.000,9.00158398E+3,
1609.000,8.82190234E+3,
1610.00,8.69550488E+3,
1611.000,8.69897559E+3,
1612.000,8.73250781E+3,
1613.000,8.68563867E+3,
1614.000,8.48193457E+3,
1615.000,8.50395703E+3,
1616.000,8.61374121E+3,
1617.000,8.71368652E+3,
1618.000,8.59084570E+3,
1619.000,8.59793066E+3,
1620.00,8.56039746E+3,
1621.000,8.48184766E+3,
1622.000,8.38128223E+3,
1623.000,8.48770801E+3,
1624.000,8.28388184E+3,
1625.000,8.70391406E+3,
1626.000,8.22617969E+3,
1627.000,8.27771680E+3,
1628.000,8.41620020E+3,
1629.000,8.08044482E+3,
1630.00,8.44657617E+3,
1631.000,8.46496289E+3,
1632.000,8.41319727E+3,
1633.000,8.29595801E+3,
1634.000,8.67742285E+3,
1635.000,8.56434473E+3,
1636.000,8.71844629E+3,
1637.000,8.55865430E+3,
1638.000,8.54000098E+3,
1639.000,8.45453027E+3,
1640.00,8.61488379E+3,
1641.000,8.66308887E+3,
1642.000,8.83212695E+3,
1643.000,8.67889844E+3,
1644.000,8.83973633E+3,
