Labels,NaLu2-0,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,6.31969116E+2,
601.00,-3.06253662E+2,
602.00,-7.40812805E+2,
603.00,-2.08433914E+2,
604.00,7.35534668E+1,
605.00,-3.16972656E+2,
606.00,6.85606750E+2,
607.00,-3.52827339E+1,
608.00,-7.02446167E+2,
609.00,-1.17926758E+3,
610.00,-8.94559097E+1,
611.00,2.49167068E+2,
612.00,-4.56825439E+2,
613.00,-1.70484604E+2,
614.00,7.11207275E+1,
615.00,-4.45048584E+2,
616.00,-2.67793182E+2,
617.00,-1.42140198E+2,
618.00,-2.25101303E+2,
619.00,-8.32573669E+2,
620.00,-7.74137115E+1,
621.00,-2.93094330E+2,
622.00,-9.50282532E+2,
623.00,-5.73079712E+2,
624.00,-1.84861710E+2,
625.00,-5.81763367E+2,
626.00,5.97885132E+1,
627.00,-5.91844299E+2,
628.00,-7.72647888E+2,
629.00,-1.27611397E+2,
630.00,-4.91553040E+2,
631.00,-2.49476364E+2,
632.00,-4.46242645E+2,
633.00,3.90017662E+1,
634.00,-1.24329742E+2,
635.00,-6.15695251E+2,
636.00,-2.38151260E+2,
637.00,-4.22230865E+2,
638.00,-2.30256409E+2,
639.00,-3.22911041E+2,
640.00,-6.69261246E+1,
641.00,-6.91045044E+2,
642.00,-5.46144485E+1,
643.00,-1.36589203E+2,
644.00,-6.38145203E+2,
645.00,-3.04184479E+2,
646.00,-2.72095856E+2,
647.00,-1.59887787E+2,
648.00,-1.95012035E+1,
649.00,-3.25928436E+2,
650.00,-2.08619415E+2,
651.00,1.62604782E+2,
652.00,-1.62392380E+2,
653.00,-2.70391865E+1,
654.00,-1.54314651E+1,
655.00,-3.10429173E+1,
656.00,1.51627319E+2,
657.00,-3.21127472E+2,
658.00,6.70902344E+2,
659.00,2.63120392E+2,
660.00,5.85441437E+1,
661.00,7.87407970E+0,
662.00,2.48558136E+2,
663.00,8.95661682E+2,
664.00,4.09004272E+2,
665.00,5.46238831E+2,
666.00,8.02044006E+2,
667.00,6.24306580E+2,
668.00,1.10152771E+3,
669.00,5.61482910E+2,
670.00,1.40818140E+3,
671.00,1.36612646E+3,
672.00,1.05635828E+3,
673.00,2.03072473E+3,
674.00,1.64131445E+3,
675.00,1.79893262E+3,
676.00,1.86020239E+3,
677.00,1.53085522E+3,
678.00,2.38936938E+3,
679.00,2.65859058E+3,
680.00,2.44804834E+3,
681.00,2.75192603E+3,
682.00,3.67906665E+3,
683.00,3.62502271E+3,
684.00,4.31704248E+3,
685.00,4.31464697E+3,
686.00,4.81395166E+3,
687.00,5.13501074E+3,
688.00,5.23071826E+3,
689.00,5.96013232E+3,
690.00,6.56972412E+3,
691.00,7.46304102E+3,
692.00,7.65305859E+3,
693.00,9.66452344E+3,
694.00,1.05371494E+4,
695.00,1.12092402E+4,
696.00,1.25075254E+4,
697.00,1.27882910E+4,
698.00,1.39578750E+4,
699.00,1.51645352E+4,
700.00,1.57507705E+4,
701.00,1.61350488E+4,
702.00,1.66561074E+4,
703.00,1.80297207E+4,
704.00,1.82171992E+4,
705.00,1.89412578E+4,
706.00,2.01384316E+4,
707.00,2.13516348E+4,
708.00,2.23503926E+4,
709.00,2.23578867E+4,
710.00,2.46477266E+4,
711.00,2.56447441E+4,
712.00,2.68404180E+4,
713.00,2.71114746E+4,
714.00,2.88696758E+4,
715.00,3.09343965E+4,
716.00,3.22979121E+4,
717.00,3.40588125E+4,
718.00,3.53841289E+4,
719.00,3.61374453E+4,
720.00,3.85236328E+4,
721.00,3.82590234E+4,
722.00,4.23506328E+4,
723.00,4.22431484E+4,
724.00,4.51394102E+4,
725.00,4.62027422E+4,
726.00,4.78430547E+4,
727.00,5.04421758E+4,
728.00,5.15324570E+4,
729.00,5.44943750E+4,
730.00,5.64020078E+4,
731.00,5.72462070E+4,
732.00,6.16871211E+4,
733.00,6.30233320E+4,
734.00,6.44412500E+4,
735.00,6.60636328E+4,
736.00,6.96878828E+4,
737.00,7.12446563E+4,
738.00,7.36096797E+4,
739.00,7.63135859E+4,
740.00,7.94735547E+4,
741.00,8.15017031E+4,
742.00,8.46049453E+4,
743.00,8.81982500E+4,
744.00,8.84735547E+4,
745.00,9.29676406E+4,
746.00,9.60671406E+4,
747.00,9.84114609E+4,
748.00,9.98641484E+4,
749.00,1.03028133E+5,
750.00,1.04858594E+5,
751.00,1.07793453E+5,
752.00,1.11948156E+5,
753.00,1.13644273E+5,
754.00,1.16866102E+5,
755.00,1.18226203E+5,
756.00,1.24438609E+5,
757.00,1.25905445E+5,
758.00,1.29648945E+5,
759.00,1.32347906E+5,
760.00,1.36134125E+5,
761.00,1.35891891E+5,
762.00,1.41378578E+5,
763.00,1.43401703E+5,
764.00,1.44850766E+5,
765.00,1.50365906E+5,
766.00,1.51769672E+5,
767.00,1.55317469E+5,
768.00,1.57955406E+5,
769.00,1.61500922E+5,
770.00,1.64626719E+5,
771.00,1.66518328E+5,
772.00,1.72849547E+5,
773.00,1.73141625E+5,
774.00,1.72861063E+5,
775.00,1.78692906E+5,
776.00,1.81612547E+5,
777.00,1.83166125E+5,
778.00,1.85265188E+5,
779.00,1.89720656E+5,
780.00,1.92657047E+5,
781.00,1.94637531E+5,
782.00,1.94633344E+5,
783.00,1.98559641E+5,
784.00,2.00698063E+5,
785.00,2.06491203E+5,
786.00,2.05030766E+5,
787.00,2.06187281E+5,
788.00,2.09153969E+5,
789.00,2.11373109E+5,
790.00,2.15200609E+5,
791.00,2.17510781E+5,
792.00,2.17003078E+5,
793.00,2.16532938E+5,
794.00,2.20243781E+5,
795.00,2.23026922E+5,
796.00,2.23339828E+5,
797.00,2.24060656E+5,
798.00,2.26945641E+5,
799.00,2.31194594E+5,
800.00,2.32502953E+5,
801.00,2.31736016E+5,
802.00,2.32826344E+5,
803.00,2.33668516E+5,
804.00,2.33326234E+5,
805.00,2.36360813E+5,
806.00,2.37429531E+5,
807.00,2.37913641E+5,
808.00,2.40316625E+5,
809.00,2.42024125E+5,
810.00,2.41764266E+5,
811.00,2.42586047E+5,
812.00,2.45244500E+5,
813.00,2.44660531E+5,
814.00,2.44638891E+5,
815.00,2.43655109E+5,
816.00,2.47594188E+5,
817.00,2.46233078E+5,
818.00,2.47033844E+5,
819.00,2.47084766E+5,
820.00,2.49811109E+5,
821.00,2.47167750E+5,
822.00,2.48525484E+5,
823.00,2.48233078E+5,
824.00,2.46776516E+5,
825.00,2.47508250E+5,
826.00,2.43731344E+5,
827.00,2.47231641E+5,
828.00,2.46193734E+5,
829.00,2.47484313E+5,
830.00,2.45825313E+5,
831.00,2.46644500E+5,
832.00,2.44667484E+5,
833.00,2.43415297E+5,
834.00,2.44716656E+5,
835.00,2.44607984E+5,
836.00,2.43498594E+5,
837.00,2.43331781E+5,
838.00,2.41055391E+5,
839.00,2.39871563E+5,
840.00,2.41345969E+5,
841.00,2.40734844E+5,
842.00,2.38737234E+5,
843.00,2.38670594E+5,
844.00,2.37559922E+5,
845.00,2.37074203E+5,
846.00,2.36055859E+5,
847.00,2.35102188E+5,
848.00,2.35128531E+5,
849.00,2.31913969E+5,
850.00,2.30695594E+5,
851.00,2.30014938E+5,
852.00,2.29546844E+5,
853.00,2.28280156E+5,
854.00,2.26614750E+5,
855.00,2.29522906E+5,
856.00,2.27962328E+5,
857.00,2.25860234E+5,
858.00,2.24103844E+5,
859.00,2.22184203E+5,
860.00,2.20074969E+5,
861.00,2.16985938E+5,
862.00,2.18423469E+5,
863.00,2.15421797E+5,
864.00,2.15960594E+5,
865.00,2.13771891E+5,
866.00,2.12406563E+5,
867.00,2.09595859E+5,
868.00,2.06893609E+5,
869.00,2.09327234E+5,
870.00,2.06014563E+5,
871.00,2.03869750E+5,
872.00,2.03385813E+5,
873.00,2.01283844E+5,
874.00,2.00020781E+5,
875.00,1.99999297E+5,
876.00,1.97174750E+5,
877.00,1.94680500E+5,
878.00,1.92560000E+5,
879.00,1.91319406E+5,
880.00,1.90011281E+5,
881.00,1.88755250E+5,
882.00,1.87865422E+5,
883.00,1.85658719E+5,
884.00,1.84680391E+5,
885.00,1.81788875E+5,
886.00,1.80689656E+5,
887.00,1.81206391E+5,
888.00,1.77310094E+5,
889.00,1.75477531E+5,
890.00,1.75106359E+5,
891.00,1.72809859E+5,
892.00,1.71207625E+5,
893.00,1.70470750E+5,
894.00,1.67949406E+5,
895.00,1.66861359E+5,
896.00,1.65720266E+5,
897.00,1.64484891E+5,
898.00,1.61961734E+5,
899.00,1.59731125E+5,
900.00,1.58221938E+5,
901.00,1.58038313E+5,
902.00,1.54311906E+5,
903.00,1.54511156E+5,
904.00,1.52547203E+5,
905.00,1.51931109E+5,
906.00,1.51033703E+5,
907.00,1.48385281E+5,
908.00,1.46425688E+5,
909.00,1.44265969E+5,
910.00,1.43570031E+5,
911.00,1.42043203E+5,
912.00,1.41767813E+5,
913.00,1.40779078E+5,
914.00,1.39093375E+5,
915.00,1.37062891E+5,
916.00,1.36138500E+5,
917.00,1.33746297E+5,
918.00,1.33336219E+5,
919.00,1.31701563E+5,
920.00,1.29622156E+5,
921.00,1.28149750E+5,
922.00,1.26557758E+5,
923.00,1.25479063E+5,
924.00,1.23941445E+5,
925.00,1.22044383E+5,
926.00,1.21773195E+5,
927.00,1.20112016E+5,
928.00,1.17850695E+5,
929.00,1.17003531E+5,
930.00,1.15835617E+5,
931.00,1.13971578E+5,
932.00,1.13812258E+5,
933.00,1.11604008E+5,
934.00,1.09771836E+5,
935.00,1.09348969E+5,
936.00,1.07658742E+5,
937.00,1.05595773E+5,
938.00,1.04504906E+5,
939.00,1.03330133E+5,
940.00,1.01918992E+5,
941.00,1.00665406E+5,
942.00,9.90164844E+4,
943.00,9.84041641E+4,
944.00,9.76819063E+4,
945.00,9.63549531E+4,
946.00,9.48959609E+4,
947.00,9.32992266E+4,
948.00,9.25515000E+4,
949.00,9.13311875E+4,
950.00,8.99460078E+4,
951.00,8.91396875E+4,
952.00,8.77381797E+4,
953.00,8.66527344E+4,
954.00,8.54981641E+4,
955.00,8.42604531E+4,
956.00,8.34926875E+4,
957.00,8.25922266E+4,
958.00,8.11800547E+4,
959.00,8.00332188E+4,
960.00,7.86269453E+4,
961.00,7.78623906E+4,
962.00,7.67765078E+4,
963.00,7.58812891E+4,
964.00,7.48095469E+4,
965.00,7.32885313E+4,
966.00,7.31424531E+4,
967.00,7.15340234E+4,
968.00,7.05121406E+4,
969.00,6.99666484E+4,
970.00,6.91267422E+4,
971.00,6.81238281E+4,
972.00,6.77707188E+4,
973.00,6.66384297E+4,
974.00,6.56708906E+4,
975.00,6.43964766E+4,
976.00,6.39576641E+4,
977.00,6.25107617E+4,
978.00,6.24416055E+4,
979.00,6.10098828E+4,
980.00,6.00438320E+4,
981.00,5.95986211E+4,
982.00,5.88271719E+4,
983.00,5.79169883E+4,
984.00,5.67183477E+4,
985.00,5.62386328E+4,
986.00,5.58735156E+4,
987.00,5.42967930E+4,
988.00,5.43895508E+4,
989.00,5.33731328E+4,
990.00,5.25095117E+4,
991.00,5.19724492E+4,
992.00,5.10599688E+4,
993.00,5.00531836E+4,
994.00,4.95680430E+4,
995.00,4.89239844E+4,
996.00,4.80808711E+4,
997.00,4.76537695E+4,
998.00,4.64282461E+4,
999.00,4.61213477E+4,
1000.00,4.54495859E+4,
1001.000,4.48198359E+4,
1002.000,4.45557227E+4,
1003.000,4.37253359E+4,
1004.000,4.27765273E+4,
1005.000,4.20646484E+4,
1006.000,4.15173711E+4,
1007.000,4.10404961E+4,
1008.000,4.05743438E+4,
1009.000,3.99865352E+4,
1010.00,3.92321680E+4,
1011.000,3.81057578E+4,
1012.000,3.77828828E+4,
1013.000,3.76200508E+4,
1014.000,3.72997539E+4,
1015.000,3.64797852E+4,
1016.000,3.62475195E+4,
1017.000,3.52020977E+4,
1018.000,3.51169531E+4,
1019.000,3.45382656E+4,
1020.00,3.40267969E+4,
1021.000,3.33458789E+4,
1022.000,3.30644688E+4,
1023.000,3.25170547E+4,
1024.000,3.19806875E+4,
1025.000,3.14062637E+4,
1026.000,3.07622969E+4,
1027.000,3.07012793E+4,
1028.000,3.02158633E+4,
1029.000,2.92912500E+4,
1030.00,2.90128574E+4,
1031.000,2.85459336E+4,
1032.000,2.81070898E+4,
1033.000,2.77112949E+4,
1034.000,2.74958301E+4,
1035.000,2.71760195E+4,
1036.000,2.70178359E+4,
1037.000,2.61005762E+4,
1038.000,2.56262461E+4,
1039.000,2.54769961E+4,
1040.00,2.50571328E+4,
1041.000,2.46063672E+4,
1042.000,2.45808203E+4,
1043.000,2.38772813E+4,
1044.000,2.34403906E+4,
1045.000,2.33415391E+4,
1046.000,2.31076230E+4,
1047.000,2.25062715E+4,
1048.000,2.23307461E+4,
1049.000,2.18969063E+4,
1050.00,2.15434961E+4,
1051.000,2.10632656E+4,
1052.000,2.11016836E+4,
1053.000,2.03844492E+4,
1054.000,2.01686543E+4,
1055.000,1.98314648E+4,
1056.000,1.93765938E+4,
1057.000,1.93616953E+4,
1058.000,1.88228945E+4,
1059.000,1.87820059E+4,
1060.00,1.83489727E+4,
1061.000,1.82889160E+4,
1062.000,1.79705078E+4,
1063.000,1.78494512E+4,
1064.000,1.71102148E+4,
1065.000,1.68986973E+4,
1066.000,1.66053555E+4,
1067.000,1.64703926E+4,
1068.000,1.66304531E+4,
1069.000,1.58479883E+4,
1070.00,1.57617373E+4,
1071.000,1.53319160E+4,
1072.000,1.52504180E+4,
1073.000,1.51715918E+4,
1074.000,1.47063740E+4,
1075.000,1.45029648E+4,
1076.000,1.44936963E+4,
1077.000,1.40346104E+4,
1078.000,1.38717627E+4,
1079.000,1.37648516E+4,
1080.00,1.32796357E+4,
1081.000,1.33402998E+4,
1082.000,1.32927764E+4,
1083.000,1.28250020E+4,
1084.000,1.27163594E+4,
1085.000,1.25250703E+4,
1086.000,1.23535830E+4,
1087.000,1.19811885E+4,
1088.000,1.21021074E+4,
1089.000,1.17054336E+4,
1090.00,1.15848154E+4,
1091.000,1.15374639E+4,
1092.000,1.11161572E+4,
1093.000,1.09897959E+4,
1094.000,1.09777686E+4,
1095.000,1.04662520E+4,
1096.000,1.04706445E+4,
1097.000,1.04212354E+4,
1098.000,1.02367266E+4,
1099.000,1.01094287E+4,
1100.00,9.76533594E+3,
1101.000,9.65696094E+3,
1102.000,9.47127246E+3,
1103.000,9.53231250E+3,
1104.000,9.21809766E+3,
1105.000,9.19503809E+3,
1106.000,8.98785938E+3,
1107.000,8.97785449E+3,
1108.000,8.61047070E+3,
1109.000,8.61299902E+3,
1110.00,8.58088379E+3,
1111.000,8.40435059E+3,
1112.000,8.28046777E+3,
1113.000,8.07468848E+3,
1114.000,8.03472363E+3,
1115.000,7.65369482E+3,
1116.000,7.81329785E+3,
1117.000,7.71164307E+3,
1118.000,7.43481299E+3,
1119.000,7.28709668E+3,
1120.00,7.29868701E+3,
1121.000,7.11494775E+3,
1122.000,7.01703906E+3,
1123.000,6.95998096E+3,
1124.000,6.83776563E+3,
1125.000,6.67317285E+3,
1126.000,6.55206592E+3,
1127.000,6.34689844E+3,
1128.000,6.24599707E+3,
1129.000,6.09811523E+3,
1130.00,6.16408154E+3,
1131.000,6.11545117E+3,
1132.000,6.02784717E+3,
1133.000,5.84247314E+3,
1134.000,5.87875391E+3,
1135.000,5.70307910E+3,
1136.000,5.63182764E+3,
1137.000,5.35392773E+3,
1138.000,5.37376123E+3,
1139.000,5.32355859E+3,
1140.00,5.09027148E+3,
1141.000,5.24460449E+3,
1142.000,5.11598926E+3,
1143.000,4.91767578E+3,
1144.000,4.91366260E+3,
1145.000,4.67091016E+3,
1146.000,4.72787256E+3,
1147.000,4.59350586E+3,
1148.000,4.66731152E+3,
1149.000,4.66744824E+3,
1150.00,4.46710059E+3,
1151.000,4.50434424E+3,
1152.000,4.47180469E+3,
1153.000,4.30982275E+3,
1154.000,4.36039063E+3,
1155.000,4.18126025E+3,
1156.000,3.91678955E+3,
1157.000,4.04380811E+3,
1158.000,3.82055933E+3,
1159.000,3.89333716E+3,
1160.00,3.82007080E+3,
1161.000,3.85776489E+3,
1162.000,3.67472827E+3,
1163.000,3.71811377E+3,
1164.000,3.60444458E+3,
1165.000,3.56220459E+3,
1166.000,3.57779956E+3,
1167.000,3.38854834E+3,
1168.000,3.34173877E+3,
