Labels,NaLu2-0,
Type,Excitation Scan,
Comment,,
Start,230.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,822.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

230.00,-2.62839000E+5,
231.00,-2.26479984E+5,
232.00,3.14307156E+5,
233.00,-1.52664570E+4,
234.00,2.78526719E+5,
235.00,7.98963125E+4,
236.00,1.76283516E+5,
237.00,3.17253813E+5,
238.00,2.76745281E+5,
239.00,1.52105953E+5,
240.00,2.16655516E+5,
241.00,2.94267469E+5,
242.00,2.02971219E+5,
243.00,1.60480250E+5,
244.00,2.51057250E+5,
245.00,2.61177016E+5,
246.00,3.20018750E+5,
247.00,3.20396938E+5,
248.00,3.49490688E+5,
249.00,2.37491719E+5,
250.00,3.35406656E+5,
251.00,2.48725938E+5,
252.00,3.24078156E+5,
253.00,3.66547281E+5,
254.00,2.97784313E+5,
255.00,3.18834875E+5,
256.00,3.36025813E+5,
257.00,3.34806281E+5,
258.00,3.49298781E+5,
259.00,3.37683313E+5,
260.00,3.42365813E+5,
261.00,3.30095625E+5,
262.00,3.59784469E+5,
263.00,3.51916969E+5,
264.00,3.21347813E+5,
265.00,3.28718750E+5,
266.00,3.37814469E+5,
267.00,3.48835969E+5,
268.00,3.39535125E+5,
269.00,3.38816750E+5,
270.00,3.60121063E+5,
271.00,3.40713906E+5,
272.00,3.39107281E+5,
273.00,3.42239781E+5,
274.00,3.43429563E+5,
275.00,3.54455906E+5,
276.00,3.44918656E+5,
277.00,3.43213875E+5,
278.00,3.36060563E+5,
279.00,3.50952594E+5,
280.00,3.42516563E+5,
281.00,3.42879219E+5,
282.00,3.46593594E+5,
283.00,3.40725000E+5,
284.00,3.40997031E+5,
285.00,3.48641844E+5,
286.00,3.51989969E+5,
287.00,3.46490219E+5,
288.00,3.57518531E+5,
289.00,3.47615219E+5,
290.00,3.50115188E+5,
291.00,3.49565844E+5,
292.00,3.52193875E+5,
293.00,3.50814344E+5,
294.00,3.53894250E+5,
295.00,3.48546906E+5,
296.00,3.46253031E+5,
297.00,3.53591219E+5,
298.00,3.41899563E+5,
299.00,3.41890375E+5,
300.00,3.44492188E+5,
301.00,3.43071656E+5,
302.00,3.37079469E+5,
303.00,3.30373875E+5,
304.00,3.35913094E+5,
305.00,3.33415250E+5,
306.00,3.29659813E+5,
307.00,3.26419219E+5,
308.00,3.17498906E+5,
309.00,3.14691250E+5,
310.00,3.11527344E+5,
311.00,3.08838938E+5,
312.00,3.01528250E+5,
313.00,3.00366906E+5,
314.00,2.95286625E+5,
315.00,2.95989625E+5,
316.00,2.87929625E+5,
317.00,2.84060813E+5,
318.00,2.72134156E+5,
319.00,2.72237156E+5,
320.00,2.65895563E+5,
321.00,2.65515688E+5,
322.00,2.57540297E+5,
323.00,2.52432125E+5,
324.00,2.45987828E+5,
325.00,2.44014422E+5,
326.00,2.34646000E+5,
327.00,2.34710500E+5,
328.00,2.27929016E+5,
329.00,2.20214250E+5,
330.00,2.17820734E+5,
331.00,2.10495984E+5,
332.00,2.01835953E+5,
333.00,2.02968938E+5,
334.00,1.94141672E+5,
335.00,1.91228563E+5,
336.00,1.85870438E+5,
337.00,1.79418469E+5,
338.00,1.72320000E+5,
339.00,1.65426109E+5,
340.00,1.63919453E+5,
341.00,1.58313859E+5,
342.00,1.52820609E+5,
343.00,1.45469391E+5,
344.00,1.40396188E+5,
345.00,1.35321797E+5,
346.00,1.31038227E+5,
347.00,1.25355234E+5,
348.00,1.19814016E+5,
349.00,1.13905352E+5,
350.00,1.11134281E+5,
351.00,1.04505172E+5,
352.00,9.88853828E+4,
353.00,9.63177813E+4,
354.00,9.18624219E+4,
355.00,8.62520703E+4,
356.00,8.41121875E+4,
357.00,7.89315000E+4,
358.00,7.44711875E+4,
359.00,7.10191250E+4,
360.00,6.81430391E+4,
361.00,6.43423789E+4,
362.00,6.20486094E+4,
363.00,5.87666836E+4,
364.00,5.55235273E+4,
365.00,5.26536914E+4,
366.00,5.01931172E+4,
367.00,4.84638242E+4,
368.00,4.53910039E+4,
369.00,4.46432500E+4,
370.00,4.27620938E+4,
371.00,4.05695781E+4,
372.00,3.97680000E+4,
373.00,3.86266602E+4,
374.00,3.71504258E+4,
375.00,3.71608945E+4,
376.00,3.71053086E+4,
377.00,3.68945039E+4,
378.00,3.62630781E+4,
379.00,3.63311602E+4,
380.00,3.65227891E+4,
381.00,3.79501445E+4,
382.00,3.91767109E+4,
383.00,3.97176094E+4,
384.00,4.17588867E+4,
385.00,4.28380938E+4,
386.00,4.56423203E+4,
387.00,4.75329102E+4,
388.00,5.14223047E+4,
389.00,5.29008633E+4,
390.00,5.71476289E+4,
391.00,6.06086172E+4,
392.00,6.39835586E+4,
393.00,6.73294453E+4,
394.00,7.04109531E+4,
395.00,7.47053516E+4,
396.00,7.87318906E+4,
397.00,8.43640859E+4,
398.00,8.84432969E+4,
399.00,9.41340781E+4,
400.00,9.87506094E+4,
401.00,1.02942703E+5,
402.00,1.08572195E+5,
403.00,1.13746359E+5,
404.00,1.19310836E+5,
405.00,1.24029906E+5,
406.00,1.29379555E+5,
407.00,1.34330781E+5,
408.00,1.38612438E+5,
409.00,1.42006781E+5,
410.00,1.45929578E+5,
411.00,1.51135328E+5,
412.00,1.54227828E+5,
413.00,1.58060594E+5,
414.00,1.64110063E+5,
415.00,1.68666172E+5,
416.00,1.71955688E+5,
417.00,1.77286313E+5,
418.00,1.79905797E+5,
419.00,1.84011203E+5,
420.00,1.86979109E+5,
421.00,1.90599750E+5,
422.00,1.96236516E+5,
423.00,1.99904031E+5,
424.00,2.02392281E+5,
425.00,2.04871438E+5,
426.00,2.09290688E+5,
427.00,2.11508141E+5,
428.00,2.13211750E+5,
429.00,2.15584328E+5,
430.00,2.20056984E+5,
431.00,2.22919750E+5,
432.00,2.23193234E+5,
433.00,2.26265047E+5,
