0.002cr-35.79%
  QY = 35.79%
Labels,EmScan5,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.450,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

435.00,0.00000000E+0,0.00000000E+0,
436.00,9.48589623E-1,9.41022098E-1,
437.00,0.00000000E+0,0.00000000E+0,
438.00,9.52373385E-1,0.00000000E+0,
439.00,9.62306857E-1,9.59439337E-1,
440.00,9.77799296E-1,0.00000000E+0,
441.00,9.96710777E-1,1.98384142E+0,
442.00,0.00000000E+0,1.00729167E+0,
443.00,0.00000000E+0,2.06046057E+0,
444.00,1.05084109E+0,0.00000000E+0,
445.00,1.07299304E+0,3.19156456E+0,
446.00,0.00000000E+0,3.23964739E+0,
447.00,3.29219365E+0,4.36423302E+0,
448.00,1.67181015E+1,2.77482548E+1,
449.00,5.17989349E+1,4.92659836E+1,
450.00,1.10786186E+2,1.46233688E+2,
451.00,2.21811020E+2,2.40933807E+2,
452.00,3.36986877E+2,4.15878571E+2,
453.00,2.18524536E+3,2.75862183E+3,
454.00,4.59220000E+4,5.64125156E+4,
455.00,1.01722953E+5,1.24056164E+5,
456.00,8.44704141E+4,1.03737188E+5,
457.00,2.69465195E+4,3.31954844E+4,
458.00,5.29746155E+2,6.80957397E+2,
459.00,2.57428436E+2,3.08350250E+2,
460.00,1.49004959E+2,2.06836411E+2,
461.00,1.04900291E+2,1.48232697E+2,
462.00,6.04852791E+1,8.91701050E+1,
463.00,3.28767548E+1,6.57927628E+1,
464.00,2.14387817E+1,1.43632994E+1,
465.00,9.12719727E+0,2.53151741E+1,
466.00,1.11285706E+1,1.00703964E+1,
467.00,6.01160908E+0,1.90483570E+1,
468.00,1.79646969E+1,1.59965925E+1,
469.00,1.29797421E+1,1.19267330E+1,
470.00,1.29165297E+1,2.27580490E+1,
471.00,1.68704128E+1,2.08053551E+1,
472.00,3.95487809E+0,1.58151484E+1,
473.00,1.19195595E+1,1.98610935E+1,
474.00,1.29425678E+1,9.96830845E+0,
475.00,4.97331953E+0,1.39428549E+1,
476.00,1.29886055E+1,1.99599438E+1,
477.00,1.30573177E+1,1.59905958E+1,
478.00,9.08899689E+0,7.04682779E+0,
479.00,2.01533680E+1,1.40995722E+1,
480.00,9.12110996E+0,2.11388302E+1,
481.00,1.63094807E+1,2.25079918E+1,
482.00,1.02622433E+1,1.43607702E+1,
483.00,1.03077765E+1,2.36601505E+1,
484.00,1.45765944E+1,2.06377754E+1,
485.00,1.56359615E+1,2.39863052E+1,
486.00,1.78238850E+1,1.05180492E+1,
487.00,1.80435734E+1,2.62722225E+1,
488.00,1.82072163E+1,2.65225563E+1,
489.00,2.58539944E+1,2.47224026E+1,
490.00,1.94663506E+1,2.48700962E+1,
491.00,1.96972809E+1,2.61252842E+1,
492.00,2.31910858E+1,2.30200787E+1,
493.00,1.32979908E+1,2.09343414E+1,
494.00,2.78216877E+1,1.78614941E+1,
495.00,2.02817078E+1,1.90945473E+1,
496.00,2.05109158E+1,3.18140297E+1,
497.00,2.73873177E+1,2.73830662E+1,
498.00,1.37763186E+1,2.17568836E+1,
499.00,2.08745785E+1,2.67181301E+1,
500.00,7.02173185E+0,3.03610592E+1,
501.00,1.77385883E+1,1.99824123E+1,
502.00,2.25006428E+1,2.85033035E+1,
503.00,2.02361164E+1,2.99489727E+1,
504.00,1.20069456E+1,2.87077122E+1,
505.00,2.17966366E+1,2.29463100E+1,
506.00,2.32768440E+1,2.42902412E+1,
507.00,2.21998291E+1,2.71057434E+1,
508.00,1.74439220E+1,2.61040154E+1,
509.00,1.99935856E+1,2.49698677E+1,
510.00,2.39305305E+1,2.64264164E+1,
511.00,1.27653065E+1,2.79904976E+1,
512.00,2.56883163E+1,2.29891701E+1,
513.00,1.80872726E+1,1.94322529E+1,
514.00,2.46653996E+1,3.12267532E+1,
515.00,3.67856865E+1,2.73785496E+1,
516.00,2.64830952E+1,1.97184620E+1,
517.00,1.33769016E+1,1.98900948E+1,
518.00,1.61596222E+1,1.73932571E+1,
519.00,1.08735371E+1,2.03338642E+1,
520.00,1.64105320E+1,3.54151192E+1,
521.00,2.88652439E+1,2.05296993E+1,
522.00,1.11607761E+1,1.80560284E+1,
523.00,2.93278179E+1,3.62765350E+1,
524.00,2.54095974E+1,2.80611649E+1,
525.00,2.69906750E+1,2.70562210E+1,
526.00,1.86777496E+1,3.29863319E+1,
527.00,2.17682610E+1,2.60276184E+1,
528.00,2.03982220E+1,2.19226875E+1,
529.00,2.78757896E+1,2.19739342E+1,
530.00,2.37811890E+1,2.82938652E+1,
531.00,1.94808960E+1,1.65225201E+1,
532.00,3.32027512E+1,2.25313606E+1,
533.00,2.13489933E+1,2.42178669E+1,
534.00,1.08064289E+1,2.14576931E+1,
535.00,1.24221039E+1,2.63440075E+1,
536.00,1.55949087E+1,3.44386826E+1,
537.00,1.10701618E+1,1.57671728E+1,
538.00,2.07576351E+1,3.01768188E+1,
539.00,1.61006889E+1,4.16550446E+1,
540.00,9.69735432E+0,1.77578373E+1,
541.00,1.79658337E+1,2.27844944E+1,
542.00,1.65685196E+1,2.29778538E+1,
543.00,1.83709908E+1,1.81953964E+1,
544.00,1.50932617E+1,1.67450333E+1,
545.00,2.19751377E+1,2.04300613E+1,
546.00,1.54047203E+1,1.70243626E+1,
547.00,1.72847309E+1,1.54652014E+1,
548.00,1.56692934E+1,1.21204252E+1,
549.00,1.92793617E+1,5.24434233E+0,
550.00,1.76277351E+1,1.23465109E+1,
551.00,3.76370583E+1,1.24445467E+1,
552.00,1.61229668E+1,2.33750534E+1,
553.00,1.27360220E+1,1.08859148E+1,
554.00,2.75526161E+1,2.75092583E+1,
555.00,2.22085400E+1,1.48129139E+1,
556.00,1.50384798E+1,2.23974762E+1,
557.00,2.07704525E+1,2.82197990E+1,
558.00,5.71854544E+0,1.72445068E+1,
559.00,1.34791908E+1,1.91730614E+1,
560.00,2.32694054E+1,1.73994961E+1,
561.00,1.37297373E+1,1.36737938E+1,
562.00,1.78419113E+1,2.17734261E+1,
