0.01cr-24.01%
  QY = 24.01%
Labels,EmScan14,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.40,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

435.00,9.43749011E-1,0.00000000E+0,
436.00,0.00000000E+0,9.41022098E-1,
437.00,9.50073957E-1,0.00000000E+0,
438.00,9.51686680E-1,0.00000000E+0,
439.00,0.00000000E+0,9.59439337E-1,
440.00,9.78757203E-1,0.00000000E+0,
441.00,9.92250383E-1,1.98384142E+0,
442.00,0.00000000E+0,1.00729167E+0,
443.00,0.00000000E+0,2.06046057E+0,
444.00,0.00000000E+0,0.00000000E+0,
445.00,1.07165754E+0,3.19156456E+0,
446.00,2.16530967E+0,3.23964739E+0,
447.00,4.38541746E+0,4.36423302E+0,
448.00,8.89685631E+0,2.77482548E+1,
449.00,4.17032814E+1,4.92659836E+1,
450.00,7.45805206E+1,1.46233688E+2,
451.00,1.76704605E+2,2.40933807E+2,
452.00,3.03394714E+2,4.15878571E+2,
453.00,1.92856262E+3,2.75862183E+3,
454.00,3.94232461E+4,5.64125156E+4,
455.00,8.80193125E+4,1.24056164E+5,
456.00,7.21205625E+4,1.03737188E+5,
457.00,2.37657480E+4,3.31954844E+4,
458.00,5.00414124E+2,6.80957397E+2,
459.00,2.60791595E+2,3.08350250E+2,
460.00,1.60716064E+2,2.06836411E+2,
461.00,9.99291458E+1,1.48232697E+2,
462.00,6.48222580E+1,8.91701050E+1,
463.00,3.61149673E+1,6.57927628E+1,
464.00,8.12979317E+0,1.43632994E+1,
465.00,4.04367113E+0,2.53151741E+1,
466.00,1.50687237E+1,1.00703964E+1,
467.00,1.00502758E+1,1.90483570E+1,
468.00,6.99773312E+0,1.59965925E+1,
469.00,1.09506330E+1,1.19267330E+1,
470.00,6.98546171E+0,2.27580490E+1,
471.00,3.96003413E+0,2.08053551E+1,
472.00,1.09401474E+1,1.58151484E+1,
473.00,1.29052801E+1,1.98610935E+1,
474.00,3.96544838E+0,9.96830845E+0,
475.00,1.19511518E+1,1.39428549E+1,
476.00,8.03485775E+0,1.99599438E+1,
477.00,7.03491831E+0,1.59905958E+1,
478.00,8.04104900E+0,7.04682779E+0,
479.00,1.11247787E+1,1.40995722E+1,
480.00,1.32017975E+1,2.11388302E+1,
481.00,1.73788319E+1,2.25079918E+1,
482.00,1.53809128E+1,1.43607702E+1,
483.00,6.16750479E+0,2.36601505E+1,
484.00,1.86274509E+1,2.06377754E+1,
485.00,1.97735672E+1,2.39863052E+1,
486.00,9.41398239E+0,1.05180492E+1,
487.00,1.48167238E+1,2.62722225E+1,
488.00,1.06531973E+1,2.65225563E+1,
489.00,1.07426834E+1,2.47224026E+1,
490.00,1.84046230E+1,2.48700962E+1,
491.00,1.63880196E+1,2.61252842E+1,
492.00,1.42623329E+1,2.30200787E+1,
493.00,2.22009430E+1,2.09343414E+1,
494.00,1.22729797E+1,1.78614941E+1,
495.00,1.01222048E+1,1.90945473E+1,
496.00,2.15777798E+1,3.18140297E+1,
497.00,2.27277985E+1,2.73830662E+1,
498.00,1.50127335E+1,2.17568836E+1,
499.00,2.19699326E+1,2.67181301E+1,
500.00,1.51404181E+1,3.03610592E+1,
501.00,2.36939468E+1,1.99824123E+1,
502.00,1.06554852E+1,2.85033035E+1,
503.00,2.14998951E+1,2.99489727E+1,
504.00,1.80840607E+1,2.87077122E+1,
505.00,2.18283100E+1,2.29463100E+1,
506.00,2.20240822E+1,2.42902412E+1,
507.00,1.71947632E+1,2.71057434E+1,
508.00,1.11713133E+1,2.61040154E+1,
509.00,2.01246128E+1,2.49698677E+1,
510.00,2.25932255E+1,2.64264164E+1,
511.00,1.77935734E+1,2.79904976E+1,
512.00,2.05655079E+1,2.29891701E+1,
513.00,1.43407736E+1,1.94322529E+1,
514.00,1.69834003E+1,3.12267532E+1,
515.00,1.70858974E+1,2.73785496E+1,
516.00,2.77124672E+1,1.97184620E+1,
517.00,1.33027534E+1,1.98900948E+1,
518.00,1.73817501E+1,1.73932571E+1,
519.00,2.03302574E+1,2.03338642E+1,
520.00,1.90633602E+1,3.54151192E+1,
521.00,2.06811714E+1,2.05296993E+1,
522.00,5.54874897E+0,1.80560284E+1,
523.00,1.81184521E+1,3.62765350E+1,
524.00,2.82281914E+1,2.80611649E+1,
525.00,1.99138603E+1,2.70562210E+1,
526.00,1.43667011E+1,3.29863319E+1,
527.00,1.89084854E+1,2.60276184E+1,
528.00,1.60629063E+1,2.19226875E+1,
529.00,1.32157135E+1,2.19739342E+1,
530.00,2.07364922E+1,2.82938652E+1,
531.00,1.64602718E+1,1.65225201E+1,
532.00,1.81803112E+1,2.25313606E+1,
533.00,1.83844700E+1,2.42178669E+1,
534.00,2.44981461E+1,2.14576931E+1,
535.00,1.54988785E+1,2.63440075E+1,
536.00,1.40095406E+1,3.44386826E+1,
537.00,2.04977779E+1,1.57671728E+1,
538.00,1.75076275E+1,3.01768188E+1,
539.00,1.61150360E+1,4.16550446E+1,
540.00,1.13149586E+1,1.77578373E+1,
541.00,1.30414743E+1,2.27844944E+1,
542.00,2.14044418E+1,2.29778538E+1,
543.00,8.27712059E+0,1.81953964E+1,
544.00,1.00270309E+1,1.67450333E+1,
545.00,2.02865391E+1,2.04300613E+1,
546.00,1.53371897E+1,1.70243626E+1,
547.00,1.54915991E+1,1.54652014E+1,
548.00,2.62315044E+1,1.21204252E+1,
549.00,7.05400801E+0,5.24434233E+0,
550.00,5.31475639E+0,1.23465109E+1,
551.00,1.07013807E+1,1.24445467E+1,
552.00,1.43782845E+1,2.33750534E+1,
553.00,1.27514420E+1,1.08859148E+1,
554.00,1.47014179E+1,2.75092583E+1,
555.00,1.29410763E+1,1.48129139E+1,
556.00,9.39590931E+0,2.23974762E+1,
557.00,1.13215570E+1,2.82197990E+1,
558.00,1.52356100E+1,1.72445068E+1,
559.00,2.87136192E+1,1.91730614E+1,
560.00,1.73977680E+1,1.73994961E+1,
561.00,5.86213923E+0,1.36737938E+1,
562.00,1.78332005E+1,2.17734261E+1,
