Labels,rt,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9999852,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.999990,
Detector,Det2,

600.00,4.28646698E+2,
601.00,5.63721497E+2,
602.00,3.40937439E+2,
603.00,4.22363159E+2,
604.00,3.09499939E+2,
605.00,6.62099792E+2,
606.00,5.56314697E+2,
607.00,4.68989288E+2,
608.00,6.27533081E+2,
609.00,5.19569397E+2,
610.00,5.50372620E+2,
611.00,6.77923828E+2,
612.00,4.14395294E+2,
613.00,5.20372375E+2,
614.00,5.61822449E+2,
615.00,4.94062195E+2,
616.00,4.56002319E+2,
617.00,4.57122833E+2,
618.00,4.05859955E+2,
619.00,4.89561676E+2,
620.00,5.17852844E+2,
621.00,4.36136627E+2,
622.00,5.64135254E+2,
623.00,6.37807983E+2,
624.00,4.99777405E+2,
625.00,4.25881439E+2,
626.00,4.90649567E+2,
627.00,3.99266785E+2,
628.00,5.25678955E+2,
629.00,6.16997986E+2,
630.00,3.99421204E+2,
631.00,4.81877869E+2,
632.00,3.79573975E+2,
633.00,4.89428070E+2,
634.00,3.84921295E+2,
635.00,3.77154266E+2,
636.00,3.83044342E+2,
637.00,4.84010925E+2,
638.00,5.79748169E+2,
639.00,7.62835388E+2,
640.00,5.01523346E+2,
641.00,6.76377930E+2,
642.00,6.07525269E+2,
643.00,6.31163025E+2,
644.00,6.01537903E+2,
645.00,5.75575256E+2,
646.00,6.42320435E+2,
647.00,5.67968567E+2,
648.00,6.65174805E+2,
649.00,6.92690186E+2,
650.00,7.63770691E+2,
651.00,6.74812439E+2,
652.00,7.11208069E+2,
653.00,7.38354126E+2,
654.00,7.66292908E+2,
655.00,8.45539429E+2,
656.00,8.40829346E+2,
657.00,8.64105408E+2,
658.00,9.62372253E+2,
659.00,1.07934888E+3,
660.00,1.06254919E+3,
661.00,1.25572400E+3,
662.00,1.21976086E+3,
663.00,1.13079297E+3,
664.00,1.27084766E+3,
665.00,1.35339734E+3,
666.00,1.47214478E+3,
667.00,1.45252710E+3,
668.00,1.55647314E+3,
669.00,1.73593579E+3,
670.00,1.82358496E+3,
671.00,1.87038940E+3,
672.00,2.08609937E+3,
673.00,2.29526587E+3,
674.00,2.23738013E+3,
675.00,2.34174487E+3,
676.00,2.53337378E+3,
677.00,2.81564014E+3,
678.00,3.00536328E+3,
679.00,3.24034473E+3,
680.00,3.36066626E+3,
681.00,3.43913330E+3,
682.00,3.90742358E+3,
683.00,3.97765552E+3,
684.00,4.26267676E+3,
685.00,4.61228662E+3,
686.00,4.72660498E+3,
687.00,5.11734375E+3,
688.00,5.52772266E+3,
689.00,5.91553125E+3,
690.00,6.25287939E+3,
691.00,6.83233545E+3,
692.00,7.29216699E+3,
693.00,7.90583887E+3,
694.00,8.87476465E+3,
695.00,9.51250684E+3,
696.00,1.01025049E+4,
697.00,1.09524355E+4,
698.00,1.21624043E+4,
699.00,1.23874688E+4,
700.00,1.28184473E+4,
701.00,1.34741035E+4,
702.00,1.42094971E+4,
703.00,1.48601709E+4,
704.00,1.54020576E+4,
705.00,1.60970488E+4,
706.00,1.67796465E+4,
707.00,1.73766152E+4,
708.00,1.81956113E+4,
709.00,1.92414004E+4,
710.00,1.97090332E+4,
711.00,2.03750742E+4,
712.00,2.11276270E+4,
713.00,2.21126660E+4,
714.00,2.30870957E+4,
715.00,2.33773750E+4,
716.00,2.50447324E+4,
717.00,2.57169160E+4,
718.00,2.62675918E+4,
719.00,2.74875957E+4,
720.00,2.87088203E+4,
721.00,2.96557910E+4,
722.00,3.03390488E+4,
723.00,3.12825742E+4,
724.00,3.27698945E+4,
725.00,3.28732188E+4,
726.00,3.39866836E+4,
727.00,3.59058750E+4,
728.00,3.62963750E+4,
729.00,3.75113906E+4,
730.00,3.84169688E+4,
731.00,4.00247930E+4,
732.00,4.13280391E+4,
733.00,4.21751523E+4,
734.00,4.29630547E+4,
735.00,4.38311055E+4,
736.00,4.48813125E+4,
737.00,4.66478477E+4,
738.00,4.70356680E+4,
739.00,4.91007148E+4,
740.00,5.00673125E+4,
741.00,5.11494414E+4,
742.00,5.26263867E+4,
743.00,5.35595742E+4,
744.00,5.47836289E+4,
745.00,5.58502266E+4,
746.00,5.71983242E+4,
747.00,5.88578164E+4,
748.00,6.01891016E+4,
749.00,6.16848320E+4,
750.00,6.25787656E+4,
751.00,6.39094102E+4,
752.00,6.50621719E+4,
753.00,6.61352500E+4,
754.00,6.70316406E+4,
755.00,6.89170469E+4,
756.00,6.99922422E+4,
757.00,7.13490234E+4,
758.00,7.23568516E+4,
759.00,7.33870078E+4,
760.00,7.45131484E+4,
761.00,7.62869063E+4,
762.00,7.72241016E+4,
763.00,7.84293438E+4,
764.00,7.97567266E+4,
765.00,8.06954531E+4,
766.00,8.22329375E+4,
767.00,8.38481250E+4,
768.00,8.38815859E+4,
769.00,8.52131563E+4,
770.00,8.67187500E+4,
771.00,8.76913281E+4,
772.00,8.89430859E+4,
773.00,8.91725234E+4,
774.00,9.01532813E+4,
775.00,9.27677500E+4,
776.00,9.30491328E+4,
777.00,9.39344844E+4,
778.00,9.47232734E+4,
779.00,9.60613359E+4,
780.00,9.78332891E+4,
781.00,9.80853984E+4,
782.00,9.90883672E+4,
783.00,9.98003438E+4,
784.00,1.00856398E+5,
785.00,1.01974266E+5,
786.00,1.02559852E+5,
787.00,1.03402055E+5,
788.00,1.04629805E+5,
789.00,1.05585133E+5,
790.00,1.06863531E+5,
791.00,1.06090969E+5,
792.00,1.07799406E+5,
793.00,1.07559156E+5,
794.00,1.08196891E+5,
795.00,1.09704086E+5,
796.00,1.10960805E+5,
797.00,1.10986555E+5,
798.00,1.11588906E+5,
799.00,1.12385289E+5,
800.00,1.12653961E+5,
801.00,1.13274578E+5,
802.00,1.14859180E+5,
803.00,1.14055320E+5,
804.00,1.15194133E+5,
805.00,1.14795813E+5,
806.00,1.16597883E+5,
807.00,1.16002086E+5,
808.00,1.17296555E+5,
809.00,1.17867891E+5,
810.00,1.18224492E+5,
811.00,1.18153727E+5,
812.00,1.19357781E+5,
813.00,1.19308172E+5,
814.00,1.19385445E+5,
815.00,1.19829539E+5,
816.00,1.18645453E+5,
817.00,1.19737406E+5,
818.00,1.19808273E+5,
819.00,1.19764703E+5,
820.00,1.19900898E+5,
821.00,1.18629820E+5,
822.00,1.20016234E+5,
823.00,1.19576211E+5,
824.00,1.20187133E+5,
825.00,1.19448391E+5,
826.00,1.19669289E+5,
827.00,1.20276508E+5,
828.00,1.20882688E+5,
829.00,1.19786602E+5,
830.00,1.18999836E+5,
831.00,1.19313000E+5,
832.00,1.19770305E+5,
833.00,1.19303633E+5,
834.00,1.18862711E+5,
835.00,1.18991828E+5,
836.00,1.19470656E+5,
837.00,1.18833578E+5,
838.00,1.18198102E+5,
839.00,1.17170367E+5,
840.00,1.17479656E+5,
841.00,1.18009156E+5,
842.00,1.17557313E+5,
843.00,1.16665281E+5,
844.00,1.16453250E+5,
845.00,1.16863531E+5,
846.00,1.15879148E+5,
847.00,1.15336320E+5,
848.00,1.15610281E+5,
849.00,1.15549211E+5,
850.00,1.14808555E+5,
851.00,1.13386375E+5,
852.00,1.14563039E+5,
853.00,1.13628555E+5,
854.00,1.12533898E+5,
855.00,1.11834523E+5,
856.00,1.11615000E+5,
857.00,1.11074727E+5,
858.00,1.10008383E+5,
859.00,1.10034875E+5,
860.00,1.09021117E+5,
861.00,1.08998141E+5,
862.00,1.08957227E+5,
863.00,1.07566000E+5,
864.00,1.06947922E+5,
865.00,1.06394383E+5,
866.00,1.05649492E+5,
867.00,1.05341344E+5,
868.00,1.05016602E+5,
869.00,1.04292609E+5,
870.00,1.03038141E+5,
871.00,1.02526922E+5,
872.00,1.01669430E+5,
873.00,1.01631531E+5,
874.00,1.00974930E+5,
875.00,9.91648125E+4,
876.00,9.73955313E+4,
877.00,9.83120234E+4,
878.00,9.76566875E+4,
879.00,9.61543594E+4,
880.00,9.54853203E+4,
881.00,9.50583906E+4,
882.00,9.41439688E+4,
883.00,9.29727031E+4,
884.00,9.26536953E+4,
885.00,9.23330078E+4,
886.00,9.08814609E+4,
887.00,9.05439063E+4,
888.00,8.94778516E+4,
889.00,8.86154453E+4,
890.00,8.81781016E+4,
891.00,8.74394453E+4,
892.00,8.65918984E+4,
893.00,8.50727500E+4,
894.00,8.46781719E+4,
895.00,8.42602188E+4,
896.00,8.36720938E+4,
897.00,8.29443281E+4,
898.00,8.23379531E+4,
899.00,8.10873594E+4,
900.00,8.01857422E+4,
901.00,7.90013281E+4,
902.00,7.82181016E+4,
903.00,7.79229609E+4,
904.00,7.72409453E+4,
905.00,7.62398281E+4,
906.00,7.56086797E+4,
907.00,7.47991563E+4,
908.00,7.48089922E+4,
909.00,7.37746328E+4,
910.00,7.27766172E+4,
911.00,7.25584375E+4,
912.00,7.15026406E+4,
913.00,7.12681953E+4,
914.00,7.03967344E+4,
915.00,6.94654219E+4,
916.00,6.90831406E+4,
917.00,6.82316016E+4,
918.00,6.74104219E+4,
919.00,6.66179297E+4,
920.00,6.62083906E+4,
921.00,6.47312734E+4,
922.00,6.42467422E+4,
923.00,6.36428789E+4,
924.00,6.27397930E+4,
925.00,6.16050703E+4,
926.00,6.14757148E+4,
927.00,6.06480625E+4,
928.00,5.98658203E+4,
929.00,5.89850352E+4,
930.00,5.82613906E+4,
931.00,5.77146094E+4,
932.00,5.72402109E+4,
933.00,5.70545469E+4,
934.00,5.57747109E+4,
935.00,5.53067969E+4,
936.00,5.45634492E+4,
937.00,5.36928672E+4,
938.00,5.29128203E+4,
939.00,5.26402617E+4,
940.00,5.18190391E+4,
941.00,5.12819102E+4,
942.00,5.08104883E+4,
943.00,5.00921836E+4,
944.00,4.95225898E+4,
945.00,4.87692930E+4,
946.00,4.82733789E+4,
947.00,4.71755391E+4,
948.00,4.67019648E+4,
949.00,4.60262227E+4,
950.00,4.53290586E+4,
951.00,4.48007734E+4,
952.00,4.42677891E+4,
953.00,4.38413555E+4,
954.00,4.33678906E+4,
955.00,4.28233320E+4,
956.00,4.22013789E+4,
957.00,4.16081133E+4,
958.00,4.10242813E+4,
959.00,4.06156563E+4,
960.00,3.98989102E+4,
961.00,3.96477773E+4,
962.00,3.90863164E+4,
963.00,3.86360898E+4,
964.00,3.80108711E+4,
965.00,3.73542813E+4,
966.00,3.67580586E+4,
967.00,3.64571875E+4,
968.00,3.60834375E+4,
969.00,3.56061602E+4,
970.00,3.51607539E+4,
971.00,3.49813477E+4,
972.00,3.44970742E+4,
973.00,3.40560313E+4,
974.00,3.39808867E+4,
975.00,3.31116914E+4,
976.00,3.29550000E+4,
977.00,3.21950332E+4,
978.00,3.19549727E+4,
979.00,3.13136973E+4,
980.00,3.09832344E+4,
981.00,3.09533770E+4,
982.00,3.03765918E+4,
983.00,2.99077148E+4,
984.00,2.95075918E+4,
985.00,2.91524473E+4,
986.00,2.86621426E+4,
987.00,2.82726484E+4,
988.00,2.78544922E+4,
989.00,2.74564492E+4,
990.00,2.71890176E+4,
991.00,2.67869473E+4,
992.00,2.64865391E+4,
993.00,2.59229766E+4,
994.00,2.56909160E+4,
995.00,2.53422344E+4,
996.00,2.48108047E+4,
997.00,2.44767031E+4,
998.00,2.40263535E+4,
999.00,2.39082344E+4,
1000.00,2.33894141E+4,
1001.000,2.29870801E+4,
1002.000,2.27827285E+4,
1003.000,2.22693379E+4,
1004.000,2.20703945E+4,
1005.000,2.15744609E+4,
1006.000,2.13112793E+4,
1007.000,2.09036113E+4,
1008.000,2.07324609E+4,
1009.000,2.04296504E+4,
1010.00,1.99473730E+4,
1011.000,1.97289785E+4,
1012.000,1.93749590E+4,
1013.000,1.92962012E+4,
1014.000,1.88405293E+4,
1015.000,1.86265195E+4,
1016.000,1.85149531E+4,
1017.000,1.80444902E+4,
1018.000,1.78163125E+4,
1019.000,1.74999531E+4,
1020.00,1.73719082E+4,
1021.000,1.70226836E+4,
1022.000,1.68707539E+4,
1023.000,1.65185742E+4,
1024.000,1.62676445E+4,
1025.000,1.60133174E+4,
1026.000,1.58415850E+4,
1027.000,1.56014473E+4,
1028.000,1.53156602E+4,
1029.000,1.51035684E+4,
1030.00,1.47580391E+4,
1031.000,1.45476406E+4,
1032.000,1.42945918E+4,
1033.000,1.42686748E+4,
1034.000,1.39656924E+4,
1035.000,1.38523936E+4,
1036.000,1.35838740E+4,
1037.000,1.33121475E+4,
1038.000,1.30574170E+4,
1039.000,1.29078486E+4,
1040.00,1.26206650E+4,
1041.000,1.25058613E+4,
1042.000,1.22609854E+4,
1043.000,1.22190254E+4,
1044.000,1.20305957E+4,
1045.000,1.17162559E+4,
1046.000,1.15755176E+4,
1047.000,1.14522539E+4,
1048.000,1.12231035E+4,
1049.000,1.11193193E+4,
1050.00,1.09705381E+4,
1051.000,1.06808936E+4,
1052.000,1.05973174E+4,
1053.000,1.03061348E+4,
1054.000,1.02173018E+4,
1055.000,1.00240859E+4,
1056.000,9.94764160E+3,
1057.000,9.81477051E+3,
1058.000,9.57144336E+3,
1059.000,9.45355273E+3,
1060.00,9.34432910E+3,
1061.000,9.18741895E+3,
1062.000,8.97683301E+3,
1063.000,8.79968164E+3,
1064.000,8.67071094E+3,
1065.000,8.60567285E+3,
1066.000,8.43413086E+3,
1067.000,8.35354688E+3,
1068.000,8.20932129E+3,
1069.000,8.03737549E+3,
1070.00,7.92691895E+3,
1071.000,7.81534229E+3,
1072.000,7.65016943E+3,
1073.000,7.52717090E+3,
1074.000,7.48592871E+3,
1075.000,7.21939502E+3,
1076.000,7.18562842E+3,
1077.000,7.04995166E+3,
1078.000,7.00025830E+3,
1079.000,6.84872656E+3,
1080.00,6.77390479E+3,
1081.000,6.70523828E+3,
1082.000,6.51251807E+3,
1083.000,6.41896240E+3,
1084.000,6.35916113E+3,
1085.000,6.18534668E+3,
1086.000,6.20502588E+3,
1087.000,6.02305664E+3,
1088.000,5.96357666E+3,
1089.000,5.82833691E+3,
1090.00,5.75599951E+3,
1091.000,5.67767627E+3,
1092.000,5.63121631E+3,
1093.000,5.53585547E+3,
1094.000,5.39096484E+3,
1095.000,5.33840283E+3,
1096.000,5.22332959E+3,
1097.000,5.11556445E+3,
1098.000,5.04358301E+3,
1099.000,4.99639893E+3,
1100.00,4.84450732E+3,
1101.000,4.83964307E+3,
1102.000,4.77991455E+3,
1103.000,4.68980469E+3,
1104.000,4.58656787E+3,
1105.000,4.54051611E+3,
1106.000,4.48769678E+3,
1107.000,4.44117041E+3,
1108.000,4.28433301E+3,
1109.000,4.19371143E+3,
1110.00,4.17005469E+3,
1111.000,4.14235791E+3,
1112.000,4.03250806E+3,
1113.000,3.99408276E+3,
1114.000,3.96146899E+3,
1115.000,3.85761377E+3,
1116.000,3.77850830E+3,
1117.000,3.74372998E+3,
1118.000,3.70803711E+3,
1119.000,3.59945801E+3,
1120.00,3.55962793E+3,
1121.000,3.53541870E+3,
1122.000,3.49488892E+3,
1123.000,3.44294556E+3,
1124.000,3.38079077E+3,
1125.000,3.29601099E+3,
1126.000,3.27163184E+3,
1127.000,3.16921777E+3,
1128.000,3.15605103E+3,
1129.000,3.06057935E+3,
1130.00,3.00784131E+3,
1131.000,2.96248608E+3,
1132.000,2.91501147E+3,
1133.000,2.92702905E+3,
1134.000,2.90735083E+3,
1135.000,2.81601978E+3,
1136.000,2.82461865E+3,
1137.000,2.69721021E+3,
1138.000,2.63399341E+3,
1139.000,2.60543628E+3,
1140.00,2.63804126E+3,
1141.000,2.53706934E+3,
1142.000,2.52832153E+3,
1143.000,2.48553906E+3,
1144.000,2.44606030E+3,
1145.000,2.39261133E+3,
1146.000,2.36446460E+3,
1147.000,2.32583496E+3,
1148.000,2.25833374E+3,
1149.000,2.26311621E+3,
1150.00,2.20728369E+3,
1151.000,2.18411377E+3,
1152.000,2.17619629E+3,
1153.000,2.09612378E+3,
1154.000,2.09223120E+3,
1155.000,2.05649634E+3,
1156.000,2.01858362E+3,
1157.000,2.00274341E+3,
1158.000,1.95799390E+3,
1159.000,1.92143298E+3,
1160.00,1.90637085E+3,
1161.000,1.91090906E+3,
1162.000,1.86698596E+3,
1163.000,1.80407117E+3,
1164.000,1.75908533E+3,
1165.000,1.77454053E+3,
1166.000,1.74839600E+3,
1167.000,1.70723499E+3,
1168.000,1.65631482E+3,
1169.000,1.65903357E+3,
1170.00,1.66991321E+3,
1171.000,1.63099109E+3,
