Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9999852,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.999990,
Detector,Det2,

600.00,3.03149052E+1,
601.00,1.13775017E+2,
602.00,-2.12814621E+2,
603.00,-3.97721176E+1,
604.00,2.72674194E+2,
605.00,1.30672226E+2,
606.00,1.40896759E+2,
607.00,1.66522049E+2,
608.00,1.89480453E+2,
609.00,6.56982803E+1,
610.00,3.26124344E+1,
611.00,6.41030884E+1,
612.00,-7.73539429E+1,
613.00,-8.04846497E+1,
614.00,7.22767115E+0,
615.00,-1.06168739E+2,
616.00,-2.61130028E+1,
617.00,1.29740891E+2,
618.00,1.39767532E+2,
619.00,2.50362129E+1,
620.00,1.52334778E+2,
621.00,-1.14197369E+1,
622.00,-9.75007858E+1,
623.00,-3.98168945E+1,
624.00,-7.19033737E+1,
625.00,-7.88106308E+1,
626.00,1.22047892E+1,
627.00,8.52436600E+1,
628.00,1.14131264E+2,
629.00,1.45672897E+2,
630.00,-5.52429628E+0,
631.00,2.42224636E+1,
632.00,1.41506729E+1,
633.00,-5.08239517E+1,
634.00,-7.90119400E+1,
635.00,-2.05489941E+1,
636.00,-1.59358261E+2,
637.00,1.00272484E+1,
638.00,-1.02158913E+2,
639.00,7.83528671E+1,
640.00,8.99716949E+1,
641.00,-1.09195030E+0,
642.00,-2.84199448E+1,
643.00,-7.32357330E+1,
644.00,-6.21255989E+1,
645.00,-8.68020706E+1,
646.00,-8.76041412E+1,
647.00,-2.91630821E+1,
648.00,1.21413925E+2,
649.00,6.51419144E+1,
650.00,-2.05863380E+1,
651.00,-9.76228523E+0,
652.00,6.59434280E+1,
653.00,-2.90172710E+1,
654.00,1.39294876E+2,
655.00,8.21467514E+1,
656.00,9.78848934E+0,
657.00,9.58232498E+1,
658.00,6.69403839E+1,
659.00,-8.55010300E+1,
660.00,5.69742966E+1,
661.00,7.83193359E+1,
662.00,3.86349678E+1,
663.00,2.33053406E+2,
664.00,1.29971970E+2,
665.00,1.20179474E+2,
666.00,2.11576492E+2,
667.00,1.13100998E+2,
668.00,1.97492889E+2,
669.00,2.53944580E+2,
670.00,2.41971985E+2,
671.00,2.52791016E+2,
672.00,3.89333588E+2,
673.00,2.91701111E+2,
674.00,4.48014587E+2,
675.00,4.69055542E+2,
676.00,4.90253845E+2,
677.00,5.77034912E+2,
678.00,5.49147339E+2,
679.00,3.46785278E+2,
680.00,5.02500031E+2,
681.00,7.34436218E+2,
682.00,6.77473083E+2,
683.00,7.41135925E+2,
684.00,8.61792969E+2,
685.00,8.94600342E+2,
686.00,8.43309814E+2,
687.00,9.43448364E+2,
688.00,1.06388257E+3,
689.00,1.26407544E+3,
690.00,1.27187183E+3,
691.00,1.37743054E+3,
692.00,1.71654260E+3,
693.00,1.73687048E+3,
694.00,2.01377161E+3,
695.00,2.11490625E+3,
696.00,2.35623169E+3,
697.00,2.54128052E+3,
698.00,2.78878833E+3,
699.00,2.73600854E+3,
700.00,3.23778955E+3,
701.00,3.46907739E+3,
702.00,3.74384741E+3,
703.00,4.07701855E+3,
704.00,4.02994800E+3,
705.00,4.50972363E+3,
706.00,4.75450342E+3,
707.00,4.89061719E+3,
708.00,4.99886719E+3,
709.00,5.32017334E+3,
710.00,5.35936963E+3,
711.00,6.15106104E+3,
712.00,6.45135107E+3,
713.00,6.49217285E+3,
714.00,6.79242773E+3,
715.00,7.43088818E+3,
716.00,7.73535205E+3,
717.00,8.14545508E+3,
718.00,8.64279004E+3,
719.00,8.73156348E+3,
720.00,9.07253125E+3,
721.00,9.53855566E+3,
722.00,1.03330381E+4,
723.00,1.03300576E+4,
724.00,1.12323428E+4,
725.00,1.15588809E+4,
726.00,1.22275010E+4,
727.00,1.24287676E+4,
728.00,1.30480996E+4,
729.00,1.37178906E+4,
730.00,1.43091934E+4,
731.00,1.49375342E+4,
732.00,1.58279141E+4,
733.00,1.60742266E+4,
734.00,1.72536934E+4,
735.00,1.76454492E+4,
736.00,1.82817852E+4,
737.00,1.86780273E+4,
738.00,1.93468594E+4,
739.00,1.97720820E+4,
740.00,2.13913789E+4,
741.00,2.15723086E+4,
742.00,2.26503086E+4,
743.00,2.34488750E+4,
744.00,2.41014375E+4,
745.00,2.49322656E+4,
746.00,2.59686426E+4,
747.00,2.72089707E+4,
748.00,2.79400879E+4,
749.00,2.85314902E+4,
750.00,2.93327832E+4,
751.00,3.02732148E+4,
752.00,3.14579219E+4,
753.00,3.23480742E+4,
754.00,3.35838047E+4,
755.00,3.42779961E+4,
756.00,3.51633320E+4,
757.00,3.63461328E+4,
758.00,3.72559766E+4,
759.00,3.80713125E+4,
760.00,3.96999219E+4,
761.00,4.05902539E+4,
762.00,4.12096563E+4,
763.00,4.26410430E+4,
764.00,4.40923086E+4,
765.00,4.52573906E+4,
766.00,4.62371055E+4,
767.00,4.71938438E+4,
768.00,4.77624375E+4,
769.00,4.89993555E+4,
770.00,5.07278008E+4,
771.00,5.15003516E+4,
772.00,5.28647188E+4,
773.00,5.42425039E+4,
774.00,5.50529883E+4,
775.00,5.60366680E+4,
776.00,5.77450313E+4,
777.00,5.82450664E+4,
778.00,5.98325430E+4,
779.00,6.08645352E+4,
780.00,6.25321055E+4,
781.00,6.29949883E+4,
782.00,6.45272461E+4,
783.00,6.53393242E+4,
784.00,6.60840313E+4,
785.00,6.83953828E+4,
786.00,6.81715625E+4,
787.00,7.02770078E+4,
788.00,7.16452422E+4,
789.00,7.18786719E+4,
790.00,7.28798906E+4,
791.00,7.43209219E+4,
792.00,7.55302656E+4,
793.00,7.62435859E+4,
794.00,7.73289609E+4,
795.00,7.79316484E+4,
796.00,7.90382891E+4,
797.00,8.04950938E+4,
798.00,8.19839922E+4,
799.00,8.31903672E+4,
800.00,8.42937422E+4,
801.00,8.47895781E+4,
802.00,8.54019375E+4,
803.00,8.62292969E+4,
804.00,8.72388438E+4,
805.00,8.92795469E+4,
806.00,8.96769453E+4,
807.00,9.13764609E+4,
808.00,9.13568984E+4,
809.00,9.21131094E+4,
810.00,9.30577891E+4,
811.00,9.41809531E+4,
812.00,9.51644531E+4,
813.00,9.49056797E+4,
814.00,9.68144219E+4,
815.00,9.71678750E+4,
816.00,9.71875156E+4,
817.00,9.79597344E+4,
818.00,9.90259453E+4,
819.00,9.89649609E+4,
820.00,1.00846250E+5,
821.00,1.01043188E+5,
822.00,1.02071492E+5,
823.00,1.02273750E+5,
824.00,1.02220195E+5,
825.00,1.03009188E+5,
826.00,1.03539477E+5,
827.00,1.05293523E+5,
828.00,1.04462359E+5,
829.00,1.03763406E+5,
830.00,1.04992883E+5,
831.00,1.05328703E+5,
832.00,1.05378266E+5,
833.00,1.05976859E+5,
834.00,1.06728531E+5,
835.00,1.06274078E+5,
836.00,1.06537609E+5,
837.00,1.07237078E+5,
838.00,1.07912336E+5,
839.00,1.08489359E+5,
840.00,1.08939625E+5,
841.00,1.07969266E+5,
842.00,1.09269047E+5,
843.00,1.09072094E+5,
844.00,1.09125141E+5,
845.00,1.09608609E+5,
846.00,1.09757188E+5,
847.00,1.09049578E+5,
848.00,1.09613250E+5,
849.00,1.08910789E+5,
850.00,1.08882125E+5,
851.00,1.09388328E+5,
852.00,1.10427766E+5,
853.00,1.09667594E+5,
854.00,1.09247359E+5,
855.00,1.10419180E+5,
856.00,1.09910859E+5,
857.00,1.10393766E+5,
858.00,1.09480445E+5,
859.00,1.09617250E+5,
860.00,1.08513414E+5,
861.00,1.09557961E+5,
862.00,1.09108883E+5,
863.00,1.09148117E+5,
864.00,1.08884875E+5,
865.00,1.08441859E+5,
866.00,1.07594000E+5,
867.00,1.07428820E+5,
868.00,1.06628820E+5,
869.00,1.06407063E+5,
870.00,1.07424844E+5,
871.00,1.06883094E+5,
872.00,1.05236039E+5,
873.00,1.06399359E+5,
874.00,1.05371422E+5,
875.00,1.04962352E+5,
876.00,1.04630906E+5,
877.00,1.04733523E+5,
878.00,1.03306523E+5,
879.00,1.03225891E+5,
880.00,1.02451211E+5,
881.00,1.02058563E+5,
882.00,1.01549992E+5,
883.00,1.01052633E+5,
884.00,1.00411391E+5,
885.00,1.00423102E+5,
886.00,9.94206094E+4,
887.00,9.87720781E+4,
888.00,9.84793438E+4,
889.00,9.78572422E+4,
890.00,9.75219297E+4,
891.00,9.63607266E+4,
892.00,9.60881953E+4,
893.00,9.57652422E+4,
894.00,9.45614922E+4,
895.00,9.47063203E+4,
896.00,9.36094766E+4,
897.00,9.31442188E+4,
898.00,9.20588828E+4,
899.00,9.19972813E+4,
900.00,9.11645156E+4,
901.00,9.05746875E+4,
902.00,9.00812031E+4,
903.00,8.94760313E+4,
904.00,8.93813125E+4,
905.00,8.76178359E+4,
906.00,8.75506328E+4,
907.00,8.71354922E+4,
908.00,8.66076406E+4,
909.00,8.53773516E+4,
910.00,8.45125781E+4,
911.00,8.42297188E+4,
912.00,8.39643516E+4,
913.00,8.36977500E+4,
914.00,8.27606563E+4,
915.00,8.23128672E+4,
916.00,8.17416719E+4,
917.00,8.08692969E+4,
918.00,8.00450078E+4,
919.00,7.97451406E+4,
920.00,7.87896875E+4,
921.00,7.83536016E+4,
922.00,7.75242813E+4,
923.00,7.67568438E+4,
924.00,7.60398281E+4,
925.00,7.53553594E+4,
926.00,7.49672266E+4,
927.00,7.41847578E+4,
928.00,7.34749141E+4,
929.00,7.25529141E+4,
930.00,7.16441250E+4,
931.00,7.11953672E+4,
932.00,7.02784531E+4,
933.00,6.94269766E+4,
934.00,6.87198203E+4,
935.00,6.85659844E+4,
936.00,6.79549375E+4,
937.00,6.70916172E+4,
938.00,6.61796797E+4,
939.00,6.51120273E+4,
940.00,6.46398242E+4,
941.00,6.41557656E+4,
942.00,6.31314766E+4,
943.00,6.30608477E+4,
944.00,6.25800000E+4,
945.00,6.19535156E+4,
946.00,6.09936250E+4,
947.00,6.04191328E+4,
948.00,5.96415234E+4,
949.00,5.90586406E+4,
950.00,5.78620195E+4,
951.00,5.75838008E+4,
952.00,5.70389727E+4,
953.00,5.60296797E+4,
954.00,5.55335547E+4,
955.00,5.49048203E+4,
956.00,5.45551133E+4,
957.00,5.38833945E+4,
958.00,5.32852109E+4,
959.00,5.26603867E+4,
960.00,5.19048477E+4,
961.00,5.15552148E+4,
962.00,5.09611523E+4,
963.00,5.03370898E+4,
964.00,4.95614453E+4,
965.00,4.87054297E+4,
966.00,4.81296680E+4,
967.00,4.77015234E+4,
968.00,4.71896875E+4,
969.00,4.70512695E+4,
970.00,4.63293047E+4,
971.00,4.58868945E+4,
972.00,4.53789141E+4,
973.00,4.48691328E+4,
974.00,4.46541641E+4,
975.00,4.41253281E+4,
976.00,4.35375859E+4,
977.00,4.31336250E+4,
978.00,4.22964180E+4,
979.00,4.21103164E+4,
980.00,4.11288594E+4,
981.00,4.07974531E+4,
982.00,4.00883164E+4,
983.00,3.99082734E+4,
984.00,3.95013672E+4,
985.00,3.91948867E+4,
986.00,3.83465000E+4,
987.00,3.80144023E+4,
988.00,3.74909570E+4,
989.00,3.68663867E+4,
990.00,3.64650156E+4,
991.00,3.62824258E+4,
992.00,3.57144609E+4,
993.00,3.51177227E+4,
994.00,3.45966211E+4,
995.00,3.40479141E+4,
996.00,3.37355195E+4,
997.00,3.32703945E+4,
998.00,3.28982461E+4,
999.00,3.23673359E+4,
1000.00,3.19273594E+4,
1001.000,3.15668262E+4,
1002.000,3.11237871E+4,
1003.000,3.07026582E+4,
1004.000,3.04482051E+4,
1005.000,3.01226523E+4,
1006.000,2.94498809E+4,
1007.000,2.91957988E+4,
1008.000,2.87786094E+4,
1009.000,2.83624316E+4,
1010.00,2.78020391E+4,
1011.000,2.75708574E+4,
1012.000,2.71979492E+4,
1013.000,2.67926953E+4,
1014.000,2.62854902E+4,
1015.000,2.60603945E+4,
1016.000,2.58117988E+4,
1017.000,2.54637051E+4,
1018.000,2.50190840E+4,
1019.000,2.46615156E+4,
1020.00,2.43715820E+4,
1021.000,2.41531816E+4,
1022.000,2.36694648E+4,
1023.000,2.32712754E+4,
1024.000,2.29366016E+4,
1025.000,2.28361387E+4,
1026.000,2.25270781E+4,
1027.000,2.21013613E+4,
1028.000,2.18604395E+4,
1029.000,2.15767461E+4,
1030.00,2.11829297E+4,
1031.000,2.08374980E+4,
1032.000,2.07203594E+4,
1033.000,2.04323672E+4,
1034.000,2.01768398E+4,
1035.000,1.96522891E+4,
1036.000,1.95009922E+4,
1037.000,1.91268906E+4,
1038.000,1.90079043E+4,
1039.000,1.84260605E+4,
1040.00,1.83265566E+4,
1041.000,1.81140879E+4,
1042.000,1.78369199E+4,
1043.000,1.76901855E+4,
1044.000,1.73381914E+4,
1045.000,1.70209434E+4,
1046.000,1.68752031E+4,
1047.000,1.65152637E+4,
1048.000,1.63014268E+4,
1049.000,1.61286523E+4,
1050.00,1.59193242E+4,
1051.000,1.55655781E+4,
1052.000,1.52601943E+4,
1053.000,1.50535420E+4,
1054.000,1.49589541E+4,
1055.000,1.48297109E+4,
1056.000,1.46001289E+4,
1057.000,1.43635527E+4,
1058.000,1.40459355E+4,
1059.000,1.39202744E+4,
1060.00,1.36319629E+4,
1061.000,1.35256387E+4,
1062.000,1.32615186E+4,
1063.000,1.31649639E+4,
1064.000,1.28535264E+4,
1065.000,1.26235430E+4,
1066.000,1.24192832E+4,
1067.000,1.23220098E+4,
1068.000,1.21893711E+4,
1069.000,1.20100088E+4,
1070.00,1.18813105E+4,
1071.000,1.15399912E+4,
1072.000,1.15107949E+4,
1073.000,1.11821729E+4,
1074.000,1.11947998E+4,
1075.000,1.11010371E+4,
1076.000,1.07814922E+4,
1077.000,1.05988467E+4,
1078.000,1.04405869E+4,
1079.000,1.03128564E+4,
1080.00,1.02018623E+4,
1081.000,9.97509668E+3,
1082.000,9.84982324E+3,
1083.000,9.77198438E+3,
1084.000,9.53195313E+3,
1085.000,9.38182520E+3,
1086.000,9.20020313E+3,
1087.000,9.15333105E+3,
1088.000,9.05529297E+3,
1089.000,8.89140820E+3,
1090.00,8.73799023E+3,
1091.000,8.62389746E+3,
1092.000,8.45252539E+3,
1093.000,8.41070020E+3,
1094.000,8.24446973E+3,
1095.000,8.06666406E+3,
1096.000,7.90994141E+3,
1097.000,7.96808691E+3,
1098.000,7.71032764E+3,
1099.000,7.60512061E+3,
1100.00,7.53432715E+3,
1101.000,7.48462207E+3,
1102.000,7.25433594E+3,
1103.000,7.24001172E+3,
1104.000,7.02286963E+3,
1105.000,6.93506592E+3,
1106.000,6.92905859E+3,
1107.000,6.72882715E+3,
1108.000,6.64329199E+3,
1109.000,6.59517139E+3,
1110.00,6.39142480E+3,
1111.000,6.40479395E+3,
1112.000,6.35083154E+3,
1113.000,6.11782471E+3,
1114.000,6.01443604E+3,
1115.000,5.99803760E+3,
1116.000,5.90969043E+3,
1117.000,5.89634521E+3,
1118.000,5.78491846E+3,
1119.000,5.56995313E+3,
1120.00,5.65593115E+3,
1121.000,5.50889453E+3,
1122.000,5.46880273E+3,
1123.000,5.36775977E+3,
1124.000,5.34213379E+3,
1125.000,5.19481592E+3,
1126.000,5.11469287E+3,
1127.000,4.98671631E+3,
1128.000,4.97551172E+3,
1129.000,4.85575195E+3,
1130.00,4.77688525E+3,
1131.000,4.70259473E+3,
1132.000,4.65112598E+3,
1133.000,4.57070654E+3,
1134.000,4.51865625E+3,
1135.000,4.47245508E+3,
1136.000,4.41483643E+3,
1137.000,4.21275928E+3,
1138.000,4.17918896E+3,
1139.000,4.11507959E+3,
1140.00,4.09273560E+3,
1141.000,4.06556689E+3,
1142.000,3.97367456E+3,
1143.000,3.89286304E+3,
1144.000,3.87717236E+3,
1145.000,3.86051636E+3,
1146.000,3.76764160E+3,
1147.000,3.71567871E+3,
1148.000,3.68208716E+3,
1149.000,3.58121191E+3,
1150.00,3.48333569E+3,
1151.000,3.51785132E+3,
1152.000,3.43878735E+3,
1153.000,3.43199390E+3,
1154.000,3.38398486E+3,
1155.000,3.33549048E+3,
1156.000,3.24683057E+3,
1157.000,3.28786377E+3,
1158.000,3.14767725E+3,
1159.000,3.14890259E+3,
1160.00,3.09593799E+3,
1161.000,3.07117212E+3,
1162.000,3.01354321E+3,
1163.000,2.95216479E+3,
1164.000,2.84172827E+3,
1165.000,2.85303540E+3,
1166.000,2.87050293E+3,
1167.000,2.81179053E+3,
1168.000,2.77066797E+3,
1169.000,2.73120679E+3,
