Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,5.2999420,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,5.1999879,
Detector,Det2,

600.00,8.29765396E+1,
601.00,2.27912109E+2,
602.00,-6.10669441E+1,
603.00,9.70512848E+1,
604.00,6.50841217E+1,
605.00,3.00903683E+1,
606.00,-1.85125804E+0,
607.00,7.68561630E+1,
608.00,-3.80384674E+1,
609.00,-3.25444794E+1,
610.00,9.30149918E+1,
611.00,1.38804184E+2,
612.00,3.09422894E+1,
613.00,-1.89115463E+2,
614.00,-2.35708733E+1,
615.00,6.93438187E+1,
616.00,6.51456528E+1,
617.00,1.03175392E+2,
618.00,-1.55231232E+2,
619.00,1.40669107E+1,
620.00,2.00706696E+2,
621.00,-1.06890533E+2,
622.00,-2.72921371E+1,
623.00,-1.13083382E+2,
624.00,2.78832054E+1,
625.00,4.05220909E+1,
626.00,-8.30150681E+1,
627.00,-1.81724243E+1,
628.00,1.68846451E+2,
629.00,-5.73340797E+1,
630.00,7.38854599E+1,
631.00,0.00000000E+0,
632.00,-8.84322205E+1,
633.00,6.79987183E+1,
634.00,-1.08831286E+0,
635.00,9.04950409E+1,
636.00,-8.75287552E+1,
637.00,-1.21034477E+2,
638.00,4.77804451E+1,
639.00,1.03309231E+1,
640.00,-1.24618263E+2,
641.00,-4.89229088E+1,
642.00,3.35617027E+1,
643.00,-1.12420626E+1,
644.00,-2.94853134E+1,
645.00,-3.23866043E+1,
646.00,-3.15022526E+1,
647.00,8.19991989E+1,
648.00,-9.44321365E+1,
649.00,3.23075905E+1,
650.00,-1.32834137E+2,
651.00,-1.02707123E+2,
652.00,1.03806908E+2,
653.00,-4.82181587E+1,
654.00,-3.63105965E+1,
655.00,-2.01738110E+1,
656.00,-1.10482170E+2,
657.00,7.09916830E+0,
658.00,-7.10241556E+0,
659.00,3.26549454E+1,
660.00,7.87078171E+1,
661.00,2.55798206E+1,
662.00,8.46823273E+1,
663.00,1.05685532E+2,
664.00,4.55552979E+1,
665.00,1.76831951E+1,
666.00,4.07688942E+1,
667.00,1.45365234E+2,
668.00,1.15171051E+1,
669.00,1.08192719E+2,
670.00,1.41855682E+2,
671.00,1.12058846E+2,
672.00,-8.85757141E+1,
673.00,5.78124542E+1,
674.00,1.07170839E+1,
675.00,1.02456482E+2,
676.00,8.86995468E+1,
677.00,6.23417358E+1,
678.00,1.61452850E+2,
679.00,2.07288483E+2,
680.00,2.02624374E+2,
681.00,2.22510086E+2,
682.00,-4.74347916E+1,
683.00,1.89359039E+2,
684.00,1.71871170E+2,
685.00,1.62322754E+2,
686.00,2.22426605E+2,
687.00,1.83469574E+2,
688.00,1.62273865E+2,
689.00,2.77068176E+2,
690.00,2.65543518E+2,
691.00,1.77788589E+2,
692.00,2.73708527E+2,
693.00,5.42789978E+2,
694.00,4.36381104E+2,
695.00,5.00698517E+2,
696.00,5.25831787E+2,
697.00,5.78318604E+2,
698.00,6.70386902E+2,
699.00,5.05977966E+2,
700.00,7.41878540E+2,
701.00,9.32489258E+2,
702.00,8.23272278E+2,
703.00,8.18139771E+2,
704.00,9.66626038E+2,
705.00,9.24446655E+2,
706.00,9.32631714E+2,
707.00,9.96843506E+2,
708.00,1.19958679E+3,
709.00,1.02586133E+3,
710.00,1.33811694E+3,
711.00,1.23703809E+3,
712.00,1.28184766E+3,
713.00,1.35001587E+3,
714.00,1.54972559E+3,
715.00,1.54498303E+3,
716.00,1.73861829E+3,
717.00,1.73494434E+3,
718.00,1.84158374E+3,
719.00,1.84029004E+3,
720.00,1.78590295E+3,
721.00,2.10333008E+3,
722.00,2.11578320E+3,
723.00,2.21823315E+3,
724.00,2.21151514E+3,
725.00,2.52073315E+3,
726.00,2.40875098E+3,
727.00,2.51840503E+3,
728.00,2.65675415E+3,
729.00,2.88161182E+3,
730.00,2.81498999E+3,
731.00,2.74908252E+3,
732.00,2.93266528E+3,
733.00,3.18401709E+3,
734.00,3.17375610E+3,
735.00,3.06452490E+3,
736.00,3.50057861E+3,
737.00,3.51971924E+3,
738.00,3.65685962E+3,
739.00,3.87197046E+3,
740.00,4.05640918E+3,
741.00,4.08440454E+3,
742.00,4.18725879E+3,
743.00,4.36933154E+3,
744.00,4.52623535E+3,
745.00,4.54009863E+3,
746.00,4.97675781E+3,
747.00,4.83782031E+3,
748.00,5.07597754E+3,
749.00,5.43374609E+3,
750.00,5.34883008E+3,
751.00,5.52236182E+3,
752.00,5.50360010E+3,
753.00,5.88102148E+3,
754.00,5.95282861E+3,
755.00,6.10002393E+3,
756.00,6.33626563E+3,
757.00,6.24658984E+3,
758.00,6.57332861E+3,
759.00,6.46792627E+3,
760.00,6.70827734E+3,
761.00,6.92697168E+3,
762.00,6.96549951E+3,
763.00,7.57925830E+3,
764.00,7.34905078E+3,
765.00,7.62504102E+3,
766.00,8.02312061E+3,
767.00,8.09076563E+3,
768.00,7.97893848E+3,
769.00,8.24836621E+3,
770.00,8.51626855E+3,
771.00,8.66907227E+3,
772.00,8.72808008E+3,
773.00,8.94711035E+3,
774.00,9.12825488E+3,
775.00,9.17542285E+3,
776.00,9.26692188E+3,
777.00,9.56578711E+3,
778.00,9.78105371E+3,
779.00,9.88461035E+3,
780.00,1.01874180E+4,
781.00,1.01377607E+4,
782.00,1.00432891E+4,
783.00,1.05705537E+4,
784.00,1.05538652E+4,
785.00,1.09376309E+4,
786.00,1.08415713E+4,
787.00,1.13295127E+4,
788.00,1.14255908E+4,
789.00,1.13905264E+4,
790.00,1.15636494E+4,
791.00,1.18096152E+4,
792.00,1.16532832E+4,
793.00,1.21845791E+4,
794.00,1.20324033E+4,
795.00,1.24983945E+4,
796.00,1.25434434E+4,
797.00,1.26267217E+4,
798.00,1.31797256E+4,
799.00,1.34057549E+4,
800.00,1.31771660E+4,
801.00,1.34062656E+4,
802.00,1.35335107E+4,
803.00,1.37868555E+4,
804.00,1.40822900E+4,
805.00,1.40300410E+4,
806.00,1.40579766E+4,
807.00,1.41791982E+4,
808.00,1.43612813E+4,
809.00,1.47274795E+4,
810.00,1.46736807E+4,
811.00,1.45978311E+4,
812.00,1.48500674E+4,
813.00,1.50796260E+4,
814.00,1.52704238E+4,
815.00,1.48242695E+4,
816.00,1.54809482E+4,
817.00,1.56746279E+4,
818.00,1.58600195E+4,
819.00,1.58465703E+4,
820.00,1.57830771E+4,
821.00,1.61385723E+4,
822.00,1.63370254E+4,
823.00,1.64231270E+4,
824.00,1.62239023E+4,
825.00,1.63678662E+4,
826.00,1.64259609E+4,
827.00,1.66502207E+4,
828.00,1.67503398E+4,
829.00,1.66574902E+4,
830.00,1.68024648E+4,
831.00,1.68949531E+4,
832.00,1.67885723E+4,
833.00,1.71423145E+4,
834.00,1.68609180E+4,
835.00,1.74376973E+4,
836.00,1.74125527E+4,
837.00,1.73846406E+4,
838.00,1.77826250E+4,
839.00,1.76928887E+4,
840.00,1.77749668E+4,
841.00,1.78076426E+4,
842.00,1.79409102E+4,
843.00,1.78505742E+4,
844.00,1.79753301E+4,
845.00,1.80972422E+4,
846.00,1.80304004E+4,
847.00,1.80776035E+4,
848.00,1.79513086E+4,
849.00,1.82855488E+4,
850.00,1.84816426E+4,
851.00,1.80889668E+4,
852.00,1.82972109E+4,
853.00,1.81621309E+4,
854.00,1.84094863E+4,
855.00,1.83931191E+4,
856.00,1.84255098E+4,
857.00,1.84130430E+4,
858.00,1.84525762E+4,
859.00,1.83949355E+4,
860.00,1.82477363E+4,
861.00,1.85712461E+4,
862.00,1.86241660E+4,
863.00,1.85180684E+4,
864.00,1.85182207E+4,
865.00,1.85127480E+4,
866.00,1.86419512E+4,
867.00,1.89013398E+4,
868.00,1.85487656E+4,
869.00,1.86623301E+4,
870.00,1.86872539E+4,
871.00,1.83871074E+4,
872.00,1.87135898E+4,
873.00,1.84786406E+4,
874.00,1.86613691E+4,
875.00,1.84418027E+4,
876.00,1.85985820E+4,
877.00,1.82934629E+4,
878.00,1.82630313E+4,
879.00,1.81589688E+4,
880.00,1.85402480E+4,
881.00,1.84902109E+4,
882.00,1.84376191E+4,
883.00,1.82742109E+4,
884.00,1.80308750E+4,
885.00,1.78895137E+4,
886.00,1.79482344E+4,
887.00,1.77327754E+4,
888.00,1.78248809E+4,
889.00,1.78973828E+4,
890.00,1.77399531E+4,
891.00,1.76332734E+4,
892.00,1.76777363E+4,
893.00,1.76850625E+4,
894.00,1.75384922E+4,
895.00,1.73382207E+4,
896.00,1.72547363E+4,
897.00,1.73814707E+4,
898.00,1.74243984E+4,
899.00,1.71780645E+4,
900.00,1.70000625E+4,
901.00,1.69101250E+4,
902.00,1.67597754E+4,
903.00,1.67810723E+4,
904.00,1.67862813E+4,
905.00,1.68179883E+4,
906.00,1.66417148E+4,
907.00,1.66863633E+4,
908.00,1.66297422E+4,
909.00,1.65523809E+4,
910.00,1.62930781E+4,
911.00,1.62135625E+4,
912.00,1.61366182E+4,
913.00,1.61856865E+4,
914.00,1.61009492E+4,
915.00,1.59958457E+4,
916.00,1.57765742E+4,
917.00,1.58173965E+4,
918.00,1.57083271E+4,
919.00,1.54764453E+4,
920.00,1.53716104E+4,
921.00,1.54944932E+4,
922.00,1.51816221E+4,
923.00,1.50528564E+4,
924.00,1.50280928E+4,
925.00,1.49976309E+4,
926.00,1.47722051E+4,
927.00,1.46467080E+4,
928.00,1.46200410E+4,
929.00,1.48109775E+4,
930.00,1.44025430E+4,
931.00,1.43411641E+4,
932.00,1.41802549E+4,
933.00,1.42201553E+4,
934.00,1.40206328E+4,
935.00,1.37907500E+4,
936.00,1.37868477E+4,
937.00,1.36369990E+4,
938.00,1.35786895E+4,
939.00,1.34580479E+4,
940.00,1.32492998E+4,
941.00,1.32678369E+4,
942.00,1.31159512E+4,
943.00,1.29505342E+4,
944.00,1.28422246E+4,
945.00,1.26318154E+4,
946.00,1.25574697E+4,
947.00,1.25229990E+4,
948.00,1.20822363E+4,
949.00,1.20589961E+4,
950.00,1.20331807E+4,
951.00,1.20016592E+4,
952.00,1.16556611E+4,
953.00,1.16717520E+4,
954.00,1.16443262E+4,
955.00,1.14851719E+4,
956.00,1.13659102E+4,
957.00,1.12921523E+4,
958.00,1.10565146E+4,
959.00,1.10524395E+4,
960.00,1.08498740E+4,
961.00,1.08143975E+4,
962.00,1.06244990E+4,
963.00,1.05928926E+4,
964.00,1.03643672E+4,
965.00,1.03118750E+4,
966.00,1.01869463E+4,
967.00,1.01946348E+4,
968.00,1.00256143E+4,
969.00,9.97136230E+3,
970.00,9.77162109E+3,
971.00,9.82420801E+3,
972.00,9.67246680E+3,
973.00,9.62680469E+3,
974.00,9.48248828E+3,
975.00,9.41818359E+3,
976.00,9.15135352E+3,
977.00,9.04414160E+3,
978.00,9.02452637E+3,
979.00,8.98680859E+3,
980.00,8.93141309E+3,
981.00,8.74831152E+3,
982.00,8.61227930E+3,
983.00,8.56694043E+3,
984.00,8.37425879E+3,
985.00,8.33540039E+3,
986.00,8.25012891E+3,
987.00,8.15774561E+3,
988.00,8.03269336E+3,
989.00,7.89283057E+3,
990.00,7.86492676E+3,
991.00,7.79271289E+3,
992.00,7.66605127E+3,
993.00,7.47365039E+3,
994.00,7.42852490E+3,
995.00,7.30563525E+3,
996.00,7.19738525E+3,
997.00,7.07298047E+3,
998.00,7.00073779E+3,
999.00,6.92381738E+3,
1000.00,6.91143945E+3,
1001.000,6.85933057E+3,
1002.000,6.75544434E+3,
1003.000,6.54936670E+3,
1004.000,6.53136816E+3,
1005.000,6.45839600E+3,
1006.000,6.33136133E+3,
1007.000,6.25596631E+3,
1008.000,6.16557471E+3,
1009.000,6.06874609E+3,
1010.00,6.03760938E+3,
1011.000,5.90622803E+3,
1012.000,5.86758301E+3,
1013.000,5.77641309E+3,
1014.000,5.77189697E+3,
1015.000,5.59990332E+3,
1016.000,5.50440186E+3,
1017.000,5.43087695E+3,
1018.000,5.36126123E+3,
1019.000,5.29180225E+3,
1020.00,5.23602246E+3,
1021.000,5.11474756E+3,
1022.000,5.07042139E+3,
1023.000,4.96827979E+3,
1024.000,4.96934375E+3,
1025.000,4.88369092E+3,
1026.000,4.85644238E+3,
1027.000,4.72678516E+3,
1028.000,4.70511865E+3,
1029.000,4.60083691E+3,
1030.00,4.55173486E+3,
1031.000,4.53537891E+3,
1032.000,4.46000391E+3,
1033.000,4.43784619E+3,
1034.000,4.27935059E+3,
1035.000,4.25078076E+3,
1036.000,4.22888672E+3,
1037.000,4.17256982E+3,
1038.000,4.06812988E+3,
1039.000,3.98917603E+3,
1040.00,3.99781763E+3,
1041.000,3.90000269E+3,
1042.000,3.90122900E+3,
1043.000,3.82133179E+3,
1044.000,3.77177197E+3,
1045.000,3.66372266E+3,
1046.000,3.65651978E+3,
1047.000,3.58623267E+3,
1048.000,3.50420679E+3,
1049.000,3.49525952E+3,
1050.00,3.41546069E+3,
1051.000,3.39293726E+3,
1052.000,3.31708154E+3,
1053.000,3.29673779E+3,
1054.000,3.17620923E+3,
1055.000,3.21140625E+3,
1056.000,3.15351807E+3,
1057.000,3.03552051E+3,
1058.000,3.09795361E+3,
1059.000,3.04950146E+3,
1060.00,2.99499976E+3,
1061.000,2.96438989E+3,
1062.000,2.89829297E+3,
1063.000,2.81695996E+3,
1064.000,2.84732739E+3,
1065.000,2.74069141E+3,
1066.000,2.65965845E+3,
1067.000,2.66078687E+3,
1068.000,2.66994971E+3,
1069.000,2.61212988E+3,
1070.00,2.55023047E+3,
1071.000,2.51409009E+3,
1072.000,2.44451196E+3,
1073.000,2.46280737E+3,
1074.000,2.41337183E+3,
1075.000,2.38966650E+3,
1076.000,2.38182935E+3,
1077.000,2.30329492E+3,
1078.000,2.32556787E+3,
1079.000,2.26002246E+3,
1080.00,2.21160449E+3,
1081.000,2.19237573E+3,
1082.000,2.15737817E+3,
1083.000,2.13615210E+3,
1084.000,2.09613867E+3,
1085.000,2.05361475E+3,
1086.000,1.99830811E+3,
1087.000,1.97196289E+3,
1088.000,1.98184131E+3,
1089.000,1.95538684E+3,
1090.00,1.87708777E+3,
1091.000,1.87765833E+3,
1092.000,1.84980310E+3,
1093.000,1.78137256E+3,
1094.000,1.79776709E+3,
1095.000,1.76052869E+3,
1096.000,1.70741833E+3,
1097.000,1.73756140E+3,
1098.000,1.66982935E+3,
1099.000,1.68384692E+3,
1100.00,1.62705884E+3,
1101.000,1.63589514E+3,
1102.000,1.60760034E+3,
1103.000,1.57779651E+3,
1104.000,1.57002380E+3,
1105.000,1.53773694E+3,
1106.000,1.51568762E+3,
1107.000,1.50083630E+3,
1108.000,1.47360022E+3,
1109.000,1.44022449E+3,
1110.00,1.43880835E+3,
1111.000,1.43008704E+3,
1112.000,1.35758069E+3,
1113.000,1.38380090E+3,
1114.000,1.34104016E+3,
1115.000,1.32177271E+3,
1116.000,1.30991809E+3,
1117.000,1.29363806E+3,
1118.000,1.28190479E+3,
1119.000,1.25264307E+3,
1120.00,1.24456506E+3,
1121.000,1.24630676E+3,
1122.000,1.21693604E+3,
1123.000,1.17020605E+3,
1124.000,1.16164087E+3,
1125.000,1.18704431E+3,
1126.000,1.13182239E+3,
1127.000,1.10907727E+3,
1128.000,1.10527197E+3,
1129.000,1.14454541E+3,
1130.00,1.07234595E+3,
1131.000,1.05644641E+3,
1132.000,1.05713464E+3,
1133.000,1.06360254E+3,
1134.000,1.01962463E+3,
1135.000,9.89472473E+2,
1136.000,1.00853162E+3,
1137.000,9.79732849E+2,
1138.000,9.64741333E+2,
1139.000,9.65420105E+2,
1140.00,9.39687195E+2,
1141.000,9.03889221E+2,
1142.000,9.08166565E+2,
1143.000,9.14271423E+2,
1144.000,8.78503357E+2,
1145.000,8.79216858E+2,
1146.000,8.42847046E+2,
1147.000,8.53300293E+2,
1148.000,8.33984009E+2,
1149.000,8.54987488E+2,
1150.00,8.47890198E+2,
1151.000,8.33559448E+2,
1152.000,8.09373169E+2,
1153.000,7.79919373E+2,
1154.000,7.51140625E+2,
1155.000,7.57330322E+2,
1156.000,7.51512695E+2,
1157.000,7.43452454E+2,
1158.000,7.04851685E+2,
1159.000,7.19012817E+2,
1160.00,7.37264038E+2,
1161.000,7.00925049E+2,
1162.000,6.94557190E+2,
1163.000,6.82419861E+2,
1164.000,6.64830261E+2,
1165.000,6.74786255E+2,
1166.000,6.86677246E+2,
1167.000,6.80211365E+2,
1168.000,6.55677734E+2,
1169.000,6.33645203E+2,
