Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.8000171,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.8000042,
Detector,Det2,

600.00,6.39031433E+2,
601.00,1.41258789E+2,
602.00,1.97758606E+2,
603.00,4.41691864E+2,
604.00,3.94727417E+2,
605.00,2.54028030E+2,
606.00,2.44990723E+2,
607.00,9.78772049E+1,
608.00,4.71869476E+2,
609.00,-8.74062119E+1,
610.00,7.10829697E+1,
611.00,1.52283020E+2,
612.00,1.52382828E+2,
613.00,2.06651321E+2,
614.00,1.10545761E+2,
615.00,-3.54828186E+2,
616.00,9.51194153E+1,
617.00,-5.82543144E+1,
618.00,1.65896072E+1,
619.00,5.68289680E+1,
620.00,-5.06977234E+1,
621.00,-9.49216843E+1,
622.00,-1.20343483E+2,
623.00,9.76131287E+1,
624.00,-1.66515793E+2,
625.00,2.04689087E+2,
626.00,1.02889595E+2,
627.00,2.41749153E+1,
628.00,1.29946945E+2,
629.00,2.18071838E+2,
630.00,4.47006512E+0,
631.00,7.58669968E+1,
632.00,1.61651016E+2,
633.00,-1.47381866E+2,
634.00,-1.65432358E+2,
635.00,-2.57006283E+1,
636.00,-2.72219944E+1,
637.00,6.83954773E+1,
638.00,1.97056122E+1,
639.00,-7.65488663E+1,
640.00,7.09259872E+1,
641.00,4.41024475E+1,
642.00,-3.17819427E+2,
643.00,1.40730953E+1,
644.00,-1.42368500E+2,
645.00,-6.83154144E+1,
646.00,1.57322903E+1,
647.00,-7.51322861E+1,
648.00,-1.57670240E+1,
649.00,-1.22947855E+1,
650.00,-1.97323807E+2,
651.00,-3.49083066E+0,
652.00,-1.77594864E+2,
653.00,-2.36120712E+2,
654.00,-6.79383698E+1,
655.00,-1.05943314E+2,
656.00,-8.56913147E+1,
657.00,-5.80515785E+1,
658.00,2.99931526E+1,
659.00,9.74781876E+1,
660.00,-1.78755508E+2,
661.00,-1.79329224E+2,
662.00,-9.78894196E+1,
663.00,-1.33681595E+2,
664.00,-1.64513550E+2,
665.00,-5.21564102E+1,
666.00,1.35269012E+2,
667.00,8.16508026E+1,
668.00,-6.72175217E+1,
669.00,6.90487976E+1,
670.00,1.42475540E+2,
671.00,7.67016754E+1,
672.00,-2.77127190E+1,
673.00,2.09432281E+2,
674.00,1.65083542E+2,
675.00,1.13270821E+2,
676.00,2.83858795E+2,
677.00,2.57414948E+2,
678.00,4.91020325E+2,
679.00,4.16023651E+2,
680.00,5.16269775E+2,
681.00,5.64666626E+2,
682.00,6.37855896E+2,
683.00,7.34624939E+2,
684.00,5.43604187E+2,
685.00,8.40144775E+2,
686.00,7.41078003E+2,
687.00,8.36391907E+2,
688.00,9.27055115E+2,
689.00,1.00384613E+3,
690.00,1.40429199E+3,
691.00,1.35612354E+3,
692.00,1.54565918E+3,
693.00,1.63141431E+3,
694.00,1.84792175E+3,
695.00,1.83232874E+3,
696.00,2.14410718E+3,
697.00,2.53480908E+3,
698.00,2.55717700E+3,
699.00,2.48285913E+3,
700.00,3.10317456E+3,
701.00,3.54322729E+3,
702.00,3.77110205E+3,
703.00,3.78420459E+3,
704.00,4.33228418E+3,
705.00,4.33046924E+3,
706.00,4.59643555E+3,
707.00,4.75724756E+3,
708.00,5.07932764E+3,
709.00,5.26976270E+3,
710.00,5.82981982E+3,
711.00,6.18475488E+3,
712.00,6.68064600E+3,
713.00,7.07026221E+3,
714.00,6.98839551E+3,
715.00,7.77666406E+3,
716.00,8.13421045E+3,
717.00,8.57474316E+3,
718.00,8.95229883E+3,
719.00,9.42572461E+3,
720.00,1.00901377E+4,
721.00,1.06671943E+4,
722.00,1.14074063E+4,
723.00,1.13595811E+4,
724.00,1.20801240E+4,
725.00,1.31271016E+4,
726.00,1.34193711E+4,
727.00,1.40288262E+4,
728.00,1.46866289E+4,
729.00,1.56525391E+4,
730.00,1.62872100E+4,
731.00,1.71347402E+4,
732.00,1.77195527E+4,
733.00,1.84742168E+4,
734.00,1.94591133E+4,
735.00,2.00727031E+4,
736.00,2.10837832E+4,
737.00,2.20690781E+4,
738.00,2.31442949E+4,
739.00,2.34953848E+4,
740.00,2.51809160E+4,
741.00,2.58618594E+4,
742.00,2.71127188E+4,
743.00,2.82904941E+4,
744.00,2.89490469E+4,
745.00,2.99666816E+4,
746.00,3.20097168E+4,
747.00,3.30334336E+4,
748.00,3.41324648E+4,
749.00,3.54763555E+4,
750.00,3.73829727E+4,
751.00,3.78899336E+4,
752.00,3.92394453E+4,
753.00,4.05430000E+4,
754.00,4.22084961E+4,
755.00,4.38756250E+4,
756.00,4.49588281E+4,
757.00,4.72571367E+4,
758.00,4.84088945E+4,
759.00,5.01646758E+4,
760.00,5.11300391E+4,
761.00,5.37182773E+4,
762.00,5.45959453E+4,
763.00,5.56115977E+4,
764.00,5.85461406E+4,
765.00,6.06548438E+4,
766.00,6.23720313E+4,
767.00,6.40499063E+4,
768.00,6.58904531E+4,
769.00,6.75907734E+4,
770.00,6.90406641E+4,
771.00,7.09213984E+4,
772.00,7.30811016E+4,
773.00,7.57783203E+4,
774.00,7.75584453E+4,
775.00,7.93218594E+4,
776.00,8.20104766E+4,
777.00,8.36165859E+4,
778.00,8.57447891E+4,
779.00,8.73958359E+4,
780.00,8.97927891E+4,
781.00,9.14912031E+4,
782.00,9.32063750E+4,
783.00,9.58167656E+4,
784.00,9.85907969E+4,
785.00,9.97802188E+4,
786.00,1.00869023E+5,
787.00,1.02333898E+5,
788.00,1.04910781E+5,
789.00,1.06552891E+5,
790.00,1.10116141E+5,
791.00,1.12651023E+5,
792.00,1.13644969E+5,
793.00,1.15649672E+5,
794.00,1.17894734E+5,
795.00,1.20525758E+5,
796.00,1.21893633E+5,
797.00,1.23284172E+5,
798.00,1.26285766E+5,
799.00,1.27507344E+5,
800.00,1.28828508E+5,
801.00,1.32025797E+5,
802.00,1.34345391E+5,
803.00,1.35675719E+5,
804.00,1.36907219E+5,
805.00,1.38422391E+5,
806.00,1.40055844E+5,
807.00,1.43262141E+5,
808.00,1.44174875E+5,
809.00,1.46561469E+5,
810.00,1.48087656E+5,
811.00,1.49654828E+5,
812.00,1.52488531E+5,
813.00,1.52796844E+5,
814.00,1.53667391E+5,
815.00,1.54792578E+5,
816.00,1.57720016E+5,
817.00,1.57673625E+5,
818.00,1.58776656E+5,
819.00,1.62937453E+5,
820.00,1.63132594E+5,
821.00,1.63602641E+5,
822.00,1.64973313E+5,
823.00,1.64815828E+5,
824.00,1.66771000E+5,
825.00,1.68309063E+5,
826.00,1.68955000E+5,
827.00,1.69611563E+5,
828.00,1.70562625E+5,
829.00,1.71272828E+5,
830.00,1.71267609E+5,
831.00,1.72847344E+5,
832.00,1.76023656E+5,
833.00,1.74843203E+5,
834.00,1.74718984E+5,
835.00,1.77673266E+5,
836.00,1.77242203E+5,
837.00,1.77403906E+5,
838.00,1.77015953E+5,
839.00,1.78955047E+5,
840.00,1.79483875E+5,
841.00,1.81370156E+5,
842.00,1.79928438E+5,
843.00,1.81328063E+5,
844.00,1.80650453E+5,
845.00,1.81693063E+5,
846.00,1.81296750E+5,
847.00,1.81355844E+5,
848.00,1.80627078E+5,
849.00,1.83410688E+5,
850.00,1.80348719E+5,
851.00,1.82283766E+5,
852.00,1.80169031E+5,
853.00,1.81836891E+5,
854.00,1.80700781E+5,
855.00,1.80965984E+5,
856.00,1.81316281E+5,
857.00,1.81879938E+5,
858.00,1.82061234E+5,
859.00,1.80885188E+5,
860.00,1.81242109E+5,
861.00,1.79960531E+5,
862.00,1.79035938E+5,
863.00,1.79296641E+5,
864.00,1.79317031E+5,
865.00,1.78229266E+5,
866.00,1.77016172E+5,
867.00,1.76751969E+5,
868.00,1.76943922E+5,
869.00,1.77235984E+5,
870.00,1.76250672E+5,
871.00,1.76512859E+5,
872.00,1.75434859E+5,
873.00,1.74601313E+5,
874.00,1.74242594E+5,
875.00,1.74466594E+5,
876.00,1.72609594E+5,
877.00,1.72578953E+5,
878.00,1.70781891E+5,
879.00,1.71037594E+5,
880.00,1.71176313E+5,
881.00,1.69359250E+5,
882.00,1.69281250E+5,
883.00,1.68543219E+5,
884.00,1.66791031E+5,
885.00,1.65780094E+5,
886.00,1.65275609E+5,
887.00,1.64084797E+5,
888.00,1.62290672E+5,
889.00,1.61439156E+5,
890.00,1.60413969E+5,
891.00,1.59609063E+5,
892.00,1.58807281E+5,
893.00,1.58072563E+5,
894.00,1.57751516E+5,
895.00,1.56480516E+5,
896.00,1.56111234E+5,
897.00,1.54910125E+5,
898.00,1.53139000E+5,
899.00,1.53715609E+5,
900.00,1.52152688E+5,
901.00,1.51607672E+5,
902.00,1.49872469E+5,
903.00,1.49535844E+5,
904.00,1.48553063E+5,
905.00,1.48006578E+5,
906.00,1.46471453E+5,
907.00,1.45174938E+5,
908.00,1.44563000E+5,
909.00,1.43912563E+5,
910.00,1.42501953E+5,
911.00,1.42150172E+5,
912.00,1.40170094E+5,
913.00,1.38298344E+5,
914.00,1.38388359E+5,
915.00,1.36091016E+5,
916.00,1.35432828E+5,
917.00,1.35119344E+5,
918.00,1.33259672E+5,
919.00,1.32091563E+5,
920.00,1.30780297E+5,
921.00,1.30345664E+5,
922.00,1.29326258E+5,
923.00,1.28666406E+5,
924.00,1.27010523E+5,
925.00,1.25876570E+5,
926.00,1.24773359E+5,
927.00,1.23422625E+5,
928.00,1.21767688E+5,
929.00,1.20627383E+5,
930.00,1.20129844E+5,
931.00,1.19682109E+5,
932.00,1.18101375E+5,
933.00,1.17710250E+5,
934.00,1.16763320E+5,
935.00,1.15078836E+5,
936.00,1.14632969E+5,
937.00,1.12917492E+5,
938.00,1.12216570E+5,
939.00,1.10834406E+5,
940.00,1.09776656E+5,
941.00,1.08664625E+5,
942.00,1.06826320E+5,
943.00,1.05957898E+5,
944.00,1.05546898E+5,
945.00,1.04012203E+5,
946.00,1.03085969E+5,
947.00,1.01885125E+5,
948.00,1.01591258E+5,
949.00,9.97851641E+4,
950.00,9.88162109E+4,
951.00,9.74348516E+4,
952.00,9.65178203E+4,
953.00,9.58800547E+4,
954.00,9.56041172E+4,
955.00,9.35638203E+4,
956.00,9.34145000E+4,
957.00,9.20295625E+4,
958.00,9.08260078E+4,
959.00,9.02363750E+4,
960.00,8.86205859E+4,
961.00,8.77569531E+4,
962.00,8.75398906E+4,
963.00,8.59121484E+4,
964.00,8.54453750E+4,
965.00,8.39691563E+4,
966.00,8.38005391E+4,
967.00,8.28798047E+4,
968.00,8.24116406E+4,
969.00,8.18443516E+4,
970.00,8.09436484E+4,
971.00,8.05056953E+4,
972.00,7.98592734E+4,
973.00,7.88957500E+4,
974.00,7.75302969E+4,
975.00,7.71242500E+4,
976.00,7.64053516E+4,
977.00,7.55404063E+4,
978.00,7.48188359E+4,
979.00,7.35620469E+4,
980.00,7.33900547E+4,
981.00,7.27203047E+4,
982.00,7.12586484E+4,
983.00,7.02553516E+4,
984.00,7.04186875E+4,
985.00,6.91615859E+4,
986.00,6.83748828E+4,
987.00,6.79660391E+4,
988.00,6.66920078E+4,
989.00,6.61186172E+4,
990.00,6.51538203E+4,
991.00,6.47508047E+4,
992.00,6.36825039E+4,
993.00,6.30522461E+4,
994.00,6.21042695E+4,
995.00,6.14261250E+4,
996.00,6.03772852E+4,
997.00,5.96749023E+4,
998.00,5.85251445E+4,
999.00,5.88175469E+4,
1000.00,5.79612188E+4,
1001.000,5.71139102E+4,
1002.000,5.63223281E+4,
1003.000,5.57728828E+4,
1004.000,5.43844492E+4,
1005.000,5.42530195E+4,
1006.000,5.32312578E+4,
1007.000,5.27205859E+4,
1008.000,5.19088438E+4,
1009.000,5.10275508E+4,
1010.00,5.05811250E+4,
1011.000,5.05088203E+4,
1012.000,4.95811641E+4,
1013.000,4.86707422E+4,
1014.000,4.82582422E+4,
1015.000,4.76184531E+4,
1016.000,4.69377695E+4,
1017.000,4.63119570E+4,
1018.000,4.56587500E+4,
1019.000,4.52543242E+4,
1020.00,4.47924414E+4,
1021.000,4.40551016E+4,
1022.000,4.34113828E+4,
1023.000,4.31894141E+4,
1024.000,4.22913984E+4,
1025.000,4.20258672E+4,
1026.000,4.14709258E+4,
1027.000,4.08809922E+4,
1028.000,3.99527852E+4,
1029.000,3.95569023E+4,
1030.00,3.92418945E+4,
1031.000,3.87068750E+4,
1032.000,3.80311875E+4,
1033.000,3.74250938E+4,
1034.000,3.70478945E+4,
1035.000,3.64452930E+4,
1036.000,3.58493516E+4,
1037.000,3.54921836E+4,
1038.000,3.53076758E+4,
1039.000,3.46987148E+4,
1040.00,3.42795742E+4,
1041.000,3.35383594E+4,
1042.000,3.31031172E+4,
1043.000,3.26244707E+4,
1044.000,3.23517188E+4,
1045.000,3.17753594E+4,
1046.000,3.15754355E+4,
1047.000,3.13315762E+4,
1048.000,3.06543711E+4,
1049.000,3.02522480E+4,
1050.00,2.98425586E+4,
1051.000,2.95183184E+4,
1052.000,2.88041035E+4,
1053.000,2.85222813E+4,
1054.000,2.84072754E+4,
1055.000,2.78252285E+4,
1056.000,2.74177637E+4,
1057.000,2.69953906E+4,
1058.000,2.68821621E+4,
1059.000,2.65060820E+4,
1060.00,2.60153652E+4,
1061.000,2.55890859E+4,
1062.000,2.51419902E+4,
1063.000,2.47952852E+4,
1064.000,2.48153555E+4,
1065.000,2.43528555E+4,
1066.000,2.39639785E+4,
1067.000,2.35485684E+4,
1068.000,2.32696406E+4,
1069.000,2.28447754E+4,
1070.00,2.25231523E+4,
1071.000,2.21940469E+4,
1072.000,2.20797246E+4,
1073.000,2.16608027E+4,
1074.000,2.10819082E+4,
1075.000,2.11191172E+4,
1076.000,2.05762871E+4,
1077.000,2.05069121E+4,
1078.000,2.00493887E+4,
1079.000,1.99552695E+4,
1080.00,1.97237598E+4,
1081.000,1.97452305E+4,
1082.000,1.93212500E+4,
1083.000,1.89250781E+4,
1084.000,1.84504180E+4,
1085.000,1.83002422E+4,
1086.000,1.81620762E+4,
1087.000,1.79911641E+4,
1088.000,1.75248789E+4,
1089.000,1.74421484E+4,
1090.00,1.70563789E+4,
1091.000,1.70184434E+4,
1092.000,1.67232188E+4,
1093.000,1.62791152E+4,
1094.000,1.61717441E+4,
1095.000,1.58415361E+4,
1096.000,1.57142754E+4,
1097.000,1.53902197E+4,
1098.000,1.52470078E+4,
1099.000,1.50935762E+4,
1100.00,1.49752598E+4,
1101.000,1.44969238E+4,
1102.000,1.43956807E+4,
1103.000,1.41317246E+4,
1104.000,1.39217480E+4,
1105.000,1.38641426E+4,
1106.000,1.36446426E+4,
1107.000,1.34499570E+4,
1108.000,1.33691016E+4,
1109.000,1.30715283E+4,
1110.00,1.30211240E+4,
1111.000,1.26114170E+4,
1112.000,1.23988076E+4,
1113.000,1.22580293E+4,
1114.000,1.22287197E+4,
1115.000,1.19558623E+4,
1116.000,1.18494209E+4,
1117.000,1.17635859E+4,
1118.000,1.15572617E+4,
1119.000,1.13800068E+4,
1120.00,1.13110664E+4,
1121.000,1.11129404E+4,
1122.000,1.08947832E+4,
1123.000,1.07710195E+4,
1124.000,1.06814697E+4,
1125.000,1.05853730E+4,
1126.000,1.04062188E+4,
1127.000,1.02095664E+4,
1128.000,1.00792324E+4,
1129.000,9.79074316E+3,
1130.00,9.60406152E+3,
1131.000,9.47111719E+3,
1132.000,9.45675098E+3,
1133.000,9.22717480E+3,
1134.000,9.17787793E+3,
1135.000,9.05815430E+3,
1136.000,8.96517969E+3,
1137.000,8.79615527E+3,
1138.000,8.67596387E+3,
1139.000,8.52893652E+3,
1140.00,8.44642578E+3,
1141.000,8.35504199E+3,
1142.000,8.20922754E+3,
1143.000,8.08893848E+3,
1144.000,7.85692627E+3,
1145.000,7.83437305E+3,
1146.000,7.78232080E+3,
1147.000,7.70453027E+3,
1148.000,7.53686328E+3,
1149.000,7.39725146E+3,
1150.00,7.29367236E+3,
1151.000,7.13437988E+3,
1152.000,7.18384961E+3,
1153.000,7.01012109E+3,
1154.000,6.92255957E+3,
1155.000,6.82060938E+3,
1156.000,6.75763916E+3,
1157.000,6.64973242E+3,
1158.000,6.42123193E+3,
1159.000,6.41482031E+3,
1160.00,6.35125342E+3,
1161.000,6.25787793E+3,
1162.000,6.16522217E+3,
1163.000,6.24201807E+3,
1164.000,6.09584277E+3,
1165.000,5.87365723E+3,
1166.000,5.92888574E+3,
1167.000,5.73106885E+3,
1168.000,5.71326904E+3,
1169.000,5.63327832E+3,
