Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.2999480,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.2999856,
Detector,Det2,

600.00,5.52519302E+1,
601.00,1.13126007E+2,
602.00,-1.96258545E+2,
603.00,-3.09149609E+1,
604.00,-4.78250771E+1,
605.00,8.07937088E+1,
606.00,-1.88894806E+2,
607.00,-1.45735184E+2,
608.00,-7.04180984E+1,
609.00,-2.91284912E+2,
610.00,1.62449951E+2,
611.00,3.58830452E+1,
612.00,2.74462585E+2,
613.00,-6.95542526E+1,
614.00,4.88916199E+2,
615.00,2.43147324E+2,
616.00,2.04331497E+2,
617.00,1.42421326E+2,
618.00,1.32922684E+2,
619.00,-3.91261864E+1,
620.00,2.84767120E+2,
621.00,0.00000000E+0,
622.00,2.74308224E+1,
623.00,3.14380463E+2,
624.00,0.00000000E+0,
625.00,-3.17526215E+2,
626.00,-1.96793686E+2,
627.00,2.53062897E+2,
628.00,2.10787323E+2,
629.00,5.31490845E+2,
630.00,-3.22600098E+1,
631.00,-2.84364128E+1,
632.00,-1.84439575E+2,
633.00,3.10169434E+2,
634.00,9.13366776E+1,
635.00,-4.82127142E+0,
636.00,6.48291245E+1,
637.00,8.05222473E+1,
638.00,-1.10431351E+2,
639.00,2.97963989E+2,
640.00,1.13709869E+2,
641.00,-2.15438599E+2,
642.00,4.13544128E+2,
643.00,2.31905537E+1,
644.00,-1.73474747E+2,
645.00,-1.21879356E+2,
646.00,5.51847878E+1,
647.00,-5.73117561E+1,
648.00,-1.62903793E+2,
649.00,5.52555275E+1,
650.00,3.67107925E+1,
651.00,1.62707947E+2,
652.00,5.25895157E+1,
653.00,4.33321991E+1,
654.00,2.89058990E+2,
655.00,-3.44528160E+1,
656.00,1.83561344E+1,
657.00,3.00646088E+2,
658.00,1.36420181E+2,
659.00,2.01339020E+2,
660.00,2.00010864E+2,
661.00,1.60435287E+2,
662.00,3.97494720E+2,
663.00,2.08220154E+2,
664.00,3.84699249E+2,
665.00,1.89454773E+2,
666.00,1.77810638E+2,
667.00,1.41909119E+2,
668.00,2.00094025E+2,
669.00,5.02394806E+2,
670.00,3.34962189E+2,
671.00,6.54446838E+2,
672.00,3.93599487E+2,
673.00,5.38467651E+2,
674.00,6.35637085E+2,
675.00,7.04146301E+2,
676.00,6.87021973E+2,
677.00,9.47235474E+2,
678.00,5.61265503E+2,
679.00,6.04785583E+2,
680.00,9.67107788E+2,
681.00,9.47060120E+2,
682.00,1.31484912E+3,
683.00,1.35077734E+3,
684.00,1.20538184E+3,
685.00,1.46357361E+3,
686.00,1.65132056E+3,
687.00,1.89502869E+3,
688.00,2.10002246E+3,
689.00,1.83938733E+3,
690.00,1.75354749E+3,
691.00,2.25920972E+3,
692.00,2.52566479E+3,
693.00,2.79645142E+3,
694.00,2.64996216E+3,
695.00,3.47032202E+3,
696.00,3.87546460E+3,
697.00,3.79709863E+3,
698.00,4.02689429E+3,
699.00,4.90618115E+3,
700.00,4.79386621E+3,
701.00,5.60121582E+3,
702.00,5.10893066E+3,
703.00,6.10751172E+3,
704.00,6.00720801E+3,
705.00,6.55558594E+3,
706.00,6.71717578E+3,
707.00,6.93356152E+3,
708.00,7.82598486E+3,
709.00,8.41306641E+3,
710.00,8.07914795E+3,
711.00,8.75108301E+3,
712.00,9.56135449E+3,
713.00,1.00630605E+4,
714.00,1.03656943E+4,
715.00,1.11018018E+4,
716.00,1.17169199E+4,
717.00,1.23420674E+4,
718.00,1.33318408E+4,
719.00,1.37759707E+4,
720.00,1.47923750E+4,
721.00,1.50470488E+4,
722.00,1.61043564E+4,
723.00,1.71516016E+4,
724.00,1.75638691E+4,
725.00,1.84062871E+4,
726.00,1.91392539E+4,
727.00,2.04621309E+4,
728.00,2.14533633E+4,
729.00,2.25820449E+4,
730.00,2.33953125E+4,
731.00,2.38629082E+4,
732.00,2.58880430E+4,
733.00,2.72260508E+4,
734.00,2.75556680E+4,
735.00,2.89427285E+4,
736.00,2.94906016E+4,
737.00,3.14074863E+4,
738.00,3.18499238E+4,
739.00,3.32688203E+4,
740.00,3.55391406E+4,
741.00,3.68581602E+4,
742.00,3.78004766E+4,
743.00,3.97796602E+4,
744.00,4.17229883E+4,
745.00,4.33356914E+4,
746.00,4.46782383E+4,
747.00,4.63680508E+4,
748.00,4.82825938E+4,
749.00,4.95199531E+4,
750.00,5.06785195E+4,
751.00,5.39470508E+4,
752.00,5.57087461E+4,
753.00,5.78670547E+4,
754.00,5.97816523E+4,
755.00,6.10457344E+4,
756.00,6.33609531E+4,
757.00,6.52512734E+4,
758.00,6.74997656E+4,
759.00,6.97653672E+4,
760.00,7.17609297E+4,
761.00,7.37820391E+4,
762.00,7.62234219E+4,
763.00,7.91359531E+4,
764.00,8.17486094E+4,
765.00,8.47769219E+4,
766.00,8.62220547E+4,
767.00,8.82135078E+4,
768.00,9.18742422E+4,
769.00,9.35824219E+4,
770.00,9.74859141E+4,
771.00,9.91929375E+4,
772.00,1.01772117E+5,
773.00,1.04660078E+5,
774.00,1.06795609E+5,
775.00,1.09882227E+5,
776.00,1.12818820E+5,
777.00,1.15067195E+5,
778.00,1.17623789E+5,
779.00,1.21314117E+5,
780.00,1.23018484E+5,
781.00,1.25729398E+5,
782.00,1.27644016E+5,
783.00,1.31667531E+5,
784.00,1.34082578E+5,
785.00,1.38049109E+5,
786.00,1.40285000E+5,
787.00,1.42286797E+5,
788.00,1.44272688E+5,
789.00,1.47247078E+5,
790.00,1.49568203E+5,
791.00,1.50932266E+5,
792.00,1.54292734E+5,
793.00,1.57387219E+5,
794.00,1.59884828E+5,
795.00,1.63328094E+5,
796.00,1.64588281E+5,
797.00,1.67667734E+5,
798.00,1.69928625E+5,
799.00,1.73638734E+5,
800.00,1.74493516E+5,
801.00,1.76548156E+5,
802.00,1.80161594E+5,
803.00,1.82869703E+5,
804.00,1.86378438E+5,
805.00,1.87796359E+5,
806.00,1.90079281E+5,
807.00,1.92409406E+5,
808.00,1.94562375E+5,
809.00,1.96331016E+5,
810.00,1.98148313E+5,
811.00,1.99213906E+5,
812.00,2.00977391E+5,
813.00,2.04023094E+5,
814.00,2.05632797E+5,
815.00,2.06049438E+5,
816.00,2.08897906E+5,
817.00,2.10828359E+5,
818.00,2.11808984E+5,
819.00,2.14429766E+5,
820.00,2.16568531E+5,
821.00,2.16296328E+5,
822.00,2.18494297E+5,
823.00,2.19646516E+5,
824.00,2.22639609E+5,
825.00,2.23030219E+5,
826.00,2.22525641E+5,
827.00,2.22634438E+5,
828.00,2.25691234E+5,
829.00,2.26635750E+5,
830.00,2.25750844E+5,
831.00,2.27704750E+5,
832.00,2.28227344E+5,
833.00,2.27272781E+5,
834.00,2.29634625E+5,
835.00,2.30886766E+5,
836.00,2.31497547E+5,
837.00,2.31889469E+5,
838.00,2.32301031E+5,
839.00,2.33904234E+5,
840.00,2.31807797E+5,
841.00,2.32255656E+5,
842.00,2.32970766E+5,
843.00,2.34457031E+5,
844.00,2.35424641E+5,
845.00,2.35464984E+5,
846.00,2.34516125E+5,
847.00,2.35847172E+5,
848.00,2.35863938E+5,
849.00,2.35741109E+5,
850.00,2.34693719E+5,
851.00,2.33995734E+5,
852.00,2.35020391E+5,
853.00,2.34388078E+5,
854.00,2.33652297E+5,
855.00,2.33303500E+5,
856.00,2.34694922E+5,
857.00,2.34412531E+5,
858.00,2.33541813E+5,
859.00,2.33320406E+5,
860.00,2.31545859E+5,
861.00,2.30695000E+5,
862.00,2.29543219E+5,
863.00,2.30234703E+5,
864.00,2.30088234E+5,
865.00,2.28872406E+5,
866.00,2.27508172E+5,
867.00,2.27633781E+5,
868.00,2.26441813E+5,
869.00,2.23880281E+5,
870.00,2.22754625E+5,
871.00,2.23687359E+5,
872.00,2.23388203E+5,
873.00,2.21760484E+5,
874.00,2.21672188E+5,
875.00,2.20481969E+5,
876.00,2.17545000E+5,
877.00,2.18078188E+5,
878.00,2.17069063E+5,
879.00,2.15608984E+5,
880.00,2.14524141E+5,
881.00,2.12306578E+5,
882.00,2.12701469E+5,
883.00,2.10144297E+5,
884.00,2.10218438E+5,
885.00,2.08178203E+5,
886.00,2.06736797E+5,
887.00,2.05980375E+5,
888.00,2.04397828E+5,
889.00,2.03767750E+5,
890.00,2.01575938E+5,
891.00,2.00065109E+5,
892.00,2.00166688E+5,
893.00,1.96633813E+5,
894.00,1.97985266E+5,
895.00,1.96165953E+5,
896.00,1.95697609E+5,
897.00,1.93703547E+5,
898.00,1.91481766E+5,
899.00,1.90787516E+5,
900.00,1.88487719E+5,
901.00,1.87605344E+5,
902.00,1.85589500E+5,
903.00,1.84385234E+5,
904.00,1.82673813E+5,
905.00,1.81431484E+5,
906.00,1.79673422E+5,
907.00,1.78867250E+5,
908.00,1.77218875E+5,
909.00,1.76338156E+5,
910.00,1.74997438E+5,
911.00,1.74086063E+5,
912.00,1.73037000E+5,
913.00,1.71321922E+5,
914.00,1.69251609E+5,
915.00,1.68441016E+5,
916.00,1.67240922E+5,
917.00,1.65179922E+5,
918.00,1.64448828E+5,
919.00,1.62651234E+5,
920.00,1.61733406E+5,
921.00,1.59170875E+5,
922.00,1.58285094E+5,
923.00,1.56200531E+5,
924.00,1.54795734E+5,
925.00,1.53391422E+5,
926.00,1.51729781E+5,
927.00,1.50920172E+5,
928.00,1.49149859E+5,
929.00,1.47873594E+5,
930.00,1.46647563E+5,
931.00,1.44944063E+5,
932.00,1.44063781E+5,
933.00,1.43052250E+5,
934.00,1.41351297E+5,
935.00,1.39610609E+5,
936.00,1.38606047E+5,
937.00,1.36654109E+5,
938.00,1.35883328E+5,
939.00,1.33593922E+5,
940.00,1.32532734E+5,
941.00,1.30388586E+5,
942.00,1.29453555E+5,
943.00,1.29002750E+5,
944.00,1.27395492E+5,
945.00,1.25693305E+5,
946.00,1.24213539E+5,
947.00,1.23060852E+5,
948.00,1.21889859E+5,
949.00,1.20627742E+5,
950.00,1.18908453E+5,
951.00,1.16688336E+5,
952.00,1.15804539E+5,
953.00,1.14971844E+5,
954.00,1.13854695E+5,
955.00,1.12388984E+5,
956.00,1.11223984E+5,
957.00,1.09306773E+5,
958.00,1.08546273E+5,
959.00,1.07541797E+5,
960.00,1.06823656E+5,
961.00,1.04936930E+5,
962.00,1.04659797E+5,
963.00,1.03593227E+5,
964.00,1.01737289E+5,
965.00,1.00499641E+5,
966.00,1.00041219E+5,
967.00,9.87334063E+4,
968.00,9.80284453E+4,
969.00,9.63107344E+4,
970.00,9.60255469E+4,
971.00,9.42983594E+4,
972.00,9.35954375E+4,
973.00,9.21847578E+4,
974.00,9.15752266E+4,
975.00,9.04118906E+4,
976.00,8.96010391E+4,
977.00,8.87326172E+4,
978.00,8.74925000E+4,
979.00,8.66132969E+4,
980.00,8.51317578E+4,
981.00,8.44183516E+4,
982.00,8.32600078E+4,
983.00,8.24369297E+4,
984.00,8.12679297E+4,
985.00,7.97559922E+4,
986.00,7.91379766E+4,
987.00,7.81131641E+4,
988.00,7.74042266E+4,
989.00,7.64124531E+4,
990.00,7.54012578E+4,
991.00,7.45379219E+4,
992.00,7.35460703E+4,
993.00,7.24672031E+4,
994.00,7.12984766E+4,
995.00,7.06326406E+4,
996.00,7.00818672E+4,
997.00,6.88317031E+4,
998.00,6.79305391E+4,
999.00,6.71194609E+4,
1000.00,6.64657031E+4,
1001.000,6.52011914E+4,
1002.000,6.40818203E+4,
1003.000,6.30841055E+4,
1004.000,6.24435938E+4,
1005.000,6.17014727E+4,
1006.000,6.09113125E+4,
1007.000,6.01745977E+4,
1008.000,5.95319648E+4,
1009.000,5.87740898E+4,
1010.00,5.78427031E+4,
1011.000,5.75844531E+4,
1012.000,5.63754492E+4,
1013.000,5.54187109E+4,
1014.000,5.48759492E+4,
1015.000,5.41619492E+4,
1016.000,5.34825078E+4,
1017.000,5.30564883E+4,
1018.000,5.18468438E+4,
1019.000,5.13940703E+4,
1020.00,5.04526602E+4,
1021.000,4.96359258E+4,
1022.000,4.93289414E+4,
1023.000,4.86088516E+4,
1024.000,4.78191523E+4,
1025.000,4.74357148E+4,
1026.000,4.66058086E+4,
1027.000,4.58445313E+4,
1028.000,4.50258164E+4,
1029.000,4.45888008E+4,
1030.00,4.38221445E+4,
1031.000,4.34178203E+4,
1032.000,4.28405703E+4,
1033.000,4.20827461E+4,
1034.000,4.18145898E+4,
1035.000,4.11270781E+4,
1036.000,4.03880469E+4,
1037.000,4.00379531E+4,
1038.000,3.93617617E+4,
1039.000,3.86169805E+4,
1040.00,3.81037266E+4,
1041.000,3.74620625E+4,
1042.000,3.70460547E+4,
1043.000,3.65700078E+4,
1044.000,3.61052500E+4,
1045.000,3.55389570E+4,
1046.000,3.48147227E+4,
1047.000,3.45614336E+4,
1048.000,3.42769922E+4,
1049.000,3.36300547E+4,
1050.00,3.29442773E+4,
1051.000,3.27037813E+4,
1052.000,3.23947383E+4,
1053.000,3.21370254E+4,
1054.000,3.14529023E+4,
1055.000,3.10296641E+4,
1056.000,3.04649297E+4,
1057.000,2.99901211E+4,
1058.000,2.97850840E+4,
1059.000,2.91090273E+4,
1060.00,2.83201348E+4,
1061.000,2.81805039E+4,
1062.000,2.79044902E+4,
1063.000,2.74024824E+4,
1064.000,2.74805391E+4,
1065.000,2.68977422E+4,
1066.000,2.65566816E+4,
1067.000,2.60431348E+4,
1068.000,2.56258516E+4,
1069.000,2.52458438E+4,
1070.00,2.49496289E+4,
1071.000,2.44546250E+4,
1072.000,2.41343926E+4,
1073.000,2.36796152E+4,
1074.000,2.34631094E+4,
1075.000,2.29052168E+4,
1076.000,2.26003633E+4,
1077.000,2.24864238E+4,
1078.000,2.20968945E+4,
1079.000,2.17736992E+4,
1080.00,2.16217051E+4,
1081.000,2.12765859E+4,
1082.000,2.07073691E+4,
1083.000,2.04664980E+4,
1084.000,2.03688574E+4,
1085.000,2.00014941E+4,
1086.000,1.97213262E+4,
1087.000,1.94284258E+4,
1088.000,1.90059844E+4,
1089.000,1.88241895E+4,
1090.00,1.86086523E+4,
1091.000,1.84115176E+4,
1092.000,1.79815957E+4,
1093.000,1.77049570E+4,
1094.000,1.75587637E+4,
1095.000,1.73535625E+4,
1096.000,1.68514824E+4,
1097.000,1.65685918E+4,
1098.000,1.63849414E+4,
1099.000,1.62370713E+4,
1100.00,1.60807158E+4,
1101.000,1.57184092E+4,
1102.000,1.55272998E+4,
1103.000,1.53097783E+4,
1104.000,1.53614277E+4,
1105.000,1.48869502E+4,
1106.000,1.47950576E+4,
1107.000,1.45916904E+4,
1108.000,1.43039551E+4,
1109.000,1.40888926E+4,
1110.00,1.40012305E+4,
1111.000,1.36179395E+4,
1112.000,1.37056250E+4,
1113.000,1.32240488E+4,
1114.000,1.30489902E+4,
1115.000,1.29378525E+4,
1116.000,1.28551807E+4,
1117.000,1.26517705E+4,
1118.000,1.23337930E+4,
1119.000,1.23205186E+4,
1120.00,1.19573398E+4,
1121.000,1.18375527E+4,
1122.000,1.18015889E+4,
1123.000,1.14714229E+4,
1124.000,1.14614180E+4,
1125.000,1.11669551E+4,
1126.000,1.10286982E+4,
1127.000,1.07151748E+4,
1128.000,1.06756904E+4,
1129.000,1.04411250E+4,
1130.00,1.02544102E+4,
1131.000,1.02248369E+4,
1132.000,1.00787031E+4,
1133.000,1.00176357E+4,
1134.000,9.82554102E+3,
1135.000,9.66089746E+3,
1136.000,9.50352930E+3,
1137.000,9.29263184E+3,
1138.000,9.18699902E+3,
1139.000,9.12881152E+3,
1140.00,8.80362695E+3,
1141.000,8.71915039E+3,
1142.000,8.60405859E+3,
1143.000,8.54972754E+3,
1144.000,8.48204785E+3,
1145.000,8.33225488E+3,
1146.000,8.27821875E+3,
1147.000,8.13682275E+3,
1148.000,7.83677246E+3,
1149.000,7.82433350E+3,
1150.00,7.74036328E+3,
1151.000,7.65446240E+3,
1152.000,7.49948926E+3,
1153.000,7.37835156E+3,
1154.000,7.34529004E+3,
1155.000,7.19398389E+3,
1156.000,7.05014844E+3,
1157.000,7.08532764E+3,
1158.000,6.89547021E+3,
1159.000,6.76917041E+3,
1160.00,6.76714697E+3,
1161.000,6.53793213E+3,
1162.000,6.50406934E+3,
1163.000,6.36939258E+3,
1164.000,6.25164648E+3,
1165.000,6.19047461E+3,
1166.000,6.15961768E+3,
1167.000,6.02639551E+3,
1168.000,5.96868457E+3,
1169.000,5.80690918E+3,
1170.00,5.81718066E+3,
