Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.2999480,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.2999856,
Detector,Det2,

600.00,6.76562073E+2,
601.00,5.45381622E+1,
602.00,0.00000000E+0,
603.00,-7.05676804E+1,
604.00,-1.43316483E+2,
605.00,-2.72991302E+2,
606.00,6.69697952E+1,
607.00,2.08124104E+1,
608.00,-2.09455200E+2,
609.00,-2.70433105E+2,
610.00,4.46622200E+1,
611.00,-1.36229828E+2,
612.00,-9.78548508E+1,
613.00,7.73249483E+0,
614.00,-9.55035172E+1,
615.00,-7.12295303E+1,
616.00,-3.32360840E+2,
617.00,-3.26148743E+2,
618.00,5.83682007E+2,
619.00,-1.17244148E+2,
620.00,-3.04100220E+2,
621.00,-2.62968292E+2,
622.00,-1.88239288E+2,
623.00,-2.46455124E+2,
624.00,-3.21306702E+2,
625.00,6.53570786E+1,
626.00,-2.69603333E+2,
627.00,-1.13402840E+2,
628.00,3.08622303E+1,
629.00,-4.65307526E+2,
630.00,-3.42787415E+2,
631.00,-3.79788086E+2,
632.00,-8.12080383E+0,
633.00,-1.25386368E+2,
634.00,-3.88420654E+2,
635.00,-1.71265778E+2,
636.00,-2.64490814E+2,
637.00,-1.94358566E+2,
638.00,-1.57435669E+2,
639.00,-1.48671494E+2,
640.00,-8.14033890E+1,
641.00,-7.39880295E+1,
642.00,-6.94138908E+0,
643.00,3.91815186E+1,
644.00,1.83622437E+1,
645.00,-2.29428589E+2,
646.00,4.59372177E+1,
647.00,-2.98154411E+1,
648.00,-1.19682335E+2,
649.00,-3.20612869E+1,
650.00,-2.28039001E+2,
651.00,-1.50591873E+2,
652.00,1.00598190E+2,
653.00,-2.61498230E+2,
654.00,-3.14009155E+2,
655.00,-1.94013809E+2,
656.00,5.27413368E+1,
657.00,1.24375916E+2,
658.00,4.14171944E+1,
659.00,1.10771896E+2,
660.00,-5.77510910E+1,
661.00,-4.17823601E+1,
662.00,4.65405502E+1,
663.00,-2.81184044E+1,
664.00,1.56744110E+2,
665.00,4.23418671E+2,
666.00,6.39597473E+1,
667.00,3.82161072E+2,
668.00,-4.74618387E+0,
669.00,4.00607941E+2,
670.00,4.10537231E+2,
671.00,4.89406036E+2,
672.00,1.87500931E+2,
673.00,2.73790558E+2,
674.00,2.48545319E+2,
675.00,1.17208923E+2,
676.00,2.70006989E+2,
677.00,4.55425171E+2,
678.00,7.91499695E+2,
679.00,4.23843170E+2,
680.00,6.07498901E+2,
681.00,6.62729126E+2,
682.00,8.82732483E+2,
683.00,7.80228394E+2,
684.00,1.29051428E+3,
685.00,1.04404138E+3,
686.00,1.49711340E+3,
687.00,1.02041162E+3,
688.00,1.02991199E+3,
689.00,1.48465015E+3,
690.00,1.66138098E+3,
691.00,1.64007104E+3,
692.00,1.76407678E+3,
693.00,1.91338464E+3,
694.00,2.43325757E+3,
695.00,2.59369922E+3,
696.00,3.57634204E+3,
697.00,3.45337036E+3,
698.00,3.31738232E+3,
699.00,3.46347925E+3,
700.00,4.41637305E+3,
701.00,4.52112061E+3,
702.00,4.43603955E+3,
703.00,4.38583301E+3,
704.00,5.28537695E+3,
705.00,5.27748340E+3,
706.00,6.00078369E+3,
707.00,5.85545508E+3,
708.00,6.45322461E+3,
709.00,7.54496387E+3,
710.00,6.93451855E+3,
711.00,7.58050244E+3,
712.00,7.96225830E+3,
713.00,8.53333398E+3,
714.00,9.05795605E+3,
715.00,9.82903320E+3,
716.00,1.00394502E+4,
717.00,1.06080830E+4,
718.00,1.13255986E+4,
719.00,1.20599102E+4,
720.00,1.31623809E+4,
721.00,1.27921348E+4,
722.00,1.34023789E+4,
723.00,1.42472246E+4,
724.00,1.39754033E+4,
725.00,1.51544102E+4,
726.00,1.56398086E+4,
727.00,1.68270703E+4,
728.00,1.81432168E+4,
729.00,1.83816387E+4,
730.00,2.00684863E+4,
731.00,2.02645195E+4,
732.00,2.14526055E+4,
733.00,2.18085313E+4,
734.00,2.23343789E+4,
735.00,2.38123379E+4,
736.00,2.47735898E+4,
737.00,2.59947441E+4,
738.00,2.66016953E+4,
739.00,2.85305020E+4,
740.00,2.89716230E+4,
741.00,3.00121211E+4,
742.00,3.10284395E+4,
743.00,3.27293320E+4,
744.00,3.35387969E+4,
745.00,3.51582617E+4,
746.00,3.65527852E+4,
747.00,3.82932500E+4,
748.00,3.86394922E+4,
749.00,4.06165547E+4,
750.00,4.14989023E+4,
751.00,4.36206563E+4,
752.00,4.53125000E+4,
753.00,4.57155703E+4,
754.00,4.76890078E+4,
755.00,4.96301992E+4,
756.00,5.09601563E+4,
757.00,5.23448984E+4,
758.00,5.41786758E+4,
759.00,5.48810313E+4,
760.00,5.66117539E+4,
761.00,5.91293984E+4,
762.00,5.93926719E+4,
763.00,6.20491016E+4,
764.00,6.45919648E+4,
765.00,6.61321719E+4,
766.00,6.80062422E+4,
767.00,6.92914297E+4,
768.00,7.22872969E+4,
769.00,7.36944375E+4,
770.00,7.55807188E+4,
771.00,7.65009375E+4,
772.00,7.99240234E+4,
773.00,8.05650938E+4,
774.00,8.34696406E+4,
775.00,8.46987813E+4,
776.00,8.74840000E+4,
777.00,8.98707344E+4,
778.00,9.03764844E+4,
779.00,9.45537266E+4,
780.00,9.70941875E+4,
781.00,9.73068203E+4,
782.00,9.92353203E+4,
783.00,1.01160227E+5,
784.00,1.04281656E+5,
785.00,1.06916039E+5,
786.00,1.08271148E+5,
787.00,1.10237234E+5,
788.00,1.11340859E+5,
789.00,1.13950453E+5,
790.00,1.15999656E+5,
791.00,1.19379727E+5,
792.00,1.21138492E+5,
793.00,1.20082219E+5,
794.00,1.23275953E+5,
795.00,1.25011633E+5,
796.00,1.27970922E+5,
797.00,1.28876391E+5,
798.00,1.30643242E+5,
799.00,1.32857750E+5,
800.00,1.34045219E+5,
801.00,1.36303406E+5,
802.00,1.38667141E+5,
803.00,1.39863406E+5,
804.00,1.41502906E+5,
805.00,1.44996172E+5,
806.00,1.46083734E+5,
807.00,1.47162609E+5,
808.00,1.49329297E+5,
809.00,1.52277734E+5,
810.00,1.50968500E+5,
811.00,1.51879719E+5,
812.00,1.55642859E+5,
813.00,1.56949953E+5,
814.00,1.57405781E+5,
815.00,1.58582547E+5,
816.00,1.59862781E+5,
817.00,1.61097688E+5,
818.00,1.60193656E+5,
819.00,1.63431516E+5,
820.00,1.63797641E+5,
821.00,1.65077234E+5,
822.00,1.64947766E+5,
823.00,1.69156406E+5,
824.00,1.67059250E+5,
825.00,1.70135375E+5,
826.00,1.71086313E+5,
827.00,1.70228844E+5,
828.00,1.71178219E+5,
829.00,1.72272891E+5,
830.00,1.73412844E+5,
831.00,1.74094891E+5,
832.00,1.74842984E+5,
833.00,1.76160172E+5,
834.00,1.77883016E+5,
835.00,1.78430922E+5,
836.00,1.79363109E+5,
837.00,1.78103969E+5,
838.00,1.77458891E+5,
839.00,1.79053719E+5,
840.00,1.80580703E+5,
841.00,1.79071797E+5,
842.00,1.79899406E+5,
843.00,1.80617797E+5,
844.00,1.79970328E+5,
845.00,1.80095000E+5,
846.00,1.80934984E+5,
847.00,1.80217063E+5,
848.00,1.81279609E+5,
849.00,1.79484594E+5,
850.00,1.80703891E+5,
851.00,1.79593891E+5,
852.00,1.80085484E+5,
853.00,1.79771844E+5,
854.00,1.80045266E+5,
855.00,1.80210375E+5,
856.00,1.80186844E+5,
857.00,1.79838547E+5,
858.00,1.79002781E+5,
859.00,1.78902328E+5,
860.00,1.79199766E+5,
861.00,1.77792094E+5,
862.00,1.78588859E+5,
863.00,1.76514734E+5,
864.00,1.76457703E+5,
865.00,1.76489531E+5,
866.00,1.75890469E+5,
867.00,1.73792594E+5,
868.00,1.73063547E+5,
869.00,1.74152094E+5,
870.00,1.73788875E+5,
871.00,1.71839250E+5,
872.00,1.70895063E+5,
873.00,1.71707328E+5,
874.00,1.71018281E+5,
875.00,1.68131344E+5,
876.00,1.67689297E+5,
877.00,1.67242313E+5,
878.00,1.67280844E+5,
879.00,1.65857031E+5,
880.00,1.65877672E+5,
881.00,1.64047813E+5,
882.00,1.63484406E+5,
883.00,1.61444969E+5,
884.00,1.62290406E+5,
885.00,1.61626859E+5,
886.00,1.60949547E+5,
887.00,1.59058125E+5,
888.00,1.58231188E+5,
889.00,1.56780063E+5,
890.00,1.54781281E+5,
891.00,1.54908922E+5,
892.00,1.54544016E+5,
893.00,1.53299594E+5,
894.00,1.53124719E+5,
895.00,1.51314406E+5,
896.00,1.49827250E+5,
897.00,1.49235734E+5,
898.00,1.48352750E+5,
899.00,1.47075594E+5,
900.00,1.44785297E+5,
901.00,1.44898656E+5,
902.00,1.44463734E+5,
903.00,1.42080828E+5,
904.00,1.42220703E+5,
905.00,1.40623828E+5,
906.00,1.39978422E+5,
907.00,1.39010656E+5,
908.00,1.37516719E+5,
909.00,1.36327906E+5,
910.00,1.35314359E+5,
911.00,1.34618344E+5,
912.00,1.33043984E+5,
913.00,1.31876047E+5,
914.00,1.31155469E+5,
915.00,1.30084602E+5,
916.00,1.29331266E+5,
917.00,1.27960992E+5,
918.00,1.27495555E+5,
919.00,1.25439453E+5,
920.00,1.24829945E+5,
921.00,1.23171727E+5,
922.00,1.22829313E+5,
923.00,1.20870125E+5,
924.00,1.19978461E+5,
925.00,1.18839023E+5,
926.00,1.18153008E+5,
927.00,1.17505578E+5,
928.00,1.16195531E+5,
929.00,1.14773891E+5,
930.00,1.13625766E+5,
931.00,1.11924297E+5,
932.00,1.11629953E+5,
933.00,1.10056500E+5,
934.00,1.09956227E+5,
935.00,1.08487195E+5,
936.00,1.07116922E+5,
937.00,1.06755742E+5,
938.00,1.05722125E+5,
939.00,1.04265609E+5,
940.00,1.02767523E+5,
941.00,1.02033164E+5,
942.00,1.00523656E+5,
943.00,9.96327031E+4,
944.00,9.93366797E+4,
945.00,9.81075156E+4,
946.00,9.72947422E+4,
947.00,9.48303125E+4,
948.00,9.43755234E+4,
949.00,9.40119219E+4,
950.00,9.29857578E+4,
951.00,9.15211875E+4,
952.00,8.97784453E+4,
953.00,8.93725938E+4,
954.00,8.83339844E+4,
955.00,8.72157656E+4,
956.00,8.67142656E+4,
957.00,8.57639297E+4,
958.00,8.42058750E+4,
959.00,8.36303516E+4,
960.00,8.25313125E+4,
961.00,8.17124844E+4,
962.00,8.08895078E+4,
963.00,7.98840391E+4,
964.00,7.94482969E+4,
965.00,7.83633047E+4,
966.00,7.80578828E+4,
967.00,7.72790234E+4,
968.00,7.64813828E+4,
969.00,7.57086016E+4,
970.00,7.50040625E+4,
971.00,7.48785000E+4,
972.00,7.45010547E+4,
973.00,7.32198984E+4,
974.00,7.22912969E+4,
975.00,7.17795781E+4,
976.00,7.04086406E+4,
977.00,6.96775938E+4,
978.00,6.93546172E+4,
979.00,6.82386094E+4,
980.00,6.78015156E+4,
981.00,6.65852734E+4,
982.00,6.60608047E+4,
983.00,6.46885195E+4,
984.00,6.46826680E+4,
985.00,6.33723984E+4,
986.00,6.28231914E+4,
987.00,6.20102070E+4,
988.00,6.09052891E+4,
989.00,6.06352031E+4,
990.00,5.97913516E+4,
991.00,5.88267813E+4,
992.00,5.81390898E+4,
993.00,5.70471211E+4,
994.00,5.63311523E+4,
995.00,5.62225625E+4,
996.00,5.53596172E+4,
997.00,5.44763555E+4,
998.00,5.32786680E+4,
999.00,5.27910039E+4,
1000.00,5.22894219E+4,
1001.000,5.18231680E+4,
1002.000,5.11614805E+4,
1003.000,5.04785547E+4,
1004.000,5.02031289E+4,
1005.000,4.90671172E+4,
1006.000,4.88193789E+4,
1007.000,4.78701602E+4,
1008.000,4.72458320E+4,
1009.000,4.64961602E+4,
1010.00,4.59603438E+4,
1011.000,4.54722383E+4,
1012.000,4.44819609E+4,
1013.000,4.43110586E+4,
1014.000,4.33238281E+4,
1015.000,4.29586680E+4,
1016.000,4.22751367E+4,
1017.000,4.23883242E+4,
1018.000,4.10744805E+4,
1019.000,4.09826367E+4,
1020.00,4.00385547E+4,
1021.000,3.96753750E+4,
1022.000,3.92909727E+4,
1023.000,3.86454922E+4,
1024.000,3.81700273E+4,
1025.000,3.81078906E+4,
1026.000,3.76099258E+4,
1027.000,3.70007734E+4,
1028.000,3.62027266E+4,
1029.000,3.55566250E+4,
1030.00,3.49228438E+4,
1031.000,3.47770898E+4,
1032.000,3.45799453E+4,
1033.000,3.38382813E+4,
1034.000,3.30686602E+4,
1035.000,3.28044961E+4,
1036.000,3.23976055E+4,
1037.000,3.17458301E+4,
1038.000,3.17585781E+4,
1039.000,3.09292070E+4,
1040.00,3.04359531E+4,
1041.000,3.04814238E+4,
1042.000,2.98790859E+4,
1043.000,2.97916992E+4,
1044.000,2.91497930E+4,
1045.000,2.88842520E+4,
1046.000,2.85391250E+4,
1047.000,2.78623086E+4,
1048.000,2.74687637E+4,
1049.000,2.69323750E+4,
1050.00,2.69027129E+4,
1051.000,2.64434336E+4,
1052.000,2.60935820E+4,
1053.000,2.54455996E+4,
1054.000,2.55910742E+4,
1055.000,2.48333672E+4,
1056.000,2.47553047E+4,
1057.000,2.43663652E+4,
1058.000,2.38834551E+4,
1059.000,2.35159863E+4,
1060.00,2.34029453E+4,
1061.000,2.29274668E+4,
1062.000,2.26937832E+4,
1063.000,2.23239629E+4,
1064.000,2.20318496E+4,
1065.000,2.18713809E+4,
1066.000,2.13501113E+4,
1067.000,2.10446563E+4,
1068.000,2.06559004E+4,
1069.000,2.03387637E+4,
1070.00,2.02972324E+4,
1071.000,2.00219746E+4,
1072.000,1.94027207E+4,
1073.000,1.93776758E+4,
1074.000,1.90096367E+4,
1075.000,1.86185742E+4,
1076.000,1.83552813E+4,
1077.000,1.83269980E+4,
1078.000,1.77894043E+4,
1079.000,1.77071211E+4,
1080.00,1.75339121E+4,
1081.000,1.71531660E+4,
1082.000,1.70084824E+4,
1083.000,1.67251348E+4,
1084.000,1.65208457E+4,
1085.000,1.61746602E+4,
1086.000,1.61029102E+4,
1087.000,1.57715234E+4,
1088.000,1.56295176E+4,
1089.000,1.53413525E+4,
1090.00,1.50402217E+4,
1091.000,1.50446289E+4,
1092.000,1.47742471E+4,
1093.000,1.46620820E+4,
1094.000,1.42371133E+4,
1095.000,1.41172549E+4,
1096.000,1.38596992E+4,
1097.000,1.37220752E+4,
1098.000,1.32574502E+4,
1099.000,1.33552813E+4,
1100.00,1.31925811E+4,
1101.000,1.31789482E+4,
1102.000,1.26599961E+4,
1103.000,1.25544561E+4,
1104.000,1.25144014E+4,
1105.000,1.22792139E+4,
1106.000,1.21479482E+4,
1107.000,1.19897002E+4,
1108.000,1.18008301E+4,
1109.000,1.16757920E+4,
1110.00,1.14534941E+4,
1111.000,1.13399551E+4,
1112.000,1.12052217E+4,
1113.000,1.09406895E+4,
1114.000,1.06573525E+4,
1115.000,1.06227715E+4,
1116.000,1.05186348E+4,
1117.000,1.04275469E+4,
1118.000,1.01328213E+4,
1119.000,9.95315820E+3,
1120.00,9.85156543E+3,
1121.000,9.80931738E+3,
1122.000,9.63284570E+3,
1123.000,9.44467578E+3,
1124.000,9.26127637E+3,
1125.000,9.18049609E+3,
1126.000,8.92846680E+3,
1127.000,8.87666309E+3,
1128.000,8.81833496E+3,
1129.000,8.61746680E+3,
1130.00,8.58777441E+3,
1131.000,8.48656055E+3,
1132.000,8.32790430E+3,
1133.000,8.18253662E+3,
1134.000,8.14396436E+3,
1135.000,8.03790283E+3,
1136.000,7.72129492E+3,
1137.000,7.66386279E+3,
1138.000,7.60427441E+3,
1139.000,7.50512158E+3,
1140.00,7.30550732E+3,
1141.000,7.20693262E+3,
1142.000,7.06967139E+3,
1143.000,7.15413232E+3,
1144.000,7.01607861E+3,
1145.000,6.79099463E+3,
1146.000,6.71120459E+3,
1147.000,6.59503711E+3,
1148.000,6.44636914E+3,
1149.000,6.36306250E+3,
1150.00,6.29932910E+3,
1151.000,6.10265625E+3,
1152.000,6.12813281E+3,
1153.000,6.17529785E+3,
1154.000,6.01887402E+3,
1155.000,5.81069678E+3,
1156.000,5.83604834E+3,
1157.000,5.78683008E+3,
1158.000,5.58348438E+3,
1159.000,5.54377783E+3,
1160.00,5.50799463E+3,
1161.000,5.45145605E+3,
1162.000,5.32801563E+3,
1163.000,5.25766211E+3,
1164.000,5.17088477E+3,
1165.000,5.08131982E+3,
1166.000,5.01003809E+3,
1167.000,4.92412061E+3,
1168.000,4.84961865E+3,
