Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

600.00,9.00671921E+1,
601.00,-2.29688553E+2,
602.00,2.74979065E+2,
603.00,2.71568268E+2,
604.00,-1.54804926E+1,
605.00,3.50429504E+2,
606.00,3.73132610E+0,
607.00,2.22634544E+1,
608.00,3.66925354E+1,
609.00,1.93271225E+2,
610.00,-1.44443604E+2,
611.00,3.41301788E+2,
612.00,-3.20126678E+2,
613.00,-3.45099030E+1,
614.00,4.11381378E+1,
615.00,1.93699051E+2,
616.00,-1.78332672E+2,
617.00,1.07646507E+2,
618.00,1.74348312E+2,
619.00,2.17605179E+2,
620.00,-9.03900757E+1,
621.00,1.14465179E+2,
622.00,5.81400986E+1,
623.00,1.50922653E+2,
624.00,1.95522995E+2,
625.00,-3.21892166E+1,
626.00,1.73105373E+1,
627.00,9.01513748E+1,
628.00,2.76984525E+0,
629.00,3.05800598E+2,
630.00,8.66518173E+1,
631.00,1.08926819E+2,
632.00,-1.45433559E+1,
633.00,3.66520386E+1,
634.00,0.00000000E+0,
635.00,1.33525528E+2,
636.00,2.45354248E+2,
637.00,3.54226349E+2,
638.00,1.70928879E+2,
639.00,-7.26600876E+1,
640.00,-3.71676826E+1,
641.00,3.21784271E+2,
642.00,2.67725410E+1,
643.00,-6.18336182E+1,
644.00,1.88701248E+2,
645.00,3.42690430E+2,
646.00,4.29025269E+2,
647.00,2.11396896E+2,
648.00,1.59863190E+2,
649.00,2.29559982E+2,
650.00,2.48533875E+2,
651.00,3.16999023E+2,
652.00,2.43643250E+2,
653.00,3.87267242E+2,
654.00,6.74922867E+1,
655.00,3.62489594E+2,
656.00,3.39398682E+2,
657.00,5.91112671E+2,
658.00,6.72483032E+2,
659.00,7.39632324E+2,
660.00,5.37014526E+2,
661.00,6.96821899E+2,
662.00,7.58170227E+2,
663.00,7.09097534E+2,
664.00,8.67542664E+2,
665.00,1.14932483E+3,
666.00,1.06363684E+3,
667.00,1.04614575E+3,
668.00,1.25016248E+3,
669.00,1.24316333E+3,
670.00,1.34941907E+3,
671.00,1.56979651E+3,
672.00,1.78360559E+3,
673.00,1.58264880E+3,
674.00,2.22727026E+3,
675.00,1.99409412E+3,
676.00,2.18008496E+3,
677.00,2.52133228E+3,
678.00,2.32640771E+3,
679.00,2.85353760E+3,
680.00,2.90020850E+3,
681.00,3.26430762E+3,
682.00,3.60010864E+3,
683.00,3.62256592E+3,
684.00,3.85917358E+3,
685.00,4.24528662E+3,
686.00,4.35919727E+3,
687.00,4.80223779E+3,
688.00,5.16233008E+3,
689.00,5.25990430E+3,
690.00,6.39043555E+3,
691.00,6.73785889E+3,
692.00,7.97750781E+3,
693.00,8.75750293E+3,
694.00,9.21668945E+3,
695.00,1.02570205E+4,
696.00,1.07163770E+4,
697.00,1.17715000E+4,
698.00,1.24658418E+4,
699.00,1.28432236E+4,
700.00,1.38037842E+4,
701.00,1.40230449E+4,
702.00,1.48244775E+4,
703.00,1.51623340E+4,
704.00,1.61850166E+4,
705.00,1.72308730E+4,
706.00,1.78110117E+4,
707.00,1.85114453E+4,
708.00,1.97308750E+4,
709.00,2.00876094E+4,
710.00,2.18124824E+4,
711.00,2.28223066E+4,
712.00,2.35329863E+4,
713.00,2.45853008E+4,
714.00,2.55986602E+4,
715.00,2.65322676E+4,
716.00,2.85094375E+4,
717.00,2.84300430E+4,
718.00,3.15030273E+4,
719.00,3.19335293E+4,
720.00,3.33036914E+4,
721.00,3.44738320E+4,
722.00,3.59001172E+4,
723.00,3.76497422E+4,
724.00,3.96820625E+4,
725.00,4.11470273E+4,
726.00,4.18013398E+4,
727.00,4.30115547E+4,
728.00,4.60443477E+4,
729.00,4.75401133E+4,
730.00,4.87112188E+4,
731.00,5.03732617E+4,
732.00,5.20773945E+4,
733.00,5.37673594E+4,
734.00,5.59381602E+4,
735.00,5.77427344E+4,
736.00,6.00639102E+4,
737.00,6.20436445E+4,
738.00,6.34930820E+4,
739.00,6.60565547E+4,
740.00,6.87055391E+4,
741.00,7.12473281E+4,
742.00,7.36534297E+4,
743.00,7.52249844E+4,
744.00,7.76363906E+4,
745.00,7.92832891E+4,
746.00,8.13452891E+4,
747.00,8.41565469E+4,
748.00,8.73642813E+4,
749.00,8.99811094E+4,
750.00,9.28557422E+4,
751.00,9.57655625E+4,
752.00,9.65327109E+4,
753.00,9.89377500E+4,
754.00,1.02248047E+5,
755.00,1.05060297E+5,
756.00,1.06748836E+5,
757.00,1.10765125E+5,
758.00,1.13080313E+5,
759.00,1.13682648E+5,
760.00,1.18380438E+5,
761.00,1.19837008E+5,
762.00,1.23206063E+5,
763.00,1.25296539E+5,
764.00,1.29167695E+5,
765.00,1.32360969E+5,
766.00,1.34767234E+5,
767.00,1.36099109E+5,
768.00,1.40144313E+5,
769.00,1.43072875E+5,
770.00,1.45678438E+5,
771.00,1.47790109E+5,
772.00,1.52094469E+5,
773.00,1.54339125E+5,
774.00,1.56111250E+5,
775.00,1.59169984E+5,
776.00,1.61244750E+5,
777.00,1.64142859E+5,
778.00,1.66279391E+5,
779.00,1.70586813E+5,
780.00,1.73451953E+5,
781.00,1.73984000E+5,
782.00,1.77586438E+5,
783.00,1.79696609E+5,
784.00,1.81772000E+5,
785.00,1.84841500E+5,
786.00,1.86860609E+5,
787.00,1.88649203E+5,
788.00,1.89789781E+5,
789.00,1.92571516E+5,
790.00,1.95340516E+5,
791.00,1.98261953E+5,
792.00,1.98497578E+5,
793.00,1.99043719E+5,
794.00,2.03395406E+5,
795.00,2.05794016E+5,
796.00,2.07458984E+5,
797.00,2.08295453E+5,
798.00,2.11055219E+5,
799.00,2.10884500E+5,
800.00,2.16280344E+5,
801.00,2.15284406E+5,
802.00,2.16700297E+5,
803.00,2.18442109E+5,
804.00,2.20990000E+5,
805.00,2.20825063E+5,
806.00,2.22998016E+5,
807.00,2.24135000E+5,
808.00,2.27296688E+5,
809.00,2.27651594E+5,
810.00,2.27609750E+5,
811.00,2.28649766E+5,
812.00,2.27372031E+5,
813.00,2.29135859E+5,
814.00,2.32108438E+5,
815.00,2.31979172E+5,
816.00,2.33444750E+5,
817.00,2.31834875E+5,
818.00,2.31999281E+5,
819.00,2.34759047E+5,
820.00,2.35815484E+5,
821.00,2.35524359E+5,
822.00,2.36370250E+5,
823.00,2.37313266E+5,
824.00,2.35828156E+5,
825.00,2.37868750E+5,
826.00,2.35954813E+5,
827.00,2.35669125E+5,
828.00,2.37734375E+5,
829.00,2.34415156E+5,
830.00,2.37161813E+5,
831.00,2.35722094E+5,
832.00,2.37130484E+5,
833.00,2.36794953E+5,
834.00,2.36500953E+5,
835.00,2.35437344E+5,
836.00,2.36248031E+5,
837.00,2.37021797E+5,
838.00,2.36326641E+5,
839.00,2.35521469E+5,
840.00,2.35473297E+5,
841.00,2.36756219E+5,
842.00,2.33871031E+5,
843.00,2.35424766E+5,
844.00,2.33888469E+5,
845.00,2.33929922E+5,
846.00,2.32973922E+5,
847.00,2.31175469E+5,
848.00,2.30270391E+5,
849.00,2.30852813E+5,
850.00,2.29803438E+5,
851.00,2.27788188E+5,
852.00,2.27746047E+5,
853.00,2.28303531E+5,
854.00,2.26048047E+5,
855.00,2.26418375E+5,
856.00,2.25192500E+5,
857.00,2.24741547E+5,
858.00,2.22564906E+5,
859.00,2.19937125E+5,
860.00,2.19258797E+5,
861.00,2.18810875E+5,
862.00,2.17397234E+5,
863.00,2.17067297E+5,
864.00,2.14534531E+5,
865.00,2.14145641E+5,
866.00,2.14287375E+5,
867.00,2.11207328E+5,
868.00,2.09735281E+5,
869.00,2.09353563E+5,
870.00,2.07724531E+5,
871.00,2.05310531E+5,
872.00,2.04897969E+5,
873.00,2.04072719E+5,
874.00,2.03944672E+5,
875.00,2.02138656E+5,
876.00,1.99564641E+5,
877.00,1.97296031E+5,
878.00,1.95781250E+5,
879.00,1.95120125E+5,
880.00,1.93783469E+5,
881.00,1.91427922E+5,
882.00,1.89897188E+5,
883.00,1.90057359E+5,
884.00,1.87542516E+5,
885.00,1.86807719E+5,
886.00,1.84263719E+5,
887.00,1.84048656E+5,
888.00,1.81659875E+5,
889.00,1.81167875E+5,
890.00,1.77715328E+5,
891.00,1.77384344E+5,
892.00,1.75052781E+5,
893.00,1.73047109E+5,
894.00,1.74162109E+5,
895.00,1.70500734E+5,
896.00,1.70729469E+5,
897.00,1.68062344E+5,
898.00,1.67006547E+5,
899.00,1.65580578E+5,
900.00,1.64544266E+5,
901.00,1.62975266E+5,
902.00,1.61239063E+5,
903.00,1.59362297E+5,
904.00,1.57572250E+5,
905.00,1.56308203E+5,
906.00,1.54893375E+5,
907.00,1.53999906E+5,
908.00,1.51574406E+5,
909.00,1.49683281E+5,
910.00,1.49467406E+5,
911.00,1.47417750E+5,
912.00,1.46912531E+5,
913.00,1.45170188E+5,
914.00,1.42825688E+5,
915.00,1.42094484E+5,
916.00,1.41019078E+5,
917.00,1.39099922E+5,
918.00,1.37958250E+5,
919.00,1.36492063E+5,
920.00,1.34510875E+5,
921.00,1.34635016E+5,
922.00,1.32512531E+5,
923.00,1.31064375E+5,
924.00,1.29285336E+5,
925.00,1.28292289E+5,
926.00,1.26898422E+5,
927.00,1.25421141E+5,
928.00,1.23989398E+5,
929.00,1.22592398E+5,
930.00,1.21387063E+5,
931.00,1.19857734E+5,
932.00,1.18476719E+5,
933.00,1.17537875E+5,
934.00,1.16118906E+5,
935.00,1.15502367E+5,
936.00,1.13456172E+5,
937.00,1.12513375E+5,
938.00,1.10923734E+5,
939.00,1.09269180E+5,
940.00,1.08016891E+5,
941.00,1.06995078E+5,
942.00,1.05220359E+5,
943.00,1.04731641E+5,
944.00,1.03297898E+5,
945.00,1.01885578E+5,
946.00,1.00578492E+5,
947.00,9.95819688E+4,
948.00,9.82914297E+4,
949.00,9.70929453E+4,
950.00,9.60884766E+4,
951.00,9.44221875E+4,
952.00,9.31395625E+4,
953.00,9.24707031E+4,
954.00,9.06797891E+4,
955.00,9.02718984E+4,
956.00,8.90013203E+4,
957.00,8.84276484E+4,
958.00,8.64011406E+4,
959.00,8.57853516E+4,
960.00,8.48653438E+4,
961.00,8.35968438E+4,
962.00,8.26983984E+4,
963.00,8.19182031E+4,
964.00,8.07235469E+4,
965.00,7.90322344E+4,
966.00,7.85783281E+4,
967.00,7.81361094E+4,
968.00,7.69259297E+4,
969.00,7.66619453E+4,
970.00,7.55016406E+4,
971.00,7.47298516E+4,
972.00,7.35886250E+4,
973.00,7.28537734E+4,
974.00,7.15268828E+4,
975.00,7.08070313E+4,
976.00,7.00266094E+4,
977.00,6.89671641E+4,
978.00,6.81332813E+4,
979.00,6.72564219E+4,
980.00,6.65246797E+4,
981.00,6.57729219E+4,
982.00,6.48972891E+4,
983.00,6.37377578E+4,
984.00,6.31891406E+4,
985.00,6.18130547E+4,
986.00,6.14841680E+4,
987.00,6.03705469E+4,
988.00,5.98156563E+4,
989.00,5.92942383E+4,
990.00,5.82179141E+4,
991.00,5.73097188E+4,
992.00,5.67005859E+4,
993.00,5.58494922E+4,
994.00,5.52369141E+4,
995.00,5.42654336E+4,
996.00,5.38537930E+4,
997.00,5.24384688E+4,
998.00,5.21010469E+4,
999.00,5.16235703E+4,
1000.00,5.06974570E+4,
1001.000,4.95458750E+4,
1002.000,4.92486836E+4,
1003.000,4.87905625E+4,
1004.000,4.79320938E+4,
1005.000,4.69045078E+4,
1006.000,4.63717148E+4,
1007.000,4.57029883E+4,
1008.000,4.50047070E+4,
1009.000,4.44736719E+4,
1010.00,4.39947383E+4,
1011.000,4.36340117E+4,
1012.000,4.26963711E+4,
1013.000,4.17179023E+4,
1014.000,4.12620586E+4,
1015.000,4.11158164E+4,
1016.000,4.03001523E+4,
1017.000,3.96594570E+4,
1018.000,3.91764297E+4,
1019.000,3.87060000E+4,
1020.00,3.79044102E+4,
1021.000,3.73307578E+4,
1022.000,3.69081250E+4,
1023.000,3.67776406E+4,
1024.000,3.61010391E+4,
1025.000,3.53493672E+4,
1026.000,3.50034648E+4,
1027.000,3.45778672E+4,
1028.000,3.40565156E+4,
1029.000,3.32864766E+4,
1030.00,3.28862539E+4,
1031.000,3.24517520E+4,
1032.000,3.22584863E+4,
1033.000,3.16955469E+4,
1034.000,3.08962656E+4,
1035.000,3.07347285E+4,
1036.000,3.00826289E+4,
1037.000,2.96607324E+4,
1038.000,2.92119766E+4,
1039.000,2.85966680E+4,
1040.00,2.82858672E+4,
1041.000,2.78469590E+4,
1042.000,2.73383223E+4,
1043.000,2.71264824E+4,
1044.000,2.63877461E+4,
1045.000,2.63053828E+4,
1046.000,2.59883379E+4,
1047.000,2.56780273E+4,
1048.000,2.53169453E+4,
1049.000,2.48859688E+4,
1050.00,2.43383223E+4,
1051.000,2.43362285E+4,
1052.000,2.37773262E+4,
1053.000,2.33461836E+4,
1054.000,2.31644082E+4,
1055.000,2.26933516E+4,
1056.000,2.23270000E+4,
1057.000,2.19936992E+4,
1058.000,2.16482559E+4,
1059.000,2.13911387E+4,
1060.00,2.11727773E+4,
1061.000,2.08050781E+4,
1062.000,2.05258008E+4,
1063.000,2.00571719E+4,
1064.000,1.98097520E+4,
1065.000,1.96732676E+4,
1066.000,1.93268145E+4,
1067.000,1.90148281E+4,
1068.000,1.87869141E+4,
1069.000,1.85141582E+4,
1070.00,1.81060977E+4,
1071.000,1.78700195E+4,
1072.000,1.76449453E+4,
1073.000,1.73344707E+4,
1074.000,1.70439414E+4,
1075.000,1.66845371E+4,
1076.000,1.64939590E+4,
1077.000,1.61575986E+4,
1078.000,1.58943672E+4,
1079.000,1.56772451E+4,
1080.00,1.56624326E+4,
1081.000,1.51282754E+4,
1082.000,1.49737139E+4,
1083.000,1.47284014E+4,
1084.000,1.45578662E+4,
1085.000,1.43862441E+4,
1086.000,1.42225986E+4,
1087.000,1.39819609E+4,
1088.000,1.37241504E+4,
1089.000,1.36961895E+4,
1090.00,1.33048086E+4,
1091.000,1.31775010E+4,
1092.000,1.30179277E+4,
1093.000,1.26437090E+4,
1094.000,1.25370215E+4,
1095.000,1.24112715E+4,
1096.000,1.22611074E+4,
1097.000,1.20860742E+4,
1098.000,1.16848926E+4,
1099.000,1.15797227E+4,
1100.00,1.15269150E+4,
1101.000,1.12505820E+4,
1102.000,1.10284033E+4,
1103.000,1.08755283E+4,
1104.000,1.08837549E+4,
1105.000,1.06311650E+4,
1106.000,1.05065313E+4,
1107.000,1.02804922E+4,
1108.000,1.01852939E+4,
1109.000,9.76154688E+3,
1110.00,9.89952344E+3,
1111.000,9.66023730E+3,
1112.000,9.53403125E+3,
1113.000,9.43115430E+3,
1114.000,9.25861133E+3,
1115.000,9.07292383E+3,
1116.000,9.01667871E+3,
1117.000,9.00724316E+3,
1118.000,8.79442285E+3,
1119.000,8.67191309E+3,
1120.00,8.47730176E+3,
1121.000,8.26977148E+3,
1122.000,8.23844922E+3,
1123.000,8.18758154E+3,
1124.000,8.00219482E+3,
1125.000,7.77717969E+3,
1126.000,7.62625488E+3,
1127.000,7.61245166E+3,
1128.000,7.49893311E+3,
1129.000,7.34323145E+3,
1130.00,7.26865283E+3,
1131.000,7.16074023E+3,
1132.000,7.13454980E+3,
1133.000,6.93493018E+3,
1134.000,6.84221436E+3,
1135.000,6.72922705E+3,
1136.000,6.67112500E+3,
1137.000,6.49918848E+3,
1138.000,6.42287402E+3,
1139.000,6.23915234E+3,
1140.00,6.20566748E+3,
1141.000,6.21601270E+3,
1142.000,6.03433887E+3,
1143.000,5.88454248E+3,
1144.000,5.88728564E+3,
1145.000,5.72048047E+3,
1146.000,5.75712891E+3,
1147.000,5.65382861E+3,
1148.000,5.50050244E+3,
1149.000,5.44618750E+3,
1150.00,5.34140527E+3,
1151.000,5.27281299E+3,
1152.000,5.21515332E+3,
1153.000,5.12850244E+3,
1154.000,5.10301270E+3,
1155.000,4.99720898E+3,
1156.000,4.89640869E+3,
1157.000,4.80950049E+3,
1158.000,4.77475537E+3,
1159.000,4.74366895E+3,
1160.00,4.60808594E+3,
1161.000,4.54202246E+3,
1162.000,4.52396338E+3,
1163.000,4.41945752E+3,
1164.000,4.42380664E+3,
1165.000,4.25063135E+3,
1166.000,4.16335840E+3,
1167.000,4.23471191E+3,
1168.000,4.11146191E+3,
1169.000,3.96513940E+3,
1170.00,3.97177954E+3,
