Labels,0,
Type,Excitation Scan,
Comment,,
Start,230.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,825.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

230.00,-7.01020469E+4,
231.00,-2.71218418E+4,
232.00,2.34641453E+5,
233.00,-6.37133438E+4,
234.00,7.27530547E+4,
235.00,3.49851289E+4,
236.00,8.96102266E+4,
237.00,-1.20745063E+5,
238.00,1.32829594E+5,
239.00,2.29328391E+5,
240.00,1.71365188E+5,
241.00,2.19524016E+5,
242.00,2.15417531E+5,
243.00,1.93386250E+5,
244.00,1.53509891E+5,
245.00,1.99035844E+5,
246.00,1.90028734E+5,
247.00,1.67991953E+5,
248.00,2.11637094E+5,
249.00,2.02157672E+5,
250.00,2.33076031E+5,
251.00,2.61865859E+5,
252.00,2.89206375E+5,
253.00,2.45431469E+5,
254.00,2.47726797E+5,
255.00,2.59815672E+5,
256.00,2.51193609E+5,
257.00,2.75639969E+5,
258.00,2.76890531E+5,
259.00,3.03025563E+5,
260.00,2.61044156E+5,
261.00,2.73383625E+5,
262.00,2.91146625E+5,
263.00,2.92203156E+5,
264.00,2.80687219E+5,
265.00,2.86832875E+5,
266.00,2.75766813E+5,
267.00,2.71021688E+5,
268.00,2.76676844E+5,
269.00,2.76303125E+5,
270.00,2.89168156E+5,
271.00,2.76391438E+5,
272.00,2.91499594E+5,
273.00,2.80264781E+5,
274.00,2.73243563E+5,
275.00,2.78497250E+5,
276.00,2.81343938E+5,
277.00,2.75031000E+5,
278.00,2.82142281E+5,
279.00,2.79159625E+5,
280.00,2.80514813E+5,
281.00,2.84887813E+5,
282.00,2.72927688E+5,
283.00,2.83067031E+5,
284.00,2.87102406E+5,
285.00,2.79090344E+5,
286.00,2.83000813E+5,
287.00,2.86068344E+5,
288.00,2.82398250E+5,
289.00,2.82214156E+5,
290.00,2.86614406E+5,
291.00,2.83186438E+5,
292.00,2.79537469E+5,
293.00,2.84745906E+5,
294.00,2.82068125E+5,
295.00,2.77106563E+5,
296.00,2.76807219E+5,
297.00,2.79493063E+5,
298.00,2.79306188E+5,
299.00,2.74225656E+5,
300.00,2.70527875E+5,
301.00,2.69365938E+5,
302.00,2.68070969E+5,
303.00,2.60605703E+5,
304.00,2.62091328E+5,
305.00,2.56727938E+5,
306.00,2.52887219E+5,
307.00,2.50857734E+5,
308.00,2.48358016E+5,
309.00,2.42285438E+5,
310.00,2.36948359E+5,
311.00,2.33378891E+5,
312.00,2.29444438E+5,
313.00,2.22582047E+5,
314.00,2.18434172E+5,
315.00,2.12891063E+5,
316.00,2.10992891E+5,
317.00,2.07152750E+5,
318.00,1.98176109E+5,
319.00,1.94371953E+5,
320.00,1.89453750E+5,
321.00,1.86560859E+5,
322.00,1.79162109E+5,
323.00,1.72964094E+5,
324.00,1.70342656E+5,
325.00,1.63943766E+5,
326.00,1.62309078E+5,
327.00,1.53205234E+5,
328.00,1.50138688E+5,
329.00,1.44390078E+5,
330.00,1.41066516E+5,
331.00,1.35248781E+5,
332.00,1.28939422E+5,
333.00,1.28324508E+5,
334.00,1.23579977E+5,
335.00,1.16672320E+5,
336.00,1.13875664E+5,
337.00,1.10717883E+5,
338.00,1.06159703E+5,
339.00,1.01117969E+5,
340.00,9.82720938E+4,
341.00,9.53955625E+4,
342.00,9.11524844E+4,
343.00,8.57023281E+4,
344.00,8.11508281E+4,
345.00,7.76903125E+4,
346.00,7.58065156E+4,
347.00,7.18108750E+4,
348.00,6.88982969E+4,
349.00,6.55512031E+4,
350.00,6.33530781E+4,
351.00,5.86563398E+4,
352.00,5.63673320E+4,
353.00,5.37161641E+4,
354.00,4.98738086E+4,
355.00,4.73712031E+4,
356.00,4.51077305E+4,
357.00,4.27644180E+4,
358.00,4.00297461E+4,
359.00,3.77429609E+4,
360.00,3.67902109E+4,
361.00,3.46518047E+4,
362.00,3.28809180E+4,
363.00,3.11795762E+4,
364.00,2.88577949E+4,
365.00,2.73393359E+4,
366.00,2.60131133E+4,
367.00,2.45137949E+4,
368.00,2.38210996E+4,
369.00,2.18539824E+4,
370.00,2.12473906E+4,
371.00,2.05626270E+4,
372.00,2.03829902E+4,
373.00,1.86768613E+4,
374.00,1.74957559E+4,
375.00,1.77874961E+4,
376.00,1.69964219E+4,
377.00,1.66789453E+4,
378.00,1.64482793E+4,
379.00,1.63962266E+4,
380.00,1.62962910E+4,
381.00,1.70381504E+4,
382.00,1.65756191E+4,
383.00,1.75314063E+4,
384.00,1.75171582E+4,
385.00,1.84112656E+4,
386.00,1.94664316E+4,
387.00,2.04506445E+4,
388.00,2.11979941E+4,
389.00,2.31600234E+4,
390.00,2.41922266E+4,
391.00,2.52066523E+4,
392.00,2.75984609E+4,
393.00,2.93206309E+4,
394.00,3.19241445E+4,
395.00,3.33824180E+4,
396.00,3.63537266E+4,
397.00,3.89965352E+4,
398.00,4.10102852E+4,
399.00,4.39236250E+4,
400.00,4.77451797E+4,
401.00,4.93943047E+4,
402.00,5.33689453E+4,
403.00,5.82483008E+4,
404.00,6.03613047E+4,
405.00,6.43738906E+4,
406.00,6.81248750E+4,
407.00,7.24219688E+4,
408.00,7.41845000E+4,
409.00,7.79134063E+4,
410.00,8.21820469E+4,
411.00,8.63568516E+4,
412.00,8.98269844E+4,
413.00,9.40319688E+4,
414.00,9.80947188E+4,
415.00,1.03079250E+5,
416.00,1.06333250E+5,
417.00,1.09047813E+5,
418.00,1.12513859E+5,
419.00,1.18906453E+5,
420.00,1.20611281E+5,
421.00,1.25372883E+5,
422.00,1.29963391E+5,
423.00,1.33593438E+5,
424.00,1.37252969E+5,
425.00,1.41049625E+5,
426.00,1.45245609E+5,
427.00,1.48280766E+5,
428.00,1.51254047E+5,
429.00,1.57026500E+5,
430.00,1.57915703E+5,
431.00,1.61149375E+5,
432.00,1.64362578E+5,
433.00,1.67124391E+5,
434.00,1.71841500E+5,
435.00,1.71942281E+5,
436.00,1.75976891E+5,
437.00,1.76719078E+5,
438.00,1.80927000E+5,
439.00,1.82440031E+5,
440.00,1.84974313E+5,
441.00,1.86921125E+5,
442.00,1.88816719E+5,
443.00,1.90954313E+5,
444.00,1.90234563E+5,
445.00,1.94459500E+5,
446.00,1.96565734E+5,
447.00,1.95149828E+5,
448.00,1.97188828E+5,
449.00,1.98430719E+5,
450.00,1.98319578E+5,
451.00,1.99156656E+5,
452.00,2.01086406E+5,
453.00,2.01449375E+5,
454.00,2.00468828E+5,
455.00,2.00593641E+5,
456.00,2.01851328E+5,
457.00,1.99630219E+5,
458.00,2.00685359E+5,
459.00,1.99477734E+5,
460.00,1.98556813E+5,
461.00,1.97331828E+5,
462.00,1.97883953E+5,
463.00,1.96171266E+5,
464.00,1.93743328E+5,
465.00,1.93275656E+5,
466.00,1.92973922E+5,
467.00,1.90898766E+5,
468.00,1.90446297E+5,
469.00,1.89121266E+5,
470.00,1.89402313E+5,
471.00,1.88205219E+5,
472.00,1.87482969E+5,
473.00,1.86387328E+5,
474.00,1.84168594E+5,
475.00,1.81988609E+5,
476.00,1.80724031E+5,
477.00,1.79980547E+5,
478.00,1.75650141E+5,
479.00,1.74535578E+5,
480.00,1.70632016E+5,
481.00,1.70920797E+5,
482.00,1.67890359E+5,
483.00,1.66213703E+5,
484.00,1.65936547E+5,
485.00,1.62918828E+5,
486.00,1.60823828E+5,
487.00,1.59454438E+5,
488.00,1.58641813E+5,
489.00,1.55954984E+5,
490.00,1.53387578E+5,
491.00,1.52045625E+5,
492.00,1.50323656E+5,
493.00,1.47604531E+5,
494.00,1.45056438E+5,
495.00,1.41089453E+5,
496.00,1.39820141E+5,
497.00,1.35775922E+5,
498.00,1.34477234E+5,
499.00,1.31636438E+5,
500.00,1.28417266E+5,
501.00,1.26864750E+5,
502.00,1.23375492E+5,
503.00,1.20739906E+5,
504.00,1.18724953E+5,
505.00,1.14217070E+5,
506.00,1.10038703E+5,
507.00,1.09081594E+5,
508.00,1.07368172E+5,
509.00,1.04101898E+5,
510.00,1.02840281E+5,
511.00,9.98581484E+4,
512.00,9.83322578E+4,
513.00,9.32263984E+4,
514.00,9.19595781E+4,
515.00,8.89047344E+4,
516.00,8.54116953E+4,
517.00,8.33672969E+4,
518.00,8.20762422E+4,
519.00,8.00654063E+4,
520.00,7.61658516E+4,
521.00,7.38247969E+4,
522.00,7.23980234E+4,
523.00,6.96761563E+4,
524.00,6.70099219E+4,
525.00,6.58185547E+4,
526.00,6.29809180E+4,
527.00,6.21188828E+4,
528.00,5.97424961E+4,
529.00,5.82585352E+4,
530.00,5.67206328E+4,
531.00,5.37704883E+4,
532.00,5.21713008E+4,
533.00,5.03873398E+4,
534.00,4.85543516E+4,
535.00,4.77422461E+4,
536.00,4.69630820E+4,
537.00,4.50947969E+4,
538.00,4.46583203E+4,
539.00,4.23620586E+4,
540.00,4.18766992E+4,
541.00,4.16795078E+4,
542.00,3.88145195E+4,
543.00,3.87278516E+4,
544.00,3.80482578E+4,
545.00,3.77544609E+4,
546.00,3.68498359E+4,
547.00,3.57519297E+4,
548.00,3.41440195E+4,
549.00,3.43201797E+4,
550.00,3.41017852E+4,
551.00,3.29874844E+4,
552.00,3.33264805E+4,
553.00,3.35121641E+4,
554.00,3.24233730E+4,
555.00,3.35537227E+4,
556.00,3.22744102E+4,
557.00,3.22397852E+4,
558.00,3.31550625E+4,
559.00,3.36253242E+4,
560.00,3.35707930E+4,
561.00,3.43511055E+4,
562.00,3.53717109E+4,
563.00,3.44939531E+4,
564.00,3.64110898E+4,
565.00,3.52003516E+4,
566.00,3.84154531E+4,
567.00,3.69889883E+4,
568.00,3.76510117E+4,
569.00,3.83183633E+4,
570.00,4.03109609E+4,
571.00,4.20506914E+4,
572.00,4.25984141E+4,
573.00,4.26641484E+4,
574.00,4.36659375E+4,
575.00,4.46052656E+4,
576.00,4.63403242E+4,
577.00,4.85120508E+4,
578.00,4.90884180E+4,
579.00,5.07500078E+4,
580.00,5.12549219E+4,
581.00,5.26448672E+4,
582.00,5.33617266E+4,
583.00,5.48518555E+4,
584.00,5.62330039E+4,
585.00,5.72513789E+4,
586.00,5.90102969E+4,
587.00,5.88155195E+4,
588.00,6.29961875E+4,
589.00,6.46827461E+4,
590.00,6.55219102E+4,
591.00,6.74034531E+4,
592.00,6.79025000E+4,
593.00,7.04429844E+4,
594.00,6.97122500E+4,
595.00,7.21039297E+4,
596.00,7.14907578E+4,
597.00,7.32809453E+4,
598.00,7.68683047E+4,
599.00,7.77745234E+4,
600.00,7.92856016E+4,
601.00,7.94099141E+4,
602.00,8.06090234E+4,
603.00,8.34447891E+4,
604.00,8.40276172E+4,
605.00,8.62542578E+4,
606.00,8.82673359E+4,
607.00,8.87688438E+4,
608.00,8.86973594E+4,
609.00,9.19928828E+4,
610.00,9.45943594E+4,
611.00,9.43001172E+4,
612.00,9.37540391E+4,
613.00,9.43130156E+4,
614.00,9.55166641E+4,
615.00,9.86718203E+4,
616.00,1.02148063E+5,
617.00,1.01241672E+5,
618.00,1.02662398E+5,
619.00,1.04271227E+5,
620.00,1.05876695E+5,
621.00,1.05735336E+5,
622.00,1.07392891E+5,
623.00,1.08468742E+5,
624.00,1.08294719E+5,
625.00,1.08409117E+5,
626.00,1.06558688E+5,
627.00,1.13037648E+5,
628.00,1.14094875E+5,
629.00,1.13491969E+5,
630.00,1.15072016E+5,
631.00,1.15182539E+5,
632.00,1.16637477E+5,
633.00,1.18351680E+5,
634.00,1.19071844E+5,
635.00,1.20069586E+5,
636.00,1.20091109E+5,
637.00,1.18304906E+5,
638.00,1.20579773E+5,
639.00,1.18928203E+5,
640.00,1.21725539E+5,
641.00,1.23801695E+5,
642.00,1.21076719E+5,
643.00,1.21422969E+5,
644.00,1.20719070E+5,
645.00,1.22296992E+5,
646.00,1.22109539E+5,
647.00,1.20095461E+5,
648.00,1.25411656E+5,
649.00,1.22904563E+5,
650.00,1.20652391E+5,
651.00,1.20471672E+5,
652.00,1.20001063E+5,
653.00,1.22114734E+5,
654.00,1.20676914E+5,
655.00,1.21513211E+5,
656.00,1.21611859E+5,
657.00,1.23229750E+5,
658.00,1.22217477E+5,
659.00,1.18816516E+5,
660.00,1.18628367E+5,
661.00,1.20541313E+5,
662.00,1.21529117E+5,
663.00,1.19516711E+5,
664.00,1.21148461E+5,
665.00,1.16616695E+5,
666.00,1.21145641E+5,
667.00,1.20998000E+5,
668.00,1.21789188E+5,
669.00,1.16031438E+5,
670.00,1.19063594E+5,
671.00,1.19625781E+5,
672.00,1.16234547E+5,
673.00,1.16072531E+5,
674.00,1.15804156E+5,
675.00,1.13017734E+5,
676.00,1.14423234E+5,
677.00,1.10955305E+5,
678.00,1.09497422E+5,
679.00,1.12897219E+5,
680.00,1.13257727E+5,
681.00,1.17073938E+5,
682.00,1.13337789E+5,
683.00,1.11688867E+5,
684.00,1.08918031E+5,
685.00,1.06681227E+5,
686.00,1.06777508E+5,
687.00,1.04878008E+5,
688.00,1.03764750E+5,
689.00,1.00974180E+5,
690.00,1.03353922E+5,
691.00,1.04412258E+5,
692.00,1.00426750E+5,
693.00,9.87154141E+4,
694.00,1.00924680E+5,
695.00,1.00401516E+5,
696.00,1.04173875E+5,
697.00,9.82271641E+4,
698.00,1.01780367E+5,
699.00,1.04825438E+5,
700.00,1.04129477E+5,
701.00,1.02620617E+5,
702.00,1.02641883E+5,
703.00,1.01618656E+5,
704.00,9.80677031E+4,
705.00,9.77410547E+4,
706.00,9.76329609E+4,
707.00,9.95868828E+4,
708.00,9.69004844E+4,
709.00,9.53647578E+4,
710.00,9.52510000E+4,
711.00,9.38969375E+4,
712.00,9.04296406E+4,
713.00,8.94351484E+4,
714.00,8.79373281E+4,
715.00,8.61779922E+4,
716.00,8.19949609E+4,
717.00,8.28323672E+4,
718.00,8.34135156E+4,
719.00,8.34850781E+4,
720.00,8.06928438E+4,
721.00,7.71109609E+4,
722.00,7.43021250E+4,
723.00,7.21514766E+4,
724.00,7.36465938E+4,
725.00,7.05299453E+4,
726.00,6.71562813E+4,
727.00,6.81250000E+4,
728.00,6.71970781E+4,
729.00,6.44462617E+4,
730.00,6.35811602E+4,
731.00,6.01929727E+4,
732.00,6.00267305E+4,
733.00,5.87776484E+4,
734.00,5.69267383E+4,
735.00,5.39579883E+4,
736.00,5.28493945E+4,
737.00,5.34843242E+4,
738.00,5.22783984E+4,
739.00,5.26084961E+4,
740.00,4.90234375E+4,
741.00,4.84494297E+4,
742.00,4.82611133E+4,
743.00,4.33356445E+4,
744.00,4.17660469E+4,
745.00,4.11681406E+4,
746.00,4.07781563E+4,
747.00,4.45083984E+4,
