0.01CR-0.01NI-22.02%
  QY = 22.02%
Labels,EmScan33,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.150,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,8.24484706E-1,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,8.21651518E-1,8.26750040E-1,
428.00,0.00000000E+0,2.47580433E+0,
429.00,0.00000000E+0,0.00000000E+0,
430.00,-8.23728681E-1,-8.27618062E-1,
431.00,8.23426306E-1,1.65370905E+0,
432.00,0.00000000E+0,8.29793990E-1,
433.00,3.28486013E+0,3.32079458E+0,
434.00,8.27127278E-1,0.00000000E+0,
435.00,1.65883958E+0,-8.25352073E-1,
436.00,0.00000000E+0,4.97196388E+0,
437.00,8.27283323E-1,2.48296595E+0,
438.00,8.30668449E+0,1.25468054E+1,
439.00,3.01520252E+1,3.52820091E+1,
440.00,5.64229889E+1,8.40732269E+1,
441.00,1.17756271E+2,1.82647171E+2,
442.00,2.23298935E+2,3.55461853E+2,
443.00,7.20099731E+2,1.19094666E+3,
444.00,2.45894824E+4,3.79391914E+4,
445.00,5.74695820E+4,8.93943750E+4,
446.00,6.34146289E+4,9.57432813E+4,
447.00,3.06092988E+4,4.57212969E+4,
448.00,2.59324756E+3,3.68334790E+3,
449.00,2.29620453E+2,3.70568909E+2,
450.00,1.47572052E+2,2.45358688E+2,
451.00,9.03906784E+1,1.39446243E+2,
452.00,6.46393204E+1,1.11923355E+2,
453.00,3.75722542E+1,6.39994392E+1,
454.00,1.08369179E+1,2.17570839E+1,
455.00,2.94001961E+0,1.37466850E+1,
456.00,3.87148190E+0,1.75373306E+1,
457.00,3.84425926E+0,3.86643577E+0,
458.00,4.75288677E+0,1.24190493E+1,
459.00,4.70315599E+0,1.04492083E+1,
460.00,1.39346466E+1,1.49015913E+1,
461.00,7.31224728E+0,1.38036728E+1,
462.00,9.99398136E+0,1.72846069E+1,
463.00,6.26973438E+0,1.17218275E+1,
464.00,8.00085354E+0,1.69580097E+1,
465.00,3.55618930E+0,1.68682537E+1,
466.00,1.23559685E+1,1.32616491E+1,
467.00,1.13171272E+1,1.58464098E+1,
468.00,7.88171577E+0,1.49577456E+1,
469.00,6.96345997E+0,1.13648014E+1,
470.00,9.58812714E+0,2.08966045E+1,
471.00,8.61204529E+0,1.74467831E+1,
472.00,9.54366970E+0,2.00452442E+1,
473.00,8.66548729E+0,2.17285519E+1,
474.00,1.04372597E+1,1.48587132E+1,
475.00,1.38857622E+1,2.18823071E+1,
476.00,1.82869568E+1,1.31784067E+1,
477.00,7.85669327E+0,1.94840698E+1,
478.00,1.49675808E+1,1.49998331E+1,
479.00,1.76918488E+1,2.29587460E+1,
480.00,1.15062218E+1,1.77579460E+1,
481.00,9.84078979E+0,1.34222841E+1,
482.00,1.79825649E+1,2.15792866E+1,
483.00,1.61097775E+1,2.08002586E+1,
484.00,1.90164185E+1,2.91526146E+1,
485.00,1.37067976E+1,2.10313129E+1,
486.00,1.19298773E+1,2.66774673E+1,
487.00,1.56636944E+1,2.03998623E+1,
488.00,1.29688702E+1,1.97357616E+1,
489.00,1.50676746E+1,3.29708710E+1,
490.00,1.51401243E+1,1.89963436E+1,
491.00,1.14489079E+1,3.16423969E+1,
492.00,1.72757225E+1,2.99650688E+1,
493.00,1.63967285E+1,2.43088665E+1,
494.00,1.75293388E+1,2.15372868E+1,
495.00,1.47481642E+1,2.47082405E+1,
496.00,1.67597752E+1,3.37775459E+1,
497.00,1.79455414E+1,2.41118412E+1,
498.00,1.90334644E+1,2.32528057E+1,
499.00,1.21132030E+1,2.52902966E+1,
500.00,1.95225239E+1,2.66895542E+1,
501.00,1.74865456E+1,2.68488655E+1,
502.00,1.34938488E+1,2.58494568E+1,
503.00,2.50177670E+1,2.81455364E+1,
504.00,1.79188290E+1,1.79660206E+1,
505.00,3.07250214E+1,2.12187176E+1,
506.00,1.38951426E+1,2.56337566E+1,
507.00,1.50052643E+1,2.90592232E+1,
508.00,1.74005165E+1,2.28632698E+1,
509.00,1.85795155E+1,1.53819418E+1,
510.00,8.78207684E+0,2.10492916E+1,
511.00,1.65714321E+1,2.00620346E+1,
512.00,1.22789059E+1,2.69474010E+1,
513.00,7.89381361E+0,3.29764900E+1,
514.00,1.59246893E+1,3.06947899E+1,
515.00,1.94532986E+1,2.29966640E+1,
516.00,1.72243805E+1,2.21642666E+1,
517.00,2.44097481E+1,1.75923748E+1,
518.00,1.88510494E+1,1.17697897E+1,
519.00,1.65785637E+1,2.85646992E+1,
520.00,1.19511995E+1,2.86624107E+1,
521.00,1.69029179E+1,2.05907784E+1,
522.00,1.82572842E+1,2.56785145E+1,
523.00,2.32338200E+1,1.60582523E+1,
524.00,1.23295612E+1,1.73578796E+1,
525.00,1.23815279E+1,1.87188873E+1,
526.00,1.37929592E+1,1.88559189E+1,
527.00,1.26879034E+1,2.90966034E+1,
528.00,2.04661217E+1,2.29447594E+1,
529.00,1.67914219E+1,1.93973789E+1,
530.00,1.94743404E+1,1.43166180E+1,
531.00,1.56896420E+1,1.71121216E+1,
532.00,1.71654911E+1,1.72239685E+1,
533.00,1.86713295E+1,1.73417416E+1,
534.00,1.87426891E+1,2.28606129E+1,
535.00,9.46503925E+0,2.03722973E+1,
536.00,1.76752205E+1,3.01637077E+1,
537.00,6.86689854E+0,2.35225773E+1,
538.00,1.11251554E+1,2.64592628E+1,
539.00,1.40450974E+1,2.37804642E+1,
540.00,1.56068192E+1,1.56338043E+1,
541.00,1.13967848E+1,1.28760509E+1,
542.00,7.16916609E+0,1.72913685E+1,
543.00,1.16391191E+1,2.48729725E+1,
544.00,1.60651321E+1,1.76069336E+1,
545.00,1.47465706E+1,2.07388401E+1,
546.00,1.48652811E+1,2.39708290E+1,
547.00,1.19781189E+1,1.50998592E+1,
548.00,7.59382772E+0,2.28339672E+1,
549.00,7.66199255E+0,1.99326839E+1,
550.00,1.39245472E+1,1.39858809E+1,
551.00,7.74500465E+0,1.58084812E+1,
