0.01CR-58.97%
  QY = 58.97%
Labels,EmScan32,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.150,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,-1.64100099E+0,8.26750040E-1,
428.00,-8.25680792E-1,2.47580433E+0,
429.00,-8.22144270E-1,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,-8.27927530E-1,1.65370905E+0,
432.00,-8.24036121E-1,8.29793990E-1,
433.00,-1.65721822E+0,3.32079458E+0,
434.00,-1.65000415E+0,0.00000000E+0,
435.00,8.28248858E-1,-8.25352073E-1,
436.00,2.49643278E+0,4.97196388E+0,
437.00,1.65848899E+0,2.48296595E+0,
438.00,4.98371887E+0,1.25468054E+1,
439.00,2.76717529E+1,3.52820091E+1,
440.00,6.39714203E+1,8.40732269E+1,
441.00,1.14837166E+2,1.82647171E+2,
442.00,1.97284973E+2,3.55461853E+2,
443.00,7.37658813E+2,1.19094666E+3,
444.00,2.56473730E+4,3.79391914E+4,
445.00,6.17408477E+4,8.93943750E+4,
446.00,6.69343125E+4,9.57432813E+4,
447.00,3.27316621E+4,4.57212969E+4,
448.00,2.79231958E+3,3.68334790E+3,
449.00,2.46988983E+2,3.70568909E+2,
450.00,1.57146805E+2,2.45358688E+2,
451.00,9.49796448E+1,1.39446243E+2,
452.00,6.43795319E+1,1.11923355E+2,
453.00,3.86571579E+1,6.39994392E+1,
454.00,1.76915207E+1,2.17570839E+1,
455.00,1.47434549E+1,1.37466850E+1,
456.00,8.80522346E+0,1.75373306E+1,
457.00,2.89937210E+0,3.86643577E+0,
458.00,6.71099758E+0,1.24190493E+1,
459.00,4.70605183E+0,1.04492083E+1,
460.00,7.47171164E+0,1.49015913E+1,
461.00,7.34185028E+0,1.38036728E+1,
462.00,1.27638483E+1,1.72846069E+1,
463.00,9.00921059E+0,1.17218275E+1,
464.00,8.03643036E+0,1.69580097E+1,
465.00,4.43376255E+0,1.68682537E+1,
466.00,6.17586803E+0,1.32616491E+1,
467.00,6.16933441E+0,1.58464098E+1,
468.00,1.31790686E+1,1.49577456E+1,
469.00,1.21965399E+1,1.13648014E+1,
470.00,1.30259352E+1,2.08966045E+1,
471.00,9.60450459E+0,1.74467831E+1,
472.00,1.12862720E+1,2.00452442E+1,
473.00,1.39216595E+1,2.17285519E+1,
474.00,1.91688786E+1,1.48587132E+1,
475.00,1.12926159E+1,2.18823071E+1,
476.00,1.31316156E+1,1.31784067E+1,
477.00,1.40473423E+1,1.94840698E+1,
478.00,1.14903803E+1,1.49998331E+1,
479.00,2.12589207E+1,2.29587460E+1,
480.00,1.15219393E+1,1.77579460E+1,
481.00,1.51866140E+1,1.34222841E+1,
482.00,1.34219227E+1,2.15792866E+1,
483.00,8.10035992E+0,2.08002586E+1,
484.00,8.17209625E+0,2.91526146E+1,
485.00,2.00631981E+1,2.10313129E+1,
486.00,1.47572088E+1,2.66774673E+1,
487.00,1.38961887E+1,2.03998623E+1,
488.00,1.39786110E+1,1.97357616E+1,
489.00,1.40962687E+1,3.29708710E+1,
490.00,1.99506569E+1,1.89963436E+1,
491.00,1.04993429E+1,3.16423969E+1,
492.00,1.73155727E+1,2.99650688E+1,
493.00,2.34161949E+1,2.43088665E+1,
494.00,1.65983696E+1,2.15372868E+1,
495.00,1.17996836E+1,2.47082405E+1,
496.00,1.68947353E+1,3.37775459E+1,
497.00,1.60096226E+1,2.41118412E+1,
498.00,1.61267014E+1,2.32528057E+1,
499.00,1.62096901E+1,2.52902966E+1,
500.00,2.13847504E+1,2.66895542E+1,
501.00,1.43805780E+1,2.68488655E+1,
502.00,1.35333462E+1,2.58494568E+1,
503.00,1.46072474E+1,2.81455364E+1,
504.00,1.77918758E+1,1.79660206E+1,
505.00,2.22159176E+1,2.12187176E+1,
506.00,1.27381544E+1,2.56337566E+1,
507.00,2.37822590E+1,2.90592232E+1,
508.00,2.38775082E+1,2.28632698E+1,
509.00,1.31137981E+1,1.53819418E+1,
510.00,2.30756454E+1,2.10492916E+1,
511.00,2.00559368E+1,2.00620346E+1,
512.00,1.12343616E+1,2.69474010E+1,
513.00,1.57947254E+1,3.29764900E+1,
514.00,1.81292648E+1,3.06947899E+1,
515.00,2.40992279E+1,2.29966640E+1,
516.00,1.85147896E+1,2.21642666E+1,
517.00,5.82326174E+0,1.75923748E+1,
518.00,8.21327305E+0,1.17697897E+1,
519.00,1.78045025E+1,2.85646992E+1,
520.00,2.74670715E+1,2.86624107E+1,
521.00,9.61713886E+0,2.05907784E+1,
522.00,2.05928688E+1,2.56785145E+1,
523.00,2.80892029E+1,1.60582523E+1,
524.00,1.73277473E+1,1.73578796E+1,
525.00,1.49764318E+1,1.87188873E+1,
526.00,5.02859020E+0,1.88559189E+1,
527.00,1.64689274E+1,2.90966034E+1,
528.00,2.16178856E+1,2.29447594E+1,
529.00,5.15444660E+0,1.93973789E+1,
530.00,2.46137962E+1,1.43166180E+1,
531.00,2.22215652E+1,1.71121216E+1,
532.00,1.58452253E+1,1.72239685E+1,
533.00,1.46516685E+1,1.73417416E+1,
534.00,1.88677750E+1,2.28606129E+1,
535.00,1.48870010E+1,2.03722973E+1,
536.00,1.64219971E+1,3.01637077E+1,
537.00,1.24049025E+1,2.35225773E+1,
538.00,1.52533646E+1,2.64592628E+1,
539.00,9.80592251E+0,2.37804642E+1,
540.00,7.08754492E+0,1.56338043E+1,
541.00,1.85989246E+1,1.28760509E+1,
542.00,1.43956671E+1,1.72913685E+1,
543.00,1.01677971E+1,2.48729725E+1,
544.00,4.39128542E+0,1.76069336E+1,
545.00,5.89765072E+0,2.07388401E+1,
546.00,1.34420109E+1,2.39708290E+1,
547.00,9.03606796E+0,1.50998592E+1,
548.00,1.66842289E+1,2.28339672E+1,
549.00,4.60057020E+0,1.99326839E+1,
550.00,1.55293331E+1,1.39858809E+1,
551.00,7.80418062E+0,1.58084812E+1,
