0.01cr-1%H3BO3-61.83%
  QY = 61.83%
Labels,EmScan30,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.050,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,8.26930285E-1,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,-8.26677084E-1,8.26750040E-1,
428.00,2.47745538E+0,2.47580433E+0,
429.00,-8.24278951E-1,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,0.00000000E+0,1.65370905E+0,
432.00,2.47116637E+0,8.29793990E-1,
433.00,-8.24399889E-1,3.32079458E+0,
434.00,1.66201973E+0,0.00000000E+0,
435.00,0.00000000E+0,-8.25352073E-1,
436.00,2.48269606E+0,4.97196388E+0,
437.00,8.29829812E-1,2.48296595E+0,
438.00,9.20996094E+0,1.25468054E+1,
439.00,3.02204323E+1,3.52820091E+1,
440.00,4.92811661E+1,8.40732269E+1,
441.00,1.15492111E+2,1.82647171E+2,
442.00,1.89321335E+2,3.55461853E+2,
443.00,6.82843018E+2,1.19094666E+3,
444.00,2.28340820E+4,3.79391914E+4,
445.00,5.41975078E+4,8.93943750E+4,
446.00,5.99612773E+4,9.57432813E+4,
447.00,2.93376738E+4,4.57212969E+4,
448.00,2.40123633E+3,3.68334790E+3,
449.00,2.23937500E+2,3.70568909E+2,
450.00,1.32031906E+2,2.45358688E+2,
451.00,1.04594948E+2,1.39446243E+2,
452.00,6.15841942E+1,1.11923355E+2,
453.00,4.06901131E+1,6.39994392E+1,
454.00,1.48330660E+1,2.17570839E+1,
455.00,1.08138809E+1,1.37466850E+1,
456.00,8.80955410E+0,1.75373306E+1,
457.00,8.72095680E+0,3.86643577E+0,
458.00,5.71813440E+0,1.24190493E+1,
459.00,1.12831669E+1,1.04492083E+1,
460.00,6.52807236E+0,1.49015913E+1,
461.00,6.44808483E+0,1.38036728E+1,
462.00,8.23825932E+0,1.72846069E+1,
463.00,7.21971941E+0,1.17218275E+1,
464.00,8.97233295E+0,1.69580097E+1,
465.00,1.06837530E+1,1.68682537E+1,
466.00,7.93581963E+0,1.32616491E+1,
467.00,8.77033806E+0,1.58464098E+1,
468.00,9.65278721E+0,1.49577456E+1,
469.00,8.72965145E+0,1.13648014E+1,
470.00,9.58634090E+0,2.08966045E+1,
471.00,8.71962261E+0,1.74467831E+1,
472.00,1.13530998E+1,2.00452442E+1,
473.00,1.04415512E+1,2.17285519E+1,
474.00,1.74493141E+1,1.48587132E+1,
475.00,1.31448584E+1,2.18823071E+1,
476.00,1.83871403E+1,1.31784067E+1,
477.00,1.22850599E+1,1.94840698E+1,
478.00,1.23341999E+1,1.49998331E+1,
479.00,7.07099771E+0,2.29587460E+1,
480.00,1.59466085E+1,1.77579460E+1,
481.00,1.43037844E+1,1.34222841E+1,
482.00,1.97707424E+1,2.15792866E+1,
483.00,1.44742908E+1,2.08002586E+1,
484.00,1.44629774E+1,2.91526146E+1,
485.00,9.98482609E+0,2.10313129E+1,
486.00,1.37458973E+1,2.66774673E+1,
487.00,1.20133524E+1,2.03998623E+1,
488.00,1.76849804E+1,1.97357616E+1,
489.00,1.31135902E+1,3.29708710E+1,
490.00,8.55279541E+0,1.89963436E+1,
491.00,1.53258247E+1,3.16423969E+1,
492.00,2.29894600E+1,2.99650688E+1,
493.00,8.69432163E+0,2.43088665E+1,
494.00,1.17788935E+1,2.15372868E+1,
495.00,9.86159706E+0,2.47082405E+1,
496.00,1.58856592E+1,3.37775459E+1,
497.00,1.49001713E+1,2.41118412E+1,
498.00,1.50918560E+1,2.32528057E+1,
499.00,1.42328854E+1,2.52902966E+1,
500.00,1.22714434E+1,2.66895542E+1,
501.00,9.24854088E+0,2.68488655E+1,
502.00,2.27339916E+1,2.58494568E+1,
503.00,9.36374187E+0,2.81455364E+1,
504.00,1.05387306E+1,1.79660206E+1,
505.00,1.38416338E+1,2.12187176E+1,
506.00,1.17982998E+1,2.56337566E+1,
507.00,1.50603838E+1,2.90592232E+1,
508.00,1.52303772E+1,2.28632698E+1,
509.00,1.09905558E+1,1.53819418E+1,
510.00,1.10476313E+1,2.10492916E+1,
511.00,1.33628950E+1,2.00620346E+1,
512.00,1.57393761E+1,2.69474010E+1,
513.00,2.03357334E+1,3.29764900E+1,
514.00,1.25253601E+1,3.06947899E+1,
515.00,1.27241611E+1,2.29966640E+1,
516.00,1.97413578E+1,2.21642666E+1,
517.00,1.16630507E+1,1.75923748E+1,
518.00,1.40885630E+1,1.17697897E+1,
519.00,1.42757597E+1,2.85646992E+1,
520.00,1.07685080E+1,2.86624107E+1,
521.00,9.59914970E+0,2.05907784E+1,
522.00,7.26374769E+0,2.56785145E+1,
523.00,1.22075748E+1,1.60582523E+1,
524.00,1.48542490E+1,1.73578796E+1,
525.00,9.97831917E+0,1.87188873E+1,
526.00,2.02119503E+1,1.88559189E+1,
527.00,2.15620384E+1,2.90966034E+1,
528.00,7.68330669E+0,2.29447594E+1,
529.00,1.02828102E+1,1.93973789E+1,
530.00,1.68352661E+1,1.43166180E+1,
531.00,9.16975880E+0,1.71121216E+1,
532.00,9.27171421E+0,1.72239685E+1,
533.00,1.19806929E+1,1.73417416E+1,
534.00,1.07614126E+1,2.28606129E+1,
535.00,1.09063873E+1,2.03722973E+1,
536.00,2.45711575E+1,3.01637077E+1,
537.00,2.89779301E+1,2.35225773E+1,
538.00,1.94165955E+1,2.64592628E+1,
539.00,1.54055443E+1,2.37804642E+1,
540.00,1.13923111E+1,1.56338043E+1,
541.00,1.71839008E+1,1.28760509E+1,
542.00,1.44278288E+1,1.72913685E+1,
543.00,1.16686068E+1,2.48729725E+1,
544.00,1.47472429E+1,1.76069336E+1,
545.00,2.37615871E+1,2.07388401E+1,
546.00,1.48857317E+1,2.39708290E+1,
547.00,1.05295105E+1,1.50998592E+1,
548.00,9.14165306E+0,2.28339672E+1,
549.00,9.23168468E+0,1.99326839E+1,
550.00,1.08418779E+1,1.39858809E+1,
551.00,7.84215641E+0,1.58084812E+1,
