0.01cr-1%K2co3
  QY = 63.89%
Labels,EmScan25,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.750,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,-8.31473410E-1,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,1.65371084E+0,8.26750040E-1,
428.00,-8.24783087E-1,2.47580433E+0,
429.00,0.00000000E+0,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,-8.24958980E-1,1.65370905E+0,
432.00,-8.23151171E-1,8.29793990E-1,
433.00,8.23683798E-1,3.32079458E+0,
434.00,8.23352993E-1,0.00000000E+0,
435.00,0.00000000E+0,-8.25352073E-1,
436.00,8.29083264E-1,4.97196388E+0,
437.00,0.00000000E+0,2.48296595E+0,
438.00,7.46580601E+0,1.25468054E+1,
439.00,2.76909580E+1,3.52820091E+1,
440.00,6.56638260E+1,8.40732269E+1,
441.00,1.12149200E+2,1.82647171E+2,
442.00,1.98082321E+2,3.55461853E+2,
443.00,7.24227173E+2,1.19094666E+3,
444.00,2.41819707E+4,3.79391914E+4,
445.00,5.92046680E+4,8.93943750E+4,
446.00,6.42611055E+4,9.57432813E+4,
447.00,3.06900215E+4,4.57212969E+4,
448.00,2.51887866E+3,3.68334790E+3,
449.00,2.19907700E+2,3.70568909E+2,
450.00,1.40502884E+2,2.45358688E+2,
451.00,7.66299744E+1,1.39446243E+2,
452.00,4.27727051E+1,1.11923355E+2,
453.00,3.36464882E+1,6.39994392E+1,
454.00,3.15218849E+1,2.17570839E+1,
455.00,5.87418509E+0,1.37466850E+1,
456.00,5.83235550E+0,1.75373306E+1,
457.00,1.64507523E+1,3.86643577E+0,
458.00,9.52826691E+0,1.24190493E+1,
459.00,9.38980389E+0,1.04492083E+1,
460.00,7.45553923E+0,1.49015913E+1,
461.00,1.10602493E+1,1.38036728E+1,
462.00,5.44504309E+0,1.72846069E+1,
463.00,7.21851778E+0,1.17218275E+1,
464.00,1.16061354E+1,1.69580097E+1,
465.00,8.87359810E+0,1.68682537E+1,
466.00,8.85273361E+0,1.32616491E+1,
467.00,6.14259958E+0,1.58464098E+1,
468.00,1.14056005E+1,1.49577456E+1,
469.00,1.40177040E+1,1.13648014E+1,
470.00,9.61631680E+0,2.08966045E+1,
471.00,6.95193958E+0,1.74467831E+1,
472.00,1.29704971E+1,2.00452442E+1,
473.00,1.30772924E+1,2.17285519E+1,
474.00,1.40017195E+1,1.48587132E+1,
475.00,8.74220276E+0,2.18823071E+1,
476.00,1.14052763E+1,1.31784067E+1,
477.00,7.94356966E+0,1.94840698E+1,
478.00,1.66805439E+1,1.49998331E+1,
479.00,1.94888725E+1,2.29587460E+1,
480.00,1.33937378E+1,1.77579460E+1,
481.00,1.78379745E+1,1.34222841E+1,
482.00,1.96687908E+1,2.15792866E+1,
483.00,8.08496189E+0,2.08002586E+1,
484.00,8.16393566E+0,2.91526146E+1,
485.00,6.40372181E+0,2.10313129E+1,
486.00,1.92856674E+1,2.66774673E+1,
487.00,1.20865822E+1,2.03998623E+1,
488.00,1.95756035E+1,1.97357616E+1,
489.00,1.50476351E+1,3.29708710E+1,
490.00,2.09097023E+1,1.89963436E+1,
491.00,1.15390558E+1,3.16423969E+1,
492.00,1.82893467E+1,2.99650688E+1,
493.00,1.45744572E+1,2.43088665E+1,
494.00,1.46878252E+1,2.15372868E+1,
495.00,1.17685156E+1,2.47082405E+1,
496.00,1.88716202E+1,3.37775459E+1,
497.00,1.89590015E+1,2.41118412E+1,
498.00,1.30939608E+1,2.32528057E+1,
499.00,2.13173256E+1,2.52902966E+1,
500.00,2.45011311E+1,2.66895542E+1,
501.00,1.12760172E+1,2.68488655E+1,
502.00,1.45268574E+1,2.58494568E+1,
503.00,2.41050510E+1,2.81455364E+1,
504.00,1.47075253E+1,1.79660206E+1,
505.00,1.69158440E+1,2.12187176E+1,
506.00,1.81172066E+1,2.56337566E+1,
507.00,1.39913397E+1,2.90592232E+1,
508.00,2.38215981E+1,2.28632698E+1,
509.00,1.64145412E+1,1.53819418E+1,
510.00,1.54578991E+1,2.10492916E+1,
511.00,1.77106323E+1,2.00620346E+1,
512.00,1.68040695E+1,2.69474010E+1,
513.00,1.35688448E+1,3.29764900E+1,
514.00,1.71632004E+1,3.06947899E+1,
515.00,1.37317400E+1,2.29966640E+1,
516.00,1.15623474E+1,2.21642666E+1,
517.00,1.28801594E+1,1.75923748E+1,
518.00,1.06057940E+1,1.17697897E+1,
519.00,1.42366285E+1,2.85646992E+1,
520.00,1.66998253E+1,2.86624107E+1,
521.00,9.63811874E+0,2.05907784E+1,
522.00,1.09464293E+1,2.56785145E+1,
523.00,1.34487925E+1,1.60582523E+1,
524.00,1.48035736E+1,1.73578796E+1,
525.00,1.74451351E+1,1.87188873E+1,
526.00,1.88336029E+1,1.88559189E+1,
527.00,2.15400829E+1,2.90966034E+1,
528.00,2.03625183E+1,2.29447594E+1,
529.00,1.67746239E+1,1.93973789E+1,
530.00,1.16769505E+1,1.43166180E+1,
531.00,1.55808153E+1,1.71121216E+1,
532.00,2.37434444E+1,1.72239685E+1,
533.00,1.06522131E+1,1.73417416E+1,
534.00,1.21452570E+1,2.28606129E+1,
535.00,1.90300007E+1,2.03722973E+1,
536.00,9.56124115E+0,3.01637077E+1,
537.00,2.21150131E+1,2.35225773E+1,
538.00,1.25365286E+1,2.64592628E+1,
539.00,1.11461163E+1,2.37804642E+1,
540.00,1.27739763E+1,1.56338043E+1,
541.00,1.43400393E+1,1.28760509E+1,
542.00,1.29498968E+1,1.72913685E+1,
543.00,2.02545815E+1,2.48729725E+1,
544.00,1.60998077E+1,1.76069336E+1,
545.00,5.92149639E+0,2.07388401E+1,
546.00,1.64016685E+1,2.39708290E+1,
547.00,2.10009327E+1,1.50998592E+1,
548.00,4.54088545E+0,2.28339672E+1,
549.00,1.99036579E+1,1.99326839E+1,
550.00,4.65815926E+0,1.39858809E+1,
551.00,1.56103458E+1,1.58084812E+1,
