0.01cr-1%NA2co3
  QY = 65.52%
Labels,EmScan24,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.550,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,8.30015838E-1,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,1.64598107E+0,8.26750040E-1,
428.00,-8.20355594E-1,2.47580433E+0,
429.00,0.00000000E+0,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,0.00000000E+0,1.65370905E+0,
432.00,0.00000000E+0,8.29793990E-1,
433.00,1.64322960E+0,3.32079458E+0,
434.00,1.64553475E+0,0.00000000E+0,
435.00,1.64491892E+0,-8.25352073E-1,
436.00,1.64713168E+0,4.97196388E+0,
437.00,5.78211117E+0,2.48296595E+0,
438.00,9.92854691E+0,1.25468054E+1,
439.00,2.08475742E+1,3.52820091E+1,
440.00,5.51552124E+1,8.40732269E+1,
441.00,1.08855057E+2,1.82647171E+2,
442.00,1.89678116E+2,3.55461853E+2,
443.00,7.58227661E+2,1.19094666E+3,
444.00,2.30973125E+4,3.79391914E+4,
445.00,5.51301953E+4,8.93943750E+4,
446.00,5.98089023E+4,9.57432813E+4,
447.00,2.85961992E+4,4.57212969E+4,
448.00,2.34995703E+3,3.68334790E+3,
449.00,2.12763153E+2,3.70568909E+2,
450.00,1.57576004E+2,2.45358688E+2,
451.00,9.58036346E+1,1.39446243E+2,
452.00,5.36809044E+1,1.11923355E+2,
453.00,5.34939117E+1,6.39994392E+1,
454.00,1.38372822E+1,2.17570839E+1,
455.00,9.77114010E+0,1.37466850E+1,
456.00,2.90638185E+0,1.75373306E+1,
457.00,4.82968092E+0,3.86643577E+0,
458.00,3.80869985E+0,1.24190493E+1,
459.00,1.22737608E+1,1.04492083E+1,
460.00,1.21084919E+1,1.49015913E+1,
461.00,1.01208124E+1,1.38036728E+1,
462.00,5.43804312E+0,1.72846069E+1,
463.00,8.97202301E+0,1.17218275E+1,
464.00,5.33613443E+0,1.69580097E+1,
465.00,5.29854918E+0,1.68682537E+1,
466.00,1.05290823E+1,1.32616491E+1,
467.00,6.99472904E+0,1.58464098E+1,
468.00,1.49060898E+1,1.49577456E+1,
469.00,9.61995792E+0,1.13648014E+1,
470.00,1.21452017E+1,2.08966045E+1,
471.00,1.55609961E+1,1.74467831E+1,
472.00,1.04013166E+1,2.00452442E+1,
473.00,1.47448435E+1,2.17285519E+1,
474.00,6.96484232E+0,1.48587132E+1,
475.00,6.96652842E+0,2.18823071E+1,
476.00,1.66364727E+1,1.31784067E+1,
477.00,5.26960897E+0,1.94840698E+1,
478.00,1.94338188E+1,1.49998331E+1,
479.00,1.22740593E+1,2.29587460E+1,
480.00,1.15358973E+1,1.77579460E+1,
481.00,1.33910418E+1,1.34222841E+1,
482.00,6.23860884E+0,2.15792866E+1,
483.00,8.99653339E+0,2.08002586E+1,
484.00,1.35673790E+1,2.91526146E+1,
485.00,1.17156315E+1,2.10313129E+1,
486.00,5.47404814E+0,2.66774673E+1,
487.00,1.48122988E+1,2.03998623E+1,
488.00,1.77405758E+1,1.97357616E+1,
489.00,1.21532316E+1,3.29708710E+1,
490.00,1.23106012E+1,1.89963436E+1,
491.00,1.42897835E+1,3.16423969E+1,
492.00,2.11230106E+1,2.99650688E+1,
493.00,7.71678352E+0,2.43088665E+1,
494.00,1.27005663E+1,2.15372868E+1,
495.00,1.56779079E+1,2.47082405E+1,
496.00,2.18064575E+1,3.37775459E+1,
497.00,1.49641199E+1,2.41118412E+1,
498.00,1.50607576E+1,2.32528057E+1,
499.00,1.61360016E+1,2.52902966E+1,
500.00,1.52667799E+1,2.66895542E+1,
501.00,1.43300714E+1,2.68488655E+1,
502.00,1.96467381E+1,2.58494568E+1,
503.00,1.35002728E+1,2.81455364E+1,
504.00,2.41522179E+1,1.79660206E+1,
505.00,1.37874413E+1,2.12187176E+1,
506.00,1.60498199E+1,2.56337566E+1,
507.00,1.17986946E+1,2.90592232E+1,
508.00,1.08295841E+1,2.28632698E+1,
509.00,8.77786636E+0,1.53819418E+1,
510.00,1.32456045E+1,2.10492916E+1,
511.00,1.99170876E+1,2.00620346E+1,
512.00,1.67284737E+1,2.69474010E+1,
513.00,1.68361912E+1,3.29764900E+1,
514.00,1.13155785E+1,3.06947899E+1,
515.00,2.06064606E+1,2.29966640E+1,
516.00,2.07074871E+1,2.21642666E+1,
517.00,1.51759291E+1,1.75923748E+1,
518.00,7.05075598E+0,1.17697897E+1,
519.00,9.45627880E+0,2.85646992E+1,
520.00,1.55095549E+1,2.86624107E+1,
521.00,7.21060228E+0,2.05907784E+1,
522.00,1.44948463E+1,2.56785145E+1,
523.00,1.46412354E+1,1.60582523E+1,
524.00,6.15191841E+0,1.73578796E+1,
525.00,1.24191027E+1,1.87188873E+1,
526.00,1.49979324E+1,1.88559189E+1,
527.00,1.01424685E+1,2.90966034E+1,
528.00,1.14319506E+1,2.29447594E+1,
529.00,8.97702503E+0,1.93973789E+1,
530.00,1.16441641E+1,1.43166180E+1,
531.00,1.82475395E+1,1.71121216E+1,
532.00,1.18796177E+1,1.72239685E+1,
533.00,1.32853727E+1,1.73417416E+1,
534.00,1.06778374E+1,2.28606129E+1,
535.00,1.08113842E+1,2.03722973E+1,
536.00,9.57940578E+0,3.01637077E+1,
537.00,1.37624969E+1,2.35225773E+1,
538.00,1.38589897E+1,2.64592628E+1,
539.00,1.53960714E+1,2.37804642E+1,
540.00,2.12887077E+1,1.56338043E+1,
541.00,1.00126457E+1,1.28760509E+1,
542.00,1.43665915E+1,1.72913685E+1,
543.00,1.15670605E+1,2.48729725E+1,
544.00,7.31338072E+0,1.76069336E+1,
545.00,8.86722660E+0,2.07388401E+1,
546.00,1.34236135E+1,2.39708290E+1,
547.00,1.65685577E+1,1.50998592E+1,
548.00,1.21346960E+1,2.28339672E+1,
549.00,1.22148590E+1,1.99326839E+1,
550.00,9.28203201E+0,1.39858809E+1,
551.00,1.87360821E+1,1.58084812E+1,
