0.01cr-1%li2co3
  QY = 61.19%
Labels,EmScan22,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.450,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,0.00000000E+0,8.26750040E-1,
428.00,0.00000000E+0,2.47580433E+0,
429.00,0.00000000E+0,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,0.00000000E+0,1.65370905E+0,
432.00,3.29830408E+0,8.29793990E-1,
433.00,8.29562068E-1,3.32079458E+0,
434.00,8.25550497E-1,0.00000000E+0,
435.00,-8.25997651E-1,-8.25352073E-1,
436.00,3.29384613E+0,4.97196388E+0,
437.00,0.00000000E+0,2.48296595E+0,
438.00,1.32884884E+1,1.25468054E+1,
439.00,2.00261211E+1,3.52820091E+1,
440.00,4.93181953E+1,8.40732269E+1,
441.00,1.02975479E+2,1.82647171E+2,
442.00,1.70309097E+2,3.55461853E+2,
443.00,7.01715210E+2,1.19094666E+3,
444.00,2.23309609E+4,3.79391914E+4,
445.00,5.32118281E+4,8.93943750E+4,
446.00,5.76208398E+4,9.57432813E+4,
447.00,2.77448535E+4,4.57212969E+4,
448.00,2.26196460E+3,3.68334790E+3,
449.00,2.27692825E+2,3.70568909E+2,
450.00,1.24619125E+2,2.45358688E+2,
451.00,8.71105347E+1,1.39446243E+2,
452.00,4.36536560E+1,1.11923355E+2,
453.00,3.26731567E+1,6.39994392E+1,
454.00,2.17826958E+1,2.17570839E+1,
455.00,1.27645283E+1,1.37466850E+1,
456.00,1.45453634E+1,1.75373306E+1,
457.00,7.66877031E+0,3.86643577E+0,
458.00,8.58778477E+0,1.24190493E+1,
459.00,1.03968039E+1,1.04492083E+1,
460.00,2.77776313E+0,1.49015913E+1,
461.00,6.44581270E+0,1.38036728E+1,
462.00,1.00168648E+1,1.72846069E+1,
463.00,1.08451910E+1,1.17218275E+1,
464.00,7.17392111E+0,1.69580097E+1,
465.00,8.01139927E+0,1.68682537E+1,
466.00,1.32567081E+1,1.32616491E+1,
467.00,8.76802254E+0,1.58464098E+1,
468.00,1.31467571E+1,1.49577456E+1,
469.00,1.57624779E+1,1.13648014E+1,
470.00,8.70700359E+0,2.08966045E+1,
471.00,1.55928774E+1,1.74467831E+1,
472.00,1.04150429E+1,2.00452442E+1,
473.00,8.70845509E+0,2.17285519E+1,
474.00,1.73859215E+1,1.48587132E+1,
475.00,8.75902271E+0,2.18823071E+1,
476.00,1.04910288E+1,1.31784067E+1,
477.00,1.13921928E+1,1.94840698E+1,
478.00,7.94754934E+0,1.49998331E+1,
479.00,1.67644482E+1,2.29587460E+1,
480.00,1.23412895E+1,1.77579460E+1,
481.00,1.24432993E+1,1.34222841E+1,
482.00,1.71392193E+1,2.15792866E+1,
483.00,1.80508671E+1,2.08002586E+1,
484.00,1.35716181E+1,2.91526146E+1,
485.00,1.09241190E+1,2.10313129E+1,
486.00,8.22730160E+0,2.66774673E+1,
487.00,1.10851316E+1,2.03998623E+1,
488.00,1.30700817E+1,1.97357616E+1,
489.00,1.21635180E+1,3.29708710E+1,
490.00,1.51454458E+1,1.89963436E+1,
491.00,2.30235004E+1,3.16423969E+1,
492.00,1.34541225E+1,2.99650688E+1,
493.00,1.16679125E+1,2.43088665E+1,
494.00,1.37524481E+1,2.15372868E+1,
495.00,2.36222229E+1,2.47082405E+1,
496.00,1.99222775E+1,3.37775459E+1,
497.00,1.69942265E+1,2.41118412E+1,
498.00,1.80870399E+1,2.32528057E+1,
499.00,1.72206059E+1,2.52902966E+1,
500.00,1.01880836E+1,2.66895542E+1,
501.00,7.19078112E+0,2.68488655E+1,
502.00,1.35470524E+1,2.58494568E+1,
503.00,2.18971748E+1,2.81455364E+1,
504.00,1.25788021E+1,1.79660206E+1,
505.00,2.01077709E+1,2.12187176E+1,
506.00,1.49034729E+1,2.56337566E+1,
507.00,1.50330667E+1,2.90592232E+1,
508.00,7.62243605E+0,2.28632698E+1,
509.00,1.19779148E+1,1.53819418E+1,
510.00,1.65194798E+1,2.10492916E+1,
511.00,1.43782644E+1,2.00620346E+1,
512.00,2.58491726E+1,2.69474010E+1,
513.00,1.81107750E+1,3.29764900E+1,
514.00,1.59385595E+1,3.06947899E+1,
515.00,1.03538809E+1,2.29966640E+1,
516.00,5.78666544E+0,2.21642666E+1,
517.00,1.17064743E+1,1.75923748E+1,
518.00,1.17334776E+1,1.17697897E+1,
519.00,1.06477642E+1,2.85646992E+1,
520.00,1.07451477E+1,2.86624107E+1,
521.00,1.08380060E+1,2.05907784E+1,
522.00,1.82183475E+1,2.56785145E+1,
523.00,1.34893742E+1,1.60582523E+1,
524.00,1.35792332E+1,1.73578796E+1,
525.00,1.49408302E+1,1.87188873E+1,
526.00,1.12822828E+1,1.88559189E+1,
527.00,3.79695344E+0,2.90966034E+1,
528.00,1.40138569E+1,2.29447594E+1,
529.00,1.40974112E+1,1.93973789E+1,
530.00,1.16457529E+1,1.43166180E+1,
531.00,1.04363127E+1,1.71121216E+1,
532.00,1.98206863E+1,1.72239685E+1,
533.00,7.98463011E+0,1.73417416E+1,
534.00,1.07170048E+1,2.28606129E+1,
535.00,9.48336601E+0,2.03722973E+1,
536.00,8.22969627E+0,3.01637077E+1,
537.00,1.51526556E+1,2.35225773E+1,
538.00,1.39625893E+1,2.64592628E+1,
539.00,1.54452190E+1,2.37804642E+1,
540.00,5.67364931E+0,1.56338043E+1,
541.00,1.57659855E+1,1.28760509E+1,
542.00,1.30258904E+1,1.72913685E+1,
543.00,1.01914167E+1,2.48729725E+1,
544.00,1.03117046E+1,1.76069336E+1,
545.00,1.33076019E+1,2.07388401E+1,
546.00,5.97516346E+0,2.39708290E+1,
547.00,1.05234413E+1,1.50998592E+1,
548.00,1.83093548E+1,2.28339672E+1,
549.00,1.99504528E+1,1.99326839E+1,
550.00,6.18354321E+0,1.39858809E+1,
551.00,1.24606028E+1,1.58084812E+1,
