0.01cr-100%MG-89.45
  QY = 89.45%
Labels,EmScan29,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.050,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,1.65405428E+0,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,1.65228534E+0,8.26750040E-1,
428.00,-8.26288462E-1,2.47580433E+0,
429.00,-8.18345487E-1,0.00000000E+0,
430.00,-8.23809326E-1,-8.27618062E-1,
431.00,0.00000000E+0,1.65370905E+0,
432.00,-8.21723223E-1,8.29793990E-1,
433.00,1.66005421E+0,3.32079458E+0,
434.00,1.65169847E+0,0.00000000E+0,
435.00,2.47886539E+0,-8.25352073E-1,
436.00,8.27047050E-1,4.97196388E+0,
437.00,1.65088809E+0,2.48296595E+0,
438.00,9.15676498E+0,1.25468054E+1,
439.00,3.11219749E+1,3.52820091E+1,
440.00,6.83572998E+1,8.40732269E+1,
441.00,1.42937164E+2,1.82647171E+2,
442.00,2.38717682E+2,3.55461853E+2,
443.00,7.84687744E+2,1.19094666E+3,
444.00,2.67791270E+4,3.79391914E+4,
445.00,6.31426289E+4,8.93943750E+4,
446.00,6.94097813E+4,9.57432813E+4,
447.00,3.40963320E+4,4.57212969E+4,
448.00,2.92403882E+3,3.68334790E+3,
449.00,2.51331345E+2,3.70568909E+2,
450.00,1.57559555E+2,2.45358688E+2,
451.00,1.23022766E+2,1.39446243E+2,
452.00,7.15864563E+1,1.11923355E+2,
453.00,4.93678207E+1,6.39994392E+1,
454.00,1.48231907E+1,2.17570839E+1,
455.00,7.86309910E+0,1.37466850E+1,
456.00,7.80606413E+0,1.75373306E+1,
457.00,1.06525564E+1,3.86643577E+0,
458.00,6.65949821E+0,1.24190493E+1,
459.00,3.78288341E+0,1.04492083E+1,
460.00,6.53300285E+0,1.49015913E+1,
461.00,9.21416664E+0,1.38036728E+1,
462.00,9.08579254E+0,1.72846069E+1,
463.00,1.44411364E+1,1.17218275E+1,
464.00,6.26998138E+0,1.69580097E+1,
465.00,1.32657499E+1,1.68682537E+1,
466.00,1.32044077E+1,1.32616491E+1,
467.00,8.79389477E+0,1.58464098E+1,
468.00,9.65079784E+0,1.49577456E+1,
469.00,1.40544605E+1,1.13648014E+1,
470.00,1.57073727E+1,2.08966045E+1,
471.00,1.55622082E+1,1.74467831E+1,
472.00,6.98562956E+0,2.00452442E+1,
473.00,1.91123409E+1,2.17285519E+1,
474.00,1.04295149E+1,1.48587132E+1,
475.00,1.05126858E+1,2.18823071E+1,
476.00,2.09945660E+1,1.31784067E+1,
477.00,1.84977245E+1,1.94840698E+1,
478.00,2.30629005E+1,1.49998331E+1,
479.00,1.50289555E+1,2.29587460E+1,
480.00,1.32977905E+1,1.77579460E+1,
481.00,1.43135967E+1,1.34222841E+1,
482.00,2.24989376E+1,2.15792866E+1,
483.00,1.71117897E+1,2.08002586E+1,
484.00,1.89997082E+1,2.91526146E+1,
485.00,1.18768978E+1,2.10313129E+1,
486.00,1.74932537E+1,2.66774673E+1,
487.00,1.75887432E+1,2.03998623E+1,
488.00,1.58607187E+1,1.97357616E+1,
489.00,1.22381725E+1,3.29708710E+1,
490.00,1.89384613E+1,1.89963436E+1,
491.00,1.53598585E+1,3.16423969E+1,
492.00,1.54321957E+1,2.99650688E+1,
493.00,1.64492130E+1,2.43088665E+1,
494.00,2.05801029E+1,2.15372868E+1,
495.00,1.86633167E+1,2.47082405E+1,
496.00,2.07713623E+1,3.37775459E+1,
497.00,1.50620413E+1,2.41118412E+1,
498.00,1.71406708E+1,2.32528057E+1,
499.00,1.51672163E+1,2.52902966E+1,
500.00,2.45715256E+1,2.66895542E+1,
501.00,2.47573242E+1,2.68488655E+1,
502.00,1.97285404E+1,2.58494568E+1,
503.00,2.09352207E+1,2.81455364E+1,
504.00,1.58598518E+1,1.79660206E+1,
505.00,1.69942760E+1,2.12187176E+1,
506.00,2.04284306E+1,2.56337566E+1,
507.00,1.83108654E+1,2.90592232E+1,
508.00,1.95577564E+1,2.28632698E+1,
509.00,1.85956879E+1,1.53819418E+1,
510.00,2.65189934E+1,2.10492916E+1,
511.00,1.89647770E+1,2.00620346E+1,
512.00,1.34576044E+1,2.69474010E+1,
513.00,1.46761427E+1,3.29764900E+1,
514.00,1.13886976E+1,3.06947899E+1,
515.00,1.83636532E+1,2.29966640E+1,
516.00,2.42999477E+1,2.21642666E+1,
517.00,1.27459011E+1,1.75923748E+1,
518.00,1.87887878E+1,1.17697897E+1,
519.00,1.89182777E+1,2.85646992E+1,
520.00,1.55097065E+1,2.86624107E+1,
521.00,9.63067627E+0,2.05907784E+1,
522.00,1.46121292E+1,2.56785145E+1,
523.00,1.58867350E+1,1.60582523E+1,
524.00,1.23482599E+1,1.73578796E+1,
525.00,7.46201992E+0,1.87188873E+1,
526.00,2.26663914E+1,1.88559189E+1,
527.00,7.56372738E+0,2.90966034E+1,
528.00,1.52726345E+1,2.29447594E+1,
529.00,1.80132198E+1,1.93973789E+1,
530.00,9.05489349E+0,1.43166180E+1,
531.00,1.17550592E+1,1.71121216E+1,
532.00,1.71473732E+1,1.72239685E+1,
533.00,1.99051342E+1,1.73417416E+1,
534.00,1.06796026E+1,2.28606129E+1,
535.00,1.49281244E+1,2.03722973E+1,
536.00,1.63919792E+1,3.01637077E+1,
537.00,1.79717960E+1,2.35225773E+1,
538.00,1.39749441E+1,2.64592628E+1,
539.00,1.82398663E+1,2.37804642E+1,
540.00,7.09317446E+0,1.56338043E+1,
541.00,1.56989250E+1,1.28760509E+1,
542.00,1.29657345E+1,1.72913685E+1,
543.00,1.45038643E+1,2.48729725E+1,
544.00,1.61567764E+1,1.76069336E+1,
545.00,1.93353462E+1,2.07388401E+1,
546.00,1.64592571E+1,2.39708290E+1,
547.00,1.96591320E+1,1.50998592E+1,
548.00,9.15090084E+0,2.28339672E+1,
549.00,1.22947845E+1,1.99326839E+1,
550.00,1.23565722E+1,1.39858809E+1,
551.00,2.02623253E+1,1.58084812E+1,
