0.01cr-3%LIF-46.29%
  QY = 46.29%
Labels,EmScan26,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.80,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,1.65562141E+0,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,0.00000000E+0,8.26750040E-1,
428.00,8.21219623E-1,2.47580433E+0,
429.00,-8.21983576E-1,0.00000000E+0,
430.00,-8.20027530E-1,-8.27618062E-1,
431.00,-1.63933468E+0,1.65370905E+0,
432.00,0.00000000E+0,8.29793990E-1,
433.00,8.28576505E-1,3.32079458E+0,
434.00,8.24486494E-1,0.00000000E+0,
435.00,-8.29916775E-1,-8.25352073E-1,
436.00,-8.31456602E-1,4.97196388E+0,
437.00,4.95735312E+0,2.48296595E+0,
438.00,2.49427152E+0,1.25468054E+1,
439.00,2.09972916E+1,3.52820091E+1,
440.00,5.14566879E+1,8.40732269E+1,
441.00,1.02254433E+2,1.82647171E+2,
442.00,1.94076767E+2,3.55461853E+2,
443.00,6.43113342E+2,1.19094666E+3,
444.00,2.20263008E+4,3.79391914E+4,
445.00,5.27248711E+4,8.93943750E+4,
446.00,5.74987188E+4,9.57432813E+4,
447.00,2.77556211E+4,4.57212969E+4,
448.00,2.28381299E+3,3.68334790E+3,
449.00,2.28371338E+2,3.70568909E+2,
450.00,1.24645950E+2,2.45358688E+2,
451.00,9.29954529E+1,1.39446243E+2,
452.00,5.86083260E+1,1.11923355E+2,
453.00,2.48156624E+1,6.39994392E+1,
454.00,2.47754230E+1,2.17570839E+1,
455.00,6.90653753E+0,1.37466850E+1,
456.00,3.89985752E+0,1.75373306E+1,
457.00,9.67691243E-1,3.86643577E+0,
458.00,1.05221462E+1,1.24190493E+1,
459.00,6.59324121E+0,1.04492083E+1,
460.00,3.72926712E+0,1.49015913E+1,
461.00,6.40599585E+0,1.38036728E+1,
462.00,1.00077581E+1,1.72846069E+1,
463.00,8.12393475E+0,1.17218275E+1,
464.00,9.86472321E+0,1.69580097E+1,
465.00,6.21206570E+0,1.68682537E+1,
466.00,8.80130577E+0,1.32616491E+1,
467.00,6.14073753E+0,1.58464098E+1,
468.00,8.73939323E+0,1.49577456E+1,
469.00,5.25653553E+0,1.13648014E+1,
470.00,8.69976139E+0,2.08966045E+1,
471.00,5.24568176E+0,1.74467831E+1,
472.00,1.56376963E+1,2.00452442E+1,
473.00,9.59716892E+0,2.17285519E+1,
474.00,1.04063482E+1,1.48587132E+1,
475.00,1.21833391E+1,2.18823071E+1,
476.00,1.49706478E+1,1.31784067E+1,
477.00,1.14467058E+1,1.94840698E+1,
478.00,1.14516163E+1,1.49998331E+1,
479.00,1.59429417E+1,2.29587460E+1,
480.00,1.41710329E+1,1.77579460E+1,
481.00,1.51928596E+1,1.34222841E+1,
482.00,9.87240887E+0,2.15792866E+1,
483.00,9.88277626E+0,2.08002586E+1,
484.00,1.26602926E+1,2.91526146E+1,
485.00,1.54895935E+1,2.10313129E+1,
486.00,1.28520832E+1,2.66774673E+1,
487.00,1.94630527E+1,2.03998623E+1,
488.00,1.68489380E+1,1.97357616E+1,
489.00,1.22010288E+1,3.29708710E+1,
490.00,1.32779312E+1,1.89963436E+1,
491.00,1.44147377E+1,3.16423969E+1,
492.00,1.83960419E+1,2.99650688E+1,
493.00,1.74662418E+1,2.43088665E+1,
494.00,6.82908249E+0,2.15372868E+1,
495.00,1.08456316E+1,2.47082405E+1,
496.00,1.48909092E+1,3.37775459E+1,
497.00,8.96760178E+0,2.41118412E+1,
498.00,1.00846272E+1,2.32528057E+1,
499.00,8.10682678E+0,2.52902966E+1,
500.00,1.83467846E+1,2.66895542E+1,
501.00,7.22053242E+0,2.68488655E+1,
502.00,1.65923767E+1,2.58494568E+1,
503.00,1.67041187E+1,2.81455364E+1,
504.00,8.39364052E+0,1.79660206E+1,
505.00,1.27429581E+1,2.12187176E+1,
506.00,8.55671883E+0,2.56337566E+1,
507.00,1.39588671E+1,2.90592232E+1,
508.00,1.40802469E+1,2.28632698E+1,
509.00,4.39125967E+0,1.53819418E+1,
510.00,1.32678204E+1,2.10492916E+1,
511.00,3.32505131E+0,2.00620346E+1,
512.00,1.34866571E+1,2.69474010E+1,
513.00,4.51604557E+0,3.29764900E+1,
514.00,1.48131399E+1,3.06947899E+1,
515.00,1.14976549E+1,2.29966640E+1,
516.00,1.85367508E+1,2.21642666E+1,
517.00,1.98709469E+1,1.75923748E+1,
518.00,1.89159546E+1,1.17697897E+1,
519.00,2.12836857E+1,2.85646992E+1,
520.00,1.67380638E+1,2.86624107E+1,
521.00,1.32559128E+1,2.05907784E+1,
522.00,3.64399028E+0,2.56785145E+1,
523.00,4.90628481E+0,1.60582523E+1,
524.00,8.63457298E+0,1.73578796E+1,
525.00,9.91477299E+0,1.87188873E+1,
526.00,1.88126240E+1,1.88559189E+1,
527.00,1.77623692E+1,2.90966034E+1,
528.00,1.27863121E+1,2.29447594E+1,
529.00,1.41499243E+1,1.93973789E+1,
530.00,1.55146599E+1,1.43166180E+1,
531.00,1.97381554E+1,1.71121216E+1,
532.00,6.57361984E+0,1.72239685E+1,
533.00,2.26494694E+1,1.73417416E+1,
534.00,1.07347031E+1,2.28606129E+1,
535.00,1.08529892E+1,2.03722973E+1,
536.00,9.60065269E+0,3.01637077E+1,
537.00,1.78582859E+1,2.35225773E+1,
538.00,8.33897114E+0,2.64592628E+1,
539.00,9.81493473E+0,2.37804642E+1,
540.00,8.47457981E+0,1.56338043E+1,
541.00,1.13843393E+1,1.28760509E+1,
542.00,8.65101719E+0,1.72913685E+1,
543.00,5.80954409E+0,2.48729725E+1,
544.00,1.60776672E+1,1.76069336E+1,
545.00,1.03524837E+1,2.07388401E+1,
546.00,4.47191477E+0,2.39708290E+1,
547.00,1.21063738E+1,1.50998592E+1,
548.00,6.07619190E+0,2.28339672E+1,
549.00,4.60295868E+0,1.99326839E+1,
550.00,9.28985214E+0,1.39858809E+1,
551.00,1.08900566E+1,1.58084812E+1,
