0.01cr-3%NH4F-55.11%
  QY = 55.11%
Labels,EmScan27,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,8.29430938E-1,-8.31457138E-1,
426.00,0.00000000E+0,-8.30165863E-1,
427.00,-8.28496158E-1,8.26750040E-1,
428.00,0.00000000E+0,2.47580433E+0,
429.00,8.22353184E-1,0.00000000E+0,
430.00,5.78002167E+0,-8.27618062E-1,
431.00,8.24748933E-1,1.65370905E+0,
432.00,0.00000000E+0,8.29793990E-1,
433.00,-8.25641990E-1,3.32079458E+0,
434.00,0.00000000E+0,0.00000000E+0,
435.00,-8.24820220E-1,-8.25352073E-1,
436.00,0.00000000E+0,4.97196388E+0,
437.00,8.30440342E-1,2.48296595E+0,
438.00,7.47682047E+0,1.25468054E+1,
439.00,2.18733540E+1,3.52820091E+1,
440.00,4.87217712E+1,8.40732269E+1,
441.00,9.76068878E+1,1.82647171E+2,
442.00,1.68596115E+2,3.55461853E+2,
443.00,7.03194580E+2,1.19094666E+3,
444.00,2.26154063E+4,3.79391914E+4,
445.00,5.38444688E+4,8.93943750E+4,
446.00,5.80404375E+4,9.57432813E+4,
447.00,2.80488418E+4,4.57212969E+4,
448.00,2.32280444E+3,3.68334790E+3,
449.00,2.55095428E+2,3.70568909E+2,
450.00,1.33443878E+2,2.45358688E+2,
451.00,1.01387512E+2,1.39446243E+2,
452.00,4.68162346E+1,1.11923355E+2,
453.00,2.37161922E+1,6.39994392E+1,
454.00,1.97117596E+1,2.17570839E+1,
455.00,1.17293663E+1,1.37466850E+1,
456.00,2.91865849E+0,1.75373306E+1,
457.00,7.69970989E+0,3.86643577E+0,
458.00,9.53003788E+0,1.24190493E+1,
459.00,6.57215786E+0,1.04492083E+1,
460.00,6.53729868E+0,1.49015913E+1,
461.00,5.54201555E+0,1.38036728E+1,
462.00,9.12248611E+0,1.72846069E+1,
463.00,4.52046967E+0,1.17218275E+1,
464.00,1.25049028E+1,1.69580097E+1,
465.00,1.06907845E+1,1.68682537E+1,
466.00,1.14963608E+1,1.32616491E+1,
467.00,1.23576088E+1,1.58464098E+1,
468.00,1.13803520E+1,1.49577456E+1,
469.00,1.22008333E+1,1.13648014E+1,
470.00,1.21720438E+1,2.08966045E+1,
471.00,9.56959248E+0,1.74467831E+1,
472.00,1.13750286E+1,2.00452442E+1,
473.00,1.55628214E+1,2.17285519E+1,
474.00,7.85296011E+0,1.48587132E+1,
475.00,1.31389227E+1,2.18823071E+1,
476.00,8.76143742E+0,1.31784067E+1,
477.00,2.02469006E+1,1.94840698E+1,
478.00,1.58890247E+1,1.49998331E+1,
479.00,2.03193855E+1,2.29587460E+1,
480.00,9.73793125E+0,1.77579460E+1,
481.00,1.15765858E+1,1.34222841E+1,
482.00,1.16860323E+1,2.15792866E+1,
483.00,9.93050575E+0,2.08002586E+1,
484.00,2.72435260E+0,2.91526146E+1,
485.00,1.36873493E+1,2.10313129E+1,
486.00,1.20087538E+1,2.66774673E+1,
487.00,1.38743048E+1,2.03998623E+1,
488.00,1.40427113E+1,1.97357616E+1,
489.00,1.98628750E+1,3.29708710E+1,
490.00,6.64195395E+0,1.89963436E+1,
491.00,7.62211037E+0,3.16423969E+1,
492.00,9.61412334E+0,2.99650688E+1,
493.00,1.74915771E+1,2.43088665E+1,
494.00,1.76954651E+1,2.15372868E+1,
495.00,1.76960697E+1,2.47082405E+1,
496.00,1.38417654E+1,3.37775459E+1,
497.00,1.79054813E+1,2.41118412E+1,
498.00,1.71470604E+1,2.32528057E+1,
499.00,1.72809258E+1,2.52902966E+1,
500.00,1.12960663E+1,2.66895542E+1,
501.00,2.37765903E+1,2.68488655E+1,
502.00,1.14451094E+1,2.58494568E+1,
503.00,1.25838375E+1,2.81455364E+1,
504.00,9.47019386E+0,1.79660206E+1,
505.00,1.26888638E+1,2.12187176E+1,
506.00,1.28523197E+1,2.56337566E+1,
507.00,8.59334087E+0,2.90592232E+1,
508.00,8.70307255E+0,2.28632698E+1,
509.00,1.86870670E+1,1.53819418E+1,
510.00,9.94969463E+0,2.10492916E+1,
511.00,1.44942236E+1,2.00620346E+1,
512.00,1.23297386E+1,2.69474010E+1,
513.00,1.93167725E+1,3.29764900E+1,
514.00,2.50737934E+1,3.06947899E+1,
515.00,1.49658852E+1,2.29966640E+1,
516.00,1.74915447E+1,2.21642666E+1,
517.00,1.63742657E+1,1.75923748E+1,
518.00,1.64026852E+1,1.17697897E+1,
519.00,1.30693073E+1,2.85646992E+1,
520.00,1.08216009E+1,2.86624107E+1,
521.00,1.20464697E+1,2.05907784E+1,
522.00,7.36486149E+0,2.56785145E+1,
523.00,1.72204285E+1,1.60582523E+1,
524.00,8.66854954E+0,1.73578796E+1,
525.00,1.24549551E+1,1.87188873E+1,
526.00,1.50612841E+1,1.88559189E+1,
527.00,2.17133350E+1,2.90966034E+1,
528.00,1.28143148E+1,2.29447594E+1,
529.00,1.02594566E+1,1.93973789E+1,
530.00,6.46860123E+0,1.43166180E+1,
531.00,7.87884045E+0,1.71121216E+1,
532.00,1.33055048E+1,1.72239685E+1,
533.00,1.47222652E+1,1.73417416E+1,
534.00,1.88088875E+1,2.28606129E+1,
535.00,1.90221634E+1,2.03722973E+1,
536.00,8.21735573E+0,3.01637077E+1,
537.00,1.93320580E+1,2.35225773E+1,
538.00,1.80774937E+1,2.64592628E+1,
539.00,1.68777561E+1,2.37804642E+1,
540.00,1.13815565E+1,1.56338043E+1,
541.00,1.86244831E+1,1.28760509E+1,
542.00,7.20086098E+0,1.72913685E+1,
543.00,1.74694576E+1,2.48729725E+1,
544.00,8.79674911E+0,1.76069336E+1,
545.00,1.33109875E+1,2.07388401E+1,
546.00,1.48623857E+1,2.39708290E+1,
547.00,1.51040077E+1,1.50998592E+1,
548.00,1.06345844E+1,2.28339672E+1,
549.00,1.07532949E+1,1.99326839E+1,
550.00,1.23759232E+1,1.39858809E+1,
551.00,1.55807714E+1,1.58084812E+1,
