0.005cr-fitted
  QY = 126.54%
Labels,EmScan6,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,27.70,27.450,
Scan Polariser,None,None,
Scan Slit,0.200,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.40,2.4000206,
Detector,Det 1,Det 1,

425.00,1.65894306E+0,2.47579026E+0,
426.00,0.00000000E+0,-3.30663085E+0,
427.00,1.65346766E+0,-2.46517086E+0,
428.00,-8.24669957E-1,0.00000000E+0,
429.00,8.22449684E-1,-1.64390290E+0,
430.00,0.00000000E+0,0.00000000E+0,
431.00,8.24312985E-1,1.63791573E+0,
432.00,-8.27375650E-1,1.64636660E+0,
433.00,0.00000000E+0,0.00000000E+0,
434.00,8.27556849E-1,8.25477839E-1,
435.00,2.49143887E+0,4.11714697E+0,
436.00,3.31708145E+0,2.47346926E+0,
437.00,4.13270092E+0,-3.30716181E+0,
438.00,1.08339338E+1,1.66333561E+1,
439.00,3.01332073E+1,4.34351082E+1,
440.00,6.22466316E+1,9.07595062E+1,
441.00,1.18255661E+2,1.92004440E+2,
442.00,2.56277893E+2,3.54654358E+2,
443.00,1.08165015E+3,1.51114661E+3,
444.00,3.03572207E+4,4.00612734E+4,
445.00,6.98970391E+4,9.09411563E+4,
446.00,7.32796328E+4,9.46420000E+4,
447.00,3.47153320E+4,4.34801523E+4,
448.00,2.24853369E+3,2.58828516E+3,
449.00,2.73121368E+2,4.00991089E+2,
450.00,1.70093369E+2,2.02957840E+2,
451.00,1.06704323E+2,1.27203957E+2,
452.00,8.25548019E+1,9.72105560E+1,
453.00,4.15397835E+1,4.96420212E+1,
454.00,1.08573713E+1,2.66877556E+1,
455.00,6.83633566E+0,1.56620493E+1,
456.00,8.76360226E+0,1.16780596E+1,
457.00,7.67063570E+0,1.63601265E+1,
458.00,8.55803490E+0,1.13747492E+1,
459.00,1.40323057E+1,1.98919792E+1,
460.00,1.20913305E+1,1.48916798E+1,
461.00,1.38390055E+1,1.46563911E+1,
462.00,9.07861423E+0,9.13161659E+0,
463.00,1.07951183E+1,1.16943674E+1,
464.00,1.24904947E+1,2.67752819E+1,
465.00,1.15301504E+1,1.76563301E+1,
466.00,1.57779589E+1,1.50177927E+1,
467.00,1.40204782E+1,1.31036215E+1,
468.00,1.13783455E+1,1.48919172E+1,
469.00,1.04802017E+1,1.91894417E+1,
470.00,1.29773865E+1,1.99680309E+1,
471.00,1.55886192E+1,2.34442101E+1,
472.00,1.99998951E+1,2.59516087E+1,
473.00,1.99465694E+1,2.09394836E+1,
474.00,2.60880508E+1,2.01476765E+1,
475.00,2.28470249E+1,2.35363827E+1,
476.00,1.75319710E+1,2.96729889E+1,
477.00,1.66094437E+1,2.28378754E+1,
478.00,2.10492363E+1,3.15969257E+1,
479.00,1.41291504E+1,2.37337646E+1,
480.00,2.12908001E+1,2.84831524E+1,
481.00,1.42110901E+1,2.68185425E+1,
482.00,1.25218744E+1,2.68370380E+1,
483.00,1.71183128E+1,2.61126366E+1,
484.00,2.27225323E+1,2.80359669E+1,
485.00,2.27741432E+1,2.09336033E+1,
486.00,1.74525223E+1,1.82989273E+1,
487.00,1.94649601E+1,2.48815079E+1,
488.00,2.14619789E+1,2.42374115E+1,
489.00,1.87878647E+1,2.74021950E+1,
490.00,1.03709822E+1,3.22344208E+1,
491.00,1.81076317E+1,2.19358139E+1,
492.00,2.02380943E+1,1.44111910E+1,
493.00,2.23735924E+1,3.48346443E+1,
494.00,2.05126877E+1,3.03533516E+1,
495.00,1.17819519E+1,3.34471474E+1,
496.00,2.67472935E+1,2.07959270E+1,
497.00,2.89020939E+1,2.19992085E+1,
498.00,1.91741447E+1,2.50924416E+1,
499.00,2.62128372E+1,2.63250408E+1,
500.00,1.62717171E+1,1.42381687E+1,
501.00,3.49717216E+1,2.56250668E+1,
502.00,2.07076473E+1,2.89420719E+1,
503.00,1.67262001E+1,2.40580482E+1,
504.00,1.36275663E+1,2.10547638E+1,
505.00,3.07094059E+1,2.21866741E+1,
506.00,1.91520901E+1,2.45813084E+1,
507.00,1.93822861E+1,1.92428455E+1,
508.00,2.49019699E+1,2.16907063E+1,
509.00,2.62437515E+1,2.62316971E+1,
510.00,2.41361408E+1,2.20874691E+1,
511.00,2.67121811E+1,2.89226151E+1,
512.00,1.68006191E+1,3.47100792E+1,
513.00,2.26693726E+1,1.91862507E+1,
514.00,1.82612495E+1,2.15387821E+1,
515.00,1.93987713E+1,2.40286713E+1,
516.00,2.53293686E+1,2.98492165E+1,
517.00,1.62822189E+1,2.43565311E+1,
518.00,2.70109940E+1,2.58055878E+1,
519.00,1.30351858E+1,1.78127003E+1,
520.00,2.14644966E+1,3.10221386E+1,
521.00,2.52447433E+1,1.92622929E+1,
522.00,2.43906288E+1,1.94355679E+1,
523.00,1.71006107E+1,2.08323154E+1,
524.00,2.10708008E+1,2.71313972E+1,
525.00,1.99277344E+1,1.98664951E+1,
526.00,1.49977865E+1,2.75391102E+1,
527.00,2.28456173E+1,1.89334774E+1,
528.00,1.91896229E+1,2.92736912E+1,
529.00,2.06746864E+1,2.57422333E+1,
530.00,2.59660397E+1,2.46424236E+1,
531.00,1.30874853E+1,2.35572453E+1,
532.00,1.58498774E+1,2.65325336E+1,
533.00,1.99323425E+1,2.26065388E+1,
534.00,3.35905876E+1,2.01183262E+1,
535.00,2.44323845E+1,2.17857647E+1,
536.00,1.77904968E+1,3.00149956E+1,
537.00,1.37447805E+1,2.62520542E+1,
538.00,1.80142269E+1,1.25123720E+1,
539.00,1.39277735E+1,2.24955120E+1,
540.00,9.87669277E+0,2.11847954E+1,
541.00,1.28161278E+1,2.56994534E+1,
542.00,1.86763859E+1,1.00505342E+1,
543.00,1.73646202E+1,1.73785038E+1,
544.00,2.77783718E+1,1.90762348E+1,
545.00,1.77311611E+1,3.09965153E+1,
546.00,1.64624863E+1,1.63663216E+1,
547.00,9.03836727E+0,1.65416851E+1,
548.00,1.98351364E+1,6.07482481E+0,
549.00,1.22635059E+1,7.64845085E+0,
550.00,1.69073448E+1,1.69516888E+1,
551.00,1.86428547E+1,2.01368160E+1,
552.00,1.57195740E+1,1.10192966E+1,
