0.05cr-fitted
  QY = 34.16%
Labels,EmScan13,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.650,27.450,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,2.47579026E+0,
426.00,-8.27896774E-1,-3.30663085E+0,
427.00,2.48151517E+0,-2.46517086E+0,
428.00,-8.19293976E-1,0.00000000E+0,
429.00,0.00000000E+0,-1.64390290E+0,
430.00,-8.24366271E-1,0.00000000E+0,
431.00,0.00000000E+0,1.63791573E+0,
432.00,-8.23706090E-1,1.64636660E+0,
433.00,0.00000000E+0,0.00000000E+0,
434.00,0.00000000E+0,8.25477839E-1,
435.00,0.00000000E+0,4.11714697E+0,
436.00,8.28173459E-1,2.47346926E+0,
437.00,1.65709293E+0,-3.30716181E+0,
438.00,3.31858921E+0,1.66333561E+1,
439.00,2.43275833E+1,4.34351082E+1,
440.00,3.82521782E+1,9.07595062E+1,
441.00,1.00355003E+2,1.92004440E+2,
442.00,1.59217361E+2,3.54654358E+2,
443.00,5.72755127E+2,1.51114661E+3,
444.00,1.93104160E+4,4.00612734E+4,
445.00,4.59364570E+4,9.09411563E+4,
446.00,4.93044883E+4,9.46420000E+4,
447.00,2.42111387E+4,4.34801523E+4,
448.00,1.73690710E+3,2.58828516E+3,
449.00,1.94556244E+2,4.00991089E+2,
450.00,1.07814934E+2,2.02957840E+2,
451.00,8.24555511E+1,1.27203957E+2,
452.00,5.55374947E+1,9.72105560E+1,
453.00,2.88259735E+1,4.96420212E+1,
454.00,1.08145390E+1,2.66877556E+1,
455.00,7.81592274E+0,1.56620493E+1,
456.00,1.25786438E+1,1.16780596E+1,
457.00,1.15608587E+1,1.63601265E+1,
458.00,4.75223780E+0,1.13747492E+1,
459.00,7.51888132E+0,1.98919792E+1,
460.00,6.49687195E+0,1.48916798E+1,
461.00,9.17964077E+0,1.46563911E+1,
462.00,1.63630524E+1,9.13161659E+0,
463.00,8.12051487E+0,1.16943674E+1,
464.00,8.91577435E+0,2.67752819E+1,
465.00,9.75084591E+0,1.76563301E+1,
466.00,4.40336132E+0,1.50177927E+1,
467.00,9.61456585E+0,1.31036215E+1,
468.00,7.84818602E+0,1.48919172E+1,
469.00,2.62046146E+0,1.91894417E+1,
470.00,7.80603027E+0,1.99680309E+1,
471.00,8.71081161E+0,2.34442101E+1,
472.00,9.50142670E+0,2.59516087E+1,
473.00,1.12642546E+1,2.09394836E+1,
474.00,7.85026646E+0,2.01476765E+1,
475.00,8.64915752E+0,2.35363827E+1,
476.00,1.13820696E+1,2.96729889E+1,
477.00,1.76683559E+1,2.28378754E+1,
478.00,8.80015945E+0,3.15969257E+1,
479.00,1.14850941E+1,2.37337646E+1,
480.00,9.80405235E+0,2.84831524E+1,
481.00,1.33876381E+1,2.68185425E+1,
482.00,1.16901569E+1,2.68370380E+1,
483.00,8.95065880E+0,2.61126366E+1,
484.00,1.53783131E+1,2.80359669E+1,
485.00,1.45716085E+1,2.09336033E+1,
486.00,1.10400343E+1,1.82989273E+1,
487.00,1.39210091E+1,2.48815079E+1,
488.00,1.40369225E+1,2.42374115E+1,
489.00,8.48736858E+0,2.74021950E+1,
490.00,1.51689920E+1,3.22344208E+1,
491.00,1.34048386E+1,2.19358139E+1,
492.00,1.25392733E+1,1.44111910E+1,
493.00,1.06662989E+1,3.48346443E+1,
494.00,6.83355379E+0,3.03533516E+1,
495.00,1.37990694E+1,3.34471474E+1,
496.00,9.94090843E+0,2.07959270E+1,
497.00,1.30324812E+1,2.19992085E+1,
498.00,1.10687704E+1,2.50924416E+1,
499.00,1.20927029E+1,2.63250408E+1,
500.00,1.12529001E+1,1.42381687E+1,
501.00,1.43966026E+1,2.56250668E+1,
502.00,7.22790527E+0,2.89420719E+1,
503.00,1.87397194E+1,2.40580482E+1,
504.00,9.43943787E+0,2.10547638E+1,
505.00,1.90934792E+1,2.21866741E+1,
506.00,1.49389992E+1,2.45813084E+1,
507.00,1.29430418E+1,1.92428455E+1,
508.00,1.63181019E+1,2.16907063E+1,
509.00,4.37147951E+0,2.62316971E+1,
510.00,1.65727463E+1,2.20874691E+1,
511.00,9.97787857E+0,2.89226151E+1,
512.00,1.90724087E+1,3.47100792E+1,
513.00,9.01278400E+0,1.91862507E+1,
514.00,1.25104198E+1,2.15387821E+1,
515.00,1.02565622E+1,2.40286713E+1,
516.00,1.61347218E+1,2.98492165E+1,
517.00,1.51243687E+1,2.43565311E+1,
518.00,7.05503321E+0,2.58055878E+1,
519.00,1.55129185E+1,1.78127003E+1,
520.00,1.19548244E+1,3.10221386E+1,
521.00,1.67976933E+1,1.92622929E+1,
522.00,1.21028242E+1,1.94355679E+1,
523.00,1.71194897E+1,2.08323154E+1,
524.00,1.36175957E+1,2.71313972E+1,
525.00,2.23219318E+1,1.98664951E+1,
526.00,7.50532389E+0,2.75391102E+1,
527.00,2.15628815E+1,1.89334774E+1,
528.00,1.14810162E+1,2.92736912E+1,
529.00,1.03173819E+1,2.57422333E+1,
530.00,3.90602612E+0,2.46424236E+1,
531.00,2.34807892E+1,2.35572453E+1,
532.00,1.05287676E+1,2.65325336E+1,
533.00,9.26017189E+0,2.26065388E+1,
534.00,1.87426891E+1,2.01183262E+1,
535.00,1.35200329E+1,2.17857647E+1,
536.00,6.79584742E+0,3.00149956E+1,
537.00,2.20103226E+1,2.62520542E+1,
538.00,2.21971054E+1,1.25123720E+1,
539.00,1.39528456E+1,2.24955120E+1,
540.00,1.69702015E+1,2.11847954E+1,
541.00,8.55535316E+0,2.56994534E+1,
542.00,7.19333267E+0,1.00505342E+1,
543.00,4.35877752E+0,1.73785038E+1,
544.00,4.38640118E+0,1.90762348E+1,
545.00,2.07453423E+1,3.09965153E+1,
546.00,5.98958969E+0,1.63663216E+1,
547.00,1.20219755E+1,1.65416851E+1,
548.00,1.37260818E+1,6.07482481E+0,
549.00,1.22597866E+1,7.64845085E+0,
550.00,3.09856009E+0,1.69516888E+1,
551.00,7.80463839E+0,2.01368160E+1,
