0.002cr-fitted-136.66%
  QY = 136.66%
Labels,EmScan16,kongbai,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,1.65136313E+0,-8.31457138E-1,
426.00,1.65047407E+0,-8.30165863E-1,
427.00,1.65911114E+0,8.26750040E-1,
428.00,1.64598691E+0,2.47580433E+0,
429.00,1.65038514E+0,0.00000000E+0,
430.00,1.64597476E+0,-8.27618062E-1,
431.00,8.23297560E-1,1.65370905E+0,
432.00,3.29144812E+0,8.29793990E-1,
433.00,0.00000000E+0,3.32079458E+0,
434.00,4.12856007E+0,0.00000000E+0,
435.00,1.65926301E+0,-8.25352073E-1,
436.00,0.00000000E+0,4.97196388E+0,
437.00,8.22252929E-1,2.48296595E+0,
438.00,1.40769463E+1,1.25468054E+1,
439.00,2.78111191E+1,3.52820091E+1,
440.00,7.94864044E+1,8.40732269E+1,
441.00,1.52768890E+2,1.82647171E+2,
442.00,2.88588379E+2,3.55461853E+2,
443.00,1.03826868E+3,1.19094666E+3,
444.00,3.19501719E+4,3.79391914E+4,
445.00,7.49697266E+4,8.93943750E+4,
446.00,8.09476875E+4,9.57432813E+4,
447.00,3.86005078E+4,4.57212969E+4,
448.00,2.93871631E+3,3.68334790E+3,
449.00,3.21142120E+2,3.70568909E+2,
450.00,1.69741425E+2,2.45358688E+2,
451.00,1.38332550E+2,1.39446243E+2,
452.00,8.14150009E+1,1.11923355E+2,
453.00,4.55190544E+1,6.39994392E+1,
454.00,2.07555141E+1,2.17570839E+1,
455.00,2.06268921E+1,1.37466850E+1,
456.00,9.69549179E+0,1.75373306E+1,
457.00,8.69257355E+0,3.86643577E+0,
458.00,6.66236019E+0,1.24190493E+1,
459.00,7.56814528E+0,1.04492083E+1,
460.00,1.21084919E+1,1.49015913E+1,
461.00,1.28545074E+1,1.38036728E+1,
462.00,9.07710838E+0,1.72846069E+1,
463.00,1.26080875E+1,1.17218275E+1,
464.00,8.89286613E+0,1.69580097E+1,
465.00,1.05814381E+1,1.68682537E+1,
466.00,1.49865103E+1,1.32616491E+1,
467.00,7.89925051E+0,1.58464098E+1,
468.00,7.85738611E+0,1.49577456E+1,
469.00,1.65657291E+1,1.13648014E+1,
470.00,2.07838402E+1,2.08966045E+1,
471.00,1.04069271E+1,1.74467831E+1,
472.00,2.08506718E+1,2.00452442E+1,
473.00,1.30432549E+1,2.17285519E+1,
474.00,1.48271198E+1,1.48587132E+1,
475.00,2.17411213E+1,2.18823071E+1,
476.00,1.58131552E+1,1.31784067E+1,
477.00,1.22920265E+1,1.94840698E+1,
478.00,1.93520317E+1,1.49998331E+1,
479.00,2.82191658E+1,2.29587460E+1,
480.00,1.76504574E+1,1.77579460E+1,
481.00,1.78902416E+1,1.34222841E+1,
482.00,2.14733982E+1,2.15792866E+1,
483.00,1.53252268E+1,2.08002586E+1,
484.00,2.52830791E+1,2.91526146E+1,
485.00,2.38289680E+1,2.10313129E+1,
486.00,1.74283104E+1,2.66774673E+1,
487.00,1.83854179E+1,2.03998623E+1,
488.00,2.05433254E+1,1.97357616E+1,
489.00,1.41064692E+1,3.29708710E+1,
490.00,2.09117527E+1,1.89963436E+1,
491.00,2.10081291E+1,3.16423969E+1,
492.00,1.63611126E+1,2.99650688E+1,
493.00,1.83801098E+1,2.43088665E+1,
494.00,2.44260769E+1,2.15372868E+1,
495.00,2.25822945E+1,2.47082405E+1,
496.00,3.26400757E+1,3.37775459E+1,
497.00,1.89147949E+1,2.41118412E+1,
498.00,2.32067089E+1,2.32528057E+1,
499.00,2.51958256E+1,2.52902966E+1,
500.00,2.34255066E+1,2.66895542E+1,
501.00,2.05627575E+1,2.68488655E+1,
502.00,9.33613491E+0,2.58494568E+1,
503.00,2.27953930E+1,2.81455364E+1,
504.00,1.88247147E+1,1.79660206E+1,
505.00,2.54519939E+1,2.12187176E+1,
506.00,2.13218479E+1,2.56337566E+1,
507.00,2.36049767E+1,2.90592232E+1,
508.00,3.35963020E+1,2.28632698E+1,
509.00,2.18920517E+1,1.53819418E+1,
510.00,2.31526031E+1,2.10492916E+1,
511.00,2.99716492E+1,2.00620346E+1,
512.00,2.01145172E+1,2.69474010E+1,
513.00,2.59228859E+1,3.29764900E+1,
514.00,1.25208254E+1,3.06947899E+1,
515.00,1.37422028E+1,2.29966640E+1,
516.00,2.42617035E+1,2.21642666E+1,
517.00,3.14791508E+1,1.75923748E+1,
518.00,2.69885750E+1,1.17697897E+1,
519.00,2.25373573E+1,2.85646992E+1,
520.00,2.39788609E+1,2.86624107E+1,
521.00,1.55661640E+1,2.05907784E+1,
522.00,1.45144749E+1,2.56785145E+1,
523.00,1.95829201E+1,1.60582523E+1,
524.00,2.10200157E+1,1.73578796E+1,
525.00,2.35891609E+1,1.87188873E+1,
526.00,2.62988720E+1,1.88559189E+1,
527.00,3.14230976E+1,2.90966034E+1,
528.00,2.29011326E+1,2.29447594E+1,
529.00,2.05035267E+1,1.93973789E+1,
530.00,1.81006126E+1,1.43166180E+1,
531.00,1.30526419E+1,1.71121216E+1,
532.00,1.84523335E+1,1.72239685E+1,
533.00,1.46339092E+1,1.73417416E+1,
534.00,1.74730892E+1,2.28606129E+1,
535.00,2.70321522E+1,2.03722973E+1,
536.00,1.90818233E+1,3.01637077E+1,
537.00,2.47679005E+1,2.35225773E+1,
538.00,2.91305752E+1,2.64592628E+1,
539.00,2.39268188E+1,2.37804642E+1,
540.00,1.97431793E+1,1.56338043E+1,
541.00,1.84648056E+1,1.28760509E+1,
542.00,2.01576786E+1,1.72913685E+1,
543.00,2.47198124E+1,2.48729725E+1,
544.00,2.33631382E+1,1.76069336E+1,
545.00,1.47475777E+1,2.07388401E+1,
546.00,2.23626328E+1,2.39708290E+1,
547.00,3.74914360E+1,1.50998592E+1,
548.00,1.52005911E+1,2.28339672E+1,
549.00,1.21951284E+1,1.99326839E+1,
550.00,2.15605812E+1,1.39858809E+1,
551.00,2.97595329E+1,1.58084812E+1,
