0.01cr-78.54%
  QY = 78.54%
Labels,EmScan21,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.30,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,-8.31457138E-1,
426.00,8.25148404E-1,-8.30165863E-1,
427.00,0.00000000E+0,8.26750040E-1,
428.00,0.00000000E+0,2.47580433E+0,
429.00,0.00000000E+0,0.00000000E+0,
430.00,0.00000000E+0,-8.27618062E-1,
431.00,1.64848077E+0,1.65370905E+0,
432.00,8.22115779E-1,8.29793990E-1,
433.00,0.00000000E+0,3.32079458E+0,
434.00,1.65751779E+0,0.00000000E+0,
435.00,2.46447515E+0,-8.25352073E-1,
436.00,1.64588082E+0,4.97196388E+0,
437.00,2.47949934E+0,2.48296595E+0,
438.00,1.24340324E+1,1.25468054E+1,
439.00,1.67687931E+1,3.52820091E+1,
440.00,4.68697090E+1,8.40732269E+1,
441.00,9.85623169E+1,1.82647171E+2,
442.00,1.80838318E+2,3.55461853E+2,
443.00,6.74396851E+2,1.19094666E+3,
444.00,2.07210254E+4,3.79391914E+4,
445.00,4.94556406E+4,8.93943750E+4,
446.00,5.32632422E+4,9.57432813E+4,
447.00,2.56075293E+4,4.57212969E+4,
448.00,2.09513525E+3,3.68334790E+3,
449.00,2.22931351E+2,3.70568909E+2,
450.00,1.23087746E+2,2.45358688E+2,
451.00,7.65023956E+1,1.39446243E+2,
452.00,5.35613365E+1,1.11923355E+2,
453.00,3.86103325E+1,6.39994392E+1,
454.00,9.84540176E+0,2.17570839E+1,
455.00,7.85148191E+0,1.37466850E+1,
456.00,2.91538048E+0,1.75373306E+1,
457.00,6.72345352E+0,3.86643577E+0,
458.00,8.52500820E+0,1.24190493E+1,
459.00,6.56007051E+0,1.04492083E+1,
460.00,1.11673412E+1,1.49015913E+1,
461.00,6.42687750E+0,1.38036728E+1,
462.00,1.00147095E+1,1.72846069E+1,
463.00,1.07826986E+1,1.17218275E+1,
464.00,9.83095074E+0,1.69580097E+1,
465.00,7.98748875E+0,1.68682537E+1,
466.00,8.79649639E+0,1.32616491E+1,
467.00,7.86692286E+0,1.58464098E+1,
468.00,9.58390427E+0,1.49577456E+1,
469.00,5.21515703E+0,1.13648014E+1,
470.00,7.82764149E+0,2.08966045E+1,
471.00,6.91424799E+0,1.74467831E+1,
472.00,9.50373840E+0,2.00452442E+1,
473.00,1.12970791E+1,2.17285519E+1,
474.00,1.39561663E+1,1.48587132E+1,
475.00,8.70646095E+0,2.18823071E+1,
476.00,9.58401108E+0,1.31784067E+1,
477.00,6.15636683E+0,1.94840698E+1,
478.00,1.23367329E+1,1.49998331E+1,
479.00,1.50742035E+1,2.29587460E+1,
480.00,1.50821629E+1,1.77579460E+1,
481.00,9.81261158E+0,1.34222841E+1,
482.00,1.43322372E+1,2.15792866E+1,
483.00,1.34815083E+1,2.08002586E+1,
484.00,9.06385326E+0,2.91526146E+1,
485.00,1.08968859E+1,2.10313129E+1,
486.00,1.19507856E+1,2.66774673E+1,
487.00,1.29817305E+1,2.03998623E+1,
488.00,2.14512711E+1,1.97357616E+1,
489.00,8.45173264E+0,3.29708710E+1,
490.00,1.89818401E+1,1.89963436E+1,
491.00,1.52419920E+1,3.16423969E+1,
492.00,1.72546902E+1,2.99650688E+1,
493.00,1.54770803E+1,2.43088665E+1,
494.00,1.17423182E+1,2.15372868E+1,
495.00,1.96644096E+1,2.47082405E+1,
496.00,1.78624401E+1,3.37775459E+1,
497.00,1.09706850E+1,2.41118412E+1,
498.00,1.70219803E+1,2.32528057E+1,
499.00,2.22959518E+1,2.52902966E+1,
500.00,1.53350973E+1,2.66895542E+1,
501.00,1.74216499E+1,2.68488655E+1,
502.00,2.07080517E+1,2.58494568E+1,
503.00,1.46477613E+1,2.81455364E+1,
504.00,1.46855764E+1,1.79660206E+1,
505.00,1.47137880E+1,2.12187176E+1,
506.00,1.71117611E+1,2.56337566E+1,
507.00,1.61840343E+1,2.90592232E+1,
508.00,1.51321821E+1,2.28632698E+1,
509.00,1.52937546E+1,1.53819418E+1,
510.00,1.65060940E+1,2.10492916E+1,
511.00,1.44797335E+1,2.00620346E+1,
512.00,1.34568138E+1,2.69474010E+1,
513.00,1.45596504E+1,3.29764900E+1,
514.00,1.36197662E+1,3.06947899E+1,
515.00,1.14497108E+1,2.29966640E+1,
516.00,1.96191387E+1,2.21642666E+1,
517.00,1.51811333E+1,1.75923748E+1,
518.00,1.87428188E+1,1.17697897E+1,
519.00,1.18469248E+1,2.85646992E+1,
520.00,1.43939552E+1,2.86624107E+1,
521.00,1.56273937E+1,2.05907784E+1,
522.00,2.17638683E+1,2.56785145E+1,
523.00,1.47116470E+1,1.60582523E+1,
524.00,1.11656570E+1,1.73578796E+1,
525.00,1.37437601E+1,1.87188873E+1,
526.00,2.13807201E+1,1.88559189E+1,
527.00,1.13580933E+1,2.90966034E+1,
528.00,1.39524183E+1,2.29447594E+1,
529.00,1.67151184E+1,1.93973789E+1,
530.00,9.07843304E+0,1.43166180E+1,
531.00,1.17679214E+1,1.71121216E+1,
532.00,1.97597427E+1,1.72239685E+1,
533.00,1.59013176E+1,1.73417416E+1,
534.00,9.40076447E+0,2.28606129E+1,
535.00,6.77515745E+0,2.03722973E+1,
536.00,8.18726635E+0,3.01637077E+1,
537.00,1.66075974E+1,2.35225773E+1,
538.00,2.08972855E+1,2.64592628E+1,
539.00,5.58995056E+0,2.37804642E+1,
540.00,1.98003101E+1,1.56338043E+1,
541.00,9.98319626E+0,1.28760509E+1,
542.00,2.16139984E+1,1.72913685E+1,
543.00,5.80528688E+0,2.48729725E+1,
544.00,1.32005482E+1,1.76069336E+1,
545.00,1.03814201E+1,2.07388401E+1,
546.00,1.64164295E+1,2.39708290E+1,
547.00,1.79904537E+1,1.50998592E+1,
548.00,1.06263704E+1,2.28339672E+1,
549.00,1.37801285E+1,1.99326839E+1,
550.00,1.08326426E+1,1.39858809E+1,
551.00,1.40629339E+1,1.58084812E+1,
