Labels,kongbai,
Type,Emission Scan,
Comment,,
Start,425.00,
Stop,850.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,28.80,
Scan Polariser,None,
Scan Slit,0.19999765,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4000206,
Detector,Det 1,

425.00,-8.31457138E-1,
426.00,-8.30165863E-1,
427.00,8.26750040E-1,
428.00,2.47580433E+0,
429.00,0.00000000E+0,
430.00,-8.27618062E-1,
431.00,1.65370905E+0,
432.00,8.29793990E-1,
433.00,3.32079458E+0,
434.00,0.00000000E+0,
435.00,-8.25352073E-1,
436.00,4.97196388E+0,
437.00,2.48296595E+0,
438.00,1.25468054E+1,
439.00,3.52820091E+1,
440.00,8.40732269E+1,
441.00,1.82647171E+2,
442.00,3.55461853E+2,
443.00,1.19094666E+3,
444.00,3.79391914E+4,
445.00,8.93943750E+4,
446.00,9.57432813E+4,
447.00,4.57212969E+4,
448.00,3.68334790E+3,
449.00,3.70568909E+2,
450.00,2.45358688E+2,
451.00,1.39446243E+2,
452.00,1.11923355E+2,
453.00,6.39994392E+1,
454.00,2.17570839E+1,
455.00,1.37466850E+1,
456.00,1.75373306E+1,
457.00,3.86643577E+0,
458.00,1.24190493E+1,
459.00,1.04492083E+1,
460.00,1.49015913E+1,
461.00,1.38036728E+1,
462.00,1.72846069E+1,
463.00,1.17218275E+1,
464.00,1.69580097E+1,
465.00,1.68682537E+1,
466.00,1.32616491E+1,
467.00,1.58464098E+1,
468.00,1.49577456E+1,
469.00,1.13648014E+1,
470.00,2.08966045E+1,
471.00,1.74467831E+1,
472.00,2.00452442E+1,
473.00,2.17285519E+1,
474.00,1.48587132E+1,
475.00,2.18823071E+1,
476.00,1.31784067E+1,
477.00,1.94840698E+1,
478.00,1.49998331E+1,
479.00,2.29587460E+1,
480.00,1.77579460E+1,
481.00,1.34222841E+1,
482.00,2.15792866E+1,
483.00,2.08002586E+1,
484.00,2.91526146E+1,
485.00,2.10313129E+1,
486.00,2.66774673E+1,
487.00,2.03998623E+1,
488.00,1.97357616E+1,
489.00,3.29708710E+1,
490.00,1.89963436E+1,
491.00,3.16423969E+1,
492.00,2.99650688E+1,
493.00,2.43088665E+1,
494.00,2.15372868E+1,
495.00,2.47082405E+1,
496.00,3.37775459E+1,
497.00,2.41118412E+1,
498.00,2.32528057E+1,
499.00,2.52902966E+1,
500.00,2.66895542E+1,
501.00,2.68488655E+1,
502.00,2.58494568E+1,
503.00,2.81455364E+1,
504.00,1.79660206E+1,
505.00,2.12187176E+1,
506.00,2.56337566E+1,
507.00,2.90592232E+1,
508.00,2.28632698E+1,
509.00,1.53819418E+1,
510.00,2.10492916E+1,
511.00,2.00620346E+1,
512.00,2.69474010E+1,
513.00,3.29764900E+1,
514.00,3.06947899E+1,
515.00,2.29966640E+1,
516.00,2.21642666E+1,
517.00,1.75923748E+1,
518.00,1.17697897E+1,
519.00,2.85646992E+1,
520.00,2.86624107E+1,
521.00,2.05907784E+1,
522.00,2.56785145E+1,
523.00,1.60582523E+1,
524.00,1.73578796E+1,
525.00,1.87188873E+1,
526.00,1.88559189E+1,
527.00,2.90966034E+1,
528.00,2.29447594E+1,
529.00,1.93973789E+1,
530.00,1.43166180E+1,
531.00,1.71121216E+1,
532.00,1.72239685E+1,
533.00,1.73417416E+1,
534.00,2.28606129E+1,
535.00,2.03722973E+1,
536.00,3.01637077E+1,
537.00,2.35225773E+1,
538.00,2.64592628E+1,
539.00,2.37804642E+1,
540.00,1.56338043E+1,
541.00,1.28760509E+1,
542.00,1.72913685E+1,
543.00,2.48729725E+1,
544.00,1.76069336E+1,
545.00,2.07388401E+1,
546.00,2.39708290E+1,
547.00,1.50998592E+1,
548.00,2.28339672E+1,
549.00,1.99326839E+1,
550.00,1.39858809E+1,
551.00,1.58084812E+1,
552.00,1.57828856E+1,
553.00,2.23819160E+1,
554.00,1.61021671E+1,
555.00,9.75030231E+0,
556.00,1.63324432E+1,
557.00,9.90377426E+0,
558.00,2.33989677E+1,
559.00,1.01353550E+1,
560.00,2.22023811E+1,
561.00,8.59659195E+0,
562.00,1.21919174E+1,
563.00,1.05528526E+1,
564.00,1.77447593E+0,
565.00,7.14992619E+0,
566.00,9.03418636E+0,
567.00,9.11704063E+0,
568.00,1.28266230E+1,
569.00,7.47166061E+0,
570.00,1.50416622E+1,
571.00,2.10190907E+1,
572.00,7.67945671E+0,
573.00,3.86984992E+0,
574.00,1.17863846E+1,
575.00,1.78373222E+1,
576.00,1.19949188E+1,
577.00,8.13036728E+0,
578.00,1.42912760E+1,
579.00,8.25390434E+0,
580.00,6.26589870E+0,
581.00,1.27052517E+1,
582.00,8.52427197E+0,
583.00,1.07819767E+1,
584.00,1.09270363E+1,
585.00,1.10059366E+1,
586.00,2.22697759E+0,
587.00,1.79947605E+1,
588.00,1.35043488E+1,
589.00,9.10214329E+0,
590.00,1.38582315E+1,
591.00,9.36912441E+0,
592.00,0.00000000E+0,
593.00,2.39458394E+0,
594.00,1.69310017E+1,
595.00,2.67279453E+1,
596.00,9.80982208E+0,
597.00,-4.96667910E+0,
598.00,1.25124788E+1,
599.00,7.63617706E+0,
600.00,5.16596985E+0,
601.00,5.19834900E+0,
602.00,7.86745739E+0,
603.00,5.29805088E+0,
604.00,5.36842680E+0,
605.00,1.63024254E+1,
606.00,2.75867653E+0,
607.00,5.56790543E+0,
608.00,2.54877777E+1,
609.00,-2.84920025E+0,
610.00,-2.88573313E+0,
611.00,8.79519463E+0,
612.00,0.00000000E+0,
613.00,2.99219656E+0,
614.00,0.00000000E+0,
615.00,6.14768314E+0,
616.00,-3.11339569E+0,
617.00,0.00000000E+0,
618.00,1.59802217E+1,
619.00,3.24826264E+0,
620.00,9.84860611E+0,
621.00,9.99554348E+0,
622.00,1.01829138E+1,
623.00,1.37185555E+1,
624.00,6.99665976E+0,
625.00,-7.10995293E+0,
626.00,3.58846307E+0,
627.00,-3.64486647E+0,
628.00,-3.70253372E+0,
629.00,7.49518633E+0,
630.00,-3.79987812E+0,
631.00,3.85587788E+0,
632.00,3.91783047E+0,
633.00,1.99466286E+1,
634.00,8.13392258E+0,
635.00,-4.11434650E+0,
636.00,0.00000000E+0,
637.00,8.54009914E+0,
638.00,-8.70458412E+0,
639.00,0.00000000E+0,
640.00,4.47044230E+0,
641.00,9.11584663E+0,
642.00,0.00000000E+0,
643.00,0.00000000E+0,
644.00,0.00000000E+0,
645.00,4.82845545E+0,
646.00,9.85867405E+0,
647.00,-1.00919971E+1,
648.00,-5.15898466E+0,
649.00,-5.25967598E+0,
650.00,-5.33226824E+0,
651.00,-5.40238619E+0,
652.00,2.76311512E+1,
653.00,1.12727489E+1,
654.00,5.73876715E+0,
655.00,5.85592699E+0,
656.00,-5.97172499E+0,
657.00,-6.08657694E+0,
658.00,6.22919703E+0,
659.00,-1.27009640E+1,
660.00,-1.30395861E+1,
661.00,-6.69352627E+0,
662.00,-6.86088943E+0,
663.00,-7.02997398E+0,
664.00,7.28480005E+0,
665.00,-1.51100950E+1,
666.00,0.00000000E+0,
667.00,-1.59280510E+1,
668.00,8.10572720E+0,
669.00,0.00000000E+0,
670.00,0.00000000E+0,
671.00,-8.20519638E+0,
672.00,-8.19811440E+0,
673.00,-1.65436840E+1,
674.00,-1.65233040E+1,
675.00,8.29272461E+0,
676.00,-1.67053947E+1,
677.00,8.38072681E+0,
678.00,-8.44337368E+0,
679.00,0.00000000E+0,
680.00,-1.72530422E+1,
681.00,-1.73574715E+1,
682.00,-8.75555897E+0,
683.00,-8.83845234E+0,
684.00,0.00000000E+0,
685.00,0.00000000E+0,
686.00,8.95785522E+0,
687.00,-1.81502018E+1,
688.00,-9.12809277E+0,
689.00,9.19760323E+0,
690.00,-1.86196117E+1,
691.00,0.00000000E+0,
692.00,0.00000000E+0,
693.00,-1.91848621E+1,
694.00,-1.93893757E+1,
695.00,-1.95850410E+1,
696.00,-1.98847580E+1,
697.00,-2.01386299E+1,
698.00,-2.03424187E+1,
699.00,-1.03388882E+1,
700.00,-2.09333172E+1,
701.00,-1.06330347E+1,
702.00,-1.08143034E+1,
703.00,-1.08983507E+1,
704.00,0.00000000E+0,
705.00,-2.25355434E+1,
706.00,-2.28189163E+1,
707.00,-2.31958294E+1,
708.00,-2.35942917E+1,
709.00,-1.19748039E+1,
710.00,-1.21861477E+1,
711.00,-2.48080044E+1,
712.00,-1.25587416E+1,
713.00,-1.27989140E+1,
714.00,0.00000000E+0,
715.00,-2.63780098E+1,
716.00,-2.68927631E+1,
717.00,-2.74124241E+1,
718.00,1.39573441E+1,
719.00,-2.84609756E+1,
720.00,-1.44787092E+1,
721.00,-2.93629246E+1,
722.00,-1.50017900E+1,
723.00,-1.53076830E+1,
724.00,-1.55579996E+1,
725.00,-1.58398485E+1,
726.00,0.00000000E+0,
727.00,-3.29551010E+1,
728.00,-3.35674973E+1,
729.00,-3.42815704E+1,
730.00,-1.73826199E+1,
731.00,-3.55938492E+1,
732.00,1.82186260E+1,
733.00,-3.72515945E+1,
734.00,-1.90061779E+1,
735.00,-1.93518410E+1,
736.00,-3.94542732E+1,
737.00,-4.02128754E+1,
738.00,-2.04802227E+1,
739.00,-4.19786949E+1,
740.00,0.00000000E+0,
741.00,-4.35690880E+1,
742.00,-2.23048134E+1,
743.00,-2.28622990E+1,
744.00,-4.66925697E+1,
745.00,-4.73518410E+1,
746.00,-4.83096733E+1,
747.00,0.00000000E+0,
748.00,-2.53548317E+1,
749.00,0.00000000E+0,
750.00,5.29068565E+1,
751.00,-5.39124146E+1,
752.00,-5.53577499E+1,
753.00,-5.62472382E+1,
754.00,-2.86631508E+1,
755.00,-5.89327087E+1,
756.00,-6.02549324E+1,
757.00,-6.15548553E+1,
758.00,-3.12144909E+1,
759.00,0.00000000E+0,
760.00,-6.58889236E+1,
761.00,-6.71115036E+1,
762.00,-6.87590790E+1,
763.00,-3.52416534E+1,
764.00,0.00000000E+0,
765.00,-7.33021927E+1,
766.00,-7.52316132E+1,
767.00,-7.66099777E+1,
768.00,-7.81758118E+1,
769.00,-7.95392227E+1,
770.00,-8.17645645E+1,
771.00,-8.36405792E+1,
772.00,4.26711655E+1,
773.00,-4.36128044E+1,
774.00,-4.46893654E+1,
775.00,-9.13895645E+1,
776.00,-9.32745590E+1,
777.00,0.00000000E+0,
778.00,-9.75437698E+1,
779.00,1.99272339E+2,
780.00,0.00000000E+0,
781.00,-1.03850197E+2,
782.00,-5.31391258E+1,
783.00,-5.44215431E+1,
784.00,-5.55320778E+1,
785.00,-1.12912857E+2,
786.00,-5.78578300E+1,
787.00,-5.88553619E+1,
788.00,-1.21151611E+2,
789.00,-6.17329178E+1,
790.00,-6.31564980E+1,
791.00,-1.29069321E+2,
792.00,0.00000000E+0,
793.00,-6.69138184E+1,
794.00,-1.36878220E+2,
795.00,-1.40243240E+2,
796.00,-1.42808792E+2,
797.00,-7.28033295E+1,
798.00,-1.48162766E+2,
799.00,-1.52180252E+2,
800.00,-7.76212463E+1,
801.00,-1.58206146E+2,
802.00,-8.07094498E+1,
803.00,-1.64012436E+2,
804.00,-1.67786011E+2,
805.00,-1.70375290E+2,
806.00,-8.74945984E+1,
807.00,-8.90616760E+1,
808.00,0.00000000E+0,
809.00,-1.85665237E+2,
810.00,0.00000000E+0,
811.00,-9.72780762E+1,
812.00,-9.99388351E+1,
813.00,-2.04432312E+2,
814.00,-1.05005005E+2,
815.00,-1.07968819E+2,
816.00,-2.21852600E+2,
817.00,-2.27838226E+2,
818.00,-2.35820450E+2,
819.00,-1.21192947E+2,
820.00,1.25932518E+2,
821.00,-2.62248505E+2,
822.00,-2.71514374E+2,
823.00,0.00000000E+0,
824.00,-1.48395996E+2,
825.00,-3.10402649E+2,
826.00,-3.28672974E+2,
827.00,-3.45787842E+2,
828.00,-1.84289078E+2,
829.00,-3.92452637E+2,
830.00,-2.09099091E+2,
831.00,-4.49030945E+2,
832.00,-4.80651031E+2,
833.00,-5.14770874E+2,
834.00,-5.55891296E+2,
835.00,-6.00240906E+2,
836.00,-6.50900513E+2,
837.00,-7.04525940E+2,
838.00,0.00000000E+0,
839.00,-4.18515320E+2,
840.00,0.00000000E+0,
841.00,-5.00016052E+2,
842.00,-5.47896912E+2,
843.00,-5.99945374E+2,
844.00,-6.60902649E+2,
845.00,-1.45037732E+3,
846.00,0.00000000E+0,
847.00,-1.76763037E+3,
848.00,-1.95051111E+3,
849.00,-2.14871143E+3,
850.00,-1.18385303E+3,
