Labels,KONGBAI-4,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.19999765,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.9999765,
Detector,Det 1,

435.00,-1.19920003E+0,
435.500,6.00133419E-1,
436.00,0.00000000E+0,
436.500,5.98082900E-1,
437.00,6.00467741E-1,
437.500,4.79426718E+0,
438.00,1.26644278E+1,
438.500,1.74610653E+1,
439.00,3.89623489E+1,
439.500,8.24186172E+1,
440.00,1.04583054E+2,
440.500,1.78173340E+2,
441.00,2.34318146E+2,
441.500,3.02849945E+2,
442.00,3.82910400E+2,
442.500,5.73742554E+2,
443.00,8.70947632E+2,
443.500,5.80860303E+3,
444.00,3.33371172E+4,
444.500,7.19623984E+4,
445.00,1.08467688E+5,
445.500,1.27340055E+5,
446.00,1.07800039E+5,
446.500,7.10079141E+4,
447.00,3.34363750E+4,
447.500,6.59957471E+3,
448.00,9.17406555E+2,
448.500,5.98553223E+2,
449.00,4.04914581E+2,
449.500,2.91547607E+2,
450.00,2.42201065E+2,
450.500,2.07722076E+2,
451.00,1.43897812E+2,
451.500,1.32570053E+2,
452.00,1.00330116E+2,
452.500,7.08577347E+1,
453.00,5.60789680E+1,
453.500,2.36156998E+1,
454.00,3.14035816E+1,
454.500,8.57154274E+0,
455.00,8.52794838E+0,
455.500,1.34894714E+1,
456.00,1.26960592E+1,
456.500,6.36169100E+0,
457.00,1.04609575E+1,
457.500,1.25760174E+1,
458.00,1.23965397E+1,
458.500,7.58712912E+0,
459.00,7.48488760E+0,
459.500,6.78522110E+0,
460.00,9.40802574E+0,
460.500,1.27542753E+1,
461.00,8.65112972E+0,
461.500,1.39466209E+1,
462.00,9.23423672E+0,
462.500,1.57926798E+1,
463.00,1.76827679E+1,
463.500,7.79203510E+0,
464.00,1.55550556E+1,
464.500,1.41611834E+1,
465.00,1.09279938E+1,
465.500,1.53513288E+1,
466.00,2.10481453E+1,
466.500,1.97906189E+1,
467.00,1.45667171E+1,
467.500,1.78313866E+1,
468.00,1.33501549E+1,
468.500,2.02490139E+1,
469.00,1.45693302E+1,
469.500,1.57838802E+1,
470.00,8.83209038E+0,
470.500,1.20067863E+1,
471.00,2.08197708E+1,
471.500,1.45003252E+1,
472.00,1.31511021E+1,
472.500,2.56990452E+1,
473.00,2.32267857E+1,
473.500,1.63729019E+1,
474.00,2.52593899E+1,
474.500,1.58629894E+1,
475.00,1.95507069E+1,
475.500,1.83871174E+1,
476.00,2.54470768E+1,
476.500,2.41618176E+1,
477.00,1.40088558E+1,
477.500,2.35083733E+1,
478.00,1.66644516E+1,
478.500,1.79061928E+1,
479.00,1.79109612E+1,
479.500,1.60884628E+1,
480.00,2.56802635E+1,
480.500,2.40102882E+1,
481.00,2.00682430E+1,
481.500,1.95252495E+1,
482.00,2.27764549E+1,
482.500,2.73797836E+1,
483.00,1.90715103E+1,
483.500,2.02797031E+1,
484.00,1.97360859E+1,
484.500,2.44672127E+1,
485.00,1.58316841E+1,
485.500,1.52452154E+1,
486.00,2.33257504E+1,
486.500,2.06353836E+1,
487.00,2.21587734E+1,
487.500,2.54912930E+1,
488.00,2.30577049E+1,
488.500,1.83528633E+1,
489.00,2.24803391E+1,
489.500,1.85080280E+1,
490.00,1.37014627E+1,
490.500,2.56207771E+1,
491.00,2.35373173E+1,
491.500,2.49061203E+1,
492.00,3.28758469E+1,
492.500,2.58672256E+1,
493.00,2.59922428E+1,
493.500,2.54555511E+1,
494.00,2.68849030E+1,
494.500,2.77318096E+1,
495.00,2.99560337E+1,
495.500,2.13717957E+1,
496.00,2.36546059E+1,
496.500,2.45493774E+1,
497.00,2.24320335E+1,
497.500,3.69392319E+1,
498.00,2.85275307E+1,
498.500,2.04729595E+1,
499.00,2.27211895E+1,
499.500,3.24692726E+1,
500.00,3.26444054E+1,
500.500,3.26901894E+1,
501.00,1.94340725E+1,
501.500,2.09415569E+1,
502.00,2.70762825E+1,
502.500,1.74405193E+1,
503.00,2.79551544E+1,
503.500,2.72814312E+1,
504.00,2.35354652E+1,
504.500,2.98838005E+1,
505.00,2.07513142E+1,
505.500,2.61883659E+1,
506.00,2.71941357E+1,
506.500,2.34131126E+1,
507.00,2.48862514E+1,
507.500,2.11508904E+1,
508.00,2.57984695E+1,
508.500,2.21162224E+1,
509.00,2.46730900E+1,
509.500,1.74955654E+1,
510.00,3.34829826E+1,
510.500,2.41722298E+1,
511.00,3.47373695E+1,
511.500,1.45393410E+1,
512.00,3.01568794E+1,
512.500,2.93811073E+1,
513.00,1.72693596E+1,
513.500,2.29693108E+1,
514.00,2.40023880E+1,
514.500,2.56792774E+1,
515.00,2.32990017E+1,
515.500,3.17031269E+1,
516.00,2.34760323E+1,
516.500,2.27182922E+1,
517.00,2.79895821E+1,
517.500,2.20893936E+1,
518.00,3.75057487E+1,
518.500,2.13389130E+1,
519.00,2.41013451E+1,
519.500,2.41517563E+1,
520.00,2.60376244E+1,
520.500,2.34195042E+1,
521.00,2.36199150E+1,
521.500,2.10868130E+1,
522.00,2.29445515E+1,
522.500,1.94183826E+1,
523.00,2.74925461E+1,
523.500,2.87801285E+1,
524.00,1.43608503E+1,
524.500,2.60769596E+1,
525.00,3.25243301E+1,
525.500,2.25934048E+1,
526.00,2.63719521E+1,
526.500,2.19365139E+1,
527.00,2.20296326E+1,
527.500,2.30177097E+1,
528.00,3.42334862E+1,
528.500,2.96683636E+1,
529.00,2.43001842E+1,
529.500,2.25237827E+1,
530.00,2.46153221E+1,
530.500,3.11228065E+1,
531.00,2.18605690E+1,
531.500,2.28632565E+1,
532.00,2.39499092E+1,
532.500,2.59104309E+1,
533.00,2.31049366E+1,
533.500,2.12541084E+1,
534.00,2.14273777E+1,
534.500,1.86767426E+1,
535.00,2.45630493E+1,
535.500,1.57610645E+1,
536.00,2.47114296E+1,
536.500,1.89508076E+1,
537.00,1.69944057E+1,
537.500,2.00329304E+1,
538.00,2.11789398E+1,
538.500,1.82207584E+1,
539.00,1.52843456E+1,
539.500,1.32828465E+1,
540.00,2.04855461E+1,
540.500,1.64989624E+1,
541.00,2.69322872E+1,
541.500,1.76863003E+1,
542.00,1.66778870E+1,
542.500,2.73396397E+1,
543.00,2.20215149E+1,
543.500,1.91446762E+1,
544.00,1.70058804E+1,
544.500,1.81294460E+1,
545.00,2.03407078E+1,
545.500,2.04538269E+1,
546.00,2.16076431E+1,
546.500,2.27840424E+1,
547.00,2.18578472E+1,
547.500,1.42275925E+1,
548.00,1.86774712E+1,
548.500,1.10295191E+1,
549.00,1.77817039E+1,
549.500,2.00390530E+1,
550.00,1.68007641E+1,
550.500,2.25670490E+1,
551.00,2.26690578E+1,
551.500,1.70124645E+1,
552.00,2.62011528E+1,
552.500,8.00020695E+0,
553.00,1.72480392E+1,
553.500,1.51165447E+1,
554.00,1.39131594E+1,
554.500,1.52249985E+1,
555.00,1.75786896E+1,
555.500,2.12847519E+1,
556.00,2.01834278E+1,
556.500,2.38043613E+1,
557.00,1.43501711E+1,
557.500,1.56405544E+1,
558.00,9.67292976E+0,
558.500,7.28666449E+0,
559.00,1.22189808E+1,
559.500,2.45590134E+1,
560.00,1.10884151E+1,
560.500,2.60732441E+1,
561.00,6.22633314E+0,
561.500,2.12141323E+1,
562.00,1.00374022E+1,
562.500,2.14941730E+1,
563.00,2.40486164E+1,
563.500,8.91954231E+0,
564.00,1.53799429E+1,
564.500,8.99185371E+0,
565.00,1.68577766E+1,
565.500,1.68848228E+1,
566.00,2.47336674E+1,
566.500,3.13934631E+1,
567.00,1.18593540E+1,
567.500,1.32231884E+1,
568.00,1.20137453E+1,
568.500,2.94249134E+1,
569.00,8.08968449E+0,
569.500,1.08272705E+1,
570.00,1.35769482E+1,
570.500,9.60111904E+0,
571.00,6.90761948E+0,
571.500,2.76594925E+0,
572.00,1.10612183E+1,
572.500,1.67290154E+1,
573.00,5.61594296E+0,
573.500,9.85392857E+0,
574.00,2.26344624E+1,
574.500,9.99041557E+0,
575.00,2.85028915E+1,
575.500,8.59516335E+0,
576.00,7.20341921E+0,
576.500,4.36192131E+0,
577.00,8.77484989E+0,
577.500,2.93751264E+0,
578.00,8.87558270E+0,
578.500,1.77931767E+1,
579.00,-1.48544073E+0,
579.500,1.80020294E+1,
580.00,1.50007744E+1,
580.500,1.82551003E+1,
581.00,1.37376900E+1,
581.500,1.22424841E+1,
582.00,1.68977699E+1,
582.500,1.23312368E+1,
583.00,1.71737347E+1,
583.500,9.38885307E+0,
584.00,1.72759552E+1,
584.500,1.41760569E+1,
585.00,7.90463686E+0,
585.500,9.51695824E+0,
586.00,2.23870792E+1,
586.500,1.44693193E+1,
587.00,1.29295187E+1,
587.500,9.75669956E+0,
588.00,1.96190033E+1,
588.500,8.20983601E+0,
589.00,9.94118404E+0,
589.500,8.30060577E+0,
590.00,1.33752756E+1,
590.500,1.17081871E+1,
591.00,1.18296747E+1,
591.500,3.37763786E+0,
592.00,1.18673487E+1,
592.500,1.37034149E+1,
593.00,5.14903021E+0,
593.500,1.72708464E+0,
594.00,8.71507072E+0,
594.500,5.24419069E+0,
595.00,1.75644183E+0,
595.500,1.94173470E+1,
596.00,1.77936184E+0,
596.500,1.07072229E+1,
597.00,3.58807945E+0,
597.500,9.03320694E+0,
598.00,-3.64127469E+0,
598.500,1.10142384E+1,
599.00,9.18676090E+0,
599.500,2.02759628E+1,
600.00,1.85815735E+1,
600.500,1.68470249E+1,
601.00,1.12569666E+1,
601.500,3.78268266E+0,
602.00,1.14015207E+1,
602.500,5.74662304E+0,
603.00,0.00000000E+0,
603.500,1.93195832E+0,
604.00,1.35975418E+1,
604.500,5.88236046E+0,
605.00,7.85268354E+0,
605.500,7.91803026E+0,
606.00,1.99397635E+0,
606.500,1.60463848E+1,
607.00,6.05809069E+0,
607.500,1.21891232E+1,
608.00,1.02071772E+1,
608.500,8.17929173E+0,
609.00,-2.05987883E+0,
609.500,1.25041943E+1,
610.00,2.09317088E+0,
610.500,-2.09226823E+0,
611.00,8.44926739E+0,
611.500,1.28624229E+1,
612.00,1.07140961E+1,
612.500,8.60847569E+0,
613.00,1.08551321E+1,
613.500,1.09444447E+1,
614.00,2.41289825E+1,
614.500,4.41813421E+0,
615.00,0.00000000E+0,
615.500,2.24121809E+0,
616.00,0.00000000E+0,
616.500,0.00000000E+0,
617.00,0.00000000E+0,
617.500,-4.62074089E+0,
618.00,4.62913418E+0,
618.500,2.33941650E+0,
619.00,1.40753088E+1,
619.500,-2.36519551E+0,
620.00,7.12589025E+0,
620.500,2.40739632E+0,
621.00,9.73950481E+0,
621.500,-2.43311834E+0,
622.00,-2.44929075E+0,
622.500,7.43385792E+0,
623.00,-2.48602295E+0,
623.500,2.51308060E+0,
624.00,5.03780317E+0,
624.500,0.00000000E+0,
625.00,-2.55749965E+0,
625.500,5.15767908E+0,
626.00,7.78932524E+0,
626.500,2.61302757E+0,
627.00,1.84671440E+1,
627.500,1.32523136E+1,
628.00,0.00000000E+0,
628.500,0.00000000E+0,
629.00,-2.72003675E+0,
629.500,1.37021198E+1,
630.00,1.10213623E+1,
630.500,5.55498266E+0,
631.00,1.11948700E+1,
631.500,0.00000000E+0,
632.00,-2.83075809E+0,
632.500,0.00000000E+0,
633.00,-2.89022946E+0,
633.500,-8.72207165E+0,
634.00,8.78902435E+0,
634.500,0.00000000E+0,
635.00,2.97987556E+0,
635.500,6.00384760E+0,
636.00,-3.02917194E+0,
636.500,1.52658520E+1,
637.00,0.00000000E+0,
637.500,3.09817839E+0,
638.00,-3.12173772E+0,
638.500,-3.14628458E+0,
639.00,3.17811418E+0,
639.500,6.40893316E+0,
640.00,0.00000000E+0,
640.500,-3.27483249E+0,
641.00,1.64564915E+1,
641.500,3.31115294E+0,
642.00,0.00000000E+0,
642.500,0.00000000E+0,
643.00,-3.41015124E+0,
643.500,0.00000000E+0,
644.00,0.00000000E+0,
644.500,6.97360897E+0,
645.00,7.05457878E+0,
645.500,2.13842850E+1,
646.00,0.00000000E+0,
646.500,1.09250765E+1,
647.00,0.00000000E+0,
647.500,-3.67148566E+0,
648.00,1.86171780E+1,
648.500,0.00000000E+0,
649.00,0.00000000E+0,
649.500,7.62587833E+0,
650.00,-7.66452026E+0,
650.500,-7.76432467E+0,
651.00,-3.92679143E+0,
651.500,-3.98116326E+0,
652.00,-1.20089808E+1,
652.500,-8.05661678E+0,
653.00,1.62957878E+1,
653.500,-4.10771799E+0,
654.00,1.65777397E+1,
654.500,4.20396376E+0,
655.00,-4.22635555E+0,
655.500,0.00000000E+0,
656.00,0.00000000E+0,
656.500,8.70827103E+0,
657.00,-4.41185474E+0,
657.500,0.00000000E+0,
658.00,0.00000000E+0,
658.500,1.81852341E+1,
659.00,-9.19843102E+0,
659.500,4.63370037E+0,
660.00,-4.70102644E+0,
660.500,-9.53267765E+0,
661.00,4.83479118E+0,
661.500,-4.90057468E+0,
662.00,-4.96612263E+0,
662.500,1.00525379E+1,
663.00,-1.53285294E+1,
663.500,-5.19939232E+0,
664.00,-1.05701685E+1,
664.500,-1.07301950E+1,
665.00,0.00000000E+0,
665.500,2.22250462E+1,
666.00,5.66198015E+0,
666.500,0.00000000E+0,
667.00,-1.73188667E+1,
667.500,5.82658625E+0,
668.00,-1.17080040E+1,
668.500,5.90402222E+0,
669.00,-5.93357515E+0,
669.500,-1.18106165E+1,
670.00,-5.92775202E+0,
670.500,-5.93291140E+0,
671.00,0.00000000E+0,
671.500,1.78605289E+1,
672.00,-5.96295738E+0,
672.500,-1.19372578E+1,
673.00,-1.18807726E+1,
673.500,-1.19251270E+1,
674.00,1.19886112E+1,
674.500,-6.01588058E+0,
675.00,2.40777321E+1,
675.500,-1.19897547E+1,
676.00,-6.02338696E+0,
676.500,1.21709681E+1,
677.00,-6.03387260E+0,
677.500,-1.21667614E+1,
678.00,-6.07894182E+0,
678.500,0.00000000E+0,
679.00,-1.21753197E+1,
679.500,0.00000000E+0,
680.00,-1.24665556E+1,
680.500,0.00000000E+0,
681.00,0.00000000E+0,
681.500,1.26309204E+1,
682.00,-1.25801306E+1,
682.500,-6.33309460E+0,
683.00,6.36738920E+0,
683.500,-1.27808228E+1,
684.00,1.28273230E+1,
684.500,6.40906143E+0,
685.00,0.00000000E+0,
685.500,0.00000000E+0,
686.00,6.49231195E+0,
686.500,-6.50894117E+0,
687.00,-1.30803480E+1,
687.500,6.55343723E+0,
688.00,-6.58949137E+0,
688.500,0.00000000E+0,
689.00,-6.64392948E+0,
689.500,-1.33819809E+1,
690.00,-6.69228315E+0,
690.500,0.00000000E+0,
691.00,0.00000000E+0,
691.500,-2.04848461E+1,
692.00,0.00000000E+0,
692.500,-6.86831427E+0,
693.00,6.94019461E+0,
693.500,-1.38695631E+1,
694.00,-7.02281952E+0,
694.500,-1.40493059E+1,
695.00,-7.13305235E+0,
695.500,-1.42212505E+1,
696.00,-1.43929663E+1,
696.500,-7.24467611E+0,
697.00,3.63139153E+1,
697.500,0.00000000E+0,
698.00,0.00000000E+0,
698.500,-1.48655605E+1,
699.00,7.45180130E+0,
699.500,-1.49918880E+1,
700.00,-7.58860874E+0,
700.500,-2.28859673E+1,
701.00,-2.29417820E+1,
701.500,2.31176434E+1,
702.00,0.00000000E+0,
702.500,-2.33949375E+1,
703.00,7.91755724E+0,
703.500,-1.59017181E+1,
704.00,-2.40080185E+1,
704.500,-1.62113419E+1,
705.00,0.00000000E+0,
705.500,-8.17255592E+0,
706.00,-2.47250347E+1,
706.500,-8.26877785E+0,
707.00,-2.52204361E+1,
707.500,3.38681259E+1,
708.00,-1.70527515E+1,
708.500,-2.55624752E+1,
709.00,-2.59809589E+1,
709.500,-8.72784328E+0,
710.00,8.78057671E+0,
710.500,-1.77264500E+1,
711.00,-2.69004459E+1,
711.500,-2.71304703E+1,
712.00,-9.06645298E+0,
712.500,9.13929081E+0,
713.00,-2.76589432E+1,
713.500,0.00000000E+0,
714.00,-9.41286659E+0,
714.500,-1.89500065E+1,
715.00,-1.92034779E+1,
715.500,-9.67273808E+0,
716.00,-1.95046749E+1,
716.500,-9.84797382E+0,
717.00,-1.98154316E+1,
717.500,-2.99601727E+1,
718.00,-1.00794544E+1,
718.500,-2.03380585E+1,
719.00,-2.05651073E+1,
719.500,-1.03819952E+1,
720.00,6.28684349E+1,
720.500,-3.15857735E+1,
721.00,-1.06323080E+1,
721.500,1.07924013E+1,
722.00,0.00000000E+0,
722.500,-1.09479885E+1,
