Labels,KONGBAI,
Type,Emission Scan,
Comment,,
Start,425.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.2999973,
Detector,Det 1,

425.00,4.08875465E+0,
425.500,9.09496248E-1,
426.00,8.61335182E+0,
426.500,1.26810217E+1,
427.00,8.61109543E+0,
427.500,2.72238374E+0,
428.00,9.08056915E-1,
428.500,3.16150212E+0,
429.00,3.15315890E+0,
429.500,1.34698653E+0,
430.00,4.07255077E+0,
430.500,3.16675735E+0,
431.00,-2.70760870E+0,
431.500,6.32714033E+0,
432.00,3.16966271E+0,
432.500,5.88217497E+0,
433.00,5.43864346E+0,
433.500,4.98443079E+0,
434.00,2.27285480E+0,
434.500,5.89423037E+0,
435.00,4.07489729E+0,
435.500,3.62197781E+0,
436.00,7.27153254E+0,
436.500,1.81734848E+0,
437.00,6.36216927E+0,
437.500,1.41946402E+1,
438.00,1.77679272E+1,
438.500,3.29169388E+1,
439.00,6.38930817E+1,
439.500,9.05479889E+1,
440.00,1.45808502E+2,
440.500,2.25831848E+2,
441.00,3.45779846E+2,
441.500,4.46557007E+2,
442.00,5.89306091E+2,
442.500,8.92688904E+2,
443.00,2.11908911E+3,
443.500,1.77772344E+4,
444.00,5.51371523E+4,
444.500,9.61511797E+4,
445.00,1.34560156E+5,
445.500,1.55743234E+5,
446.00,1.39869297E+5,
446.500,1.00261188E+5,
447.00,5.99101953E+4,
447.500,2.32383125E+4,
448.00,3.09429077E+3,
448.500,9.31000305E+2,
449.00,6.53226624E+2,
449.500,4.27140503E+2,
450.00,3.58896057E+2,
450.500,2.97969910E+2,
451.00,2.52511383E+2,
451.500,1.86924057E+2,
452.00,1.39081345E+2,
452.500,1.09234802E+2,
453.00,8.48247147E+1,
453.500,4.33277817E+1,
454.00,4.00393562E+1,
454.500,2.80545368E+1,
455.00,2.19952583E+1,
455.500,2.20101147E+1,
456.00,1.12038231E+1,
456.500,2.45495358E+1,
457.00,1.95278683E+1,
457.500,2.89832363E+1,
458.00,2.13893642E+1,
458.500,1.60963669E+1,
459.00,1.90781918E+1,
459.500,1.59556351E+1,
460.00,2.90344772E+1,
460.500,1.77191982E+1,
461.00,1.97079639E+1,
461.500,2.00438671E+1,
462.00,2.34244785E+1,
462.500,2.78410206E+1,
463.00,1.67907753E+1,
463.500,1.72722569E+1,
464.00,2.41195431E+1,
464.500,2.19381866E+1,
465.00,1.84714451E+1,
465.500,1.70690060E+1,
466.00,1.92656040E+1,
466.500,1.54577293E+1,
467.00,1.82503281E+1,
467.500,2.20293026E+1,
468.00,2.63909206E+1,
468.500,2.88146782E+1,
469.00,2.88557243E+1,
469.500,2.91028233E+1,
470.00,2.14972343E+1,
470.500,3.60476685E+1,
471.00,2.95030823E+1,
471.500,2.94560261E+1,
472.00,2.74862213E+1,
472.500,3.39225159E+1,
473.00,2.85798874E+1,
473.500,2.91177959E+1,
474.00,3.11532555E+1,
474.500,2.62045803E+1,
475.00,3.14690704E+1,
475.500,4.12332497E+1,
476.00,3.11970673E+1,
476.500,1.98296566E+1,
477.00,3.42255516E+1,
477.500,3.42745705E+1,
478.00,3.00284863E+1,
478.500,3.29242897E+1,
479.00,4.26736641E+1,
479.500,2.51911201E+1,
480.00,2.91035557E+1,
480.500,2.67318420E+1,
481.00,2.59859772E+1,
481.500,2.46049824E+1,
482.00,4.11660805E+1,
482.500,3.98957863E+1,
483.00,2.91249142E+1,
483.500,3.06210194E+1,
484.00,3.13696899E+1,
484.500,3.18256454E+1,
485.00,3.24571609E+1,
485.500,3.51231270E+1,
486.00,3.68370857E+1,
486.500,2.57510433E+1,
487.00,3.79872971E+1,
487.500,3.25155449E+1,
488.00,2.76233788E+1,
488.500,3.74485970E+1,
489.00,3.85760918E+1,
489.500,4.50538445E+1,
490.00,4.16851158E+1,
490.500,3.58786888E+1,
491.00,4.36594162E+1,
491.500,3.89768944E+1,
492.00,3.90814590E+1,
492.500,4.24473381E+1,
493.00,4.61991997E+1,
493.500,4.91705055E+1,
494.00,3.43816261E+1,
494.500,5.69491768E+1,
495.00,3.57101021E+1,
495.500,3.94568787E+1,
496.00,3.53031311E+1,
496.500,4.68674850E+1,
497.00,3.38417778E+1,
497.500,3.73489456E+1,
498.00,4.38110390E+1,
498.500,4.15821686E+1,
499.00,2.71323948E+1,
499.500,3.77383995E+1,
500.00,3.23758240E+1,
500.500,3.42472153E+1,
501.00,3.89505386E+1,
501.500,2.66360512E+1,
502.00,4.41877327E+1,
502.500,4.22830734E+1,
503.00,4.22944031E+1,
503.500,3.33217049E+1,
504.00,3.68332291E+1,
504.500,3.80988846E+1,
505.00,3.65625420E+1,
505.500,3.67300072E+1,
506.00,3.46781654E+1,
506.500,3.00261307E+1,
507.00,4.70066681E+1,
507.500,4.95858231E+1,
508.00,2.97558212E+1,
508.500,3.82211418E+1,
509.00,3.72152710E+1,
509.500,3.91271019E+1,
510.00,3.63737144E+1,
510.500,4.89549561E+1,
511.00,4.28234138E+1,
511.500,3.79765129E+1,
512.00,4.41567421E+1,
512.500,3.44965096E+1,
513.00,3.89784698E+1,
513.500,3.41811409E+1,
514.00,3.92389793E+1,
514.500,3.92919502E+1,
515.00,3.01839485E+1,
515.500,4.21929626E+1,
516.00,4.42632027E+1,
516.500,3.62745781E+1,
517.00,2.74082699E+1,
517.500,3.84698715E+1,
518.00,4.23608704E+1,
518.500,3.62694244E+1,
519.00,3.77166061E+1,
519.500,3.72203712E+1,
520.00,3.80065842E+1,
520.500,3.15180664E+1,
521.00,3.62466393E+1,
521.500,4.15952759E+1,
522.00,3.33201675E+1,
522.500,4.13791542E+1,
523.00,5.10746384E+1,
523.500,3.16595497E+1,
524.00,3.32370644E+1,
524.500,3.52517281E+1,
525.00,4.03344307E+1,
525.500,3.55750275E+1,
526.00,3.64358978E+1,
526.500,4.08366699E+1,
527.00,2.91979065E+1,
527.500,3.82897835E+1,
528.00,3.15175304E+1,
528.500,4.40606728E+1,
529.00,4.09344254E+1,
529.500,2.95933609E+1,
530.00,3.33182640E+1,
530.500,4.27741318E+1,
531.00,2.65337143E+1,
531.500,3.52170486E+1,
532.00,2.97798100E+1,
532.500,3.63884048E+1,
533.00,1.98382530E+1,
533.500,3.89092827E+1,
534.00,3.59531593E+1,
534.500,2.88153477E+1,
535.00,3.25982323E+1,
535.500,3.20757370E+1,
536.00,3.07809677E+1,
536.500,4.49811554E+1,
537.00,3.99876518E+1,
537.500,3.02263527E+1,
538.00,2.49911270E+1,
538.500,4.43294373E+1,
539.00,3.14651680E+1,
539.500,3.23418312E+1,
540.00,2.16548996E+1,
540.500,3.28460655E+1,
541.00,3.68175926E+1,
541.500,3.44555931E+1,
542.00,1.97307320E+1,
542.500,3.88671722E+1,
543.00,2.22847271E+1,
543.500,3.68801155E+1,
544.00,2.98287983E+1,
544.500,2.01657238E+1,
545.00,3.57229538E+1,
545.500,4.31073875E+1,
546.00,3.33943787E+1,
546.500,2.71501446E+1,
547.00,3.45633698E+1,
547.500,2.46956615E+1,
548.00,3.81613350E+1,
548.500,2.93919754E+1,
549.00,2.00553875E+1,
549.500,2.61212158E+1,
550.00,2.80063553E+1,
550.500,2.04757385E+1,
551.00,3.49151955E+1,
551.500,2.92815533E+1,
552.00,2.07068501E+1,
552.500,3.10898418E+1,
553.00,3.83723640E+1,
553.500,3.24519806E+1,
554.00,3.43121300E+1,
554.500,3.00492115E+1,
555.00,3.36634598E+1,
555.500,3.03089352E+1,
556.00,1.61660690E+1,
556.500,3.25256119E+1,
557.00,3.70479927E+1,
557.500,2.44340477E+1,
558.00,3.57074928E+1,
558.500,3.02423325E+1,
559.00,3.49782715E+1,
559.500,3.15133991E+1,
560.00,2.04047489E+1,
560.500,2.34134521E+1,
561.00,1.78531208E+1,
561.500,2.63891335E+1,
562.00,1.32515402E+1,
562.500,3.15645485E+1,
563.00,2.29501686E+1,
563.500,1.92974834E+1,
564.00,3.18848419E+1,
564.500,3.60875511E+1,
565.00,2.63712311E+1,
565.500,3.25481911E+1,
566.00,1.97633057E+1,
566.500,2.88311863E+1,
567.00,3.79468727E+1,
567.500,1.90334492E+1,
568.00,2.51713829E+1,
568.500,2.42025528E+1,
569.00,2.75087814E+1,
569.500,2.44872704E+1,
570.00,3.68663330E+1,
570.500,1.96246586E+1,
571.00,3.22187347E+1,
571.500,3.12203979E+1,
572.00,3.45848541E+1,
572.500,2.83821220E+1,
573.00,4.24622879E+1,
573.500,1.92012196E+1,
574.00,2.35962963E+1,
574.500,1.94048977E+1,
575.00,3.46992035E+1,
575.500,2.39018135E+1,
576.00,3.92658653E+1,
576.500,3.30009537E+1,
577.00,2.31776428E+1,
577.500,2.56311626E+1,
578.00,2.00520973E+1,
578.500,2.35114384E+1,
579.00,1.46395884E+1,
579.500,1.47518301E+1,
580.00,3.41499710E+1,
580.500,2.86469994E+1,
581.00,3.69306068E+1,
581.500,1.03952017E+1,
582.00,6.99627447E+0,
582.500,1.76128483E+1,
583.00,3.06070671E+1,
583.500,1.89276981E+1,
584.00,2.96861744E+1,
584.500,1.91383667E+1,
585.00,1.67823544E+1,
585.500,2.29366474E+1,
586.00,8.47343922E+0,
586.500,3.67673874E+0,
587.00,2.94543056E+1,
587.500,1.96987724E+1,
588.00,1.48320475E+1,
588.500,1.73526173E+1,
589.00,3.62055130E+1,
589.500,6.30072403E+0,
590.00,2.52347622E+1,
590.500,3.66886368E+1,
591.00,3.19471931E+1,
591.500,1.15386009E+1,
592.00,4.25064621E+1,
592.500,4.01281128E+1,
593.00,1.30624657E+1,
593.500,1.44176197E+1,
594.00,2.10893078E+1,
594.500,1.58883810E+1,
595.00,2.52082100E+1,
595.500,1.73379211E+1,
596.00,1.86748199E+1,
596.500,9.40348625E+0,
597.00,1.21722527E+1,
597.500,2.31563377E+1,
598.00,1.92855167E+1,
598.500,9.60511494E+0,
599.00,1.80047798E+1,
599.500,2.65272732E+1,
600.00,1.39580765E+1,
600.500,7.03540993E+0,
601.00,1.41998899E+0,
601.500,1.98665257E+1,
602.00,1.43688955E+1,
602.500,2.02246571E+1,
603.00,3.20206757E+1,
603.500,1.16524210E+1,
604.00,2.94108868E+0,
604.500,3.25032883E+1,
605.00,5.95311785E+0,
605.500,1.79314213E+1,
606.00,9.01405048E+0,
606.500,9.05724525E+0,
607.00,7.61066389E+0,
607.500,1.07266903E+1,
608.00,3.08440471E+0,
608.500,1.23939018E+1,
609.00,3.27324028E+1,
609.500,6.28014088E+0,
610.00,-4.71495819E+0,
610.500,6.34239864E+0,
611.00,6.39019966E+0,
611.500,2.56521053E+1,
612.00,2.43394318E+1,
612.500,1.30499277E+1,
613.00,1.63856354E+1,
613.500,4.95241213E+0,
614.00,2.81749935E+1,
614.500,-3.33715820E+0,
615.00,1.51379461E+1,
615.500,1.35493441E+1,
616.00,3.22922478E+1,
616.500,3.09354992E+1,
617.00,5.19311047E+0,
617.500,0.00000000E+0,
618.00,2.10457344E+1,
618.500,2.46580429E+1,
619.00,2.14098969E+1,
619.500,1.79659977E+1,
620.00,1.07841368E+1,
620.500,1.81518879E+1,
621.00,1.46286058E+1,
621.500,1.28277168E+1,
622.00,3.52687721E+1,
622.500,3.17091541E+1,
623.00,3.76153016E+0,
623.500,2.45893192E+1,
624.00,1.33220816E+1,
624.500,7.66837835E+0,
625.00,3.08812981E+1,
625.500,9.75241089E+0,
626.00,7.86274481E+0,
626.500,1.18677692E+1,
627.00,3.96665263E+0,
627.500,3.41278954E+1,
628.00,2.82569027E+1,
628.500,8.13323021E+0,
629.00,1.43641949E+1,
629.500,4.94615288E+1,
630.00,1.65734329E+1,
630.500,3.14519787E+1,
631.00,-2.11252618E+0,
631.500,4.26024771E+0,
632.00,8.55686378E+0,
632.500,1.72843533E+1,
633.00,1.73986568E+1,
633.500,1.31761351E+1,
634.00,-1.54130678E+1,
634.500,8.95308876E+0,
635.00,1.34478884E+1,
635.500,4.06734047E+1,
636.00,2.51300430E+1,
636.500,-2.29887915E+0,
637.00,1.62416039E+1,
637.500,2.57320194E+1,
638.00,4.70748377E+0,
638.500,2.38285236E+1,
639.00,9.60109043E+0,
639.500,2.17077217E+1,
640.00,1.46032009E+1,
640.500,1.46875257E+1,
641.00,2.47279334E+0,
641.500,0.00000000E+0,
642.00,2.26385880E+1,
642.500,5.09752083E+0,
643.00,4.38759956E+1,
643.500,1.81394558E+1,
644.00,1.04965687E+1,
644.500,1.57628222E+1,
645.00,7.98223305E+0,
645.500,1.87255135E+1,
646.00,2.98027687E+1,
646.500,0.00000000E+0,
647.00,3.85381279E+1,
647.500,1.11073961E+1,
648.00,-8.39512539E+0,
648.500,0.00000000E+0,
649.00,0.00000000E+0,
649.500,2.01507320E+1,
650.00,3.20134048E+1,
650.500,1.46637564E+1,
651.00,1.78215771E+1,
651.500,1.19622288E+1,
652.00,3.01875901E+0,
652.500,3.04767966E+0,
653.00,1.22891827E+1,
653.500,6.21146774E+0,
654.00,3.12837839E+0,
654.500,-6.32018471E+0,
655.00,1.91795692E+1,
655.500,6.45780516E+0,
656.00,0.00000000E+0,
656.500,-6.56890726E+0,
657.00,6.65150309E+0,
657.500,2.35383377E+1,
658.00,6.81117773E+0,
658.500,1.37334366E+1,
659.00,6.95001078E+0,
659.500,-3.51646924E+0,
660.00,1.77845535E+1,
660.500,7.16424036E+0,
661.00,2.55451431E+1,
661.500,-2.57928524E+1,
662.00,3.75994802E+0,
662.500,3.80882301E+1,
663.00,1.15829058E+1,
663.500,-3.93456268E+0,
664.00,1.19560270E+1,
664.500,2.43752575E+1,
665.00,-4.14346981E+0,
665.500,1.25621595E+1,
666.00,0.00000000E+0,
666.500,-4.29966021E+0,
667.00,3.47079315E+1,
667.500,-4.39179897E+0,
668.00,1.76548119E+1,
668.500,-8.88935089E+0,
669.00,-1.78021202E+1,
669.500,8.94326019E+0,
670.00,0.00000000E+0,
670.500,3.14784870E+1,
671.00,2.68535118E+1,
671.500,8.97051239E+0,
672.00,0.00000000E+0,
672.500,-9.00144291E+0,
673.00,8.99882984E+0,
673.500,4.50423145E+0,
674.00,2.71255798E+1,
674.500,4.53790092E+1,
675.00,1.35566673E+1,
675.500,1.81771450E+1,
676.00,9.14067650E+0,
676.500,-1.37091904E+1,
677.00,6.84950790E+1,
677.500,5.48843536E+1,
678.00,1.37903786E+1,
678.500,2.76274643E+1,
679.00,-9.23311806E+0,
679.500,1.84908333E+1,
680.00,-9.45970917E+0,
680.500,1.89307232E+1,
681.00,1.89574623E+1,
681.500,4.75158262E+0,
682.00,3.33856583E+1,
682.500,0.00000000E+0,
683.00,1.91990280E+1,
683.500,3.85879250E+1,
684.00,0.00000000E+0,
684.500,2.43572063E+1,
685.00,-1.45741129E+1,
685.500,4.88353777E+0,
686.00,2.44294510E+1,
686.500,1.46942635E+1,
687.00,1.97312584E+1,
687.500,1.97890739E+1,
688.00,-9.94579029E+0,
688.500,2.49546051E+1,
689.00,7.51877365E+1,
689.500,1.00967913E+1,
690.00,-3.02830238E+1,
690.500,3.04887295E+1,
691.00,5.13084555E+0,
691.500,-1.02691298E+1,
692.00,0.00000000E+0,
692.500,-1.03869944E+1,
693.00,1.56967897E+1,
693.500,8.95364075E+1,
694.00,9.49450455E+1,
694.500,3.18085346E+1,
695.00,-4.27759666E+1,
695.500,5.37337828E+0,
696.00,2.71174660E+1,
696.500,5.46897316E+0,
697.00,1.09716730E+1,
697.500,1.10751019E+1,
698.00,3.35382881E+1,
698.500,2.24873428E+1,
699.00,2.82090931E+1,
699.500,-2.84366550E+1,
700.00,1.14368343E+1,
700.500,4.61372299E+1,
701.00,2.31900578E+1,
701.500,5.27028847E+1,
702.00,2.94128628E+1,
702.500,4.15749550E+1,
703.00,-2.39255695E+1,
703.500,-1.80478859E+1,
704.00,-1.82044220E+1,
704.500,0.00000000E+0,
705.00,-1.84367905E+1,
705.500,-6.19871521E+0,
706.00,-3.12849274E+1,
706.500,-2.50797653E+1,
707.00,-6.32009363E+0,
707.500,1.27796150E+2,
708.00,3.21068382E+1,
708.500,3.89191780E+1,
709.00,-6.56036520E+0,
709.500,-2.63327847E+1,
710.00,-5.98309631E+1,
710.500,6.01630630E+1,
711.00,2.03008823E+1,
711.500,6.14719353E+1,
712.00,6.17969398E+1,
712.500,-4.13990860E+1,
713.00,-6.98873138E+0,
713.500,4.21173706E+1,
714.00,4.98096581E+1,
714.500,7.16219711E+0,
715.00,-2.16024151E+1,
