h3bo3-fitted-36.51%
  QY = 36.51%
Labels,h3bo3,KONGBAI-3,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.30,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

425.00,9.14149523E-1,9.11682844E-1,
425.500,-9.09633100E-1,0.00000000E+0,
426.00,-9.08256948E-1,0.00000000E+0,
426.500,-9.09696639E-1,3.03177744E-1,
427.00,-4.54111129E-1,0.00000000E+0,
427.500,4.55306977E-1,0.00000000E+0,
428.00,-9.09655929E-1,0.00000000E+0,
428.500,4.54018831E-1,3.01854134E-1,
429.00,9.05250430E-1,3.02221686E-1,
429.500,-4.53842700E-1,-3.01067442E-1,
430.00,-4.52909976E-1,9.06517744E-1,
430.500,4.53745008E-1,3.02502126E-1,
431.00,-9.06066179E-1,1.20894468E+0,
431.500,-9.09398377E-1,1.81281340E+0,
432.00,0.00000000E+0,6.04952753E-1,
432.500,1.35840130E+0,6.04889810E-1,
433.00,0.00000000E+0,1.20954442E+0,
433.500,-4.52530116E-1,1.21311557E+0,
434.00,9.08921719E-1,3.02766949E-1,
434.500,-9.10313189E-1,2.72507071E+0,
435.00,0.00000000E+0,1.51775932E+0,
435.500,9.08126831E-1,1.51898074E+0,
436.00,4.54053313E-1,3.02609515E+0,
436.500,9.06827748E-1,2.12414646E+0,
437.00,-4.54079896E-1,9.12488341E-1,
437.500,2.27563381E+0,5.78753233E+0,
438.00,9.14030933E+0,1.49922371E+1,
438.500,1.70457211E+1,3.30844193E+1,
439.00,3.08858681E+1,6.37671394E+1,
439.500,5.05657616E+1,9.71605148E+1,
440.00,8.17444382E+1,1.42900345E+2,
440.500,1.20491539E+2,2.14042038E+2,
441.00,1.73943954E+2,2.86463562E+2,
441.500,2.15197586E+2,3.97845703E+2,
442.00,3.20458832E+2,5.41492432E+2,
442.500,4.31294342E+2,7.45992126E+2,
443.00,7.75788879E+2,1.27951941E+3,
443.500,7.11839111E+3,1.16206582E+4,
444.00,2.77032832E+4,4.68625508E+4,
444.500,5.17633906E+4,8.76893750E+4,
445.00,7.57840938E+4,1.27137852E+5,
445.500,9.31966094E+4,1.56043859E+5,
446.00,8.82769375E+4,1.47087219E+5,
446.500,6.59987813E+4,1.09702727E+5,
447.00,4.16182813E+4,6.95496719E+4,
447.500,1.89682676E+4,3.13125469E+4,
448.00,2.94616895E+3,5.06953662E+3,
448.500,5.79580200E+2,1.00505817E+3,
449.00,3.74894623E+2,6.33026978E+2,
449.500,2.73759735E+2,4.98949585E+2,
450.00,2.29278488E+2,3.59156616E+2,
450.500,1.71751205E+2,3.13537079E+2,
451.00,1.37629089E+2,2.65693268E+2,
451.500,1.16022614E+2,2.07130783E+2,
452.00,1.01741615E+2,1.39611526E+2,
452.500,7.35595016E+1,1.27233360E+2,
453.00,5.78178329E+1,9.78525238E+1,
453.500,3.22350006E+1,6.27128792E+1,
454.00,2.17690506E+1,3.65876160E+1,
454.500,1.30088472E+1,2.05345612E+1,
455.00,8.08948803E+0,1.18431463E+1,
455.500,9.67946148E+0,1.25958462E+1,
456.00,8.04227448E+0,1.77904263E+1,
456.500,7.99477100E+0,1.62920780E+1,
457.00,3.71387887E+0,2.02096310E+1,
457.500,6.35567331E+0,1.33463840E+1,
458.00,5.75756741E+0,1.47864914E+1,
458.500,1.14941969E+1,1.92223721E+1,
459.00,1.34415607E+1,1.75840969E+1,
459.500,5.67360497E+0,1.99499226E+1,
460.00,7.71394873E+0,2.28450661E+1,
460.500,1.58063917E+1,1.85839539E+1,
461.00,1.21686354E+1,1.58921957E+1,
461.500,6.56832695E+0,1.97724590E+1,
462.00,7.99716043E+0,2.27617970E+1,
462.500,1.24818363E+1,1.56288157E+1,
463.00,9.41385174E+0,2.25229530E+1,
463.500,1.23607292E+1,1.84415283E+1,
464.00,1.42772932E+1,2.10567284E+1,
464.500,1.22375669E+1,2.37875805E+1,
465.00,1.12371788E+1,1.91453896E+1,
465.500,1.40962763E+1,2.17542000E+1,
466.00,1.35201654E+1,2.61708660E+1,
466.500,6.26294661E+0,1.86866913E+1,
467.00,1.83544903E+1,2.41659584E+1,
467.500,1.25541582E+1,1.53928251E+1,
468.00,1.54437704E+1,2.49934158E+1,
468.500,1.34953690E+1,2.27786579E+1,
469.00,1.00626268E+1,2.36100712E+1,
469.500,1.33825626E+1,2.49031258E+1,
470.00,1.43927383E+1,2.45712223E+1,
470.500,1.19772415E+1,2.81533566E+1,
471.00,1.42844887E+1,2.57331028E+1,
471.500,1.38512011E+1,2.39634609E+1,
472.00,1.57689142E+1,2.39185085E+1,
472.500,1.48155432E+1,2.39267635E+1,
473.00,1.33863583E+1,2.61618252E+1,
473.500,1.33674116E+1,2.32987480E+1,
474.00,2.11009693E+1,2.33436470E+1,
474.500,1.29824848E+1,2.69030724E+1,
475.00,1.29752874E+1,2.72669888E+1,
475.500,1.44651842E+1,2.14887409E+1,
476.00,1.73571186E+1,2.28409595E+1,
476.500,1.10956411E+1,2.62669907E+1,
477.00,1.88412189E+1,2.69848080E+1,
477.500,2.03079090E+1,3.12841034E+1,
478.00,1.49951372E+1,2.38983498E+1,
478.500,2.08740902E+1,2.84465332E+1,
479.00,1.45642433E+1,2.94816837E+1,
479.500,1.60846138E+1,2.88877506E+1,
480.00,1.12734547E+1,2.25397720E+1,
480.500,1.32050886E+1,3.00227585E+1,
481.00,1.27115145E+1,2.72373028E+1,
481.500,1.76703529E+1,2.82199402E+1,
482.00,1.43115892E+1,3.12278652E+1,
482.500,1.78320656E+1,3.19904194E+1,
483.00,1.68786945E+1,3.04060707E+1,
483.500,1.49305887E+1,2.51793480E+1,
484.00,1.84150581E+1,4.00987434E+1,
484.500,1.94693737E+1,2.66631184E+1,
485.00,1.85893898E+1,2.85235634E+1,
485.500,2.25830288E+1,2.75259800E+1,
486.00,1.51540842E+1,2.90798874E+1,
486.500,1.87233696E+1,3.37647591E+1,
487.00,2.48848801E+1,3.19086170E+1,
487.500,1.78882885E+1,4.08689690E+1,
488.00,1.63706379E+1,3.05062351E+1,
