Labels,h3bo3,
Type,Emission Scan,
Comment,,
Start,425.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.2999973,
Detector,Det 1,

425.00,9.14149523E-1,
425.500,-9.09633100E-1,
426.00,-9.08256948E-1,
426.500,-9.09696639E-1,
427.00,-4.54111129E-1,
427.500,4.55306977E-1,
428.00,-9.09655929E-1,
428.500,4.54018831E-1,
429.00,9.05250430E-1,
429.500,-4.53842700E-1,
430.00,-4.52909976E-1,
430.500,4.53745008E-1,
431.00,-9.06066179E-1,
431.500,-9.09398377E-1,
432.00,0.00000000E+0,
432.500,1.35840130E+0,
433.00,0.00000000E+0,
433.500,-4.52530116E-1,
434.00,9.08921719E-1,
434.500,-9.10313189E-1,
435.00,0.00000000E+0,
435.500,9.08126831E-1,
436.00,4.54053313E-1,
436.500,9.06827748E-1,
437.00,-4.54079896E-1,
437.500,2.27563381E+0,
438.00,9.14030933E+0,
438.500,1.70457211E+1,
439.00,3.08858681E+1,
439.500,5.05657616E+1,
440.00,8.17444382E+1,
440.500,1.20491539E+2,
441.00,1.73943954E+2,
441.500,2.15197586E+2,
442.00,3.20458832E+2,
442.500,4.31294342E+2,
443.00,7.75788879E+2,
443.500,7.11839111E+3,
444.00,2.77032832E+4,
444.500,5.17633906E+4,
445.00,7.57840938E+4,
445.500,9.31966094E+4,
446.00,8.82769375E+4,
446.500,6.59987813E+4,
447.00,4.16182813E+4,
447.500,1.89682676E+4,
448.00,2.94616895E+3,
448.500,5.79580200E+2,
449.00,3.74894623E+2,
449.500,2.73759735E+2,
450.00,2.29278488E+2,
450.500,1.71751205E+2,
451.00,1.37629089E+2,
451.500,1.16022614E+2,
452.00,1.01741615E+2,
452.500,7.35595016E+1,
453.00,5.78178329E+1,
453.500,3.22350006E+1,
454.00,2.17690506E+1,
454.500,1.30088472E+1,
455.00,8.08948803E+0,
455.500,9.67946148E+0,
456.00,8.04227448E+0,
456.500,7.99477100E+0,
457.00,3.71387887E+0,
457.500,6.35567331E+0,
458.00,5.75756741E+0,
458.500,1.14941969E+1,
459.00,1.34415607E+1,
459.500,5.67360497E+0,
460.00,7.71394873E+0,
460.500,1.58063917E+1,
461.00,1.21686354E+1,
461.500,6.56832695E+0,
462.00,7.99716043E+0,
462.500,1.24818363E+1,
463.00,9.41385174E+0,
463.500,1.23607292E+1,
464.00,1.42772932E+1,
464.500,1.22375669E+1,
465.00,1.12371788E+1,
465.500,1.40962763E+1,
466.00,1.35201654E+1,
466.500,6.26294661E+0,
467.00,1.83544903E+1,
467.500,1.25541582E+1,
468.00,1.54437704E+1,
468.500,1.34953690E+1,
469.00,1.00626268E+1,
469.500,1.33825626E+1,
470.00,1.43927383E+1,
470.500,1.19772415E+1,
471.00,1.42844887E+1,
471.500,1.38512011E+1,
472.00,1.57689142E+1,
472.500,1.48155432E+1,
473.00,1.33863583E+1,
473.500,1.33674116E+1,
474.00,2.11009693E+1,
474.500,1.29824848E+1,
475.00,1.29752874E+1,
475.500,1.44651842E+1,
476.00,1.73571186E+1,
476.500,1.10956411E+1,
477.00,1.88412189E+1,
477.500,2.03079090E+1,
478.00,1.49951372E+1,
478.500,2.08740902E+1,
479.00,1.45642433E+1,
479.500,1.60846138E+1,
480.00,1.12734547E+1,
480.500,1.32050886E+1,
481.00,1.27115145E+1,
481.500,1.76703529E+1,
482.00,1.43115892E+1,
482.500,1.78320656E+1,
483.00,1.68786945E+1,
483.500,1.49305887E+1,
484.00,1.84150581E+1,
484.500,1.94693737E+1,
485.00,1.85893898E+1,
485.500,2.25830288E+1,
486.00,1.51540842E+1,
486.500,1.87233696E+1,
487.00,2.48848801E+1,
487.500,1.78882885E+1,
488.00,1.63706379E+1,
488.500,1.70752697E+1,
489.00,1.55439968E+1,
489.500,2.44587841E+1,
490.00,1.61724510E+1,
490.500,1.67152042E+1,
491.00,2.04842262E+1,
491.500,2.10964680E+1,
492.00,1.69177933E+1,
492.500,1.69660854E+1,
493.00,2.08535004E+1,
493.500,1.92319565E+1,
494.00,2.05475731E+1,
494.500,2.16613522E+1,
495.00,1.95771961E+1,
495.500,2.32792339E+1,
496.00,2.66651592E+1,
496.500,1.80477810E+1,
497.00,1.69902306E+1,
497.500,2.08682270E+1,
498.00,2.20081806E+1,
498.500,2.17364616E+1,
499.00,1.55631170E+1,
499.500,1.73889179E+1,
500.00,2.19588509E+1,
500.500,2.63847942E+1,
501.00,2.26971741E+1,
501.500,2.15909176E+1,
502.00,1.71511307E+1,
502.500,2.23456593E+1,
503.00,1.09025679E+1,
503.500,1.66998043E+1,
504.00,1.50510550E+1,
504.500,2.26777935E+1,
505.00,1.46346750E+1,
505.500,1.76259422E+1,
506.00,1.71115913E+1,
506.500,2.35853577E+1,
507.00,1.24106426E+1,
507.500,2.02514763E+1,
508.00,1.96291599E+1,
508.500,2.09502506E+1,
509.00,2.16389408E+1,
509.500,2.11137123E+1,
510.00,1.69636383E+1,
510.500,2.06051064E+1,
511.00,1.89682293E+1,
511.500,1.89557915E+1,
512.00,1.59932785E+1,
512.500,1.42321863E+1,
513.00,1.80348911E+1,
513.500,1.80561962E+1,
514.00,2.11863480E+1,
514.500,1.82105770E+1,
515.00,1.64646149E+1,
515.500,1.90536366E+1,
516.00,2.41176300E+1,
516.500,1.66738987E+1,
517.00,2.24070988E+1,
517.500,1.61094666E+1,
518.00,2.39877110E+1,
518.500,2.45923882E+1,
519.00,1.89829807E+1,
519.500,1.77057610E+1,
520.00,2.30835724E+1,
520.500,2.77989826E+1,
521.00,2.05091591E+1,
521.500,2.06347656E+1,
522.00,1.74235630E+1,
522.500,2.34532471E+1,
523.00,1.68095303E+1,
523.500,2.09662228E+1,
524.00,1.69627018E+1,
524.500,1.43536739E+1,
525.00,1.70937061E+1,
525.500,1.51767197E+1,
526.00,1.30701151E+1,
526.500,1.52409840E+1,
527.00,1.66893597E+1,
527.500,1.96373196E+1,
528.00,1.54229755E+1,
528.500,1.69476719E+1,
529.00,1.91656818E+1,
529.500,2.06384315E+1,
530.00,1.64141083E+1,
530.500,1.64870567E+1,
531.00,1.79762478E+1,
531.500,1.88526402E+1,
532.00,1.88371086E+1,
532.500,1.74705639E+1,
533.00,1.38843269E+1,
533.500,2.06521149E+1,
534.00,9.56834888E+0,
534.500,2.15613518E+1,
535.00,1.78642502E+1,
535.500,1.94102421E+1,
536.00,1.65735111E+1,
536.500,1.74413185E+1,
537.00,1.28836098E+1,
537.500,2.44863415E+1,
538.00,9.19258881E+0,
538.500,1.53517628E+1,
539.00,1.61871719E+1,
539.500,1.32409630E+1,
540.00,1.40056868E+1,
540.500,1.80005970E+1,
541.00,1.49817266E+1,
541.500,6.33932066E+0,
542.00,7.14168787E+0,
542.500,1.11465178E+1,
543.00,1.12229452E+1,
543.500,1.60778618E+1,
544.00,1.84645443E+1,
544.500,1.86395626E+1,
545.00,1.30216951E+1,
545.500,2.12837830E+1,
546.00,1.39946775E+1,
546.500,8.27641773E+0,
547.00,1.82048798E+1,
547.500,1.25031576E+1,
548.00,2.00684052E+1,
548.500,1.34145918E+1,
549.00,1.77288055E+1,
549.500,1.69440403E+1,
550.00,1.53473949E+1,
550.500,1.70240593E+1,
551.00,1.11403008E+1,
551.500,1.55512924E+1,
552.00,1.21192474E+1,
552.500,6.93669558E+0,
553.00,9.61734390E+0,
553.500,1.31658268E+1,
554.00,1.23514290E+1,
554.500,1.69681206E+1,
555.00,1.34293308E+1,
555.500,1.07906494E+1,
556.00,1.52532063E+1,
556.500,9.07731342E+0,
557.00,1.55275841E+1,
557.500,1.46065197E+1,
558.00,1.19353189E+1,
558.500,2.03599300E+1,
559.00,1.01441164E+1,
559.500,7.45508480E+0,
560.00,1.21682663E+1,
560.500,1.31259737E+1,
561.00,1.32181215E+1,
561.500,1.70753517E+1,
562.00,1.14590244E+1,
562.500,1.15161676E+1,
563.00,1.63609695E+1,
563.500,9.68327713E+0,
564.00,1.26280079E+1,
564.500,9.74354553E+0,
565.00,1.17602930E+1,
565.500,1.86917801E+1,
566.00,1.18545485E+1,
566.500,4.98731756E+0,
567.00,1.09909945E+1,
567.500,8.06874466E+0,
568.00,1.10933075E+1,
568.500,1.11310120E+1,
569.00,9.19467640E+0,
569.500,8.19936180E+0,
570.00,1.13739071E+1,
570.500,1.34974356E+1,
571.00,1.87299652E+1,
571.500,8.39273834E+0,
572.00,2.10690856E+0,
572.500,6.34488630E+0,
573.00,7.43433380E+0,
573.500,1.06955423E+1,
574.00,1.29319019E+1,
574.500,1.30073004E+1,
575.00,5.42627096E+0,
575.500,4.36406660E+0,
576.00,8.79207516E+0,
576.500,4.38973522E+0,
577.00,6.62889719E+0,
577.500,4.46456289E+0,
578.00,6.70416784E+0,
578.500,9.03792286E+0,
579.00,9.02376938E+0,
579.500,1.36010771E+1,
580.00,8.02578926E+0,
580.500,5.71954918E+0,
581.00,9.25742722E+0,
581.500,1.39860287E+1,
582.00,3.49701023E+0,
582.500,4.69196320E+0,
583.00,1.18376327E+0,
583.500,1.18973541E+1,
584.00,5.98182869E+0,
584.500,1.31807117E+1,
585.00,3.60196853E+0,
585.500,8.49603653E+0,
586.00,4.86562347E+0,
586.500,1.35039597E+1,
587.00,-1.22866952E+0,
587.500,4.93191671E+0,
588.00,7.42573261E+0,
588.500,7.50118828E+0,
589.00,2.50328612E+0,
589.500,1.00961390E+1,
590.00,7.63275146E+0,
590.500,1.02375145E+1,
591.00,3.84811831E+0,
591.500,7.70655727E+0,
592.00,1.28938589E+1,
592.500,1.29987299E+0,
593.00,0.00000000E+0,
593.500,2.62669396E+0,
594.00,1.32666292E+1,
594.500,1.33198528E+1,
595.00,8.01311302E+0,
595.500,4.03885603E+0,
596.00,9.40463638E+0,
596.500,6.76646566E+0,
597.00,9.56554413E+0,
597.500,1.36752725E+0,
598.00,8.26335526E+0,
598.500,2.77070904E+0,
599.00,6.96355534E+0,
599.500,7.02247667E+0,
600.00,5.64544201E+0,
600.500,5.67077637E+0,
601.00,2.84273505E+0,
601.500,1.42879128E+0,
602.00,1.01230354E+1,
602.500,2.89748383E+0,
603.00,2.90169978E+0,
603.500,2.93161869E+0,
604.00,1.47600591E+0,
604.500,8.91913986E+0,
605.00,4.46151114E+0,
605.500,4.48802137E+0,
606.00,3.01952982E+0,
606.500,0.00000000E+0,
607.00,4.59940243E+0,
607.500,6.15761614E+0,
608.00,-1.55115712E+0,
608.500,1.56015193E+0,
609.00,3.13713598E+0,
609.500,4.73926306E+0,
610.00,6.34015894E+0,
610.500,4.79329109E+0,
611.00,-1.60254288E+0,
611.500,4.85437107E+0,
612.00,-3.25087738E+0,
612.500,6.55894518E+0,
613.00,4.96228266E+0,
613.500,0.00000000E+0,
614.00,3.33836794E+0,
614.500,1.67146587E+0,
615.00,0.00000000E+0,
615.500,3.40463758E+0,
616.00,0.00000000E+0,
616.500,-3.44434786E+0,
617.00,0.00000000E+0,
617.500,0.00000000E+0,
618.00,3.52439141E+0,
618.500,1.77525425E+0,
619.00,7.16963005E+0,
619.500,1.44742174E+1,
620.00,0.00000000E+0,
620.500,5.46604347E+0,
621.00,9.19603443E+0,
621.500,3.70425725E+0,
622.00,0.00000000E+0,
622.500,1.12593470E+1,
623.00,1.89456654E+0,
623.500,5.72078943E+0,
624.00,-1.91435385E+0,
624.500,1.93017232E+0,
625.00,0.00000000E+0,
625.500,1.96204245E+0,
626.00,0.00000000E+0,
626.500,1.98703289E+0,
627.00,5.98095608E+0,
627.500,0.00000000E+0,
628.00,6.10525370E+0,
628.500,-2.03712249E+0,
629.00,6.17501736E+0,
629.500,0.00000000E+0,
630.00,-4.17606020E+0,
630.500,-4.22253323E+0,
631.00,4.25568533E+0,
631.500,-2.14694118E+0,
632.00,0.00000000E+0,
632.500,-4.37088108E+0,
633.00,4.37402105E+0,
633.500,4.42744970E+0,
634.00,6.67188644E+0,
634.500,2.24433136E+0,
635.00,0.00000000E+0,
635.500,-4.55875921E+0,
636.00,0.00000000E+0,
636.500,0.00000000E+0,
637.00,7.02227163E+0,
637.500,7.08400869E+0,
638.00,4.72830439E+0,
638.500,7.14725542E+0,
639.00,0.00000000E+0,
639.500,7.30948019E+0,
640.00,2.45882273E+0,
640.500,1.73414993E+1,
641.00,1.24521618E+1,
641.500,-2.51579332E+0,
642.00,0.00000000E+0,
642.500,1.02353439E+1,
643.00,5.16054964E+0,
643.500,2.59910607E+0,
644.00,2.62994313E+0,
644.500,-5.29049492E+0,
645.00,5.35439157E+0,
645.500,0.00000000E+0,
646.00,-2.71949506E+0,
646.500,5.49209499E+0,
647.00,2.76163554E+0,
647.500,0.00000000E+0,
648.00,5.63213301E+0,
648.500,0.00000000E+0,
649.00,-5.73703671E+0,
649.500,0.00000000E+0,
650.00,0.00000000E+0,
650.500,8.86473560E+0,
651.00,2.97875381E+0,
651.500,0.00000000E+0,
652.00,0.00000000E+0,
652.500,6.15690565E+0,
653.00,3.08987188E+0,
653.500,6.24926758E+0,
654.00,6.28734446E+0,
654.500,0.00000000E+0,
655.00,2.90431995E+1,
655.500,3.25594306E+0,
656.00,-3.26991320E+0,
656.500,1.65289993E+1,
657.00,1.33890676E+1,
657.500,2.02816505E+1,
658.00,1.37364912E+1,
658.500,6.92372227E+0,
659.00,1.39723587E+1,
659.500,-3.53204393E+0,
660.00,1.07392845E+1,
660.500,3.61656880E+0,
661.00,7.35733747E+0,
661.500,1.48044558E+1,
662.00,7.52928352E+0,
662.500,7.66507006E+0,
663.00,2.71762943E+1,
663.500,1.18462620E+1,
664.00,8.00052452E+0,
664.500,2.43678093E+1,
665.00,1.66105976E+1,
665.500,0.00000000E+0,
666.00,4.26941299E+0,
666.500,1.29926853E+1,
667.00,0.00000000E+0,
667.500,3.51210365E+1,
668.00,2.23294735E+1,
668.500,2.23392639E+1,
669.00,0.00000000E+0,
669.500,1.34601793E+1,
670.00,2.70348339E+1,
670.500,1.80021095E+1,
671.00,3.16717224E+1,
671.500,1.35312328E+1,
672.00,2.72269707E+1,
672.500,4.09570236E+1,
673.00,1.35375652E+1,
673.500,2.27088947E+1,
674.00,5.44939575E+1,
674.500,3.18573494E+1,
675.00,1.36931925E+1,
675.500,1.82973423E+1,
676.00,1.37229528E+1,
676.500,3.68411522E+1,
677.00,5.50481720E+1,
677.500,4.13931961E+1,
678.00,3.22832146E+1,
678.500,4.17575836E+1,
679.00,4.16747398E+1,
679.500,2.78886909E+1,
680.00,3.78829994E+1,
680.500,4.75783424E+1,
681.00,2.86423588E+1,
681.500,2.87266693E+1,
682.00,5.27477646E+1,
682.500,5.29268837E+1,
683.00,6.26633377E+1,
683.500,3.88744659E+1,
684.00,4.35759773E+1,
684.500,7.29385529E+1,
685.00,4.40367928E+1,
685.500,5.38687286E+1,
686.00,8.84587250E+1,
686.500,2.47695293E+1,
687.00,6.44161530E+1,
687.500,5.51617661E+1,
688.00,7.48951416E+1,
688.500,4.02481995E+1,
689.00,6.55798950E+1,
689.500,6.08517990E+1,
690.00,7.13507614E+1,
690.500,7.64948730E+1,
691.00,8.77282562E+1,
691.500,4.64595718E+1,
692.00,4.68496857E+1,
692.500,7.80978546E+1,
693.00,1.20771568E+2,
693.500,1.21561760E+2,
694.00,1.27601540E+2,
694.500,1.07018753E+2,
695.00,1.50888809E+2,
695.500,1.13712700E+2,
696.00,1.52885010E+2,
696.500,8.22618103E+1,
697.00,2.15931519E+2,
697.500,1.44363220E+2,
698.00,1.56616394E+2,
698.500,1.29514343E+2,
699.00,1.24931282E+2,
699.500,1.53723541E+2,
700.00,9.79523773E+1,
700.500,2.02723099E+2,
701.00,1.45686417E+2,
701.500,1.40664108E+2,
702.00,2.30331940E+2,
702.500,1.36392548E+2,
703.00,1.50408218E+2,
703.500,1.26802567E+2,
704.00,1.75929855E+2,
704.500,2.03626144E+2,
705.00,1.97561905E+2,
705.500,1.81211166E+2,
706.00,1.63748672E+2,
706.500,1.64669479E+2,
707.00,1.66646225E+2,
707.500,1.91987381E+2,
708.00,1.61898804E+2,
708.500,1.82916153E+2,
709.00,2.16632782E+2,
709.500,1.92387024E+2,
710.00,1.66430481E+2,
710.500,2.42390686E+2,
711.00,1.97169220E+2,
711.500,2.53814987E+2,
712.00,2.20607117E+2,
712.500,2.08704880E+2,
713.00,1.54651184E+2,
713.500,2.40551956E+2,
714.00,3.00180542E+2,
714.500,2.59188141E+2,
715.00,2.67796295E+2,
715.500,2.64116364E+2,
