0.002CR

Labels,Decay4 on Em1,Decay4 on Em1F2,Decay4 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.21E05,1.21E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,1.0344061,,
dt,,,,
dtErr,,,,
A,,522.947880,,
Tau1,,53.179230,,
Tau2,,138.150280,,
Tau3,,,,
Tau4,,,,
B1,,5580.197800,,
B2,,1746.922600,,
B3,,,,
B4,,,,
Tau1Err,,0.8150620,,
Tau2Err,,3.2998965,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,96.075867,,
B2Err,,104.701930,,
B3Err,,,,
B4Err,,,,
TauAvInt,,91.289566,,
TauAvAmp,,73.437927,,
TauAvIntErr,,2.3796122,,
TauAvAmpErr,,1.3892317,,

0.00,4.98000000E+2, , ,
1000.00,5.33000000E+2, , ,
2000.00,5.35000000E+2, , ,
3000.00,4.87000000E+2, , ,
4000.00,5.22000000E+2, , ,
5000.00,4.81000000E+2, , ,
6000.00,5.27000000E+2, , ,
7000.00,5.22000000E+2, , ,
8000.00,5.11000000E+2, , ,
9000.00,4.61000000E+2, , ,
1E04,5.39000000E+2, , ,
1.1E04,5.44000000E+2, , ,
1.2E04,5.05000000E+2, , ,
1.3E04,4.98000000E+2, , ,
1.4E04,5.58000000E+2, , ,
1.5E04,5.03000000E+2, , ,
1.6E04,4.92000000E+2, , ,
1.7E04,5.51000000E+2, , ,
1.8E04,5.24000000E+2, , ,
1.9E04,5.39000000E+2, , ,
2E04,5.44000000E+2, , ,
2.1E04,5.26000000E+2, , ,
2.2E04,5.81000000E+2, , ,
2.3E04,5.95000000E+2, , ,
2.4E04,5.18000000E+2, , ,
2.5E04,4.96000000E+2, , ,
2.6E04,4.86000000E+2, , ,
2.7E04,5.04000000E+2, , ,
2.8E04,5.25000000E+2, , ,
2.9E04,6.06000000E+2, , ,
3E04,5.35000000E+2, , ,
3.1E04,5.26000000E+2, , ,
3.2E04,5.38000000E+2, , ,
3.3E04,5.17000000E+2, , ,
3.4E04,5.24000000E+2, , ,
3.5E04,5.02000000E+2, , ,
3.6E04,4.88000000E+2, , ,
