0.007CR-FITTED

Labels,Decay6 on Em1,Decay6 on Em1F2,Decay6 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.14E05,1.14E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,1.0920975,,
dt,,,,
dtErr,,,,
A,,218.737900,,
Tau1,,52.290344,,
Tau2,,122.33500,,
Tau3,,,,
Tau4,,,,
B1,,6492.43000,,
B2,,1825.367700,,
B3,,,,
B4,,,,
Tau1Err,,0.70837224,,
Tau2Err,,2.7464137,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,110.841630,,
B2Err,,120.30900,,
B3Err,,,,
B4Err,,,,
TauAvInt,,80.082581,,
TauAvAmp,,67.661865,,
TauAvIntErr,,1.8687856,,
TauAvAmpErr,,1.1559806,,

0.00,2.11000000E+2, , ,
1000.00,2.21000000E+2, , ,
2000.00,2.09000000E+2, , ,
3000.00,2.38000000E+2, , ,
4000.00,2.14000000E+2, , ,
5000.00,2.28000000E+2, , ,
6000.00,2.01000000E+2, , ,
7000.00,2.03000000E+2, , ,
8000.00,2.17000000E+2, , ,
9000.00,2.00000000E+2, , ,
1E04,2.15000000E+2, , ,
1.1E04,2.28000000E+2, , ,
1.2E04,2.13000000E+2, , ,
1.3E04,2.19000000E+2, , ,
1.4E04,2.40000000E+2, , ,
1.5E04,2.18000000E+2, , ,
1.6E04,2.22000000E+2, , ,
1.7E04,2.37000000E+2, , ,
1.8E04,2.17000000E+2, , ,
1.9E04,2.19000000E+2, , ,
2E04,2.12000000E+2, , ,
2.1E04,1.97000000E+2, , ,
2.2E04,2.37000000E+2, , ,
2.3E04,2.19000000E+2, , ,
2.4E04,2.40000000E+2, , ,
2.5E04,2.23000000E+2, , ,
2.6E04,2.04000000E+2, , ,
2.7E04,2.20000000E+2, , ,
2.8E04,2.00000000E+2, , ,
2.9E04,2.13000000E+2, , ,
3E04,2.47000000E+2, , ,
3.1E04,2.24000000E+2, , ,
3.2E04,2.23000000E+2, , ,
3.3E04,2.33000000E+2, , ,
3.4E04,2.27000000E+2, , ,
3.5E04,2.21000000E+2, , ,
3.6E04,2.23000000E+2, , ,
