Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,28.350,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.5000205,
Detector,Det2,

600.00,3.62178741E+2,
601.00,3.36669250E+2,
602.00,-1.15600647E+2,
603.00,-5.59293318E+0,
604.00,2.33306839E+2,
605.00,1.26519508E+2,
606.00,1.21127625E+2,
607.00,-5.21790791E+0,
608.00,1.29740934E+1,
609.00,-1.18585091E+2,
610.00,4.86397629E+1,
611.00,-2.51421404E+0,
612.00,2.46180248E+1,
613.00,-1.91425385E+2,
614.00,4.09002762E+1,
615.00,-4.72188301E+1,
616.00,2.64848846E+2,
617.00,7.79326859E+1,
618.00,4.46799286E+2,
619.00,1.78577698E+2,
620.00,3.47891937E+2,
621.00,3.05276737E+1,
622.00,1.85289352E+2,
623.00,9.37242966E+1,
624.00,-3.54711685E+1,
625.00,1.93596313E+2,
626.00,2.64307899E+1,
627.00,4.08191315E+2,
628.00,3.86965912E+2,
629.00,5.05673248E+2,
630.00,1.98471405E+2,
631.00,3.73135651E+2,
632.00,1.93873764E+2,
633.00,3.24856171E+2,
634.00,4.27902283E+2,
635.00,4.03961304E+2,
636.00,5.07551605E+2,
637.00,5.94597961E+2,
638.00,4.76439789E+2,
639.00,8.35612854E+2,
640.00,6.69257507E+2,
641.00,7.36886230E+2,
642.00,9.91476196E+2,
643.00,9.92585388E+2,
644.00,1.06463745E+3,
645.00,1.36018848E+3,
646.00,1.28143152E+3,
647.00,1.47060754E+3,
648.00,1.41025171E+3,
649.00,1.56092737E+3,
650.00,1.84741309E+3,
651.00,1.87661414E+3,
652.00,1.97901404E+3,
653.00,2.24042749E+3,
654.00,2.65521777E+3,
655.00,2.68033618E+3,
656.00,2.92900732E+3,
657.00,3.27115161E+3,
658.00,3.60842847E+3,
659.00,3.80075854E+3,
660.00,4.06474658E+3,
661.00,4.39899219E+3,
662.00,4.62035547E+3,
663.00,4.99682715E+3,
664.00,5.52551074E+3,
665.00,5.99653955E+3,
666.00,6.34269775E+3,
667.00,7.01921582E+3,
668.00,7.83068018E+3,
669.00,8.01789795E+3,
670.00,8.57424023E+3,
671.00,9.37326367E+3,
672.00,1.03048428E+4,
673.00,1.08536660E+4,
674.00,1.19617402E+4,
675.00,1.25794658E+4,
676.00,1.38883242E+4,
677.00,1.53975498E+4,
678.00,1.62905244E+4,
679.00,1.75789629E+4,
680.00,1.82133848E+4,
681.00,1.96883887E+4,
682.00,2.04670313E+4,
683.00,2.19770117E+4,
684.00,2.36445156E+4,
685.00,2.49703770E+4,
686.00,2.65845059E+4,
687.00,2.76732949E+4,
688.00,2.95526719E+4,
689.00,3.11952598E+4,
690.00,3.31296484E+4,
691.00,3.59489180E+4,
692.00,4.04892852E+4,
693.00,4.43687305E+4,
694.00,4.74455469E+4,
695.00,4.94132500E+4,
696.00,5.08827891E+4,
697.00,5.31711016E+4,
698.00,5.46642227E+4,
699.00,5.62001367E+4,
700.00,5.87928164E+4,
701.00,6.04326289E+4,
702.00,6.25940117E+4,
703.00,6.51609922E+4,
704.00,6.64508906E+4,
705.00,6.97090391E+4,
706.00,7.17742734E+4,
707.00,7.61955391E+4,
708.00,7.90097891E+4,
709.00,8.30138672E+4,
710.00,8.52005156E+4,
711.00,8.83762031E+4,
712.00,9.20365859E+4,
713.00,9.49371953E+4,
714.00,9.77969531E+4,
715.00,9.96252813E+4,
716.00,1.00395016E+5,
717.00,1.03925609E+5,
718.00,1.04947734E+5,
719.00,1.05538750E+5,
720.00,1.07319648E+5,
721.00,1.08787281E+5,
722.00,1.10078297E+5,
723.00,1.12174016E+5,
724.00,1.13394672E+5,
725.00,1.16435258E+5,
726.00,1.18530523E+5,
727.00,1.19863148E+5,
728.00,1.21720977E+5,
729.00,1.24433719E+5,
730.00,1.25101664E+5,
731.00,1.27203391E+5,
732.00,1.28774320E+5,
733.00,1.27955516E+5,
734.00,1.30515023E+5,
735.00,1.32051891E+5,
736.00,1.33868266E+5,
737.00,1.34583516E+5,
738.00,1.35453609E+5,
739.00,1.37309641E+5,
740.00,1.39354328E+5,
741.00,1.41252719E+5,
742.00,1.41943078E+5,
743.00,1.42589922E+5,
744.00,1.43804484E+5,
745.00,1.44472703E+5,
746.00,1.46494969E+5,
747.00,1.46488406E+5,
748.00,1.48351219E+5,
749.00,1.49863594E+5,
750.00,1.51895484E+5,
751.00,1.51587516E+5,
752.00,1.52781094E+5,
753.00,1.54850969E+5,
754.00,1.54378203E+5,
755.00,1.54805078E+5,
756.00,1.55960344E+5,
757.00,1.56807359E+5,
758.00,1.59132531E+5,
759.00,1.56675359E+5,
760.00,1.57793797E+5,
761.00,1.59040484E+5,
762.00,1.57619609E+5,
763.00,1.59784453E+5,
764.00,1.60163641E+5,
765.00,1.61459922E+5,
766.00,1.61507109E+5,
767.00,1.61501094E+5,
768.00,1.61048703E+5,
769.00,1.61223844E+5,
770.00,1.62071719E+5,
771.00,1.62528594E+5,
772.00,1.62212859E+5,
773.00,1.61713453E+5,
774.00,1.61719344E+5,
775.00,1.62472828E+5,
776.00,1.61757063E+5,
777.00,1.61867906E+5,
778.00,1.61949734E+5,
779.00,1.62423422E+5,
780.00,1.61507813E+5,
781.00,1.62030406E+5,
782.00,1.59101688E+5,
783.00,1.60741578E+5,
784.00,1.60526516E+5,
785.00,1.60226078E+5,
786.00,1.58631750E+5,
787.00,1.59730281E+5,
788.00,1.58374453E+5,
789.00,1.58125328E+5,
790.00,1.57553297E+5,
791.00,1.56815625E+5,
792.00,1.56233828E+5,
793.00,1.55369016E+5,
794.00,1.55249719E+5,
795.00,1.55254906E+5,
796.00,1.54530719E+5,
797.00,1.52456109E+5,
798.00,1.53129391E+5,
799.00,1.51432344E+5,
800.00,1.52813625E+5,
801.00,1.50626234E+5,
802.00,1.50938094E+5,
803.00,1.49290078E+5,
804.00,1.47654984E+5,
805.00,1.46798641E+5,
806.00,1.47282938E+5,
807.00,1.46375328E+5,
808.00,1.44586000E+5,
809.00,1.44227063E+5,
810.00,1.42686578E+5,
811.00,1.42098859E+5,
812.00,1.41947797E+5,
813.00,1.40063281E+5,
814.00,1.39016734E+5,
815.00,1.37480234E+5,
816.00,1.37106406E+5,
817.00,1.37052172E+5,
818.00,1.36197406E+5,
819.00,1.34991391E+5,
820.00,1.33674875E+5,
821.00,1.32136969E+5,
822.00,1.32336125E+5,
823.00,1.30840539E+5,
824.00,1.29818688E+5,
825.00,1.28949492E+5,
826.00,1.26367836E+5,
827.00,1.26638969E+5,
828.00,1.25017469E+5,
829.00,1.25130875E+5,
830.00,1.22989023E+5,
831.00,1.21051727E+5,
832.00,1.19569398E+5,
833.00,1.18987930E+5,
834.00,1.18760242E+5,
835.00,1.17370125E+5,
836.00,1.16940141E+5,
837.00,1.14941359E+5,
838.00,1.13989039E+5,
839.00,1.13898430E+5,
840.00,1.12467367E+5,
841.00,1.11162086E+5,
842.00,1.10521133E+5,
843.00,1.09122844E+5,
844.00,1.08431914E+5,
845.00,1.07036086E+5,
846.00,1.05849281E+5,
847.00,1.04432242E+5,
848.00,1.03863586E+5,
849.00,1.02568672E+5,
850.00,1.00785875E+5,
851.00,1.00474422E+5,
852.00,1.00097008E+5,
853.00,9.90686016E+4,
854.00,9.80861719E+4,
855.00,9.64231797E+4,
856.00,9.57456406E+4,
857.00,9.52246563E+4,
858.00,9.32751875E+4,
859.00,9.25161953E+4,
860.00,9.05558203E+4,
861.00,9.07299219E+4,
862.00,8.95974609E+4,
863.00,8.81547109E+4,
864.00,8.73591875E+4,
865.00,8.70345000E+4,
866.00,8.58296016E+4,
867.00,8.48700391E+4,
868.00,8.40694766E+4,
869.00,8.27581172E+4,
870.00,8.17075156E+4,
871.00,8.06492188E+4,
872.00,7.93209922E+4,
873.00,7.82918125E+4,
874.00,7.74974922E+4,
875.00,7.67782188E+4,
876.00,7.57111016E+4,
877.00,7.51389766E+4,
878.00,7.36718906E+4,
879.00,7.30290547E+4,
880.00,7.25897266E+4,
881.00,7.13337031E+4,
882.00,7.00916797E+4,
883.00,6.95815625E+4,
884.00,6.83960234E+4,
885.00,6.78358672E+4,
886.00,6.70571719E+4,
887.00,6.58259531E+4,
888.00,6.52857813E+4,
889.00,6.39871523E+4,
890.00,6.29678906E+4,
891.00,6.27416289E+4,
892.00,6.19691250E+4,
893.00,6.10372461E+4,
894.00,6.03956484E+4,
895.00,5.94627148E+4,
896.00,5.90971250E+4,
897.00,5.82252305E+4,
898.00,5.77574414E+4,
899.00,5.65975703E+4,
900.00,5.60777773E+4,
901.00,5.55484883E+4,
902.00,5.47181719E+4,
903.00,5.39685781E+4,
904.00,5.32225508E+4,
905.00,5.27694141E+4,
906.00,5.18738359E+4,
907.00,5.10804492E+4,
908.00,5.06690977E+4,
909.00,4.99060938E+4,
910.00,4.95630273E+4,
911.00,4.90037773E+4,
912.00,4.84739805E+4,
913.00,4.72770820E+4,
914.00,4.69218242E+4,
915.00,4.62412344E+4,
916.00,4.57994180E+4,
917.00,4.47571719E+4,
918.00,4.45302695E+4,
919.00,4.39721172E+4,
920.00,4.33398672E+4,
921.00,4.29783047E+4,
922.00,4.18854141E+4,
923.00,4.17035391E+4,
924.00,4.09968906E+4,
925.00,4.06449531E+4,
926.00,3.98210195E+4,
927.00,3.93547227E+4,
928.00,3.90183281E+4,
929.00,3.85705508E+4,
930.00,3.76570352E+4,
931.00,3.71551484E+4,
932.00,3.67565391E+4,
933.00,3.62209922E+4,
934.00,3.57956758E+4,
935.00,3.52364805E+4,
936.00,3.47131602E+4,
937.00,3.41104531E+4,
938.00,3.36556406E+4,
939.00,3.33040742E+4,
940.00,3.26117422E+4,
941.00,3.24414531E+4,
942.00,3.17095898E+4,
943.00,3.11969688E+4,
944.00,3.07696074E+4,
945.00,3.06444805E+4,
946.00,3.00778477E+4,
947.00,2.94956289E+4,
948.00,2.90354160E+4,
949.00,2.86333145E+4,
950.00,2.82002324E+4,
951.00,2.77047246E+4,
952.00,2.74426250E+4,
953.00,2.70730762E+4,
954.00,2.66093828E+4,
955.00,2.64445527E+4,
956.00,2.59005371E+4,
957.00,2.52035684E+4,
958.00,2.51082891E+4,
959.00,2.47078340E+4,
960.00,2.42677461E+4,
961.00,2.40545820E+4,
962.00,2.37101172E+4,
963.00,2.34566953E+4,
964.00,2.28531914E+4,
965.00,2.24239648E+4,
966.00,2.21315020E+4,
967.00,2.17575000E+4,
968.00,2.13884160E+4,
969.00,2.12322188E+4,
970.00,2.09119551E+4,
971.00,2.06011934E+4,
972.00,2.03942910E+4,
973.00,2.00719316E+4,
974.00,1.95635781E+4,
975.00,1.93845762E+4,
976.00,1.89901055E+4,
977.00,1.88567031E+4,
978.00,1.84338203E+4,
979.00,1.82154141E+4,
980.00,1.79747402E+4,
981.00,1.75564688E+4,
982.00,1.73232441E+4,
983.00,1.72628008E+4,
984.00,1.68904473E+4,
985.00,1.65839941E+4,
986.00,1.63050029E+4,
987.00,1.60964043E+4,
988.00,1.57439600E+4,
989.00,1.55290859E+4,
990.00,1.53873350E+4,
991.00,1.52098584E+4,
992.00,1.49012363E+4,
993.00,1.46406289E+4,
994.00,1.44510410E+4,
995.00,1.42419619E+4,
996.00,1.38623994E+4,
997.00,1.37905205E+4,
998.00,1.35775820E+4,
999.00,1.32988203E+4,
1000.00,1.31049521E+4,
1001.000,1.27749551E+4,
1002.000,1.25910908E+4,
1003.000,1.24848877E+4,
1004.000,1.23063848E+4,
1005.000,1.21222002E+4,
1006.000,1.18057666E+4,
1007.000,1.17670820E+4,
1008.000,1.15122813E+4,
1009.000,1.13844873E+4,
1010.00,1.11878975E+4,
1011.000,1.09276895E+4,
1012.000,1.07440996E+4,
1013.000,1.06798428E+4,
1014.000,1.04280078E+4,
1015.000,1.04423594E+4,
1016.000,1.02429873E+4,
1017.000,1.01051416E+4,
1018.000,9.95320313E+3,
1019.000,9.55042871E+3,
1020.00,9.60340723E+3,
1021.000,9.54697363E+3,
1022.000,9.28619629E+3,
1023.000,9.16548926E+3,
1024.000,9.09166699E+3,
1025.000,8.81526660E+3,
1026.000,8.71968652E+3,
1027.000,8.52883301E+3,
1028.000,8.46566406E+3,
1029.000,8.27009082E+3,
1030.00,8.15694092E+3,
1031.000,8.02745947E+3,
1032.000,7.92380908E+3,
1033.000,7.89198926E+3,
1034.000,7.69237451E+3,
1035.000,7.58836963E+3,
1036.000,7.46303857E+3,
1037.000,7.30749902E+3,
1038.000,7.11082471E+3,
1039.000,7.14066016E+3,
1040.00,7.03236035E+3,
1041.000,6.81744824E+3,
1042.000,6.70156152E+3,
1043.000,6.72693115E+3,
1044.000,6.57143311E+3,
1045.000,6.40845801E+3,
1046.000,6.35802197E+3,
1047.000,6.16191846E+3,
1048.000,6.17013135E+3,
1049.000,5.98504443E+3,
1050.00,5.89234277E+3,
1051.000,5.86892188E+3,
1052.000,5.85019043E+3,
1053.000,5.62766943E+3,
1054.000,5.63286230E+3,
1055.000,5.44776563E+3,
1056.000,5.40507666E+3,
1057.000,5.33606104E+3,
1058.000,5.22395752E+3,
1059.000,5.16708447E+3,
1060.00,5.07717725E+3,
1061.000,4.91915918E+3,
1062.000,4.94720947E+3,
1063.000,4.84045068E+3,
1064.000,4.71903076E+3,
1065.000,4.64317871E+3,
1066.000,4.55952734E+3,
1067.000,4.49665674E+3,
1068.000,4.42376904E+3,
1069.000,4.40819141E+3,
1070.00,4.32998828E+3,
1071.000,4.28466895E+3,
1072.000,4.14887549E+3,
1073.000,4.09458350E+3,
1074.000,4.05910303E+3,
1075.000,3.94405957E+3,
1076.000,3.88971436E+3,
1077.000,3.86706104E+3,
1078.000,3.78162549E+3,
1079.000,3.72278247E+3,
1080.00,3.70906396E+3,
1081.000,3.61149121E+3,
1082.000,3.59493140E+3,
1083.000,3.49238208E+3,
1084.000,3.40156616E+3,
1085.000,3.36485913E+3,
1086.000,3.34346606E+3,
1087.000,3.26184326E+3,
1088.000,3.23855273E+3,
1089.000,3.23551099E+3,
1090.00,3.15466064E+3,
1091.000,3.04113379E+3,
1092.000,3.01825439E+3,
1093.000,2.98010693E+3,
1094.000,2.89437085E+3,
1095.000,2.85612134E+3,
1096.000,2.82157959E+3,
1097.000,2.81929614E+3,
1098.000,2.67255029E+3,
1099.000,2.71638379E+3,
1100.00,2.65185840E+3,
1101.000,2.65171240E+3,
1102.000,2.57591064E+3,
1103.000,2.51851685E+3,
1104.000,2.48755518E+3,
1105.000,2.44368188E+3,
1106.000,2.40994360E+3,
1107.000,2.35362939E+3,
1108.000,2.31075781E+3,
1109.000,2.29470801E+3,
1110.00,2.26336890E+3,
1111.000,2.18959375E+3,
1112.000,2.21872363E+3,
1113.000,2.12446826E+3,
1114.000,2.16910840E+3,
1115.000,2.10870020E+3,
1116.000,2.03281775E+3,
1117.000,2.06017139E+3,
1118.000,2.00741040E+3,
1119.000,1.99378760E+3,
1120.00,1.94722156E+3,
1121.000,1.91045691E+3,
1122.000,1.88031921E+3,
1123.000,1.83992310E+3,
1124.000,1.80244165E+3,
1125.000,1.73877979E+3,
1126.000,1.79691382E+3,
1127.000,1.73616187E+3,
1128.000,1.70836511E+3,
1129.000,1.66645703E+3,
1130.00,1.67073071E+3,
1131.000,1.60725403E+3,
1132.000,1.61607825E+3,
1133.000,1.58907483E+3,
1134.000,1.64094812E+3,
1135.000,1.56680811E+3,
1136.000,1.51153015E+3,
1137.000,1.48277991E+3,
1138.000,1.41668677E+3,
1139.000,1.43451367E+3,
1140.00,1.39132092E+3,
1141.000,1.38864465E+3,
1142.000,1.31867798E+3,
1143.000,1.36763464E+3,
1144.000,1.32364270E+3,
1145.000,1.29211011E+3,
1146.000,1.27902759E+3,
1147.000,1.26917542E+3,
1148.000,1.25448511E+3,
1149.000,1.20402429E+3,
1150.00,1.19787256E+3,
1151.000,1.18828638E+3,
1152.000,1.15761401E+3,
1153.000,1.15938647E+3,
1154.000,1.15530457E+3,
1155.000,1.05766394E+3,
1156.000,1.04926001E+3,
1157.000,1.05441650E+3,
1158.000,1.05199414E+3,
1159.000,1.04452759E+3,
1160.00,1.00932660E+3,
1161.000,1.00397748E+3,
1162.000,9.81846436E+2,
1163.000,9.43815247E+2,
1164.000,9.31000122E+2,
1165.000,9.51205078E+2,
1166.000,9.25068665E+2,
1167.000,9.40590210E+2,
1168.000,8.64326538E+2,
1169.000,9.16546875E+2,
1170.00,8.38851074E+2,
1171.000,8.78657043E+2,
