Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.0000136,
Detector,Det2,

600.00,-2.47719971E+2,
601.00,6.44148193E+2,
602.00,-4.02539337E+2,
603.00,-2.26100220E+2,
604.00,1.80284882E+2,
605.00,1.28309967E+2,
606.00,-3.62553406E+2,
607.00,-1.76409103E+2,
608.00,6.69821396E+1,
609.00,-8.24809799E+1,
610.00,7.13568420E+1,
611.00,5.46878906E+2,
612.00,7.85856323E+1,
613.00,-1.01648926E+2,
614.00,-1.29728165E+2,
615.00,9.43821869E+1,
616.00,-3.69842072E+2,
617.00,-3.67003510E+2,
618.00,1.35211020E+1,
619.00,6.84791077E+2,
620.00,6.60910706E+2,
621.00,-3.12035156E+2,
622.00,2.49794312E+2,
623.00,3.01089325E+2,
624.00,-1.37865204E+2,
625.00,1.02675484E+2,
626.00,3.22963593E+2,
627.00,-4.35538971E+2,
628.00,-7.38273849E+1,
629.00,2.99869263E+2,
630.00,4.56073151E+2,
631.00,9.23652573E+1,
632.00,3.84497681E+2,
633.00,4.83009369E+2,
634.00,-7.07905960E+1,
635.00,5.55867188E+2,
636.00,8.16884338E+2,
637.00,3.67487488E+2,
638.00,4.48201813E+2,
639.00,9.34342468E+2,
640.00,7.03530029E+2,
641.00,8.70923401E+2,
642.00,7.19698425E+2,
643.00,1.23316589E+3,
644.00,9.21111267E+2,
645.00,1.46827808E+3,
646.00,1.50474902E+3,
647.00,1.75187207E+3,
648.00,1.69278137E+3,
649.00,1.74487646E+3,
650.00,2.55001709E+3,
651.00,2.43069824E+3,
652.00,2.97545313E+3,
653.00,2.77023389E+3,
654.00,2.95287158E+3,
655.00,3.27036255E+3,
656.00,3.41846094E+3,
657.00,4.00701123E+3,
658.00,4.38656494E+3,
659.00,4.76822656E+3,
660.00,5.45963184E+3,
661.00,5.60170508E+3,
662.00,5.84908057E+3,
663.00,6.66120996E+3,
664.00,7.62286523E+3,
665.00,8.18101270E+3,
666.00,8.78830176E+3,
667.00,9.45030371E+3,
668.00,1.01230195E+4,
669.00,1.08236963E+4,
670.00,1.16456064E+4,
671.00,1.27729170E+4,
672.00,1.38710342E+4,
673.00,1.49087783E+4,
674.00,1.64987480E+4,
675.00,1.76328594E+4,
676.00,1.98683281E+4,
677.00,2.09451445E+4,
678.00,2.33357578E+4,
679.00,2.50849863E+4,
680.00,2.62295879E+4,
681.00,2.80447578E+4,
682.00,2.98418125E+4,
683.00,3.23737656E+4,
684.00,3.50076484E+4,
685.00,3.71212188E+4,
686.00,3.95459805E+4,
687.00,4.18739023E+4,
688.00,4.42957227E+4,
689.00,4.68320039E+4,
690.00,5.11137813E+4,
691.00,5.59764375E+4,
692.00,6.18702734E+4,
693.00,6.76737031E+4,
694.00,7.33757031E+4,
695.00,7.76717734E+4,
696.00,8.19474141E+4,
697.00,8.60081719E+4,
698.00,9.04403906E+4,
699.00,9.38761250E+4,
700.00,9.66438906E+4,
701.00,1.00573531E+5,
702.00,1.05035109E+5,
703.00,1.08044953E+5,
704.00,1.13013750E+5,
705.00,1.17414633E+5,
706.00,1.24087742E+5,
707.00,1.27822047E+5,
708.00,1.33445500E+5,
709.00,1.40703703E+5,
710.00,1.46889297E+5,
711.00,1.51933578E+5,
712.00,1.58732172E+5,
713.00,1.66634766E+5,
714.00,1.72168266E+5,
715.00,1.78308234E+5,
716.00,1.79659172E+5,
717.00,1.85663891E+5,
718.00,1.92143781E+5,
719.00,1.96038656E+5,
720.00,1.99223156E+5,
721.00,2.03996656E+5,
722.00,2.09671016E+5,
723.00,2.12341250E+5,
724.00,2.15646000E+5,
725.00,2.20969406E+5,
726.00,2.25950359E+5,
727.00,2.30220344E+5,
728.00,2.38749578E+5,
729.00,2.43496344E+5,
730.00,2.46484219E+5,
731.00,2.50513266E+5,
732.00,2.56001297E+5,
733.00,2.60535719E+5,
734.00,2.66258063E+5,
735.00,2.70116063E+5,
736.00,2.73561156E+5,
737.00,2.78087250E+5,
738.00,2.83457813E+5,
739.00,2.86920406E+5,
740.00,2.89239313E+5,
741.00,2.95351594E+5,
742.00,3.01408313E+5,
743.00,3.06784156E+5,
744.00,3.06794156E+5,
745.00,3.13024031E+5,
746.00,3.15564125E+5,
747.00,3.19742219E+5,
748.00,3.25079000E+5,
749.00,3.30522813E+5,
750.00,3.30731219E+5,
751.00,3.34996656E+5,
752.00,3.36286375E+5,
753.00,3.43109594E+5,
754.00,3.48938031E+5,
755.00,3.50070125E+5,
756.00,3.51433000E+5,
757.00,3.59830656E+5,
758.00,3.61273906E+5,
759.00,3.62435656E+5,
760.00,3.61765375E+5,
761.00,3.66991031E+5,
762.00,3.68139750E+5,
763.00,3.74502188E+5,
764.00,3.76236281E+5,
765.00,3.81114594E+5,
766.00,3.82128906E+5,
767.00,3.83424594E+5,
768.00,3.84556844E+5,
769.00,3.85293219E+5,
770.00,3.89203906E+5,
771.00,3.92525500E+5,
772.00,3.89386906E+5,
773.00,3.92602000E+5,
774.00,3.93023406E+5,
775.00,3.95559719E+5,
776.00,4.03072313E+5,
777.00,4.02698313E+5,
778.00,4.04083875E+5,
779.00,4.08032250E+5,
780.00,4.05374094E+5,
781.00,4.04340625E+5,
782.00,4.07471250E+5,
783.00,4.09554281E+5,
784.00,4.11915344E+5,
785.00,4.10269281E+5,
786.00,4.12875469E+5,
787.00,4.12962406E+5,
788.00,4.10953125E+5,
789.00,4.12341906E+5,
790.00,4.10590188E+5,
791.00,4.12718813E+5,
792.00,4.15058000E+5,
793.00,4.12300844E+5,
794.00,4.11900969E+5,
795.00,4.14487031E+5,
796.00,4.14731563E+5,
797.00,4.15594188E+5,
798.00,4.14948781E+5,
799.00,4.14867344E+5,
800.00,4.14479375E+5,
801.00,4.13654781E+5,
802.00,4.11334469E+5,
803.00,4.07571938E+5,
804.00,4.09315500E+5,
805.00,4.06939906E+5,
806.00,4.07523938E+5,
807.00,4.10693094E+5,
808.00,4.07554719E+5,
809.00,4.04308219E+5,
810.00,4.05502344E+5,
811.00,4.04536188E+5,
812.00,4.02922656E+5,
813.00,4.04012500E+5,
814.00,3.99165750E+5,
815.00,3.97152156E+5,
816.00,3.98751531E+5,
817.00,3.97110250E+5,
818.00,3.95296875E+5,
819.00,3.91941781E+5,
820.00,3.91117219E+5,
821.00,3.90051000E+5,
822.00,3.89416594E+5,
823.00,3.86548125E+5,
824.00,3.84495344E+5,
825.00,3.81660188E+5,
826.00,3.77097406E+5,
827.00,3.75205500E+5,
828.00,3.77237594E+5,
829.00,3.76559219E+5,
830.00,3.71598688E+5,
831.00,3.69380906E+5,
832.00,3.69948844E+5,
833.00,3.66971000E+5,
834.00,3.64156875E+5,
835.00,3.63075531E+5,
836.00,3.57594719E+5,
837.00,3.58398125E+5,
838.00,3.53730281E+5,
839.00,3.52388438E+5,
840.00,3.48036313E+5,
841.00,3.50395875E+5,
842.00,3.48088344E+5,
843.00,3.44860594E+5,
844.00,3.42067188E+5,
845.00,3.38993938E+5,
846.00,3.36476906E+5,
847.00,3.30994250E+5,
848.00,3.30241969E+5,
849.00,3.28355031E+5,
850.00,3.26053375E+5,
851.00,3.21210281E+5,
852.00,3.23001750E+5,
853.00,3.18341531E+5,
854.00,3.15881594E+5,
855.00,3.10937000E+5,
856.00,3.09697594E+5,
857.00,3.09713781E+5,
858.00,3.09398063E+5,
859.00,3.03108031E+5,
860.00,2.99972813E+5,
861.00,2.98490906E+5,
862.00,2.93721594E+5,
863.00,2.93228531E+5,
864.00,2.89617813E+5,
865.00,2.86395563E+5,
866.00,2.82157906E+5,
867.00,2.81930344E+5,
868.00,2.80298344E+5,
869.00,2.75881156E+5,
870.00,2.74433469E+5,
871.00,2.68508875E+5,
872.00,2.69867594E+5,
873.00,2.66093406E+5,
874.00,2.63207813E+5,
875.00,2.59639156E+5,
876.00,2.57117609E+5,
877.00,2.56209141E+5,
878.00,2.53586188E+5,
879.00,2.49107781E+5,
880.00,2.46199594E+5,
881.00,2.43911297E+5,
882.00,2.42131391E+5,
883.00,2.40076453E+5,
884.00,2.37809781E+5,
885.00,2.35253422E+5,
886.00,2.32612938E+5,
887.00,2.29139750E+5,
888.00,2.27168641E+5,
889.00,2.24674297E+5,
890.00,2.23432844E+5,
891.00,2.20776250E+5,
892.00,2.18965203E+5,
893.00,2.16216328E+5,
894.00,2.13546266E+5,
895.00,2.12959969E+5,
896.00,2.11516156E+5,
897.00,2.08178109E+5,
898.00,2.05117813E+5,
899.00,2.02634047E+5,
900.00,2.00740828E+5,
901.00,1.98255328E+5,
902.00,1.96229469E+5,
903.00,1.93668594E+5,
904.00,1.92470797E+5,
905.00,1.89450391E+5,
906.00,1.87732953E+5,
907.00,1.84870969E+5,
908.00,1.84265797E+5,
909.00,1.82560484E+5,
910.00,1.79205547E+5,
911.00,1.77820984E+5,
912.00,1.74234531E+5,
913.00,1.73996359E+5,
914.00,1.71832984E+5,
915.00,1.69931375E+5,
916.00,1.68409922E+5,
917.00,1.64939484E+5,
918.00,1.63572906E+5,
919.00,1.61869984E+5,
920.00,1.59748781E+5,
921.00,1.57521906E+5,
922.00,1.56435844E+5,
923.00,1.54208984E+5,
924.00,1.50930531E+5,
925.00,1.49746938E+5,
926.00,1.48198344E+5,
927.00,1.46642203E+5,
928.00,1.45371766E+5,
929.00,1.42642016E+5,
930.00,1.40142656E+5,
931.00,1.39404109E+5,
932.00,1.36491672E+5,
933.00,1.36314797E+5,
934.00,1.33581828E+5,
935.00,1.31897000E+5,
936.00,1.30161297E+5,
937.00,1.28515336E+5,
938.00,1.27556156E+5,
939.00,1.25919695E+5,
940.00,1.24078898E+5,
941.00,1.22376328E+5,
942.00,1.20869594E+5,
943.00,1.19150195E+5,
944.00,1.17771516E+5,
945.00,1.16270133E+5,
946.00,1.14761227E+5,
947.00,1.13148891E+5,
948.00,1.12292945E+5,
949.00,1.10126898E+5,
950.00,1.08354742E+5,
951.00,1.07027273E+5,
952.00,1.06307961E+5,
953.00,1.04726727E+5,
954.00,1.03024773E+5,
955.00,1.00714570E+5,
956.00,1.00700414E+5,
957.00,9.89286953E+4,
958.00,9.72654297E+4,
959.00,9.58508672E+4,
960.00,9.52629609E+4,
961.00,9.33174844E+4,
962.00,9.31140469E+4,
963.00,9.12793359E+4,
964.00,8.97954766E+4,
965.00,8.84949141E+4,
966.00,8.77835547E+4,
967.00,8.63778594E+4,
968.00,8.60464531E+4,
969.00,8.47557422E+4,
970.00,8.39277734E+4,
971.00,8.26728828E+4,
972.00,8.24577344E+4,
973.00,8.09232578E+4,
974.00,8.00999297E+4,
975.00,7.93481875E+4,
976.00,7.81959844E+4,
977.00,7.72960547E+4,
978.00,7.57274922E+4,
979.00,7.50597109E+4,
980.00,7.37152422E+4,
981.00,7.30563281E+4,
982.00,7.14904688E+4,
983.00,7.03934453E+4,
984.00,7.02771797E+4,
985.00,6.89558281E+4,
986.00,6.78395859E+4,
987.00,6.67651953E+4,
988.00,6.56303359E+4,
989.00,6.52076328E+4,
990.00,6.47185625E+4,
991.00,6.33231719E+4,
992.00,6.28626641E+4,
993.00,6.18652070E+4,
994.00,6.07905625E+4,
995.00,5.99802305E+4,
996.00,5.93543828E+4,
997.00,5.77528594E+4,
998.00,5.71134180E+4,
999.00,5.63422227E+4,
1000.00,5.55097891E+4,
1001.000,5.46619258E+4,
1002.000,5.35937070E+4,
1003.000,5.31263867E+4,
1004.000,5.23772461E+4,
1005.000,5.12510469E+4,
1006.000,5.10898789E+4,
1007.000,5.02562656E+4,
1008.000,4.93541680E+4,
1009.000,4.88754922E+4,
1010.00,4.75752148E+4,
1011.000,4.71422656E+4,
1012.000,4.62911875E+4,
1013.000,4.54511797E+4,
1014.000,4.50491641E+4,
1015.000,4.46133203E+4,
1016.000,4.36921133E+4,
1017.000,4.31494297E+4,
1018.000,4.25867031E+4,
1019.000,4.18819453E+4,
1020.00,4.12317031E+4,
1021.000,4.06841563E+4,
1022.000,4.00818438E+4,
1023.000,3.96433203E+4,
1024.000,3.84782422E+4,
1025.000,3.78302383E+4,
1026.000,3.72777578E+4,
1027.000,3.71271445E+4,
1028.000,3.62931641E+4,
1029.000,3.60429883E+4,
1030.00,3.52368008E+4,
1031.000,3.50300898E+4,
1032.000,3.43798477E+4,
1033.000,3.39580703E+4,
1034.000,3.36249453E+4,
1035.000,3.29408125E+4,
1036.000,3.24822246E+4,
1037.000,3.17840742E+4,
1038.000,3.13310566E+4,
1039.000,3.12142051E+4,
1040.00,3.02033926E+4,
1041.000,2.97508711E+4,
1042.000,2.93974707E+4,
1043.000,2.91754824E+4,
1044.000,2.87156348E+4,
1045.000,2.83276816E+4,
1046.000,2.79663281E+4,
1047.000,2.72819609E+4,
1048.000,2.71358555E+4,
1049.000,2.68871035E+4,
1050.00,2.62892969E+4,
1051.000,2.59221973E+4,
1052.000,2.53957441E+4,
1053.000,2.50848750E+4,
1054.000,2.46156309E+4,
1055.000,2.45123574E+4,
1056.000,2.38730938E+4,
1057.000,2.35594297E+4,
1058.000,2.33408340E+4,
1059.000,2.30634434E+4,
1060.00,2.25273066E+4,
1061.000,2.23840313E+4,
1062.000,2.20431230E+4,
1063.000,2.16508301E+4,
1064.000,2.12613887E+4,
1065.000,2.10207246E+4,
1066.000,2.06480156E+4,
1067.000,2.01365215E+4,
1068.000,1.97307832E+4,
1069.000,1.98667070E+4,
1070.00,1.93262383E+4,
1071.000,1.92293828E+4,
1072.000,1.88128047E+4,
1073.000,1.85175117E+4,
1074.000,1.80326504E+4,
1075.000,1.80703262E+4,
1076.000,1.76569688E+4,
1077.000,1.72708457E+4,
1078.000,1.69643750E+4,
1079.000,1.65543770E+4,
1080.00,1.65454688E+4,
1081.000,1.64628965E+4,
1082.000,1.62403867E+4,
1083.000,1.57785186E+4,
1084.000,1.54602773E+4,
1085.000,1.52889648E+4,
1086.000,1.51464609E+4,
1087.000,1.46946162E+4,
1088.000,1.46175029E+4,
1089.000,1.46254912E+4,
1090.00,1.42773145E+4,
1091.000,1.38947217E+4,
1092.000,1.38027070E+4,
1093.000,1.35259434E+4,
1094.000,1.32634502E+4,
1095.000,1.31624551E+4,
1096.000,1.29024102E+4,
1097.000,1.28555713E+4,
1098.000,1.25701611E+4,
1099.000,1.24612061E+4,
1100.00,1.20720088E+4,
1101.000,1.19869023E+4,
1102.000,1.18415586E+4,
1103.000,1.16854258E+4,
1104.000,1.13968594E+4,
1105.000,1.14579551E+4,
1106.000,1.12065615E+4,
1107.000,1.10190137E+4,
1108.000,1.08068945E+4,
1109.000,1.08669053E+4,
1110.00,1.06084473E+4,
1111.000,1.03257207E+4,
1112.000,1.02461172E+4,
1113.000,1.01026416E+4,
1114.000,9.85232324E+3,
1115.000,9.77745117E+3,
1116.000,9.59701367E+3,
1117.000,9.45538867E+3,
1118.000,9.31413672E+3,
1119.000,9.36541602E+3,
1120.00,9.10958105E+3,
1121.000,8.92272852E+3,
1122.000,8.79884375E+3,
1123.000,8.70718164E+3,
1124.000,8.56009570E+3,
1125.000,8.36744336E+3,
1126.000,8.29990039E+3,
1127.000,8.14567236E+3,
1128.000,7.95860254E+3,
1129.000,7.79522070E+3,
1130.00,7.85655762E+3,
1131.000,7.80183447E+3,
1132.000,7.30105078E+3,
1133.000,7.35855225E+3,
1134.000,7.29039258E+3,
1135.000,7.29203271E+3,
1136.000,7.06796484E+3,
1137.000,6.90974414E+3,
1138.000,6.86357227E+3,
1139.000,6.84139648E+3,
1140.00,6.51985889E+3,
1141.000,6.72108789E+3,
1142.000,6.51160596E+3,
1143.000,6.36531885E+3,
1144.000,6.33423340E+3,
1145.000,6.23284863E+3,
1146.000,6.13564404E+3,
1147.000,6.09199805E+3,
1148.000,5.92386621E+3,
1149.000,5.96228613E+3,
1150.00,5.81792383E+3,
1151.000,5.77687646E+3,
1152.000,5.54085547E+3,
1153.000,5.63724561E+3,
1154.000,5.44234082E+3,
1155.000,5.25877246E+3,
1156.000,5.21820459E+3,
1157.000,5.12577539E+3,
1158.000,5.10778271E+3,
1159.000,4.98028027E+3,
1160.00,4.93086963E+3,
1161.000,4.85678223E+3,
1162.000,4.65998193E+3,
1163.000,4.76914258E+3,
1164.000,4.60134814E+3,
1165.000,4.55604053E+3,
1166.000,4.43331299E+3,
1167.000,4.40827588E+3,
1168.000,4.34703369E+3,
1169.000,4.32369824E+3,
1170.00,4.27791064E+3,
