Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,28.650,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

600.00,7.85204346E+2,
601.00,-2.68690063E+2,
602.00,2.90473602E+2,
603.00,1.09086533E+2,
604.00,-1.25157761E+2,
605.00,-6.32895279E+1,
606.00,-3.27903076E+2,
607.00,1.81076569E+2,
608.00,-6.51211319E+1,
609.00,2.88316772E+2,
610.00,2.68295258E+2,
611.00,-3.38195709E+2,
612.00,6.57310333E+1,
613.00,-1.38466919E+2,
614.00,2.80201263E+2,
615.00,3.80470001E+2,
616.00,3.14904907E+2,
617.00,-4.03826172E+2,
618.00,7.10842896E+1,
619.00,6.28252220E+1,
620.00,-6.92055941E+0,
621.00,-1.98182938E+2,
622.00,3.55494507E+2,
623.00,1.23784401E+2,
624.00,1.57850113E+2,
625.00,6.48061419E+0,
626.00,2.71792908E+2,
627.00,-2.03484406E+2,
628.00,1.21868309E+2,
629.00,3.65564972E+2,
630.00,2.38561111E+2,
631.00,-5.60448170E+0,
632.00,3.63547485E+2,
633.00,1.06562836E+2,
634.00,3.95241699E+2,
635.00,1.56716690E+2,
636.00,5.92471252E+2,
637.00,3.11966278E+2,
638.00,4.11993408E+2,
639.00,7.50426880E+2,
640.00,7.13633667E+2,
641.00,7.49846680E+2,
642.00,8.53874329E+2,
643.00,1.08081055E+3,
644.00,1.18526050E+3,
645.00,1.22262439E+3,
646.00,1.18422339E+3,
647.00,1.38475012E+3,
648.00,1.39190100E+3,
649.00,1.72049426E+3,
650.00,1.87582800E+3,
651.00,2.07220654E+3,
652.00,2.33038354E+3,
653.00,2.46006396E+3,
654.00,2.99647192E+3,
655.00,2.79115918E+3,
656.00,3.43998218E+3,
657.00,3.57276416E+3,
658.00,3.74563403E+3,
659.00,4.29765674E+3,
660.00,4.50103760E+3,
661.00,4.92331201E+3,
662.00,5.07373535E+3,
663.00,5.83764453E+3,
664.00,5.99772754E+3,
665.00,6.86731152E+3,
666.00,7.26958057E+3,
667.00,8.21321777E+3,
668.00,9.14201270E+3,
669.00,9.44736133E+3,
670.00,1.00358379E+4,
671.00,1.10812100E+4,
672.00,1.17654922E+4,
673.00,1.27903545E+4,
674.00,1.38774434E+4,
675.00,1.49388887E+4,
676.00,1.66663730E+4,
677.00,1.82091113E+4,
678.00,1.94850469E+4,
679.00,2.02502656E+4,
680.00,2.20665098E+4,
681.00,2.37647402E+4,
682.00,2.51238730E+4,
683.00,2.66494629E+4,
684.00,2.88772070E+4,
685.00,3.06238086E+4,
686.00,3.30837891E+4,
687.00,3.52357852E+4,
688.00,3.66738203E+4,
689.00,3.97946836E+4,
690.00,4.30969102E+4,
691.00,4.76218242E+4,
692.00,5.19074414E+4,
693.00,5.73484922E+4,
694.00,6.09064453E+4,
695.00,6.45946445E+4,
696.00,6.75368750E+4,
697.00,7.08702031E+4,
698.00,7.38311016E+4,
699.00,7.63198672E+4,
700.00,7.88467500E+4,
701.00,8.25599609E+4,
702.00,8.44352734E+4,
703.00,8.84292656E+4,
704.00,9.23555078E+4,
705.00,9.63393828E+4,
706.00,1.00948320E+5,
707.00,1.07034813E+5,
708.00,1.10972719E+5,
709.00,1.15512336E+5,
710.00,1.20576352E+5,
711.00,1.25809523E+5,
712.00,1.29728406E+5,
713.00,1.34753531E+5,
714.00,1.37814078E+5,
715.00,1.42148016E+5,
716.00,1.46037547E+5,
717.00,1.50131328E+5,
718.00,1.53170563E+5,
719.00,1.56617766E+5,
720.00,1.57431422E+5,
721.00,1.61383750E+5,
722.00,1.65486797E+5,
723.00,1.68933906E+5,
724.00,1.72794484E+5,
725.00,1.76782500E+5,
726.00,1.80458547E+5,
727.00,1.84811594E+5,
728.00,1.88708297E+5,
729.00,1.92909734E+5,
730.00,1.94979953E+5,
731.00,2.00721453E+5,
732.00,2.03951656E+5,
733.00,2.04418875E+5,
734.00,2.07636891E+5,
735.00,2.11554656E+5,
736.00,2.14022766E+5,
737.00,2.16332375E+5,
738.00,2.19393422E+5,
739.00,2.21750922E+5,
740.00,2.25567109E+5,
741.00,2.29477547E+5,
742.00,2.31611703E+5,
743.00,2.37705703E+5,
744.00,2.36764906E+5,
745.00,2.40566563E+5,
746.00,2.43609219E+5,
747.00,2.46118922E+5,
748.00,2.50139172E+5,
749.00,2.52538500E+5,
750.00,2.54527750E+5,
751.00,2.55515188E+5,
752.00,2.59792203E+5,
753.00,2.60152625E+5,
754.00,2.61589109E+5,
755.00,2.65046063E+5,
756.00,2.69752500E+5,
757.00,2.71299250E+5,
758.00,2.71898188E+5,
759.00,2.72852563E+5,
760.00,2.76461219E+5,
761.00,2.76921344E+5,
762.00,2.76488781E+5,
763.00,2.77071188E+5,
764.00,2.83398781E+5,
765.00,2.85550250E+5,
766.00,2.84826563E+5,
767.00,2.86392344E+5,
768.00,2.87234469E+5,
769.00,2.87126781E+5,
770.00,2.90419000E+5,
771.00,2.91753656E+5,
772.00,2.92095094E+5,
773.00,2.92316906E+5,
774.00,2.92949219E+5,
775.00,2.96322813E+5,
776.00,2.94865219E+5,
777.00,2.98617094E+5,
778.00,2.96896813E+5,
779.00,2.97787656E+5,
780.00,2.98398031E+5,
781.00,2.98853125E+5,
782.00,2.98890031E+5,
783.00,2.98971500E+5,
784.00,3.01033344E+5,
785.00,3.01306750E+5,
786.00,3.00808563E+5,
787.00,2.97905094E+5,
788.00,2.98424594E+5,
789.00,3.01164594E+5,
790.00,3.02977344E+5,
791.00,3.01443219E+5,
792.00,2.98220813E+5,
793.00,3.00478594E+5,
794.00,3.01061438E+5,
795.00,2.98394813E+5,
796.00,2.94835031E+5,
797.00,2.97540250E+5,
798.00,2.98809906E+5,
799.00,2.97242844E+5,
800.00,2.96251969E+5,
801.00,2.94898781E+5,
802.00,2.94204938E+5,
803.00,2.91115500E+5,
804.00,2.90967906E+5,
805.00,2.88985875E+5,
806.00,2.89812313E+5,
807.00,2.88947531E+5,
808.00,2.88672188E+5,
809.00,2.86634219E+5,
810.00,2.84348906E+5,
811.00,2.83740281E+5,
812.00,2.85187063E+5,
813.00,2.82499125E+5,
814.00,2.81846094E+5,
815.00,2.79517969E+5,
816.00,2.77858125E+5,
817.00,2.77708406E+5,
818.00,2.75429188E+5,
819.00,2.75997031E+5,
820.00,2.75215219E+5,
821.00,2.73474906E+5,
822.00,2.69924375E+5,
823.00,2.69049094E+5,
824.00,2.66356688E+5,
825.00,2.66819875E+5,
826.00,2.64791156E+5,
827.00,2.63816813E+5,
828.00,2.60201750E+5,
829.00,2.60893328E+5,
830.00,2.57533328E+5,
831.00,2.54902875E+5,
832.00,2.53530922E+5,
833.00,2.52825875E+5,
834.00,2.53114250E+5,
835.00,2.50299797E+5,
836.00,2.48224781E+5,
837.00,2.47335797E+5,
838.00,2.43337609E+5,
839.00,2.43983500E+5,
840.00,2.40288672E+5,
841.00,2.39438016E+5,
842.00,2.37565422E+5,
843.00,2.35962297E+5,
844.00,2.32892750E+5,
845.00,2.30745281E+5,
846.00,2.29592375E+5,
847.00,2.27621313E+5,
848.00,2.27604125E+5,
849.00,2.25124469E+5,
850.00,2.21802688E+5,
851.00,2.20335219E+5,
852.00,2.18732203E+5,
853.00,2.17167219E+5,
854.00,2.15921703E+5,
855.00,2.15216047E+5,
856.00,2.11749188E+5,
857.00,2.10904219E+5,
858.00,2.07085188E+5,
859.00,2.04070094E+5,
860.00,2.02407250E+5,
861.00,2.01977016E+5,
862.00,2.01439344E+5,
863.00,1.97378469E+5,
864.00,1.96662453E+5,
865.00,1.94558594E+5,
866.00,1.92390359E+5,
867.00,1.91290516E+5,
868.00,1.87557750E+5,
869.00,1.87329656E+5,
870.00,1.85252172E+5,
871.00,1.82727906E+5,
872.00,1.81318797E+5,
873.00,1.79877391E+5,
874.00,1.77136766E+5,
875.00,1.74375641E+5,
876.00,1.73055344E+5,
877.00,1.69812625E+5,
878.00,1.68552609E+5,
879.00,1.67332188E+5,
880.00,1.66267328E+5,
881.00,1.63189234E+5,
882.00,1.63143375E+5,
883.00,1.60856422E+5,
884.00,1.58287156E+5,
885.00,1.57495281E+5,
886.00,1.55420828E+5,
887.00,1.54763984E+5,
888.00,1.52025766E+5,
889.00,1.49168297E+5,
890.00,1.47938563E+5,
891.00,1.47127563E+5,
892.00,1.45204203E+5,
893.00,1.43542250E+5,
894.00,1.42109984E+5,
895.00,1.40433703E+5,
896.00,1.39183281E+5,
897.00,1.37872688E+5,
898.00,1.35911984E+5,
899.00,1.33867563E+5,
900.00,1.33326766E+5,
901.00,1.31433734E+5,
902.00,1.30090352E+5,
903.00,1.27889969E+5,
904.00,1.26636531E+5,
905.00,1.25566680E+5,
906.00,1.24841938E+5,
907.00,1.22087898E+5,
908.00,1.21592594E+5,
909.00,1.20399836E+5,
910.00,1.17968766E+5,
911.00,1.17323703E+5,
912.00,1.16302914E+5,
913.00,1.14476164E+5,
914.00,1.13459813E+5,
915.00,1.11188867E+5,
916.00,1.10135102E+5,
917.00,1.09119508E+5,
918.00,1.07592844E+5,
919.00,1.06400594E+5,
920.00,1.04444297E+5,
921.00,1.03371344E+5,
922.00,1.02290227E+5,
923.00,1.00517977E+5,
924.00,9.95425078E+4,
925.00,9.81191406E+4,
926.00,9.70050781E+4,
927.00,9.56467578E+4,
928.00,9.47766563E+4,
929.00,9.38036094E+4,
930.00,9.18527188E+4,
931.00,9.10658594E+4,
932.00,9.04433672E+4,
933.00,8.87967109E+4,
934.00,8.77982891E+4,
935.00,8.71015703E+4,
936.00,8.51081641E+4,
937.00,8.48079063E+4,
938.00,8.32801016E+4,
939.00,8.23283828E+4,
940.00,8.13014766E+4,
941.00,8.03460625E+4,
942.00,7.90312969E+4,
943.00,7.81577188E+4,
944.00,7.69328828E+4,
945.00,7.59329141E+4,
946.00,7.42759688E+4,
947.00,7.39626328E+4,
948.00,7.28460625E+4,
949.00,7.18689063E+4,
950.00,7.09124141E+4,
951.00,7.00377578E+4,
952.00,6.88288516E+4,
953.00,6.79347891E+4,
954.00,6.73074766E+4,
955.00,6.64307969E+4,
956.00,6.55024023E+4,
957.00,6.44341680E+4,
958.00,6.34486484E+4,
959.00,6.24715234E+4,
960.00,6.12497461E+4,
961.00,6.10850977E+4,
962.00,6.03688984E+4,
963.00,5.92480938E+4,
964.00,5.86467617E+4,
965.00,5.73573438E+4,
966.00,5.67263906E+4,
967.00,5.59903398E+4,
968.00,5.54953555E+4,
969.00,5.47809844E+4,
970.00,5.39169883E+4,
971.00,5.33842891E+4,
972.00,5.30897383E+4,
973.00,5.26347773E+4,
974.00,5.16736094E+4,
975.00,5.08940117E+4,
976.00,5.03730430E+4,
977.00,4.93409531E+4,
978.00,4.88801836E+4,
979.00,4.79090273E+4,
980.00,4.75496250E+4,
981.00,4.65399922E+4,
982.00,4.59268047E+4,
983.00,4.56198633E+4,
984.00,4.50305273E+4,
985.00,4.42096758E+4,
986.00,4.37727930E+4,
987.00,4.29571172E+4,
988.00,4.26636289E+4,
989.00,4.19446367E+4,
990.00,4.11085586E+4,
991.00,4.01558828E+4,
992.00,4.00273789E+4,
993.00,3.95707891E+4,
994.00,3.85532969E+4,
995.00,3.82473711E+4,
996.00,3.76557500E+4,
997.00,3.69760938E+4,
998.00,3.66347773E+4,
999.00,3.59431523E+4,
1000.00,3.54865586E+4,
1001.000,3.49058359E+4,
1002.000,3.43954375E+4,
1003.000,3.37888047E+4,
1004.000,3.33685117E+4,
1005.000,3.26150117E+4,
1006.000,3.23230313E+4,
1007.000,3.17879121E+4,
1008.000,3.12939375E+4,
1009.000,3.08770273E+4,
1010.00,3.03430918E+4,
1011.000,3.02158770E+4,
1012.000,2.96315176E+4,
1013.000,2.93214648E+4,
1014.000,2.86850313E+4,
1015.000,2.83645020E+4,
1016.000,2.77004980E+4,
1017.000,2.75489258E+4,
1018.000,2.70940195E+4,
1019.000,2.66343164E+4,
1020.00,2.61075820E+4,
1021.000,2.60784375E+4,
1022.000,2.54876543E+4,
1023.000,2.48473613E+4,
1024.000,2.46389453E+4,
1025.000,2.43412363E+4,
1026.000,2.38484258E+4,
1027.000,2.36224238E+4,
1028.000,2.33101543E+4,
1029.000,2.28665859E+4,
1030.00,2.26391504E+4,
1031.000,2.22895469E+4,
1032.000,2.18490254E+4,
1033.000,2.15489219E+4,
1034.000,2.11811074E+4,
1035.000,2.09113359E+4,
1036.000,2.06544648E+4,
1037.000,2.01741680E+4,
1038.000,1.99290918E+4,
1039.000,1.96390469E+4,
1040.00,1.90973613E+4,
1041.000,1.90749336E+4,
1042.000,1.88145273E+4,
1043.000,1.84596152E+4,
1044.000,1.83496953E+4,
1045.000,1.77832637E+4,
1046.000,1.75798906E+4,
1047.000,1.74438242E+4,
1048.000,1.72586992E+4,
1049.000,1.69329590E+4,
1050.00,1.67631680E+4,
1051.000,1.62379043E+4,
1052.000,1.60508643E+4,
1053.000,1.57357529E+4,
1054.000,1.55801475E+4,
1055.000,1.53438154E+4,
1056.000,1.49436494E+4,
1057.000,1.48372383E+4,
1058.000,1.45046221E+4,
1059.000,1.44956846E+4,
1060.00,1.42745518E+4,
1061.000,1.42526504E+4,
1062.000,1.38789326E+4,
1063.000,1.34555234E+4,
1064.000,1.32663252E+4,
1065.000,1.32450381E+4,
1066.000,1.31288115E+4,
1067.000,1.28169453E+4,
1068.000,1.25568750E+4,
1069.000,1.24249863E+4,
1070.00,1.21952695E+4,
1071.000,1.20689971E+4,
1072.000,1.17650117E+4,
1073.000,1.16065342E+4,
1074.000,1.13878193E+4,
1075.000,1.10534092E+4,
1076.000,1.10064551E+4,
1077.000,1.08791152E+4,
1078.000,1.06796201E+4,
1079.000,1.06232842E+4,
1080.00,1.03791318E+4,
1081.000,1.01914248E+4,
1082.000,1.02129102E+4,
1083.000,9.83567383E+3,
1084.000,9.99760156E+3,
1085.000,9.79174805E+3,
1086.000,9.33732715E+3,
1087.000,9.34719824E+3,
1088.000,9.27858594E+3,
1089.000,9.05391504E+3,
1090.00,8.95242969E+3,
1091.000,8.63961719E+3,
1092.000,8.70078320E+3,
1093.000,8.58657324E+3,
1094.000,8.39314453E+3,
1095.000,8.23681055E+3,
1096.000,8.27464844E+3,
1097.000,8.00659131E+3,
1098.000,7.86690625E+3,
1099.000,7.75387305E+3,
1100.00,7.44529932E+3,
1101.000,7.54704541E+3,
1102.000,7.39292969E+3,
1103.000,7.22250244E+3,
1104.000,7.32619336E+3,
1105.000,7.05518945E+3,
1106.000,7.10332227E+3,
1107.000,6.96142578E+3,
1108.000,6.65505518E+3,
1109.000,6.56663721E+3,
1110.00,6.53942383E+3,
1111.000,6.53050000E+3,
1112.000,6.34970703E+3,
1113.000,6.20673584E+3,
1114.000,6.16489258E+3,
1115.000,6.03841357E+3,
1116.000,5.90870557E+3,
1117.000,5.93240576E+3,
1118.000,5.85955762E+3,
1119.000,5.77655176E+3,
1120.00,5.76308350E+3,
1121.000,5.60237842E+3,
1122.000,5.43946680E+3,
1123.000,5.49427686E+3,
1124.000,5.41520215E+3,
1125.000,5.17443457E+3,
1126.000,5.15783057E+3,
1127.000,5.12126758E+3,
1128.000,4.88393555E+3,
1129.000,4.86522070E+3,
1130.00,4.81803174E+3,
1131.000,4.65414014E+3,
1132.000,4.64218506E+3,
1133.000,4.66891113E+3,
1134.000,4.60336816E+3,
1135.000,4.55049658E+3,
1136.000,4.45918066E+3,
1137.000,4.29440479E+3,
1138.000,4.34695361E+3,
1139.000,4.16484277E+3,
1140.00,4.13352832E+3,
1141.000,4.08555957E+3,
1142.000,3.93275244E+3,
1143.000,3.92687524E+3,
1144.000,3.92538647E+3,
1145.000,3.83164233E+3,
1146.000,3.80772656E+3,
1147.000,3.73733960E+3,
1148.000,3.65949902E+3,
1149.000,3.59353003E+3,
1150.00,3.59894165E+3,
1151.000,3.50435132E+3,
1152.000,3.49930542E+3,
1153.000,3.37691211E+3,
1154.000,3.31908252E+3,
1155.000,3.29819702E+3,
1156.000,3.27583423E+3,
1157.000,3.16409546E+3,
1158.000,3.16504883E+3,
1159.000,3.22837427E+3,
1160.00,3.01638110E+3,
1161.000,3.01217920E+3,
1162.000,2.99174707E+3,
1163.000,2.88872144E+3,
1164.000,2.79932886E+3,
1165.000,2.85664233E+3,
1166.000,2.81090527E+3,
1167.000,2.75929956E+3,
1168.000,2.64351587E+3,
1169.000,2.68088232E+3,
1170.00,2.54408936E+3,
