Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

600.00,1.10847809E+2,
601.00,5.61681580E+2,
602.00,2.75650940E+2,
603.00,2.67048817E+1,
604.00,3.21276550E+2,
605.00,2.05889267E+2,
606.00,4.70355377E+2,
607.00,1.04844627E+2,
608.00,4.76738312E+2,
609.00,1.65185303E+2,
610.00,3.02697876E+2,
611.00,1.53543976E+2,
612.00,4.24014954E+2,
613.00,2.22948868E+2,
614.00,2.86663147E+2,
615.00,0.00000000E+0,
616.00,3.00903442E+2,
617.00,1.50701767E+2,
618.00,-9.06957703E+1,
619.00,6.41973114E+1,
620.00,2.63107513E+2,
621.00,9.09603729E+1,
622.00,2.29187057E+2,
623.00,3.09173615E+2,
624.00,3.37113800E+2,
625.00,2.25675034E+2,
626.00,2.56784332E+2,
627.00,4.88898895E+2,
628.00,1.65535538E+2,
629.00,4.14185272E+2,
630.00,2.49283218E+2,
631.00,4.66962891E+2,
632.00,5.10833496E+2,
633.00,4.96313354E+2,
634.00,5.14913635E+2,
635.00,7.17907593E+2,
636.00,7.73313477E+2,
637.00,8.84642151E+2,
638.00,9.45805969E+2,
639.00,8.41971863E+2,
640.00,7.43814331E+2,
641.00,1.11733960E+3,
642.00,1.34086584E+3,
643.00,1.45064221E+3,
644.00,1.68846204E+3,
645.00,1.66407996E+3,
646.00,1.72056213E+3,
647.00,2.29105225E+3,
648.00,2.26637354E+3,
649.00,2.49687231E+3,
650.00,2.56999780E+3,
651.00,2.67754028E+3,
652.00,3.41665527E+3,
653.00,3.33430762E+3,
654.00,3.73768335E+3,
655.00,3.91445190E+3,
656.00,4.54020703E+3,
657.00,5.03559229E+3,
658.00,5.32470703E+3,
659.00,5.62329346E+3,
660.00,6.16523975E+3,
661.00,6.88513184E+3,
662.00,7.26737256E+3,
663.00,7.79940332E+3,
664.00,8.32844434E+3,
665.00,8.78717676E+3,
666.00,9.47554102E+3,
667.00,1.04812598E+4,
668.00,1.10241699E+4,
669.00,1.24549209E+4,
670.00,1.30257793E+4,
671.00,1.45541836E+4,
672.00,1.50429961E+4,
673.00,1.69021914E+4,
674.00,1.76607266E+4,
675.00,2.02864492E+4,
676.00,2.12224766E+4,
677.00,2.33223926E+4,
678.00,2.52441895E+4,
679.00,2.65544395E+4,
680.00,2.80414434E+4,
681.00,2.97968105E+4,
682.00,3.13825586E+4,
683.00,3.40166836E+4,
684.00,3.58277891E+4,
685.00,3.90810156E+4,
686.00,4.09084961E+4,
687.00,4.26579727E+4,
688.00,4.51795859E+4,
689.00,4.73873672E+4,
690.00,5.27724688E+4,
691.00,5.93589570E+4,
692.00,6.77330938E+4,
693.00,7.54739297E+4,
694.00,7.90611875E+4,
695.00,8.23685391E+4,
696.00,8.52785234E+4,
697.00,8.74779922E+4,
698.00,9.10879688E+4,
699.00,9.27588594E+4,
700.00,9.51007266E+4,
701.00,9.78983359E+4,
702.00,1.01621555E+5,
703.00,1.03423711E+5,
704.00,1.07830938E+5,
705.00,1.12541188E+5,
706.00,1.16641773E+5,
707.00,1.23213781E+5,
708.00,1.28620305E+5,
709.00,1.33446641E+5,
710.00,1.38420453E+5,
711.00,1.43741172E+5,
712.00,1.49561125E+5,
713.00,1.53849250E+5,
714.00,1.56168234E+5,
715.00,1.58733594E+5,
716.00,1.62646078E+5,
717.00,1.64622422E+5,
718.00,1.67061750E+5,
719.00,1.69452563E+5,
720.00,1.72010297E+5,
721.00,1.75390453E+5,
722.00,1.79365906E+5,
723.00,1.83090625E+5,
724.00,1.86465984E+5,
725.00,1.90747313E+5,
726.00,1.94236531E+5,
727.00,1.98826547E+5,
728.00,2.02969000E+5,
729.00,2.07157609E+5,
730.00,2.07186531E+5,
731.00,2.11021578E+5,
732.00,2.13105656E+5,
733.00,2.13537219E+5,
734.00,2.19007156E+5,
735.00,2.19443797E+5,
736.00,2.24015688E+5,
737.00,2.29652234E+5,
738.00,2.30538625E+5,
739.00,2.34265563E+5,
740.00,2.36897438E+5,
741.00,2.41859203E+5,
742.00,2.44579609E+5,
743.00,2.49379203E+5,
744.00,2.51735969E+5,
745.00,2.54072031E+5,
746.00,2.56314406E+5,
747.00,2.57871047E+5,
748.00,2.61562203E+5,
749.00,2.64168094E+5,
750.00,2.66886750E+5,
751.00,2.68643125E+5,
752.00,2.70491344E+5,
753.00,2.74502688E+5,
754.00,2.75190688E+5,
755.00,2.79478156E+5,
756.00,2.82829781E+5,
757.00,2.82132188E+5,
758.00,2.85117875E+5,
759.00,2.86569094E+5,
760.00,2.88576531E+5,
761.00,2.92532063E+5,
762.00,2.92469906E+5,
763.00,2.94879813E+5,
764.00,2.95531500E+5,
765.00,2.97453094E+5,
766.00,3.02270813E+5,
767.00,3.01255344E+5,
768.00,3.02511063E+5,
769.00,3.03683250E+5,
770.00,3.07811781E+5,
771.00,3.07424000E+5,
772.00,3.07082500E+5,
773.00,3.09128188E+5,
774.00,3.10944000E+5,
775.00,3.10966813E+5,
776.00,3.13058188E+5,
777.00,3.13520219E+5,
778.00,3.14567438E+5,
779.00,3.15253281E+5,
780.00,3.13543250E+5,
781.00,3.16644938E+5,
782.00,3.17721531E+5,
783.00,3.16670094E+5,
784.00,3.19655844E+5,
785.00,3.18147781E+5,
786.00,3.15243250E+5,
787.00,3.17965750E+5,
788.00,3.16815063E+5,
789.00,3.17808063E+5,
790.00,3.18964281E+5,
791.00,3.16244094E+5,
792.00,3.18523375E+5,
793.00,3.15982250E+5,
794.00,3.18258000E+5,
795.00,3.16686625E+5,
796.00,3.16261344E+5,
797.00,3.16890813E+5,
798.00,3.17525813E+5,
799.00,3.16247875E+5,
800.00,3.16603281E+5,
801.00,3.15989656E+5,
802.00,3.12711156E+5,
803.00,3.12095375E+5,
804.00,3.12887250E+5,
805.00,3.09383156E+5,
806.00,3.12266531E+5,
807.00,3.09280719E+5,
808.00,3.11282625E+5,
809.00,3.08782125E+5,
810.00,3.07417313E+5,
811.00,3.05718719E+5,
812.00,3.06006531E+5,
813.00,3.02565813E+5,
814.00,3.01770938E+5,
815.00,3.01622313E+5,
816.00,2.98220094E+5,
817.00,2.98664313E+5,
818.00,2.98532906E+5,
819.00,2.98157750E+5,
820.00,2.94560281E+5,
821.00,2.94557219E+5,
822.00,2.91776313E+5,
823.00,2.91529531E+5,
824.00,2.89860000E+5,
825.00,2.88944719E+5,
826.00,2.87109281E+5,
827.00,2.85046500E+5,
828.00,2.82717344E+5,
829.00,2.81162625E+5,
830.00,2.77761625E+5,
831.00,2.76568281E+5,
832.00,2.77561969E+5,
833.00,2.74344938E+5,
834.00,2.73281844E+5,
835.00,2.70499656E+5,
836.00,2.68788250E+5,
837.00,2.66277031E+5,
838.00,2.66369063E+5,
839.00,2.63204688E+5,
840.00,2.62133109E+5,
841.00,2.60974063E+5,
842.00,2.59469047E+5,
843.00,2.56098813E+5,
844.00,2.54246703E+5,
845.00,2.54111391E+5,
846.00,2.51887641E+5,
847.00,2.51630391E+5,
848.00,2.48918641E+5,
849.00,2.47219781E+5,
850.00,2.43738000E+5,
851.00,2.42605969E+5,
852.00,2.40119875E+5,
853.00,2.40215281E+5,
854.00,2.36644547E+5,
855.00,2.36031766E+5,
856.00,2.34434094E+5,
857.00,2.32491797E+5,
858.00,2.31174672E+5,
859.00,2.28017188E+5,
860.00,2.26584203E+5,
861.00,2.23087141E+5,
862.00,2.22144969E+5,
863.00,2.20289391E+5,
864.00,2.17915172E+5,
865.00,2.16024953E+5,
866.00,2.15276594E+5,
867.00,2.10607688E+5,
868.00,2.09070266E+5,
869.00,2.08675266E+5,
870.00,2.06187563E+5,
871.00,2.04050547E+5,
872.00,2.02506219E+5,
873.00,1.99506063E+5,
874.00,1.98914297E+5,
875.00,1.95977375E+5,
876.00,1.92986266E+5,
877.00,1.92599391E+5,
878.00,1.90757438E+5,
879.00,1.88248516E+5,
880.00,1.86028719E+5,
881.00,1.84556750E+5,
882.00,1.82445766E+5,
883.00,1.80698188E+5,
884.00,1.79975047E+5,
885.00,1.76360047E+5,
886.00,1.75820344E+5,
887.00,1.74692328E+5,
888.00,1.71692594E+5,
889.00,1.70152844E+5,
890.00,1.67721781E+5,
891.00,1.65859844E+5,
892.00,1.64722422E+5,
893.00,1.62159953E+5,
894.00,1.60873438E+5,
895.00,1.59766000E+5,
896.00,1.57165031E+5,
897.00,1.55753000E+5,
898.00,1.53257813E+5,
899.00,1.53001469E+5,
900.00,1.50768125E+5,
901.00,1.49361703E+5,
902.00,1.47420859E+5,
903.00,1.44721750E+5,
904.00,1.44126719E+5,
905.00,1.41959531E+5,
906.00,1.41323641E+5,
907.00,1.39185703E+5,
908.00,1.37756734E+5,
909.00,1.36709250E+5,
910.00,1.34967641E+5,
911.00,1.33179469E+5,
912.00,1.32048063E+5,
913.00,1.31180063E+5,
914.00,1.29302195E+5,
915.00,1.27456109E+5,
916.00,1.25023711E+5,
917.00,1.24793172E+5,
918.00,1.22707945E+5,
919.00,1.21243500E+5,
920.00,1.20293320E+5,
921.00,1.18259227E+5,
922.00,1.16953016E+5,
923.00,1.14728547E+5,
924.00,1.13565609E+5,
925.00,1.12532609E+5,
926.00,1.10581156E+5,
927.00,1.09060641E+5,
928.00,1.08439961E+5,
929.00,1.07018531E+5,
930.00,1.05606961E+5,
931.00,1.04595109E+5,
932.00,1.03474563E+5,
933.00,1.01935273E+5,
934.00,1.00981328E+5,
935.00,9.96997266E+4,
936.00,9.76701172E+4,
937.00,9.70048125E+4,
938.00,9.58621250E+4,
939.00,9.41346953E+4,
940.00,9.26437109E+4,
941.00,9.12919219E+4,
942.00,9.08016484E+4,
943.00,8.92668516E+4,
944.00,8.80836172E+4,
945.00,8.73765313E+4,
946.00,8.59272500E+4,
947.00,8.41159609E+4,
948.00,8.34578828E+4,
949.00,8.27429375E+4,
950.00,8.06176641E+4,
951.00,7.98576016E+4,
952.00,7.93836719E+4,
953.00,7.82230625E+4,
954.00,7.71250625E+4,
955.00,7.59841250E+4,
956.00,7.44832266E+4,
957.00,7.35410078E+4,
958.00,7.28734844E+4,
959.00,7.17169766E+4,
960.00,7.08780547E+4,
961.00,6.99841328E+4,
962.00,6.95139922E+4,
963.00,6.83220000E+4,
964.00,6.69609844E+4,
965.00,6.63054375E+4,
966.00,6.52373711E+4,
967.00,6.45118398E+4,
968.00,6.33453281E+4,
969.00,6.29205313E+4,
970.00,6.19194297E+4,
971.00,6.15039414E+4,
972.00,6.10308711E+4,
973.00,6.01816445E+4,
974.00,5.90533594E+4,
975.00,5.80735508E+4,
976.00,5.77356953E+4,
977.00,5.68325391E+4,
978.00,5.57401602E+4,
979.00,5.48546172E+4,
980.00,5.43966953E+4,
981.00,5.35632500E+4,
982.00,5.29129453E+4,
983.00,5.22426484E+4,
984.00,5.13665273E+4,
985.00,5.06600742E+4,
986.00,4.99522031E+4,
987.00,4.90969766E+4,
988.00,4.84692422E+4,
989.00,4.74876953E+4,
990.00,4.68894609E+4,
991.00,4.62612031E+4,
992.00,4.61712617E+4,
993.00,4.54609141E+4,
994.00,4.41722383E+4,
995.00,4.36224766E+4,
996.00,4.32841641E+4,
997.00,4.24140664E+4,
998.00,4.17419570E+4,
999.00,4.10495430E+4,
1000.00,4.04441250E+4,
1001.000,3.99954336E+4,
1002.000,3.94678828E+4,
1003.000,3.87390859E+4,
1004.000,3.83029258E+4,
1005.000,3.72022266E+4,
1006.000,3.71130469E+4,
1007.000,3.64620977E+4,
1008.000,3.59491133E+4,
1009.000,3.52954453E+4,
1010.00,3.51460898E+4,
1011.000,3.44630703E+4,
1012.000,3.41233789E+4,
1013.000,3.33898906E+4,
1014.000,3.30908242E+4,
1015.000,3.27206953E+4,
1016.000,3.20323691E+4,
1017.000,3.16854785E+4,
1018.000,3.11731816E+4,
1019.000,3.06280840E+4,
1020.00,3.00209883E+4,
1021.000,2.95964531E+4,
1022.000,2.90417969E+4,
1023.000,2.86758184E+4,
1024.000,2.84812617E+4,
1025.000,2.80571836E+4,
1026.000,2.76366016E+4,
1027.000,2.71035352E+4,
1028.000,2.69110957E+4,
1029.000,2.63521758E+4,
1030.00,2.59544199E+4,
1031.000,2.53890254E+4,
1032.000,2.51465762E+4,
1033.000,2.49845996E+4,
1034.000,2.43475586E+4,
1035.000,2.41278086E+4,
1036.000,2.37639375E+4,
1037.000,2.29155820E+4,
1038.000,2.31132324E+4,
1039.000,2.26729805E+4,
1040.00,2.23689785E+4,
1041.000,2.19066504E+4,
1042.000,2.16450957E+4,
1043.000,2.12752715E+4,
1044.000,2.08488672E+4,
1045.000,2.07644570E+4,
1046.000,2.03691094E+4,
1047.000,2.01450547E+4,
1048.000,1.95891602E+4,
1049.000,1.94876934E+4,
1050.00,1.90956191E+4,
1051.000,1.87961699E+4,
1052.000,1.83196777E+4,
1053.000,1.82093887E+4,
1054.000,1.80094102E+4,
1055.000,1.77964160E+4,
1056.000,1.76927793E+4,
1057.000,1.71805566E+4,
1058.000,1.67302969E+4,
1059.000,1.66507207E+4,
1060.00,1.63305820E+4,
1061.000,1.61414316E+4,
1062.000,1.57943486E+4,
1063.000,1.56582246E+4,
1064.000,1.54394375E+4,
1065.000,1.50882266E+4,
1066.000,1.49519609E+4,
1067.000,1.46703389E+4,
1068.000,1.45167568E+4,
1069.000,1.41124619E+4,
1070.00,1.40404678E+4,
1071.000,1.37744805E+4,
1072.000,1.36299336E+4,
1073.000,1.34467988E+4,
1074.000,1.32347813E+4,
1075.000,1.29728799E+4,
1076.000,1.27054814E+4,
1077.000,1.25606953E+4,
1078.000,1.25087539E+4,
1079.000,1.21116553E+4,
1080.00,1.20155605E+4,
1081.000,1.17734414E+4,
1082.000,1.15387920E+4,
1083.000,1.12431719E+4,
1084.000,1.12545908E+4,
1085.000,1.11765859E+4,
1086.000,1.08438379E+4,
1087.000,1.06834775E+4,
1088.000,1.05930781E+4,
1089.000,1.04633926E+4,
1090.00,1.02960576E+4,
1091.000,1.01784053E+4,
1092.000,1.00912451E+4,
1093.000,9.79007227E+3,
1094.000,9.70097656E+3,
1095.000,9.38014551E+3,
1096.000,9.36220801E+3,
1097.000,9.24732324E+3,
1098.000,9.03034082E+3,
1099.000,8.93229785E+3,
1100.00,8.78839063E+3,
1101.000,8.68156348E+3,
1102.000,8.48596387E+3,
1103.000,8.30188184E+3,
1104.000,8.27351953E+3,
1105.000,8.14353027E+3,
1106.000,8.00084229E+3,
1107.000,7.85721045E+3,
1108.000,7.83747070E+3,
1109.000,7.67369141E+3,
1110.00,7.52697314E+3,
1111.000,7.47112256E+3,
1112.000,7.29038721E+3,
1113.000,7.16835791E+3,
1114.000,7.11061426E+3,
1115.000,6.99381787E+3,
1116.000,6.82844824E+3,
1117.000,7.00395898E+3,
1118.000,6.83545068E+3,
1119.000,6.53342285E+3,
1120.00,6.46822559E+3,
1121.000,6.43691553E+3,
1122.000,6.43005469E+3,
1123.000,6.15191455E+3,
1124.000,6.17680322E+3,
1125.000,5.90457764E+3,
1126.000,6.00078760E+3,
1127.000,5.87729248E+3,
1128.000,5.70799658E+3,
1129.000,5.64932178E+3,
1130.00,5.55588672E+3,
1131.000,5.43865283E+3,
1132.000,5.36723145E+3,
1133.000,5.31450342E+3,
1134.000,5.33558350E+3,
1135.000,5.22806396E+3,
1136.000,5.12875000E+3,
1137.000,5.05236377E+3,
1138.000,4.96001221E+3,
1139.000,4.86859082E+3,
1140.00,4.77272412E+3,
1141.000,4.67312598E+3,
1142.000,4.45530957E+3,
1143.000,4.60147021E+3,
1144.000,4.56804639E+3,
1145.000,4.42285645E+3,
1146.000,4.37801416E+3,
1147.000,4.27234082E+3,
1148.000,4.29844092E+3,
1149.000,4.17526465E+3,
1150.00,4.07497656E+3,
1151.000,4.01301245E+3,
1152.000,4.03684961E+3,
1153.000,3.88482251E+3,
1154.000,3.87432373E+3,
1155.000,3.78625513E+3,
1156.000,3.72226758E+3,
1157.000,3.65111963E+3,
1158.000,3.73225952E+3,
1159.000,3.56835693E+3,
1160.00,3.50435425E+3,
1161.000,3.50112744E+3,
1162.000,3.35327930E+3,
1163.000,3.39108789E+3,
1164.000,3.34626245E+3,
1165.000,3.20521582E+3,
1166.000,3.15709717E+3,
1167.000,3.21289893E+3,
1168.000,3.11951196E+3,
1169.000,3.13394580E+3,
1170.00,3.02406055E+3,
1171.000,3.01929907E+3,
