Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.0,
Scan Polariser,None,
Scan Slit,3.8000171,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.8000042,
Detector,Det2,

600.00,2.42175034E+2,
601.00,2.30575821E+2,
602.00,5.64164551E+2,
603.00,5.06332001E+2,
604.00,3.32417328E+2,
605.00,3.11497498E+2,
606.00,5.23936279E+2,
607.00,6.09100769E+2,
608.00,1.04875618E+2,
609.00,5.56329765E+1,
610.00,3.76292877E+2,
611.00,3.68368591E+2,
612.00,4.59284851E+2,
613.00,1.93514465E+2,
614.00,5.36878357E+2,
615.00,3.39848846E+2,
616.00,3.10430145E+2,
617.00,2.16893280E+2,
618.00,3.52714233E+2,
619.00,3.85074341E+2,
620.00,3.43878937E+2,
621.00,2.33144455E+2,
622.00,3.29492981E+2,
623.00,4.24940643E+2,
624.00,4.84373474E+2,
625.00,1.96466980E+2,
626.00,5.74498169E+2,
627.00,4.52129822E+2,
628.00,3.87691010E+2,
629.00,3.29334900E+2,
630.00,6.85971069E+2,
631.00,5.68622559E+2,
632.00,5.51926880E+2,
633.00,5.55556091E+2,
634.00,5.72140442E+2,
635.00,9.06559387E+2,
636.00,6.21257385E+2,
637.00,6.12729431E+2,
638.00,8.74652039E+2,
639.00,8.22615662E+2,
640.00,7.90356995E+2,
641.00,8.28200562E+2,
642.00,1.04655249E+3,
643.00,1.07986267E+3,
644.00,1.44558289E+3,
645.00,1.47337769E+3,
646.00,1.54762573E+3,
647.00,1.55996472E+3,
648.00,1.51172595E+3,
649.00,1.99977075E+3,
650.00,2.02061658E+3,
651.00,2.15606958E+3,
652.00,2.63295386E+3,
653.00,2.69941064E+3,
654.00,2.96705444E+3,
655.00,3.17538257E+3,
656.00,3.53101978E+3,
657.00,3.45056006E+3,
658.00,3.79292236E+3,
659.00,4.29061328E+3,
660.00,4.61714551E+3,
661.00,4.95388721E+3,
662.00,5.44641455E+3,
663.00,5.84423486E+3,
664.00,6.15055908E+3,
665.00,6.79582080E+3,
666.00,7.50853955E+3,
667.00,7.99250977E+3,
668.00,8.70598535E+3,
669.00,9.51556055E+3,
670.00,9.96875293E+3,
671.00,1.09432480E+4,
672.00,1.15523633E+4,
673.00,1.27416924E+4,
674.00,1.32487178E+4,
675.00,1.50039336E+4,
676.00,1.63309023E+4,
677.00,1.79060566E+4,
678.00,1.92175273E+4,
679.00,2.02147402E+4,
680.00,2.17221348E+4,
681.00,2.31635957E+4,
682.00,2.51718652E+4,
683.00,2.66964238E+4,
684.00,2.85294375E+4,
685.00,3.05838438E+4,
686.00,3.23187598E+4,
687.00,3.48362617E+4,
688.00,3.65534258E+4,
689.00,3.87061094E+4,
690.00,4.23512930E+4,
691.00,4.66545938E+4,
692.00,5.08835234E+4,
693.00,5.59119492E+4,
694.00,6.06178281E+4,
695.00,6.34676055E+4,
696.00,6.61688125E+4,
697.00,6.98260234E+4,
698.00,7.19418984E+4,
699.00,7.64415078E+4,
700.00,7.75193984E+4,
701.00,8.02780391E+4,
702.00,8.35569844E+4,
703.00,8.77506484E+4,
704.00,9.13535391E+4,
705.00,9.53510938E+4,
706.00,1.00490672E+5,
707.00,1.04120305E+5,
708.00,1.09596305E+5,
709.00,1.14685938E+5,
710.00,1.19144484E+5,
711.00,1.23119219E+5,
712.00,1.28911992E+5,
713.00,1.34989969E+5,
714.00,1.37799531E+5,
715.00,1.42234109E+5,
716.00,1.45437375E+5,
717.00,1.50195328E+5,
718.00,1.52154453E+5,
719.00,1.55179313E+5,
720.00,1.59336031E+5,
721.00,1.61714453E+5,
722.00,1.66711781E+5,
723.00,1.68897891E+5,
724.00,1.72081781E+5,
725.00,1.75162969E+5,
726.00,1.79982516E+5,
727.00,1.84352891E+5,
728.00,1.87983484E+5,
729.00,1.92542422E+5,
730.00,1.95077266E+5,
731.00,1.98631344E+5,
732.00,2.02467547E+5,
733.00,2.03342844E+5,
734.00,2.08126078E+5,
735.00,2.11336141E+5,
736.00,2.14469469E+5,
737.00,2.18090984E+5,
738.00,2.20624219E+5,
739.00,2.22050938E+5,
740.00,2.26952469E+5,
741.00,2.31488063E+5,
742.00,2.34654984E+5,
743.00,2.39113203E+5,
744.00,2.38536328E+5,
745.00,2.41480953E+5,
746.00,2.42793656E+5,
747.00,2.46202359E+5,
748.00,2.49982734E+5,
749.00,2.53827031E+5,
750.00,2.54522922E+5,
751.00,2.56919156E+5,
752.00,2.61715234E+5,
753.00,2.61771359E+5,
754.00,2.66158594E+5,
755.00,2.69565625E+5,
756.00,2.70312688E+5,
757.00,2.72537125E+5,
758.00,2.75536719E+5,
759.00,2.75899188E+5,
760.00,2.78083469E+5,
761.00,2.79483438E+5,
762.00,2.80230594E+5,
763.00,2.81688594E+5,
764.00,2.82992188E+5,
765.00,2.86571594E+5,
766.00,2.88224594E+5,
767.00,2.89845969E+5,
768.00,2.89158688E+5,
769.00,2.91374938E+5,
770.00,2.92868844E+5,
771.00,2.93836063E+5,
772.00,2.93930625E+5,
773.00,2.96989063E+5,
774.00,2.97285563E+5,
775.00,2.97210656E+5,
776.00,2.98927156E+5,
777.00,3.00148688E+5,
778.00,3.01271031E+5,
779.00,3.00425281E+5,
780.00,3.02064375E+5,
781.00,3.03605125E+5,
782.00,3.03676813E+5,
783.00,3.03733750E+5,
784.00,3.05123719E+5,
785.00,3.04341094E+5,
786.00,3.03263063E+5,
787.00,3.03242406E+5,
788.00,3.01649031E+5,
789.00,3.02806688E+5,
790.00,3.01214531E+5,
791.00,3.03851313E+5,
792.00,3.02724531E+5,
793.00,3.01689594E+5,
794.00,3.03006875E+5,
795.00,3.03791313E+5,
796.00,3.00771594E+5,
797.00,3.01508938E+5,
798.00,2.99818000E+5,
799.00,3.00976313E+5,
800.00,3.00797531E+5,
801.00,2.98081250E+5,
802.00,2.98012000E+5,
803.00,2.96300063E+5,
804.00,2.96070531E+5,
805.00,2.94108844E+5,
806.00,2.94641594E+5,
807.00,2.92913094E+5,
808.00,2.92193219E+5,
809.00,2.89974594E+5,
810.00,2.91051219E+5,
811.00,2.90140969E+5,
812.00,2.89195219E+5,
813.00,2.87489719E+5,
814.00,2.86857500E+5,
815.00,2.85292688E+5,
816.00,2.83975688E+5,
817.00,2.81584406E+5,
818.00,2.81560563E+5,
819.00,2.79124594E+5,
820.00,2.76927906E+5,
821.00,2.74461813E+5,
822.00,2.74836781E+5,
823.00,2.73496688E+5,
824.00,2.72280219E+5,
825.00,2.70081906E+5,
826.00,2.66022531E+5,
827.00,2.65669656E+5,
828.00,2.64599250E+5,
829.00,2.64431438E+5,
830.00,2.60771594E+5,
831.00,2.58672047E+5,
832.00,2.56014250E+5,
833.00,2.55649266E+5,
834.00,2.52888469E+5,
835.00,2.50324422E+5,
836.00,2.50961000E+5,
837.00,2.48325500E+5,
838.00,2.45954078E+5,
839.00,2.45931094E+5,
840.00,2.43645969E+5,
841.00,2.42958609E+5,
842.00,2.40346484E+5,
843.00,2.37843094E+5,
844.00,2.36138984E+5,
845.00,2.34861859E+5,
846.00,2.33837547E+5,
847.00,2.31193141E+5,
848.00,2.29293859E+5,
849.00,2.26366297E+5,
850.00,2.25571891E+5,
851.00,2.22812813E+5,
852.00,2.22228297E+5,
853.00,2.19893922E+5,
854.00,2.18622125E+5,
855.00,2.17004547E+5,
856.00,2.14207547E+5,
857.00,2.12130922E+5,
858.00,2.10139844E+5,
859.00,2.06869375E+5,
860.00,2.05621391E+5,
861.00,2.03743625E+5,
862.00,2.03236563E+5,
863.00,2.01500375E+5,
864.00,1.97701188E+5,
865.00,1.97120250E+5,
866.00,1.96058266E+5,
867.00,1.93227281E+5,
868.00,1.90515781E+5,
869.00,1.88041234E+5,
870.00,1.87235938E+5,
871.00,1.84978828E+5,
872.00,1.81645922E+5,
873.00,1.80517953E+5,
874.00,1.80416328E+5,
875.00,1.76493516E+5,
876.00,1.74381984E+5,
877.00,1.74300500E+5,
878.00,1.71345578E+5,
879.00,1.68569047E+5,
880.00,1.68563188E+5,
881.00,1.64548359E+5,
882.00,1.63303328E+5,
883.00,1.63539000E+5,
884.00,1.61985109E+5,
885.00,1.58438938E+5,
886.00,1.57987422E+5,
887.00,1.55212984E+5,
888.00,1.52916203E+5,
889.00,1.51540844E+5,
890.00,1.50208688E+5,
891.00,1.49351469E+5,
892.00,1.47914859E+5,
893.00,1.46670813E+5,
894.00,1.44187828E+5,
895.00,1.42209406E+5,
896.00,1.41157047E+5,
897.00,1.39514016E+5,
898.00,1.38021563E+5,
899.00,1.35781016E+5,
900.00,1.35236359E+5,
901.00,1.33691875E+5,
902.00,1.32701391E+5,
903.00,1.30711508E+5,
904.00,1.29118109E+5,
905.00,1.27268484E+5,
906.00,1.25731984E+5,
907.00,1.25052547E+5,
908.00,1.23824867E+5,
909.00,1.22214359E+5,
910.00,1.20546922E+5,
911.00,1.19346906E+5,
912.00,1.17755984E+5,
913.00,1.16816945E+5,
914.00,1.15473164E+5,
915.00,1.14099992E+5,
916.00,1.12921602E+5,
917.00,1.11363516E+5,
918.00,1.09734500E+5,
919.00,1.08152625E+5,
920.00,1.06994102E+5,
921.00,1.05230617E+5,
922.00,1.04279352E+5,
923.00,1.03589313E+5,
924.00,1.01553078E+5,
925.00,1.00532836E+5,
926.00,9.91547109E+4,
927.00,9.86680156E+4,
928.00,9.64833516E+4,
929.00,9.51179688E+4,
930.00,9.39448828E+4,
931.00,9.26880781E+4,
932.00,9.17004922E+4,
933.00,9.04945000E+4,
934.00,8.96675313E+4,
935.00,8.80907500E+4,
936.00,8.72219766E+4,
937.00,8.57872813E+4,
938.00,8.49702656E+4,
939.00,8.35667656E+4,
940.00,8.25275313E+4,
941.00,8.11890938E+4,
942.00,8.02957266E+4,
943.00,7.95645938E+4,
944.00,7.76014766E+4,
945.00,7.67368984E+4,
946.00,7.61949688E+4,
947.00,7.49197422E+4,
948.00,7.39268672E+4,
949.00,7.28710547E+4,
950.00,7.15684688E+4,
951.00,7.11159766E+4,
952.00,7.01029297E+4,
953.00,6.91365781E+4,
954.00,6.80930234E+4,
955.00,6.74691797E+4,
956.00,6.62000859E+4,
957.00,6.51716758E+4,
958.00,6.45016406E+4,
959.00,6.33702539E+4,
960.00,6.23907461E+4,
961.00,6.17864336E+4,
962.00,6.05943359E+4,
963.00,6.00807148E+4,
964.00,5.90177617E+4,
965.00,5.82894688E+4,
966.00,5.73063633E+4,
967.00,5.66516172E+4,
968.00,5.59840000E+4,
969.00,5.54713984E+4,
970.00,5.48641563E+4,
971.00,5.40431211E+4,
972.00,5.35365313E+4,
973.00,5.24483711E+4,
974.00,5.19463008E+4,
975.00,5.15785898E+4,
976.00,5.07099336E+4,
977.00,4.99867578E+4,
978.00,4.94931523E+4,
979.00,4.86033672E+4,
980.00,4.76732656E+4,
981.00,4.74596328E+4,
982.00,4.61982891E+4,
983.00,4.58298789E+4,
984.00,4.49391641E+4,
985.00,4.45996406E+4,
986.00,4.36702383E+4,
987.00,4.30853516E+4,
988.00,4.26838594E+4,
989.00,4.20349180E+4,
990.00,4.11294922E+4,
991.00,4.08655313E+4,
992.00,4.01007070E+4,
993.00,3.95350742E+4,
994.00,3.91678320E+4,
995.00,3.85431406E+4,
996.00,3.75998398E+4,
997.00,3.72458945E+4,
998.00,3.67619805E+4,
999.00,3.61711289E+4,
1000.00,3.56027852E+4,
1001.000,3.53325273E+4,
1002.000,3.46723867E+4,
1003.000,3.42566211E+4,
1004.000,3.38098477E+4,
1005.000,3.32069609E+4,
1006.000,3.27010000E+4,
1007.000,3.22805313E+4,
1008.000,3.15916152E+4,
1009.000,3.11096270E+4,
1010.00,3.08741953E+4,
1011.000,3.01624570E+4,
1012.000,2.98713262E+4,
1013.000,2.93648867E+4,
1014.000,2.88374844E+4,
1015.000,2.84859902E+4,
1016.000,2.80605684E+4,
1017.000,2.78079258E+4,
1018.000,2.72625957E+4,
1019.000,2.66451973E+4,
1020.00,2.63175195E+4,
1021.000,2.61252012E+4,
1022.000,2.55579512E+4,
1023.000,2.50872402E+4,
1024.000,2.48482676E+4,
1025.000,2.45789414E+4,
1026.000,2.42636543E+4,
1027.000,2.37435098E+4,
1028.000,2.34203184E+4,
1029.000,2.30073477E+4,
1030.00,2.25420820E+4,
1031.000,2.23430352E+4,
1032.000,2.19087090E+4,
1033.000,2.15718184E+4,
1034.000,2.14087168E+4,
1035.000,2.10385586E+4,
1036.000,2.06321680E+4,
1037.000,2.05036641E+4,
1038.000,1.99322012E+4,
1039.000,1.96341973E+4,
1040.00,1.94085156E+4,
1041.000,1.91781113E+4,
1042.000,1.89112266E+4,
1043.000,1.85046270E+4,
1044.000,1.82255313E+4,
1045.000,1.80316914E+4,
1046.000,1.77090586E+4,
1047.000,1.75970039E+4,
1048.000,1.72172441E+4,
1049.000,1.70326484E+4,
1050.00,1.66620762E+4,
1051.000,1.64107441E+4,
1052.000,1.61906846E+4,
1053.000,1.57128916E+4,
1054.000,1.56634131E+4,
1055.000,1.53499766E+4,
1056.000,1.51111885E+4,
1057.000,1.49626777E+4,
1058.000,1.47235508E+4,
1059.000,1.43989531E+4,
1060.00,1.42164092E+4,
1061.000,1.39971250E+4,
1062.000,1.40653516E+4,
1063.000,1.34384463E+4,
1064.000,1.35443574E+4,
1065.000,1.31990820E+4,
1066.000,1.30394443E+4,
1067.000,1.26934512E+4,
1068.000,1.25713867E+4,
1069.000,1.24257178E+4,
1070.00,1.21922207E+4,
1071.000,1.18614014E+4,
1072.000,1.19635244E+4,
1073.000,1.15655889E+4,
1074.000,1.14662529E+4,
1075.000,1.12881006E+4,
1076.000,1.11528613E+4,
1077.000,1.09690820E+4,
1078.000,1.07700791E+4,
1079.000,1.05709736E+4,
1080.00,1.03914707E+4,
1081.000,1.02710605E+4,
1082.000,1.02104277E+4,
1083.000,9.96669434E+3,
1084.000,9.69356445E+3,
1085.000,9.71345410E+3,
1086.000,9.53341211E+3,
1087.000,9.33200586E+3,
1088.000,9.26337500E+3,
1089.000,9.01890430E+3,
1090.00,8.96675781E+3,
1091.000,8.81939746E+3,
1092.000,8.70229688E+3,
1093.000,8.60251660E+3,
1094.000,8.39371680E+3,
1095.000,8.33323828E+3,
1096.000,8.13176904E+3,
1097.000,8.05996143E+3,
1098.000,8.01832666E+3,
1099.000,7.82116406E+3,
1100.00,7.76777783E+3,
1101.000,7.68622852E+3,
1102.000,7.35249463E+3,
1103.000,7.31310938E+3,
1104.000,7.23761377E+3,
1105.000,7.08844629E+3,
1106.000,7.08699463E+3,
1107.000,6.91793750E+3,
1108.000,6.76114648E+3,
1109.000,6.72927930E+3,
1110.00,6.60599756E+3,
1111.000,6.45656250E+3,
1112.000,6.35915918E+3,
1113.000,6.31585303E+3,
1114.000,6.32236377E+3,
1115.000,6.14950244E+3,
1116.000,5.95875684E+3,
1117.000,5.89366016E+3,
1118.000,5.83662842E+3,
1119.000,5.75073242E+3,
1120.00,5.64986133E+3,
1121.000,5.63956201E+3,
1122.000,5.55140771E+3,
1123.000,5.50463525E+3,
1124.000,5.35945068E+3,
1125.000,5.22470264E+3,
1126.000,5.19611035E+3,
1127.000,5.15677197E+3,
1128.000,5.06303027E+3,
1129.000,4.88123291E+3,
1130.00,4.90551074E+3,
1131.000,4.84487793E+3,
1132.000,4.72000049E+3,
1133.000,4.60135938E+3,
1134.000,4.65500488E+3,
1135.000,4.58357910E+3,
1136.000,4.43082129E+3,
1137.000,4.33156201E+3,
1138.000,4.30035449E+3,
1139.000,4.38149902E+3,
1140.00,4.15086084E+3,
1141.000,4.19800537E+3,
1142.000,4.01464453E+3,
1143.000,3.94922144E+3,
1144.000,3.87693848E+3,
1145.000,3.89210718E+3,
1146.000,3.90936426E+3,
1147.000,3.74785425E+3,
1148.000,3.67838135E+3,
1149.000,3.70188501E+3,
1150.00,3.56283398E+3,
1151.000,3.55123413E+3,
1152.000,3.44608276E+3,
1153.000,3.42788306E+3,
1154.000,3.35252979E+3,
1155.000,3.41695190E+3,
1156.000,3.27910474E+3,
1157.000,3.28343848E+3,
1158.000,3.15929492E+3,
1159.000,3.15156836E+3,
1160.00,3.11218604E+3,
1161.000,3.02066504E+3,
1162.000,2.97261377E+3,
1163.000,2.95107764E+3,
1164.000,2.90925269E+3,
1165.000,2.94898999E+3,
1166.000,2.78385596E+3,
1167.000,2.74026147E+3,
1168.000,2.78289966E+3,
1169.000,2.70184985E+3,
1170.00,2.64471240E+3,
1171.000,2.67601367E+3,
