Labels,RT-2,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,460.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

600.00,2.57374298E+2,
601.00,-1.05336060E+2,
602.00,1.92411118E+2,
603.00,-1.66342255E+2,
604.00,1.20776535E+2,
605.00,8.38859100E+1,
606.00,7.86620865E+1,
607.00,1.04302650E+2,
608.00,-4.76318703E+1,
609.00,1.50068176E+2,
610.00,1.67666748E+2,
611.00,3.39053497E+2,
612.00,2.02350372E+2,
613.00,8.98705826E+1,
614.00,4.77205124E+1,
615.00,1.97540756E+2,
616.00,2.19815475E+2,
617.00,5.85603828E+1,
618.00,2.91688213E+1,
619.00,6.32542992E+0,
620.00,-3.43407631E+1,
621.00,-1.54304562E+1,
622.00,9.19082794E+1,
623.00,9.31340103E+1,
624.00,4.42967606E+1,
625.00,-5.83032417E+0,
626.00,3.74643822E+1,
627.00,-1.97862949E+1,
628.00,-8.60906372E+1,
629.00,1.93632431E+2,
630.00,1.65025879E+2,
631.00,1.00705185E+1,
632.00,9.69477692E+1,
633.00,-3.93117828E+1,
634.00,8.74318886E+0,
635.00,-3.22025108E+1,
636.00,1.92179604E+1,
637.00,1.93861084E+2,
638.00,1.17615387E+2,
639.00,1.95646866E+2,
640.00,1.43386581E+2,
641.00,2.22505905E+2,
642.00,1.66315186E+2,
643.00,2.27124664E+2,
644.00,2.83931976E+2,
645.00,2.89116577E+2,
646.00,3.58998627E+2,
647.00,3.01315369E+2,
648.00,4.07525970E+2,
649.00,4.82885864E+2,
650.00,4.95648499E+2,
651.00,5.12670776E+2,
652.00,6.89287170E+2,
653.00,7.11869751E+2,
654.00,6.32053833E+2,
655.00,8.59173645E+2,
656.00,8.13922424E+2,
657.00,9.32461182E+2,
658.00,1.04752637E+3,
659.00,9.96601379E+2,
660.00,1.10217700E+3,
661.00,1.24542773E+3,
662.00,1.76302930E+3,
663.00,1.68485071E+3,
664.00,1.84207434E+3,
665.00,2.02905872E+3,
666.00,2.32411963E+3,
667.00,2.04944116E+3,
668.00,2.63927051E+3,
669.00,2.53856201E+3,
670.00,2.85414551E+3,
671.00,3.09153418E+3,
672.00,3.55517432E+3,
673.00,3.89121289E+3,
674.00,4.18289404E+3,
675.00,4.70677197E+3,
676.00,5.05814990E+3,
677.00,5.55179541E+3,
678.00,6.06026074E+3,
679.00,6.79234473E+3,
680.00,7.13075293E+3,
681.00,7.66971289E+3,
682.00,8.34373047E+3,
683.00,8.78859766E+3,
684.00,9.39800781E+3,
685.00,9.87853223E+3,
686.00,1.11167383E+4,
687.00,1.24081768E+4,
688.00,1.25187695E+4,
689.00,1.36163867E+4,
690.00,1.41773818E+4,
691.00,1.60319541E+4,
692.00,1.78634160E+4,
693.00,1.95158613E+4,
694.00,2.11657773E+4,
695.00,2.31108398E+4,
696.00,2.48074785E+4,
697.00,2.59392266E+4,
698.00,2.74168223E+4,
699.00,2.85785840E+4,
700.00,3.08084688E+4,
701.00,3.18490176E+4,
702.00,3.28302461E+4,
703.00,3.50352539E+4,
704.00,3.64336094E+4,
705.00,3.86200664E+4,
706.00,4.03654453E+4,
707.00,4.17651250E+4,
708.00,4.40889219E+4,
709.00,4.70048828E+4,
710.00,4.92430820E+4,
711.00,5.13289688E+4,
712.00,5.45986914E+4,
713.00,5.66263750E+4,
714.00,5.93732773E+4,
715.00,6.21023672E+4,
716.00,6.38492344E+4,
717.00,6.71040469E+4,
718.00,6.82371328E+4,
719.00,7.16087656E+4,
720.00,7.36379531E+4,
721.00,7.50541094E+4,
722.00,7.86085313E+4,
723.00,8.15200938E+4,
724.00,8.41280781E+4,
725.00,8.61582188E+4,
726.00,8.82056563E+4,
727.00,9.17004844E+4,
728.00,9.55547891E+4,
729.00,9.79764531E+4,
730.00,1.01434602E+5,
731.00,1.04480742E+5,
732.00,1.05385320E+5,
733.00,1.08269328E+5,
734.00,1.12793797E+5,
735.00,1.14270742E+5,
736.00,1.18061227E+5,
737.00,1.20593031E+5,
738.00,1.24988922E+5,
739.00,1.27114383E+5,
740.00,1.30301078E+5,
741.00,1.33477891E+5,
742.00,1.37133391E+5,
743.00,1.39462297E+5,
744.00,1.42326031E+5,
745.00,1.45551859E+5,
746.00,1.49122000E+5,
747.00,1.51423047E+5,
748.00,1.54635719E+5,
749.00,1.58818828E+5,
750.00,1.62459734E+5,
751.00,1.63980531E+5,
752.00,1.66071969E+5,
753.00,1.69189141E+5,
754.00,1.72903328E+5,
755.00,1.76120563E+5,
756.00,1.80456297E+5,
757.00,1.81031281E+5,
758.00,1.85002844E+5,
759.00,1.86866109E+5,
760.00,1.90895344E+5,
761.00,1.91692016E+5,
762.00,1.94548203E+5,
763.00,1.97920609E+5,
764.00,2.02460328E+5,
765.00,2.06351219E+5,
766.00,2.08460953E+5,
767.00,2.09259750E+5,
768.00,2.10365969E+5,
769.00,2.15031172E+5,
770.00,2.17850422E+5,
771.00,2.19167766E+5,
772.00,2.21143641E+5,
773.00,2.22957906E+5,
774.00,2.24535938E+5,
775.00,2.27710594E+5,
776.00,2.32639672E+5,
777.00,2.32259313E+5,
778.00,2.34701422E+5,
779.00,2.37589438E+5,
780.00,2.38630844E+5,
781.00,2.39868563E+5,
782.00,2.42400078E+5,
783.00,2.43645078E+5,
784.00,2.46246938E+5,
785.00,2.48724828E+5,
786.00,2.48079859E+5,
787.00,2.50273516E+5,
788.00,2.51684891E+5,
789.00,2.56181031E+5,
790.00,2.55355547E+5,
791.00,2.56661156E+5,
792.00,2.57268422E+5,
793.00,2.58424016E+5,
794.00,2.58131609E+5,
795.00,2.59816031E+5,
796.00,2.61796703E+5,
797.00,2.63123813E+5,
798.00,2.63745031E+5,
799.00,2.64507688E+5,
800.00,2.65889719E+5,
801.00,2.66300594E+5,
802.00,2.65419438E+5,
803.00,2.65420906E+5,
804.00,2.68119500E+5,
805.00,2.67151594E+5,
806.00,2.70007750E+5,
807.00,2.67720281E+5,
808.00,2.68865313E+5,
809.00,2.68486094E+5,
810.00,2.67810281E+5,
811.00,2.68859563E+5,
812.00,2.69627969E+5,
813.00,2.69185406E+5,
814.00,2.69061406E+5,
815.00,2.70547656E+5,
816.00,2.68610969E+5,
817.00,2.68681531E+5,
818.00,2.67950281E+5,
819.00,2.70896031E+5,
820.00,2.68669969E+5,
821.00,2.67121469E+5,
822.00,2.67308438E+5,
823.00,2.68626656E+5,
824.00,2.67694063E+5,
825.00,2.66713969E+5,
826.00,2.64111250E+5,
827.00,2.64795313E+5,
828.00,2.63193719E+5,
829.00,2.63697438E+5,
830.00,2.62107547E+5,
831.00,2.62132609E+5,
832.00,2.60080234E+5,
833.00,2.61046609E+5,
834.00,2.59821609E+5,
835.00,2.57283406E+5,
836.00,2.56730953E+5,
837.00,2.57752219E+5,
838.00,2.57293859E+5,
839.00,2.53724469E+5,
840.00,2.53847078E+5,
841.00,2.53469406E+5,
842.00,2.52604063E+5,
843.00,2.51927031E+5,
844.00,2.50214906E+5,
845.00,2.48290656E+5,
846.00,2.46787500E+5,
847.00,2.46852469E+5,
848.00,2.44630047E+5,
849.00,2.43841672E+5,
850.00,2.41606984E+5,
851.00,2.41299859E+5,
852.00,2.40073391E+5,
853.00,2.39857688E+5,
854.00,2.38668984E+5,
855.00,2.36050078E+5,
856.00,2.35404984E+5,
857.00,2.34053141E+5,
858.00,2.32232922E+5,
859.00,2.31499234E+5,
860.00,2.30924563E+5,
861.00,2.28114969E+5,
862.00,2.27235188E+5,
863.00,2.26227109E+5,
864.00,2.22549375E+5,
865.00,2.22363953E+5,
866.00,2.19559797E+5,
867.00,2.18513875E+5,
868.00,2.16352938E+5,
869.00,2.14622047E+5,
870.00,2.14963766E+5,
871.00,2.12054953E+5,
872.00,2.10105125E+5,
873.00,2.09446828E+5,
874.00,2.08737156E+5,
875.00,2.05971625E+5,
876.00,2.04561469E+5,
877.00,2.01872766E+5,
878.00,2.00490500E+5,
879.00,1.98693422E+5,
880.00,1.97494234E+5,
881.00,1.96654453E+5,
882.00,1.95052672E+5,
883.00,1.92857656E+5,
884.00,1.91683609E+5,
885.00,1.90417094E+5,
886.00,1.89122625E+5,
887.00,1.85536453E+5,
888.00,1.84534859E+5,
889.00,1.83197703E+5,
890.00,1.81612344E+5,
891.00,1.80417484E+5,
892.00,1.78231016E+5,
893.00,1.76417359E+5,
894.00,1.76554969E+5,
895.00,1.75009391E+5,
896.00,1.73418969E+5,
897.00,1.70809922E+5,
898.00,1.69508125E+5,
899.00,1.67346313E+5,
900.00,1.66541609E+5,
901.00,1.63905547E+5,
902.00,1.63111156E+5,
903.00,1.61298766E+5,
904.00,1.59247297E+5,
905.00,1.58731094E+5,
906.00,1.57502938E+5,
907.00,1.55126453E+5,
908.00,1.52410313E+5,
909.00,1.52555984E+5,
910.00,1.50938844E+5,
911.00,1.50022125E+5,
912.00,1.47294234E+5,
913.00,1.46034469E+5,
914.00,1.45441953E+5,
915.00,1.43448531E+5,
916.00,1.42528578E+5,
917.00,1.40212750E+5,
918.00,1.38962500E+5,
919.00,1.37902203E+5,
920.00,1.35923797E+5,
921.00,1.34520969E+5,
922.00,1.32803281E+5,
923.00,1.30957641E+5,
924.00,1.30043945E+5,
925.00,1.28783172E+5,
926.00,1.27004008E+5,
927.00,1.25995156E+5,
928.00,1.24203078E+5,
929.00,1.22696813E+5,
930.00,1.21327930E+5,
931.00,1.19858617E+5,
932.00,1.19114961E+5,
933.00,1.18380008E+5,
934.00,1.16707813E+5,
935.00,1.16193281E+5,
936.00,1.13522742E+5,
937.00,1.12848594E+5,
938.00,1.11098289E+5,
939.00,1.09301797E+5,
940.00,1.08780313E+5,
941.00,1.07625266E+5,
942.00,1.06022125E+5,
943.00,1.04993086E+5,
944.00,1.03479109E+5,
945.00,1.01963648E+5,
946.00,1.01641586E+5,
947.00,1.00064719E+5,
948.00,9.88959922E+4,
949.00,9.77696406E+4,
950.00,9.60595625E+4,
951.00,9.49066797E+4,
952.00,9.39026953E+4,
953.00,9.29035156E+4,
954.00,9.16424141E+4,
955.00,9.05852344E+4,
956.00,8.91373906E+4,
957.00,8.81247109E+4,
958.00,8.65058047E+4,
959.00,8.54768438E+4,
960.00,8.50985234E+4,
961.00,8.43812969E+4,
962.00,8.32938125E+4,
963.00,8.22974922E+4,
964.00,8.10410078E+4,
965.00,7.99218438E+4,
966.00,7.90690859E+4,
967.00,7.80234219E+4,
968.00,7.77750938E+4,
969.00,7.69106953E+4,
970.00,7.64195625E+4,
971.00,7.49174453E+4,
972.00,7.42549063E+4,
973.00,7.38073438E+4,
974.00,7.25279922E+4,
975.00,7.13555703E+4,
976.00,7.11746719E+4,
977.00,7.01549844E+4,
978.00,6.92440469E+4,
979.00,6.82811641E+4,
980.00,6.74796406E+4,
981.00,6.67549375E+4,
982.00,6.55313711E+4,
983.00,6.46432422E+4,
984.00,6.36383633E+4,
985.00,6.32543945E+4,
986.00,6.22344141E+4,
987.00,6.13149961E+4,
988.00,6.07915664E+4,
989.00,5.96168164E+4,
990.00,5.92457422E+4,
991.00,5.83985195E+4,
992.00,5.74136875E+4,
993.00,5.68151484E+4,
994.00,5.61830000E+4,
995.00,5.52492578E+4,
996.00,5.49477188E+4,
997.00,5.36602188E+4,
998.00,5.27496914E+4,
999.00,5.23633125E+4,
1000.00,5.16406523E+4,
1001.000,5.06531289E+4,
1002.000,4.99216406E+4,
1003.000,4.91870430E+4,
1004.000,4.88523789E+4,
1005.000,4.82759844E+4,
1006.000,4.74028633E+4,
1007.000,4.67976875E+4,
1008.000,4.58755195E+4,
1009.000,4.56289375E+4,
1010.00,4.46074766E+4,
1011.000,4.40967031E+4,
1012.000,4.34971016E+4,
1013.000,4.34497266E+4,
1014.000,4.25720547E+4,
1015.000,4.18884063E+4,
1016.000,4.13624609E+4,
1017.000,4.04790039E+4,
1018.000,4.05414844E+4,
1019.000,3.93826445E+4,
1020.00,3.90964414E+4,
1021.000,3.83428477E+4,
1022.000,3.79575078E+4,
1023.000,3.74686563E+4,
1024.000,3.71886016E+4,
1025.000,3.65296484E+4,
1026.000,3.59642227E+4,
1027.000,3.52997773E+4,
1028.000,3.51268281E+4,
1029.000,3.46256211E+4,
1030.00,3.39647188E+4,
1031.000,3.34340273E+4,
1032.000,3.31571445E+4,
1033.000,3.25797168E+4,
1034.000,3.21368730E+4,
1035.000,3.15857637E+4,
1036.000,3.12666699E+4,
1037.000,3.06706230E+4,
1038.000,3.03305059E+4,
1039.000,2.96999863E+4,
1040.00,2.92021777E+4,
1041.000,2.89038848E+4,
1042.000,2.87536113E+4,
1043.000,2.81942656E+4,
1044.000,2.75899883E+4,
1045.000,2.73560000E+4,
1046.000,2.70326934E+4,
1047.000,2.67757051E+4,
1048.000,2.64716445E+4,
1049.000,2.60266973E+4,
1050.00,2.55729258E+4,
1051.000,2.52318770E+4,
1052.000,2.48391992E+4,
1053.000,2.45500098E+4,
1054.000,2.42241738E+4,
1055.000,2.39346758E+4,
1056.000,2.34792773E+4,
1057.000,2.29397578E+4,
1058.000,2.26601953E+4,
1059.000,2.24797793E+4,
1060.00,2.21232051E+4,
1061.000,2.19204219E+4,
1062.000,2.16211738E+4,
1063.000,2.13550918E+4,
1064.000,2.09689785E+4,
1065.000,2.05611660E+4,
1066.000,2.05076230E+4,
1067.000,1.99507773E+4,
1068.000,1.97715215E+4,
1069.000,1.94091992E+4,
1070.00,1.90235898E+4,
1071.000,1.91192402E+4,
1072.000,1.84037422E+4,
1073.000,1.83583984E+4,
1074.000,1.79516934E+4,
1075.000,1.78225137E+4,
1076.000,1.74180020E+4,
1077.000,1.74193594E+4,
1078.000,1.69056230E+4,
1079.000,1.67441504E+4,
1080.00,1.64180840E+4,
1081.000,1.63547178E+4,
1082.000,1.61150313E+4,
1083.000,1.56059785E+4,
1084.000,1.54369043E+4,
1085.000,1.52535039E+4,
1086.000,1.51521680E+4,
1087.000,1.49114336E+4,
1088.000,1.46653369E+4,
1089.000,1.45747559E+4,
1090.00,1.42780859E+4,
1091.000,1.41711445E+4,
1092.000,1.38680732E+4,
1093.000,1.37198418E+4,
1094.000,1.34713184E+4,
1095.000,1.33008574E+4,
1096.000,1.30688428E+4,
1097.000,1.29431846E+4,
1098.000,1.27046143E+4,
1099.000,1.25002666E+4,
1100.00,1.22396465E+4,
1101.000,1.21056641E+4,
1102.000,1.20233408E+4,
1103.000,1.18133936E+4,
1104.000,1.16413467E+4,
1105.000,1.15050596E+4,
1106.000,1.13517871E+4,
1107.000,1.11297461E+4,
1108.000,1.09826250E+4,
1109.000,1.08135518E+4,
1110.00,1.05544561E+4,
1111.000,1.05483857E+4,
1112.000,1.04725908E+4,
1113.000,1.02902363E+4,
1114.000,9.94141113E+3,
1115.000,9.81962207E+3,
1116.000,9.85552441E+3,
1117.000,9.63815918E+3,
1118.000,9.39659180E+3,
1119.000,9.30978711E+3,
1120.00,9.18548730E+3,
1121.000,8.96847070E+3,
1122.000,8.98423633E+3,
1123.000,8.82109277E+3,
1124.000,8.71996289E+3,
1125.000,8.63908887E+3,
1126.000,8.35934570E+3,
1127.000,8.27704980E+3,
1128.000,8.20560352E+3,
1129.000,8.05300732E+3,
1130.00,7.93211279E+3,
1131.000,7.98911768E+3,
1132.000,7.60593604E+3,
1133.000,7.71204346E+3,
1134.000,7.57742090E+3,
1135.000,7.40583154E+3,
1136.000,7.20683252E+3,
1137.000,7.13316895E+3,
1138.000,6.95355078E+3,
1139.000,6.94380762E+3,
1140.00,6.89800879E+3,
1141.000,6.77442090E+3,
1142.000,6.68312549E+3,
1143.000,6.62060059E+3,
1144.000,6.51549463E+3,
1145.000,6.44125977E+3,
1146.000,6.29262891E+3,
1147.000,6.20925732E+3,
1148.000,6.14102197E+3,
1149.000,6.09355078E+3,
1150.00,5.96463281E+3,
1151.000,5.97345264E+3,
1152.000,5.82440771E+3,
1153.000,5.59977783E+3,
1154.000,5.62637354E+3,
1155.000,5.54221338E+3,
1156.000,5.45379736E+3,
1157.000,5.42485449E+3,
1158.000,5.19845117E+3,
1159.000,5.24619971E+3,
1160.00,5.20176074E+3,
1161.000,4.98975195E+3,
1162.000,4.99318848E+3,
1163.000,4.92229199E+3,
1164.000,4.87334082E+3,
1165.000,4.79206494E+3,
1166.000,4.70714795E+3,
1167.000,4.69315820E+3,
1168.000,4.57231689E+3,
1169.000,4.50532617E+3,
1170.00,4.41087598E+3,
