Labels,RT,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,460.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

600.00,4.11264153E+1,
601.00,2.07051315E+2,
602.00,2.66950806E+2,
603.00,2.96142853E+2,
604.00,1.29020126E+2,
605.00,2.47539963E+2,
606.00,-8.61119614E+1,
607.00,5.92910080E+1,
608.00,1.83547546E+2,
609.00,1.82348083E+2,
610.00,3.33836578E+2,
611.00,2.48504868E+2,
612.00,1.29481277E+2,
613.00,1.96204376E+2,
614.00,2.69810486E+2,
615.00,1.97486038E+2,
616.00,2.64261536E+2,
617.00,1.00645233E+2,
618.00,5.48458443E+1,
619.00,1.37301834E+2,
620.00,9.41399307E+1,
621.00,1.18338989E+2,
622.00,1.54345917E+2,
623.00,9.08325272E+1,
624.00,1.92242783E+2,
625.00,1.51927414E+2,
626.00,1.38407364E+2,
627.00,-1.18451637E+2,
628.00,3.39980469E+2,
629.00,8.11322327E+1,
630.00,1.12265610E+2,
631.00,1.92577347E+2,
632.00,-3.15568027E+1,
633.00,2.10649185E+2,
634.00,2.31563934E+2,
635.00,4.96217651E+1,
636.00,2.50990829E+2,
637.00,1.24632309E+2,
638.00,2.05644211E+2,
639.00,3.72474762E+2,
640.00,2.44859283E+2,
641.00,2.48215927E+2,
642.00,2.82183167E+2,
643.00,2.55469635E+2,
644.00,3.84814972E+2,
645.00,4.03440948E+2,
646.00,2.94346100E+2,
647.00,2.31623398E+2,
648.00,3.99738892E+2,
649.00,4.80437561E+2,
650.00,5.43566956E+2,
651.00,6.32247314E+2,
652.00,8.28450989E+2,
653.00,6.69863281E+2,
654.00,7.28138672E+2,
655.00,8.16192688E+2,
656.00,9.34459534E+2,
657.00,1.06319043E+3,
658.00,1.14941724E+3,
659.00,1.30373694E+3,
660.00,1.31595593E+3,
661.00,1.37959717E+3,
662.00,1.62421777E+3,
663.00,1.74526196E+3,
664.00,2.02828931E+3,
665.00,2.10383252E+3,
666.00,2.34286768E+3,
667.00,2.58122754E+3,
668.00,2.75140186E+3,
669.00,2.77303931E+3,
670.00,3.21228638E+3,
671.00,3.51335474E+3,
672.00,3.73060913E+3,
673.00,3.92274609E+3,
674.00,4.51527881E+3,
675.00,4.82694043E+3,
676.00,5.60460449E+3,
677.00,5.80979932E+3,
678.00,6.19943945E+3,
679.00,6.84031641E+3,
680.00,7.44844043E+3,
681.00,8.12271533E+3,
682.00,8.67785840E+3,
683.00,9.51924609E+3,
684.00,9.95348340E+3,
685.00,1.08592314E+4,
686.00,1.17485654E+4,
687.00,1.27024814E+4,
688.00,1.31830732E+4,
689.00,1.42551436E+4,
690.00,1.54174160E+4,
691.00,1.66953535E+4,
692.00,1.83298652E+4,
693.00,2.09211289E+4,
694.00,2.25039297E+4,
695.00,2.38780996E+4,
696.00,2.57321113E+4,
697.00,2.71182656E+4,
698.00,2.88658555E+4,
699.00,2.94284648E+4,
700.00,3.15675195E+4,
701.00,3.27287070E+4,
702.00,3.46833516E+4,
703.00,3.61083125E+4,
704.00,3.77494844E+4,
705.00,3.99869258E+4,
706.00,4.16342109E+4,
707.00,4.47179609E+4,
708.00,4.60091797E+4,
709.00,4.87936445E+4,
710.00,5.13660000E+4,
711.00,5.35182656E+4,
712.00,5.68295352E+4,
713.00,5.91195625E+4,
714.00,6.11248438E+4,
715.00,6.45675156E+4,
716.00,6.70444375E+4,
717.00,6.88936172E+4,
718.00,7.13851172E+4,
719.00,7.47585078E+4,
720.00,7.66157578E+4,
721.00,7.90046641E+4,
722.00,8.33046406E+4,
723.00,8.54338828E+4,
724.00,8.73485234E+4,
725.00,9.03575781E+4,
726.00,9.37145469E+4,
727.00,9.66140625E+4,
728.00,1.00812000E+5,
729.00,1.03214648E+5,
730.00,1.05561023E+5,
731.00,1.09430703E+5,
732.00,1.11329445E+5,
733.00,1.15519813E+5,
734.00,1.16604375E+5,
735.00,1.19554273E+5,
736.00,1.24194000E+5,
737.00,1.26756984E+5,
738.00,1.30041211E+5,
739.00,1.33065047E+5,
740.00,1.37620813E+5,
741.00,1.39803625E+5,
742.00,1.43229313E+5,
743.00,1.45365250E+5,
744.00,1.47918563E+5,
745.00,1.50808422E+5,
746.00,1.56264516E+5,
747.00,1.59025469E+5,
748.00,1.60695203E+5,
749.00,1.65093750E+5,
750.00,1.67948078E+5,
751.00,1.71671531E+5,
752.00,1.74119297E+5,
753.00,1.76964813E+5,
754.00,1.79913234E+5,
755.00,1.82668094E+5,
756.00,1.87838422E+5,
757.00,1.88572172E+5,
758.00,1.92018281E+5,
759.00,1.94290016E+5,
760.00,1.99559953E+5,
761.00,1.98500234E+5,
762.00,2.01119547E+5,
763.00,2.06434672E+5,
764.00,2.07846219E+5,
765.00,2.12651531E+5,
766.00,2.13463016E+5,
767.00,2.15044969E+5,
768.00,2.19842906E+5,
769.00,2.22750719E+5,
770.00,2.24133328E+5,
771.00,2.27014688E+5,
772.00,2.30231047E+5,
773.00,2.30487750E+5,
774.00,2.32803781E+5,
775.00,2.35869500E+5,
776.00,2.38692422E+5,
777.00,2.41302875E+5,
778.00,2.41640484E+5,
779.00,2.43818984E+5,
780.00,2.47094063E+5,
781.00,2.46505094E+5,
782.00,2.50165688E+5,
783.00,2.53276391E+5,
784.00,2.53219172E+5,
785.00,2.53080500E+5,
786.00,2.53856578E+5,
787.00,2.55612375E+5,
788.00,2.59992328E+5,
789.00,2.62741719E+5,
790.00,2.63068438E+5,
791.00,2.62711219E+5,
792.00,2.64064813E+5,
793.00,2.65699344E+5,
794.00,2.65348938E+5,
795.00,2.68292719E+5,
796.00,2.67442625E+5,
797.00,2.68523688E+5,
798.00,2.71748156E+5,
799.00,2.70855344E+5,
800.00,2.70794250E+5,
801.00,2.71725250E+5,
802.00,2.73136875E+5,
803.00,2.72366813E+5,
804.00,2.73602813E+5,
805.00,2.73986000E+5,
806.00,2.74779063E+5,
807.00,2.73722188E+5,
808.00,2.76459594E+5,
809.00,2.74636531E+5,
810.00,2.74277969E+5,
811.00,2.76343656E+5,
812.00,2.77649594E+5,
813.00,2.74326344E+5,
814.00,2.75622281E+5,
815.00,2.75103531E+5,
816.00,2.75793219E+5,
817.00,2.75420188E+5,
818.00,2.74649031E+5,
819.00,2.74599156E+5,
820.00,2.74681781E+5,
821.00,2.71830844E+5,
822.00,2.71564438E+5,
823.00,2.73241313E+5,
824.00,2.73111500E+5,
825.00,2.70564125E+5,
826.00,2.69786000E+5,
827.00,2.71146500E+5,
828.00,2.68432563E+5,
829.00,2.67463938E+5,
830.00,2.66578969E+5,
831.00,2.67032875E+5,
832.00,2.66484625E+5,
833.00,2.64039281E+5,
834.00,2.65374906E+5,
835.00,2.62577844E+5,
836.00,2.62238000E+5,
837.00,2.61786969E+5,
838.00,2.61440719E+5,
839.00,2.58687156E+5,
840.00,2.58244984E+5,
841.00,2.59448875E+5,
842.00,2.57411297E+5,
843.00,2.55979391E+5,
844.00,2.55749172E+5,
845.00,2.53094813E+5,
846.00,2.52938906E+5,
847.00,2.50155000E+5,
848.00,2.50205219E+5,
849.00,2.47842078E+5,
850.00,2.46399328E+5,
851.00,2.46135875E+5,
852.00,2.45182594E+5,
853.00,2.43797563E+5,
854.00,2.42735047E+5,
855.00,2.41339375E+5,
856.00,2.39039094E+5,
857.00,2.37279500E+5,
858.00,2.36179875E+5,
859.00,2.35527625E+5,
860.00,2.32189422E+5,
861.00,2.30913578E+5,
862.00,2.30655250E+5,
863.00,2.28141984E+5,
864.00,2.27176078E+5,
865.00,2.25770219E+5,
866.00,2.23331063E+5,
867.00,2.22491781E+5,
868.00,2.20441500E+5,
869.00,2.19483234E+5,
870.00,2.17081563E+5,
871.00,2.14546578E+5,
872.00,2.14935328E+5,
873.00,2.12107766E+5,
874.00,2.11447031E+5,
875.00,2.09185219E+5,
876.00,2.07738156E+5,
877.00,2.06201484E+5,
878.00,2.04694078E+5,
879.00,2.01717766E+5,
880.00,2.00655156E+5,
881.00,1.98749188E+5,
882.00,1.98966969E+5,
883.00,1.96181500E+5,
884.00,1.94454641E+5,
885.00,1.92511703E+5,
886.00,1.92227328E+5,
887.00,1.89547344E+5,
888.00,1.87304203E+5,
889.00,1.84820438E+5,
890.00,1.83560328E+5,
891.00,1.82393844E+5,
892.00,1.80694125E+5,
893.00,1.80049938E+5,
894.00,1.78445219E+5,
895.00,1.74994016E+5,
896.00,1.74766438E+5,
897.00,1.73104875E+5,
898.00,1.70999188E+5,
899.00,1.69682734E+5,
900.00,1.67506906E+5,
901.00,1.67195625E+5,
902.00,1.64921734E+5,
903.00,1.62904953E+5,
904.00,1.62209469E+5,
905.00,1.60113672E+5,
906.00,1.59281609E+5,
907.00,1.57133234E+5,
908.00,1.56328281E+5,
909.00,1.55020281E+5,
910.00,1.53236344E+5,
911.00,1.51098531E+5,
912.00,1.49636344E+5,
913.00,1.47483953E+5,
914.00,1.47286094E+5,
915.00,1.45683516E+5,
916.00,1.42727484E+5,
917.00,1.42013250E+5,
918.00,1.40248156E+5,
919.00,1.39229141E+5,
920.00,1.37427297E+5,
921.00,1.36030313E+5,
922.00,1.34367578E+5,
923.00,1.33092625E+5,
924.00,1.31225188E+5,
925.00,1.29986391E+5,
926.00,1.28988500E+5,
927.00,1.27446234E+5,
928.00,1.26295938E+5,
929.00,1.24777656E+5,
930.00,1.23046398E+5,
931.00,1.21355102E+5,
932.00,1.20574648E+5,
933.00,1.19065469E+5,
934.00,1.18661719E+5,
935.00,1.17707070E+5,
936.00,1.15415773E+5,
937.00,1.13190469E+5,
938.00,1.12555102E+5,
939.00,1.11344188E+5,
940.00,1.09980320E+5,
941.00,1.07773617E+5,
942.00,1.07546711E+5,
943.00,1.05909508E+5,
944.00,1.05072656E+5,
945.00,1.03755125E+5,
946.00,1.02406320E+5,
947.00,1.01552172E+5,
948.00,9.99804844E+4,
949.00,9.82645078E+4,
950.00,9.73155391E+4,
951.00,9.62327813E+4,
952.00,9.51287422E+4,
953.00,9.39263047E+4,
954.00,9.31224531E+4,
955.00,9.22050938E+4,
956.00,9.03144688E+4,
957.00,8.97570391E+4,
958.00,8.80417188E+4,
959.00,8.76185391E+4,
960.00,8.61638828E+4,
961.00,8.50838438E+4,
962.00,8.48461719E+4,
963.00,8.35245781E+4,
964.00,8.22874844E+4,
965.00,8.13355000E+4,
966.00,7.98073672E+4,
967.00,7.92631875E+4,
968.00,7.79208359E+4,
969.00,7.79641016E+4,
970.00,7.68058203E+4,
971.00,7.62832656E+4,
972.00,7.54183750E+4,
973.00,7.46975547E+4,
974.00,7.33821797E+4,
975.00,7.25116641E+4,
976.00,7.16141406E+4,
977.00,7.09038906E+4,
978.00,7.00351406E+4,
979.00,6.87565859E+4,
980.00,6.82297734E+4,
981.00,6.71879375E+4,
982.00,6.63630078E+4,
983.00,6.55639297E+4,
984.00,6.47136016E+4,
985.00,6.36096094E+4,
986.00,6.28074727E+4,
987.00,6.22483672E+4,
988.00,6.12164375E+4,
989.00,6.03872656E+4,
990.00,5.98153750E+4,
991.00,5.89925078E+4,
992.00,5.79450195E+4,
993.00,5.73163672E+4,
994.00,5.67250000E+4,
995.00,5.58439141E+4,
996.00,5.50411055E+4,
997.00,5.44209844E+4,
998.00,5.35754570E+4,
999.00,5.27421953E+4,
1000.00,5.20366523E+4,
1001.000,5.16885469E+4,
1002.000,5.07932813E+4,
1003.000,5.01183242E+4,
1004.000,4.92404102E+4,
1005.000,4.88042734E+4,
1006.000,4.80641602E+4,
1007.000,4.70323789E+4,
1008.000,4.67633242E+4,
1009.000,4.58714648E+4,
1010.00,4.52562305E+4,
1011.000,4.47793516E+4,
1012.000,4.43883320E+4,
1013.000,4.35565859E+4,
1014.000,4.33519258E+4,
1015.000,4.24841641E+4,
1016.000,4.19385781E+4,
1017.000,4.12382344E+4,
1018.000,4.05110039E+4,
1019.000,4.02025859E+4,
1020.00,3.94924648E+4,
1021.000,3.91279648E+4,
1022.000,3.82909023E+4,
1023.000,3.76138672E+4,
1024.000,3.69026211E+4,
1025.000,3.69933750E+4,
1026.000,3.62935430E+4,
1027.000,3.56905273E+4,
1028.000,3.54828984E+4,
1029.000,3.47579922E+4,
1030.00,3.45147461E+4,
1031.000,3.38213594E+4,
1032.000,3.32768125E+4,
1033.000,3.29772656E+4,
1034.000,3.23707930E+4,
1035.000,3.21626602E+4,
1036.000,3.15496289E+4,
1037.000,3.09094609E+4,
1038.000,3.07372480E+4,
1039.000,3.00892578E+4,
1040.00,2.99643359E+4,
1041.000,2.95735273E+4,
1042.000,2.91038887E+4,
1043.000,2.86783984E+4,
1044.000,2.82219707E+4,
1045.000,2.76483965E+4,
1046.000,2.72248945E+4,
1047.000,2.70299668E+4,
1048.000,2.67428145E+4,
1049.000,2.63913027E+4,
1050.00,2.57363535E+4,
1051.000,2.55264121E+4,
1052.000,2.49928965E+4,
1053.000,2.48595840E+4,
1054.000,2.42201758E+4,
1055.000,2.38667168E+4,
1056.000,2.36426250E+4,
1057.000,2.35238770E+4,
1058.000,2.28656094E+4,
1059.000,2.25052578E+4,
1060.00,2.22567852E+4,
1061.000,2.20335586E+4,
1062.000,2.18394375E+4,
1063.000,2.13455469E+4,
1064.000,2.10950332E+4,
1065.000,2.09173926E+4,
1066.000,2.03899473E+4,
1067.000,2.02278164E+4,
1068.000,1.99031504E+4,
1069.000,1.98099258E+4,
1070.00,1.92093105E+4,
1071.000,1.91926660E+4,
1072.000,1.88295273E+4,
1073.000,1.85238691E+4,
1074.000,1.82772402E+4,
1075.000,1.77165996E+4,
1076.000,1.76776270E+4,
1077.000,1.75927285E+4,
1078.000,1.70210039E+4,
1079.000,1.69142832E+4,
1080.00,1.68261895E+4,
1081.000,1.64831211E+4,
1082.000,1.62175244E+4,
1083.000,1.59453906E+4,
1084.000,1.56344951E+4,
1085.000,1.56963535E+4,
1086.000,1.52598770E+4,
1087.000,1.51026055E+4,
1088.000,1.48537715E+4,
1089.000,1.46931768E+4,
1090.00,1.44620762E+4,
1091.000,1.42718818E+4,
1092.000,1.39881543E+4,
1093.000,1.38233896E+4,
1094.000,1.35091631E+4,
1095.000,1.34419160E+4,
1096.000,1.33001914E+4,
1097.000,1.31223975E+4,
1098.000,1.27308018E+4,
1099.000,1.25488066E+4,
1100.00,1.23585342E+4,
1101.000,1.23221338E+4,
1102.000,1.20795723E+4,
1103.000,1.19846201E+4,
1104.000,1.17125381E+4,
1105.000,1.15097314E+4,
1106.000,1.13450127E+4,
1107.000,1.13005195E+4,
1108.000,1.12037734E+4,
1109.000,1.08676699E+4,
1110.00,1.08393457E+4,
1111.000,1.07267354E+4,
1112.000,1.03211504E+4,
1113.000,1.04469590E+4,
1114.000,1.00490703E+4,
1115.000,1.00103076E+4,
1116.000,9.87478613E+3,
1117.000,9.83205859E+3,
1118.000,9.71063965E+3,
1119.000,9.62070605E+3,
1120.00,9.29140918E+3,
1121.000,9.33690918E+3,
1122.000,9.15251855E+3,
1123.000,8.94812109E+3,
1124.000,8.85122754E+3,
1125.000,8.73107813E+3,
1126.000,8.62414355E+3,
1127.000,8.42386426E+3,
1128.000,8.31182227E+3,
1129.000,8.04361035E+3,
1130.00,7.96770947E+3,
1131.000,7.90421289E+3,
1132.000,7.77811670E+3,
1133.000,7.69967969E+3,
1134.000,7.67912842E+3,
1135.000,7.54120557E+3,
1136.000,7.35576660E+3,
1137.000,7.18865527E+3,
1138.000,7.14386133E+3,
1139.000,7.06831348E+3,
1140.00,6.87442041E+3,
1141.000,6.94251416E+3,
1142.000,6.77130225E+3,
1143.000,6.64929541E+3,
1144.000,6.57325586E+3,
1145.000,6.46350049E+3,
1146.000,6.37874951E+3,
1147.000,6.29720410E+3,
1148.000,6.23446973E+3,
1149.000,6.06813525E+3,
1150.00,6.07046631E+3,
1151.000,5.90826807E+3,
1152.000,5.83049121E+3,
1153.000,5.73337402E+3,
1154.000,5.73392334E+3,
1155.000,5.52963525E+3,
1156.000,5.49223193E+3,
1157.000,5.39685352E+3,
1158.000,5.37530029E+3,
1159.000,5.28613574E+3,
1160.00,5.11536963E+3,
1161.000,4.97649268E+3,
1162.000,4.97783643E+3,
1163.000,4.94529492E+3,
1164.000,4.85146875E+3,
1165.000,4.82614893E+3,
1166.000,4.80857813E+3,
1167.000,4.67747021E+3,
1168.000,4.62381689E+3,
1169.000,4.52687451E+3,
1170.00,4.49930176E+3,
1171.000,4.38686230E+3,
