Labels,150-450-EM,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,1100.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,5.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.00,
Detector,Det2,

700.00,2.29281758E+4,
701.00,2.44631211E+4,
702.00,2.54947500E+4,
703.00,2.63902930E+4,
704.00,2.82806016E+4,
705.00,2.88902305E+4,
706.00,3.11354141E+4,
707.00,3.20421211E+4,
708.00,3.33872227E+4,
709.00,3.46501523E+4,
710.00,3.58895117E+4,
711.00,3.76871953E+4,
712.00,3.92995977E+4,
713.00,4.01247148E+4,
714.00,4.15470000E+4,
715.00,4.34545781E+4,
716.00,4.47540430E+4,
717.00,4.69747734E+4,
718.00,4.76477266E+4,
719.00,5.01516016E+4,
720.00,5.00739102E+4,
721.00,5.17546953E+4,
722.00,5.26761055E+4,
723.00,5.31758555E+4,
724.00,5.59698633E+4,
725.00,5.64178594E+4,
726.00,5.79150273E+4,
727.00,5.87193008E+4,
728.00,6.09520898E+4,
729.00,6.20903164E+4,
730.00,6.35804766E+4,
731.00,6.46074766E+4,
732.00,6.62003438E+4,
733.00,6.73550469E+4,
734.00,6.91856328E+4,
735.00,7.00275078E+4,
736.00,7.16436406E+4,
737.00,7.33377969E+4,
738.00,7.43282266E+4,
739.00,7.53754609E+4,
740.00,7.70934063E+4,
741.00,7.81509688E+4,
742.00,8.03210000E+4,
743.00,8.12472188E+4,
744.00,8.25749219E+4,
745.00,8.37080938E+4,
746.00,8.48845000E+4,
747.00,8.56283359E+4,
748.00,8.60746797E+4,
749.00,8.81919375E+4,
750.00,8.95243203E+4,
751.00,8.95245547E+4,
752.00,9.15887656E+4,
753.00,9.36608516E+4,
754.00,9.41330781E+4,
755.00,9.50292813E+4,
756.00,9.64861250E+4,
757.00,9.81381172E+4,
758.00,9.92758594E+4,
759.00,1.00100000E+5,
760.00,1.00491555E+5,
761.00,1.01205508E+5,
762.00,1.00695875E+5,
763.00,1.02500680E+5,
764.00,1.04000383E+5,
765.00,1.05570727E+5,
766.00,1.05441852E+5,
767.00,1.06498820E+5,
768.00,1.08166016E+5,
769.00,1.09202125E+5,
770.00,1.09021977E+5,
771.00,1.11075984E+5,
772.00,1.11349563E+5,
773.00,1.12370781E+5,
774.00,1.13198008E+5,
775.00,1.13700164E+5,
776.00,1.14563477E+5,
777.00,1.15735211E+5,
778.00,1.15705375E+5,
779.00,1.16528383E+5,
780.00,1.17439938E+5,
781.00,1.17182273E+5,
782.00,1.18210883E+5,
783.00,1.18168539E+5,
784.00,1.19744914E+5,
785.00,1.19402805E+5,
786.00,1.19301883E+5,
787.00,1.19513531E+5,
788.00,1.19589313E+5,
789.00,1.20397570E+5,
790.00,1.20103984E+5,
791.00,1.19930625E+5,
792.00,1.21202836E+5,
793.00,1.20750625E+5,
794.00,1.22008117E+5,
795.00,1.21883180E+5,
796.00,1.21181250E+5,
797.00,1.21201383E+5,
798.00,1.20768055E+5,
799.00,1.20682219E+5,
800.00,1.21184258E+5,
801.00,1.21607414E+5,
802.00,1.21452727E+5,
803.00,1.20594148E+5,
804.00,1.20072180E+5,
805.00,1.20456820E+5,
806.00,1.20877148E+5,
807.00,1.21067047E+5,
808.00,1.21741383E+5,
809.00,1.20497383E+5,
810.00,1.19713078E+5,
811.00,1.19729359E+5,
812.00,1.19707531E+5,
813.00,1.20387453E+5,
814.00,1.18426500E+5,
815.00,1.19328531E+5,
816.00,1.17028141E+5,
817.00,1.17890945E+5,
818.00,1.17797484E+5,
819.00,1.17169766E+5,
820.00,1.16111406E+5,
821.00,1.16784352E+5,
822.00,1.16074281E+5,
823.00,1.15979953E+5,
824.00,1.15497164E+5,
825.00,1.15633742E+5,
826.00,1.13762734E+5,
827.00,1.13584125E+5,
828.00,1.13183172E+5,
829.00,1.12322234E+5,
830.00,1.11900867E+5,
831.00,1.11986234E+5,
832.00,1.11187055E+5,
833.00,1.11055086E+5,
834.00,1.11494117E+5,
835.00,1.09641219E+5,
836.00,1.09302961E+5,
837.00,1.09231500E+5,
838.00,1.08393609E+5,
839.00,1.08307367E+5,
840.00,1.07742656E+5,
841.00,1.07156078E+5,
842.00,1.05603766E+5,
843.00,1.05375047E+5,
844.00,1.05319203E+5,
845.00,1.04170914E+5,
846.00,1.03473242E+5,
847.00,1.02398156E+5,
848.00,1.02435813E+5,
849.00,1.01069000E+5,
850.00,1.00810883E+5,
851.00,1.00705625E+5,
852.00,1.00312922E+5,
853.00,9.89987422E+4,
854.00,9.77916797E+4,
855.00,9.80387578E+4,
856.00,9.75083125E+4,
857.00,9.67154375E+4,
858.00,9.61776094E+4,
859.00,9.54125469E+4,
860.00,9.42332734E+4,
861.00,9.35442422E+4,
862.00,9.29312891E+4,
863.00,9.17331719E+4,
864.00,9.12277891E+4,
865.00,9.06874219E+4,
866.00,8.99737578E+4,
867.00,8.87843047E+4,
868.00,8.79799453E+4,
869.00,8.67099141E+4,
870.00,8.64685547E+4,
871.00,8.63171250E+4,
872.00,8.51272578E+4,
873.00,8.45958438E+4,
874.00,8.40509297E+4,
875.00,8.33298984E+4,
876.00,8.21448203E+4,
877.00,8.16775000E+4,
878.00,8.13984219E+4,
879.00,7.99801016E+4,
880.00,7.91346797E+4,
881.00,7.80703828E+4,
882.00,7.78163984E+4,
883.00,7.69727188E+4,
884.00,7.59945547E+4,
885.00,7.48859063E+4,
886.00,7.49225313E+4,
887.00,7.36992578E+4,
888.00,7.34309141E+4,
889.00,7.29342422E+4,
890.00,7.18050859E+4,
891.00,7.09090469E+4,
892.00,7.02448750E+4,
893.00,6.95537422E+4,
894.00,6.91299063E+4,
895.00,6.84905859E+4,
896.00,6.78968828E+4,
897.00,6.69414922E+4,
898.00,6.63314766E+4,
899.00,6.54636875E+4,
900.00,6.52762891E+4,
901.00,6.44345000E+4,
902.00,6.39037578E+4,
903.00,6.34032500E+4,
904.00,6.25794570E+4,
905.00,6.26267461E+4,
906.00,6.17322695E+4,
907.00,6.12768086E+4,
908.00,6.10198555E+4,
909.00,6.03814375E+4,
910.00,5.99493984E+4,
911.00,5.90013867E+4,
912.00,5.88754258E+4,
913.00,5.79124180E+4,
914.00,5.71249336E+4,
915.00,5.69199844E+4,
916.00,5.63671758E+4,
917.00,5.61154180E+4,
918.00,5.54741055E+4,
919.00,5.47434766E+4,
920.00,5.38891992E+4,
921.00,5.35957930E+4,
922.00,5.30243398E+4,
923.00,5.21231406E+4,
924.00,5.15244922E+4,
925.00,5.11252656E+4,
926.00,5.05888750E+4,
927.00,5.02428750E+4,
928.00,4.95922031E+4,
929.00,4.90264609E+4,
930.00,4.81702148E+4,
931.00,4.78834766E+4,
932.00,4.74777500E+4,
933.00,4.68520664E+4,
934.00,4.61824844E+4,
935.00,4.59021367E+4,
936.00,4.52494531E+4,
937.00,4.45803750E+4,
938.00,4.45338320E+4,
939.00,4.37562813E+4,
940.00,4.32030078E+4,
941.00,4.28565273E+4,
942.00,4.22458555E+4,
943.00,4.17967656E+4,
944.00,4.11501250E+4,
945.00,4.07083086E+4,
946.00,4.03087930E+4,
947.00,3.98603164E+4,
948.00,3.93639727E+4,
949.00,3.89620039E+4,
950.00,3.82134727E+4,
951.00,3.81812422E+4,
952.00,3.76662031E+4,
953.00,3.70656602E+4,
954.00,3.69741172E+4,
955.00,3.63254023E+4,
956.00,3.56556445E+4,
957.00,3.53532578E+4,
958.00,3.48597773E+4,
959.00,3.43552852E+4,
960.00,3.37912383E+4,
961.00,3.35813828E+4,
962.00,3.32042891E+4,
963.00,3.27502891E+4,
964.00,3.25579395E+4,
965.00,3.20059668E+4,
966.00,3.17478047E+4,
967.00,3.11505391E+4,
968.00,3.09071367E+4,
969.00,3.07233086E+4,
970.00,3.04945547E+4,
971.00,3.01902188E+4,
972.00,2.99563711E+4,
973.00,2.94691016E+4,
974.00,2.87995938E+4,
975.00,2.88761602E+4,
976.00,2.86475039E+4,
977.00,2.82618652E+4,
978.00,2.79216055E+4,
979.00,2.76009688E+4,
980.00,2.72536836E+4,
981.00,2.69160449E+4,
982.00,2.64675098E+4,
983.00,2.63235547E+4,
984.00,2.58340371E+4,
985.00,2.58318438E+4,
986.00,2.54809980E+4,
987.00,2.51513457E+4,
988.00,2.47613770E+4,
989.00,2.46355684E+4,
990.00,2.42005996E+4,
991.00,2.37637852E+4,
992.00,2.34888926E+4,
993.00,2.30441934E+4,
994.00,2.28293691E+4,
995.00,2.25196348E+4,
996.00,2.23573574E+4,
997.00,2.18778574E+4,
998.00,2.15009277E+4,
999.00,2.12569121E+4,
1000.00,2.12081191E+4,
1001.000,2.08155078E+4,
1002.000,2.08445156E+4,
1003.000,2.02915234E+4,
1004.000,2.00764688E+4,
1005.000,1.96970859E+4,
1006.000,1.95094180E+4,
1007.000,1.92212793E+4,
1008.000,1.90119043E+4,
1009.000,1.85931133E+4,
1010.00,1.85034180E+4,
1011.000,1.81629961E+4,
1012.000,1.80089727E+4,
1013.000,1.76387754E+4,
1014.000,1.75454805E+4,
1015.000,1.71948750E+4,
1016.000,1.69646680E+4,
1017.000,1.67800996E+4,
1018.000,1.65332695E+4,
1019.000,1.65490391E+4,
1020.00,1.61919316E+4,
1021.000,1.57835322E+4,
1022.000,1.56314893E+4,
1023.000,1.54725605E+4,
1024.000,1.53817373E+4,
1025.000,1.51877451E+4,
1026.000,1.49436621E+4,
1027.000,1.46729033E+4,
1028.000,1.45453887E+4,
1029.000,1.43246699E+4,
1030.00,1.39857617E+4,
1031.000,1.38960371E+4,
1032.000,1.37414961E+4,
1033.000,1.37056270E+4,
1034.000,1.34855645E+4,
1035.000,1.32205820E+4,
1036.000,1.29911123E+4,
1037.000,1.27471172E+4,
1038.000,1.27720127E+4,
1039.000,1.25861738E+4,
1040.00,1.22848125E+4,
1041.000,1.22131865E+4,
1042.000,1.19652217E+4,
1043.000,1.17595400E+4,
1044.000,1.17648223E+4,
1045.000,1.15464307E+4,
1046.000,1.13273643E+4,
1047.000,1.11560039E+4,
1048.000,1.10228584E+4,
1049.000,1.10163594E+4,
1050.00,1.07730107E+4,
1051.000,1.06261055E+4,
1052.000,1.04936436E+4,
1053.000,1.03917959E+4,
1054.000,1.01981348E+4,
1055.000,1.00673145E+4,
1056.000,9.99176855E+3,
1057.000,9.99531836E+3,
1058.000,9.73180469E+3,
1059.000,9.43713184E+3,
1060.00,9.26321875E+3,
1061.000,9.40301367E+3,
1062.000,9.21388477E+3,
1063.000,9.07072168E+3,
1064.000,8.87204688E+3,
1065.000,8.73678906E+3,
1066.000,8.55540918E+3,
1067.000,8.51706836E+3,
1068.000,8.46961035E+3,
1069.000,8.31372266E+3,
1070.00,8.13650781E+3,
1071.000,8.08313428E+3,
1072.000,8.05944092E+3,
1073.000,7.83440234E+3,
1074.000,7.75574854E+3,
1075.000,7.69715527E+3,
1076.000,7.51406934E+3,
1077.000,7.49397021E+3,
1078.000,7.41630762E+3,
1079.000,7.23231055E+3,
1080.00,7.13518311E+3,
1081.000,7.11497168E+3,
1082.000,6.96337695E+3,
1083.000,6.97097510E+3,
1084.000,6.81408057E+3,
1085.000,6.72081934E+3,
1086.000,6.55184570E+3,
1087.000,6.52119678E+3,
1088.000,6.50167529E+3,
1089.000,6.29771240E+3,
1090.00,6.26871094E+3,
1091.000,6.19595215E+3,
1092.000,6.10746338E+3,
1093.000,6.04756104E+3,
1094.000,5.92215576E+3,
1095.000,5.77862842E+3,
1096.000,5.68534473E+3,
1097.000,5.65678027E+3,
1098.000,5.56476367E+3,
1099.000,5.52110449E+3,
1100.00,5.40472852E+3,
