Labels,175-450-EM,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,1100.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,5.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.00,
Detector,Det2,

700.00,2.10009727E+4,
701.00,2.15989277E+4,
702.00,2.24552969E+4,
703.00,2.37168223E+4,
704.00,2.48159766E+4,
705.00,2.61674863E+4,
706.00,2.72628945E+4,
707.00,2.85066250E+4,
708.00,2.91409805E+4,
709.00,3.03648867E+4,
710.00,3.12642422E+4,
711.00,3.25183965E+4,
712.00,3.47274102E+4,
713.00,3.56172734E+4,
714.00,3.69581328E+4,
715.00,3.82167656E+4,
716.00,3.98023984E+4,
717.00,4.06535078E+4,
718.00,4.19179492E+4,
719.00,4.30340625E+4,
720.00,4.45721914E+4,
721.00,4.51533711E+4,
722.00,4.69262773E+4,
723.00,4.77859688E+4,
724.00,4.83837891E+4,
725.00,4.98280625E+4,
726.00,5.09187617E+4,
727.00,5.20528750E+4,
728.00,5.27878828E+4,
729.00,5.41032695E+4,
730.00,5.52978945E+4,
731.00,5.66760664E+4,
732.00,5.69513203E+4,
733.00,5.82473438E+4,
734.00,5.97131563E+4,
735.00,6.02220117E+4,
736.00,6.19845781E+4,
737.00,6.21280313E+4,
738.00,6.34824805E+4,
739.00,6.44279375E+4,
740.00,6.58852656E+4,
741.00,6.67699063E+4,
742.00,6.82520547E+4,
743.00,6.91275391E+4,
744.00,6.89209297E+4,
745.00,7.02461250E+4,
746.00,7.20504063E+4,
747.00,7.25109453E+4,
748.00,7.43440313E+4,
749.00,7.51030000E+4,
750.00,7.54830156E+4,
751.00,7.65085313E+4,
752.00,7.75042891E+4,
753.00,7.85634063E+4,
754.00,7.93613516E+4,
755.00,8.10532266E+4,
756.00,8.14103203E+4,
757.00,8.25592969E+4,
758.00,8.33777969E+4,
759.00,8.35203203E+4,
760.00,8.43158750E+4,
761.00,8.42790625E+4,
762.00,8.60271875E+4,
763.00,8.69495703E+4,
764.00,8.80650938E+4,
765.00,8.85830234E+4,
766.00,8.96358047E+4,
767.00,9.03484375E+4,
768.00,9.11437734E+4,
769.00,9.16168047E+4,
770.00,9.21253672E+4,
771.00,9.37829375E+4,
772.00,9.40060234E+4,
773.00,9.39915078E+4,
774.00,9.46411641E+4,
775.00,9.57449922E+4,
776.00,9.49859844E+4,
777.00,9.53566172E+4,
778.00,9.71400781E+4,
779.00,9.74381563E+4,
780.00,9.80095938E+4,
781.00,9.85645703E+4,
782.00,9.82377734E+4,
783.00,9.82706953E+4,
784.00,9.81825078E+4,
785.00,9.88143281E+4,
786.00,1.00147930E+5,
787.00,1.00415109E+5,
788.00,9.95994297E+4,
789.00,1.00237391E+5,
790.00,1.00104602E+5,
791.00,1.00715906E+5,
792.00,1.00792070E+5,
793.00,1.00885297E+5,
794.00,1.01210922E+5,
795.00,1.00986945E+5,
796.00,1.00692258E+5,
797.00,1.02402945E+5,
798.00,1.01268883E+5,
799.00,1.01306938E+5,
800.00,1.01839438E+5,
801.00,1.01248516E+5,
802.00,1.01335719E+5,
803.00,1.01567875E+5,
804.00,1.00530047E+5,
805.00,1.01266180E+5,
806.00,1.00443047E+5,
807.00,1.00993781E+5,
808.00,1.01135180E+5,
809.00,1.00848156E+5,
810.00,1.00247063E+5,
811.00,1.00895594E+5,
812.00,1.00183320E+5,
813.00,9.99694531E+4,
814.00,9.85842266E+4,
815.00,9.80347031E+4,
816.00,9.84780469E+4,
817.00,9.86130625E+4,
818.00,9.83031563E+4,
819.00,9.80404609E+4,
820.00,9.81090391E+4,
821.00,9.67162422E+4,
822.00,9.71254688E+4,
823.00,9.63203359E+4,
824.00,9.53410156E+4,
825.00,9.61821328E+4,
826.00,9.50462891E+4,
827.00,9.51589609E+4,
828.00,9.44646406E+4,
829.00,9.32961406E+4,
830.00,9.37893438E+4,
831.00,9.22238594E+4,
832.00,9.28074219E+4,
833.00,9.08490625E+4,
834.00,9.12883750E+4,
835.00,9.05855547E+4,
836.00,9.05762422E+4,
837.00,9.02925391E+4,
838.00,9.02545781E+4,
839.00,8.89407500E+4,
840.00,8.86071094E+4,
841.00,8.80105781E+4,
842.00,8.76071641E+4,
843.00,8.66696641E+4,
844.00,8.69736797E+4,
845.00,8.51107656E+4,
846.00,8.51506016E+4,
847.00,8.52949688E+4,
848.00,8.42815313E+4,
849.00,8.40084141E+4,
850.00,8.29726094E+4,
851.00,8.24996953E+4,
852.00,8.28926641E+4,
853.00,8.12947578E+4,
854.00,8.06061563E+4,
855.00,8.05232500E+4,
856.00,8.01889297E+4,
857.00,7.89725625E+4,
858.00,7.83010547E+4,
859.00,7.77378906E+4,
860.00,7.77873828E+4,
861.00,7.64545234E+4,
862.00,7.61146172E+4,
863.00,7.52742813E+4,
864.00,7.46747813E+4,
865.00,7.51666953E+4,
866.00,7.42447734E+4,
867.00,7.29143828E+4,
868.00,7.23936484E+4,
869.00,7.18051016E+4,
870.00,7.09206953E+4,
871.00,7.05301328E+4,
872.00,6.96902500E+4,
873.00,6.95335469E+4,
874.00,6.93122656E+4,
875.00,6.82965156E+4,
876.00,6.75993125E+4,
877.00,6.72075703E+4,
878.00,6.61328281E+4,
879.00,6.52665352E+4,
880.00,6.50337500E+4,
881.00,6.43536484E+4,
882.00,6.36839258E+4,
883.00,6.27027773E+4,
884.00,6.25759922E+4,
885.00,6.21465352E+4,
886.00,6.09235547E+4,
887.00,6.09026602E+4,
888.00,6.03777031E+4,
889.00,5.96175195E+4,
890.00,5.91366289E+4,
891.00,5.82514883E+4,
892.00,5.80264766E+4,
893.00,5.73680977E+4,
894.00,5.64815664E+4,
895.00,5.60711992E+4,
896.00,5.55022578E+4,
897.00,5.52303359E+4,
898.00,5.48652188E+4,
899.00,5.40004375E+4,
900.00,5.34507930E+4,
901.00,5.32233594E+4,
902.00,5.26932734E+4,
903.00,5.20835859E+4,
904.00,5.16885078E+4,
905.00,5.08958164E+4,
906.00,5.10697930E+4,
907.00,5.01238828E+4,
908.00,4.97081211E+4,
909.00,4.93286289E+4,
910.00,4.89010117E+4,
911.00,4.83766172E+4,
912.00,4.82581016E+4,
913.00,4.71964414E+4,
914.00,4.72042109E+4,
915.00,4.64609102E+4,
916.00,4.60989648E+4,
917.00,4.56095938E+4,
918.00,4.50969688E+4,
919.00,4.49645391E+4,
920.00,4.39939414E+4,
921.00,4.35971055E+4,
922.00,4.35355469E+4,
923.00,4.30159102E+4,
924.00,4.20206758E+4,
925.00,4.16548438E+4,
926.00,4.15730117E+4,
927.00,4.09654727E+4,
928.00,4.04560000E+4,
929.00,4.02966836E+4,
930.00,3.93553867E+4,
931.00,3.87859648E+4,
932.00,3.85658438E+4,
933.00,3.81108945E+4,
934.00,3.79570078E+4,
935.00,3.74541133E+4,
936.00,3.70356016E+4,
937.00,3.68267813E+4,
938.00,3.59219414E+4,
939.00,3.57798203E+4,
940.00,3.53140625E+4,
941.00,3.47844414E+4,
942.00,3.46953672E+4,
943.00,3.41086641E+4,
944.00,3.38175234E+4,
945.00,3.35374102E+4,
946.00,3.29781094E+4,
947.00,3.23470547E+4,
948.00,3.20006738E+4,
949.00,3.13892324E+4,
950.00,3.12999805E+4,
951.00,3.07932695E+4,
952.00,3.03551855E+4,
953.00,3.01486270E+4,
954.00,2.99959805E+4,
955.00,2.96609961E+4,
956.00,2.92855664E+4,
957.00,2.88722031E+4,
958.00,2.85875898E+4,
959.00,2.79760137E+4,
960.00,2.75914102E+4,
961.00,2.73438672E+4,
962.00,2.72774746E+4,
963.00,2.69939746E+4,
964.00,2.64848809E+4,
965.00,2.62427480E+4,
966.00,2.58275234E+4,
967.00,2.55922832E+4,
968.00,2.53910840E+4,
969.00,2.50594766E+4,
970.00,2.49967891E+4,
971.00,2.45615586E+4,
972.00,2.42836582E+4,
973.00,2.40526309E+4,
974.00,2.38221797E+4,
975.00,2.35505430E+4,
976.00,2.33053750E+4,
977.00,2.30794844E+4,
978.00,2.28659473E+4,
979.00,2.25907754E+4,
980.00,2.21457129E+4,
981.00,2.18299785E+4,
982.00,2.16893242E+4,
983.00,2.13152520E+4,
984.00,2.12000254E+4,
985.00,2.09208203E+4,
986.00,2.04628984E+4,
987.00,2.03684766E+4,
988.00,2.01153242E+4,
989.00,2.00082793E+4,
990.00,1.98394160E+4,
991.00,1.95799082E+4,
992.00,1.91352070E+4,
993.00,1.90776973E+4,
994.00,1.87956602E+4,
995.00,1.83796465E+4,
996.00,1.82159219E+4,
997.00,1.78213809E+4,
998.00,1.76719746E+4,
999.00,1.74461523E+4,
1000.00,1.73411621E+4,
1001.000,1.70948105E+4,
1002.000,1.68057793E+4,
1003.000,1.65658164E+4,
1004.000,1.62477002E+4,
1005.000,1.60341895E+4,
1006.000,1.58775811E+4,
1007.000,1.57468506E+4,
1008.000,1.56484561E+4,
1009.000,1.52049121E+4,
1010.00,1.50729375E+4,
1011.000,1.49081631E+4,
1012.000,1.47415020E+4,
1013.000,1.44659209E+4,
1014.000,1.42652695E+4,
1015.000,1.41101406E+4,
1016.000,1.41072139E+4,
1017.000,1.37059688E+4,
1018.000,1.35200146E+4,
1019.000,1.35013105E+4,
1020.00,1.32979170E+4,
1021.000,1.30193809E+4,
1022.000,1.28412676E+4,
1023.000,1.27162139E+4,
1024.000,1.24542070E+4,
1025.000,1.24495439E+4,
1026.000,1.21214180E+4,
1027.000,1.22263848E+4,
1028.000,1.17959092E+4,
1029.000,1.16492900E+4,
1030.00,1.16019971E+4,
1031.000,1.15796289E+4,
1032.000,1.14411514E+4,
1033.000,1.11511719E+4,
1034.000,1.10605459E+4,
1035.000,1.09027031E+4,
1036.000,1.07338008E+4,
1037.000,1.05968350E+4,
1038.000,1.04750693E+4,
1039.000,1.02370830E+4,
1040.00,1.01065283E+4,
1041.000,9.94717285E+3,
1042.000,9.88266113E+3,
1043.000,9.74854492E+3,
1044.000,9.57474805E+3,
1045.000,9.39393750E+3,
1046.000,9.37564258E+3,
1047.000,9.31865430E+3,
1048.000,9.08912891E+3,
1049.000,8.98507715E+3,
1050.00,8.80867676E+3,
1051.000,8.68812500E+3,
1052.000,8.58760742E+3,
1053.000,8.47830566E+3,
1054.000,8.36301758E+3,
1055.000,8.18750146E+3,
1056.000,8.16570850E+3,
1057.000,8.09408301E+3,
1058.000,7.90896094E+3,
1059.000,7.78658740E+3,
1060.00,7.73329150E+3,
1061.000,7.60487207E+3,
1062.000,7.53447168E+3,
1063.000,7.33825244E+3,
1064.000,7.34728125E+3,
1065.000,7.23338770E+3,
1066.000,7.22715918E+3,
1067.000,7.02184033E+3,
1068.000,6.95248975E+3,
1069.000,6.89412158E+3,
1070.00,6.76429639E+3,
1071.000,6.59400293E+3,
1072.000,6.63735938E+3,
1073.000,6.55513965E+3,
1074.000,6.40172900E+3,
1075.000,6.34915283E+3,
1076.000,6.31496338E+3,
1077.000,6.06051514E+3,
1078.000,6.02857910E+3,
1079.000,6.01732568E+3,
1080.00,5.87731836E+3,
1081.000,5.83622559E+3,
1082.000,5.69218896E+3,
1083.000,5.58933301E+3,
1084.000,5.57453955E+3,
1085.000,5.60902979E+3,
1086.000,5.41559082E+3,
1087.000,5.42363818E+3,
1088.000,5.33204785E+3,
1089.000,5.27501074E+3,
1090.00,5.18112061E+3,
1091.000,5.13054736E+3,
1092.000,5.05220459E+3,
1093.000,5.08356348E+3,
1094.000,4.90162012E+3,
1095.000,4.84866357E+3,
1096.000,4.79904932E+3,
1097.000,4.73244727E+3,
1098.000,4.67623730E+3,
1099.000,4.56274121E+3,
1100.00,4.61736084E+3,
