Labels,810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.9999852,
Detector,Det2,

250.00,1.25025107E+4,
251.00,2.43576152E+4,
252.00,3.75890078E+4,
253.00,3.51326133E+4,
254.00,2.31230098E+4,
255.00,3.11028203E+4,
256.00,4.44051094E+4,
257.00,3.09454141E+4,
258.00,3.47641758E+4,
259.00,3.61332109E+4,
260.00,3.90358750E+4,
261.00,3.97016797E+4,
262.00,4.07686992E+4,
263.00,3.63128828E+4,
264.00,3.57053281E+4,
265.00,4.02896602E+4,
266.00,3.74090039E+4,
267.00,3.21906133E+4,
268.00,4.02764961E+4,
269.00,3.62562578E+4,
270.00,4.01075820E+4,
271.00,3.84134141E+4,
272.00,3.93484375E+4,
273.00,3.72511211E+4,
274.00,3.83028555E+4,
275.00,4.09601133E+4,
276.00,4.30652500E+4,
277.00,4.31212305E+4,
278.00,4.27724883E+4,
279.00,4.23859141E+4,
280.00,4.29754883E+4,
281.00,4.24103750E+4,
282.00,4.53815039E+4,
283.00,4.74122891E+4,
284.00,4.65110625E+4,
285.00,4.50662617E+4,
286.00,4.76179727E+4,
287.00,4.95396328E+4,
288.00,4.90102734E+4,
289.00,4.79919297E+4,
290.00,4.78052617E+4,
291.00,4.81397188E+4,
292.00,4.91895000E+4,
293.00,4.64854805E+4,
294.00,4.70867109E+4,
295.00,4.61356719E+4,
296.00,4.31247773E+4,
297.00,4.30724766E+4,
298.00,4.30775273E+4,
299.00,4.18240977E+4,
300.00,4.03629492E+4,
301.00,3.77634297E+4,
302.00,3.72628398E+4,
303.00,3.46155664E+4,
304.00,3.29146836E+4,
305.00,3.13986445E+4,
306.00,2.82610977E+4,
307.00,2.68522559E+4,
308.00,2.53863398E+4,
309.00,2.36295430E+4,
310.00,2.13590801E+4,
311.00,1.95441387E+4,
312.00,1.88805566E+4,
313.00,1.69312422E+4,
314.00,1.51734990E+4,
315.00,1.45946875E+4,
316.00,1.33382021E+4,
317.00,1.21954492E+4,
318.00,1.09906621E+4,
319.00,1.00722354E+4,
320.00,9.18572754E+3,
321.00,8.38319043E+3,
322.00,7.99669287E+3,
323.00,7.13106396E+3,
324.00,6.66936426E+3,
325.00,6.21277100E+3,
326.00,5.75736719E+3,
327.00,5.33164160E+3,
328.00,5.03623975E+3,
329.00,5.18462939E+3,
330.00,4.42935791E+3,
331.00,3.67962183E+3,
332.00,3.77346509E+3,
333.00,3.44469800E+3,
334.00,3.39900366E+3,
335.00,3.27572827E+3,
336.00,2.80678833E+3,
337.00,2.88165381E+3,
338.00,2.50597900E+3,
339.00,2.47776807E+3,
340.00,2.25398218E+3,
341.00,2.25468286E+3,
342.00,1.86638904E+3,
343.00,2.17438794E+3,
344.00,1.97401733E+3,
345.00,1.96118140E+3,
346.00,1.83009766E+3,
347.00,1.87285669E+3,
348.00,1.80387878E+3,
349.00,1.83861853E+3,
350.00,1.94595532E+3,
351.00,1.93571497E+3,
352.00,1.66992334E+3,
353.00,1.66261548E+3,
354.00,1.89712634E+3,
355.00,1.97927478E+3,
356.00,2.00692883E+3,
357.00,2.14778052E+3,
358.00,2.23619214E+3,
359.00,2.22827710E+3,
360.00,2.45692212E+3,
361.00,2.59979248E+3,
362.00,2.90003540E+3,
363.00,3.29407690E+3,
364.00,3.39899170E+3,
365.00,3.69654688E+3,
366.00,3.84768213E+3,
367.00,4.27854688E+3,
368.00,4.89887842E+3,
369.00,5.29438867E+3,
370.00,5.90358350E+3,
371.00,6.69639648E+3,
372.00,7.15969189E+3,
373.00,8.14440234E+3,
374.00,9.14058691E+3,
375.00,1.03845049E+4,
376.00,1.15410967E+4,
377.00,1.28515928E+4,
378.00,1.42892363E+4,
379.00,1.57992412E+4,
380.00,1.74946309E+4,
381.00,1.94777070E+4,
382.00,2.17501719E+4,
383.00,2.34755801E+4,
384.00,2.61626309E+4,
385.00,2.86717852E+4,
386.00,3.14725996E+4,
387.00,3.55295859E+4,
388.00,3.76483047E+4,
389.00,4.13395430E+4,
390.00,4.47566055E+4,
391.00,4.86691914E+4,
392.00,5.22946836E+4,
393.00,5.61347188E+4,
394.00,6.06432031E+4,
395.00,6.49821445E+4,
396.00,6.85798281E+4,
397.00,7.28236328E+4,
398.00,7.69109063E+4,
399.00,8.07833281E+4,
400.00,8.67190000E+4,
401.00,9.07516953E+4,
402.00,9.42825391E+4,
403.00,1.00161539E+5,
404.00,1.05073813E+5,
405.00,1.08442352E+5,
406.00,1.13422703E+5,
407.00,1.18487984E+5,
408.00,1.23134461E+5,
409.00,1.26722188E+5,
410.00,1.29835789E+5,
411.00,1.35152984E+5,
412.00,1.37978750E+5,
413.00,1.43591906E+5,
414.00,1.46410078E+5,
415.00,1.48971391E+5,
416.00,1.53939844E+5,
417.00,1.55724516E+5,
418.00,1.60757672E+5,
419.00,1.64371781E+5,
420.00,1.66293922E+5,
421.00,1.71582375E+5,
422.00,1.73542359E+5,
423.00,1.76954078E+5,
424.00,1.78473156E+5,
425.00,1.81973234E+5,
426.00,1.84997813E+5,
427.00,1.86454469E+5,
428.00,1.88489203E+5,
429.00,1.91598188E+5,
430.00,1.93191375E+5,
431.00,1.96451594E+5,
432.00,1.97058891E+5,
433.00,1.98486578E+5,
434.00,2.01419672E+5,
435.00,2.01972250E+5,
436.00,2.02959734E+5,
437.00,2.05850391E+5,
438.00,2.05258063E+5,
439.00,2.06203172E+5,
440.00,2.08535234E+5,
441.00,2.08951000E+5,
442.00,2.08447641E+5,
443.00,2.09226438E+5,
444.00,2.09335281E+5,
445.00,2.08818453E+5,
446.00,2.12607797E+5,
447.00,2.11830250E+5,
448.00,2.11921047E+5,
449.00,2.11230344E+5,
450.00,2.08951563E+5,
451.00,2.11964563E+5,
452.00,2.08906203E+5,
453.00,2.10345266E+5,
454.00,2.09451672E+5,
