Labels,RT-450-EM,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9999852,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

600.00,4.69910547E+3,
601.00,4.32283594E+3,
602.00,3.69160376E+3,
603.00,3.37695630E+3,
604.00,3.33572461E+3,
605.00,3.16112769E+3,
606.00,3.14822705E+3,
607.00,3.03789868E+3,
608.00,3.08658301E+3,
609.00,3.28992700E+3,
610.00,3.35052344E+3,
611.00,2.95356763E+3,
612.00,3.17399414E+3,
613.00,3.25756909E+3,
614.00,3.07377271E+3,
615.00,3.27151318E+3,
616.00,3.14822388E+3,
617.00,3.31211499E+3,
618.00,3.34793335E+3,
619.00,3.04126245E+3,
620.00,2.94162134E+3,
621.00,2.95125049E+3,
622.00,3.08391357E+3,
623.00,2.96221655E+3,
624.00,3.21194263E+3,
625.00,2.96453882E+3,
626.00,2.88228613E+3,
627.00,2.77012915E+3,
628.00,2.72091992E+3,
629.00,2.85528223E+3,
630.00,2.76447803E+3,
631.00,2.59197607E+3,
632.00,2.53610156E+3,
633.00,2.49028174E+3,
634.00,2.33122119E+3,
635.00,2.18133765E+3,
636.00,2.32540601E+3,
637.00,2.41644092E+3,
638.00,2.47559033E+3,
639.00,2.38868359E+3,
640.00,2.61219287E+3,
641.00,2.26212915E+3,
642.00,2.53922559E+3,
643.00,2.54857129E+3,
644.00,2.50208911E+3,
645.00,2.66524292E+3,
646.00,2.79048901E+3,
647.00,2.49914722E+3,
648.00,2.62283911E+3,
649.00,2.66536719E+3,
650.00,2.77535376E+3,
651.00,2.92570679E+3,
652.00,3.03908984E+3,
653.00,2.92777588E+3,
654.00,3.11054492E+3,
655.00,3.12473755E+3,
656.00,3.49158447E+3,
657.00,3.43751587E+3,
658.00,3.72384204E+3,
659.00,3.77863794E+3,
660.00,4.39701953E+3,
661.00,4.58073779E+3,
662.00,4.75136523E+3,
663.00,5.22396387E+3,
664.00,5.49469824E+3,
665.00,5.94670996E+3,
666.00,5.99739307E+3,
667.00,6.37115137E+3,
668.00,6.84267773E+3,
669.00,6.88229980E+3,
670.00,7.15608984E+3,
671.00,7.74891260E+3,
672.00,8.00144873E+3,
673.00,8.33024219E+3,
674.00,8.66406250E+3,
675.00,8.88464648E+3,
676.00,9.06784570E+3,
677.00,9.47792871E+3,
678.00,9.90025488E+3,
679.00,1.02299141E+4,
680.00,8.28522949E+3,
681.00,8.99505371E+3,
682.00,9.65377441E+3,
683.00,1.06139922E+4,
684.00,1.15782139E+4,
685.00,1.20298223E+4,
686.00,1.29177373E+4,
687.00,1.39358145E+4,
688.00,1.47477363E+4,
689.00,1.55827813E+4,
690.00,1.71518770E+4,
691.00,1.85884277E+4,
692.00,2.00766172E+4,
693.00,2.22039863E+4,
694.00,2.41707988E+4,
695.00,2.54631309E+4,
696.00,2.77594375E+4,
697.00,2.88015938E+4,
698.00,3.01880059E+4,
699.00,3.20941133E+4,
700.00,3.34210352E+4,
701.00,3.49995547E+4,
702.00,3.71023984E+4,
703.00,3.86712266E+4,
704.00,4.05169922E+4,
705.00,4.26489336E+4,
706.00,4.38521406E+4,
707.00,4.66765898E+4,
708.00,4.95185273E+4,
709.00,5.17108320E+4,
710.00,5.35390273E+4,
711.00,5.70176328E+4,
712.00,6.01554766E+4,
713.00,6.21628008E+4,
714.00,6.46464961E+4,
715.00,6.62416719E+4,
716.00,6.91799531E+4,
717.00,7.19545078E+4,
718.00,7.34698203E+4,
719.00,7.70045547E+4,
720.00,7.90393516E+4,
721.00,8.10495234E+4,
722.00,8.43029375E+4,
723.00,8.60088594E+4,
724.00,8.78584766E+4,
725.00,9.02864922E+4,
726.00,9.36496719E+4,
727.00,9.67343672E+4,
728.00,9.94398203E+4,
729.00,1.01474750E+5,
730.00,1.03674813E+5,
731.00,1.07203031E+5,
732.00,1.10208781E+5,
733.00,1.12416680E+5,
734.00,1.15951844E+5,
735.00,1.18422125E+5,
736.00,1.19516375E+5,
737.00,1.22379055E+5,
738.00,1.24162398E+5,
739.00,1.26794602E+5,
740.00,1.30745602E+5,
741.00,1.33573359E+5,
742.00,1.35641156E+5,
743.00,1.37717031E+5,
744.00,1.40717609E+5,
745.00,1.43196594E+5,
746.00,1.46474375E+5,
747.00,1.48865438E+5,
748.00,1.51221453E+5,
749.00,1.53479109E+5,
750.00,1.55634516E+5,
751.00,1.58932484E+5,
752.00,1.59565141E+5,
753.00,1.62739563E+5,
754.00,1.64961109E+5,
755.00,1.68595703E+5,
756.00,1.72154250E+5,
757.00,1.74162375E+5,
758.00,1.74215297E+5,
759.00,1.78149750E+5,
760.00,1.79155375E+5,
761.00,1.80796547E+5,
762.00,1.82464797E+5,
763.00,1.85722047E+5,
764.00,1.87380234E+5,
765.00,1.89614344E+5,
766.00,1.92293313E+5,
767.00,1.94985688E+5,
768.00,1.95268281E+5,
769.00,1.97013609E+5,
770.00,2.00036375E+5,
771.00,2.01557219E+5,
772.00,2.03353594E+5,
773.00,2.05146641E+5,
774.00,2.04186250E+5,
775.00,2.07165063E+5,
776.00,2.10661266E+5,
777.00,2.11863063E+5,
778.00,2.12281000E+5,
779.00,2.14196656E+5,
780.00,2.17056031E+5,
781.00,2.17194531E+5,
782.00,2.18511516E+5,
783.00,2.20293031E+5,
784.00,2.21866734E+5,
785.00,2.19899078E+5,
786.00,2.20552344E+5,
787.00,2.23166469E+5,
788.00,2.23959172E+5,
789.00,2.26008766E+5,
790.00,2.26492703E+5,
791.00,2.26220313E+5,
792.00,2.27952188E+5,
793.00,2.26862391E+5,
794.00,2.27856422E+5,
795.00,2.29122438E+5,
796.00,2.29491172E+5,
797.00,2.30023266E+5,
798.00,2.29581391E+5,
799.00,2.31298438E+5,
800.00,2.30388266E+5,
801.00,2.30912109E+5,
802.00,2.30649328E+5,
803.00,2.30001313E+5,
804.00,2.30769922E+5,
805.00,2.32160000E+5,
806.00,2.31972375E+5,
807.00,2.32822063E+5,
808.00,2.32533406E+5,
809.00,2.31916172E+5,
810.00,2.31573063E+5,
811.00,2.32618094E+5,
812.00,2.33310375E+5,
813.00,2.32716719E+5,
814.00,2.31052500E+5,
815.00,2.31086688E+5,
816.00,2.31101844E+5,
817.00,2.28942766E+5,
818.00,2.28673219E+5,
819.00,2.30462688E+5,
820.00,2.31812250E+5,
821.00,2.29081406E+5,
822.00,2.27635672E+5,
823.00,2.29058953E+5,
824.00,2.28545641E+5,
825.00,2.27765078E+5,
826.00,2.27220609E+5,
827.00,2.25688688E+5,
828.00,2.24696375E+5,
829.00,2.23712188E+5,
830.00,2.24964359E+5,
831.00,2.25156672E+5,
832.00,2.22644266E+5,
833.00,2.22636500E+5,
834.00,2.20991313E+5,
835.00,2.22774531E+5,
836.00,2.21777875E+5,
837.00,2.18964125E+5,
838.00,2.18066641E+5,
839.00,2.17005281E+5,
840.00,2.17341516E+5,
841.00,2.14517844E+5,
842.00,2.14492328E+5,
843.00,2.13957063E+5,
844.00,2.13229734E+5,
845.00,2.11218563E+5,
846.00,2.09748797E+5,
847.00,2.07993828E+5,
848.00,2.08301797E+5,
849.00,2.08593438E+5,
850.00,2.04647297E+5,
851.00,2.04984656E+5,
852.00,2.05316156E+5,
853.00,2.03806969E+5,
854.00,2.01308078E+5,
855.00,2.01842391E+5,
856.00,2.00105266E+5,
857.00,1.98995922E+5,
858.00,1.98220906E+5,
859.00,1.95117047E+5,
860.00,1.95613109E+5,
861.00,1.93680188E+5,
862.00,1.92298844E+5,
863.00,1.90243703E+5,
864.00,1.88659500E+5,
865.00,1.87085938E+5,
866.00,1.88196281E+5,
867.00,1.85095484E+5,
868.00,1.83236031E+5,
869.00,1.83967484E+5,
870.00,1.80101703E+5,
871.00,1.79337078E+5,
872.00,1.78832516E+5,
873.00,1.78212813E+5,
874.00,1.76199531E+5,
875.00,1.74180188E+5,
876.00,1.73447984E+5,
877.00,1.70026188E+5,
878.00,1.70934781E+5,
879.00,1.69331094E+5,
880.00,1.67908375E+5,
881.00,1.65725969E+5,
882.00,1.63896906E+5,
883.00,1.64110609E+5,
884.00,1.62109984E+5,
885.00,1.61607391E+5,
886.00,1.60274453E+5,
887.00,1.58204906E+5,
888.00,1.55579031E+5,
889.00,1.55855516E+5,
890.00,1.54615375E+5,
891.00,1.52854328E+5,
892.00,1.52005422E+5,
893.00,1.48878750E+5,
894.00,1.49142391E+5,
895.00,1.47598125E+5,
896.00,1.46043844E+5,
897.00,1.43862234E+5,
898.00,1.42016266E+5,
899.00,1.41489844E+5,
900.00,1.39759813E+5,
901.00,1.39581188E+5,
902.00,1.37004453E+5,
903.00,1.36278766E+5,
904.00,1.35990828E+5,
905.00,1.34621063E+5,
906.00,1.34339984E+5,
907.00,1.32404844E+5,
908.00,1.31431703E+5,
909.00,1.30399859E+5,
910.00,1.29355016E+5,
911.00,1.28107844E+5,
912.00,1.27117594E+5,
913.00,1.25603516E+5,
914.00,1.24028258E+5,
915.00,1.23076531E+5,
916.00,1.21902320E+5,
917.00,1.21327805E+5,
918.00,1.19568078E+5,
919.00,1.18577469E+5,
920.00,1.16800969E+5,
921.00,1.15490602E+5,
922.00,1.14201930E+5,
923.00,1.13044281E+5,
924.00,1.12100789E+5,
925.00,1.10740492E+5,
926.00,1.09540227E+5,
927.00,1.08946734E+5,
928.00,1.06862789E+5,
929.00,1.06078867E+5,
930.00,1.04600367E+5,
931.00,1.03407867E+5,
932.00,1.02356805E+5,
933.00,1.01622461E+5,
934.00,1.00513617E+5,
935.00,9.95576016E+4,
936.00,9.82163828E+4,
937.00,9.68193281E+4,
938.00,9.57843438E+4,
939.00,9.48392188E+4,
940.00,9.44627500E+4,
941.00,9.28597656E+4,
942.00,9.17870234E+4,
943.00,9.10640625E+4,
944.00,8.96514063E+4,
945.00,8.82387422E+4,
946.00,8.72399141E+4,
947.00,8.58976328E+4,
948.00,8.50771875E+4,
949.00,8.37283750E+4,
950.00,8.34396719E+4,
951.00,8.21889688E+4,
952.00,8.08065000E+4,
953.00,8.01293672E+4,
954.00,7.91432813E+4,
955.00,7.86831250E+4,
956.00,7.75503125E+4,
957.00,7.61078359E+4,
958.00,7.52071328E+4,
959.00,7.47729688E+4,
960.00,7.37344688E+4,
961.00,7.24910078E+4,
962.00,7.26805703E+4,
963.00,7.16598906E+4,
964.00,7.05222891E+4,
965.00,6.93922500E+4,
966.00,6.89710000E+4,
967.00,6.83182734E+4,
968.00,6.76516641E+4,
969.00,6.67156563E+4,
970.00,6.62913672E+4,
971.00,6.50729766E+4,
972.00,6.45647500E+4,
973.00,6.37687852E+4,
974.00,6.32986172E+4,
975.00,6.21952266E+4,
976.00,6.18936484E+4,
977.00,6.13832422E+4,
978.00,6.05929727E+4,
979.00,5.97826719E+4,
980.00,5.92640117E+4,
981.00,5.82554844E+4,
982.00,5.73267188E+4,
983.00,5.69945078E+4,
984.00,5.64798164E+4,
985.00,5.52561758E+4,
986.00,5.45913008E+4,
987.00,5.43232969E+4,
988.00,5.34179648E+4,
989.00,5.24484297E+4,
990.00,5.16001875E+4,
991.00,5.11648789E+4,
992.00,5.04175313E+4,
993.00,4.97836250E+4,
994.00,4.95187930E+4,
995.00,4.88193281E+4,
996.00,4.79225313E+4,
997.00,4.73938125E+4,
998.00,4.65727617E+4,
999.00,4.58668438E+4,
1000.00,4.58293086E+4,
1001.000,4.48992930E+4,
1002.000,4.40792969E+4,
1003.000,4.35314063E+4,
1004.000,4.31181758E+4,
1005.000,4.26561953E+4,
1006.000,4.20256641E+4,
1007.000,4.12246797E+4,
1008.000,4.07890781E+4,
1009.000,4.03559844E+4,
1010.00,3.96055508E+4,
1011.000,3.94414414E+4,
1012.000,3.87073242E+4,
1013.000,3.81351406E+4,
1014.000,3.78445391E+4,
1015.000,3.71614922E+4,
1016.000,3.68296719E+4,
1017.000,3.60825664E+4,
1018.000,3.55138633E+4,
1019.000,3.49995938E+4,
1020.00,3.43606328E+4,
1021.000,3.40819375E+4,
1022.000,3.37387969E+4,
1023.000,3.33480859E+4,
1024.000,3.29161641E+4,
1025.000,3.21231367E+4,
1026.000,3.20564707E+4,
1027.000,3.15081523E+4,
1028.000,3.11257695E+4,
1029.000,3.06110371E+4,
1030.00,3.01344844E+4,
1031.000,2.95185723E+4,
1032.000,2.95315859E+4,
1033.000,2.89272578E+4,
1034.000,2.84705566E+4,
1035.000,2.82879492E+4,
1036.000,2.76233672E+4,
1037.000,2.71835547E+4,
1038.000,2.71021211E+4,
1039.000,2.65973223E+4,
1040.00,2.63178379E+4,
1041.000,2.58010664E+4,
1042.000,2.53639434E+4,
1043.000,2.51751777E+4,
1044.000,2.48814883E+4,
1045.000,2.43674043E+4,
1046.000,2.41493945E+4,
1047.000,2.39210703E+4,
1048.000,2.35170137E+4,
1049.000,2.32536484E+4,
1050.00,2.27823008E+4,
1051.000,2.24164668E+4,
1052.000,2.21027090E+4,
1053.000,2.17580469E+4,
1054.000,2.15201582E+4,
1055.000,2.10581973E+4,
1056.000,2.09084004E+4,
1057.000,2.06819883E+4,
1058.000,2.03019727E+4,
1059.000,1.99358672E+4,
1060.00,1.98170879E+4,
1061.000,1.94889063E+4,
1062.000,1.91603496E+4,
1063.000,1.90151094E+4,
1064.000,1.86919414E+4,
1065.000,1.84315059E+4,
1066.000,1.81916367E+4,
1067.000,1.79415645E+4,
1068.000,1.76135137E+4,
1069.000,1.74000840E+4,
1070.00,1.71445117E+4,
1071.000,1.68119414E+4,
1072.000,1.67855059E+4,
1073.000,1.64315605E+4,
1074.000,1.62721680E+4,
1075.000,1.59719229E+4,
1076.000,1.57246787E+4,
1077.000,1.53877773E+4,
1078.000,1.52441992E+4,
1079.000,1.50531035E+4,
1080.00,1.47556738E+4,
1081.000,1.46638691E+4,
1082.000,1.43908691E+4,
1083.000,1.43010684E+4,
1084.000,1.38863340E+4,
1085.000,1.37631260E+4,
1086.000,1.34819580E+4,
1087.000,1.33810186E+4,
1088.000,1.31314609E+4,
1089.000,1.30411250E+4,
1090.00,1.28301582E+4,
1091.000,1.26990479E+4,
1092.000,1.26228838E+4,
1093.000,1.22891201E+4,
1094.000,1.21317275E+4,
1095.000,1.18929990E+4,
1096.000,1.18388564E+4,
1097.000,1.16661797E+4,
1098.000,1.13962441E+4,
1099.000,1.12445527E+4,
1100.00,1.09912080E+4,
1101.000,1.09667197E+4,
1102.000,1.06706689E+4,
1103.000,1.05907598E+4,
1104.000,1.04720088E+4,
1105.000,1.02805752E+4,
1106.000,1.00991230E+4,
1107.000,1.00523408E+4,
1108.000,9.91850293E+3,
1109.000,9.79437207E+3,
1110.00,9.62602441E+3,
1111.000,9.47938965E+3,
1112.000,9.37435352E+3,
1113.000,9.08332031E+3,
1114.000,9.08578320E+3,
1115.000,8.85760547E+3,
1116.000,8.83655664E+3,
1117.000,8.73920117E+3,
1118.000,8.60024902E+3,
1119.000,8.37796289E+3,
1120.00,8.26873730E+3,
1121.000,8.17073145E+3,
1122.000,8.20583594E+3,
1123.000,8.13685547E+3,
1124.000,7.84123828E+3,
1125.000,7.70330225E+3,
1126.000,7.59831494E+3,
1127.000,7.50801611E+3,
1128.000,7.49777246E+3,
1129.000,7.33186914E+3,
1130.00,7.12899414E+3,
1131.000,7.11104932E+3,
1132.000,6.90500244E+3,
1133.000,6.85910107E+3,
1134.000,6.79873926E+3,
1135.000,6.78458154E+3,
1136.000,6.66092285E+3,
1137.000,6.53460938E+3,
1138.000,6.42079639E+3,
1139.000,6.38711328E+3,
1140.00,6.22466553E+3,
1141.000,6.22013086E+3,
1142.000,6.03225928E+3,
1143.000,6.04581934E+3,
1144.000,5.94502295E+3,
1145.000,5.81902344E+3,
1146.000,5.73532373E+3,
1147.000,5.71910498E+3,
1148.000,5.53817480E+3,
1149.000,5.54340039E+3,
1150.00,5.46563184E+3,
1151.000,5.43901465E+3,
1152.000,5.25547217E+3,
1153.000,5.23584131E+3,
1154.000,5.11533252E+3,
1155.000,5.06667139E+3,
1156.000,4.99913818E+3,
1157.000,4.90799268E+3,
1158.000,4.92538623E+3,
1159.000,4.86412549E+3,
1160.00,4.76084863E+3,
1161.000,4.64127930E+3,
1162.000,4.64473193E+3,
1163.000,4.56435254E+3,
1164.000,4.50174561E+3,
1165.000,4.46890332E+3,
1166.000,4.32771240E+3,
1167.000,4.32683643E+3,
1168.000,4.30964893E+3,
1169.000,4.14872900E+3,
1170.00,4.18300879E+3,
1171.000,4.07305029E+3,
