Labels,GA-IN-445-805-EM-2,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,2.33565536E+2,
601.00,-2.63790741E+2,
602.00,2.44195118E+1,
603.00,1.52923218E+2,
604.00,-1.35014877E+2,
605.00,-2.88756073E+2,
606.00,-1.99276230E+2,
607.00,-4.46606110E+2,
608.00,-2.70747589E+2,
609.00,-6.73402344E+2,
610.00,-2.64690765E+2,
611.00,-1.38329483E+2,
612.00,-1.50183289E+2,
613.00,-2.33109833E+2,
614.00,-8.31642883E+2,
615.00,-2.73527557E+2,
616.00,-4.89696228E+2,
617.00,-3.06310669E+2,
618.00,-6.22037415E+2,
619.00,-1.42771164E+2,
620.00,2.35898209E+2,
621.00,-5.63646973E+2,
622.00,-4.17816040E+2,
623.00,-2.27018875E+2,
624.00,-5.34188293E+2,
625.00,-4.99658081E+2,
626.00,6.39764023E+1,
627.00,-2.40796814E+2,
628.00,-4.40507660E+2,
629.00,-2.30694565E+2,
630.00,-3.05397247E+2,
631.00,-2.76894592E+2,
632.00,-2.95825024E+1,
633.00,-1.02570206E+2,
634.00,-5.34964638E+1,
635.00,-1.05103622E+2,
636.00,-9.50874710E+1,
637.00,1.08429642E+2,
638.00,-7.30348740E+1,
639.00,7.63607330E+1,
640.00,-5.48122711E+1,
641.00,-2.26758911E+2,
642.00,6.34210739E+1,
643.00,1.51348160E+2,
644.00,9.22725906E+1,
645.00,5.49156982E+2,
646.00,2.00435654E+2,
647.00,4.40837158E+2,
648.00,2.81036652E+2,
649.00,5.15747559E+2,
650.00,4.21613831E+2,
651.00,2.74467896E+2,
652.00,9.28411987E+2,
653.00,9.62661743E+2,
654.00,9.21252991E+2,
655.00,4.22752167E+2,
656.00,8.88463623E+2,
657.00,1.13348657E+3,
658.00,9.23450439E+2,
659.00,1.64320593E+3,
660.00,1.22924377E+3,
661.00,2.04379333E+3,
662.00,2.37578223E+3,
663.00,2.15016211E+3,
664.00,2.33248560E+3,
665.00,2.92774512E+3,
666.00,2.79251465E+3,
667.00,3.05602393E+3,
668.00,3.55535132E+3,
669.00,4.31763428E+3,
670.00,4.34132520E+3,
671.00,4.94942871E+3,
672.00,5.00932813E+3,
673.00,5.15340771E+3,
674.00,5.84273438E+3,
675.00,6.17548438E+3,
676.00,6.75370605E+3,
677.00,7.48355029E+3,
678.00,8.45087500E+3,
679.00,9.10370215E+3,
680.00,9.62563770E+3,
681.00,1.05791621E+4,
682.00,1.12553643E+4,
683.00,1.26693037E+4,
684.00,1.29143145E+4,
685.00,1.44091816E+4,
686.00,1.56284863E+4,
687.00,1.65129980E+4,
688.00,1.69109688E+4,
689.00,1.84195605E+4,
690.00,1.97120039E+4,
691.00,2.15686582E+4,
692.00,2.38963613E+4,
693.00,2.65256504E+4,
694.00,2.89920742E+4,
695.00,3.06360078E+4,
696.00,3.37772188E+4,
697.00,3.53281328E+4,
698.00,3.82557930E+4,
699.00,3.99483789E+4,
700.00,4.09393906E+4,
701.00,4.41544727E+4,
702.00,4.62106016E+4,
703.00,4.73889922E+4,
704.00,5.04085586E+4,
705.00,5.26453398E+4,
706.00,5.48943281E+4,
707.00,5.81357891E+4,
708.00,6.06399609E+4,
709.00,6.32381172E+4,
710.00,6.40997500E+4,
711.00,6.94754453E+4,
712.00,7.41396563E+4,
713.00,7.82089375E+4,
714.00,8.03846641E+4,
715.00,8.41033750E+4,
716.00,8.84794297E+4,
717.00,9.19143047E+4,
718.00,9.52978203E+4,
719.00,9.94183750E+4,
720.00,1.02356125E+5,
721.00,1.05637313E+5,
722.00,1.10585391E+5,
723.00,1.12338258E+5,
724.00,1.18054930E+5,
725.00,1.23076328E+5,
726.00,1.25619797E+5,
727.00,1.30636094E+5,
728.00,1.35090375E+5,
729.00,1.38884797E+5,
730.00,1.42772281E+5,
731.00,1.46958641E+5,
732.00,1.49176266E+5,
733.00,1.52974625E+5,
734.00,1.59047719E+5,
735.00,1.64460094E+5,
736.00,1.67971656E+5,
737.00,1.70231109E+5,
738.00,1.77524609E+5,
739.00,1.79218109E+5,
740.00,1.84665250E+5,
741.00,1.91645922E+5,
742.00,1.94873313E+5,
743.00,2.00597172E+5,
744.00,2.01787922E+5,
745.00,2.05262813E+5,
746.00,2.10716172E+5,
747.00,2.15363344E+5,
748.00,2.17805563E+5,
749.00,2.22544375E+5,
750.00,2.26061438E+5,
751.00,2.31250484E+5,
752.00,2.36050703E+5,
753.00,2.39848078E+5,
754.00,2.44904641E+5,
755.00,2.50344016E+5,
756.00,2.52238797E+5,
757.00,2.55992406E+5,
758.00,2.60218984E+5,
759.00,2.63083156E+5,
760.00,2.67689938E+5,
761.00,2.71090688E+5,
762.00,2.75205250E+5,
763.00,2.78412688E+5,
764.00,2.82874781E+5,
765.00,2.86089063E+5,
766.00,2.87966219E+5,
767.00,2.90841250E+5,
768.00,2.93315344E+5,
769.00,2.99009500E+5,
770.00,2.99387438E+5,
771.00,3.04120188E+5,
772.00,3.02827313E+5,
773.00,3.08294125E+5,
774.00,3.09672188E+5,
775.00,3.14497625E+5,
776.00,3.15172406E+5,
777.00,3.16331500E+5,
778.00,3.21958219E+5,
779.00,3.20209031E+5,
780.00,3.25460813E+5,
781.00,3.27901125E+5,
782.00,3.27932281E+5,
783.00,3.30132094E+5,
784.00,3.28654844E+5,
785.00,3.30063656E+5,
786.00,3.33508719E+5,
787.00,3.34646813E+5,
788.00,3.36012875E+5,
789.00,3.38435656E+5,
790.00,3.36305531E+5,
791.00,3.39104000E+5,
792.00,3.41736344E+5,
793.00,3.41561156E+5,
794.00,3.41518125E+5,
795.00,3.43507781E+5,
796.00,3.43480719E+5,
797.00,3.43623031E+5,
798.00,3.46175688E+5,
799.00,3.44800750E+5,
800.00,3.46639500E+5,
801.00,3.44232656E+5,
802.00,3.41566781E+5,
803.00,3.43482125E+5,
804.00,3.43871125E+5,
805.00,3.44027156E+5,
806.00,3.45273188E+5,
807.00,3.45586063E+5,
808.00,3.45065969E+5,
809.00,3.45614844E+5,
810.00,3.43618031E+5,
811.00,3.44569219E+5,
812.00,3.43443906E+5,
813.00,3.43623781E+5,
814.00,3.40950875E+5,
815.00,3.41290625E+5,
816.00,3.39415719E+5,
817.00,3.40167156E+5,
818.00,3.39394688E+5,
819.00,3.39476125E+5,
820.00,3.37656906E+5,
821.00,3.35500625E+5,
822.00,3.34328000E+5,
823.00,3.36042125E+5,
824.00,3.35943469E+5,
825.00,3.29689750E+5,
826.00,3.29566125E+5,
827.00,3.26402656E+5,
828.00,3.23666469E+5,
829.00,3.24477156E+5,
830.00,3.20925500E+5,
831.00,3.21349813E+5,
832.00,3.20339750E+5,
833.00,3.18992563E+5,
834.00,3.17733219E+5,
835.00,3.13464656E+5,
836.00,3.12546938E+5,
837.00,3.13142813E+5,
838.00,3.09058094E+5,
839.00,3.08071188E+5,
840.00,3.07208438E+5,
841.00,3.07068750E+5,
842.00,3.05170719E+5,
843.00,3.02066438E+5,
844.00,2.99350469E+5,
845.00,2.99660688E+5,
846.00,2.95797344E+5,
847.00,2.93681844E+5,
848.00,2.94179594E+5,
849.00,2.91984656E+5,
850.00,2.88865719E+5,
851.00,2.86419000E+5,
852.00,2.84631406E+5,
853.00,2.83124969E+5,
854.00,2.80954375E+5,
855.00,2.80867031E+5,
856.00,2.77345906E+5,
857.00,2.77219688E+5,
858.00,2.72984594E+5,
859.00,2.70151813E+5,
860.00,2.69254875E+5,
861.00,2.68040063E+5,
862.00,2.67491531E+5,
863.00,2.64825844E+5,
864.00,2.64603469E+5,
865.00,2.60498047E+5,
866.00,2.57034438E+5,
867.00,2.56730672E+5,
868.00,2.53729594E+5,
869.00,2.51804016E+5,
870.00,2.48473484E+5,
871.00,2.47379078E+5,
872.00,2.43207875E+5,
873.00,2.43938594E+5,
874.00,2.41092578E+5,
875.00,2.38906813E+5,
876.00,2.36957734E+5,
877.00,2.33424141E+5,
878.00,2.32335469E+5,
879.00,2.30480094E+5,
880.00,2.28728813E+5,
881.00,2.24295594E+5,
882.00,2.23172266E+5,
883.00,2.20394063E+5,
884.00,2.16761828E+5,
885.00,2.15957250E+5,
886.00,2.13261563E+5,
887.00,2.10924516E+5,
888.00,2.08711922E+5,
889.00,2.07879031E+5,
890.00,2.05264766E+5,
891.00,2.02840266E+5,
892.00,2.01980172E+5,
893.00,1.99685484E+5,
894.00,1.95392203E+5,
895.00,1.95883250E+5,
896.00,1.93545188E+5,
897.00,1.91550234E+5,
898.00,1.88198188E+5,
899.00,1.86441844E+5,
900.00,1.86061469E+5,
901.00,1.82408297E+5,
902.00,1.80538594E+5,
903.00,1.79655078E+5,
904.00,1.76594078E+5,
905.00,1.75017922E+5,
906.00,1.75173656E+5,
907.00,1.71731563E+5,
908.00,1.70752156E+5,
909.00,1.68035000E+5,
910.00,1.66796469E+5,
911.00,1.64209438E+5,
912.00,1.63789672E+5,
913.00,1.61784078E+5,
914.00,1.59850141E+5,
915.00,1.56821469E+5,
916.00,1.56201031E+5,
917.00,1.55720063E+5,
918.00,1.52891641E+5,
919.00,1.51064078E+5,
920.00,1.50141813E+5,
921.00,1.48922984E+5,
922.00,1.46047313E+5,
923.00,1.44223688E+5,
924.00,1.42564250E+5,
925.00,1.42081797E+5,
926.00,1.40589969E+5,
927.00,1.37565188E+5,
928.00,1.36269188E+5,
929.00,1.34732141E+5,
930.00,1.33033875E+5,
931.00,1.31006688E+5,
932.00,1.29882758E+5,
933.00,1.28394305E+5,
934.00,1.26510844E+5,
935.00,1.25052383E+5,
936.00,1.23630039E+5,
937.00,1.21822305E+5,
938.00,1.19946711E+5,
939.00,1.19352070E+5,
940.00,1.17131055E+5,
941.00,1.15479219E+5,
942.00,1.13712203E+5,
943.00,1.11955711E+5,
944.00,1.10901055E+5,
945.00,1.09686742E+5,
946.00,1.07453398E+5,
947.00,1.05703039E+5,
948.00,1.05271758E+5,
949.00,1.03663523E+5,
950.00,1.02585039E+5,
951.00,1.00786867E+5,
952.00,9.95841719E+4,
953.00,9.94575625E+4,
954.00,9.73672578E+4,
955.00,9.58461328E+4,
956.00,9.50526172E+4,
957.00,9.38072109E+4,
958.00,9.29193750E+4,
959.00,9.12237656E+4,
960.00,8.98943828E+4,
961.00,8.90695781E+4,
962.00,8.77008516E+4,
963.00,8.65755469E+4,
964.00,8.46719531E+4,
965.00,8.35658906E+4,
966.00,8.33442656E+4,
967.00,8.10456953E+4,
968.00,7.98473359E+4,
969.00,7.89266797E+4,
970.00,7.87524063E+4,
971.00,7.71269844E+4,
972.00,7.61019531E+4,
973.00,7.50860859E+4,
974.00,7.43004531E+4,
975.00,7.32316406E+4,
976.00,7.20825938E+4,
977.00,7.07257109E+4,
978.00,7.00400547E+4,
979.00,6.97432109E+4,
980.00,6.81132578E+4,
981.00,6.71874375E+4,
982.00,6.55567891E+4,
983.00,6.51903906E+4,
984.00,6.39177578E+4,
985.00,6.32079531E+4,
986.00,6.29064727E+4,
987.00,6.13246797E+4,
988.00,6.08066719E+4,
989.00,5.98877813E+4,
990.00,5.89317578E+4,
991.00,5.83569727E+4,
992.00,5.74951406E+4,
993.00,5.65771289E+4,
994.00,5.61589219E+4,
995.00,5.50313008E+4,
996.00,5.43712930E+4,
997.00,5.32170977E+4,
998.00,5.23176094E+4,
999.00,5.23978125E+4,
1000.00,5.12782070E+4,
1001.000,5.08800977E+4,
1002.000,5.03250430E+4,
1003.000,4.95502852E+4,
1004.000,4.83558633E+4,
1005.000,4.75714023E+4,
1006.000,4.69352617E+4,
1007.000,4.70137969E+4,
1008.000,4.53109375E+4,
1009.000,4.46741055E+4,
1010.00,4.42104609E+4,
1011.000,4.36943359E+4,
1012.000,4.27819102E+4,
1013.000,4.21683477E+4,
1014.000,4.20269336E+4,
1015.000,4.12268359E+4,
1016.000,4.04693203E+4,
1017.000,3.97176563E+4,
1018.000,3.94354766E+4,
1019.000,3.92451016E+4,
1020.00,3.84578438E+4,
1021.000,3.79654336E+4,
1022.000,3.72641992E+4,
1023.000,3.67231406E+4,
1024.000,3.62633633E+4,
1025.000,3.56415664E+4,
1026.000,3.53422266E+4,
1027.000,3.47354883E+4,
1028.000,3.43791836E+4,
1029.000,3.38173086E+4,
1030.00,3.30130625E+4,
1031.000,3.27997109E+4,
1032.000,3.24443477E+4,
1033.000,3.20570020E+4,
1034.000,3.14231621E+4,
1035.000,3.11051582E+4,
1036.000,3.03602012E+4,
1037.000,2.99335273E+4,
1038.000,2.98366465E+4,
1039.000,2.92349082E+4,
1040.00,2.89462051E+4,
1041.000,2.82609238E+4,
1042.000,2.80286563E+4,
1043.000,2.74177520E+4,
1044.000,2.69104277E+4,
1045.000,2.64557949E+4,
1046.000,2.63543887E+4,
1047.000,2.59578379E+4,
1048.000,2.55250098E+4,
1049.000,2.53579238E+4,
1050.00,2.46178633E+4,
1051.000,2.41866875E+4,
1052.000,2.39633613E+4,
1053.000,2.35559785E+4,
1054.000,2.36168594E+4,
1055.000,2.31127090E+4,
1056.000,2.27249395E+4,
1057.000,2.23035020E+4,
1058.000,2.21460371E+4,
1059.000,2.17025645E+4,
1060.00,2.14041016E+4,
1061.000,2.11729609E+4,
1062.000,2.08705508E+4,
1063.000,2.04408965E+4,
1064.000,2.01137090E+4,
1065.000,1.97368613E+4,
1066.000,1.92406484E+4,
1067.000,1.94156973E+4,
1068.000,1.90325059E+4,
1069.000,1.84079238E+4,
1070.00,1.86377363E+4,
1071.000,1.83378594E+4,
1072.000,1.79964297E+4,
1073.000,1.76230020E+4,
1074.000,1.73829863E+4,
1075.000,1.69129590E+4,
1076.000,1.68186797E+4,
1077.000,1.65954297E+4,
1078.000,1.65501172E+4,
1079.000,1.61224951E+4,
1080.00,1.60025664E+4,
1081.000,1.55509141E+4,
1082.000,1.52524307E+4,
1083.000,1.51771514E+4,
1084.000,1.47729941E+4,
1085.000,1.46882803E+4,
1086.000,1.43186758E+4,
1087.000,1.41697109E+4,
1088.000,1.41087803E+4,
1089.000,1.37989854E+4,
1090.00,1.37174385E+4,
1091.000,1.33239434E+4,
1092.000,1.30421357E+4,
1093.000,1.29156553E+4,
1094.000,1.27437783E+4,
1095.000,1.24523252E+4,
1096.000,1.24013633E+4,
1097.000,1.21525332E+4,
1098.000,1.19027676E+4,
1099.000,1.16347725E+4,
1100.00,1.16066787E+4,
1101.000,1.14262012E+4,
1102.000,1.12696709E+4,
1103.000,1.12651270E+4,
1104.000,1.09365000E+4,
1105.000,1.07163975E+4,
1106.000,1.07157500E+4,
1107.000,1.03764219E+4,
1108.000,1.02124258E+4,
1109.000,1.01114326E+4,
1110.00,9.87304395E+3,
1111.000,9.83094238E+3,
1112.000,9.54878027E+3,
1113.000,9.51174805E+3,
1114.000,9.44665625E+3,
1115.000,9.21494824E+3,
1116.000,9.16671289E+3,
1117.000,8.90933105E+3,
1118.000,8.75909473E+3,
1119.000,8.55114355E+3,
1120.00,8.54048047E+3,
1121.000,8.48729785E+3,
1122.000,8.33021094E+3,
1123.000,8.27071094E+3,
1124.000,8.09037793E+3,
1125.000,8.00480859E+3,
1126.000,7.81338477E+3,
1127.000,7.60605664E+3,
1128.000,7.44154492E+3,
1129.000,7.46306836E+3,
1130.00,7.31832275E+3,
1131.000,7.04709424E+3,
1132.000,7.14922607E+3,
1133.000,6.96115576E+3,
1134.000,6.91682080E+3,
1135.000,6.89257959E+3,
1136.000,6.72351514E+3,
1137.000,6.55684863E+3,
1138.000,6.25148535E+3,
1139.000,6.35015576E+3,
1140.00,6.25770020E+3,
1141.000,6.27657178E+3,
1142.000,5.99250732E+3,
1143.000,6.04036768E+3,
1144.000,5.93514893E+3,
1145.000,5.81678613E+3,
1146.000,5.64394238E+3,
1147.000,5.56544189E+3,
1148.000,5.48934180E+3,
1149.000,5.36930127E+3,
1150.00,5.32939746E+3,
1151.000,5.24065430E+3,
1152.000,5.10722852E+3,
1153.000,5.09539063E+3,
1154.000,4.98922510E+3,
1155.000,4.85272852E+3,
1156.000,4.70187744E+3,
1157.000,4.74496631E+3,
1158.000,4.85953125E+3,
1159.000,4.60377246E+3,
1160.00,4.60834766E+3,
1161.000,4.35881592E+3,
1162.000,4.55586963E+3,
1163.000,4.31160938E+3,
1164.000,4.28526660E+3,
1165.000,4.09973584E+3,
1166.000,4.13521387E+3,
1167.000,4.14773682E+3,
1168.000,4.01596460E+3,
