Labels,GA-IN-445-805-EM,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,1.09417334E+3,
601.00,3.27334869E+2,
602.00,-6.79706955E+1,
603.00,-9.23419495E+1,
604.00,-2.98665619E+2,
605.00,-1.46488251E+2,
606.00,4.23445679E+2,
607.00,3.93656616E+1,
608.00,4.66980713E+2,
609.00,-1.00933174E+2,
610.00,6.92619629E+1,
611.00,1.36310730E+2,
612.00,3.87367157E+2,
613.00,4.33969727E+2,
614.00,-8.71687317E+1,
615.00,2.26693863E+2,
616.00,5.57726707E+1,
617.00,7.61932373E+1,
618.00,2.05700577E+2,
619.00,-4.90891449E+2,
620.00,-4.24917572E+2,
621.00,-8.56738129E+1,
622.00,-5.34798645E+2,
623.00,2.11898605E+2,
624.00,4.94656769E+2,
625.00,4.79284729E+2,
626.00,9.76347351E+1,
627.00,3.37021729E+2,
628.00,-5.86996002E+1,
629.00,2.98756744E+2,
630.00,7.25559158E+1,
631.00,1.46404160E+2,
632.00,3.44088898E+2,
633.00,-1.12091415E+2,
634.00,1.77301025E+2,
635.00,1.29018677E+2,
636.00,1.95870255E+2,
637.00,4.49631378E+2,
638.00,2.36349930E+2,
639.00,2.60443451E+2,
640.00,7.50557404E+1,
641.00,1.71189529E+2,
642.00,2.40386200E+2,
643.00,2.27981094E+2,
644.00,3.41329803E+2,
645.00,4.76059814E+2,
646.00,7.70460205E+2,
647.00,4.90475128E+2,
648.00,6.59133789E+2,
649.00,9.58703430E+2,
650.00,7.75110596E+2,
651.00,1.00890216E+3,
652.00,1.10018323E+3,
653.00,1.12061670E+3,
654.00,1.33514307E+3,
655.00,1.60836890E+3,
656.00,1.62140491E+3,
657.00,1.33878601E+3,
658.00,1.87044910E+3,
659.00,2.10275098E+3,
660.00,2.32729590E+3,
661.00,2.42028198E+3,
662.00,2.66669849E+3,
663.00,3.05020728E+3,
664.00,3.25619043E+3,
665.00,3.57533521E+3,
666.00,3.56926050E+3,
667.00,4.53192334E+3,
668.00,4.59426758E+3,
669.00,5.19647461E+3,
670.00,5.09618945E+3,
671.00,5.74537305E+3,
672.00,5.92417480E+3,
673.00,6.94172900E+3,
674.00,7.90578857E+3,
675.00,8.24283789E+3,
676.00,9.00213477E+3,
677.00,9.45517969E+3,
678.00,1.08525332E+4,
679.00,1.13776025E+4,
680.00,1.13289072E+4,
681.00,1.27139434E+4,
682.00,1.33277959E+4,
683.00,1.43396084E+4,
684.00,1.55809482E+4,
685.00,1.71550176E+4,
686.00,1.72677109E+4,
687.00,1.95927539E+4,
688.00,2.04294844E+4,
689.00,2.17586719E+4,
690.00,2.31041543E+4,
691.00,2.53613770E+4,
692.00,2.76753730E+4,
693.00,2.99667441E+4,
694.00,3.40037266E+4,
695.00,3.67933203E+4,
696.00,4.02247891E+4,
697.00,4.22663594E+4,
698.00,4.50210664E+4,
699.00,4.55557148E+4,
700.00,4.92934766E+4,
701.00,5.09535469E+4,
702.00,5.34010938E+4,
703.00,5.52644531E+4,
704.00,5.61380039E+4,
705.00,5.98864883E+4,
706.00,6.36237266E+4,
707.00,6.69370547E+4,
708.00,7.12740859E+4,
709.00,7.45675938E+4,
710.00,7.68756094E+4,
711.00,7.95984844E+4,
712.00,8.43973359E+4,
713.00,8.90634063E+4,
714.00,9.36703594E+4,
715.00,9.86420234E+4,
716.00,9.93634922E+4,
717.00,1.06900305E+5,
718.00,1.09773484E+5,
719.00,1.12654258E+5,
720.00,1.17261133E+5,
721.00,1.21757984E+5,
722.00,1.24802648E+5,
723.00,1.28785969E+5,
724.00,1.34475969E+5,
725.00,1.36843000E+5,
726.00,1.43155547E+5,
727.00,1.47777000E+5,
728.00,1.51858203E+5,
729.00,1.57651922E+5,
730.00,1.63083563E+5,
731.00,1.67331203E+5,
732.00,1.71572688E+5,
733.00,1.73413094E+5,
734.00,1.81546938E+5,
735.00,1.83676578E+5,
736.00,1.89598625E+5,
737.00,1.95298578E+5,
738.00,1.99886453E+5,
739.00,2.05482563E+5,
740.00,2.07866031E+5,
741.00,2.15496078E+5,
742.00,2.20762563E+5,
743.00,2.24728563E+5,
744.00,2.29096094E+5,
745.00,2.31956313E+5,
746.00,2.37089719E+5,
747.00,2.40586828E+5,
748.00,2.46607156E+5,
749.00,2.53736469E+5,
750.00,2.54669797E+5,
751.00,2.58071156E+5,
752.00,2.65194688E+5,
753.00,2.66598313E+5,
754.00,2.77979719E+5,
755.00,2.80905563E+5,
756.00,2.82310938E+5,
757.00,2.85700438E+5,
758.00,2.92478031E+5,
759.00,2.90481188E+5,
760.00,2.97221063E+5,
761.00,2.99913281E+5,
762.00,3.04719719E+5,
763.00,3.06688031E+5,
764.00,3.09245500E+5,
765.00,3.19227313E+5,
766.00,3.20140250E+5,
767.00,3.23825219E+5,
768.00,3.24689844E+5,
769.00,3.28538031E+5,
770.00,3.33319438E+5,
771.00,3.36343406E+5,
772.00,3.38811219E+5,
773.00,3.42411563E+5,
774.00,3.40905719E+5,
775.00,3.45322406E+5,
776.00,3.48201031E+5,
777.00,3.52153031E+5,
778.00,3.51005875E+5,
779.00,3.55265250E+5,
780.00,3.58052531E+5,
781.00,3.62873438E+5,
782.00,3.65180719E+5,
783.00,3.65168000E+5,
784.00,3.68657563E+5,
785.00,3.69011813E+5,
786.00,3.68773156E+5,
787.00,3.70604781E+5,
788.00,3.69990188E+5,
789.00,3.72135438E+5,
790.00,3.75160750E+5,
791.00,3.72661281E+5,
792.00,3.71156250E+5,
793.00,3.77034875E+5,
794.00,3.75115438E+5,
795.00,3.77123469E+5,
796.00,3.78028156E+5,
797.00,3.79037844E+5,
798.00,3.80613531E+5,
799.00,3.81204906E+5,
800.00,3.80167938E+5,
801.00,3.80586188E+5,
802.00,3.79630125E+5,
803.00,3.80719969E+5,
804.00,3.78028469E+5,
805.00,3.80278625E+5,
806.00,3.82457875E+5,
807.00,3.77653031E+5,
808.00,3.80569594E+5,
809.00,3.74855813E+5,
810.00,3.81067750E+5,
811.00,3.77418344E+5,
812.00,3.78087625E+5,
813.00,3.76163813E+5,
814.00,3.74435375E+5,
815.00,3.77514906E+5,
816.00,3.70971906E+5,
817.00,3.68752344E+5,
818.00,3.69836469E+5,
819.00,3.68319406E+5,
820.00,3.68197031E+5,
821.00,3.66993469E+5,
822.00,3.65005594E+5,
823.00,3.65645563E+5,
824.00,3.63870625E+5,
825.00,3.61152000E+5,
826.00,3.57607531E+5,
827.00,3.60973125E+5,
828.00,3.58015313E+5,
829.00,3.52927344E+5,
830.00,3.54700438E+5,
831.00,3.53377656E+5,
832.00,3.52185156E+5,
833.00,3.48259719E+5,
834.00,3.45991656E+5,
835.00,3.44819406E+5,
836.00,3.43199813E+5,
837.00,3.44108563E+5,
838.00,3.38289594E+5,
839.00,3.35136813E+5,
840.00,3.35408844E+5,
841.00,3.35885781E+5,
842.00,3.34715875E+5,
843.00,3.30524750E+5,
844.00,3.26867906E+5,
845.00,3.26254125E+5,
846.00,3.25667438E+5,
847.00,3.21045844E+5,
848.00,3.21127031E+5,
849.00,3.18329375E+5,
850.00,3.16814875E+5,
851.00,3.14610375E+5,
852.00,3.12246563E+5,
853.00,3.11641500E+5,
854.00,3.11244188E+5,
855.00,3.08385656E+5,
856.00,3.08094938E+5,
857.00,3.02385719E+5,
858.00,3.02420875E+5,
859.00,2.96443156E+5,
860.00,2.94088344E+5,
861.00,2.91591313E+5,
862.00,2.92558688E+5,
863.00,2.89929438E+5,
864.00,2.86532125E+5,
865.00,2.83986344E+5,
866.00,2.82066688E+5,
867.00,2.80122875E+5,
868.00,2.75955625E+5,
869.00,2.73758625E+5,
870.00,2.72841188E+5,
871.00,2.71213344E+5,
872.00,2.66355500E+5,
873.00,2.63878125E+5,
874.00,2.62738625E+5,
875.00,2.59891109E+5,
876.00,2.56673203E+5,
877.00,2.54551734E+5,
878.00,2.51961031E+5,
879.00,2.50217813E+5,
880.00,2.48941750E+5,
881.00,2.46139641E+5,
882.00,2.42875406E+5,
883.00,2.39806531E+5,
884.00,2.37614219E+5,
885.00,2.35332484E+5,
886.00,2.33760500E+5,
887.00,2.31829063E+5,
888.00,2.27062234E+5,
889.00,2.24892078E+5,
890.00,2.21886359E+5,
891.00,2.21149156E+5,
892.00,2.17888375E+5,
893.00,2.17665875E+5,
894.00,2.12791266E+5,
895.00,2.11918344E+5,
896.00,2.08875078E+5,
897.00,2.06317203E+5,
898.00,2.04327266E+5,
899.00,2.02620891E+5,
900.00,2.01042406E+5,
901.00,1.97945031E+5,
902.00,1.95619531E+5,
903.00,1.93898188E+5,
904.00,1.92865078E+5,
905.00,1.88991281E+5,
906.00,1.88089359E+5,
907.00,1.86543656E+5,
908.00,1.85359938E+5,
909.00,1.82560234E+5,
910.00,1.82254641E+5,
911.00,1.78663469E+5,
912.00,1.77238313E+5,
913.00,1.74567016E+5,
914.00,1.74104016E+5,
915.00,1.71490422E+5,
916.00,1.68970391E+5,
917.00,1.68425125E+5,
918.00,1.65232406E+5,
919.00,1.65199141E+5,
920.00,1.61845359E+5,
921.00,1.60439781E+5,
922.00,1.57100094E+5,
923.00,1.56504703E+5,
924.00,1.54634234E+5,
925.00,1.52842016E+5,
926.00,1.51476438E+5,
927.00,1.49425609E+5,
928.00,1.46514438E+5,
929.00,1.45242422E+5,
930.00,1.43942672E+5,
931.00,1.41462922E+5,
932.00,1.40552641E+5,
933.00,1.39141109E+5,
934.00,1.37193406E+5,
935.00,1.35885109E+5,
936.00,1.33461891E+5,
937.00,1.31326031E+5,
938.00,1.29174531E+5,
939.00,1.28409320E+5,
940.00,1.26913617E+5,
941.00,1.24867258E+5,
942.00,1.22717797E+5,
943.00,1.21739984E+5,
944.00,1.20481898E+5,
945.00,1.19135867E+5,
946.00,1.17333484E+5,
947.00,1.15880953E+5,
948.00,1.14214500E+5,
949.00,1.13064297E+5,
950.00,1.11552719E+5,
951.00,1.09278656E+5,
952.00,1.08465422E+5,
953.00,1.07033477E+5,
954.00,1.05135867E+5,
955.00,1.04518820E+5,
956.00,1.02329766E+5,
957.00,1.00663695E+5,
958.00,1.01226469E+5,
959.00,9.87135938E+4,
960.00,9.80385469E+4,
961.00,9.65580547E+4,
962.00,9.58140938E+4,
963.00,9.38252031E+4,
964.00,9.19763359E+4,
965.00,9.08640469E+4,
966.00,8.91618281E+4,
967.00,8.89704297E+4,
968.00,8.67546094E+4,
969.00,8.62463203E+4,
970.00,8.51486328E+4,
971.00,8.34183125E+4,
972.00,8.25088750E+4,
973.00,8.19062031E+4,
974.00,8.08283984E+4,
975.00,7.98430703E+4,
976.00,7.81828984E+4,
977.00,7.69656719E+4,
978.00,7.61076406E+4,
979.00,7.49775703E+4,
980.00,7.41831797E+4,
981.00,7.28601719E+4,
982.00,7.21251016E+4,
983.00,7.10553906E+4,
984.00,7.00380234E+4,
985.00,6.92907344E+4,
986.00,6.79518906E+4,
987.00,6.64307656E+4,
988.00,6.63114844E+4,
989.00,6.51312852E+4,
990.00,6.45966367E+4,
991.00,6.37254141E+4,
992.00,6.24620469E+4,
993.00,6.13762070E+4,
994.00,6.10752109E+4,
995.00,6.01639375E+4,
996.00,5.88741328E+4,
997.00,5.78383789E+4,
998.00,5.74804727E+4,
999.00,5.66956523E+4,
1000.00,5.59071563E+4,
1001.000,5.50382188E+4,
1002.000,5.37912617E+4,
1003.000,5.36043477E+4,
1004.000,5.31714023E+4,
1005.000,5.13892227E+4,
1006.000,5.13623516E+4,
1007.000,5.07085195E+4,
1008.000,4.98863047E+4,
1009.000,4.90411758E+4,
1010.00,4.84333203E+4,
1011.000,4.76903242E+4,
1012.000,4.66193867E+4,
1013.000,4.59922070E+4,
1014.000,4.53245156E+4,
1015.000,4.50475391E+4,
1016.000,4.46821719E+4,
1017.000,4.35644023E+4,
1018.000,4.27523516E+4,
1019.000,4.23605898E+4,
1020.00,4.18171875E+4,
1021.000,4.10051914E+4,
1022.000,4.07264414E+4,
1023.000,4.01203359E+4,
1024.000,3.94713672E+4,
1025.000,3.87813906E+4,
1026.000,3.84559805E+4,
1027.000,3.77755352E+4,
1028.000,3.74592734E+4,
1029.000,3.72783203E+4,
1030.00,3.61178008E+4,
1031.000,3.57368633E+4,
1032.000,3.53395547E+4,
1033.000,3.49901133E+4,
1034.000,3.45908164E+4,
1035.000,3.36776094E+4,
1036.000,3.30874336E+4,
1037.000,3.24009902E+4,
1038.000,3.21609570E+4,
1039.000,3.16493477E+4,
1040.00,3.13431816E+4,
1041.000,3.09119980E+4,
1042.000,3.04590566E+4,
1043.000,3.00942285E+4,
1044.000,2.95940527E+4,
1045.000,2.89038652E+4,
1046.000,2.87162520E+4,
1047.000,2.84239902E+4,
1048.000,2.79180508E+4,
1049.000,2.73950508E+4,
1050.00,2.68979082E+4,
1051.000,2.68028945E+4,
1052.000,2.65195801E+4,
1053.000,2.57851035E+4,
1054.000,2.54169570E+4,
1055.000,2.52468262E+4,
1056.000,2.50516719E+4,
1057.000,2.44154590E+4,
1058.000,2.41003359E+4,
1059.000,2.38354961E+4,
1060.00,2.33668828E+4,
1061.000,2.32703418E+4,
1062.000,2.28569805E+4,
1063.000,2.22868359E+4,
1064.000,2.20913262E+4,
1065.000,2.16650195E+4,
1066.000,2.13602539E+4,
1067.000,2.08641680E+4,
1068.000,2.07938438E+4,
1069.000,2.01938242E+4,
1070.00,2.02498535E+4,
1071.000,1.98498164E+4,
1072.000,1.93603320E+4,
1073.000,1.92056621E+4,
1074.000,1.88621719E+4,
1075.000,1.83710273E+4,
1076.000,1.82944336E+4,
1077.000,1.81834063E+4,
1078.000,1.75468984E+4,
1079.000,1.74543457E+4,
1080.00,1.74736738E+4,
1081.000,1.71181152E+4,
1082.000,1.66823789E+4,
1083.000,1.65197129E+4,
1084.000,1.61888770E+4,
1085.000,1.60523076E+4,
1086.000,1.59006670E+4,
1087.000,1.57039902E+4,
1088.000,1.52926172E+4,
1089.000,1.51340674E+4,
1090.00,1.47364727E+4,
1091.000,1.46366631E+4,
1092.000,1.42731592E+4,
1093.000,1.39991270E+4,
1094.000,1.41134551E+4,
1095.000,1.38815947E+4,
1096.000,1.35809307E+4,
1097.000,1.33674727E+4,
1098.000,1.31862188E+4,
1099.000,1.27992510E+4,
1100.00,1.27254238E+4,
1101.000,1.24645020E+4,
1102.000,1.23709600E+4,
1103.000,1.20964453E+4,
1104.000,1.21701211E+4,
1105.000,1.17689395E+4,
1106.000,1.17076816E+4,
1107.000,1.15234229E+4,
1108.000,1.13531035E+4,
1109.000,1.11475156E+4,
1110.00,1.08445000E+4,
1111.000,1.07183760E+4,
1112.000,1.05180547E+4,
1113.000,1.04810303E+4,
1114.000,1.02542168E+4,
1115.000,1.01742354E+4,
1116.000,9.84994727E+3,
1117.000,9.91509375E+3,
1118.000,9.85382910E+3,
1119.000,9.50214844E+3,
1120.00,9.23245215E+3,
1121.000,9.39826953E+3,
1122.000,9.25873438E+3,
1123.000,9.04340430E+3,
1124.000,8.67090430E+3,
1125.000,8.51576953E+3,
1126.000,8.38985059E+3,
1127.000,8.66006738E+3,
1128.000,8.16941211E+3,
1129.000,7.97978955E+3,
1130.00,8.03216553E+3,
1131.000,7.93448047E+3,
1132.000,7.75345605E+3,
1133.000,7.65655859E+3,
1134.000,7.63179541E+3,
1135.000,7.46612988E+3,
1136.000,7.33279590E+3,
1137.000,6.98203320E+3,
1138.000,7.14273584E+3,
1139.000,6.90959131E+3,
1140.00,6.94163184E+3,
1141.000,6.79484033E+3,
1142.000,6.48322168E+3,
1143.000,6.46397314E+3,
1144.000,6.45715771E+3,
1145.000,6.33167529E+3,
1146.000,6.37432324E+3,
1147.000,6.36347363E+3,
1148.000,5.93709570E+3,
1149.000,5.86996680E+3,
1150.00,5.83126221E+3,
1151.000,5.79780957E+3,
1152.000,5.66983154E+3,
1153.000,5.63616113E+3,
1154.000,5.36261670E+3,
1155.000,5.41747070E+3,
1156.000,5.40493115E+3,
1157.000,5.35727734E+3,
1158.000,5.07667041E+3,
1159.000,5.03164600E+3,
1160.00,5.03739502E+3,
1161.000,5.01970166E+3,
1162.000,4.95598877E+3,
1163.000,4.72691406E+3,
1164.000,4.69621387E+3,
1165.000,4.61094238E+3,
1166.000,4.60123291E+3,
1167.000,4.45627490E+3,
1168.000,4.33648926E+3,
1169.000,4.40994434E+3,
1170.00,4.23446680E+3,
