Labels,GA-IN-805-EX,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,805.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

280.00,8.00858750E+4,
281.00,9.51080234E+4,
282.00,1.07725492E+5,
283.00,1.22208602E+5,
284.00,1.28973875E+5,
285.00,1.36286313E+5,
286.00,1.42691000E+5,
287.00,1.49053969E+5,
288.00,1.52587297E+5,
289.00,1.52927938E+5,
290.00,1.55948813E+5,
291.00,1.61316031E+5,
292.00,1.62225922E+5,
293.00,1.70296984E+5,
294.00,1.67928531E+5,
295.00,1.68504484E+5,
296.00,1.75309531E+5,
297.00,1.72136172E+5,
298.00,1.72111688E+5,
299.00,1.77111453E+5,
300.00,1.71213031E+5,
301.00,1.69808813E+5,
302.00,1.69510125E+5,
303.00,1.70589094E+5,
304.00,1.71160313E+5,
305.00,1.71295469E+5,
306.00,1.69449563E+5,
307.00,1.66946547E+5,
308.00,1.64978156E+5,
309.00,1.59445219E+5,
310.00,1.61921875E+5,
311.00,1.59494563E+5,
312.00,1.55963922E+5,
313.00,1.51767281E+5,
314.00,1.51452266E+5,
315.00,1.45986609E+5,
316.00,1.41028625E+5,
317.00,1.43085141E+5,
318.00,1.39380906E+5,
319.00,1.32906953E+5,
320.00,1.32472141E+5,
321.00,1.29575156E+5,
322.00,1.26442789E+5,
323.00,1.25239789E+5,
324.00,1.21006602E+5,
325.00,1.17226773E+5,
326.00,1.12343602E+5,
327.00,1.09479609E+5,
328.00,1.06694828E+5,
329.00,1.04575203E+5,
330.00,1.00588570E+5,
331.00,9.54869063E+4,
332.00,9.23057266E+4,
333.00,8.93590234E+4,
334.00,8.51762891E+4,
335.00,8.26575078E+4,
336.00,7.74768828E+4,
337.00,7.52970234E+4,
338.00,7.19709297E+4,
339.00,6.89543203E+4,
340.00,6.39927852E+4,
341.00,6.24897070E+4,
342.00,5.95174141E+4,
343.00,5.56690742E+4,
344.00,5.26606641E+4,
345.00,4.96503984E+4,
346.00,4.67977109E+4,
347.00,4.38375000E+4,
348.00,4.16092578E+4,
349.00,3.92933867E+4,
350.00,3.61595352E+4,
351.00,3.44955898E+4,
352.00,3.25868145E+4,
353.00,3.06277422E+4,
354.00,2.86296152E+4,
355.00,2.67585898E+4,
356.00,2.52929746E+4,
357.00,2.38234102E+4,
358.00,2.20902695E+4,
359.00,2.16348809E+4,
360.00,2.01049766E+4,
361.00,1.94374297E+4,
362.00,1.77985898E+4,
363.00,1.72617363E+4,
364.00,1.65067969E+4,
365.00,1.54581533E+4,
366.00,1.59126592E+4,
367.00,1.40798486E+4,
368.00,1.49511211E+4,
369.00,1.37150840E+4,
370.00,1.35116270E+4,
371.00,1.41522539E+4,
372.00,1.45213682E+4,
373.00,1.42413994E+4,
374.00,1.47862129E+4,
375.00,1.57406328E+4,
376.00,1.63094736E+4,
377.00,1.70726621E+4,
378.00,1.79402656E+4,
379.00,1.98071523E+4,
380.00,2.05569043E+4,
381.00,2.23506797E+4,
382.00,2.50262070E+4,
383.00,2.63667305E+4,
384.00,2.79240664E+4,
385.00,3.08075391E+4,
386.00,3.34992031E+4,
387.00,3.64941406E+4,
388.00,3.92332539E+4,
389.00,4.33287813E+4,
390.00,4.63493516E+4,
391.00,4.96775273E+4,
392.00,5.44821563E+4,
393.00,5.85044141E+4,
394.00,6.26410938E+4,
395.00,6.77508047E+4,
396.00,7.35892266E+4,
397.00,7.70563828E+4,
398.00,8.19493750E+4,
399.00,8.72336250E+4,
400.00,9.46659844E+4,
401.00,9.87875313E+4,
402.00,1.05576195E+5,
403.00,1.11813898E+5,
404.00,1.17405438E+5,
405.00,1.24303508E+5,
406.00,1.30550492E+5,
407.00,1.38725172E+5,
408.00,1.44388078E+5,
409.00,1.52215766E+5,
410.00,1.57842453E+5,
411.00,1.66072203E+5,
412.00,1.72599281E+5,
413.00,1.75493594E+5,
414.00,1.83834375E+5,
415.00,1.89236984E+5,
416.00,1.96575750E+5,
417.00,2.05268500E+5,
418.00,2.10233828E+5,
419.00,2.16667078E+5,
420.00,2.22577078E+5,
421.00,2.29990000E+5,
422.00,2.34154891E+5,
423.00,2.40893953E+5,
424.00,2.47209922E+5,
425.00,2.54886453E+5,
426.00,2.59344766E+5,
427.00,2.67399531E+5,
428.00,2.69693938E+5,
429.00,2.72777469E+5,
430.00,2.80878906E+5,
431.00,2.85642469E+5,
432.00,2.91645250E+5,
433.00,2.95399531E+5,
434.00,2.98782500E+5,
435.00,3.02440125E+5,
436.00,3.07011969E+5,
437.00,3.08716406E+5,
438.00,3.15403438E+5,
439.00,3.17188031E+5,
440.00,3.18762313E+5,
441.00,3.20751125E+5,
442.00,3.28483500E+5,
443.00,3.31389375E+5,
444.00,3.26681188E+5,
445.00,3.33386594E+5,
446.00,3.33484469E+5,
447.00,3.36500188E+5,
448.00,3.38726000E+5,
449.00,3.41088531E+5,
450.00,3.41922844E+5,
451.00,3.38123188E+5,
452.00,3.38407938E+5,
453.00,3.39515938E+5,
454.00,3.42362344E+5,
455.00,3.41161656E+5,
456.00,3.39967594E+5,
457.00,3.39649219E+5,
458.00,3.37913438E+5,
459.00,3.38734438E+5,
460.00,3.40063000E+5,
461.00,3.37699781E+5,
462.00,3.36832813E+5,
463.00,3.32427563E+5,
464.00,3.29124875E+5,
465.00,3.32714188E+5,
466.00,3.32780719E+5,
467.00,3.25956656E+5,
468.00,3.23046156E+5,
469.00,3.21613406E+5,
470.00,3.21412750E+5,
471.00,3.21510813E+5,
472.00,3.21115563E+5,
473.00,3.17153188E+5,
474.00,3.12566469E+5,
475.00,3.12014281E+5,
476.00,3.11601563E+5,
477.00,3.07473438E+5,
478.00,3.07790313E+5,
479.00,3.04328063E+5,
480.00,3.02318750E+5,
481.00,2.97894188E+5,
482.00,2.95428438E+5,
483.00,2.93640813E+5,
