Labels,Ge-Si-445-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,5.08789673E+2,
601.00,2.30309326E+2,
602.00,1.63581734E+1,
603.00,1.52397644E+2,
604.00,7.92636395E+0,
605.00,-1.23933464E+2,
606.00,-2.43779938E+2,
607.00,1.74167084E+2,
608.00,-3.74346130E+2,
609.00,-5.86426575E+2,
610.00,5.84784424E+2,
611.00,2.25521271E+2,
612.00,-1.13805809E+2,
613.00,3.52845764E+1,
614.00,1.33009293E+2,
615.00,-8.63459595E+2,
616.00,-3.16773315E+2,
617.00,-2.07182907E+2,
618.00,-1.89595062E+2,
619.00,1.35242737E+2,
620.00,-1.27619789E+2,
621.00,-1.76790497E+2,
622.00,1.36730484E+2,
623.00,-3.38072693E+2,
624.00,1.99735764E+2,
625.00,1.13123901E+2,
626.00,-1.75930954E+2,
627.00,-3.41085693E+2,
628.00,5.47810852E+2,
629.00,1.98368423E+2,
630.00,3.62606689E+2,
631.00,2.99086212E+2,
632.00,3.36530151E+2,
633.00,3.63426727E+2,
634.00,6.24015503E+2,
635.00,1.17286743E+3,
636.00,7.85756592E+2,
637.00,6.38567322E+2,
638.00,6.97766357E+2,
639.00,7.89209778E+2,
640.00,1.06427747E+3,
641.00,1.31722510E+3,
642.00,1.43989233E+3,
643.00,1.31352356E+3,
644.00,1.97771814E+3,
645.00,1.86254565E+3,
646.00,2.06019678E+3,
647.00,2.14253247E+3,
648.00,2.12448218E+3,
649.00,2.57785620E+3,
650.00,3.06198096E+3,
651.00,3.46230420E+3,
652.00,3.81769165E+3,
653.00,3.91565747E+3,
654.00,4.54991260E+3,
655.00,4.42457568E+3,
656.00,4.86651758E+3,
657.00,5.22346533E+3,
658.00,5.97165283E+3,
659.00,6.68684131E+3,
660.00,7.37796240E+3,
661.00,7.73495215E+3,
662.00,7.98802344E+3,
663.00,8.90757129E+3,
664.00,9.58626953E+3,
665.00,1.01867510E+4,
666.00,1.09833232E+4,
667.00,1.20410449E+4,
668.00,1.27471914E+4,
669.00,1.34120488E+4,
670.00,1.49221445E+4,
671.00,1.62542334E+4,
672.00,1.70268789E+4,
673.00,1.87731094E+4,
674.00,2.03113887E+4,
675.00,2.23897461E+4,
676.00,2.42445273E+4,
677.00,2.66646484E+4,
678.00,2.83524590E+4,
679.00,2.99295508E+4,
680.00,3.13066152E+4,
681.00,3.23219629E+4,
682.00,3.50406680E+4,
683.00,3.67633008E+4,
684.00,3.90807383E+4,
685.00,4.22896094E+4,
686.00,4.40777539E+4,
687.00,4.81838555E+4,
688.00,4.88339063E+4,
689.00,5.15438008E+4,
690.00,5.56548789E+4,
691.00,6.23906445E+4,
692.00,7.13889063E+4,
693.00,8.16254688E+4,
694.00,8.89767344E+4,
695.00,9.25355781E+4,
696.00,9.47921719E+4,
697.00,9.77567813E+4,
698.00,1.01568719E+5,
699.00,1.04833016E+5,
700.00,1.07882883E+5,
701.00,1.10070469E+5,
702.00,1.15128742E+5,
703.00,1.16144516E+5,
704.00,1.19185320E+5,
705.00,1.25911391E+5,
706.00,1.31706875E+5,
707.00,1.38059875E+5,
708.00,1.45271766E+5,
709.00,1.50171609E+5,
710.00,1.56567438E+5,
711.00,1.62016734E+5,
712.00,1.68967969E+5,
713.00,1.73415813E+5,
714.00,1.78426844E+5,
715.00,1.82206781E+5,
716.00,1.90631953E+5,
717.00,1.92014625E+5,
718.00,1.95629188E+5,
719.00,1.98671266E+5,
720.00,2.02765953E+5,
721.00,2.05038625E+5,
722.00,2.08291203E+5,
723.00,2.15159531E+5,
724.00,2.21562094E+5,
725.00,2.24178844E+5,
726.00,2.29580234E+5,
727.00,2.37768297E+5,
728.00,2.42245625E+5,
729.00,2.46428688E+5,
730.00,2.45662406E+5,
731.00,2.51300063E+5,
732.00,2.53990422E+5,
733.00,2.58318594E+5,
734.00,2.62830000E+5,
735.00,2.65508719E+5,
736.00,2.67478813E+5,
737.00,2.74979063E+5,
738.00,2.77193938E+5,
739.00,2.82808156E+5,
740.00,2.87579281E+5,
741.00,2.89832750E+5,
742.00,2.94584906E+5,
743.00,2.99300375E+5,
744.00,3.04405438E+5,
745.00,3.01575938E+5,
746.00,3.06106031E+5,
747.00,3.09479250E+5,
748.00,3.15032125E+5,
749.00,3.18390063E+5,
750.00,3.25273000E+5,
751.00,3.22609188E+5,
752.00,3.27286406E+5,
753.00,3.29488344E+5,
754.00,3.32888125E+5,
755.00,3.36177469E+5,
756.00,3.37586250E+5,
757.00,3.42791125E+5,
758.00,3.47462406E+5,
759.00,3.45028250E+5,
760.00,3.49283125E+5,
761.00,3.51098250E+5,
762.00,3.46513094E+5,
763.00,3.51333094E+5,
764.00,3.51936188E+5,
765.00,3.53419844E+5,
766.00,3.58492125E+5,
767.00,3.61192219E+5,
768.00,3.58374125E+5,
769.00,3.60819719E+5,
770.00,3.65684781E+5,
771.00,3.66506781E+5,
772.00,3.64277906E+5,
773.00,3.69655656E+5,
774.00,3.65140063E+5,
775.00,3.65457844E+5,
776.00,3.66941594E+5,
777.00,3.67794719E+5,
778.00,3.71135906E+5,
779.00,3.73992781E+5,
780.00,3.74328188E+5,
781.00,3.73367750E+5,
782.00,3.70444281E+5,
783.00,3.73237281E+5,
784.00,3.71093594E+5,
785.00,3.68001469E+5,
786.00,3.67811938E+5,
787.00,3.73749625E+5,
788.00,3.67799563E+5,
789.00,3.69811813E+5,
790.00,3.69321750E+5,
791.00,3.70521531E+5,
792.00,3.67103781E+5,
793.00,3.66516875E+5,
794.00,3.63938188E+5,
795.00,3.69440438E+5,
796.00,3.64352125E+5,
797.00,3.62372406E+5,
798.00,3.59873750E+5,
799.00,3.60744313E+5,
800.00,3.61167438E+5,
801.00,3.58229031E+5,
802.00,3.60168438E+5,
803.00,3.58026969E+5,
804.00,3.56054594E+5,
805.00,3.54252813E+5,
806.00,3.53134313E+5,
807.00,3.54605125E+5,
808.00,3.49419469E+5,
809.00,3.46677813E+5,
810.00,3.47262094E+5,
811.00,3.45781500E+5,
812.00,3.44549750E+5,
813.00,3.42618906E+5,
814.00,3.38740031E+5,
815.00,3.40372938E+5,
816.00,3.35941375E+5,
817.00,3.29470094E+5,
818.00,3.32336125E+5,
819.00,3.31972875E+5,
820.00,3.30339000E+5,
821.00,3.29232563E+5,
822.00,3.25988781E+5,
823.00,3.23504313E+5,
824.00,3.18492063E+5,
825.00,3.15148719E+5,
826.00,3.15848094E+5,
827.00,3.13398250E+5,
828.00,3.12091313E+5,
829.00,3.06282219E+5,
830.00,3.07964563E+5,
831.00,3.03133625E+5,
832.00,3.02982594E+5,
833.00,3.00845031E+5,
834.00,2.98463906E+5,
835.00,2.97428281E+5,
836.00,2.96674563E+5,
837.00,2.92788969E+5,
838.00,2.88387531E+5,
839.00,2.87705375E+5,
840.00,2.84006000E+5,
841.00,2.83463156E+5,
842.00,2.81661156E+5,
843.00,2.77531438E+5,
844.00,2.75233438E+5,
845.00,2.73965875E+5,
846.00,2.70941938E+5,
847.00,2.68917781E+5,
848.00,2.67495375E+5,
849.00,2.66591344E+5,
850.00,2.63103344E+5,
851.00,2.58235125E+5,
852.00,2.58300813E+5,
853.00,2.56383250E+5,
854.00,2.55066688E+5,
855.00,2.50998156E+5,
856.00,2.47630078E+5,
857.00,2.49403734E+5,
858.00,2.43933953E+5,
859.00,2.42865953E+5,
860.00,2.40575266E+5,
861.00,2.38853781E+5,
862.00,2.36880859E+5,
863.00,2.35055578E+5,
864.00,2.31132516E+5,
865.00,2.29164859E+5,
866.00,2.26800531E+5,
867.00,2.21886594E+5,
868.00,2.20081594E+5,
869.00,2.18114578E+5,
870.00,2.17014453E+5,
871.00,2.15417531E+5,
872.00,2.12162016E+5,
873.00,2.11389016E+5,
874.00,2.10149875E+5,
875.00,2.05443813E+5,
876.00,2.02582078E+5,
877.00,2.00927203E+5,
878.00,1.98842047E+5,
879.00,1.95844188E+5,
880.00,1.94246188E+5,
881.00,1.92501516E+5,
882.00,1.89541531E+5,
883.00,1.87185750E+5,
884.00,1.86149500E+5,
885.00,1.84295547E+5,
886.00,1.82799281E+5,
887.00,1.78707688E+5,
888.00,1.76594719E+5,
889.00,1.75423672E+5,
890.00,1.73307859E+5,
891.00,1.71448172E+5,
892.00,1.69525906E+5,
893.00,1.66528828E+5,
894.00,1.63254813E+5,
895.00,1.63654953E+5,
896.00,1.60468109E+5,
897.00,1.58361109E+5,
898.00,1.56522641E+5,
899.00,1.54883047E+5,
900.00,1.53255328E+5,
901.00,1.51837859E+5,
902.00,1.48693594E+5,
903.00,1.48607188E+5,
904.00,1.45667094E+5,
905.00,1.44929266E+5,
906.00,1.42248563E+5,
907.00,1.40756750E+5,
908.00,1.39598734E+5,
909.00,1.38794141E+5,
910.00,1.35620453E+5,
911.00,1.35094281E+5,
912.00,1.32005234E+5,
913.00,1.32476125E+5,
914.00,1.29831805E+5,
915.00,1.27776438E+5,
916.00,1.26885305E+5,
917.00,1.24024477E+5,
918.00,1.23539039E+5,
919.00,1.22219297E+5,
920.00,1.20349852E+5,
921.00,1.19325828E+5,
922.00,1.18022766E+5,
923.00,1.14729539E+5,
924.00,1.14037125E+5,
925.00,1.12963836E+5,
926.00,1.11430047E+5,
927.00,1.10040258E+5,
928.00,1.07397773E+5,
929.00,1.06403469E+5,
930.00,1.05165484E+5,
931.00,1.04261063E+5,
932.00,1.03286586E+5,
933.00,1.01428406E+5,
934.00,1.00276070E+5,
935.00,9.89324688E+4,
936.00,9.70696016E+4,
937.00,9.58488516E+4,
938.00,9.46084453E+4,
939.00,9.31033438E+4,
940.00,9.17099453E+4,
941.00,9.13885000E+4,
942.00,8.94006563E+4,
943.00,8.80678672E+4,
944.00,8.62074766E+4,
945.00,8.53938359E+4,
946.00,8.41667500E+4,
947.00,8.29114688E+4,
948.00,8.12743828E+4,
949.00,8.12841875E+4,
950.00,7.99017188E+4,
951.00,7.82732031E+4,
952.00,7.71638281E+4,
953.00,7.59441875E+4,
954.00,7.47516328E+4,
955.00,7.44282188E+4,
956.00,7.31578281E+4,
957.00,7.15512500E+4,
958.00,7.03204688E+4,
959.00,6.98101641E+4,
960.00,6.87719609E+4,
961.00,6.75945000E+4,
962.00,6.66292969E+4,
963.00,6.63657578E+4,
964.00,6.50417578E+4,
965.00,6.34053555E+4,
966.00,6.34163281E+4,
967.00,6.15471992E+4,
968.00,6.08202383E+4,
969.00,5.99747227E+4,
970.00,5.98673711E+4,
971.00,5.84069492E+4,
972.00,5.75759375E+4,
973.00,5.63743477E+4,
974.00,5.58315508E+4,
975.00,5.49771406E+4,
976.00,5.41413906E+4,
977.00,5.29590117E+4,
978.00,5.22156016E+4,
979.00,5.14937656E+4,
980.00,5.07014805E+4,
981.00,5.00251289E+4,
982.00,4.95637461E+4,
983.00,4.84762070E+4,
984.00,4.81130547E+4,
985.00,4.71585391E+4,
986.00,4.68191445E+4,
987.00,4.60246836E+4,
988.00,4.48442109E+4,
989.00,4.40571211E+4,
990.00,4.33823984E+4,
991.00,4.30527852E+4,
992.00,4.25242344E+4,
993.00,4.18212734E+4,
994.00,4.11483477E+4,
995.00,4.01073086E+4,
996.00,3.99160625E+4,
997.00,3.90931016E+4,
998.00,3.86358711E+4,
999.00,3.80266680E+4,
1000.00,3.77135625E+4,
1001.000,3.68308398E+4,
1002.000,3.59018203E+4,
1003.000,3.57395664E+4,
1004.000,3.51745469E+4,
1005.000,3.44129648E+4,
1006.000,3.39122461E+4,
1007.000,3.36116641E+4,
1008.000,3.29794961E+4,
1009.000,3.24262363E+4,
1010.00,3.19406719E+4,
1011.000,3.20032188E+4,
1012.000,3.12746602E+4,
1013.000,3.04207109E+4,
1014.000,3.03245605E+4,
1015.000,2.99652422E+4,
1016.000,2.90354590E+4,
1017.000,2.88770742E+4,
1018.000,2.82647500E+4,
1019.000,2.81268496E+4,
1020.00,2.74737773E+4,
1021.000,2.72671543E+4,
1022.000,2.66422871E+4,
1023.000,2.63020254E+4,
1024.000,2.57758867E+4,
1025.000,2.52783555E+4,
1026.000,2.48782910E+4,
1027.000,2.49583105E+4,
1028.000,2.44978887E+4,
1029.000,2.38160859E+4,
1030.00,2.38340176E+4,
1031.000,2.34396016E+4,
1032.000,2.29086582E+4,
1033.000,2.27441016E+4,
1034.000,2.23288516E+4,
1035.000,2.18863574E+4,
1036.000,2.14670742E+4,
1037.000,2.11184746E+4,
1038.000,2.07387383E+4,
1039.000,2.05795449E+4,
1040.00,2.00975313E+4,
1041.000,1.95457578E+4,
1042.000,1.94575215E+4,
1043.000,1.93444492E+4,
1044.000,1.90021602E+4,
1045.000,1.86231738E+4,
1046.000,1.82882637E+4,
1047.000,1.79906543E+4,
1048.000,1.77920723E+4,
1049.000,1.75988555E+4,
1050.00,1.72070410E+4,
1051.000,1.69011992E+4,
1052.000,1.68056914E+4,
1053.000,1.64973281E+4,
1054.000,1.63872383E+4,
1055.000,1.59456553E+4,
1056.000,1.55891934E+4,
1057.000,1.53006191E+4,
1058.000,1.49793945E+4,
1059.000,1.47336094E+4,
1060.00,1.47101006E+4,
1061.000,1.44192832E+4,
1062.000,1.43444697E+4,
1063.000,1.39206885E+4,
1064.000,1.40694707E+4,
1065.000,1.38020361E+4,
1066.000,1.32698516E+4,
1067.000,1.30434521E+4,
1068.000,1.29388555E+4,
1069.000,1.25068008E+4,
1070.00,1.25521396E+4,
1071.000,1.23682148E+4,
1072.000,1.21943838E+4,
1073.000,1.21821172E+4,
1074.000,1.15717998E+4,
1075.000,1.14397061E+4,
1076.000,1.13574883E+4,
1077.000,1.12468008E+4,
1078.000,1.10388037E+4,
1079.000,1.09820752E+4,
1080.00,1.07412559E+4,
1081.000,1.04460996E+4,
1082.000,1.03413369E+4,
1083.000,1.02645566E+4,
1084.000,1.01255273E+4,
1085.000,9.93232910E+3,
1086.000,9.64769629E+3,
1087.000,9.49593359E+3,
1088.000,9.26092969E+3,
1089.000,9.30054688E+3,
1090.00,9.15824219E+3,
1091.000,9.04220313E+3,
1092.000,8.90939453E+3,
1093.000,8.65747168E+3,
1094.000,8.63696484E+3,
1095.000,8.38648047E+3,
1096.000,8.22100977E+3,
1097.000,8.09402148E+3,
1098.000,7.88378809E+3,
1099.000,7.80460547E+3,
1100.00,7.76236670E+3,
1101.000,7.58216895E+3,
1102.000,7.43533203E+3,
1103.000,7.48810205E+3,
1104.000,7.18020898E+3,
1105.000,7.17449902E+3,
1106.000,7.11122559E+3,
1107.000,6.84137549E+3,
1108.000,6.82973096E+3,
1109.000,6.64333398E+3,
1110.00,6.55289648E+3,
1111.000,6.44638916E+3,
1112.000,6.29159375E+3,
1113.000,6.20531055E+3,
1114.000,6.05703223E+3,
1115.000,5.98480664E+3,
1116.000,5.94797900E+3,
1117.000,5.97275684E+3,
1118.000,5.74853809E+3,
1119.000,5.69575293E+3,
1120.00,5.50787842E+3,
1121.000,5.52404199E+3,
1122.000,5.35486719E+3,
1123.000,5.30373730E+3,
1124.000,5.16163330E+3,
1125.000,5.07514404E+3,
1126.000,5.12537451E+3,
1127.000,4.90687012E+3,
1128.000,4.99669482E+3,
1129.000,4.74133887E+3,
1130.00,4.75647314E+3,
1131.000,4.68788477E+3,
1132.000,4.47655908E+3,
1133.000,4.45995117E+3,
1134.000,4.64321680E+3,
1135.000,4.38831396E+3,
1136.000,4.27793652E+3,
1137.000,4.24425146E+3,
1138.000,4.01306323E+3,
1139.000,4.15241650E+3,
1140.00,4.14090674E+3,
1141.000,4.15172412E+3,
1142.000,3.84462402E+3,
1143.000,3.95011719E+3,
1144.000,3.76228125E+3,
1145.000,3.67361816E+3,
1146.000,3.74776147E+3,
1147.000,3.54000049E+3,
1148.000,3.55489648E+3,
1149.000,3.39267944E+3,
1150.00,3.44831543E+3,
1151.000,3.31439453E+3,
1152.000,3.15267871E+3,
1153.000,3.21293408E+3,
1154.000,3.18012964E+3,
1155.000,3.16118091E+3,
1156.000,3.00572754E+3,
1157.000,2.95653931E+3,
1158.000,2.97760303E+3,
1159.000,2.98033301E+3,
1160.00,2.93890332E+3,
1161.000,2.84981885E+3,
1162.000,2.82649683E+3,
1163.000,2.66500391E+3,
1164.000,2.82482764E+3,
1165.000,2.60596167E+3,
1166.000,2.58552026E+3,
1167.000,2.52770264E+3,
1168.000,2.46889868E+3,
1169.000,2.47863013E+3,
1170.00,2.47402100E+3,
