Labels,Ge-Si-780-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,780.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

280.00,5.70446094E+4,
281.00,6.22717461E+4,
282.00,6.42267383E+4,
283.00,5.79995039E+4,
284.00,6.27231523E+4,
285.00,6.63917813E+4,
286.00,6.56359922E+4,
287.00,6.98061563E+4,
288.00,6.40626328E+4,
289.00,6.74671094E+4,
290.00,6.99529063E+4,
291.00,6.49174219E+4,
292.00,6.57079219E+4,
293.00,6.71595859E+4,
294.00,6.02732344E+4,
295.00,6.21452773E+4,
296.00,6.04737422E+4,
297.00,5.48726289E+4,
298.00,5.30979102E+4,
299.00,4.99742109E+4,
300.00,4.77194180E+4,
301.00,4.50709883E+4,
302.00,3.84490273E+4,
303.00,3.58629766E+4,
304.00,3.28765625E+4,
305.00,2.92050605E+4,
306.00,2.82783164E+4,
307.00,2.48117285E+4,
308.00,2.02369180E+4,
309.00,2.03808223E+4,
310.00,1.70594258E+4,
311.00,1.50005322E+4,
312.00,1.25776064E+4,
313.00,1.14608428E+4,
314.00,1.16313242E+4,
315.00,9.63939551E+3,
316.00,8.46322754E+3,
317.00,7.75946729E+3,
318.00,5.44015332E+3,
319.00,5.50336133E+3,
320.00,4.56707227E+3,
321.00,4.61242773E+3,
322.00,4.28417285E+3,
323.00,4.48073584E+3,
324.00,3.85934961E+3,
325.00,3.39244507E+3,
326.00,2.66347461E+3,
327.00,2.92489087E+3,
328.00,2.41333545E+3,
329.00,2.41507861E+3,
330.00,2.22490552E+3,
331.00,1.66701611E+3,
332.00,1.78302161E+3,
333.00,1.51432959E+3,
334.00,1.79407507E+3,
335.00,1.48561987E+3,
336.00,1.53454309E+3,
337.00,1.41060767E+3,
338.00,3.50377930E+2,
339.00,1.23925476E+3,
340.00,7.47535339E+2,
341.00,1.15345081E+3,
342.00,9.39447449E+2,
343.00,1.08592310E+3,
344.00,1.67436035E+3,
345.00,7.90524048E+2,
346.00,1.07817969E+3,
347.00,2.71827271E+2,
348.00,1.15969727E+3,
349.00,1.22808923E+3,
350.00,1.44097595E+3,
351.00,1.53868433E+3,
352.00,1.54150684E+3,
353.00,1.60807788E+3,
354.00,1.97362927E+3,
355.00,2.34091675E+3,
356.00,2.12632446E+3,
357.00,2.37716479E+3,
358.00,3.24452637E+3,
359.00,3.30186768E+3,
360.00,3.80330200E+3,
361.00,4.31852344E+3,
362.00,4.33577393E+3,
363.00,4.90445557E+3,
364.00,5.78871875E+3,
365.00,6.62638477E+3,
366.00,7.70682715E+3,
367.00,8.44167969E+3,
368.00,9.56464746E+3,
369.00,9.81813477E+3,
370.00,1.22692861E+4,
371.00,1.35882939E+4,
372.00,1.47149688E+4,
373.00,1.61868018E+4,
374.00,1.82375723E+4,
375.00,2.06402539E+4,
376.00,2.23177578E+4,
377.00,2.54658125E+4,
378.00,2.83398906E+4,
379.00,3.13349082E+4,
380.00,3.51671016E+4,
381.00,3.84850313E+4,
382.00,4.25227930E+4,
383.00,4.57834492E+4,
384.00,4.96219492E+4,
385.00,5.38856563E+4,
386.00,5.98683164E+4,
387.00,6.49887734E+4,
388.00,7.08178516E+4,
389.00,7.72806250E+4,
390.00,8.05335625E+4,
391.00,8.70624609E+4,
392.00,9.38763281E+4,
393.00,1.01047102E+5,
394.00,1.07392859E+5,
395.00,1.14474727E+5,
396.00,1.20204367E+5,
397.00,1.28465086E+5,
398.00,1.33998219E+5,
399.00,1.44037891E+5,
400.00,1.48652328E+5,
401.00,1.58249297E+5,
402.00,1.66602563E+5,
403.00,1.72507016E+5,
404.00,1.82043969E+5,
405.00,1.90239359E+5,
406.00,1.95362797E+5,
407.00,2.04686266E+5,
408.00,2.14709438E+5,
409.00,2.20186656E+5,
410.00,2.25119188E+5,
411.00,2.33471141E+5,
412.00,2.38821656E+5,
413.00,2.46971594E+5,
414.00,2.55527047E+5,
415.00,2.62089938E+5,
416.00,2.68969000E+5,
417.00,2.72670094E+5,
418.00,2.80869063E+5,
419.00,2.88466344E+5,
420.00,2.93200625E+5,
421.00,2.95055375E+5,
422.00,3.03528406E+5,
423.00,3.10404656E+5,
424.00,3.13682750E+5,
425.00,3.14519094E+5,
426.00,3.22061094E+5,
427.00,3.26815250E+5,
428.00,3.30082750E+5,
429.00,3.34255000E+5,
430.00,3.36573750E+5,
431.00,3.38795125E+5,
432.00,3.46954781E+5,
433.00,3.45687688E+5,
434.00,3.48215281E+5,
435.00,3.50008719E+5,
436.00,3.52186594E+5,
437.00,3.53104500E+5,
438.00,3.55041844E+5,
439.00,3.58759813E+5,
440.00,3.56959094E+5,
441.00,3.58634813E+5,
442.00,3.62203344E+5,
443.00,3.58580531E+5,
444.00,3.61059938E+5,
445.00,3.59022469E+5,
446.00,3.59157375E+5,
447.00,3.58237844E+5,
448.00,3.59699438E+5,
449.00,3.60878125E+5,
450.00,3.57687938E+5,
451.00,3.53891406E+5,
452.00,3.54952531E+5,
453.00,3.53005750E+5,
454.00,3.52066688E+5,
455.00,3.48818719E+5,
456.00,3.50306000E+5,
457.00,3.46784031E+5,
458.00,3.44794938E+5,
459.00,3.43736188E+5,
460.00,3.41293781E+5,
461.00,3.43049563E+5,
462.00,3.37893969E+5,
463.00,3.34558594E+5,
464.00,3.31183719E+5,
465.00,3.31258313E+5,
466.00,3.33252625E+5,
467.00,3.26792375E+5,
468.00,3.20368188E+5,
469.00,3.19226906E+5,
470.00,3.20852375E+5,
471.00,3.21462094E+5,
472.00,3.16038469E+5,
473.00,3.09298531E+5,
474.00,3.07971469E+5,
475.00,3.03190375E+5,
476.00,3.01701281E+5,
477.00,2.96735344E+5,
478.00,2.94070531E+5,
479.00,2.90826594E+5,
480.00,2.87055406E+5,
481.00,2.80755281E+5,
482.00,2.75002188E+5,
483.00,2.68888969E+5,
