Labels,Ge-Sn-445-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,-5.07653595E+2,
601.00,7.40706848E+2,
602.00,-1.52670700E+2,
603.00,2.50851688E+1,
604.00,7.52461304E+2,
605.00,3.80489288E+2,
606.00,8.35984680E+2,
607.00,3.07733673E+2,
608.00,-7.09358215E+1,
609.00,1.86265366E+2,
610.00,4.47136810E+2,
611.00,5.74351379E+2,
612.00,1.11228905E+2,
613.00,2.28489151E+2,
614.00,-7.23578110E+1,
615.00,-1.70252686E+2,
616.00,1.32877106E+2,
617.00,6.92652893E+0,
618.00,4.65350342E+2,
619.00,3.91864899E+2,
620.00,4.85185669E+2,
621.00,8.95079224E+2,
622.00,7.83810364E+2,
623.00,6.07455627E+2,
624.00,5.85296997E+2,
625.00,8.54383911E+2,
626.00,1.34594162E+2,
627.00,3.65074554E+2,
628.00,1.52230713E+2,
629.00,2.64781921E+2,
630.00,5.05874237E+2,
631.00,8.13026062E+2,
632.00,3.44322510E+2,
633.00,3.87793915E+2,
634.00,2.14231125E+2,
635.00,5.87894043E+2,
636.00,7.75194519E+2,
637.00,4.72152557E+2,
638.00,4.98026459E+2,
639.00,6.84374817E+2,
640.00,7.57076965E+2,
641.00,1.11499060E+3,
642.00,9.29390015E+2,
643.00,8.01995850E+2,
644.00,1.14974841E+3,
645.00,1.46400659E+3,
646.00,1.48830347E+3,
647.00,1.95759229E+3,
648.00,2.21804199E+3,
649.00,1.95700281E+3,
650.00,2.38230664E+3,
651.00,2.23797632E+3,
652.00,2.43008008E+3,
653.00,2.35352734E+3,
654.00,2.79555493E+3,
655.00,2.82811255E+3,
656.00,3.12075830E+3,
657.00,3.84010010E+3,
658.00,4.01411035E+3,
659.00,4.37227441E+3,
660.00,4.73841504E+3,
661.00,5.32343164E+3,
662.00,5.66229150E+3,
663.00,5.65054980E+3,
664.00,6.23030371E+3,
665.00,6.97972559E+3,
666.00,7.14239795E+3,
667.00,7.35186035E+3,
668.00,8.39937695E+3,
669.00,9.38173047E+3,
670.00,9.52384473E+3,
671.00,1.10608027E+4,
672.00,1.11528428E+4,
673.00,1.24051016E+4,
674.00,1.27328311E+4,
675.00,1.38521563E+4,
676.00,1.63280020E+4,
677.00,1.82562012E+4,
678.00,1.96157070E+4,
679.00,2.02802324E+4,
680.00,2.08930371E+4,
681.00,2.20131523E+4,
682.00,2.37069316E+4,
683.00,2.49739902E+4,
684.00,2.71573828E+4,
685.00,2.83196406E+4,
686.00,3.11592344E+4,
687.00,3.24961191E+4,
688.00,3.32409180E+4,
689.00,3.63425742E+4,
690.00,3.74399766E+4,
691.00,4.09103203E+4,
692.00,4.71476016E+4,
693.00,5.21378125E+4,
694.00,5.53984492E+4,
695.00,5.61135078E+4,
696.00,5.73319688E+4,
697.00,5.98477852E+4,
698.00,6.12535898E+4,
699.00,6.27229531E+4,
700.00,6.58774844E+4,
701.00,6.95027109E+4,
702.00,7.26605938E+4,
703.00,7.43794297E+4,
704.00,7.69562500E+4,
705.00,8.02279766E+4,
706.00,8.42704531E+4,
707.00,8.74999766E+4,
708.00,9.14773125E+4,
709.00,9.64801406E+4,
710.00,9.91447578E+4,
711.00,1.02870078E+5,
712.00,1.07893641E+5,
713.00,1.09696430E+5,
714.00,1.14818125E+5,
715.00,1.16077758E+5,
716.00,1.15639984E+5,
717.00,1.20334352E+5,
718.00,1.21148461E+5,
719.00,1.22465578E+5,
720.00,1.24337992E+5,
721.00,1.23993156E+5,
722.00,1.27484398E+5,
723.00,1.28758047E+5,
724.00,1.33118813E+5,
725.00,1.33706906E+5,
726.00,1.37135281E+5,
727.00,1.41420828E+5,
728.00,1.42241578E+5,
729.00,1.45278750E+5,
730.00,1.45896234E+5,
731.00,1.47062219E+5,
732.00,1.49308844E+5,
733.00,1.50873813E+5,
734.00,1.51072984E+5,
735.00,1.50724047E+5,
736.00,1.53438938E+5,
737.00,1.55541813E+5,
738.00,1.57500000E+5,
739.00,1.58451672E+5,
740.00,1.59846969E+5,
741.00,1.62927516E+5,
742.00,1.63488031E+5,
743.00,1.63714625E+5,
744.00,1.63267641E+5,
745.00,1.65977250E+5,
746.00,1.67048781E+5,
747.00,1.68387781E+5,
748.00,1.67996328E+5,
749.00,1.71637328E+5,
750.00,1.70499719E+5,
751.00,1.73029688E+5,
752.00,1.71958375E+5,
753.00,1.73369531E+5,
754.00,1.73062328E+5,
755.00,1.73863547E+5,
756.00,1.75788938E+5,
757.00,1.76059266E+5,
758.00,1.73646172E+5,
759.00,1.73232813E+5,
760.00,1.73251453E+5,
761.00,1.73206234E+5,
762.00,1.73306719E+5,
763.00,1.73516984E+5,
764.00,1.75314438E+5,
765.00,1.74954719E+5,
766.00,1.76136266E+5,
767.00,1.73523953E+5,
768.00,1.71590438E+5,
769.00,1.72041313E+5,
770.00,1.74216813E+5,
771.00,1.71352688E+5,
772.00,1.70728938E+5,
773.00,1.72126813E+5,
774.00,1.69624203E+5,
775.00,1.69014359E+5,
776.00,1.69677922E+5,
777.00,1.69757719E+5,
778.00,1.68649547E+5,
779.00,1.66953281E+5,
780.00,1.65797250E+5,
781.00,1.63270594E+5,
782.00,1.65043109E+5,
783.00,1.62514531E+5,
784.00,1.61983953E+5,
785.00,1.61872969E+5,
786.00,1.59660734E+5,
787.00,1.59381391E+5,
788.00,1.57077578E+5,
789.00,1.57546297E+5,
790.00,1.56980234E+5,
791.00,1.55581234E+5,
792.00,1.54927969E+5,
793.00,1.52579484E+5,
794.00,1.51703734E+5,
795.00,1.50839141E+5,
796.00,1.48577891E+5,
797.00,1.49090547E+5,
798.00,1.45961469E+5,
799.00,1.45086734E+5,
800.00,1.46019609E+5,
801.00,1.42745875E+5,
802.00,1.41717516E+5,
803.00,1.42192406E+5,
804.00,1.40005484E+5,
805.00,1.38959328E+5,
806.00,1.38219922E+5,
807.00,1.35448563E+5,
808.00,1.34291141E+5,
809.00,1.33663281E+5,
810.00,1.31580375E+5,
811.00,1.32646859E+5,
812.00,1.30206555E+5,
813.00,1.30805609E+5,
814.00,1.27888063E+5,
815.00,1.26415594E+5,
816.00,1.25869305E+5,
817.00,1.23421305E+5,
818.00,1.22903813E+5,
819.00,1.21030984E+5,
820.00,1.19414094E+5,
821.00,1.17985070E+5,
822.00,1.16255219E+5,
823.00,1.16782438E+5,
824.00,1.15749695E+5,
825.00,1.14445555E+5,
826.00,1.12983305E+5,
827.00,1.10294203E+5,
828.00,1.10574156E+5,
829.00,1.08181883E+5,
830.00,1.08067164E+5,
831.00,1.05978531E+5,
832.00,1.03653445E+5,
833.00,1.03672570E+5,
834.00,1.02236633E+5,
835.00,1.00941547E+5,
836.00,1.00503281E+5,
837.00,9.77042188E+4,
838.00,9.78369766E+4,
839.00,9.81378359E+4,
840.00,9.68158203E+4,
841.00,9.38982344E+4,
842.00,9.39361719E+4,
843.00,9.19370469E+4,
844.00,9.14752422E+4,
845.00,8.97425938E+4,
846.00,8.87551875E+4,
847.00,8.86883047E+4,
848.00,8.79825859E+4,
849.00,8.69968516E+4,
850.00,8.50375078E+4,
851.00,8.43012656E+4,
852.00,8.20642969E+4,
853.00,8.23748203E+4,
854.00,8.09241328E+4,
855.00,8.03148672E+4,
856.00,7.95228594E+4,
857.00,7.77292109E+4,
858.00,7.74006484E+4,
859.00,7.59890078E+4,
860.00,7.50639219E+4,
861.00,7.52199531E+4,
862.00,7.43251094E+4,
863.00,7.28538516E+4,
864.00,7.19787656E+4,
865.00,7.07711094E+4,
866.00,6.93063984E+4,
867.00,6.87668359E+4,
868.00,6.88476953E+4,
869.00,6.60640391E+4,
870.00,6.61737109E+4,
871.00,6.53429414E+4,
872.00,6.31694219E+4,
873.00,6.34310156E+4,
874.00,6.24464922E+4,
875.00,6.18665859E+4,
876.00,6.11613438E+4,
877.00,5.98347148E+4,
878.00,5.96287656E+4,
879.00,5.83989961E+4,
880.00,5.70900117E+4,
881.00,5.59968398E+4,
882.00,5.51218438E+4,
883.00,5.44243633E+4,
884.00,5.36987578E+4,
885.00,5.37814102E+4,
886.00,5.17299688E+4,
887.00,5.06987813E+4,
888.00,5.04473711E+4,
889.00,4.98321914E+4,
890.00,4.88969688E+4,
891.00,4.81254883E+4,
892.00,4.83558398E+4,
893.00,4.73620820E+4,
894.00,4.69478516E+4,
895.00,4.56779766E+4,
896.00,4.54841367E+4,
897.00,4.43437773E+4,
898.00,4.38715039E+4,
899.00,4.28493008E+4,
900.00,4.21318945E+4,
901.00,4.18935117E+4,
902.00,4.17154531E+4,
903.00,4.07006172E+4,
904.00,4.02936250E+4,
905.00,3.92672031E+4,
906.00,3.87884688E+4,
907.00,3.85132852E+4,
908.00,3.78587578E+4,
909.00,3.69261602E+4,
910.00,3.65522891E+4,
911.00,3.61056914E+4,
912.00,3.56831641E+4,
913.00,3.53889531E+4,
914.00,3.46603477E+4,
915.00,3.43065430E+4,
916.00,3.37708594E+4,
917.00,3.34092031E+4,
918.00,3.29232461E+4,
919.00,3.25585273E+4,
920.00,3.22604688E+4,
921.00,3.08843262E+4,
922.00,3.09172441E+4,
923.00,2.99470371E+4,
924.00,3.05327441E+4,
925.00,2.96695762E+4,
926.00,2.90553281E+4,
927.00,2.83648867E+4,
928.00,2.80542754E+4,
929.00,2.76893398E+4,
930.00,2.70462129E+4,
931.00,2.68889648E+4,
932.00,2.66753242E+4,
933.00,2.61104961E+4,
934.00,2.56500293E+4,
935.00,2.51275176E+4,
936.00,2.51316309E+4,
937.00,2.48734746E+4,
938.00,2.38712188E+4,
939.00,2.41003379E+4,
940.00,2.35062832E+4,
941.00,2.30025156E+4,
942.00,2.24179102E+4,
943.00,2.23151289E+4,
944.00,2.19331660E+4,
945.00,2.18064453E+4,
946.00,2.10779609E+4,
947.00,2.08899707E+4,
948.00,2.04083438E+4,
949.00,2.03769082E+4,
950.00,1.97901172E+4,
951.00,1.98806797E+4,
952.00,1.92889648E+4,
953.00,1.90921113E+4,
954.00,1.88147285E+4,
955.00,1.86578125E+4,
956.00,1.79199414E+4,
957.00,1.78086738E+4,
958.00,1.75640254E+4,
959.00,1.72899863E+4,
960.00,1.70844980E+4,
961.00,1.66015332E+4,
962.00,1.64527129E+4,
963.00,1.61100986E+4,
964.00,1.57905879E+4,
965.00,1.54276270E+4,
966.00,1.54978281E+4,
967.00,1.49103633E+4,
968.00,1.46081201E+4,
969.00,1.44245225E+4,
970.00,1.41929648E+4,
971.00,1.41269678E+4,
972.00,1.40576777E+4,
973.00,1.35197822E+4,
974.00,1.32012197E+4,
975.00,1.30834795E+4,
976.00,1.28132197E+4,
977.00,1.26755342E+4,
978.00,1.24864492E+4,
979.00,1.24037246E+4,
980.00,1.20247803E+4,
981.00,1.19882480E+4,
982.00,1.14841563E+4,
983.00,1.14949229E+4,
984.00,1.14309580E+4,
985.00,1.11676445E+4,
986.00,1.10506699E+4,
987.00,1.06752500E+4,
988.00,1.06232461E+4,
989.00,1.01933955E+4,
990.00,1.00634199E+4,
991.00,1.00753252E+4,
992.00,9.91474023E+3,
993.00,9.80960840E+3,
994.00,9.62294922E+3,
995.00,9.27269043E+3,
996.00,9.28915039E+3,
997.00,9.15740723E+3,
998.00,8.82879883E+3,
999.00,8.59940918E+3,
1000.00,8.91590820E+3,
1001.000,8.70846582E+3,
1002.000,8.38971289E+3,
1003.000,8.38890820E+3,
1004.000,8.16571436E+3,
1005.000,8.06942480E+3,
1006.000,7.89370605E+3,
1007.000,7.68986279E+3,
1008.000,7.58998438E+3,
1009.000,7.50621143E+3,
1010.00,7.40389355E+3,
1011.000,7.09633154E+3,
1012.000,7.15751270E+3,
1013.000,6.89999219E+3,
1014.000,6.83048438E+3,
1015.000,6.89312646E+3,
1016.000,6.64788379E+3,
1017.000,6.64122949E+3,
1018.000,6.58779297E+3,
1019.000,6.28547510E+3,
1020.00,6.29589014E+3,
1021.000,6.16962646E+3,
1022.000,6.13946387E+3,
1023.000,5.79459326E+3,
1024.000,5.89602344E+3,
1025.000,5.83246777E+3,
1026.000,5.72719678E+3,
1027.000,5.61596094E+3,
1028.000,5.47150146E+3,
1029.000,5.37627930E+3,
1030.00,5.44942871E+3,
1031.000,5.15471338E+3,
1032.000,5.15377783E+3,
1033.000,5.10926904E+3,
1034.000,4.92132764E+3,
1035.000,4.85065869E+3,
1036.000,4.92582275E+3,
1037.000,4.75741553E+3,
1038.000,4.70594434E+3,
1039.000,4.75196875E+3,
1040.00,4.51835303E+3,
1041.000,4.44947998E+3,
1042.000,4.43427979E+3,
1043.000,4.29365625E+3,
1044.000,4.26500928E+3,
1045.000,4.28203418E+3,
1046.000,4.16353564E+3,
1047.000,4.06466968E+3,
1048.000,3.89525928E+3,
1049.000,3.94509741E+3,
1050.00,3.82773413E+3,
1051.000,3.87287549E+3,
1052.000,3.68287354E+3,
1053.000,3.67219946E+3,
1054.000,3.56030249E+3,
1055.000,3.59972168E+3,
1056.000,3.53530054E+3,
1057.000,3.33497168E+3,
1058.000,3.35623145E+3,
1059.000,3.22237183E+3,
1060.00,3.24902954E+3,
1061.000,3.22673047E+3,
1062.000,3.21913599E+3,
1063.000,3.14685547E+3,
1064.000,3.04202075E+3,
1065.000,2.90865308E+3,
1066.000,2.90806934E+3,
1067.000,2.86254126E+3,
1068.000,2.85047119E+3,
1069.000,2.75894678E+3,
1070.00,2.75692065E+3,
1071.000,2.68499487E+3,
1072.000,2.64591724E+3,
1073.000,2.64209277E+3,
1074.000,2.56682495E+3,
1075.000,2.58265356E+3,
1076.000,2.50843506E+3,
1077.000,2.41906250E+3,
1078.000,2.32599146E+3,
1079.000,2.39573096E+3,
1080.00,2.36361230E+3,
1081.000,2.23886328E+3,
1082.000,2.21192407E+3,
1083.000,2.18610205E+3,
1084.000,2.32740137E+3,
1085.000,2.12524536E+3,
1086.000,2.03708813E+3,
1087.000,2.21846851E+3,
1088.000,2.03140503E+3,
1089.000,1.95209290E+3,
1090.00,1.97468262E+3,
1091.000,2.03083875E+3,
1092.000,1.94509387E+3,
1093.000,1.86320483E+3,
1094.000,1.86932959E+3,
1095.000,1.74821838E+3,
1096.000,1.83588171E+3,
1097.000,1.75487012E+3,
1098.000,1.76172742E+3,
1099.000,1.71218250E+3,
1100.00,1.67779089E+3,
1101.000,1.66089905E+3,
1102.000,1.62550574E+3,
1103.000,1.54339160E+3,
1104.000,1.61014063E+3,
1105.000,1.53176672E+3,
1106.000,1.61881946E+3,
1107.000,1.46239722E+3,
1108.000,1.48538220E+3,
1109.000,1.44834534E+3,
1110.00,1.45113354E+3,
1111.000,1.36388037E+3,
1112.000,1.37437402E+3,
1113.000,1.31788721E+3,
1114.000,1.27766516E+3,
1115.000,1.21367419E+3,
1116.000,1.32646765E+3,
1117.000,1.24410767E+3,
1118.000,1.25627979E+3,
1119.000,1.22932263E+3,
1120.00,1.16696680E+3,
1121.000,1.14726355E+3,
1122.000,1.14099036E+3,
1123.000,1.14510144E+3,
1124.000,1.17043262E+3,
1125.000,1.13168372E+3,
1126.000,1.15229993E+3,
1127.000,1.05155371E+3,
1128.000,1.05676563E+3,
1129.000,1.02877222E+3,
1130.00,9.80866699E+2,
1131.000,1.03409155E+3,
1132.000,1.00182593E+3,
1133.000,9.67497925E+2,
1134.000,9.06640015E+2,
1135.000,9.06032837E+2,
1136.000,8.78352905E+2,
1137.000,9.41583008E+2,
1138.000,8.43480713E+2,
1139.000,8.88017700E+2,
1140.00,8.57746826E+2,
1141.000,8.49954224E+2,
1142.000,8.75248108E+2,
1143.000,9.16724976E+2,
1144.000,8.38027771E+2,
1145.000,9.31696838E+2,
1146.000,8.16544922E+2,
1147.000,6.62396973E+2,
1148.000,6.99897644E+2,
1149.000,7.52377014E+2,
1150.00,6.95750183E+2,
1151.000,6.74049683E+2,
1152.000,7.07242859E+2,
1153.000,7.73263977E+2,
1154.000,7.02704529E+2,
1155.000,6.78080750E+2,
1156.000,6.80981812E+2,
1157.000,6.45791748E+2,
1158.000,7.31333069E+2,
1159.000,5.87641113E+2,
1160.00,6.42270508E+2,
1161.000,6.08586121E+2,
1162.000,6.45200134E+2,
1163.000,6.38197937E+2,
1164.000,6.19239990E+2,
1165.000,6.02366821E+2,
1166.000,5.58087463E+2,
1167.000,5.76256531E+2,
1168.000,5.06563873E+2,
1169.000,5.04105988E+2,
1170.00,5.34818542E+2,
