Labels,Ge-Sn-760-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,760.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

280.00,5.65249297E+4,
281.00,6.45122734E+4,
282.00,6.56235703E+4,
283.00,7.23116797E+4,
284.00,6.80245547E+4,
285.00,7.47362344E+4,
286.00,7.04308359E+4,
287.00,6.90887734E+4,
288.00,7.32273906E+4,
289.00,7.55436094E+4,
290.00,7.07284297E+4,
291.00,6.91767969E+4,
292.00,6.86421016E+4,
293.00,6.67947109E+4,
294.00,6.67445938E+4,
295.00,5.94975664E+4,
296.00,6.05299297E+4,
297.00,5.92230742E+4,
298.00,5.21726328E+4,
299.00,5.18704570E+4,
300.00,4.82182383E+4,
301.00,4.47769805E+4,
302.00,4.25095391E+4,
303.00,4.17146367E+4,
304.00,3.88333672E+4,
305.00,3.65641328E+4,
306.00,3.40702617E+4,
307.00,2.83616680E+4,
308.00,2.81760020E+4,
309.00,2.78769492E+4,
310.00,2.42741895E+4,
311.00,2.27063789E+4,
312.00,2.23233145E+4,
313.00,2.11807754E+4,
314.00,1.91147949E+4,
315.00,1.74885234E+4,
316.00,1.73494297E+4,
317.00,1.55888213E+4,
318.00,1.31838369E+4,
319.00,1.32182998E+4,
320.00,1.21602598E+4,
321.00,1.11997461E+4,
322.00,1.11766846E+4,
323.00,9.92039844E+3,
324.00,8.59179004E+3,
325.00,7.97232666E+3,
326.00,7.13643018E+3,
327.00,6.94506055E+3,
328.00,6.43789355E+3,
329.00,6.01227051E+3,
330.00,5.41430811E+3,
331.00,4.73808984E+3,
332.00,4.63512598E+3,
333.00,4.04757153E+3,
334.00,4.05140918E+3,
335.00,3.05995386E+3,
336.00,2.88659375E+3,
337.00,2.46772314E+3,
338.00,2.60779321E+3,
339.00,2.73331323E+3,
340.00,2.19889282E+3,
341.00,1.62331042E+3,
342.00,1.81060376E+3,
343.00,1.95230798E+3,
344.00,1.58477441E+3,
345.00,1.13784888E+3,
346.00,1.17249011E+3,
347.00,1.49179712E+3,
348.00,9.05574890E+2,
349.00,1.12480005E+3,
350.00,9.65570007E+2,
351.00,7.64464111E+2,
352.00,5.53685608E+2,
353.00,7.88531311E+2,
354.00,3.68748169E+2,
355.00,8.09235779E+2,
356.00,9.81696655E+2,
357.00,3.04707489E+2,
358.00,8.64524780E+2,
359.00,5.45571289E+2,
360.00,7.54290955E+2,
361.00,8.56971985E+2,
362.00,1.18472791E+3,
363.00,7.41854614E+2,
364.00,5.04723602E+2,
365.00,1.06144812E+3,
366.00,6.42987915E+2,
367.00,5.43878052E+2,
368.00,4.11879059E+2,
369.00,1.69430005E+3,
370.00,1.04567920E+3,
371.00,1.16806482E+3,
372.00,1.02806494E+3,
373.00,1.55619177E+3,
374.00,1.62481958E+3,
375.00,2.51457300E+3,
376.00,1.93804431E+3,
377.00,2.19583569E+3,
378.00,2.97313330E+3,
379.00,3.26798096E+3,
380.00,3.88034692E+3,
381.00,4.11621094E+3,
382.00,4.34867285E+3,
383.00,5.07935205E+3,
384.00,6.24704688E+3,
385.00,6.83079541E+3,
386.00,6.98759180E+3,
387.00,8.12584668E+3,
388.00,9.10082422E+3,
389.00,1.01992070E+4,
390.00,1.07222725E+4,
391.00,1.25355225E+4,
392.00,1.32961270E+4,
393.00,1.53631191E+4,
394.00,1.69165039E+4,
395.00,1.72628105E+4,
396.00,1.89089961E+4,
397.00,2.16795410E+4,
398.00,2.31491836E+4,
399.00,2.48471367E+4,
400.00,2.66757480E+4,
401.00,2.87876602E+4,
402.00,3.15689102E+4,
403.00,3.46683398E+4,
404.00,3.72333359E+4,
405.00,3.99295898E+4,
406.00,4.27663789E+4,
407.00,4.57323633E+4,
408.00,4.88082930E+4,
409.00,5.12464375E+4,
410.00,5.70786484E+4,
411.00,5.85942734E+4,
412.00,6.25249727E+4,
413.00,6.74524375E+4,
414.00,7.03136094E+4,
415.00,7.43572969E+4,
416.00,7.69614922E+4,
417.00,8.20350625E+4,
418.00,8.39576094E+4,
419.00,9.00934531E+4,
420.00,9.37535391E+4,
421.00,9.66160859E+4,
422.00,1.00289742E+5,
423.00,1.05343367E+5,
424.00,1.07774711E+5,
425.00,1.11118391E+5,
426.00,1.16692422E+5,
427.00,1.19015094E+5,
428.00,1.22059906E+5,
429.00,1.25176063E+5,
430.00,1.31559750E+5,
431.00,1.34676609E+5,
432.00,1.36356094E+5,
433.00,1.40430891E+5,
434.00,1.41844344E+5,
435.00,1.42676422E+5,
436.00,1.47824453E+5,
437.00,1.49418656E+5,
438.00,1.53677797E+5,
439.00,1.55224203E+5,
440.00,1.55476531E+5,
441.00,1.56890063E+5,
442.00,1.57731984E+5,
443.00,1.59039984E+5,
444.00,1.58206422E+5,
445.00,1.62955250E+5,
446.00,1.61271797E+5,
447.00,1.61309563E+5,
448.00,1.60586797E+5,
449.00,1.61591078E+5,
450.00,1.60772375E+5,
451.00,1.60306844E+5,
452.00,1.62068047E+5,
453.00,1.59588156E+5,
454.00,1.60867016E+5,
455.00,1.56723703E+5,
456.00,1.57287953E+5,
457.00,1.57381078E+5,
458.00,1.55679203E+5,
459.00,1.52467594E+5,
460.00,1.51813453E+5,
461.00,1.51637469E+5,
462.00,1.49884328E+5,
463.00,1.48870844E+5,
464.00,1.47618781E+5,
465.00,1.45458266E+5,
466.00,1.46376422E+5,
467.00,1.45218406E+5,
468.00,1.42186453E+5,
469.00,1.40268828E+5,
470.00,1.40849188E+5,
471.00,1.39340734E+5,
472.00,1.36285297E+5,
473.00,1.34075266E+5,
474.00,1.31622484E+5,
475.00,1.28225383E+5,
476.00,1.27243969E+5,
477.00,1.25691250E+5,
478.00,1.23639156E+5,
479.00,1.20184313E+5,
480.00,1.16253961E+5,
481.00,1.16002852E+5,
482.00,1.12231555E+5,
483.00,1.10155320E+5,
