Labels,Zn-445-780-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,4.34591583E+2,
601.00,1.48908615E+2,
602.00,-3.10142303E+2,
603.00,9.10812073E+2,
604.00,-2.75711243E+2,
605.00,4.00930695E+2,
606.00,5.06544525E+2,
607.00,-8.77045364E+1,
608.00,-3.71888519E+2,
609.00,2.76310608E+2,
610.00,6.82606140E+2,
611.00,-6.96168900E+1,
612.00,2.32226593E+2,
613.00,1.49549026E+1,
614.00,1.03372719E+2,
615.00,1.44231110E+1,
616.00,-3.90359894E+2,
617.00,1.76119370E+2,
618.00,7.57157135E+1,
619.00,-1.22638344E+2,
620.00,5.61173279E+2,
621.00,1.27263794E+2,
622.00,-1.53081192E+2,
623.00,-6.50502777E+1,
624.00,4.21207214E+2,
625.00,2.78907043E+2,
626.00,4.45792816E+2,
627.00,8.85041138E+2,
628.00,7.80307434E+2,
629.00,1.45233734E+2,
630.00,8.76333923E+2,
631.00,5.18140442E+2,
632.00,6.67110596E+2,
633.00,4.56992035E+2,
634.00,1.10666113E+3,
635.00,6.11041504E+2,
636.00,5.48835022E+2,
637.00,6.47752502E+2,
638.00,5.91743286E+2,
639.00,1.05882947E+3,
640.00,1.25467920E+3,
641.00,1.13992981E+3,
642.00,1.14819617E+3,
643.00,1.63903552E+3,
644.00,1.39281128E+3,
645.00,1.53389038E+3,
646.00,1.86153235E+3,
647.00,2.09515552E+3,
648.00,2.25729932E+3,
649.00,2.36780273E+3,
650.00,2.40434717E+3,
651.00,2.89307764E+3,
652.00,2.74711792E+3,
653.00,3.36550415E+3,
654.00,3.27985059E+3,
655.00,3.60736841E+3,
656.00,3.99239575E+3,
657.00,4.36938232E+3,
658.00,4.96446094E+3,
659.00,5.13715576E+3,
660.00,5.60887256E+3,
661.00,6.25380811E+3,
662.00,6.82995117E+3,
663.00,7.20944580E+3,
664.00,8.24502344E+3,
665.00,8.88399121E+3,
666.00,9.21134180E+3,
667.00,1.02911387E+4,
668.00,1.07289814E+4,
669.00,1.20779424E+4,
670.00,1.25647324E+4,
671.00,1.40218691E+4,
672.00,1.44142705E+4,
673.00,1.61158086E+4,
674.00,1.65519492E+4,
675.00,1.92741484E+4,
676.00,2.05692129E+4,
677.00,2.21722324E+4,
678.00,2.41772051E+4,
679.00,2.58215527E+4,
680.00,2.69172246E+4,
681.00,2.95144668E+4,
682.00,3.14666152E+4,
683.00,3.34343164E+4,
684.00,3.52175625E+4,
685.00,3.80927266E+4,
686.00,4.02599375E+4,
687.00,4.31136563E+4,
688.00,4.40143398E+4,
689.00,4.74619727E+4,
690.00,5.04185391E+4,
691.00,5.48710117E+4,
692.00,6.25066680E+4,
693.00,6.91102734E+4,
694.00,7.60326172E+4,
695.00,7.89464531E+4,
696.00,8.20766406E+4,
697.00,8.50985547E+4,
698.00,9.05758984E+4,
699.00,9.45599688E+4,
700.00,9.47550469E+4,
701.00,9.98898125E+4,
702.00,1.03679969E+5,
703.00,1.07704797E+5,
704.00,1.11072602E+5,
705.00,1.16948188E+5,
706.00,1.24000047E+5,
707.00,1.28116664E+5,
708.00,1.35154609E+5,
709.00,1.41802734E+5,
710.00,1.49308156E+5,
711.00,1.54799219E+5,
712.00,1.60246500E+5,
713.00,1.68734328E+5,
714.00,1.71186344E+5,
715.00,1.78362344E+5,
716.00,1.82312109E+5,
717.00,1.86390063E+5,
718.00,1.93353859E+5,
719.00,1.95932656E+5,
720.00,2.01405016E+5,
721.00,2.06226672E+5,
722.00,2.08809219E+5,
723.00,2.13467828E+5,
724.00,2.19121828E+5,
725.00,2.24922391E+5,
726.00,2.27459328E+5,
727.00,2.33534672E+5,
728.00,2.41881000E+5,
729.00,2.45814578E+5,
730.00,2.48678750E+5,
731.00,2.52641813E+5,
732.00,2.59552906E+5,
733.00,2.61362922E+5,
734.00,2.65039594E+5,
735.00,2.68377438E+5,
736.00,2.73635188E+5,
737.00,2.79713313E+5,
738.00,2.85364125E+5,
739.00,2.87493313E+5,
740.00,2.89753250E+5,
741.00,2.96427375E+5,
742.00,2.99431594E+5,
743.00,3.07748219E+5,
744.00,3.07660375E+5,
745.00,3.13347438E+5,
746.00,3.15458094E+5,
747.00,3.18694531E+5,
748.00,3.25009750E+5,
749.00,3.28137938E+5,
750.00,3.32421344E+5,
751.00,3.33379906E+5,
752.00,3.33186031E+5,
753.00,3.38100156E+5,
754.00,3.41037406E+5,
755.00,3.45092313E+5,
756.00,3.48351750E+5,
757.00,3.49995031E+5,
758.00,3.52772375E+5,
759.00,3.53680813E+5,
760.00,3.58535250E+5,
761.00,3.58203563E+5,
762.00,3.58175750E+5,
763.00,3.61355000E+5,
764.00,3.60749594E+5,
765.00,3.63496875E+5,
766.00,3.69065969E+5,
767.00,3.65297469E+5,
768.00,3.68550750E+5,
769.00,3.69030219E+5,
770.00,3.69953656E+5,
771.00,3.72800188E+5,
772.00,3.68684344E+5,
773.00,3.73738531E+5,
774.00,3.74499719E+5,
775.00,3.74086656E+5,
776.00,3.75965094E+5,
777.00,3.74503844E+5,
778.00,3.76149750E+5,
779.00,3.79210563E+5,
780.00,3.81263688E+5,
781.00,3.76875500E+5,
782.00,3.77659438E+5,
783.00,3.74181750E+5,
784.00,3.73089719E+5,
785.00,3.77278406E+5,
786.00,3.75111656E+5,
787.00,3.71720188E+5,
788.00,3.73410844E+5,
789.00,3.70848156E+5,
790.00,3.72330531E+5,
791.00,3.71149938E+5,
792.00,3.69243406E+5,
793.00,3.69421750E+5,
794.00,3.65368313E+5,
795.00,3.67972938E+5,
796.00,3.64309656E+5,
797.00,3.60762875E+5,
798.00,3.64089656E+5,
799.00,3.60622219E+5,
800.00,3.62662406E+5,
801.00,3.60315813E+5,
802.00,3.59033313E+5,
803.00,3.55114313E+5,
804.00,3.53379531E+5,
805.00,3.52467406E+5,
806.00,3.48430000E+5,
807.00,3.46057375E+5,
808.00,3.45680406E+5,
809.00,3.48196781E+5,
810.00,3.42823250E+5,
811.00,3.39494156E+5,
812.00,3.41291938E+5,
813.00,3.40549125E+5,
814.00,3.36276156E+5,
815.00,3.36198406E+5,
816.00,3.32256656E+5,
817.00,3.30790281E+5,
818.00,3.26747094E+5,
819.00,3.28349688E+5,
820.00,3.22913844E+5,
821.00,3.21655938E+5,
822.00,3.20051000E+5,
823.00,3.17839906E+5,
824.00,3.16076688E+5,
825.00,3.14272563E+5,
826.00,3.06527625E+5,
827.00,3.07194969E+5,
828.00,3.03354031E+5,
829.00,3.02455031E+5,
830.00,2.96242531E+5,
831.00,2.94659313E+5,
832.00,2.94711938E+5,
833.00,2.93977313E+5,
834.00,2.89357656E+5,
835.00,2.89118125E+5,
836.00,2.86355063E+5,
837.00,2.81323063E+5,
838.00,2.79632531E+5,
839.00,2.77334406E+5,
840.00,2.75621781E+5,
841.00,2.75807156E+5,
842.00,2.73429438E+5,
843.00,2.68742094E+5,
844.00,2.66630531E+5,
845.00,2.65019375E+5,
846.00,2.62406469E+5,
847.00,2.59438969E+5,
848.00,2.57394125E+5,
849.00,2.56214328E+5,
850.00,2.52444406E+5,
851.00,2.50303625E+5,
852.00,2.48181906E+5,
853.00,2.47672453E+5,
854.00,2.44761469E+5,
855.00,2.39678391E+5,
856.00,2.40376438E+5,
857.00,2.38370156E+5,
858.00,2.33861750E+5,
859.00,2.33841016E+5,
860.00,2.28725266E+5,
861.00,2.28568984E+5,
862.00,2.27323531E+5,
863.00,2.23314688E+5,
864.00,2.21982234E+5,
865.00,2.18639906E+5,
866.00,2.15580266E+5,
867.00,2.13693406E+5,
868.00,2.11787750E+5,
869.00,2.07838922E+5,
870.00,2.05826875E+5,
871.00,2.03807141E+5,
872.00,2.02125703E+5,
873.00,2.00575781E+5,
874.00,1.98829078E+5,
875.00,1.94790516E+5,
876.00,1.91451109E+5,
877.00,1.88774438E+5,
878.00,1.86796172E+5,
879.00,1.86208000E+5,
880.00,1.83703344E+5,
881.00,1.81876578E+5,
882.00,1.79474953E+5,
883.00,1.77322250E+5,
884.00,1.76020547E+5,
885.00,1.72839813E+5,
886.00,1.71213609E+5,
887.00,1.69172203E+5,
888.00,1.66296234E+5,
889.00,1.62756172E+5,
890.00,1.61694125E+5,
891.00,1.59433125E+5,
892.00,1.56730813E+5,
893.00,1.54200406E+5,
894.00,1.52859016E+5,
895.00,1.50787438E+5,
896.00,1.48623828E+5,
897.00,1.48230797E+5,
898.00,1.46095500E+5,
899.00,1.43978359E+5,
900.00,1.41140047E+5,
901.00,1.39995531E+5,
902.00,1.38010156E+5,
903.00,1.36089484E+5,
904.00,1.34104328E+5,
905.00,1.32781453E+5,
906.00,1.30900578E+5,
907.00,1.30042000E+5,
908.00,1.29036500E+5,
909.00,1.26779945E+5,
910.00,1.24962531E+5,
911.00,1.24723656E+5,
912.00,1.22066703E+5,
913.00,1.19960164E+5,
914.00,1.19641469E+5,
915.00,1.18359602E+5,
916.00,1.16068250E+5,
917.00,1.14673125E+5,
918.00,1.13087047E+5,
919.00,1.11349523E+5,
920.00,1.09285289E+5,
921.00,1.08986422E+5,
922.00,1.07357469E+5,
923.00,1.06187445E+5,
924.00,1.03885563E+5,
925.00,1.03338320E+5,
926.00,1.01676063E+5,
927.00,1.00475445E+5,
928.00,9.95847656E+4,
929.00,9.73301094E+4,
930.00,9.60388438E+4,
931.00,9.51574766E+4,
932.00,9.33981328E+4,
933.00,9.27404453E+4,
934.00,9.10401406E+4,
935.00,9.06518516E+4,
936.00,8.91446953E+4,
937.00,8.76895391E+4,
938.00,8.61983672E+4,
939.00,8.48660156E+4,
940.00,8.32618906E+4,
941.00,8.25566328E+4,
942.00,8.10576797E+4,
943.00,8.01530859E+4,
944.00,7.91240313E+4,
945.00,7.68708750E+4,
946.00,7.61121016E+4,
947.00,7.57773203E+4,
948.00,7.47845078E+4,
949.00,7.35125000E+4,
950.00,7.19556953E+4,
951.00,7.08702734E+4,
952.00,6.95464922E+4,
953.00,6.85876328E+4,
954.00,6.80716094E+4,
955.00,6.74529531E+4,
956.00,6.60756094E+4,
957.00,6.47384102E+4,
958.00,6.40473047E+4,
959.00,6.28738789E+4,
960.00,6.22116133E+4,
961.00,6.15234180E+4,
962.00,6.05842539E+4,
963.00,5.90958242E+4,
964.00,5.86102500E+4,
965.00,5.71091016E+4,
966.00,5.61651055E+4,
967.00,5.53286680E+4,
968.00,5.46190859E+4,
969.00,5.38925234E+4,
970.00,5.29456445E+4,
971.00,5.24411133E+4,
972.00,5.17867695E+4,
973.00,5.07761406E+4,
974.00,4.99571172E+4,
975.00,4.94270313E+4,
976.00,4.82719727E+4,
977.00,4.81545273E+4,
978.00,4.67745977E+4,
979.00,4.64427969E+4,
980.00,4.55488125E+4,
981.00,4.54030313E+4,
982.00,4.40637773E+4,
983.00,4.35155039E+4,
984.00,4.33188750E+4,
985.00,4.21090781E+4,
986.00,4.13647031E+4,
987.00,4.08040000E+4,
988.00,4.03324063E+4,
989.00,3.98291406E+4,
990.00,3.95104375E+4,
991.00,3.84370781E+4,
992.00,3.77755898E+4,
993.00,3.74502344E+4,
994.00,3.66720430E+4,
995.00,3.63466719E+4,
996.00,3.50326953E+4,
997.00,3.49764961E+4,
998.00,3.43335508E+4,
999.00,3.36687422E+4,
1000.00,3.33150352E+4,
1001.000,3.33438164E+4,
1002.000,3.27121797E+4,
1003.000,3.17362949E+4,
1004.000,3.12148438E+4,
1005.000,3.05690996E+4,
1006.000,3.02238125E+4,
1007.000,3.00640117E+4,
1008.000,2.95391582E+4,
1009.000,2.87080703E+4,
1010.00,2.85567227E+4,
1011.000,2.82201953E+4,
1012.000,2.77348086E+4,
1013.000,2.73201797E+4,
1014.000,2.69410879E+4,
1015.000,2.61874688E+4,
1016.000,2.61253770E+4,
1017.000,2.58789004E+4,
1018.000,2.53267715E+4,
1019.000,2.49397344E+4,
1020.00,2.44314414E+4,
1021.000,2.41370254E+4,
1022.000,2.37684590E+4,
1023.000,2.31675273E+4,
1024.000,2.28429902E+4,
1025.000,2.28802090E+4,
1026.000,2.25141895E+4,
1027.000,2.22596836E+4,
1028.000,2.16480918E+4,
1029.000,2.14291289E+4,
1030.00,2.05627148E+4,
1031.000,2.06970391E+4,
1032.000,2.03325176E+4,
1033.000,2.01880527E+4,
1034.000,1.97213418E+4,
1035.000,1.94554121E+4,
1036.000,1.90445254E+4,
1037.000,1.88498906E+4,
1038.000,1.84517285E+4,
1039.000,1.84549453E+4,
1040.00,1.77909883E+4,
1041.000,1.75143496E+4,
1042.000,1.72573105E+4,
1043.000,1.69782070E+4,
1044.000,1.69106602E+4,
1045.000,1.65542637E+4,
1046.000,1.62285234E+4,
1047.000,1.62386172E+4,
1048.000,1.59770488E+4,
1049.000,1.57144600E+4,
1050.00,1.56150879E+4,
1051.000,1.50761475E+4,
1052.000,1.50477236E+4,
1053.000,1.44540918E+4,
1054.000,1.44124277E+4,
1055.000,1.40611738E+4,
1056.000,1.39818203E+4,
1057.000,1.36107559E+4,
1058.000,1.35993467E+4,
1059.000,1.32349922E+4,
1060.00,1.29388906E+4,
1061.000,1.29333105E+4,
1062.000,1.26379922E+4,
1063.000,1.25434521E+4,
1064.000,1.23349219E+4,
1065.000,1.20121592E+4,
1066.000,1.19490322E+4,
1067.000,1.17959619E+4,
1068.000,1.14851406E+4,
1069.000,1.13722451E+4,
1070.00,1.13144883E+4,
1071.000,1.09278594E+4,
1072.000,1.08701572E+4,
1073.000,1.06753193E+4,
1074.000,1.03897100E+4,
1075.000,1.01075537E+4,
1076.000,1.01171055E+4,
1077.000,1.01754531E+4,
1078.000,9.91558691E+3,
1079.000,9.74992773E+3,
1080.00,9.52522266E+3,
1081.000,9.47729297E+3,
1082.000,9.17195605E+3,
1083.000,9.05570703E+3,
1084.000,8.89319238E+3,
1085.000,8.75137305E+3,
1086.000,8.83939551E+3,
1087.000,8.48155371E+3,
1088.000,8.49114941E+3,
1089.000,8.47751758E+3,
1090.00,8.08156982E+3,
1091.000,7.94049854E+3,
1092.000,8.02452930E+3,
1093.000,7.62643945E+3,
1094.000,7.69888281E+3,
1095.000,7.51614063E+3,
1096.000,7.20562891E+3,
1097.000,7.13408936E+3,
1098.000,7.15712354E+3,
1099.000,7.00048291E+3,
1100.00,6.90680713E+3,
1101.000,6.79603760E+3,
1102.000,6.73159082E+3,
1103.000,6.55182080E+3,
1104.000,6.51853760E+3,
1105.000,6.33201270E+3,
1106.000,6.22940625E+3,
1107.000,6.15708838E+3,
1108.000,5.98276367E+3,
1109.000,5.82720215E+3,
1110.00,5.79726221E+3,
1111.000,5.67631787E+3,
1112.000,5.65596094E+3,
1113.000,5.47494189E+3,
1114.000,5.49367578E+3,
1115.000,5.40496387E+3,
1116.000,5.25229785E+3,
1117.000,5.36336035E+3,
1118.000,5.24229004E+3,
1119.000,4.98862109E+3,
1120.00,4.93234961E+3,
1121.000,4.82699170E+3,
1122.000,4.87768945E+3,
1123.000,4.81395459E+3,
1124.000,4.66243555E+3,
1125.000,4.54141553E+3,
1126.000,4.45200830E+3,
1127.000,4.30870215E+3,
1128.000,4.44500684E+3,
1129.000,4.19933057E+3,
1130.00,4.23026611E+3,
1131.000,4.17710107E+3,
1132.000,4.05727344E+3,
1133.000,3.98066309E+3,
1134.000,3.97430151E+3,
1135.000,3.88257520E+3,
1136.000,3.80551050E+3,
1137.000,3.64997144E+3,
1138.000,3.76805688E+3,
1139.000,3.62760571E+3,
1140.00,3.68927051E+3,
1141.000,3.70895874E+3,
1142.000,3.38386646E+3,
1143.000,3.37730640E+3,
1144.000,3.27168042E+3,
1145.000,3.30179102E+3,
1146.000,3.25585547E+3,
1147.000,3.30107886E+3,
1148.000,3.11022144E+3,
1149.000,3.05340137E+3,
1150.00,3.00665234E+3,
1151.000,3.00797778E+3,
1152.000,2.93187305E+3,
1153.000,2.81324609E+3,
1154.000,2.87667065E+3,
1155.000,2.79777856E+3,
1156.000,2.77963550E+3,
1157.000,2.71006763E+3,
1158.000,2.68497656E+3,
1159.000,2.69578760E+3,
1160.00,2.62518213E+3,
1161.000,2.62274951E+3,
1162.000,2.47901245E+3,
1163.000,2.53074585E+3,
1164.000,2.40614087E+3,
1165.000,2.41800366E+3,
1166.000,2.33060327E+3,
1167.000,2.29886890E+3,
1168.000,2.22708398E+3,
1169.000,2.23853296E+3,
1170.00,2.15000122E+3,
