Labels,Zn-ZN-445-770-EX,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,770.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

280.00,6.30918164E+4,
281.00,6.77609453E+4,
282.00,6.67150703E+4,
283.00,6.53740195E+4,
284.00,6.88079141E+4,
285.00,6.96088594E+4,
286.00,6.76900391E+4,
287.00,7.20626797E+4,
288.00,6.91750781E+4,
289.00,7.14974844E+4,
290.00,7.26043203E+4,
291.00,6.76548906E+4,
292.00,7.00664844E+4,
293.00,6.57818438E+4,
294.00,6.56051719E+4,
295.00,6.39890430E+4,
296.00,6.04057930E+4,
297.00,5.99724883E+4,
298.00,5.61385078E+4,
299.00,4.96287031E+4,
300.00,4.97434414E+4,
301.00,4.59088477E+4,
302.00,4.07420859E+4,
303.00,3.92884375E+4,
304.00,3.35982188E+4,
305.00,3.03874336E+4,
306.00,2.86941406E+4,
307.00,2.64531270E+4,
308.00,2.17191875E+4,
309.00,1.93412461E+4,
310.00,1.61625898E+4,
311.00,1.56337959E+4,
312.00,1.37059453E+4,
313.00,9.69443359E+3,
314.00,9.55202637E+3,
315.00,9.44112207E+3,
316.00,6.59531445E+3,
317.00,6.40048975E+3,
318.00,5.43500342E+3,
319.00,4.50072119E+3,
320.00,3.54154590E+3,
321.00,4.79172510E+3,
322.00,2.85215674E+3,
323.00,4.01494849E+3,
324.00,2.13036938E+3,
325.00,2.49821704E+3,
326.00,2.33614722E+3,
327.00,2.73302173E+3,
328.00,1.83011804E+3,
329.00,1.88248853E+3,
330.00,1.39054932E+3,
331.00,1.58588025E+3,
332.00,1.66031494E+3,
333.00,1.03720691E+3,
334.00,9.03106445E+2,
335.00,1.13255579E+3,
336.00,1.17819739E+3,
337.00,5.18209290E+2,
338.00,9.24430969E+2,
339.00,1.05403162E+3,
340.00,9.43211548E+2,
341.00,1.48594800E+3,
342.00,1.18972852E+3,
343.00,6.38632874E+2,
344.00,7.57608337E+2,
345.00,9.40580994E+2,
346.00,1.15869678E+3,
347.00,1.04514490E+3,
348.00,1.36145068E+3,
349.00,9.84446716E+2,
350.00,1.13653467E+3,
351.00,1.38877954E+3,
352.00,1.07437390E+3,
353.00,1.75935095E+3,
354.00,1.88004138E+3,
355.00,1.88321826E+3,
356.00,2.33465356E+3,
357.00,1.95417566E+3,
358.00,2.28655884E+3,
359.00,2.17627271E+3,
360.00,3.36525952E+3,
361.00,3.03686499E+3,
362.00,3.60138818E+3,
363.00,4.50429492E+3,
364.00,4.70270850E+3,
365.00,4.88892041E+3,
366.00,5.93009082E+3,
367.00,6.00266455E+3,
368.00,7.35796143E+3,
369.00,7.83258447E+3,
370.00,8.58979395E+3,
371.00,9.78080566E+3,
372.00,1.09860469E+4,
373.00,1.29701045E+4,
374.00,1.47710850E+4,
375.00,1.74423066E+4,
376.00,1.86241719E+4,
377.00,2.09516855E+4,
378.00,2.33996426E+4,
379.00,2.68735352E+4,
380.00,2.85394141E+4,
381.00,3.33360039E+4,
382.00,3.57370273E+4,
383.00,3.95553750E+4,
384.00,4.36787695E+4,
385.00,4.83298711E+4,
386.00,5.21198867E+4,
387.00,5.67876719E+4,
388.00,6.29740117E+4,
389.00,6.84529922E+4,
390.00,7.29880313E+4,
391.00,7.96237109E+4,
392.00,8.59180313E+4,
393.00,9.19132969E+4,
394.00,9.87053906E+4,
395.00,1.03614109E+5,
396.00,1.12501719E+5,
397.00,1.19960859E+5,
398.00,1.26315992E+5,
399.00,1.34257234E+5,
400.00,1.43574297E+5,
401.00,1.46993891E+5,
402.00,1.57158969E+5,
403.00,1.62976422E+5,
404.00,1.72227359E+5,
405.00,1.78841266E+5,
406.00,1.87071438E+5,
407.00,1.95112109E+5,
408.00,2.03000625E+5,
409.00,2.10360656E+5,
410.00,2.18401547E+5,
411.00,2.25211766E+5,
412.00,2.34908625E+5,
413.00,2.39300984E+5,
414.00,2.46344531E+5,
415.00,2.54333500E+5,
416.00,2.58279438E+5,
417.00,2.65213406E+5,
418.00,2.74082656E+5,
419.00,2.78784125E+5,
420.00,2.87195375E+5,
421.00,2.93137688E+5,
422.00,2.96950844E+5,
423.00,3.07781563E+5,
424.00,3.08967813E+5,
425.00,3.12921094E+5,
426.00,3.17895938E+5,
427.00,3.24409406E+5,
428.00,3.29759844E+5,
429.00,3.32028375E+5,
430.00,3.36897844E+5,
431.00,3.39342094E+5,
432.00,3.42272313E+5,
433.00,3.50277594E+5,
434.00,3.47461031E+5,
435.00,3.53976375E+5,
436.00,3.55771813E+5,
437.00,3.56352531E+5,
438.00,3.54410156E+5,
439.00,3.58959063E+5,
440.00,3.59247125E+5,
441.00,3.62210375E+5,
442.00,3.63976406E+5,
443.00,3.65271375E+5,
444.00,3.63684781E+5,
445.00,3.65600781E+5,
446.00,3.61834188E+5,
447.00,3.64052000E+5,
448.00,3.60332563E+5,
449.00,3.60004938E+5,
450.00,3.63274438E+5,
451.00,3.59813938E+5,
452.00,3.55161125E+5,
453.00,3.60917969E+5,
454.00,3.57321875E+5,
455.00,3.54522594E+5,
456.00,3.51574781E+5,
457.00,3.51583156E+5,
458.00,3.46894156E+5,
459.00,3.46826750E+5,
460.00,3.45322719E+5,
461.00,3.42317750E+5,
462.00,3.37867875E+5,
463.00,3.35443531E+5,
464.00,3.31852469E+5,
465.00,3.33735063E+5,
466.00,3.32542219E+5,
467.00,3.27255031E+5,
468.00,3.25027563E+5,
469.00,3.22141781E+5,
470.00,3.17650219E+5,
471.00,3.17474906E+5,
472.00,3.12282219E+5,
473.00,3.10139125E+5,
474.00,3.06579906E+5,
475.00,2.99695844E+5,
476.00,2.98529594E+5,
477.00,2.94539281E+5,
478.00,2.93759375E+5,
479.00,2.86910125E+5,
480.00,2.83031156E+5,
481.00,2.79415281E+5,
482.00,2.75932438E+5,
483.00,2.71218094E+5,
