Labels,Zn-ZN-445-770-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1200.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

600.00,6.12650940E+2,
601.00,3.89629578E+2,
602.00,1.27029297E+2,
603.00,5.89197266E+2,
604.00,3.20900604E+2,
605.00,6.93704773E+2,
606.00,-2.47981995E+2,
607.00,2.05274475E+2,
608.00,3.35896790E+2,
609.00,7.18334595E+2,
610.00,3.46683899E+2,
611.00,7.35358215E+2,
612.00,4.22874451E+2,
613.00,4.32802612E+2,
614.00,-2.46442444E+2,
615.00,5.92751465E+2,
616.00,-5.64477348E+1,
617.00,2.01287689E+2,
618.00,2.25354752E+2,
619.00,1.88771973E+2,
620.00,4.99519562E+2,
621.00,3.63353333E+2,
622.00,2.14615341E+2,
623.00,3.85719940E+2,
624.00,3.03529968E+2,
625.00,-2.99026123E+2,
626.00,1.03917458E+2,
627.00,4.85000877E+1,
628.00,5.24163269E+2,
629.00,-9.82476883E+1,
630.00,6.52674133E+2,
631.00,2.21198593E+2,
632.00,9.21210083E+2,
633.00,5.91610657E+2,
634.00,2.33840912E+2,
635.00,1.09670496E+3,
636.00,7.10213318E+2,
637.00,1.22363574E+3,
638.00,1.24452112E+3,
639.00,1.21083350E+3,
640.00,1.30607263E+3,
641.00,1.17461707E+3,
642.00,1.44318787E+3,
643.00,1.75451917E+3,
644.00,1.78104932E+3,
645.00,2.24368091E+3,
646.00,2.53389771E+3,
647.00,2.48585986E+3,
648.00,2.72993872E+3,
649.00,3.03380811E+3,
650.00,3.49756763E+3,
651.00,3.19616309E+3,
652.00,4.10449170E+3,
653.00,3.96590576E+3,
654.00,4.55559863E+3,
655.00,4.90815430E+3,
656.00,5.65650586E+3,
657.00,6.03232373E+3,
658.00,6.20060107E+3,
659.00,6.96379883E+3,
660.00,8.00390625E+3,
661.00,8.51061621E+3,
662.00,9.14134277E+3,
663.00,1.03973867E+4,
664.00,1.11041777E+4,
665.00,1.16743916E+4,
666.00,1.25995068E+4,
667.00,1.34348516E+4,
668.00,1.44371602E+4,
669.00,1.52781836E+4,
670.00,1.64777383E+4,
671.00,1.82923613E+4,
672.00,2.00947422E+4,
673.00,2.20814922E+4,
674.00,2.30717598E+4,
675.00,2.54737402E+4,
676.00,2.70842344E+4,
677.00,3.02532617E+4,
678.00,3.28928828E+4,
679.00,3.42749570E+4,
680.00,3.56090195E+4,
681.00,3.85783125E+4,
682.00,3.95396797E+4,
683.00,4.39941211E+4,
684.00,4.63344766E+4,
685.00,4.91663125E+4,
686.00,5.40703672E+4,
687.00,5.67946289E+4,
688.00,5.98995430E+4,
689.00,6.21009023E+4,
690.00,6.56003672E+4,
691.00,7.22720547E+4,
692.00,8.13637813E+4,
693.00,9.25730234E+4,
694.00,9.89749609E+4,
695.00,1.01669000E+5,
696.00,1.04999531E+5,
697.00,1.09608969E+5,
698.00,1.12592336E+5,
699.00,1.17116539E+5,
700.00,1.21522336E+5,
701.00,1.26009125E+5,
702.00,1.31334047E+5,
703.00,1.36634859E+5,
704.00,1.41053344E+5,
705.00,1.47323797E+5,
706.00,1.52332969E+5,
707.00,1.62666734E+5,
708.00,1.71127422E+5,
709.00,1.77977672E+5,
710.00,1.84950656E+5,
711.00,1.95011766E+5,
712.00,2.02433969E+5,
713.00,2.10943906E+5,
714.00,2.19047828E+5,
715.00,2.22110781E+5,
716.00,2.27287672E+5,
717.00,2.35264219E+5,
718.00,2.35857625E+5,
719.00,2.42492234E+5,
720.00,2.43403594E+5,
721.00,2.49157891E+5,
722.00,2.52404578E+5,
723.00,2.59424281E+5,
724.00,2.63287906E+5,
725.00,2.65565156E+5,
726.00,2.74082875E+5,
727.00,2.77774281E+5,
728.00,2.83669281E+5,
729.00,2.90056000E+5,
730.00,2.93609063E+5,
731.00,2.96355438E+5,
732.00,3.02792469E+5,
733.00,3.06542750E+5,
734.00,3.10328875E+5,
735.00,3.11827656E+5,
736.00,3.19627000E+5,
737.00,3.22173656E+5,
738.00,3.25537313E+5,
739.00,3.29399563E+5,
740.00,3.32212656E+5,
741.00,3.38542938E+5,
742.00,3.41970844E+5,
743.00,3.40275063E+5,
744.00,3.44248688E+5,
745.00,3.46776969E+5,
746.00,3.49109250E+5,
747.00,3.56946594E+5,
748.00,3.59761969E+5,
749.00,3.64352031E+5,
750.00,3.64270156E+5,
751.00,3.66273938E+5,
752.00,3.70279250E+5,
753.00,3.70628063E+5,
754.00,3.71970813E+5,
755.00,3.74865063E+5,
756.00,3.78757281E+5,
757.00,3.78524156E+5,
758.00,3.79025094E+5,
759.00,3.79155313E+5,
760.00,3.79301688E+5,
761.00,3.77684969E+5,
762.00,3.81212594E+5,
763.00,3.76594750E+5,
764.00,3.84347188E+5,
765.00,3.85499625E+5,
766.00,3.82433500E+5,
767.00,3.83238938E+5,
768.00,3.85097719E+5,
769.00,3.81958906E+5,
770.00,3.82164750E+5,
771.00,3.80399594E+5,
772.00,3.84085594E+5,
773.00,3.79510531E+5,
774.00,3.77433656E+5,
775.00,3.77422281E+5,
776.00,3.78770250E+5,
777.00,3.77837000E+5,
778.00,3.78740750E+5,
779.00,3.77224000E+5,
780.00,3.76624250E+5,
781.00,3.78247969E+5,
782.00,3.74731469E+5,
783.00,3.74088656E+5,
784.00,3.69614438E+5,
785.00,3.66616188E+5,
786.00,3.64100875E+5,
787.00,3.62398313E+5,
788.00,3.61983281E+5,
789.00,3.60522219E+5,
790.00,3.59158563E+5,
791.00,3.56330094E+5,
792.00,3.52479688E+5,
793.00,3.52237000E+5,
794.00,3.47904438E+5,
795.00,3.50109688E+5,
796.00,3.45849719E+5,
797.00,3.41203469E+5,
798.00,3.38908719E+5,
799.00,3.38260313E+5,
800.00,3.34672313E+5,
801.00,3.33272875E+5,
802.00,3.29891656E+5,
803.00,3.26871125E+5,
804.00,3.24251844E+5,
805.00,3.22017813E+5,
806.00,3.17266469E+5,
807.00,3.16025750E+5,
808.00,3.14185938E+5,
809.00,3.13227813E+5,
810.00,3.08327500E+5,
811.00,3.06353156E+5,
812.00,3.04531875E+5,
813.00,2.99099438E+5,
814.00,2.96058406E+5,
815.00,2.93132125E+5,
816.00,2.91404906E+5,
817.00,2.89279656E+5,
818.00,2.85832313E+5,
819.00,2.83665563E+5,
820.00,2.80430313E+5,
821.00,2.75545563E+5,
822.00,2.75878750E+5,
823.00,2.73121875E+5,
824.00,2.66126563E+5,
825.00,2.65033156E+5,
826.00,2.62996688E+5,
827.00,2.59417234E+5,
828.00,2.56449703E+5,
829.00,2.52258531E+5,
830.00,2.51767000E+5,
831.00,2.45739609E+5,
832.00,2.44745281E+5,
833.00,2.40533688E+5,
834.00,2.36880016E+5,
835.00,2.36255781E+5,
836.00,2.33782031E+5,
837.00,2.29744547E+5,
838.00,2.28425984E+5,
839.00,2.26618797E+5,
840.00,2.23098078E+5,
841.00,2.19304156E+5,
842.00,2.17850453E+5,
843.00,2.14946266E+5,
844.00,2.12319141E+5,
845.00,2.07925609E+5,
846.00,2.07365547E+5,
847.00,2.04687625E+5,
848.00,1.99791250E+5,
849.00,1.99910469E+5,
850.00,1.97316297E+5,
851.00,1.93112203E+5,
852.00,1.91223000E+5,
853.00,1.89809359E+5,
854.00,1.86443641E+5,
855.00,1.84755203E+5,
856.00,1.82920344E+5,
857.00,1.79888891E+5,
858.00,1.77203547E+5,
859.00,1.75653359E+5,
860.00,1.72946719E+5,
861.00,1.70347625E+5,
862.00,1.66093766E+5,
863.00,1.65287563E+5,
864.00,1.63276969E+5,
865.00,1.60683609E+5,
866.00,1.56977922E+5,
867.00,1.55770672E+5,
868.00,1.55117359E+5,
869.00,1.51453797E+5,
870.00,1.49074906E+5,
871.00,1.46193859E+5,
872.00,1.44984031E+5,
873.00,1.43133156E+5,
874.00,1.41540984E+5,
875.00,1.38057156E+5,
876.00,1.34678313E+5,
877.00,1.34830656E+5,
878.00,1.32245266E+5,
879.00,1.30105852E+5,
880.00,1.27400023E+5,
881.00,1.24058195E+5,
882.00,1.24155477E+5,
883.00,1.20701703E+5,
884.00,1.19382484E+5,
885.00,1.19256898E+5,
886.00,1.15396273E+5,
887.00,1.13825844E+5,
888.00,1.13150188E+5,
889.00,1.11229328E+5,
890.00,1.08472609E+5,
891.00,1.07662719E+5,
892.00,1.05405977E+5,
893.00,1.03613000E+5,
894.00,1.01793523E+5,
895.00,1.00019063E+5,
896.00,9.92596172E+4,
897.00,9.72063281E+4,
898.00,9.60851172E+4,
899.00,9.38091016E+4,
900.00,9.17999453E+4,
901.00,9.06803203E+4,
902.00,8.94127969E+4,
903.00,8.84974688E+4,
904.00,8.67808672E+4,
905.00,8.52277500E+4,
906.00,8.34843203E+4,
907.00,8.20888203E+4,
908.00,8.09461250E+4,
909.00,7.94522813E+4,
910.00,7.82446406E+4,
911.00,7.82545234E+4,
912.00,7.76548438E+4,
913.00,7.55705156E+4,
914.00,7.39751094E+4,
915.00,7.29455156E+4,
916.00,7.23057813E+4,
917.00,7.12510000E+4,
918.00,6.97312656E+4,
919.00,6.93005469E+4,
920.00,6.72413359E+4,
921.00,6.62096328E+4,
922.00,6.58269688E+4,
923.00,6.49024961E+4,
924.00,6.37538555E+4,
925.00,6.26404141E+4,
926.00,6.08007539E+4,
927.00,6.03409805E+4,
928.00,5.89521602E+4,
929.00,5.82812305E+4,
930.00,5.76831953E+4,
931.00,5.64801602E+4,
932.00,5.57545234E+4,
933.00,5.49667852E+4,
934.00,5.43502070E+4,
935.00,5.29098984E+4,
936.00,5.16191211E+4,
937.00,5.13331758E+4,
938.00,5.02723711E+4,
939.00,4.88314727E+4,
940.00,4.86175273E+4,
941.00,4.73423242E+4,
942.00,4.65433047E+4,
943.00,4.63072500E+4,
944.00,4.53166016E+4,
945.00,4.43930938E+4,
946.00,4.34348594E+4,
947.00,4.37013203E+4,
948.00,4.22163164E+4,
949.00,4.10376289E+4,
950.00,4.05944102E+4,
951.00,4.02297539E+4,
952.00,3.98334648E+4,
953.00,3.87464766E+4,
954.00,3.78175234E+4,
955.00,3.72784023E+4,
956.00,3.68169883E+4,
957.00,3.59154023E+4,
958.00,3.52973750E+4,
959.00,3.49008125E+4,
960.00,3.41150234E+4,
961.00,3.31515039E+4,
962.00,3.32352969E+4,
963.00,3.22346621E+4,
964.00,3.15145371E+4,
965.00,3.07575176E+4,
966.00,3.01657754E+4,
967.00,2.99041250E+4,
968.00,2.93549395E+4,
969.00,2.89084648E+4,
970.00,2.82787129E+4,
971.00,2.78596230E+4,
972.00,2.74447266E+4,
973.00,2.69926523E+4,
974.00,2.64513594E+4,
975.00,2.58320195E+4,
976.00,2.52539336E+4,
977.00,2.47786484E+4,
978.00,2.47402148E+4,
979.00,2.41710117E+4,
980.00,2.34513984E+4,
981.00,2.31422656E+4,
982.00,2.26569629E+4,
983.00,2.21584102E+4,
984.00,2.19172363E+4,
985.00,2.15682793E+4,
986.00,2.10266035E+4,
987.00,2.07090664E+4,
988.00,2.02152363E+4,
989.00,2.01175215E+4,
990.00,1.96570313E+4,
991.00,1.95861465E+4,
992.00,1.91334395E+4,
993.00,1.86787031E+4,
994.00,1.84157129E+4,
995.00,1.75197344E+4,
996.00,1.75415469E+4,
997.00,1.72519414E+4,
998.00,1.68327891E+4,
999.00,1.67741582E+4,
1000.00,1.64836934E+4,
1001.000,1.60916729E+4,
1002.000,1.59428369E+4,
1003.000,1.54147578E+4,
1004.000,1.52052578E+4,
1005.000,1.49406768E+4,
1006.000,1.47073438E+4,
1007.000,1.43852725E+4,
1008.000,1.41861650E+4,
1009.000,1.39718877E+4,
1010.00,1.35364492E+4,
1011.000,1.34897725E+4,
1012.000,1.32044014E+4,
1013.000,1.31245195E+4,
1014.000,1.26770391E+4,
1015.000,1.24753340E+4,
1016.000,1.21575156E+4,
1017.000,1.21722842E+4,
1018.000,1.18485430E+4,
1019.000,1.16807383E+4,
1020.00,1.14905322E+4,
1021.000,1.12314600E+4,
1022.000,1.09428594E+4,
1023.000,1.08993955E+4,
1024.000,1.06537109E+4,
1025.000,1.04876650E+4,
1026.000,1.02478105E+4,
1027.000,1.02279883E+4,
1028.000,9.90310156E+3,
1029.000,9.74452246E+3,
1030.00,9.81664648E+3,
1031.000,9.54845508E+3,
1032.000,9.30562598E+3,
1033.000,9.06243262E+3,
1034.000,8.99924414E+3,
1035.000,8.88341113E+3,
1036.000,8.63195996E+3,
1037.000,8.40557422E+3,
1038.000,8.20022852E+3,
1039.000,8.20746191E+3,
1040.00,8.08175977E+3,
1041.000,7.87582275E+3,
1042.000,7.64534131E+3,
1043.000,7.51059863E+3,
1044.000,7.48812939E+3,
1045.000,7.25768652E+3,
1046.000,7.15475928E+3,
1047.000,7.03484863E+3,
1048.000,7.06316797E+3,
1049.000,6.79911719E+3,
1050.00,6.76691553E+3,
1051.000,6.60128564E+3,
1052.000,6.44873291E+3,
1053.000,6.33662842E+3,
1054.000,6.32595215E+3,
1055.000,6.13617383E+3,
1056.000,6.08964014E+3,
1057.000,5.84727637E+3,
1058.000,5.73023145E+3,
1059.000,5.62711475E+3,
1060.00,5.64527197E+3,
1061.000,5.59902734E+3,
1062.000,5.38058740E+3,
1063.000,5.35390186E+3,
1064.000,5.17837500E+3,
1065.000,5.08025781E+3,
1066.000,5.04561133E+3,
1067.000,4.85611621E+3,
1068.000,4.76412988E+3,
1069.000,4.75976514E+3,
1070.00,4.77952002E+3,
1071.000,4.64193848E+3,
1072.000,4.56460938E+3,
1073.000,4.38929980E+3,
1074.000,4.25927100E+3,
1075.000,4.31454102E+3,
1076.000,4.11166309E+3,
1077.000,4.22174170E+3,
1078.000,3.99712915E+3,
1079.000,4.02340723E+3,
1080.00,3.87510693E+3,
1081.000,3.85414136E+3,
1082.000,3.67108350E+3,
1083.000,3.68637793E+3,
1084.000,3.56909253E+3,
1085.000,3.62787695E+3,
1086.000,3.49982397E+3,
1087.000,3.48484961E+3,
1088.000,3.43483984E+3,
1089.000,3.34733960E+3,
1090.00,3.18481299E+3,
1091.000,3.18411719E+3,
1092.000,3.14730005E+3,
1093.000,3.16589673E+3,
1094.000,2.88695630E+3,
1095.000,3.02168579E+3,
1096.000,2.99459644E+3,
1097.000,2.81633057E+3,
1098.000,2.78415967E+3,
1099.000,2.76460400E+3,
1100.00,2.77181567E+3,
1101.000,2.61113354E+3,
1102.000,2.61390674E+3,
1103.000,2.45564673E+3,
1104.000,2.49496387E+3,
1105.000,2.38760962E+3,
1106.000,2.44702148E+3,
1107.000,2.38494116E+3,
1108.000,2.30229102E+3,
1109.000,2.26779004E+3,
1110.00,2.22479907E+3,
1111.000,2.25000610E+3,
1112.000,2.22188013E+3,
1113.000,2.20154102E+3,
1114.000,2.02823206E+3,
1115.000,2.08680542E+3,
1116.000,1.98582825E+3,
1117.000,1.93321216E+3,
1118.000,1.93557104E+3,
1119.000,1.95870886E+3,
1120.00,1.84680103E+3,
1121.000,1.77443921E+3,
1122.000,1.81905798E+3,
1123.000,1.81095813E+3,
1124.000,1.72678711E+3,
1125.000,1.67920557E+3,
1126.000,1.65896094E+3,
1127.000,1.59920825E+3,
1128.000,1.59453052E+3,
1129.000,1.64756238E+3,
1130.00,1.55182471E+3,
1131.000,1.49349316E+3,
1132.000,1.47456360E+3,
1133.000,1.56777686E+3,
1134.000,1.43179980E+3,
1135.000,1.39570215E+3,
1136.000,1.37530103E+3,
1137.000,1.31837988E+3,
1138.000,1.35396997E+3,
1139.000,1.29870227E+3,
1140.00,1.26049036E+3,
1141.000,1.21259180E+3,
1142.000,1.15523059E+3,
1143.000,1.20530310E+3,
1144.000,1.16636707E+3,
1145.000,1.16465601E+3,
1146.000,1.14888562E+3,
1147.000,1.18435205E+3,
1148.000,1.09449695E+3,
1149.000,9.95026245E+2,
1150.00,9.95298523E+2,
1151.000,1.07799597E+3,
1152.000,9.48996765E+2,
1153.000,9.55223999E+2,
1154.000,9.85035645E+2,
1155.000,9.49841919E+2,
1156.000,8.87932922E+2,
1157.000,8.73608582E+2,
1158.000,8.18421021E+2,
1159.000,8.58516418E+2,
1160.00,9.07490906E+2,
1161.000,8.38252563E+2,
1162.000,7.78298462E+2,
1163.000,8.03550354E+2,
1164.000,7.28156738E+2,
1165.000,7.30291443E+2,
1166.000,8.01484070E+2,
1167.000,7.79529114E+2,
1168.000,7.56714172E+2,
1169.000,7.05782898E+2,
1170.00,6.54376770E+2,
