Labels,F2-1500-410-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

650.00,-1.02494764E+1,
651.00,6.80400772E+1,
652.00,-1.27484940E+2,
653.00,-1.01703253E+1,
654.00,1.32281113E+2,
655.00,1.68871490E+2,
656.00,7.37100296E+1,
657.00,3.77265854E+1,
658.00,9.12723465E+1,
659.00,2.68850769E+2,
660.00,-3.63687363E+1,
661.00,1.73243942E+2,
662.00,-4.88167381E+1,
663.00,-4.34474907E+1,
664.00,1.65774231E+2,
665.00,2.26257477E+2,
666.00,7.40291519E+1,
667.00,2.93799225E+2,
668.00,2.30059616E+2,
669.00,-4.08642197E+1,
670.00,1.95006313E+1,
671.00,-2.32263126E+1,
672.00,-4.50003929E+1,
673.00,1.50607788E+2,
674.00,8.00644226E+1,
675.00,6.57322159E+1,
676.00,7.34228992E+0,
677.00,3.69919853E+1,
678.00,9.85633698E+1,
679.00,4.12160858E+2,
680.00,4.12816200E+1,
681.00,7.46967239E+1,
682.00,1.34991043E+2,
683.00,1.90281921E+2,
684.00,1.74046188E+2,
685.00,3.15369598E+2,
686.00,3.03886932E+2,
687.00,1.54877731E+2,
688.00,-6.25963879E+0,
689.00,7.94458313E+1,
690.00,2.00916809E+2,
691.00,1.89383682E+2,
692.00,3.43201019E+2,
693.00,9.31100311E+1,
694.00,8.28307648E+1,
695.00,2.43945618E+2,
696.00,1.17295547E+2,
697.00,5.79321976E+1,
698.00,1.48280945E+2,
699.00,9.24995499E+1,
700.00,0.00000000E+0,
701.00,4.09136108E+2,
702.00,2.68367737E+2,
703.00,1.39192362E+1,
704.00,2.17752090E+2,
705.00,1.14177299E+2,
706.00,7.24698944E+1,
707.00,3.51950226E+1,
708.00,2.37209244E+2,
709.00,6.05037231E+2,
710.00,2.92083679E+2,
711.00,-1.65045624E+2,
712.00,1.59288986E+2,
713.00,2.61599636E+1,
714.00,3.73560883E+2,
715.00,1.81570435E+2,
716.00,2.39653046E+2,
717.00,8.44363708E+1,
718.00,1.57128494E+2,
719.00,2.10882187E+2,
720.00,2.86246948E+2,
721.00,2.90767918E+1,
722.00,3.61925568E+2,
723.00,3.24819824E+2,
724.00,1.59213867E+2,
725.00,3.82467316E+2,
726.00,2.62472473E+2,
727.00,1.11087471E+2,
728.00,3.25916534E+2,
729.00,1.30447922E+2,
730.00,-2.02765366E+2,
731.00,4.89313416E+2,
732.00,2.76221832E+2,
733.00,3.60155090E+2,
734.00,2.45235336E+2,
735.00,6.33217773E+2,
736.00,3.32540924E+2,
737.00,3.30696991E+2,
738.00,9.42887344E+1,
739.00,2.76445953E+2,
740.00,1.81250702E+2,
741.00,1.95719360E+2,
742.00,3.99468567E+2,
743.00,1.07365425E+2,
744.00,1.49172256E+2,
745.00,2.45472824E+2,
746.00,4.09783264E+2,
747.00,7.59014740E+1,
748.00,5.73381500E+1,
749.00,2.57543671E+2,
750.00,2.40121796E+2,
751.00,4.28726166E+2,
752.00,3.40934937E+2,
753.00,-6.99539871E+1,
754.00,3.51000916E+2,
755.00,3.49769867E+2,
756.00,1.67739716E+2,
757.00,2.84570221E+2,
758.00,5.43029541E+2,
759.00,2.04549820E+2,
760.00,3.22836578E+2,
761.00,3.12399261E+2,
762.00,2.36143753E+2,
763.00,1.06117134E+2,
764.00,6.31096153E+1,
765.00,5.23743103E+2,
766.00,2.69661285E+2,
767.00,3.15970428E+2,
768.00,2.79490479E+2,
769.00,3.01118927E+2,
770.00,4.67261810E+1,
771.00,2.31118927E+2,
772.00,1.00932426E+2,
773.00,1.86233185E+2,
774.00,4.56444946E+2,
775.00,2.59861328E+2,
776.00,9.52346649E+1,
777.00,2.76731873E+2,
778.00,2.51490250E+2,
779.00,1.42192703E+2,
780.00,3.07771149E+2,
781.00,5.30058784E+1,
782.00,1.44464554E+2,
783.00,7.47938919E+1,
784.00,2.86143829E+2,
785.00,4.80125084E+1,
786.00,4.31505310E+2,
787.00,2.98758209E+2,
788.00,1.39654587E+2,
789.00,2.59559296E+2,
790.00,2.99846344E+2,
791.00,1.29628067E+2,
792.00,2.02426697E+2,
793.00,1.66392639E+2,
794.00,2.05871918E+2,
795.00,3.19015198E+2,
796.00,2.98207733E+2,
797.00,2.82335022E+2,
798.00,3.62442993E+2,
799.00,3.33954224E+2,
800.00,2.40849731E+2,
801.00,4.81917877E+2,
802.00,3.29225342E+2,
803.00,2.63872192E+2,
804.00,2.35978394E+2,
805.00,3.02356842E+2,
806.00,2.63336090E+2,
807.00,2.20157257E+2,
808.00,2.41036331E+2,
809.00,2.23545593E+2,
810.00,7.84796677E+1,
811.00,3.29681366E+2,
812.00,2.10861816E+2,
813.00,1.71295486E+2,
814.00,4.43622559E+2,
815.00,2.92177917E+2,
816.00,3.13289398E+2,
817.00,2.35181900E+2,
818.00,2.66698669E+2,
819.00,3.76963379E+2,
820.00,2.20076157E+2,
821.00,1.75697159E+2,
822.00,2.81573334E+2,
823.00,3.75929382E+2,
824.00,2.80654327E+2,
825.00,1.37307022E+2,
826.00,3.29383209E+2,
827.00,2.76962189E+2,
828.00,5.08191620E+2,
829.00,5.58612251E+1,
830.00,4.37067749E+2,
831.00,1.99494324E+2,
832.00,1.56584854E+2,
833.00,2.33051285E+2,
834.00,1.37489914E+2,
835.00,1.84875595E+2,
836.00,2.06952164E+2,
837.00,1.11792885E+2,
838.00,1.54674316E+2,
839.00,1.00354782E+2,
840.00,1.05729004E+2,
841.00,2.39388550E+2,
842.00,1.49218033E+2,
843.00,1.63545303E+2,
844.00,5.74197197E+1,
845.00,2.01487946E+2,
846.00,1.74099731E+2,
847.00,2.56430481E+2,
848.00,3.10084248E+1,
849.00,2.52952744E+2,
850.00,1.83243546E+2,
851.00,2.41300705E+2,
852.00,3.05248901E+2,
853.00,3.35547180E+2,
854.00,1.12209587E+2,
855.00,1.71188995E+2,
856.00,1.56556900E+2,
857.00,2.20313454E+1,
858.00,1.39756989E+2,
859.00,1.83117905E+2,
860.00,1.07290657E+2,
861.00,2.94148346E+2,
862.00,4.49094276E+1,
863.00,5.89499397E+1,
864.00,5.13047066E+1,
865.00,1.01533737E+2,
866.00,2.42781662E+2,
867.00,2.78541748E+2,
868.00,2.18021851E+2,
869.00,1.85654739E+2,
870.00,2.08698792E+2,
871.00,2.51849808E+2,
872.00,1.50660782E+2,
873.00,1.73701736E+2,
874.00,1.82525909E+2,
875.00,1.06617783E+2,
876.00,1.18566513E+2,
877.00,1.61494732E+1,
878.00,1.75749695E+2,
879.00,1.73626114E+2,
880.00,1.09551178E+2,
881.00,1.03253479E+2,
882.00,2.28429611E+2,
883.00,1.38680573E+2,
884.00,4.16565437E+1,
885.00,2.45935822E+2,
886.00,8.85814896E+1,
887.00,1.38084518E+2,
888.00,1.40504486E+2,
889.00,1.36502304E+2,
890.00,1.49646072E+2,
891.00,1.04685112E+2,
892.00,2.04573303E+2,
893.00,1.29082565E+2,
894.00,1.34666615E+1,
895.00,1.15738106E+1,
896.00,3.66272469E+1,
897.00,1.13760002E+2,
898.00,2.00640808E+2,
899.00,9.05140610E+1,
900.00,9.15342484E+1,
901.00,1.70522842E+2,
902.00,1.07232071E+2,
903.00,4.61390648E+1,
904.00,9.34475632E+1,
905.00,1.16924805E+2,
906.00,3.21396408E+1,
907.00,-1.93954039E+0,
908.00,9.36065979E+1,
909.00,5.55701752E+1,
910.00,1.63145020E+2,
911.00,1.33500870E+2,
912.00,9.13659897E+1,
913.00,9.82962036E+1,
914.00,9.29232407E+1,
915.00,5.14045906E+1,
916.00,1.87439911E+2,
917.00,8.65121078E+1,
918.00,1.26949524E+2,
919.00,1.09553612E+2,
920.00,4.74896507E+1,
921.00,5.59569130E+1,
922.00,1.29934219E+2,
923.00,4.02184067E+1,
924.00,8.63886032E+1,
925.00,5.02692299E+1,
926.00,4.37182350E+1,
927.00,5.11160851E+1,
928.00,2.65738068E+1,
929.00,7.67854614E+1,
930.00,5.45015793E+1,
931.00,1.22456772E+2,
932.00,8.91223984E+1,
933.00,3.14505444E+1,
934.00,9.39236298E+1,
935.00,7.18245468E+1,
936.00,6.71460648E+1,
937.00,5.67377205E+1,
938.00,6.60137253E+1,
939.00,1.28862396E+2,
940.00,4.78350525E+1,
941.00,8.95623550E+1,
942.00,7.95322495E+1,
943.00,1.11090794E+1,
944.00,6.38760071E+1,
945.00,4.30797462E+1,
946.00,6.30247421E+1,
947.00,8.86198044E+1,
948.00,2.87655697E+1,
949.00,6.02824669E+1,
950.00,6.29771042E+1,
951.00,-1.38244991E+1,
952.00,6.63670959E+1,
953.00,5.97843437E+1,
954.00,6.52438278E+1,
955.00,4.94100113E+1,
956.00,6.93268442E+0,
957.00,-3.62686419E+0,
958.00,9.06433029E+1,
959.00,6.76418781E+0,
960.00,1.86343060E+1,
961.00,4.06486855E+1,
962.00,4.54792900E+1,
963.00,2.17254848E+1,
964.00,4.82892570E+1,
965.00,6.81641617E+1,
966.00,3.31857758E+1,
967.00,3.51863403E+1,
968.00,5.41531143E+1,
969.00,7.32158432E+1,
970.00,1.62027626E+1,
971.00,5.56847725E+1,
972.00,5.25141258E+1,
973.00,4.39214516E+1,
974.00,3.79992485E+1,
975.00,7.12423935E+1,
976.00,4.90926056E+1,
977.00,6.81508026E+1,
978.00,4.00106049E+1,
979.00,4.10742531E+1,
980.00,4.58047638E+1,
981.00,2.19764271E+1,
982.00,5.38131790E+1,
983.00,2.55090637E+1,
984.00,1.75942135E+1,
985.00,4.77134018E+1,
986.00,6.79965591E+1,
987.00,9.73890686E+1,
988.00,3.81415329E+1,
989.00,3.77938995E+1,
990.00,2.21101704E+1,
991.00,3.43150139E+1,
992.00,5.65926790E+0,
993.00,3.40696182E+1,
994.00,4.71808052E+1,
995.00,1.42782173E+1,
996.00,3.00425797E+1,
997.00,1.08647604E+1,
998.00,3.04789944E+1,
999.00,5.84790459E+1,
1000.00,6.33805389E+1,
1001.000,7.10882492E+1,
1002.000,3.87604942E+1,
1003.000,6.97801895E+1,
1004.000,5.02568588E+1,
1005.000,3.09605732E+1,
1006.000,6.26753578E+1,
1007.000,3.75437355E+1,
1008.000,4.63722801E+1,
1009.000,3.91957130E+1,
1010.00,6.21620369E+1,
1011.000,5.84073105E+1,
1012.000,4.38622856E+1,
1013.000,2.22648849E+1,
1014.000,4.40080452E+1,
1015.000,6.55903625E+1,
1016.000,2.89156780E+1,
1017.000,4.59666176E+1,
1018.000,9.68532028E+1,
1019.000,5.69906616E+1,
1020.00,4.32948608E+1,
1021.000,3.52994385E+1,
1022.000,6.31515961E+1,
1023.000,2.22915955E+1,
1024.000,6.43483658E+1,
1025.000,4.21031761E+1,
1026.000,2.97467289E+1,
1027.000,5.49964752E+1,
1028.000,3.34297295E+1,
1029.000,5.46806412E+1,
1030.00,6.71902390E+1,
1031.000,7.33170929E+1,
1032.000,5.43947487E+1,
1033.000,4.42005310E+1,
1034.000,7.93276596E+1,
1035.000,6.42847061E+1,
1036.000,4.47957077E+1,
1037.000,6.24712219E+1,
1038.000,1.78417397E+1,
1039.000,2.28687553E+1,
1040.00,3.54338531E+1,
1041.000,6.32589417E+1,
1042.000,5.33516426E+1,
1043.000,5.13400230E+1,
1044.000,3.08574734E+1,
1045.000,4.25510521E+1,
1046.000,5.76760406E+1,
1047.000,5.16355324E+1,
1048.000,8.74198074E+1,
1049.000,8.81495132E+1,
1050.00,4.45054550E+1,
1051.000,3.50016518E+1,
1052.000,6.61431732E+1,
1053.000,1.06434799E+2,
1054.000,4.26263123E+1,
1055.000,6.68348618E+1,
1056.000,4.17317696E+1,
1057.000,8.92005062E+0,
1058.000,4.76165199E+1,
1059.000,8.40979614E+1,
1060.00,1.24216003E+1,
1061.000,3.86749840E+1,
1062.000,7.55136185E+1,
1063.000,5.80188828E+1,
1064.000,8.26379013E+1,
1065.000,5.88591194E+1,
1066.000,6.91292725E+1,
1067.000,4.98653564E+1,
1068.000,4.66050797E+1,
1069.000,9.14538345E+1,
1070.00,4.89821320E+1,
1071.000,6.39511032E+1,
1072.000,3.60209198E+1,
1073.000,4.43121262E+1,
1074.000,6.42891693E+1,
1075.000,5.04658546E+1,
1076.000,8.27780685E+1,
1077.000,6.51751175E+1,
1078.000,5.72684517E+1,
1079.000,8.00763016E+1,
1080.00,5.59008713E+1,
1081.000,5.69623299E+1,
1082.000,8.35045853E+1,
1083.000,8.98205109E+1,
1084.000,8.13749695E+1,
1085.000,9.56991348E+1,
1086.000,7.21119003E+1,
1087.000,6.78175735E+1,
1088.000,7.08798599E+1,
1089.000,7.57464752E+1,
1090.00,7.72807236E+1,
1091.000,1.00763786E+2,
1092.000,9.01210785E+1,
1093.000,9.50034485E+1,
1094.000,8.47475433E+1,
1095.000,8.23459396E+1,
1096.000,5.71366119E+1,
1097.000,1.01624611E+2,
1098.000,1.12066353E+2,
1099.000,9.10944901E+1,
1100.00,1.19660019E+2,
1101.000,6.04861374E+1,
1102.000,1.00946251E+2,
1103.000,8.87873840E+1,
1104.000,5.92252693E+1,
1105.000,1.21343925E+2,
1106.000,9.20520782E+1,
1107.000,8.73102264E+1,
1108.000,9.83391647E+1,
1109.000,1.18333008E+2,
1110.00,1.40986984E+2,
1111.000,1.64728058E+2,
1112.000,1.27501671E+2,
1113.000,1.48163071E+2,
1114.000,1.56895645E+2,
1115.000,1.48364990E+2,
1116.000,1.47853485E+2,
1117.000,9.52499466E+1,
1118.000,1.77088974E+2,
1119.000,1.08857582E+2,
1120.00,1.31537689E+2,
1121.000,1.92004257E+2,
1122.000,1.68966400E+2,
1123.000,1.69316345E+2,
1124.000,1.55453323E+2,
1125.000,1.69976059E+2,
1126.000,2.33611755E+2,
1127.000,2.01420883E+2,
1128.000,1.66299622E+2,
1129.000,1.82409805E+2,
1130.00,1.39302597E+2,
1131.000,2.19373947E+2,
1132.000,2.06770493E+2,
1133.000,1.89585556E+2,
1134.000,1.76217377E+2,
1135.000,1.84540207E+2,
1136.000,2.50686172E+2,
1137.000,2.47650284E+2,
1138.000,2.26887070E+2,
1139.000,2.56337402E+2,
1140.00,2.53969070E+2,
1141.000,2.41945328E+2,
1142.000,2.36511124E+2,
1143.000,2.20204941E+2,
1144.000,2.52630035E+2,
1145.000,2.74850403E+2,
1146.000,3.20017151E+2,
1147.000,2.72473511E+2,
1148.000,3.22879242E+2,
1149.000,3.15793823E+2,
1150.00,2.75788147E+2,
1151.000,3.35896210E+2,
1152.000,3.60214600E+2,
1153.000,3.25031219E+2,
1154.000,3.05774231E+2,
1155.000,3.48516815E+2,
1156.000,3.20777008E+2,
1157.000,3.26315460E+2,
1158.000,3.15367401E+2,
1159.000,3.71111115E+2,
1160.00,3.32305359E+2,
1161.000,3.84622772E+2,
1162.000,3.84821747E+2,
1163.000,3.86982452E+2,
1164.000,4.09016266E+2,
1165.000,4.03682190E+2,
1166.000,4.22837891E+2,
1167.000,3.89553101E+2,
1168.000,4.72327362E+2,
1169.000,4.45070770E+2,
1170.00,4.26415436E+2,
1171.000,4.57686981E+2,
1172.000,4.93696991E+2,
1173.000,4.70048187E+2,
1174.000,5.19515625E+2,
1175.000,4.89394592E+2,
1176.000,5.09593018E+2,
1177.000,4.87138977E+2,
1178.000,5.43843994E+2,
1179.000,5.71544128E+2,
1180.00,5.70699829E+2,
1181.000,5.60127686E+2,
1182.000,5.92718079E+2,
1183.000,6.07169678E+2,
1184.000,6.24584717E+2,
1185.000,6.53146240E+2,
1186.000,6.03675415E+2,
1187.000,6.57520569E+2,
1188.000,6.40583374E+2,
1189.000,6.55579041E+2,
1190.00,6.84791626E+2,
1191.000,6.98083130E+2,
1192.000,7.04429932E+2,
1193.000,7.09263367E+2,
1194.000,6.92078369E+2,
1195.000,7.40437561E+2,
1196.000,7.57671692E+2,
1197.000,7.54897705E+2,
1198.000,7.94909607E+2,
1199.000,7.96400024E+2,
1200.00,7.85833618E+2,
1201.000,8.42717468E+2,
1202.000,8.78255615E+2,
1203.000,8.86530518E+2,
1204.000,8.46765076E+2,
1205.000,8.91950562E+2,
1206.000,9.41025085E+2,
1207.000,9.47018066E+2,
1208.000,9.65599548E+2,
1209.000,1.01132330E+3,
1210.00,9.87903931E+2,
1211.000,1.00633801E+3,
1212.000,1.00936493E+3,
1213.000,1.05242371E+3,
1214.000,1.08428210E+3,
1215.000,1.00887756E+3,
1216.000,1.09782129E+3,
