Labels,F3-1500-435-EM,
Type,Emission Scan,
Comment,,
Start,690.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,435.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

690.00,1.79001453E+3,
691.00,2.10742090E+3,
692.00,2.30089624E+3,
693.00,2.66329736E+3,
694.00,2.90158276E+3,
695.00,2.88547363E+3,
696.00,2.75251733E+3,
697.00,3.32322241E+3,
698.00,3.10055347E+3,
699.00,3.10781372E+3,
700.00,3.11840649E+3,
701.00,3.55287598E+3,
702.00,3.79471851E+3,
703.00,4.26399121E+3,
704.00,3.94622778E+3,
705.00,4.40073438E+3,
706.00,4.03813086E+3,
707.00,4.57951660E+3,
708.00,4.54103906E+3,
709.00,4.57536816E+3,
710.00,4.72004443E+3,
711.00,5.34177881E+3,
712.00,4.94579248E+3,
713.00,5.30286914E+3,
714.00,6.01081982E+3,
715.00,5.62509668E+3,
716.00,5.90672168E+3,
717.00,5.99913818E+3,
718.00,6.19651758E+3,
719.00,6.37545508E+3,
720.00,6.40995215E+3,
721.00,6.48321484E+3,
722.00,6.64246143E+3,
723.00,6.43673193E+3,
724.00,6.65133545E+3,
725.00,6.79634082E+3,
726.00,6.77996240E+3,
727.00,7.09791602E+3,
728.00,7.05134961E+3,
729.00,7.25511377E+3,
730.00,7.40369775E+3,
731.00,7.50954492E+3,
732.00,7.66055273E+3,
733.00,7.57968945E+3,
734.00,7.69529248E+3,
735.00,7.88823779E+3,
736.00,8.00311572E+3,
737.00,7.70270605E+3,
738.00,8.71276172E+3,
739.00,8.42340430E+3,
740.00,8.14866602E+3,
741.00,8.68001367E+3,
742.00,8.64402148E+3,
743.00,8.73233691E+3,
744.00,8.74394727E+3,
745.00,8.88749609E+3,
746.00,9.09041504E+3,
747.00,8.88388281E+3,
748.00,9.29741797E+3,
749.00,9.37931445E+3,
750.00,9.20891895E+3,
751.00,9.39703613E+3,
752.00,9.58347754E+3,
753.00,9.74329102E+3,
754.00,9.36146289E+3,
755.00,9.36438379E+3,
756.00,1.00245400E+4,
757.00,1.00499014E+4,
758.00,9.91018750E+3,
759.00,9.84707324E+3,
760.00,1.01482021E+4,
761.00,1.03078652E+4,
762.00,1.01154111E+4,
763.00,9.90854590E+3,
764.00,1.03049844E+4,
765.00,1.03406729E+4,
766.00,1.04722588E+4,
767.00,1.03304209E+4,
768.00,9.99894727E+3,
769.00,1.05958828E+4,
770.00,1.05861025E+4,
771.00,1.03028320E+4,
772.00,1.06398740E+4,
773.00,1.06844766E+4,
774.00,1.09023525E+4,
775.00,1.06260176E+4,
776.00,1.06369922E+4,
777.00,1.07149941E+4,
778.00,1.09423047E+4,
779.00,1.07680273E+4,
780.00,1.10322559E+4,
781.00,1.08553145E+4,
782.00,1.07445391E+4,
783.00,1.12024678E+4,
784.00,1.06603916E+4,
785.00,1.09505332E+4,
786.00,1.12217432E+4,
787.00,1.07868877E+4,
788.00,1.09202588E+4,
789.00,1.11958311E+4,
790.00,1.12158662E+4,
791.00,1.11267500E+4,
792.00,1.11125557E+4,
793.00,1.10193525E+4,
794.00,1.10515693E+4,
795.00,1.11924434E+4,
796.00,1.10611572E+4,
797.00,1.07233760E+4,
798.00,1.13464775E+4,
799.00,1.13081982E+4,
800.00,1.14329531E+4,
801.00,1.13464697E+4,
802.00,1.11583574E+4,
803.00,1.10741670E+4,
804.00,1.10125283E+4,
805.00,1.09687227E+4,
806.00,1.10818018E+4,
807.00,1.11336055E+4,
808.00,1.12151094E+4,
809.00,1.08379590E+4,
810.00,1.11527275E+4,
811.00,1.07482490E+4,
812.00,1.09416689E+4,
813.00,1.12995322E+4,
814.00,1.07345049E+4,
815.00,1.08262686E+4,
816.00,1.06772910E+4,
817.00,1.06186270E+4,
818.00,1.09601309E+4,
819.00,1.05821357E+4,
820.00,1.08120049E+4,
821.00,1.11330605E+4,
822.00,1.10296426E+4,
823.00,1.11170986E+4,
824.00,1.08183799E+4,
825.00,1.06474961E+4,
826.00,1.10747715E+4,
827.00,1.09579482E+4,
828.00,1.07251016E+4,
829.00,1.06867842E+4,
830.00,1.09451377E+4,
831.00,1.11744756E+4,
832.00,1.02608447E+4,
833.00,1.03141152E+4,
834.00,1.06601309E+4,
835.00,1.03490752E+4,
836.00,1.04141123E+4,
837.00,1.03965313E+4,
838.00,1.05566523E+4,
839.00,1.04898633E+4,
840.00,1.03791357E+4,
841.00,1.03475322E+4,
842.00,9.96615137E+3,
843.00,1.04545518E+4,
844.00,1.02032529E+4,
845.00,1.00762314E+4,
846.00,1.02543037E+4,
847.00,1.00372900E+4,
848.00,1.01152441E+4,
849.00,9.97821777E+3,
850.00,9.76044238E+3,
851.00,9.90589746E+3,
852.00,9.85306836E+3,
853.00,9.74209570E+3,
854.00,9.48406543E+3,
855.00,9.65192285E+3,
856.00,9.73961914E+3,
857.00,9.38080371E+3,
858.00,9.76535156E+3,
859.00,9.56388184E+3,
860.00,9.34083203E+3,
861.00,9.34601172E+3,
862.00,9.28873438E+3,
863.00,9.45868359E+3,
864.00,9.05554102E+3,
865.00,9.53128320E+3,
866.00,9.18129590E+3,
867.00,9.13410742E+3,
868.00,9.02456738E+3,
869.00,8.76143164E+3,
870.00,8.97406836E+3,
871.00,8.96060254E+3,
872.00,8.79248047E+3,
873.00,9.09136914E+3,
874.00,8.82257910E+3,
875.00,8.75602441E+3,
876.00,8.52577148E+3,
877.00,8.62917578E+3,
878.00,8.28668848E+3,
879.00,8.28379590E+3,
880.00,8.22058203E+3,
881.00,8.14197314E+3,
882.00,8.32752246E+3,
883.00,8.26325098E+3,
884.00,8.17881445E+3,
885.00,8.21406934E+3,
886.00,8.03721875E+3,
887.00,8.00731299E+3,
888.00,7.87964453E+3,
889.00,7.97523779E+3,
890.00,7.80033350E+3,
891.00,7.76232471E+3,
892.00,7.57662061E+3,
893.00,7.52003223E+3,
894.00,7.44555469E+3,
895.00,7.36228418E+3,
896.00,7.44865479E+3,
897.00,7.22791943E+3,
898.00,7.22737305E+3,
899.00,7.18444678E+3,
900.00,7.03029004E+3,
901.00,6.92488623E+3,
902.00,7.14756543E+3,
903.00,6.86833838E+3,
904.00,6.85940723E+3,
905.00,6.71005176E+3,
906.00,6.60264600E+3,
907.00,6.61721094E+3,
908.00,6.50666504E+3,
909.00,6.50825537E+3,
910.00,6.43131689E+3,
911.00,6.46488232E+3,
912.00,6.25428809E+3,
913.00,6.21537988E+3,
914.00,6.23694434E+3,
915.00,6.19374951E+3,
916.00,6.08431104E+3,
917.00,6.05156445E+3,
918.00,6.01894336E+3,
919.00,5.98311328E+3,
920.00,5.90769775E+3,
921.00,5.82421729E+3,
922.00,5.79716699E+3,
923.00,5.69389307E+3,
924.00,5.53228564E+3,
925.00,5.52985840E+3,
926.00,5.48230859E+3,
927.00,5.55449463E+3,
928.00,5.35072656E+3,
929.00,5.40790234E+3,
930.00,5.27624316E+3,
931.00,5.20083105E+3,
932.00,5.25429541E+3,
933.00,5.08774805E+3,
934.00,5.04422998E+3,
935.00,4.96461426E+3,
936.00,4.89090332E+3,
937.00,4.92303906E+3,
938.00,4.91352832E+3,
939.00,4.82043945E+3,
940.00,4.71047119E+3,
941.00,4.59934521E+3,
942.00,4.60206787E+3,
943.00,4.53943799E+3,
944.00,4.47990869E+3,
945.00,4.50320801E+3,
946.00,4.32121729E+3,
947.00,4.31885693E+3,
948.00,4.25617822E+3,
949.00,4.21175000E+3,
950.00,4.19700000E+3,
951.00,4.12556982E+3,
952.00,4.04887939E+3,
953.00,4.03370947E+3,
954.00,3.95795728E+3,
955.00,3.97202197E+3,
956.00,3.90729468E+3,
957.00,3.79613257E+3,
958.00,3.88856958E+3,
959.00,3.74379834E+3,
960.00,3.63936426E+3,
961.00,3.72431177E+3,
962.00,3.60497437E+3,
963.00,3.50350415E+3,
964.00,3.50348877E+3,
965.00,3.46122559E+3,
966.00,3.33640576E+3,
967.00,3.32823999E+3,
968.00,3.31424023E+3,
969.00,3.27725562E+3,
970.00,3.22652148E+3,
971.00,3.20855664E+3,
972.00,3.22923218E+3,
973.00,3.12607397E+3,
974.00,3.08768530E+3,
975.00,3.05883984E+3,
976.00,3.07822998E+3,
977.00,2.97228613E+3,
978.00,3.00272070E+3,
979.00,2.94876172E+3,
980.00,2.85503564E+3,
981.00,2.84928101E+3,
982.00,2.77429126E+3,
983.00,2.79805322E+3,
984.00,2.71406030E+3,
985.00,2.76541284E+3,
986.00,2.65148193E+3,
987.00,2.57098584E+3,
988.00,2.60745825E+3,
989.00,2.57531348E+3,
990.00,2.56095142E+3,
991.00,2.52245557E+3,
992.00,2.48933984E+3,
993.00,2.44871484E+3,
994.00,2.41707275E+3,
995.00,2.41133643E+3,
996.00,2.30005713E+3,
997.00,2.28110840E+3,
998.00,2.19964600E+3,
999.00,2.23090283E+3,
1000.00,2.26798755E+3,
1001.000,2.19059058E+3,
1002.000,2.11635254E+3,
1003.000,2.09394214E+3,
1004.000,2.05153857E+3,
1005.000,2.09021045E+3,
1006.000,1.99913647E+3,
1007.000,2.02659546E+3,
1008.000,1.93521960E+3,
1009.000,1.90736536E+3,
1010.00,1.94352942E+3,
1011.000,1.89131982E+3,
1012.000,1.86129883E+3,
1013.000,1.87644946E+3,
1014.000,1.81591309E+3,
1015.000,1.80966626E+3,
1016.000,1.70087915E+3,
1017.000,1.74771033E+3,
1018.000,1.70619775E+3,
1019.000,1.69910901E+3,
1020.00,1.67635083E+3,
1021.000,1.68634595E+3,
1022.000,1.63596448E+3,
1023.000,1.61730786E+3,
1024.000,1.58225354E+3,
1025.000,1.60043213E+3,
1026.000,1.57969812E+3,
1027.000,1.53477124E+3,
1028.000,1.50317749E+3,
1029.000,1.42767249E+3,
1030.00,1.46633997E+3,
1031.000,1.48917603E+3,
1032.000,1.35048718E+3,
1033.000,1.42727185E+3,
1034.000,1.33023267E+3,
1035.000,1.35183435E+3,
1036.000,1.33232959E+3,
1037.000,1.28244678E+3,
1038.000,1.32305908E+3,
1039.000,1.30329919E+3,
1040.00,1.29163538E+3,
1041.000,1.23501611E+3,
1042.000,1.23742834E+3,
1043.000,1.19232446E+3,
1044.000,1.17769519E+3,
1045.000,1.12643640E+3,
1046.000,1.10982385E+3,
1047.000,1.15856201E+3,
1048.000,1.15935901E+3,
1049.000,1.16391650E+3,
1050.00,1.12804175E+3,
1051.000,1.07864270E+3,
1052.000,1.05817749E+3,
1053.000,1.05039429E+3,
1054.000,1.01671191E+3,
1055.000,1.02247150E+3,
1056.000,9.94200134E+2,
1057.000,1.02899854E+3,
1058.000,9.62410339E+2,
1059.000,9.71330200E+2,
1060.00,9.87696960E+2,
1061.000,8.99109985E+2,
1062.000,9.12828613E+2,
1063.000,9.26618408E+2,
1064.000,9.19835022E+2,
1065.000,8.78230469E+2,
1066.000,8.41695984E+2,
1067.000,8.81324829E+2,
1068.000,8.53521057E+2,
1069.000,7.88880554E+2,
1070.00,8.07996094E+2,
1071.000,8.01876465E+2,
1072.000,8.42730347E+2,
1073.000,7.87080811E+2,
1074.000,8.12899475E+2,
1075.000,8.27582153E+2,
1076.000,7.61552185E+2,
1077.000,7.55627319E+2,
1078.000,7.64432739E+2,
1079.000,7.23911499E+2,
1080.00,7.23673340E+2,
1081.000,6.89300415E+2,
1082.000,7.00670593E+2,
1083.000,7.39424866E+2,
1084.000,6.39412476E+2,
1085.000,6.72741089E+2,
1086.000,7.17845398E+2,
1087.000,6.52396790E+2,
1088.000,6.81799988E+2,
1089.000,6.78971863E+2,
1090.00,5.88608154E+2,
1091.000,6.01575256E+2,
1092.000,6.11891479E+2,
1093.000,5.31663879E+2,
1094.000,5.77397644E+2,
1095.000,5.80493408E+2,
1096.000,5.55531982E+2,
1097.000,5.78076050E+2,
1098.000,5.68132263E+2,
1099.000,5.42750671E+2,
1100.00,5.58055237E+2,
1101.000,5.09963684E+2,
1102.000,5.26482300E+2,
1103.000,5.06223083E+2,
1104.000,5.17933167E+2,
1105.000,4.85540009E+2,
1106.000,5.20819641E+2,
1107.000,5.16920105E+2,
1108.000,5.10873718E+2,
1109.000,5.00765564E+2,
1110.00,4.25112061E+2,
1111.000,4.54956512E+2,
1112.000,4.73571350E+2,
1113.000,4.58562653E+2,
1114.000,4.49068542E+2,
1115.000,4.08594757E+2,
1116.000,4.50633545E+2,
1117.000,4.24744659E+2,
1118.000,4.63932098E+2,
1119.000,4.27740753E+2,
1120.00,4.33202637E+2,
1121.000,4.14286377E+2,
1122.000,3.96719360E+2,
1123.000,3.89467926E+2,
1124.000,3.99752136E+2,
1125.000,3.70996338E+2,
1126.000,4.21290802E+2,
1127.000,4.03270752E+2,
1128.000,3.99703705E+2,
1129.000,3.75331024E+2,
1130.00,3.78268402E+2,
1131.000,3.60174896E+2,
1132.000,3.70547424E+2,
1133.000,4.00179596E+2,
1134.000,3.59888824E+2,
1135.000,3.13107178E+2,
1136.000,3.74791595E+2,
1137.000,3.68525330E+2,
1138.000,3.63719940E+2,
1139.000,3.44340912E+2,
1140.00,3.55574341E+2,
1141.000,3.21196686E+2,
1142.000,3.02015076E+2,
1143.000,3.47644073E+2,
1144.000,3.25363739E+2,
1145.000,3.43848389E+2,
1146.000,3.37228607E+2,
1147.000,3.30346802E+2,
1148.000,3.09377991E+2,
1149.000,2.65797272E+2,
1150.00,3.11507874E+2,
1151.000,3.13976501E+2,
1152.000,2.78574554E+2,
1153.000,2.75246002E+2,
1154.000,3.34678955E+2,
1155.000,3.20468201E+2,
1156.000,2.76526123E+2,
1157.000,2.96891266E+2,
1158.000,2.46807480E+2,
1159.000,2.60422699E+2,
1160.00,2.62464630E+2,
1161.000,2.75128326E+2,
1162.000,2.65151825E+2,
1163.000,2.79244904E+2,
1164.000,2.67268738E+2,
1165.000,2.92111633E+2,
1166.000,3.11411194E+2,
1167.000,3.17987274E+2,
1168.000,2.66116211E+2,
1169.000,2.61284546E+2,
1170.00,2.31396347E+2,
1171.000,2.94842102E+2,
1172.000,2.83582703E+2,
1173.000,2.52231918E+2,
1174.000,2.54154907E+2,
1175.000,2.63771118E+2,
1176.000,2.74447937E+2,
1177.000,2.36899994E+2,
1178.000,3.10505127E+2,
1179.000,2.58456818E+2,
1180.00,2.71527008E+2,
1181.000,2.67199127E+2,
1182.000,2.69193695E+2,
1183.000,2.92994110E+2,
1184.000,3.01435089E+2,
1185.000,2.92644562E+2,
1186.000,2.89883911E+2,
1187.000,2.65343353E+2,
1188.000,2.84714630E+2,
1189.000,3.06638184E+2,
1190.00,2.83269501E+2,
1191.000,3.12907928E+2,
1192.000,3.08522491E+2,
1193.000,3.12107147E+2,
1194.000,3.11435822E+2,
1195.000,2.73023956E+2,
1196.000,2.96704102E+2,
1197.000,2.85572845E+2,
1198.000,2.95882568E+2,
1199.000,2.93741882E+2,
1200.00,3.11477936E+2,
1201.000,2.78236572E+2,
1202.000,3.30510712E+2,
1203.000,2.86615234E+2,
1204.000,3.32299957E+2,
1205.000,2.77933990E+2,
1206.000,3.53483826E+2,
1207.000,3.43257111E+2,
1208.000,3.89083893E+2,
1209.000,3.60259033E+2,
1210.00,3.33111725E+2,
1211.000,3.56553223E+2,
1212.000,3.60938873E+2,
1213.000,3.63960999E+2,
1214.000,4.05017578E+2,
1215.000,3.97070068E+2,
1216.000,3.83304230E+2,
1217.000,3.56506653E+2,
1218.000,4.22449463E+2,
1219.000,4.36261414E+2,
1220.00,4.67007141E+2,
1221.000,4.07337250E+2,
1222.000,4.58728973E+2,
1223.000,4.45278168E+2,
1224.000,4.56931763E+2,
1225.000,4.46181549E+2,
1226.000,4.30061462E+2,
1227.000,4.60516785E+2,
1228.000,4.67859070E+2,
1229.000,4.86081085E+2,
1230.00,4.59755310E+2,
1231.000,5.14193481E+2,
1232.000,5.17255310E+2,
1233.000,5.33508972E+2,
1234.000,5.31465942E+2,
1235.000,5.47044495E+2,
1236.000,5.32026062E+2,
1237.000,5.15408203E+2,
1238.000,5.46553284E+2,
1239.000,6.25655823E+2,
1240.00,5.56737122E+2,
1241.000,6.07598206E+2,
1242.000,6.45837524E+2,
1243.000,6.55254272E+2,
1244.000,6.41785095E+2,
1245.000,6.60809937E+2,
1246.000,6.36027405E+2,
1247.000,7.22574280E+2,
1248.000,6.62997437E+2,
1249.000,7.38927673E+2,
1250.00,7.49006104E+2,
1251.000,7.53050659E+2,
1252.000,7.84669800E+2,
1253.000,7.84699097E+2,
1254.000,8.02258484E+2,
1255.000,8.36920715E+2,
