Labels,F3-1500-450=EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

650.00,-2.98153353E+0,
651.00,1.69119232E+2,
652.00,1.45397446E+2,
653.00,1.09315819E+2,
654.00,1.79263916E+2,
655.00,4.75123329E+1,
656.00,7.16659698E+1,
657.00,1.83753754E+2,
658.00,2.94994263E+2,
659.00,2.19370331E+2,
660.00,2.13711182E+2,
661.00,2.73001923E+2,
662.00,3.12606171E+2,
663.00,3.14412445E+2,
664.00,3.29527405E+2,
665.00,4.86983948E+2,
666.00,3.54680389E+2,
667.00,5.20227112E+2,
668.00,4.64224213E+2,
669.00,3.52828552E+2,
670.00,5.95853027E+2,
671.00,3.79666229E+2,
672.00,5.64603333E+2,
673.00,8.38048706E+2,
674.00,8.38664124E+2,
675.00,7.75311157E+2,
676.00,8.51927856E+2,
677.00,8.59310974E+2,
678.00,9.67466125E+2,
679.00,9.91722290E+2,
680.00,9.82070190E+2,
681.00,1.10576855E+3,
682.00,1.19682263E+3,
683.00,1.36766943E+3,
684.00,1.55675647E+3,
685.00,1.61177600E+3,
686.00,1.50237549E+3,
687.00,1.55292224E+3,
688.00,1.54962378E+3,
689.00,1.83678931E+3,
690.00,2.01079285E+3,
691.00,2.08194873E+3,
692.00,2.48212964E+3,
693.00,2.68523071E+3,
694.00,2.83886914E+3,
695.00,2.89049414E+3,
696.00,3.05428296E+3,
697.00,2.91624976E+3,
698.00,2.78676001E+3,
699.00,3.42588306E+3,
700.00,3.40492651E+3,
701.00,3.41276245E+3,
702.00,3.87049731E+3,
703.00,3.54779883E+3,
704.00,3.80125781E+3,
705.00,3.64258032E+3,
706.00,4.31741064E+3,
707.00,4.31033496E+3,
708.00,4.75324219E+3,
709.00,4.83966260E+3,
710.00,5.09430859E+3,
711.00,5.05888379E+3,
712.00,5.02851123E+3,
713.00,5.30083496E+3,
714.00,5.63142432E+3,
715.00,5.99188525E+3,
716.00,5.91386670E+3,
717.00,5.93429346E+3,
718.00,6.14647314E+3,
719.00,5.99605371E+3,
720.00,6.41770947E+3,
721.00,6.32773779E+3,
722.00,6.56485156E+3,
723.00,6.76782959E+3,
724.00,6.73353174E+3,
725.00,7.24811963E+3,
726.00,7.16088037E+3,
727.00,6.94369727E+3,
728.00,7.40370996E+3,
729.00,7.35314893E+3,
730.00,7.38348291E+3,
731.00,8.10033301E+3,
732.00,7.96543213E+3,
733.00,7.57432031E+3,
734.00,8.04148730E+3,
735.00,7.92182275E+3,
736.00,8.23102734E+3,
737.00,8.19622656E+3,
738.00,8.31018945E+3,
739.00,8.61830273E+3,
740.00,8.44051074E+3,
741.00,8.69225000E+3,
742.00,8.85458496E+3,
743.00,8.89023047E+3,
744.00,9.26070215E+3,
745.00,8.76101758E+3,
746.00,9.27435938E+3,
747.00,9.36161133E+3,
748.00,9.37703320E+3,
749.00,9.55687793E+3,
750.00,9.37237500E+3,
751.00,9.76133496E+3,
752.00,9.66240527E+3,
753.00,1.01245693E+4,
754.00,9.74216211E+3,
755.00,1.01954756E+4,
756.00,1.00400361E+4,
757.00,1.02541992E+4,
758.00,1.02251191E+4,
759.00,1.02446240E+4,
760.00,1.01027480E+4,
761.00,1.03783926E+4,
762.00,1.02126377E+4,
763.00,1.05512598E+4,
764.00,1.07370439E+4,
765.00,1.06047109E+4,
766.00,1.04137090E+4,
767.00,1.05597500E+4,
768.00,1.05334678E+4,
769.00,1.09146777E+4,
770.00,1.08715645E+4,
771.00,1.10783447E+4,
772.00,1.06108018E+4,
773.00,1.07486885E+4,
774.00,1.10176963E+4,
775.00,1.07698672E+4,
776.00,1.12284756E+4,
777.00,1.08692314E+4,
778.00,1.14570410E+4,
779.00,1.13920059E+4,
780.00,1.13411533E+4,
781.00,1.10964053E+4,
782.00,1.12941846E+4,
783.00,1.14479277E+4,
784.00,1.13620977E+4,
785.00,1.12202002E+4,
786.00,1.17438643E+4,
787.00,1.10879688E+4,
788.00,1.17486270E+4,
789.00,1.13402969E+4,
790.00,1.15267773E+4,
791.00,1.14206104E+4,
792.00,1.10696563E+4,
793.00,1.14771289E+4,
794.00,1.12905352E+4,
795.00,1.14979180E+4,
796.00,1.16126318E+4,
797.00,1.15226875E+4,
798.00,1.10334043E+4,
799.00,1.16013887E+4,
800.00,1.17435303E+4,
801.00,1.14608467E+4,
802.00,1.16632256E+4,
803.00,1.14227295E+4,
804.00,1.15333555E+4,
805.00,1.14910195E+4,
806.00,1.15830713E+4,
807.00,1.17468057E+4,
808.00,1.14867314E+4,
809.00,1.14816650E+4,
810.00,1.15985205E+4,
811.00,1.12271826E+4,
812.00,1.14211689E+4,
813.00,1.16113525E+4,
814.00,1.14718125E+4,
815.00,1.14108184E+4,
816.00,1.14564697E+4,
817.00,1.15596016E+4,
818.00,1.13575898E+4,
819.00,1.16629639E+4,
820.00,1.11852197E+4,
821.00,1.10861064E+4,
822.00,1.15428555E+4,
823.00,1.12325156E+4,
824.00,1.13171924E+4,
825.00,1.11931826E+4,
826.00,1.11278838E+4,
827.00,1.12086104E+4,
828.00,1.14330381E+4,
829.00,1.08786738E+4,
830.00,1.11816416E+4,
831.00,1.12999170E+4,
832.00,1.10346719E+4,
833.00,1.10580947E+4,
834.00,1.09272695E+4,
835.00,1.07415186E+4,
836.00,1.06643193E+4,
837.00,1.07076611E+4,
838.00,1.06628174E+4,
839.00,1.08288389E+4,
840.00,1.05993379E+4,
841.00,1.06160293E+4,
842.00,1.06329756E+4,
843.00,1.07533965E+4,
844.00,1.05981680E+4,
845.00,1.03442490E+4,
846.00,1.04792500E+4,
847.00,1.02382979E+4,
848.00,1.04001387E+4,
849.00,1.03284971E+4,
850.00,1.02043711E+4,
851.00,1.02483809E+4,
852.00,1.00582227E+4,
853.00,1.01834277E+4,
854.00,1.00590664E+4,
855.00,1.00568467E+4,
856.00,1.01242021E+4,
857.00,9.98848145E+3,
858.00,1.00275273E+4,
859.00,1.00526953E+4,
860.00,9.75109180E+3,
861.00,9.83204297E+3,
862.00,9.72263184E+3,
863.00,9.72990332E+3,
864.00,9.62870215E+3,
865.00,9.42904980E+3,
866.00,9.71706738E+3,
867.00,9.77869824E+3,
868.00,9.36632324E+3,
869.00,9.40091895E+3,
870.00,9.04578711E+3,
871.00,8.97434082E+3,
872.00,9.18755469E+3,
873.00,9.17460938E+3,
874.00,8.86725977E+3,
875.00,9.02001758E+3,
876.00,8.81469629E+3,
877.00,8.93957910E+3,
878.00,8.91800488E+3,
879.00,9.08564258E+3,
880.00,8.75580176E+3,
881.00,8.58776172E+3,
882.00,8.66534570E+3,
883.00,8.67316211E+3,
884.00,8.43222461E+3,
885.00,8.43909668E+3,
886.00,8.42082910E+3,
887.00,8.25911719E+3,
888.00,8.19659668E+3,
889.00,7.88122607E+3,
890.00,8.04521582E+3,
891.00,7.97257617E+3,
892.00,7.79951221E+3,
893.00,7.85432764E+3,
894.00,7.86005371E+3,
895.00,7.79648291E+3,
896.00,7.62246289E+3,
897.00,7.62745752E+3,
898.00,7.52218799E+3,
899.00,7.38507080E+3,
900.00,7.32645898E+3,
901.00,7.23907666E+3,
902.00,7.19073633E+3,
903.00,7.07720215E+3,
904.00,6.88473389E+3,
905.00,6.88315137E+3,
906.00,6.93972754E+3,
907.00,6.84798926E+3,
908.00,6.80539453E+3,
909.00,6.74160303E+3,
910.00,6.51218115E+3,
911.00,6.69072314E+3,
912.00,6.55340283E+3,
913.00,6.39020850E+3,
914.00,6.44709570E+3,
915.00,6.32918555E+3,
916.00,6.21552295E+3,
917.00,6.24927100E+3,
918.00,6.26277979E+3,
919.00,6.01563623E+3,
920.00,6.09543896E+3,
921.00,5.92553516E+3,
922.00,5.82500830E+3,
923.00,5.94962402E+3,
924.00,5.84775635E+3,
925.00,5.70674170E+3,
926.00,5.69332959E+3,
927.00,5.57620557E+3,
928.00,5.49896875E+3,
929.00,5.43606104E+3,
930.00,5.37900146E+3,
931.00,5.41147412E+3,
932.00,5.20840771E+3,
933.00,5.29515479E+3,
934.00,5.20882959E+3,
935.00,5.14144238E+3,
936.00,5.08253564E+3,
937.00,4.95785986E+3,
938.00,4.98267725E+3,
939.00,4.88093311E+3,
940.00,4.82950195E+3,
941.00,4.83786426E+3,
942.00,4.75342383E+3,
943.00,4.74735107E+3,
944.00,4.64938086E+3,
945.00,4.62478516E+3,
946.00,4.56692041E+3,
947.00,4.49000635E+3,
948.00,4.33651953E+3,
949.00,4.37197607E+3,
950.00,4.29292432E+3,
951.00,4.11602979E+3,
952.00,4.21662402E+3,
953.00,4.08058789E+3,
954.00,4.08760986E+3,
955.00,3.94771704E+3,
956.00,3.97822437E+3,
957.00,3.91860718E+3,
958.00,3.84549146E+3,
959.00,3.86960767E+3,
960.00,3.73855713E+3,
961.00,3.68258521E+3,
962.00,3.70183838E+3,
963.00,3.66717285E+3,
964.00,3.56933740E+3,
965.00,3.54866211E+3,
966.00,3.44632178E+3,
967.00,3.43042090E+3,
968.00,3.40787378E+3,
969.00,3.34696313E+3,
970.00,3.28393896E+3,
971.00,3.23444775E+3,
972.00,3.19034033E+3,
973.00,3.17594800E+3,
974.00,3.13038940E+3,
975.00,3.08778882E+3,
976.00,3.04462280E+3,
977.00,3.07831006E+3,
978.00,3.02908203E+3,
979.00,2.94519702E+3,
980.00,2.89017798E+3,
981.00,2.82940112E+3,
982.00,2.80811084E+3,
983.00,2.74308862E+3,
984.00,2.72412085E+3,
985.00,2.70655688E+3,
986.00,2.69167920E+3,
987.00,2.65640552E+3,
988.00,2.64115283E+3,
989.00,2.54520117E+3,
990.00,2.54428735E+3,
991.00,2.51377783E+3,
992.00,2.45998901E+3,
993.00,2.41226538E+3,
994.00,2.45617358E+3,
995.00,2.31562183E+3,
996.00,2.37307080E+3,
997.00,2.30101953E+3,
998.00,2.18939355E+3,
999.00,2.32103442E+3,
1000.00,2.25061938E+3,
1001.000,2.19778931E+3,
1002.000,2.13129810E+3,
1003.000,2.11716138E+3,
1004.000,2.14336401E+3,
1005.000,2.11368140E+3,
1006.000,2.06771509E+3,
1007.000,1.99705225E+3,
1008.000,1.93652686E+3,
1009.000,1.99568738E+3,
1010.00,1.90340540E+3,
1011.000,1.94832166E+3,
1012.000,1.88039331E+3,
1013.000,1.85529761E+3,
1014.000,1.83671155E+3,
1015.000,1.80960217E+3,
1016.000,1.76344031E+3,
1017.000,1.78502527E+3,
1018.000,1.73240503E+3,
1019.000,1.68990137E+3,
1020.00,1.69372058E+3,
1021.000,1.68640210E+3,
1022.000,1.65020288E+3,
1023.000,1.64970093E+3,
1024.000,1.54168872E+3,
1025.000,1.55544214E+3,
1026.000,1.53875586E+3,
1027.000,1.53238977E+3,
1028.000,1.51460486E+3,
1029.000,1.49671936E+3,
1030.00,1.44492188E+3,
1031.000,1.45854053E+3,
1032.000,1.40917017E+3,
1033.000,1.39035876E+3,
1034.000,1.36546851E+3,
1035.000,1.34419250E+3,
1036.000,1.30232544E+3,
1037.000,1.32022095E+3,
1038.000,1.34030542E+3,
1039.000,1.27187244E+3,
1040.00,1.29961963E+3,
1041.000,1.23974292E+3,
1042.000,1.22461731E+3,
1043.000,1.20064233E+3,
1044.000,1.20207922E+3,
1045.000,1.17197778E+3,
1046.000,1.12462329E+3,
1047.000,1.13216089E+3,
1048.000,1.15251965E+3,
1049.000,1.07791138E+3,
1050.00,1.09061194E+3,
1051.000,1.08201599E+3,
1052.000,1.03673975E+3,
1053.000,1.05938745E+3,
1054.000,1.01803015E+3,
1055.000,1.02853467E+3,
1056.000,9.78672668E+2,
1057.000,9.97214111E+2,
1058.000,9.73752197E+2,
1059.000,9.80494446E+2,
1060.00,9.50122620E+2,
1061.000,9.34165222E+2,
1062.000,9.25959961E+2,
1063.000,8.98657227E+2,
1064.000,8.72608521E+2,
1065.000,8.77717163E+2,
1066.000,8.22150818E+2,
1067.000,8.39032043E+2,
1068.000,8.21066528E+2,
1069.000,8.03368042E+2,
1070.00,8.17192749E+2,
1071.000,7.95638733E+2,
1072.000,7.62604980E+2,
1073.000,7.83834473E+2,
1074.000,7.31749023E+2,
1075.000,7.83931519E+2,
1076.000,7.35278564E+2,
1077.000,7.77919189E+2,
1078.000,7.55705872E+2,
1079.000,6.97078247E+2,
1080.00,7.12253723E+2,
1081.000,6.71390625E+2,
1082.000,6.60758484E+2,
1083.000,6.69437378E+2,
1084.000,6.06364014E+2,
1085.000,6.43185730E+2,
1086.000,6.26196899E+2,
1087.000,6.74920105E+2,
1088.000,6.43990173E+2,
1089.000,6.15028992E+2,
1090.00,6.06956482E+2,
1091.000,5.95523071E+2,
1092.000,5.90917297E+2,
1093.000,5.51278259E+2,
1094.000,5.94446777E+2,
1095.000,5.93872131E+2,
1096.000,5.36150085E+2,
1097.000,5.60237915E+2,
1098.000,5.48226990E+2,
1099.000,5.15895020E+2,
1100.00,5.49037476E+2,
1101.000,5.22492065E+2,
1102.000,5.25365540E+2,
1103.000,5.36489014E+2,
1104.000,5.24682129E+2,
1105.000,4.66497467E+2,
1106.000,5.23747620E+2,
1107.000,5.14116577E+2,
1108.000,4.48175171E+2,
1109.000,4.63708740E+2,
1110.00,4.88407288E+2,
1111.000,4.42486053E+2,
1112.000,4.45330322E+2,
1113.000,4.35942932E+2,
1114.000,4.56621918E+2,
1115.000,4.44981842E+2,
1116.000,4.20462891E+2,
1117.000,3.85775879E+2,
1118.000,4.24248688E+2,
1119.000,4.11320313E+2,
1120.00,4.06191620E+2,
1121.000,4.03804260E+2,
1122.000,3.97347626E+2,
1123.000,4.13289795E+2,
1124.000,3.68864258E+2,
1125.000,3.87197815E+2,
1126.000,3.94251129E+2,
1127.000,3.64563171E+2,
1128.000,3.59639130E+2,
1129.000,3.89464020E+2,
1130.00,3.95999115E+2,
1131.000,3.41848572E+2,
1132.000,3.24287750E+2,
1133.000,3.82537567E+2,
1134.000,3.72180481E+2,
1135.000,3.33114197E+2,
1136.000,3.10105530E+2,
1137.000,3.10964447E+2,
1138.000,3.45935944E+2,
1139.000,3.17980621E+2,
1140.00,3.12038818E+2,
1141.000,3.21092621E+2,
1142.000,3.15141724E+2,
1143.000,3.15733765E+2,
1144.000,3.28572906E+2,
1145.000,2.91960419E+2,
1146.000,3.03570068E+2,
1147.000,3.36812805E+2,
1148.000,2.92526794E+2,
1149.000,2.68230713E+2,
1150.00,2.96517822E+2,
1151.000,2.96407440E+2,
1152.000,2.79252167E+2,
1153.000,2.73525116E+2,
1154.000,2.95299683E+2,
1155.000,2.92712982E+2,
1156.000,3.11774353E+2,
1157.000,2.75708954E+2,
1158.000,2.70225189E+2,
1159.000,2.81832977E+2,
1160.00,2.48610107E+2,
1161.000,2.56592224E+2,
1162.000,2.99130463E+2,
1163.000,2.68525208E+2,
1164.000,2.68380737E+2,
1165.000,2.71374481E+2,
1166.000,2.59419281E+2,
1167.000,2.70820282E+2,
1168.000,2.64529694E+2,
1169.000,2.71180389E+2,
1170.00,2.62354279E+2,
1171.000,2.55257736E+2,
1172.000,2.50445786E+2,
1173.000,2.74380981E+2,
1174.000,2.71732422E+2,
1175.000,2.58111938E+2,
1176.000,2.96367920E+2,
1177.000,2.79130066E+2,
1178.000,2.84919891E+2,
1179.000,2.05061325E+2,
1180.00,2.37296265E+2,
1181.000,2.61940002E+2,
1182.000,2.66232758E+2,
1183.000,2.73951996E+2,
1184.000,2.83435547E+2,
1185.000,2.37618042E+2,
1186.000,2.44074829E+2,
1187.000,2.55126190E+2,
1188.000,2.53415512E+2,
1189.000,2.28084244E+2,
1190.00,2.56062866E+2,
1191.000,2.75337646E+2,
1192.000,3.08358093E+2,
1193.000,2.48427780E+2,
1194.000,2.76043671E+2,
1195.000,2.73535461E+2,
1196.000,2.60595825E+2,
1197.000,2.92231262E+2,
1198.000,2.81506348E+2,
1199.000,2.76073669E+2,
1200.00,2.83778748E+2,
1201.000,2.95853424E+2,
1202.000,2.96359833E+2,
1203.000,3.02913910E+2,
1204.000,2.99713196E+2,
1205.000,2.61085693E+2,
1206.000,2.87600403E+2,
1207.000,3.21996796E+2,
1208.000,2.96891571E+2,
1209.000,3.04717712E+2,
1210.00,3.02421600E+2,
1211.000,3.43882721E+2,
1212.000,3.28340576E+2,
1213.000,3.28810760E+2,
1214.000,3.49501709E+2,
1215.000,3.24239227E+2,
1216.000,3.59382202E+2,
1217.000,3.42079010E+2,
