Labels,F3-1500-810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

250.00,2.74936426E+4,
251.00,1.96672773E+4,
252.00,9.97953711E+3,
253.00,1.07263291E+4,
254.00,1.52228418E+4,
255.00,4.89366309E+3,
256.00,-1.89664124E+3,
257.00,2.15415293E+4,
258.00,1.18270044E+3,
259.00,7.42960205E+3,
260.00,2.99087183E+3,
261.00,1.45929578E+3,
262.00,2.75485010E+3,
263.00,3.47894360E+3,
264.00,4.06827246E+3,
265.00,8.83887891E+3,
266.00,2.80403149E+3,
267.00,1.62249792E+3,
268.00,1.92843396E+3,
269.00,4.71733447E+3,
270.00,4.95233740E+3,
271.00,1.36259680E+3,
272.00,-1.76929230E+2,
273.00,2.31938013E+3,
274.00,4.18997559E+3,
275.00,2.09312451E+3,
276.00,4.86648779E+3,
277.00,3.43488306E+3,
278.00,3.99152197E+3,
279.00,1.91362366E+3,
280.00,2.61105518E+3,
281.00,6.00429150E+3,
282.00,1.76487927E+3,
283.00,1.43587622E+3,
284.00,3.56227661E+3,
285.00,4.29286230E+3,
286.00,3.69956152E+3,
287.00,2.84268530E+3,
288.00,3.14509937E+3,
289.00,2.65804834E+3,
290.00,3.77763354E+3,
291.00,3.40091553E+3,
292.00,3.52226709E+3,
293.00,2.81759692E+3,
294.00,3.10456152E+3,
295.00,2.97107007E+3,
296.00,2.49051318E+3,
297.00,2.06899707E+3,
298.00,3.33286353E+3,
299.00,2.39436377E+3,
300.00,3.02565234E+3,
301.00,3.12191162E+3,
302.00,1.14173840E+3,
303.00,1.82794153E+3,
304.00,2.22530640E+3,
305.00,1.57799768E+3,
306.00,1.22013965E+3,
307.00,1.57256238E+3,
308.00,1.33835303E+3,
309.00,1.73454089E+3,
310.00,1.21108350E+3,
311.00,6.02330383E+2,
312.00,9.83272339E+2,
313.00,4.88329620E+2,
314.00,1.25911853E+3,
315.00,6.84082336E+2,
316.00,5.46664185E+2,
317.00,7.41668457E+2,
318.00,5.30843872E+2,
319.00,-2.60166683E+1,
320.00,2.94229584E+2,
321.00,3.89074677E+2,
322.00,6.43583740E+2,
323.00,3.40518250E+2,
324.00,1.99670731E+2,
325.00,3.63439789E+2,
326.00,3.82929138E+2,
327.00,4.49464355E+2,
328.00,5.52287476E+2,
329.00,3.70161804E+2,
330.00,2.24281601E+2,
331.00,4.10456360E+2,
332.00,1.16802994E+2,
333.00,2.78103668E+2,
334.00,-7.54316635E+1,
335.00,4.75749588E+1,
336.00,-1.45626373E+1,
337.00,-1.40634933E+2,
338.00,2.54914841E+2,
339.00,2.12076324E+2,
340.00,1.33220352E+2,
341.00,6.39013176E+1,
342.00,1.86391479E+2,
343.00,1.31397568E+2,
344.00,-5.08253288E+1,
345.00,6.25577240E+1,
346.00,1.08095116E+2,
347.00,2.13212463E+2,
348.00,7.40651627E+1,
349.00,2.28897980E+2,
350.00,1.95524857E+2,
351.00,4.59558792E+1,
352.00,1.65155136E+2,
353.00,1.70352524E+2,
354.00,5.96770439E+1,
355.00,1.96076984E+1,
356.00,2.37223167E+1,
357.00,1.48059677E+2,
358.00,2.91299133E+2,
359.00,-2.91967831E+1,
360.00,1.18078545E+2,
361.00,1.93317307E+2,
362.00,1.89598389E+2,
363.00,3.03070812E+1,
364.00,1.44248993E+2,
365.00,-3.56978302E+1,
366.00,2.17528351E+2,
367.00,-6.04828300E+1,
368.00,3.21747955E+2,
369.00,8.82759323E+1,
370.00,5.54968300E+1,
371.00,3.38511536E+2,
372.00,3.20124725E+2,
373.00,2.54916306E+2,
374.00,3.42446564E+2,
375.00,4.65487366E+2,
376.00,2.91441895E+2,
377.00,4.41060547E+2,
378.00,6.60273315E+2,
379.00,4.54991333E+2,
380.00,5.90052429E+2,
381.00,6.74540833E+2,
382.00,6.77600403E+2,
383.00,7.46593933E+2,
384.00,8.83784241E+2,
385.00,8.80074463E+2,
386.00,1.03023035E+3,
387.00,9.95164734E+2,
388.00,1.02525256E+3,
389.00,9.96122375E+2,
390.00,1.36079309E+3,
391.00,1.35204968E+3,
392.00,1.48107947E+3,
393.00,1.31590112E+3,
394.00,1.62482483E+3,
395.00,1.40527783E+3,
396.00,1.82345398E+3,
397.00,2.11207764E+3,
398.00,1.97228479E+3,
399.00,2.22273877E+3,
400.00,2.21134326E+3,
401.00,2.31798706E+3,
402.00,2.55608789E+3,
403.00,2.81156226E+3,
404.00,2.61519092E+3,
405.00,2.32760278E+3,
406.00,2.83873340E+3,
407.00,3.08099829E+3,
408.00,3.12878662E+3,
409.00,3.39987988E+3,
410.00,3.56674097E+3,
411.00,3.46395605E+3,
412.00,3.79627417E+3,
413.00,3.81873682E+3,
414.00,4.01257129E+3,
415.00,4.08183057E+3,
416.00,4.34508496E+3,
417.00,4.18182129E+3,
418.00,4.90463623E+3,
419.00,4.58154053E+3,
420.00,4.79853418E+3,
421.00,5.09625293E+3,
422.00,5.31311719E+3,
423.00,5.42289844E+3,
424.00,5.51844824E+3,
425.00,5.36547607E+3,
426.00,5.93015381E+3,
427.00,5.65168994E+3,
428.00,5.63631445E+3,
429.00,5.74982861E+3,
430.00,5.96795020E+3,
431.00,6.16003467E+3,
432.00,6.42349951E+3,
433.00,6.30586914E+3,
434.00,6.55597168E+3,
435.00,6.44051172E+3,
436.00,6.62002246E+3,
437.00,6.76567334E+3,
438.00,6.78267676E+3,
439.00,6.82278564E+3,
440.00,6.74853906E+3,
441.00,7.09137939E+3,
442.00,6.94401367E+3,
443.00,6.97084180E+3,
444.00,7.18525977E+3,
445.00,7.07020459E+3,
446.00,6.95301025E+3,
447.00,7.25116162E+3,
448.00,7.16901270E+3,
449.00,7.11374170E+3,
450.00,6.96104102E+3,
451.00,7.33433447E+3,
452.00,7.05427197E+3,
453.00,7.09741602E+3,
