Labels,F4-1500-1550-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,1550.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

250.00,1.35157627E+4,
251.00,5.32920020E+3,
252.00,9.46570215E+3,
253.00,1.13346367E+4,
254.00,1.08816865E+4,
255.00,1.08046592E+4,
256.00,1.31551719E+4,
257.00,1.25465586E+4,
258.00,1.25498975E+4,
259.00,1.24903301E+4,
260.00,1.18949854E+4,
261.00,1.18373623E+4,
262.00,1.44036338E+4,
263.00,1.38584990E+4,
264.00,1.13741807E+4,
265.00,1.38848047E+4,
266.00,1.38991279E+4,
267.00,1.30333486E+4,
268.00,1.40190342E+4,
269.00,1.10277842E+4,
270.00,1.26435752E+4,
271.00,1.14069023E+4,
272.00,1.28016914E+4,
273.00,1.07823691E+4,
274.00,1.03666416E+4,
275.00,1.14323379E+4,
276.00,1.11237031E+4,
277.00,9.86712598E+3,
278.00,9.68460059E+3,
279.00,9.94372168E+3,
280.00,8.80725000E+3,
281.00,8.48969629E+3,
282.00,8.09539453E+3,
283.00,8.62203223E+3,
284.00,7.49720215E+3,
285.00,7.90809521E+3,
286.00,7.07037939E+3,
287.00,6.96802148E+3,
288.00,6.16950928E+3,
289.00,6.03940723E+3,
290.00,5.88118213E+3,
291.00,5.21569727E+3,
292.00,5.17860742E+3,
293.00,4.78666064E+3,
294.00,4.30808203E+3,
295.00,4.41161279E+3,
296.00,4.36940625E+3,
297.00,3.75236743E+3,
298.00,3.42385181E+3,
299.00,3.03403296E+3,
300.00,3.02301514E+3,
301.00,2.84747607E+3,
302.00,2.73776196E+3,
303.00,2.75496704E+3,
304.00,2.22551074E+3,
305.00,2.17678955E+3,
306.00,2.09632397E+3,
307.00,1.97286914E+3,
308.00,1.90305261E+3,
309.00,1.73946948E+3,
310.00,1.62504041E+3,
311.00,1.52912231E+3,
312.00,1.52983105E+3,
313.00,1.57136389E+3,
314.00,1.34621448E+3,
315.00,1.24814417E+3,
316.00,1.16786499E+3,
317.00,9.86764709E+2,
318.00,9.62728149E+2,
319.00,9.50745850E+2,
320.00,9.69769531E+2,
321.00,9.80067444E+2,
322.00,6.38183716E+2,
323.00,7.23226196E+2,
324.00,6.85352356E+2,
325.00,7.48869324E+2,
326.00,6.70551208E+2,
327.00,6.33090332E+2,
328.00,4.28000793E+2,
329.00,4.58730408E+2,
330.00,4.68864197E+2,
331.00,4.38075134E+2,
332.00,4.37103760E+2,
333.00,3.59807800E+2,
334.00,3.57391724E+2,
335.00,3.98187134E+2,
336.00,2.31280579E+2,
337.00,3.65448303E+2,
338.00,3.64270752E+2,
339.00,3.22483093E+2,
340.00,2.13334045E+2,
341.00,2.46163116E+2,
342.00,3.53605347E+2,
343.00,2.32081970E+2,
344.00,3.10049896E+2,
345.00,1.90871155E+2,
346.00,1.74042526E+2,
347.00,2.93748291E+2,
348.00,2.51792343E+2,
349.00,2.62968414E+2,
350.00,2.29426727E+2,
351.00,2.08882034E+2,
352.00,2.49293839E+2,
353.00,1.91829712E+2,
354.00,2.60471039E+2,
355.00,2.36317642E+2,
356.00,2.16445099E+2,
357.00,2.98107697E+2,
358.00,2.34094101E+2,
359.00,2.94316040E+2,
360.00,2.68362427E+2,
361.00,3.20602814E+2,
362.00,3.90904510E+2,
363.00,4.02252838E+2,
364.00,4.67604492E+2,
365.00,4.87243866E+2,
366.00,5.88343933E+2,
367.00,6.56413574E+2,
368.00,8.22704102E+2,
369.00,9.04648865E+2,
370.00,1.00552454E+3,
371.00,1.22511328E+3,
372.00,1.34209302E+3,
373.00,1.52774316E+3,
374.00,1.74857446E+3,
375.00,2.02510803E+3,
376.00,2.33643433E+3,
377.00,2.67022437E+3,
378.00,2.87578394E+3,
379.00,3.40720825E+3,
380.00,3.81032104E+3,
381.00,4.13754199E+3,
382.00,4.66990771E+3,
383.00,5.05229639E+3,
384.00,5.72758203E+3,
385.00,6.29025781E+3,
386.00,6.98533008E+3,
387.00,7.44977393E+3,
388.00,8.23692383E+3,
389.00,8.82757227E+3,
390.00,9.51269629E+3,
391.00,1.01174844E+4,
392.00,1.06786348E+4,
393.00,1.13193643E+4,
394.00,1.20573574E+4,
395.00,1.27114043E+4,
396.00,1.32160078E+4,
397.00,1.38969004E+4,
398.00,1.43853691E+4,
399.00,1.49489170E+4,
400.00,1.53464463E+4,
401.00,1.57666885E+4,
402.00,1.62313857E+4,
403.00,1.63674141E+4,
404.00,1.68142324E+4,
405.00,1.69957988E+4,
406.00,1.71418457E+4,
407.00,1.72977168E+4,
408.00,1.72870605E+4,
409.00,1.73465977E+4,
410.00,1.74199082E+4,
411.00,1.73955313E+4,
412.00,1.69792734E+4,
413.00,1.72580938E+4,
414.00,1.71202090E+4,
415.00,1.68754824E+4,
416.00,1.67454727E+4,
417.00,1.68930566E+4,
418.00,1.63038721E+4,
419.00,1.64518516E+4,
420.00,1.60197061E+4,
421.00,1.60278262E+4,
422.00,1.57489385E+4,
423.00,1.54825879E+4,
424.00,1.51206025E+4,
425.00,1.50191992E+4,
426.00,1.47710840E+4,
427.00,1.42694707E+4,
428.00,1.40148184E+4,
429.00,1.35790576E+4,
430.00,1.33676260E+4,
431.00,1.29920938E+4,
432.00,1.28189277E+4,
433.00,1.21771846E+4,
434.00,1.16842080E+4,
435.00,1.13105479E+4,
436.00,1.09928174E+4,
437.00,1.04149502E+4,
438.00,9.96621973E+3,
439.00,9.56037500E+3,
440.00,9.05317676E+3,
441.00,8.62914648E+3,
442.00,8.22969824E+3,
443.00,7.67543213E+3,
444.00,7.31739453E+3,
445.00,6.89637646E+3,
446.00,6.42505029E+3,
447.00,5.96636426E+3,
448.00,5.66554102E+3,
449.00,5.41519482E+3,
450.00,5.03715723E+3,
451.00,4.79613184E+3,
452.00,4.38256250E+3,
453.00,4.13673877E+3,
