Labels,RT,
Type,Emission Scan,
Comment,,
Start,1100.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.4999161,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.999990,
Detector,Det2,

1100.00,3.47944603E+1,
1101.000,3.23542671E+1,
1102.000,3.48945885E+1,
1103.000,3.25861669E+0,
1104.000,2.84592056E+1,
1105.000,2.86012421E+1,
1106.000,4.85490570E+1,
1107.000,3.02113438E+1,
1108.000,2.74363956E+1,
1109.000,3.10872040E+1,
1110.00,3.22688904E+1,
1111.000,5.99688950E+1,
1112.000,2.18723602E+1,
1113.000,6.23699799E+1,
1114.000,2.88857174E+1,
1115.000,2.30169544E+1,
1116.000,6.83230925E+0,
1117.000,3.89882011E+1,
1118.000,5.03032341E+1,
1119.000,4.51999321E+1,
1120.00,3.28612137E+1,
1121.000,4.40185089E+1,
1122.000,4.08706589E+1,
1123.000,6.42796478E+1,
1124.000,1.86309071E+1,
1125.000,4.93543854E+1,
1126.000,6.72050858E+1,
1127.000,5.79196701E+1,
1128.000,3.58694839E+1,
1129.000,5.59695358E+1,
1130.00,1.74350071E+1,
1131.000,4.42191734E+1,
1132.000,4.28594284E+1,
1133.000,6.27208061E+1,
1134.000,5.72672653E+1,
1135.000,7.50022736E+1,
1136.000,6.28139153E+1,
1137.000,7.48629303E+1,
1138.000,6.71004257E+1,
1139.000,6.34140587E+1,
1140.00,5.55965538E+1,
1141.000,5.81266632E+1,
1142.000,7.90232697E+1,
1143.000,8.12041931E+1,
1144.000,6.59184723E+1,
1145.000,6.27757454E+1,
1146.000,5.99585266E+1,
1147.000,1.11242912E+2,
1148.000,7.95649338E+1,
1149.000,8.83710861E+1,
1150.00,9.28487167E+1,
1151.000,8.18454742E+1,
1152.000,1.04408470E+2,
1153.000,9.46932602E+1,
1154.000,7.86249390E+1,
1155.000,7.83954773E+1,
1156.000,8.70543518E+1,
1157.000,9.68803329E+1,
1158.000,1.12275139E+2,
1159.000,1.16222404E+2,
1160.00,1.21111893E+2,
1161.000,9.52547226E+1,
1162.000,1.13047791E+2,
1163.000,1.15426842E+2,
1164.000,1.13120804E+2,
1165.000,1.22079872E+2,
1166.000,1.24852036E+2,
1167.000,1.34745438E+2,
1168.000,1.67273392E+2,
1169.000,1.30032898E+2,
1170.00,1.83567307E+2,
1171.000,1.46670471E+2,
1172.000,1.53460190E+2,
1173.000,1.63382904E+2,
1174.000,1.45815628E+2,
1175.000,1.67261185E+2,
1176.000,1.83437729E+2,
1177.000,1.47644730E+2,
1178.000,1.53593201E+2,
1179.000,1.78146210E+2,
1180.00,2.05598572E+2,
1181.000,1.97282852E+2,
1182.000,1.93793655E+2,
1183.000,2.17139648E+2,
1184.000,2.24895050E+2,
1185.000,2.39377304E+2,
1186.000,2.34319000E+2,
1187.000,2.47775833E+2,
1188.000,2.52385086E+2,
1189.000,2.35915009E+2,
1190.00,2.69703369E+2,
1191.000,2.57773743E+2,
1192.000,2.64430298E+2,
1193.000,2.87128937E+2,
1194.000,2.95063141E+2,
1195.000,3.07453918E+2,
1196.000,2.91147858E+2,
1197.000,2.91072937E+2,
1198.000,3.06653229E+2,
1199.000,3.32276031E+2,
1200.00,3.39263336E+2,
1201.000,3.35557190E+2,
1202.000,3.67434204E+2,
1203.000,3.75516266E+2,
1204.000,3.84622986E+2,
1205.000,4.16575745E+2,
1206.000,3.86809082E+2,
1207.000,4.04865845E+2,
1208.000,4.28879303E+2,
1209.000,4.24930054E+2,
1210.00,4.43454681E+2,
1211.000,4.66386475E+2,
1212.000,4.55562134E+2,
1213.000,4.87194122E+2,
1214.000,4.88982300E+2,
1215.000,4.59525269E+2,
1216.000,5.07946381E+2,
1217.000,5.02760437E+2,
1218.000,5.38209473E+2,
1219.000,5.11857513E+2,
1220.00,5.56792358E+2,
1221.000,5.70073242E+2,
1222.000,5.74124207E+2,
1223.000,5.86694214E+2,
1224.000,5.86982971E+2,
1225.000,6.05423279E+2,
1226.000,6.25747925E+2,
1227.000,6.10298218E+2,
1228.000,6.83934692E+2,
1229.000,6.39345642E+2,
1230.00,6.94577087E+2,
1231.000,7.21333435E+2,
1232.000,7.44947388E+2,
1233.000,7.40670837E+2,
1234.000,7.40263672E+2,
1235.000,7.67623169E+2,
1236.000,7.91382568E+2,
1237.000,8.56515564E+2,
1238.000,8.78257996E+2,
1239.000,8.83184998E+2,
1240.00,8.63308350E+2,
1241.000,9.09208984E+2,
1242.000,9.61379700E+2,
1243.000,9.72312622E+2,
1244.000,9.75037292E+2,
1245.000,9.50547363E+2,
1246.000,9.98365540E+2,
1247.000,9.98973083E+2,
1248.000,1.04910486E+3,
1249.000,1.10762158E+3,
1250.00,1.18154773E+3,
1251.000,1.12148499E+3,
1252.000,1.15233313E+3,
1253.000,1.15731299E+3,
1254.000,1.20804419E+3,
1255.000,1.26215527E+3,
1256.000,1.29083618E+3,
1257.000,1.28430530E+3,
1258.000,1.27363916E+3,
1259.000,1.30410303E+3,
1260.00,1.36629712E+3,
1261.000,1.37601282E+3,
1262.000,1.48011328E+3,
1263.000,1.44526208E+3,
1264.000,1.54048987E+3,
1265.000,1.50008301E+3,
1266.000,1.56063184E+3,
1267.000,1.56530200E+3,
1268.000,1.67086963E+3,
1269.000,1.70116162E+3,
1270.00,1.68593774E+3,
1271.000,1.81124817E+3,
1272.000,1.84592554E+3,
1273.000,1.86087476E+3,
1274.000,1.92970715E+3,
1275.000,1.98596143E+3,
1276.000,1.97888965E+3,
1277.000,2.00476807E+3,
1278.000,2.05741821E+3,
1279.000,2.12441309E+3,
1280.00,2.18529883E+3,
1281.000,2.22771094E+3,
1282.000,2.24540820E+3,
1283.000,2.36248218E+3,
1284.000,2.38649316E+3,
1285.000,2.52281812E+3,
1286.000,2.57394458E+3,
1287.000,2.54748950E+3,
1288.000,2.65559351E+3,
1289.000,2.70301294E+3,
1290.00,2.76553076E+3,
1291.000,2.84413403E+3,
1292.000,2.88008105E+3,
1293.000,2.96485498E+3,
1294.000,3.06201416E+3,
1295.000,3.11794043E+3,
1296.000,3.21715161E+3,
1297.000,3.26494458E+3,
1298.000,3.32049805E+3,
1299.000,3.38106274E+3,
1300.00,3.44196875E+3,
1301.000,3.48385913E+3,
1302.000,3.60883618E+3,
1303.000,3.72039941E+3,
1304.000,3.80746924E+3,
1305.000,3.88065820E+3,
1306.000,3.96930615E+3,
1307.000,4.06924194E+3,
1308.000,4.16860254E+3,
1309.000,4.20514600E+3,
1310.00,4.35740625E+3,
1311.000,4.42323486E+3,
1312.000,4.58533740E+3,
1313.000,4.66340479E+3,
1314.000,4.72829102E+3,
1315.000,4.78795801E+3,
1316.000,4.95977295E+3,
1317.000,5.05701465E+3,
1318.000,5.10091846E+3,
1319.000,5.25663086E+3,
1320.00,5.39385938E+3,
1321.000,5.49768945E+3,
1322.000,5.62844678E+3,
1323.000,5.73608105E+3,
1324.000,5.83632422E+3,
1325.000,5.92710693E+3,
1326.000,6.10209766E+3,
1327.000,6.25707324E+3,
1328.000,6.30613184E+3,
1329.000,6.51351318E+3,
1330.00,6.59312939E+3,
1331.000,6.74142236E+3,
1332.000,6.87437939E+3,
1333.000,6.98846240E+3,
1334.000,7.26690332E+3,
1335.000,7.33656836E+3,
1336.000,7.44101563E+3,
1337.000,7.59522510E+3,
1338.000,7.70341797E+3,
1339.000,7.84845996E+3,
1340.00,7.93840869E+3,
1341.000,8.18366064E+3,
1342.000,8.37869727E+3,
1343.000,8.53852344E+3,
1344.000,8.63512402E+3,
1345.000,8.88853711E+3,
1346.000,8.95060742E+3,
1347.000,9.13129492E+3,
1348.000,9.37595898E+3,
1349.000,9.49975391E+3,
1350.00,9.73108594E+3,
1351.000,9.91096191E+3,
1352.000,1.01325137E+4,
1353.000,1.02717734E+4,
1354.000,1.04945244E+4,
1355.000,1.09363848E+4,
1356.000,1.10810420E+4,
1357.000,1.12114014E+4,
1358.000,1.10958320E+4,
1359.000,1.13832051E+4,
1360.00,1.16200811E+4,
1361.000,1.21399092E+4,
1362.000,1.26342256E+4,
1363.000,1.23600732E+4,
1364.000,1.22811680E+4,
1365.000,1.27112051E+4,
1366.000,1.27177949E+4,
1367.000,1.28552158E+4,
1368.000,1.33658789E+4,
1369.000,1.36247100E+4,
1370.00,1.35484170E+4,
1371.000,1.38796982E+4,
1372.000,1.41467334E+4,
1373.000,1.41018389E+4,
1374.000,1.41155947E+4,
1375.000,1.44750576E+4,
1376.000,1.48260947E+4,
1377.000,1.51082480E+4,
1378.000,1.53415293E+4,
1379.000,1.53783564E+4,
1380.00,1.61002871E+4,
1381.000,1.64353066E+4,
1382.000,1.67434629E+4,
1383.000,1.69448379E+4,
1384.000,1.64949746E+4,
1385.000,1.67445156E+4,
1386.000,1.66258613E+4,
1387.000,1.69572793E+4,
1388.000,1.74429316E+4,
1389.000,1.76152188E+4,
1390.00,1.76045332E+4,
1391.000,1.74947598E+4,
1392.000,1.84618008E+4,
1393.000,1.84900293E+4,
1394.000,1.85842051E+4,
1395.000,1.89810547E+4,
1396.000,1.97701055E+4,
1397.000,1.93037695E+4,
1398.000,1.88179063E+4,
1399.000,1.95416348E+4,
1400.00,2.08476426E+4,
1401.000,2.10303926E+4,
1402.000,2.03838730E+4,
1403.000,2.02414453E+4,
1404.000,2.12937461E+4,
1405.000,2.18453848E+4,
1406.000,2.18507715E+4,
1407.000,2.20108613E+4,
1408.000,2.20312012E+4,
1409.000,2.25070645E+4,
1410.00,2.29328047E+4,
1411.000,2.25267227E+4,
1412.000,2.26878008E+4,
1413.000,2.30420742E+4,
1414.000,2.40554043E+4,
1415.000,2.43313145E+4,
1416.000,2.38661094E+4,
1417.000,2.38818750E+4,
1418.000,2.46613984E+4,
1419.000,2.50889629E+4,
1420.00,2.54439160E+4,
1421.000,2.51187988E+4,
1422.000,2.53750586E+4,
1423.000,2.57520352E+4,
1424.000,2.62241777E+4,
1425.000,2.65248809E+4,
1426.000,2.64292227E+4,
1427.000,2.67970059E+4,
1428.000,2.68264883E+4,
1429.000,2.71690176E+4,
1430.00,2.74923027E+4,
1431.000,2.77056602E+4,
1432.000,2.77971816E+4,
1433.000,2.80753340E+4,
1434.000,2.84947266E+4,
1435.000,2.85328066E+4,
1436.000,2.89065488E+4,
1437.000,2.90143301E+4,
1438.000,2.92183281E+4,
1439.000,2.96363438E+4,
1440.00,2.96751016E+4,
1441.000,3.00987168E+4,
1442.000,3.04976719E+4,
1443.000,3.04996680E+4,
1444.000,3.05484785E+4,
1445.000,3.10556406E+4,
1446.000,3.15379102E+4,
1447.000,3.15169004E+4,
1448.000,3.13877012E+4,
1449.000,3.18863516E+4,
1450.00,3.22100527E+4,
1451.000,3.25430273E+4,
1452.000,3.27309355E+4,
1453.000,3.27362344E+4,
1454.000,3.30762734E+4,
1455.000,3.33752695E+4,
1456.000,3.35508047E+4,
1457.000,3.36448438E+4,
1458.000,3.38288750E+4,
1459.000,3.39605352E+4,
1460.00,3.40875195E+4,
1461.000,3.44860273E+4,
1462.000,3.45755938E+4,
1463.000,3.45876563E+4,
1464.000,3.49038320E+4,
1465.000,3.50588906E+4,
1466.000,3.55928906E+4,
1467.000,3.55579375E+4,
1468.000,3.56706016E+4,
1469.000,3.59917500E+4,
1470.00,3.62164883E+4,
1471.000,3.65675469E+4,
1472.000,3.68177852E+4,
1473.000,3.68873047E+4,
1474.000,3.68177266E+4,
1475.000,3.69508750E+4,
1476.000,3.74413906E+4,
1477.000,3.74775000E+4,
1478.000,3.77941055E+4,
1479.000,3.80853984E+4,
1480.00,3.80473125E+4,
1481.000,3.79913047E+4,
1482.000,3.80680273E+4,
1483.000,3.82179883E+4,
1484.000,3.83750938E+4,
1485.000,3.85849336E+4,
1486.000,3.90567695E+4,
1487.000,3.89976680E+4,
1488.000,3.90641875E+4,
1489.000,3.90121406E+4,
1490.00,3.93624180E+4,
1491.000,3.92811133E+4,
1492.000,3.97875313E+4,
1493.000,3.97453359E+4,
1494.000,3.99802070E+4,
1495.000,4.02662656E+4,
1496.000,4.00679961E+4,
1497.000,4.03127656E+4,
1498.000,4.04375859E+4,
1499.000,4.05656680E+4,
1500.00,4.05982656E+4,
1501.000,4.07557461E+4,
1502.000,4.06825352E+4,
1503.000,4.05662969E+4,
1504.000,4.07527773E+4,
1505.000,4.13161055E+4,
1506.000,4.12037344E+4,
1507.000,4.10316133E+4,
1508.000,4.12929453E+4,
1509.000,4.13274531E+4,
1510.00,4.15440781E+4,
1511.000,4.16427539E+4,
1512.000,4.16411914E+4,
1513.000,4.17697813E+4,
1514.000,4.17158867E+4,
1515.000,4.19815625E+4,
1516.000,4.19551914E+4,
1517.000,4.17887969E+4,
1518.000,4.20361797E+4,
1519.000,4.19418711E+4,
1520.00,4.19689648E+4,
1521.000,4.20637539E+4,
1522.000,4.18772305E+4,
1523.000,4.21070352E+4,
1524.000,4.23224844E+4,
1525.000,4.24068438E+4,
1526.000,4.24769883E+4,
1527.000,4.22115586E+4,
1528.000,4.20685742E+4,
1529.000,4.20309102E+4,
1530.00,4.20698711E+4,
1531.000,4.23062656E+4,
1532.000,4.21342500E+4,
1533.000,4.23449453E+4,
1534.000,4.20672266E+4,
1535.000,4.24923203E+4,
1536.000,4.23349023E+4,
1537.000,4.22315313E+4,
1538.000,4.21010625E+4,
1539.000,4.21225156E+4,
1540.00,4.24027109E+4,
1541.000,4.22178203E+4,
1542.000,4.16592188E+4,
1543.000,4.21134375E+4,
1544.000,4.21247344E+4,
1545.000,4.21207734E+4,
1546.000,4.17670078E+4,
1547.000,4.19329727E+4,
1548.000,4.18281836E+4,
1549.000,4.18490977E+4,
1550.00,4.19498828E+4,
1551.000,4.19319063E+4,
1552.000,4.18371211E+4,
1553.000,4.17088320E+4,
1554.000,4.14769609E+4,
1555.000,4.16223242E+4,
1556.000,4.17529805E+4,
1557.000,4.13512383E+4,
1558.000,4.13974141E+4,
1559.000,4.12145508E+4,
1560.00,4.12614688E+4,
1561.000,4.11726563E+4,
1562.000,4.11144063E+4,
1563.000,4.11847695E+4,
1564.000,4.09435313E+4,
1565.000,4.09690039E+4,
1566.000,4.08317344E+4,
1567.000,4.06590234E+4,
1568.000,4.03984688E+4,
1569.000,4.02893164E+4,
1570.00,4.01124844E+4,
1571.000,4.02459844E+4,
1572.000,4.04469180E+4,
1573.000,4.02997031E+4,
1574.000,4.02838086E+4,
1575.000,4.00577500E+4,
1576.000,3.97185742E+4,
1577.000,3.97560430E+4,
1578.000,4.00467578E+4,
1579.000,3.95956250E+4,
1580.00,3.94275664E+4,
1581.000,3.92344414E+4,
1582.000,3.91075742E+4,
1583.000,3.98341445E+4,
1584.000,3.92966211E+4,
1585.000,3.92095742E+4,
1586.000,3.90506172E+4,
1587.000,3.87680469E+4,
1588.000,3.85582578E+4,
1589.000,3.84002422E+4,
1590.00,3.87069570E+4,
1591.000,3.85080117E+4,
1592.000,3.83256484E+4,
1593.000,3.84067383E+4,
1594.000,3.79441094E+4,
1595.000,3.79121445E+4,
1596.000,3.82921641E+4,
1597.000,3.78832383E+4,
1598.000,3.78700625E+4,
1599.000,3.72106875E+4,
1600.00,3.73836172E+4,
1601.000,3.68697969E+4,
1602.000,3.67042695E+4,
1603.000,3.68242930E+4,
1604.000,3.69226406E+4,
1605.000,3.66647305E+4,
1606.000,3.64431445E+4,
1607.000,3.64968125E+4,
1608.000,3.59757344E+4,
1609.000,3.60497617E+4,
1610.00,3.61629492E+4,
1611.000,3.58862930E+4,
1612.000,3.57317383E+4,
1613.000,3.55601563E+4,
1614.000,3.56063242E+4,
1615.000,3.55560586E+4,
1616.000,3.57261328E+4,
1617.000,3.53315742E+4,
1618.000,3.50025625E+4,
1619.000,3.49918750E+4,
1620.00,3.49407344E+4,
1621.000,3.49169961E+4,
1622.000,3.48017500E+4,
1623.000,3.45392148E+4,
1624.000,3.44501602E+4,
1625.000,3.43553555E+4,
1626.000,3.46473945E+4,
1627.000,3.44211016E+4,
1628.000,3.46178750E+4,
1629.000,3.43314258E+4,
1630.00,3.45086094E+4,
1631.000,3.44547656E+4,
1632.000,3.44426172E+4,
1633.000,3.45514531E+4,
1634.000,3.47780625E+4,
1635.000,3.45354922E+4,
1636.000,3.42718125E+4,
1637.000,3.41357344E+4,
1638.000,3.41279570E+4,
1639.000,3.36992148E+4,
1640.00,3.37738008E+4,
1641.000,3.42014688E+4,
1642.000,3.42050117E+4,
1643.000,3.36312266E+4,
1644.000,3.34591016E+4,
1645.000,3.37041836E+4,
