Labels,RT,
Type,Emission Scan,
Comment,,
Start,1100.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,5.4999132,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,5.7000065,
Detector,Det2,

1100.00,2.81478004E+1,
1101.000,2.44509850E+1,
1102.000,2.94900513E+1,
1103.000,2.46105766E+1,
1104.000,4.22469521E+1,
1105.000,3.20880241E+1,
1106.000,3.35098572E+1,
1107.000,-3.87030721E+0,
1108.000,2.38249035E+1,
1109.000,2.46991425E+1,
1110.00,9.56653976E+0,
1111.000,2.92463207E+1,
1112.000,2.21356544E+1,
1113.000,2.86802521E+1,
1114.000,4.41282158E+1,
1115.000,3.44762192E+1,
1116.000,1.94090443E+1,
1117.000,3.69703102E+1,
1118.000,2.56001263E+1,
1119.000,3.89694748E+1,
1120.00,4.07935638E+1,
1121.000,3.41563301E+1,
1122.000,1.43708687E+1,
1123.000,4.18160057E+1,
1124.000,3.20189095E+1,
1125.000,2.93699703E+1,
1126.000,3.16966267E+1,
1127.000,3.83625793E+1,
1128.000,4.31234207E+1,
1129.000,4.39019623E+1,
1130.00,3.74736443E+1,
1131.000,3.29023132E+1,
1132.000,5.33020325E+1,
1133.000,4.53239594E+1,
1134.000,4.93018646E+1,
1135.000,3.91458168E+1,
1136.000,5.40299416E+1,
1137.000,4.94301643E+1,
1138.000,5.04049149E+1,
1139.000,1.70923367E+1,
1140.00,5.68312149E+1,
1141.000,7.50958633E+1,
1142.000,3.92111626E+1,
1143.000,5.96360855E+1,
1144.000,5.54160309E+1,
1145.000,4.69932671E+1,
1146.000,5.64919548E+1,
1147.000,5.30658302E+1,
1148.000,6.13067245E+1,
1149.000,7.66524963E+1,
1150.00,7.41084900E+1,
1151.000,8.32538528E+1,
1152.000,6.57790756E+1,
1153.000,7.44752655E+1,
1154.000,7.63839493E+1,
1155.000,7.52607574E+1,
1156.000,9.02145538E+1,
1157.000,9.19732361E+1,
1158.000,1.08896042E+2,
1159.000,9.30560532E+1,
1160.00,1.00914825E+2,
1161.000,9.19882431E+1,
1162.000,8.45990295E+1,
1163.000,1.23554832E+2,
1164.000,1.11629326E+2,
1165.000,1.13611801E+2,
1166.000,1.07661812E+2,
1167.000,1.12349808E+2,
1168.000,1.15666840E+2,
1169.000,1.07661087E+2,
1170.00,1.19211662E+2,
1171.000,1.33975723E+2,
1172.000,1.16916649E+2,
1173.000,1.46959564E+2,
1174.000,1.40401718E+2,
1175.000,1.51579239E+2,
1176.000,1.19126381E+2,
1177.000,1.50400726E+2,
1178.000,1.52780930E+2,
1179.000,1.76371445E+2,
1180.00,1.38175140E+2,
1181.000,1.50755905E+2,
1182.000,1.77037048E+2,
1183.000,1.62376541E+2,
1184.000,1.66593887E+2,
1185.000,2.21507584E+2,
1186.000,1.84056168E+2,
1187.000,1.65187134E+2,
1188.000,1.93137512E+2,
1189.000,1.97231277E+2,
1190.00,2.01099457E+2,
1191.000,2.01248840E+2,
1192.000,2.09330185E+2,
1193.000,2.16708206E+2,
1194.000,2.51011261E+2,
1195.000,2.17698898E+2,
1196.000,2.54989960E+2,
1197.000,2.53029739E+2,
1198.000,2.53637695E+2,
1199.000,2.64976593E+2,
1200.00,2.76857483E+2,
1201.000,2.54759247E+2,
1202.000,2.76684509E+2,
1203.000,2.88409698E+2,
1204.000,2.91690277E+2,
1205.000,2.63930084E+2,
1206.000,3.38840698E+2,
1207.000,3.20927551E+2,
1208.000,3.08285126E+2,
1209.000,3.20816528E+2,
1210.00,3.40638336E+2,
1211.000,3.33167358E+2,
1212.000,3.49926056E+2,
1213.000,3.58513641E+2,
1214.000,3.58785126E+2,
1215.000,3.55211914E+2,
1216.000,3.94194824E+2,
1217.000,3.79604889E+2,
1218.000,3.81875824E+2,
1219.000,3.77634094E+2,
1220.00,3.99577759E+2,
1221.000,4.30941864E+2,
1222.000,4.25220245E+2,
1223.000,4.39808716E+2,
1224.000,4.53972321E+2,
1225.000,4.45035736E+2,
1226.000,4.55399750E+2,
1227.000,4.70461029E+2,
1228.000,4.88813538E+2,
1229.000,5.17019775E+2,
1230.00,5.20202637E+2,
1231.000,5.14702515E+2,
1232.000,5.45655334E+2,
1233.000,5.80586121E+2,
1234.000,5.78104675E+2,
1235.000,5.96102356E+2,
1236.000,6.11245239E+2,
1237.000,6.13792542E+2,
1238.000,6.19171753E+2,
1239.000,6.56411011E+2,
1240.00,6.77011230E+2,
1241.000,6.69723145E+2,
1242.000,6.80911926E+2,
1243.000,6.70112488E+2,
1244.000,6.93642212E+2,
1245.000,7.46124817E+2,
1246.000,7.14458679E+2,
1247.000,7.85390808E+2,
1248.000,7.72945313E+2,
1249.000,7.77598450E+2,
1250.00,8.82324402E+2,
1251.000,8.47464478E+2,
1252.000,8.34492493E+2,
1253.000,8.57618896E+2,
1254.000,9.14337952E+2,
1255.000,9.01465088E+2,
1256.000,8.74444946E+2,
1257.000,9.26516785E+2,
1258.000,9.55799377E+2,
1259.000,9.91924927E+2,
1260.00,1.00360571E+3,
1261.000,1.03106128E+3,
1262.000,1.03867810E+3,
1263.000,1.06302893E+3,
1264.000,1.07580615E+3,
1265.000,1.13103308E+3,
1266.000,1.14758435E+3,
1267.000,1.17254492E+3,
1268.000,1.21407837E+3,
1269.000,1.23058691E+3,
1270.00,1.27262109E+3,
1271.000,1.28482104E+3,
1272.000,1.34953369E+3,
1273.000,1.31980103E+3,
1274.000,1.37906726E+3,
1275.000,1.44936951E+3,
1276.000,1.45420154E+3,
1277.000,1.47829370E+3,
1278.000,1.49983423E+3,
1279.000,1.58450439E+3,
1280.00,1.60080908E+3,
1281.000,1.68828162E+3,
1282.000,1.70708716E+3,
1283.000,1.68365735E+3,
1284.000,1.75314197E+3,
1285.000,1.79638586E+3,
1286.000,1.84569202E+3,
1287.000,1.90102747E+3,
1288.000,1.94323767E+3,
1289.000,2.00696924E+3,
1290.00,2.01344617E+3,
1291.000,1.98375378E+3,
1292.000,2.14014868E+3,
1293.000,2.18263599E+3,
1294.000,2.19898730E+3,
1295.000,2.27491406E+3,
1296.000,2.32452734E+3,
1297.000,2.35930859E+3,
1298.000,2.41114941E+3,
1299.000,2.46604541E+3,
1300.00,2.48967896E+3,
1301.000,2.61713599E+3,
1302.000,2.63390137E+3,
1303.000,2.69507422E+3,
1304.000,2.78157788E+3,
1305.000,2.81912988E+3,
1306.000,2.87585132E+3,
1307.000,2.98837256E+3,
1308.000,3.04853931E+3,
1309.000,3.13175928E+3,
1310.00,3.15046094E+3,
1311.000,3.19994116E+3,
1312.000,3.31994141E+3,
1313.000,3.33541187E+3,
1314.000,3.44485962E+3,
1315.000,3.52513940E+3,
1316.000,3.57299854E+3,
1317.000,3.64749316E+3,
1318.000,3.79051245E+3,
1319.000,3.79910498E+3,
1320.00,3.91350952E+3,
1321.000,3.95581470E+3,
1322.000,4.10766211E+3,
1323.000,4.14210498E+3,
1324.000,4.22867480E+3,
1325.000,4.41495020E+3,
1326.000,4.47333398E+3,
1327.000,4.49022754E+3,
1328.000,4.59096777E+3,
1329.000,4.72853418E+3,
1330.00,4.85635254E+3,
1331.000,4.94819531E+3,
1332.000,5.00826855E+3,
1333.000,5.12668750E+3,
1334.000,5.21900146E+3,
1335.000,5.36255615E+3,
1336.000,5.36996143E+3,
1337.000,5.57164941E+3,
1338.000,5.61496533E+3,
1339.000,5.72176855E+3,
1340.00,5.77646533E+3,
1341.000,5.98259180E+3,
1342.000,6.08073828E+3,
1343.000,6.17417676E+3,
1344.000,6.34727686E+3,
1345.000,6.43747461E+3,
1346.000,6.58804541E+3,
1347.000,6.67342188E+3,
1348.000,6.89534375E+3,
1349.000,7.00681689E+3,
1350.00,7.10151465E+3,
1351.000,7.22294678E+3,
1352.000,7.45363135E+3,
1353.000,7.52415527E+3,
1354.000,7.87307422E+3,
1355.000,7.98906738E+3,
1356.000,8.20473535E+3,
1357.000,8.19245898E+3,
1358.000,8.32913770E+3,
1359.000,8.36964746E+3,
1360.00,8.70588965E+3,
1361.000,9.12963477E+3,
1362.000,9.44286621E+3,
1363.000,9.11206738E+3,
1364.000,9.12898633E+3,
1365.000,9.30606445E+3,
1366.000,9.29247852E+3,
1367.000,9.48433594E+3,
1368.000,9.87761035E+3,
1369.000,9.97572461E+3,
1370.00,1.00794463E+4,
1371.000,1.02752656E+4,
1372.000,1.04157715E+4,
1373.000,1.04812393E+4,
1374.000,1.05316162E+4,
1375.000,1.08379297E+4,
1376.000,1.10728076E+4,
1377.000,1.13849229E+4,
1378.000,1.15371270E+4,
1379.000,1.17156631E+4,
1380.00,1.20873184E+4,
1381.000,1.24433652E+4,
1382.000,1.24486494E+4,
1383.000,1.25815488E+4,
1384.000,1.23620713E+4,
1385.000,1.19454609E+4,
1386.000,1.19943730E+4,
1387.000,1.22070820E+4,
1388.000,1.27326602E+4,
1389.000,1.27630674E+4,
1390.00,1.26053145E+4,
1391.000,1.27500059E+4,
1392.000,1.35444072E+4,
1393.000,1.37579707E+4,
1394.000,1.36510791E+4,
1395.000,1.41994063E+4,
1396.000,1.45980781E+4,
1397.000,1.43179961E+4,
1398.000,1.39980986E+4,
1399.000,1.44121357E+4,
1400.00,1.53055469E+4,
1401.000,1.58168467E+4,
1402.000,1.51407549E+4,
1403.000,1.48485908E+4,
1404.000,1.55909883E+4,
1405.000,1.64421035E+4,
1406.000,1.63547744E+4,
1407.000,1.62641797E+4,
1408.000,1.66222148E+4,
1409.000,1.69805293E+4,
1410.00,1.71079688E+4,
1411.000,1.70474648E+4,
1412.000,1.69951211E+4,
1413.000,1.74318398E+4,
1414.000,1.80565801E+4,
1415.000,1.83207930E+4,
1416.000,1.81717676E+4,
1417.000,1.81833926E+4,
1418.000,1.85487188E+4,
1419.000,1.89831523E+4,
1420.00,1.92407422E+4,
1421.000,1.91338984E+4,
1422.000,1.91042793E+4,
1423.000,1.96106465E+4,
1424.000,1.98604277E+4,
1425.000,2.00273652E+4,
1426.000,2.02012656E+4,
1427.000,2.03921328E+4,
1428.000,2.08322207E+4,
1429.000,2.07851406E+4,
1430.00,2.09083789E+4,
1431.000,2.12828359E+4,
1432.000,2.15979863E+4,
1433.000,2.15886816E+4,
1434.000,2.18890645E+4,
1435.000,2.20144434E+4,
1436.000,2.21704121E+4,
1437.000,2.25135898E+4,
1438.000,2.25859199E+4,
1439.000,2.29526953E+4,
1440.00,2.29808535E+4,
1441.000,2.32653535E+4,
1442.000,2.35813984E+4,
1443.000,2.37588203E+4,
1444.000,2.37854824E+4,
1445.000,2.41598027E+4,
1446.000,2.44695234E+4,
1447.000,2.46352051E+4,
1448.000,2.46392168E+4,
1449.000,2.45762734E+4,
1450.00,2.50723848E+4,
1451.000,2.55445234E+4,
1452.000,2.54784688E+4,
1453.000,2.54966406E+4,
1454.000,2.57489824E+4,
1455.000,2.59300215E+4,
1456.000,2.62474824E+4,
1457.000,2.64733457E+4,
1458.000,2.62629141E+4,
1459.000,2.64796523E+4,
1460.00,2.66853164E+4,
1461.000,2.69322969E+4,
1462.000,2.71252891E+4,
1463.000,2.72713750E+4,
1464.000,2.76227305E+4,
1465.000,2.76164160E+4,
1466.000,2.77743633E+4,
1467.000,2.80517578E+4,
1468.000,2.81519180E+4,
1469.000,2.83272598E+4,
1470.00,2.87166797E+4,
1471.000,2.88473184E+4,
1472.000,2.89752910E+4,
1473.000,2.90164004E+4,
1474.000,2.92227051E+4,
1475.000,2.92848418E+4,
1476.000,2.97606621E+4,
1477.000,2.98801563E+4,
1478.000,3.00333125E+4,
1479.000,3.01646465E+4,
1480.00,3.04308809E+4,
1481.000,3.05917207E+4,
1482.000,3.07864297E+4,
1483.000,3.07900547E+4,
1484.000,3.08530586E+4,
1485.000,3.10105078E+4,
1486.000,3.11914922E+4,
1487.000,3.12114375E+4,
1488.000,3.14709375E+4,
1489.000,3.15890801E+4,
1490.00,3.19971426E+4,
1491.000,3.19460879E+4,
1492.000,3.18563613E+4,
1493.000,3.23359336E+4,
1494.000,3.24797520E+4,
1495.000,3.23496680E+4,
1496.000,3.25518965E+4,
1497.000,3.25891328E+4,
1498.000,3.28294375E+4,
1499.000,3.27464668E+4,
1500.00,3.30481563E+4,
1501.000,3.28618867E+4,
1502.000,3.29220039E+4,
1503.000,3.31154961E+4,
1504.000,3.35272695E+4,
1505.000,3.35112305E+4,
1506.000,3.37034688E+4,
1507.000,3.36220859E+4,
1508.000,3.39218438E+4,
1509.000,3.37766914E+4,
1510.00,3.39559492E+4,
1511.000,3.39826289E+4,
1512.000,3.43854609E+4,
1513.000,3.41262031E+4,
1514.000,3.42870234E+4,
1515.000,3.42689570E+4,
1516.000,3.40398398E+4,
1517.000,3.45463984E+4,
1518.000,3.43962500E+4,
1519.000,3.46992422E+4,
1520.00,3.48917305E+4,
1521.000,3.47019336E+4,
1522.000,3.48689102E+4,
1523.000,3.49262422E+4,
1524.000,3.50204766E+4,
1525.000,3.51377773E+4,
1526.000,3.51878477E+4,
1527.000,3.51685273E+4,
1528.000,3.51946367E+4,
1529.000,3.50066211E+4,
1530.00,3.50850117E+4,
1531.000,3.53272852E+4,
1532.000,3.51662344E+4,
1533.000,3.53043555E+4,
1534.000,3.54877656E+4,
1535.000,3.51365938E+4,
1536.000,3.54500898E+4,
1537.000,3.55534453E+4,
1538.000,3.52484375E+4,
1539.000,3.52510234E+4,
1540.00,3.53644844E+4,
1541.000,3.54445273E+4,
1542.000,3.52815000E+4,
1543.000,3.53625977E+4,
1544.000,3.53851406E+4,
1545.000,3.55278633E+4,
1546.000,3.57407227E+4,
1547.000,3.57670078E+4,
1548.000,3.57726563E+4,
1549.000,3.55156602E+4,
1550.00,3.56538164E+4,
1551.000,3.56274219E+4,
1552.000,3.54736406E+4,
1553.000,3.53312227E+4,
1554.000,3.55170469E+4,
1555.000,3.55674844E+4,
1556.000,3.53369648E+4,
1557.000,3.52966719E+4,
1558.000,3.55269844E+4,
1559.000,3.54693047E+4,
1560.00,3.49625469E+4,
1561.000,3.53039922E+4,
1562.000,3.51207188E+4,
1563.000,3.51708828E+4,
1564.000,3.51839805E+4,
1565.000,3.53447852E+4,
1566.000,3.50667773E+4,
1567.000,3.50257695E+4,
1568.000,3.48133594E+4,
1569.000,3.49881172E+4,
1570.00,3.46322109E+4,
1571.000,3.48556523E+4,
1572.000,3.47054141E+4,
1573.000,3.44501992E+4,
1574.000,3.45312422E+4,
1575.000,3.43991602E+4,
1576.000,3.44016289E+4,
1577.000,3.42109727E+4,
1578.000,3.44052891E+4,
1579.000,3.46519688E+4,
1580.00,3.44744492E+4,
1581.000,3.39194922E+4,
1582.000,3.38857539E+4,
1583.000,3.40568203E+4,
1584.000,3.35911133E+4,
1585.000,3.35729805E+4,
1586.000,3.34400039E+4,
1587.000,3.36047578E+4,
1588.000,3.35309805E+4,
1589.000,3.34158320E+4,
1590.00,3.34592578E+4,
1591.000,3.35447500E+4,
1592.000,3.33790977E+4,
1593.000,3.33498242E+4,
1594.000,3.32439648E+4,
1595.000,3.29880078E+4,
1596.000,3.28815977E+4,
1597.000,3.30305078E+4,
1598.000,3.29281211E+4,
1599.000,3.25669551E+4,
1600.00,3.24604141E+4,
1601.000,3.23726543E+4,
1602.000,3.24033789E+4,
1603.000,3.21500820E+4,
1604.000,3.24026523E+4,
1605.000,3.22847090E+4,
1606.000,3.19287324E+4,
1607.000,3.17401133E+4,
1608.000,3.18729160E+4,
1609.000,3.17079785E+4,
1610.00,3.16035273E+4,
1611.000,3.15108223E+4,
1612.000,3.14170742E+4,
1613.000,3.12180059E+4,
1614.000,3.08434082E+4,
1615.000,3.08390020E+4,
1616.000,3.12124199E+4,
1617.000,3.06690332E+4,
1618.000,3.07538262E+4,
1619.000,3.10255723E+4,
1620.00,3.03605566E+4,
1621.000,3.05183477E+4,
1622.000,3.05354199E+4,
1623.000,3.02724492E+4,
1624.000,3.01212539E+4,
1625.000,3.03512988E+4,
1626.000,3.02278516E+4,
1627.000,3.02507910E+4,
1628.000,3.01226543E+4,
1629.000,2.99958574E+4,
1630.00,2.98344863E+4,
1631.000,3.00399863E+4,
1632.000,3.00851289E+4,
1633.000,3.01587773E+4,
1634.000,2.97883398E+4,
1635.000,3.00525332E+4,
1636.000,3.00016777E+4,
1637.000,2.96825352E+4,
1638.000,3.02700039E+4,
1639.000,2.97586738E+4,
1640.00,2.98709297E+4,
1641.000,2.99790215E+4,
1642.000,2.96628242E+4,
1643.000,2.97188262E+4,
1644.000,2.94462676E+4,
