Labels,1530-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,1000.00,
Step,1.00,
Fixed/Offset,1530.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

250.00,7.82529199E+3,
251.00,1.13230352E+4,
252.00,4.74310400E+3,
253.00,6.40055811E+3,
254.00,5.55089551E+3,
255.00,4.36404004E+3,
256.00,6.46021191E+3,
257.00,7.90208057E+3,
258.00,7.22988281E+3,
259.00,5.37919629E+3,
260.00,7.51240332E+3,
261.00,3.43313794E+3,
262.00,8.26776367E+3,
263.00,7.04961963E+3,
264.00,9.06673828E+3,
265.00,9.07465723E+3,
266.00,8.86019531E+3,
267.00,7.60494189E+3,
268.00,8.13739404E+3,
269.00,7.56922900E+3,
270.00,8.04045654E+3,
271.00,7.90837158E+3,
272.00,7.93325732E+3,
273.00,7.65896875E+3,
274.00,7.74447607E+3,
275.00,8.59373242E+3,
276.00,9.61074512E+3,
277.00,7.77188525E+3,
278.00,9.21596875E+3,
279.00,8.64417871E+3,
280.00,8.87721094E+3,
281.00,8.34842090E+3,
282.00,9.24164941E+3,
283.00,8.64742676E+3,
284.00,8.62070996E+3,
285.00,9.47470117E+3,
286.00,8.37353809E+3,
287.00,8.98271289E+3,
288.00,8.44786426E+3,
289.00,8.97122070E+3,
290.00,8.42643262E+3,
291.00,8.48620410E+3,
292.00,8.28841699E+3,
293.00,7.75533887E+3,
294.00,8.07273682E+3,
295.00,8.30924609E+3,
296.00,7.99276953E+3,
297.00,7.49161963E+3,
298.00,7.27666650E+3,
299.00,6.87133691E+3,
300.00,6.68469336E+3,
301.00,6.48938428E+3,
302.00,6.07355713E+3,
303.00,5.68769775E+3,
304.00,5.56810938E+3,
305.00,5.26718652E+3,
306.00,4.93438428E+3,
307.00,4.76456689E+3,
308.00,4.36460254E+3,
309.00,4.14313379E+3,
310.00,3.96742676E+3,
311.00,3.81766162E+3,
312.00,3.33453687E+3,
313.00,3.17479883E+3,
314.00,2.96974097E+3,
315.00,2.71838086E+3,
316.00,2.56480078E+3,
317.00,2.40827100E+3,
318.00,2.35992383E+3,
319.00,2.10563574E+3,
320.00,2.03390100E+3,
321.00,1.92636902E+3,
322.00,1.85156079E+3,
323.00,1.71378784E+3,
324.00,1.52587231E+3,
325.00,1.55926025E+3,
326.00,1.53791101E+3,
327.00,1.32877771E+3,
328.00,1.27580176E+3,
329.00,1.15086841E+3,
330.00,1.15941333E+3,
331.00,9.71013977E+2,
332.00,1.02522400E+3,
333.00,1.02823816E+3,
334.00,9.04207764E+2,
335.00,9.06158875E+2,
336.00,8.32003418E+2,
337.00,7.73532349E+2,
338.00,8.34866272E+2,
339.00,6.64112610E+2,
340.00,7.32211609E+2,
341.00,6.58188538E+2,
342.00,6.20867126E+2,
343.00,6.83517212E+2,
344.00,6.38270447E+2,
345.00,5.52130920E+2,
346.00,5.96629944E+2,
347.00,5.80549377E+2,
348.00,4.98701447E+2,
349.00,5.94457886E+2,
350.00,5.38360657E+2,
351.00,5.65884705E+2,
352.00,5.57611755E+2,
353.00,6.17873291E+2,
354.00,5.98891235E+2,
355.00,6.01317627E+2,
356.00,6.86043335E+2,
357.00,6.61461731E+2,
358.00,7.31088196E+2,
359.00,7.39181946E+2,
360.00,8.12948975E+2,
361.00,8.30274475E+2,
362.00,8.96663086E+2,
363.00,9.28909058E+2,
364.00,1.03022595E+3,
365.00,1.25090649E+3,
366.00,1.31480298E+3,
367.00,1.48555371E+3,
368.00,1.67269629E+3,
369.00,1.86341138E+3,
370.00,2.12456274E+3,
371.00,2.33791968E+3,
372.00,2.61887817E+3,
373.00,2.96489063E+3,
374.00,3.45247583E+3,
375.00,3.92979663E+3,
376.00,4.34894922E+3,
377.00,4.86577002E+3,
378.00,5.40338184E+3,
379.00,5.98074365E+3,
380.00,6.69391895E+3,
381.00,7.28175586E+3,
382.00,8.29543652E+3,
383.00,8.94638770E+3,
384.00,9.73600781E+3,
385.00,1.08368340E+4,
386.00,1.17906387E+4,
387.00,1.27847344E+4,
388.00,1.36704873E+4,
389.00,1.46632061E+4,
390.00,1.55777969E+4,
391.00,1.67127969E+4,
392.00,1.78822578E+4,
393.00,1.86416973E+4,
394.00,1.98627246E+4,
395.00,2.08557051E+4,
396.00,2.19459570E+4,
397.00,2.25954199E+4,
398.00,2.36341523E+4,
399.00,2.41842969E+4,
400.00,2.52731172E+4,
401.00,2.58309336E+4,
402.00,2.69915547E+4,
403.00,2.74225020E+4,
404.00,2.81602402E+4,
405.00,2.86678730E+4,
406.00,2.89940859E+4,
407.00,2.94678906E+4,
408.00,2.98907793E+4,
409.00,3.03241289E+4,
410.00,3.05371055E+4,
411.00,3.09395449E+4,
412.00,3.11134863E+4,
413.00,3.11471523E+4,
414.00,3.14492656E+4,
415.00,3.18056445E+4,
416.00,3.17637109E+4,
417.00,3.19838926E+4,
418.00,3.21138340E+4,
419.00,3.25125703E+4,
420.00,3.27805195E+4,
421.00,3.22284336E+4,
422.00,3.29863828E+4,
423.00,3.27521992E+4,
424.00,3.25501699E+4,
425.00,3.28149180E+4,
426.00,3.28061055E+4,
427.00,3.28076758E+4,
428.00,3.21738457E+4,
429.00,3.24025742E+4,
430.00,3.24073223E+4,
431.00,3.23806367E+4,
432.00,3.23602676E+4,
433.00,3.21080508E+4,
434.00,3.20255254E+4,
435.00,3.18708027E+4,
436.00,3.18783418E+4,
437.00,3.15900918E+4,
438.00,3.14270137E+4,
439.00,3.11763457E+4,
440.00,3.13318262E+4,
441.00,3.10344336E+4,
442.00,3.09219961E+4,
443.00,3.05212129E+4,
444.00,3.04763809E+4,
445.00,3.03547012E+4,
446.00,3.02048359E+4,
447.00,2.98149941E+4,
448.00,2.97545254E+4,
449.00,2.95224648E+4,
450.00,2.95452363E+4,
451.00,2.95915313E+4,
452.00,2.93530195E+4,
453.00,2.90149102E+4,
454.00,2.90946074E+4,
