Labels,425-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1700.00,
Step,1.00,
Fixed/Offset,425.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

650.00,2.92374780E+3,
651.00,2.80179541E+3,
652.00,2.94798755E+3,
653.00,3.05634326E+3,
654.00,2.95639966E+3,
655.00,2.97578516E+3,
656.00,2.70500928E+3,
657.00,3.10971387E+3,
658.00,2.99268872E+3,
659.00,2.99149609E+3,
660.00,3.22743970E+3,
661.00,3.10877368E+3,
662.00,3.39016992E+3,
663.00,3.59964111E+3,
664.00,3.37228662E+3,
665.00,3.71515283E+3,
666.00,3.57390625E+3,
667.00,3.89472070E+3,
668.00,3.68210962E+3,
669.00,3.92528979E+3,
670.00,4.07023779E+3,
671.00,4.27053906E+3,
672.00,4.64321191E+3,
673.00,4.66815869E+3,
674.00,4.61839795E+3,
675.00,4.75736133E+3,
676.00,5.08043066E+3,
677.00,4.89213086E+3,
678.00,5.12402686E+3,
679.00,5.19267432E+3,
680.00,3.12403516E+3,
681.00,3.30889746E+3,
682.00,3.67979028E+3,
683.00,3.45938794E+3,
684.00,3.81719971E+3,
685.00,4.13780469E+3,
686.00,4.26937500E+3,
687.00,4.37141113E+3,
688.00,4.38296924E+3,
689.00,4.81661768E+3,
690.00,4.84896289E+3,
691.00,5.59884180E+3,
692.00,6.07966748E+3,
693.00,6.90969531E+3,
694.00,7.16543848E+3,
695.00,7.62092822E+3,
696.00,7.46074268E+3,
697.00,7.59406250E+3,
698.00,8.22245117E+3,
699.00,8.63695703E+3,
700.00,8.64147168E+3,
701.00,8.83523242E+3,
702.00,9.04906348E+3,
703.00,9.83629004E+3,
704.00,1.00642686E+4,
705.00,1.06211270E+4,
706.00,1.11098457E+4,
707.00,1.12681748E+4,
708.00,1.18854902E+4,
709.00,1.22679805E+4,
710.00,1.28563428E+4,
711.00,1.31425410E+4,
712.00,1.36119404E+4,
713.00,1.44662285E+4,
714.00,1.45499229E+4,
715.00,1.46090381E+4,
716.00,1.49605059E+4,
717.00,1.55551113E+4,
718.00,1.60626191E+4,
719.00,1.63196025E+4,
720.00,1.62015498E+4,
721.00,1.61957363E+4,
722.00,1.67825996E+4,
723.00,1.68190156E+4,
724.00,1.72230098E+4,
725.00,1.78801172E+4,
726.00,1.81440527E+4,
727.00,1.86966016E+4,
728.00,1.89567461E+4,
729.00,1.87615000E+4,
730.00,1.92541133E+4,
731.00,1.94813398E+4,
732.00,1.98482617E+4,
733.00,2.01874668E+4,
734.00,2.04005117E+4,
735.00,2.09338770E+4,
736.00,2.11672949E+4,
737.00,2.16224180E+4,
738.00,2.18958418E+4,
739.00,2.17238633E+4,
740.00,2.26097461E+4,
741.00,2.29072949E+4,
742.00,2.28661270E+4,
743.00,2.36023906E+4,
744.00,2.33034043E+4,
745.00,2.33265137E+4,
746.00,2.40565117E+4,
747.00,2.37067109E+4,
748.00,2.43450391E+4,
749.00,2.45987832E+4,
750.00,2.44710000E+4,
751.00,2.52160059E+4,
752.00,2.55959395E+4,
753.00,2.54934746E+4,
754.00,2.54996797E+4,
755.00,2.55202871E+4,
756.00,2.60819707E+4,
757.00,2.63283613E+4,
758.00,2.54860293E+4,
759.00,2.57057441E+4,
760.00,2.64702559E+4,
761.00,2.67853633E+4,
762.00,2.71292617E+4,
763.00,2.70844316E+4,
764.00,2.70722813E+4,
765.00,2.76126113E+4,
766.00,2.72974473E+4,
767.00,2.75253203E+4,
768.00,2.73474648E+4,
769.00,2.73021367E+4,
770.00,2.77429063E+4,
771.00,2.82479258E+4,
772.00,2.80216777E+4,
773.00,2.79020332E+4,
774.00,2.80637598E+4,
775.00,2.85088750E+4,
776.00,2.83594492E+4,
777.00,2.89385684E+4,
778.00,2.89035020E+4,
779.00,2.89192813E+4,
780.00,2.89428711E+4,
781.00,2.86306797E+4,
782.00,2.86931914E+4,
783.00,2.86683984E+4,
784.00,2.89920801E+4,
785.00,2.87581738E+4,
786.00,2.92758613E+4,
787.00,2.91401016E+4,
788.00,2.91388086E+4,
789.00,2.90640488E+4,
790.00,2.91570391E+4,
791.00,2.94618457E+4,
792.00,2.92922031E+4,
793.00,2.96475547E+4,
794.00,2.92428438E+4,
795.00,2.92575176E+4,
796.00,2.91375078E+4,
797.00,2.92268613E+4,
798.00,2.91952070E+4,
799.00,2.95396055E+4,
800.00,2.96021602E+4,
801.00,2.94251133E+4,
802.00,2.93920410E+4,
803.00,2.97208516E+4,
804.00,2.92608047E+4,
805.00,2.95394863E+4,
806.00,2.94543105E+4,
807.00,2.90732852E+4,
808.00,2.93910215E+4,
809.00,2.94328457E+4,
810.00,2.91749082E+4,
811.00,2.92227695E+4,
812.00,2.96951328E+4,
813.00,2.89517656E+4,
814.00,2.88708184E+4,
815.00,2.93508281E+4,
816.00,2.93778457E+4,
817.00,2.90321309E+4,
818.00,2.94046484E+4,
819.00,2.91900820E+4,
820.00,2.90968008E+4,
821.00,2.89773789E+4,
822.00,2.89031895E+4,
823.00,2.86837422E+4,
824.00,2.87432695E+4,
825.00,2.84851152E+4,
826.00,2.84903184E+4,
827.00,2.82390488E+4,
828.00,2.84204160E+4,
829.00,2.78497246E+4,
830.00,2.84891191E+4,
831.00,2.78633066E+4,
832.00,2.78341543E+4,
833.00,2.77855078E+4,
834.00,2.77307598E+4,
835.00,2.75935605E+4,
836.00,2.74577930E+4,
837.00,2.79800664E+4,
838.00,2.74005176E+4,
839.00,2.70260879E+4,
840.00,2.67134980E+4,
841.00,2.69800898E+4,
842.00,2.69168398E+4,
843.00,2.71632402E+4,
844.00,2.66003809E+4,
845.00,2.67916367E+4,
846.00,2.65000566E+4,
847.00,2.65116895E+4,
848.00,2.60313535E+4,
849.00,2.60573516E+4,
850.00,2.61494980E+4,
851.00,2.60792813E+4,
852.00,2.60176543E+4,
853.00,2.57786523E+4,
854.00,2.60248145E+4,
855.00,2.56834258E+4,
856.00,2.54356992E+4,
857.00,2.55876992E+4,
858.00,2.52224219E+4,
859.00,2.54694043E+4,
860.00,2.45150859E+4,
861.00,2.52544590E+4,
862.00,2.51330801E+4,
863.00,2.43831250E+4,
864.00,2.46550273E+4,
865.00,2.41888066E+4,
866.00,2.45331797E+4,
867.00,2.44630332E+4,
868.00,2.40808145E+4,
869.00,2.42211641E+4,
870.00,2.38198379E+4,
871.00,2.37956758E+4,
872.00,2.32618730E+4,
873.00,2.34806113E+4,
874.00,2.33180938E+4,
875.00,2.29210293E+4,
876.00,2.23646016E+4,
877.00,2.28474961E+4,
878.00,2.27085371E+4,
879.00,2.22227754E+4,
880.00,2.22273711E+4,
881.00,2.20587734E+4,
882.00,2.19875195E+4,
883.00,2.15891250E+4,
884.00,2.17265254E+4,
885.00,2.14057656E+4,
886.00,2.13216641E+4,
887.00,2.10156504E+4,
888.00,2.10576582E+4,
889.00,2.08108398E+4,
890.00,2.08324746E+4,
891.00,2.04881348E+4,
892.00,2.03175430E+4,
893.00,2.00002695E+4,
894.00,1.98036211E+4,
895.00,1.93210859E+4,
896.00,1.95414531E+4,
897.00,1.93290332E+4,
898.00,1.91417793E+4,
899.00,1.93328750E+4,
900.00,1.88054473E+4,
901.00,1.89966348E+4,
902.00,1.84555430E+4,
903.00,1.85165215E+4,
904.00,1.83340527E+4,
905.00,1.80366699E+4,
906.00,1.77455469E+4,
907.00,1.75134648E+4,
908.00,1.75799668E+4,
909.00,1.73090898E+4,
910.00,1.71806309E+4,
911.00,1.73094063E+4,
912.00,1.67350371E+4,
913.00,1.67725918E+4,
914.00,1.64315879E+4,
915.00,1.64302676E+4,
916.00,1.63135039E+4,
917.00,1.60244033E+4,
918.00,1.58113535E+4,
919.00,1.56379414E+4,
920.00,1.56815186E+4,
921.00,1.53466250E+4,
922.00,1.52920986E+4,
923.00,1.49535449E+4,
924.00,1.48720381E+4,
925.00,1.47169541E+4,
926.00,1.46120586E+4,
927.00,1.42599863E+4,
928.00,1.40755771E+4,
929.00,1.40587080E+4,
930.00,1.38332139E+4,
931.00,1.36592715E+4,
932.00,1.36760967E+4,
933.00,1.33992881E+4,
934.00,1.32011641E+4,
935.00,1.31669141E+4,
936.00,1.29176533E+4,
937.00,1.28105830E+4,
938.00,1.24370557E+4,
939.00,1.24833896E+4,
940.00,1.23494121E+4,
941.00,1.22006934E+4,
942.00,1.20895410E+4,
943.00,1.19828701E+4,
944.00,1.16598818E+4,
945.00,1.14453545E+4,
946.00,1.13269492E+4,
947.00,1.11156309E+4,
948.00,1.09009229E+4,
949.00,1.10141680E+4,
950.00,1.07257266E+4,
951.00,1.06725684E+4,
952.00,1.05274590E+4,
953.00,1.03698223E+4,
954.00,1.01955635E+4,
955.00,1.01019395E+4,
956.00,9.82579004E+3,
957.00,9.89667188E+3,
958.00,9.60938770E+3,
959.00,9.61471191E+3,
960.00,9.43663770E+3,
961.00,9.34388379E+3,
962.00,9.18454199E+3,
963.00,9.14424316E+3,
964.00,8.97836426E+3,
965.00,8.80094141E+3,
966.00,8.66500293E+3,
967.00,8.51268066E+3,
968.00,8.52945996E+3,
969.00,8.28010645E+3,
970.00,8.28480664E+3,
971.00,8.09183643E+3,
972.00,7.99626611E+3,
973.00,7.92502539E+3,
974.00,7.64112988E+3,
975.00,7.55290186E+3,
976.00,7.50240479E+3,
977.00,7.41025635E+3,
978.00,7.31957178E+3,
979.00,7.22741260E+3,
980.00,7.06532080E+3,
981.00,7.02306494E+3,
982.00,6.74905225E+3,
983.00,6.85509961E+3,
984.00,6.72754053E+3,
985.00,6.51808496E+3,
986.00,6.52181445E+3,
987.00,6.42805664E+3,
988.00,6.27279590E+3,
989.00,6.21361084E+3,
990.00,6.07603711E+3,
991.00,6.04747070E+3,
992.00,5.95286377E+3,
993.00,5.85188574E+3,
994.00,5.73749414E+3,
995.00,5.66331152E+3,
996.00,5.59204248E+3,
997.00,5.45574658E+3,
998.00,5.32785547E+3,
999.00,5.34240479E+3,
1000.00,5.31544824E+3,
1001.000,5.15844775E+3,
1002.000,5.08073975E+3,
1003.000,5.04560791E+3,
1004.000,4.86565479E+3,
1005.000,4.80966406E+3,
1006.000,4.74447803E+3,
1007.000,4.69016602E+3,
1008.000,4.67163770E+3,
1009.000,4.58772607E+3,
1010.00,4.47649512E+3,
1011.000,4.35901025E+3,
1012.000,4.42603760E+3,
1013.000,4.31222021E+3,
1014.000,4.23010693E+3,
1015.000,4.21605176E+3,
1016.000,4.05646118E+3,
1017.000,4.08976782E+3,
1018.000,4.01383203E+3,
1019.000,3.95550244E+3,
1020.00,3.92526221E+3,
1021.000,3.81917041E+3,
1022.000,3.82026611E+3,
1023.000,3.69436108E+3,
1024.000,3.67498682E+3,
1025.000,3.55791821E+3,
1026.000,3.58149097E+3,
1027.000,3.49800806E+3,
1028.000,3.53586133E+3,
1029.000,3.34624219E+3,
1030.00,3.29986304E+3,
1031.000,3.27475439E+3,
1032.000,3.30811792E+3,
1033.000,3.21981934E+3,
1034.000,3.03226074E+3,
1035.000,3.08606055E+3,
1036.000,3.06199927E+3,
1037.000,2.95116772E+3,
1038.000,2.92485034E+3,
1039.000,2.92052271E+3,
1040.00,2.83315259E+3,
1041.000,2.81170264E+3,
1042.000,2.73295337E+3,
1043.000,2.65203638E+3,
1044.000,2.62022437E+3,
1045.000,2.64408203E+3,
1046.000,2.56012427E+3,
1047.000,2.57377808E+3,
1048.000,2.46578809E+3,
1049.000,2.50612109E+3,
1050.00,2.42098071E+3,
1051.000,2.38128491E+3,
1052.000,2.35049902E+3,
1053.000,2.31956250E+3,
1054.000,2.24913501E+3,
1055.000,2.23918164E+3,
1056.000,2.16593872E+3,
1057.000,2.15671436E+3,
1058.000,2.08308032E+3,
1059.000,2.06899146E+3,
1060.00,2.03629395E+3,
1061.000,2.09149268E+3,
1062.000,2.01445850E+3,
1063.000,1.98031689E+3,
1064.000,1.90922070E+3,
1065.000,1.93368457E+3,
1066.000,1.82255762E+3,
1067.000,1.85140308E+3,
1068.000,1.80069629E+3,
1069.000,1.77224158E+3,
1070.00,1.77247400E+3,
1071.000,1.72159888E+3,
1072.000,1.73713196E+3,
1073.000,1.68808887E+3,
1074.000,1.63849976E+3,
1075.000,1.60869666E+3,
1076.000,1.57861719E+3,
1077.000,1.57214917E+3,
1078.000,1.46946545E+3,
1079.000,1.54998792E+3,
1080.00,1.51819141E+3,
1081.000,1.45488806E+3,
1082.000,1.42823633E+3,
1083.000,1.39053101E+3,
1084.000,1.43009375E+3,
1085.000,1.39919019E+3,
1086.000,1.38342859E+3,
1087.000,1.34817517E+3,
1088.000,1.30269971E+3,
1089.000,1.31218066E+3,
1090.00,1.29411755E+3,
1091.000,1.24650549E+3,
1092.000,1.18046301E+3,
1093.000,1.22594556E+3,
1094.000,1.21729468E+3,
1095.000,1.16547070E+3,
1096.000,1.14480127E+3,
1097.000,1.17933008E+3,
1098.000,1.11471606E+3,
1099.000,1.14440393E+3,
1100.00,1.06839978E+3,
1101.000,1.09126709E+3,
1102.000,1.04398022E+3,
1103.000,1.03664929E+3,
1104.000,1.01451898E+3,
1105.000,1.02335345E+3,
1106.000,1.00974054E+3,
1107.000,9.87627258E+2,
1108.000,9.37365173E+2,
1109.000,9.45241516E+2,
1110.00,8.95834473E+2,
1111.000,9.28422729E+2,
1112.000,9.34607483E+2,
1113.000,8.95886658E+2,
1114.000,9.49709473E+2,
1115.000,8.67302246E+2,
1116.000,8.59669189E+2,
1117.000,8.34027710E+2,
1118.000,7.94694946E+2,
1119.000,8.12397278E+2,
1120.00,8.15947998E+2,
1121.000,7.45040771E+2,
1122.000,7.81649536E+2,
1123.000,7.63353455E+2,
1124.000,7.86883911E+2,
1125.000,7.35740906E+2,
1126.000,7.33024414E+2,
1127.000,7.35437317E+2,
1128.000,7.18108398E+2,
1129.000,6.82160278E+2,
1130.00,7.24239380E+2,
1131.000,6.46437012E+2,
1132.000,6.98321228E+2,
1133.000,6.88581299E+2,
1134.000,6.93072571E+2,
1135.000,6.81907288E+2,
1136.000,6.28572449E+2,
1137.000,6.18576233E+2,
1138.000,5.98756958E+2,
1139.000,6.17094482E+2,
1140.00,6.09317322E+2,
1141.000,5.87562317E+2,
1142.000,6.58932617E+2,
1143.000,6.68250610E+2,
1144.000,5.76432068E+2,
1145.000,6.22712219E+2,
1146.000,5.20461670E+2,
1147.000,5.97324829E+2,
1148.000,5.35033325E+2,
1149.000,5.07482758E+2,
1150.00,5.21496704E+2,
1151.000,5.84014526E+2,
1152.000,5.41769226E+2,
1153.000,5.57481506E+2,
1154.000,5.11642487E+2,
1155.000,5.87287292E+2,
1156.000,5.25140137E+2,
1157.000,5.39152710E+2,
1158.000,5.29598450E+2,
1159.000,5.24412964E+2,
1160.00,5.36694580E+2,
1161.000,5.40117798E+2,
1162.000,5.17061523E+2,
1163.000,4.79556793E+2,
1164.000,4.85878479E+2,
1165.000,5.11219788E+2,
1166.000,4.60060760E+2,
1167.000,5.31319336E+2,
1168.000,4.66741241E+2,
1169.000,5.21275574E+2,
1170.00,4.83415985E+2,
1171.000,4.93801208E+2,
1172.000,5.10865845E+2,
1173.000,4.85884155E+2,
1174.000,5.06773743E+2,
1175.000,4.97575958E+2,
1176.000,4.68262817E+2,
1177.000,4.97825836E+2,
1178.000,4.54753510E+2,
1179.000,4.97484711E+2,
1180.00,5.47163757E+2,
1181.000,4.79292725E+2,
1182.000,4.96725067E+2,
1183.000,5.13112610E+2,
1184.000,5.36869385E+2,
1185.000,5.12525696E+2,
1186.000,5.08856171E+2,
1187.000,5.18538513E+2,
1188.000,5.22596313E+2,
1189.000,4.87877167E+2,
1190.00,5.16382446E+2,
1191.000,5.57155762E+2,
1192.000,5.56130615E+2,
1193.000,4.99214172E+2,
1194.000,5.37710022E+2,
1195.000,5.33720398E+2,
1196.000,5.04000946E+2,
1197.000,5.49997314E+2,
1198.000,5.74447205E+2,
1199.000,5.82158936E+2,
1200.00,5.69211914E+2,
1201.000,5.53304993E+2,
1202.000,5.70780579E+2,
1203.000,5.88712097E+2,
1204.000,6.04014587E+2,
1205.000,5.76916809E+2,
1206.000,6.22992310E+2,
1207.000,6.17151489E+2,
1208.000,6.11066589E+2,
1209.000,6.40857239E+2,
1210.00,6.39738037E+2,
1211.000,6.50467224E+2,
1212.000,6.41324463E+2,
1213.000,6.91128174E+2,
1214.000,6.37084290E+2,
1215.000,6.87124634E+2,
1216.000,6.95496033E+2,
1217.000,6.77305359E+2,
1218.000,6.51326599E+2,
